"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"280"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"281"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"282"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"283"	"B.F."	"2383"	"20154"	"15325"	"52010"	"2569"	"2834"	"95275"	"0"	"95275"	"0"
"284"	"197"	"1"	"1"	"328"	"50"	"0"	"1"	"381"	""	"381"	""
"285"	"198"	"11"	"44"	"43"	"249"	"11"	"3"	"361"	""	"361"	""
"286"	"199"	"23"	"163"	"171"	"191"	"38"	"35"	"621"	""	"621"	""
"287"	"200"	"14"	"112"	"134"	"118"	"18"	"19"	"415"	""	"415"	""
"288"	"201"	"16"	"139"	"73"	"103"	"18"	"23"	"372"	""	"372"	""
"289"	"202"	"7"	"146"	"5"	"23"	"7"	"12"	"200"	""	"200"	""
"290"	"203"	"8"	"377"	"23"	"17"	"6"	"14"	"445"	""	"445"	""
"291"	"204"	"9"	"520"	"12"	"4"	"3"	"2"	"550"	""	"550"	""
"292"	"205"	"9"	"611"	"23"	"3"	"1"	"3"	"650"	""	"650"	""
"293"	"206"	"37"	"23"	"231"	"156"	"24"	"46"	"517"	""	"517"	""
"294"	"207"	"8"	"399"	"30"	"60"	"6"	"15"	"518"	""	"518"	""
"295"	"208"	"3"	"376"	"2"	"0"	"1"	"3"	"385"	""	"385"	""
"296"	"209"	"3"	"420"	"11"	"4"	"5"	"4"	"447"	""	"447"	""
"297"	"210"	"4"	"503"	"9"	"8"	"12"	"20"	"556"	""	"556"	""
"298"	"Page Total"	"2536"	"23988"	"16420"	"52996"	"2719"	"3034"	"101693"	"0"	"101693"	"0"
"299"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"301"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"302"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"303"	"B.F."	"2536"	"23988"	"16420"	"52996"	"2719"	"3034"	"101693"	"0"	"101693"	"0"
"304"	"211"	"8"	"259"	"6"	"20"	"7"	"7"	"307"	""	"307"	""
"305"	"212"	"2"	"288"	"24"	"4"	"1"	"2"	"321"	""	"321"	""
"306"	"213"	"7"	"512"	"46"	"33"	"6"	"4"	"608"	""	"608"	""
"307"	"214"	"6"	"94"	"92"	"126"	"2"	"5"	"325"	""	"325"	""
"308"	"215"	"4"	"529"	"6"	"17"	"2"	"3"	"561"	""	"561"	""
"309"	"216"	"13"	"453"	"97"	"23"	"9"	"12"	"607"	""	"607"	""
"310"	"217"	"10"	"277"	"51"	"31"	"23"	"9"	"401"	""	"401"	""
"311"	"218"	"32"	"188"	"44"	"67"	"15"	"15"	"361"	""	"361"	""
"312"	"219"	"14"	"390"	"11"	"7"	"5"	"9"	"436"	""	"436"	""
"313"	"220"	"19"	"222"	"16"	"66"	"12"	"7"	"342"	""	"342"	""
"314"	"221"	"13"	"248"	"22"	"60"	"8"	"4"	"355"	""	"355"	""
"315"	"222"	"11"	"417"	"14"	"80"	"8"	"6"	"536"	""	"536"	""
"316"	"223"	"7"	"222"	"39"	"3"	"3"	"1"	"275"	""	"275"	""
"317"	"224"	"20"	"117"	"149"	"177"	"25"	"15"	"503"	""	"503"	""
"318"	"Page Total"	"2702"	"28204"	"17037"	"53710"	"2845"	"3133"	"107631"	"0"	"107631"	"0"
"319"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"320"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"321"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"322"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"323"	"B.F."	"2702"	"28204"	"17037"	"53710"	"2845"	"3133"	"107631"	"0"	"107631"	"0"
"324"	"225"	"4"	"530"	"38"	"18"	"0"	"3"	"593"	""	"593"	""
"325"	"226"	"2"	"18"	"419"	"16"	"0"	"1"	"456"	""	"456"	""
"326"	"227"	"12"	"35"	"240"	"76"	"10"	"8"	"381"	""	"381"	""
"327"	"228"	"3"	"257"	"79"	"23"	"7"	"2"	"371"	""	"371"	""
"328"	"229"	"3"	"434"	"10"	"28"	"4"	"2"	"481"	""	"481"	""
"329"	"Page Total"	"2726"	"29478"	"17823"	"53871"	"2866"	"3149"	"109913"	"0"	"109913"	"0"
"330"	"Total No of votes recorded at Polling Stations"	"2726"	"29478"	"17823"	"53871"	"2866"	"3149"	"109913"	"0"	"109913"	"0"
"331"	"No. of Votes recorded on Postal ballot Papers"	"0"	"4"	"1"	"1"	"0"	"0"	"6"	"1"	"7"	""
"332"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"333"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"334"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"335"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"336"	"Total Votes Polled"	"2726"	"29482"	"17824"	"53872"	"2866"	"3149"	"109919"	"1"	"109920"	"0"
"337"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                Asstt. R.O."	""	""	""	""	""	""	""	""	""	""
"338"	"Date:- 27th Feb 2005"	""	""	""	""	""	""	""	""	""	""
"339"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
"340"	"Samastipur"	""	""	""	""	""	""	""	""	""	""
