"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"Total.of.valid.Votes"	"X..45"	"No..of.rejected.votes"	"X..46"	"TOTAL"	"X..47"	"No..of.tendered.Votes"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"
"71"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"57"	"23"	"3"	""	"12"	""	"7"	""	"107"	""	"12"	""	""	"25"	""	""	"51"	""	""	"110"	""	""	"8"	""	""	"8"	""	"2"	"8"	""	"3"	""	"3"	""	"27"	""	"144"	""	"5"	""	"1"	""	"11"	""	""	"9"	""	"579"	""	"0"	""	"579"	""	"0"	""	""	""	""	""
"73"	"58"	"30"	"3"	""	"22"	""	"0"	""	"54"	""	"3"	""	""	"18"	""	""	"32"	""	""	"129"	""	""	"6"	""	""	"5"	""	"1"	"1"	""	"0"	""	"1"	""	"8"	""	"167"	""	"4"	""	"1"	""	"47"	""	""	"9"	""	"541"	""	"0"	""	"541"	""	"0"	""	""	""	""	""
"74"	"59"	"22"	"5"	""	"22"	""	"7"	""	"176"	""	"6"	""	""	"22"	""	""	"4"	""	""	"111"	""	""	"6"	""	""	"0"	""	"3"	"4"	""	"1"	""	"1"	""	"2"	""	"10"	""	"5"	""	"1"	""	"26"	""	""	"0"	""	"434"	""	"0"	""	"434"	""	"0"	""	""	""	""	""
"75"	"60"	"13"	"1"	""	"4"	""	"2"	""	"29"	""	"6"	""	""	"8"	""	""	"6"	""	""	"24"	""	""	"1"	""	""	"2"	""	"0"	"0"	""	"0"	""	"0"	""	"4"	""	"22"	""	"2"	""	"0"	""	"113"	""	""	"3"	""	"240"	""	"0"	""	"240"	""	"0"	""	""	""	""	""
"76"	"61"	"77"	"7"	""	"50"	""	"9"	""	"176"	""	"21"	""	""	"43"	""	""	"8"	""	""	"225"	""	""	"14"	""	""	"20"	""	"9"	"4"	""	"11"	""	"11"	""	"31"	""	"54"	""	"2"	""	"1"	""	"9"	""	""	"3"	""	"785"	""	"0"	""	"785"	""	"0"	""	""	""	""	""
"77"	"62"	"40"	"6"	""	"12"	""	"9"	""	"361"	""	"6"	""	""	"18"	""	""	"9"	""	""	"63"	""	""	"8"	""	""	"9"	""	"5"	"37"	""	"4"	""	"4"	""	"23"	""	"67"	""	"19"	""	"3"	""	"8"	""	""	"9"	""	"720"	""	"0"	""	"720"	""	"0"	""	""	""	""	""
"78"	"63"	"67"	"6"	""	"8"	""	"2"	""	"266"	""	"16"	""	""	"21"	""	""	"10"	""	""	"83"	""	""	"11"	""	""	"8"	""	"10"	"15"	""	"7"	""	"7"	""	"27"	""	"34"	""	"1"	""	"2"	""	"7"	""	""	"4"	""	"612"	""	"0"	""	"612"	""	"0"	""	""	""	""	""
"79"	"64"	"47"	"5"	""	"7"	""	"8"	""	"145"	""	"10"	""	""	"32"	""	""	"8"	""	""	"103"	""	""	"125"	""	""	"5"	""	"9"	"49"	""	"4"	""	"5"	""	"15"	""	"180"	""	"13"	""	"4"	""	"26"	""	""	"14"	""	"814"	""	"0"	""	"814"	""	"0"	""	""	""	""	""
"80"	"65"	"24"	"7"	""	"8"	""	"10"	""	"246"	""	"11"	""	""	"32"	""	""	"7"	""	""	"174"	""	""	"21"	""	""	"2"	""	"2"	"27"	""	"2"	""	"5"	""	"12"	""	"11"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	"601"	""	"0"	""	"601"	""	"0"	""	""	""	""	""
"81"	"66"	"15"	"3"	""	"21"	""	"5"	""	"53"	""	"6"	""	""	"20"	""	""	"3"	""	""	"116"	""	""	"110"	""	""	"1"	""	"0"	"0"	""	"2"	""	"1"	""	"6"	""	"8"	""	"2"	""	"1"	""	"0"	""	""	"0"	""	"373"	""	"0"	""	"373"	""	"0"	""	""	""	""	""
"82"	"67"	"7"	"2"	""	"62"	""	"10"	""	"61"	""	"12"	""	""	"29"	""	""	"11"	""	""	"156"	""	""	"141"	""	""	"7"	""	"3"	"4"	""	"3"	""	"7"	""	"25"	""	"3"	""	"5"	""	"0"	""	"2"	""	""	"6"	""	"556"	""	"0"	""	"556"	""	"0"	""	""	""	""	""
"83"	"68"	"14"	"2"	""	"37"	""	"4"	""	"73"	""	"12"	""	""	"22"	""	""	"5"	""	""	"121"	""	""	"251"	""	""	"6"	""	"5"	"9"	""	"4"	""	"8"	""	"14"	""	"22"	""	"0"	""	"0"	""	"1"	""	""	"9"	""	"619"	""	"0"	""	"619"	""	"0"	""	""	""	""	""
"84"	"69"	"39"	"14"	""	"44"	""	"14"	""	"35"	""	"21"	""	""	"78"	""	""	"8"	""	""	"479"	""	""	"56"	""	""	"6"	""	"4"	"89"	""	"7"	""	"1"	""	"9"	""	"5"	""	"2"	""	"0"	""	"0"	""	""	"0"	""	"911"	""	"0"	""	"911"	""	"0"	""	""	""	""	""
"85"	"70"	"8"	"5"	""	"6"	""	"2"	""	"218"	""	"12"	""	""	"9"	""	""	"18"	""	""	"28"	""	""	"26"	""	""	"5"	""	"13"	"196"	""	"8"	""	"14"	""	"19"	""	"4"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	"593"	""	"0"	""	"593"	""	"0"	""	""	""	""	""
"86"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"87"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"127"	"35"	"4"	""	"14"	""	"2"	""	"165"	""	"11"	""	""	"62"	""	""	"13"	""	""	"386"	""	""	"9"	""	""	"4"	""	"1"	"2"	""	"3"	""	"2"	""	"14"	""	"7"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	"736"	""	"0"	""	"736"	""	"0"	""	""	""	""	""
"89"	"128"	"11"	"3"	""	"73"	""	"4"	""	"31"	""	"10"	""	""	"54"	""	""	"23"	""	""	"293"	""	""	"6"	""	""	"3"	""	"4"	"5"	""	"5"	""	"2"	""	"6"	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	"536"	""	"0"	""	"536"	""	"0"	""	""	""	""	""
"90"	"129"	"8"	"0"	""	"27"	""	"2"	""	"18"	""	"4"	""	""	"37"	""	""	"5"	""	""	"422"	""	""	"9"	""	""	"3"	""	"0"	"2"	""	"3"	""	"2"	""	"5"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"1"	""	"550"	""	"0"	""	"550"	""	"0"	""	""	""	""	""
"91"	"130"	"16"	"3"	""	"16"	""	"2"	""	"30"	""	"2"	""	""	"35"	""	""	"8"	""	""	"522"	""	""	"9"	""	""	"3"	""	"4"	"1"	""	"3"	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"0"	""	"657"	""	"0"	""	"657"	""	"0"	""	""	""	""	""
"92"	"131"	"38"	"9"	""	"71"	""	"9"	""	"124"	""	"21"	""	""	"55"	""	""	"18"	""	""	"200"	""	""	"20"	""	""	"10"	""	"14"	"6"	""	"10"	""	"6"	""	"30"	""	"7"	""	"3"	""	"10"	""	"9"	""	""	"13"	""	"683"	""	"0"	""	"683"	""	"0"	""	""	""	""	""
"93"	"132"	"28"	"8"	""	"143"	""	"6"	""	"46"	""	"13"	""	""	"47"	""	""	"11"	""	""	"286"	""	""	"15"	""	""	"2"	""	"4"	"7"	""	"4"	""	"3"	""	"16"	""	"2"	""	"1"	""	"0"	""	"2"	""	""	"0"	""	"644"	""	"0"	""	"644"	""	"0"	""	""	""	""	""
"94"	"133"	"28"	"6"	""	"12"	""	"7"	""	"100"	""	"11"	""	""	"35"	""	""	"12"	""	""	"278"	""	""	"14"	""	""	"7"	""	"9"	"2"	""	"0"	""	"4"	""	"13"	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"3"	""	"544"	""	"0"	""	"544"	""	"0"	""	""	""	""	""
"95"	"134"	"16"	"3"	""	"31"	""	"7"	""	"27"	""	"13"	""	""	"45"	""	""	"5"	""	""	"345"	""	""	"8"	""	""	"5"	""	"4"	"4"	""	"1"	""	"0"	""	"9"	""	"3"	""	"0"	""	"1"	""	"5"	""	""	"0"	""	"532"	""	"0"	""	"532"	""	"0"	""	""	""	""	""
"96"	"135"	"7"	"3"	""	"19"	""	"4"	""	"14"	""	"1"	""	""	"35"	""	""	"13"	""	""	"290"	""	""	"10"	""	""	"4"	""	"3"	"2"	""	"2"	""	"0"	""	"8"	""	"1"	""	"0"	""	"2"	""	"0"	""	""	"2"	""	"420"	""	"0"	""	"420"	""	"0"	""	""	""	""	""
"97"	"136"	"2"	"1"	""	"0"	""	"3"	""	"172"	""	"5"	""	""	"5"	""	""	"5"	""	""	"11"	""	""	"3"	""	""	"1"	""	"2"	"0"	""	"2"	""	"2"	""	"12"	""	"3"	""	"1"	""	"0"	""	"3"	""	""	"3"	""	"236"	""	"0"	""	"236"	""	"0"	""	""	""	""	""
"98"	"137"	"41"	"3"	""	"15"	""	"1"	""	"56"	""	"9"	""	""	"37"	""	""	"9"	""	""	"223"	""	""	"6"	""	""	"5"	""	"3"	"0"	""	"3"	""	"3"	""	"15"	""	"4"	""	"1"	""	"1"	""	"6"	""	""	"5"	""	"446"	""	"0"	""	"446"	""	"0"	""	""	""	""	""
"99"	"138"	"29"	"4"	""	"10"	""	"13"	""	"428"	""	"13"	""	""	"10"	""	""	"37"	""	""	"63"	""	""	"5"	""	""	"5"	""	"5"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"1"	""	"0"	""	"2"	""	""	"0"	""	"650"	""	"0"	""	"650"	""	"0"	""	""	""	""	""
"100"	"139"	"50"	"6"	""	"24"	""	"7"	""	"159"	""	"20"	""	""	"53"	""	""	"28"	""	""	"386"	""	""	"18"	""	""	"14"	""	"6"	"8"	""	"5"	""	"4"	""	"11"	""	"11"	""	"5"	""	"5"	""	"4"	""	""	"6"	""	"830"	""	"0"	""	"830"	""	"0"	""	""	""	""	""
"101"	"140"	"13"	"6"	""	"37"	""	"9"	""	"212"	""	"10"	""	""	"22"	""	""	"4"	""	""	"132"	""	""	"1"	""	""	"0"	""	"3"	"2"	""	"0"	""	"3"	""	"2"	""	"3"	""	"1"	""	"1"	""	"1"	""	""	"2"	""	"464"	""	"0"	""	"464"	""	"0"	""	""	""	""	""
"102"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Election to the Legislative assembly from the 144-BARSOI constituency.                    Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"(To be used both for Parliamentary and Assembly elections                                        Total No. of Electors in Assembly constituency/Segment Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"109"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"71"	"14"	"3"	""	"11"	""	"9"	""	"96"	""	"9"	""	""	"23"	""	""	"10"	""	""	"86"	""	""	"21"	""	""	"4"	""	"14"	"201"	""	"8"	""	"6"	""	"17"	""	"3"	""	"1"	""	"2"	""	"4"	""	""	"6"	""	"548"	""	"0"	""	"548"	""	"0"	""	""	""	""	""
"111"	"72"	"28"	"6"	""	"13"	""	"6"	""	"183"	""	"8"	""	""	"28"	""	""	"15"	""	""	"126"	""	""	"12"	""	""	"11"	""	"11"	"26"	""	"11"	""	"6"	""	"30"	""	"37"	""	"4"	""	"4"	""	"5"	""	""	"16"	""	"586"	""	"0"	""	"586"	""	"0"	""	""	""	""	""
"112"	"73"	"46"	"4"	""	"2"	""	"7"	""	"185"	""	"7"	""	""	"10"	""	""	"12"	""	""	"126"	""	""	"10"	""	""	"5"	""	"5"	"36"	""	"5"	""	"5"	""	"13"	""	"82"	""	"7"	""	"0"	""	"9"	""	""	"4"	""	"580"	""	"0"	""	"580"	""	"0"	""	""	""	""	""
"113"	"74"	"119"	"13"	""	"7"	""	"9"	""	"240"	""	"14"	""	""	"27"	""	""	"6"	""	""	"97"	""	""	"9"	""	""	"5"	""	"8"	"50"	""	"2"	""	"1"	""	"16"	""	"55"	""	"3"	""	"1"	""	"3"	""	""	"3"	""	"688"	""	"0"	""	"688"	""	"0"	""	""	""	""	""
"114"	"75"	"126"	"4"	""	"4"	""	"3"	""	"73"	""	"7"	""	""	"14"	""	""	"4"	""	""	"178"	""	""	"4"	""	""	"2"	""	"1"	"0"	""	"3"	""	"2"	""	"7"	""	"70"	""	"0"	""	"0"	""	"1"	""	""	"4"	""	"507"	""	"0"	""	"507"	""	"0"	""	""	""	""	""
"115"	"76"	"201"	"7"	""	"1"	""	"3"	""	"31"	""	"10"	""	""	"27"	""	""	"5"	""	""	"103"	""	""	"5"	""	""	"2"	""	"1"	"6"	""	"1"	""	"3"	""	"5"	""	"35"	""	"2"	""	"1"	""	"0"	""	""	"6"	""	"455"	""	"0"	""	"455"	""	"0"	""	""	""	""	""
"116"	"77"	"78"	"8"	""	"25"	""	"0"	""	"15"	""	"7"	""	""	"38"	""	""	"9"	""	""	"164"	""	""	"5"	""	""	"4"	""	"3"	"3"	""	"2"	""	"5"	""	"1"	""	"5"	""	"1"	""	"0"	""	"3"	""	""	"2"	""	"378"	""	"0"	""	"378"	""	"0"	""	""	""	""	""
"117"	"78"	"142"	"10"	""	"25"	""	"7"	""	"132"	""	"18"	""	""	"28"	""	""	"10"	""	""	"149"	""	""	"3"	""	""	"4"	""	"2"	"8"	""	"0"	""	"1"	""	"2"	""	"18"	""	"7"	""	"2"	""	"3"	""	""	"6"	""	"577"	""	"0"	""	"577"	""	"0"	""	""	""	""	""
"118"	"79"	"40"	"6"	""	"8"	""	"10"	""	"168"	""	"18"	""	""	"48"	""	""	"18"	""	""	"222"	""	""	"13"	""	""	"9"	""	"3"	"40"	""	"5"	""	"7"	""	"17"	""	"8"	""	"1"	""	"2"	""	"3"	""	""	"6"	""	"652"	""	"0"	""	"652"	""	"0"	""	""	""	""	""
"119"	"80"	"104"	"11"	""	"12"	""	"7"	""	"107"	""	"19"	""	""	"43"	""	""	"11"	""	""	"123"	""	""	"6"	""	""	"11"	""	"9"	"276"	""	"10"	""	"11"	""	"8"	""	"6"	""	"4"	""	"0"	""	"1"	""	""	"1"	""	"780"	""	"0"	""	"780"	""	"0"	""	""	""	""	""
"120"	"81"	"69"	"2"	""	"6"	""	"8"	""	"65"	""	"12"	""	""	"28"	""	""	"12"	""	""	"162"	""	""	"9"	""	""	"4"	""	"2"	"204"	""	"11"	""	"8"	""	"12"	""	"20"	""	"5"	""	"0"	""	"6"	""	""	"3"	""	"648"	""	"0"	""	"648"	""	"0"	""	""	""	""	""
"121"	"82"	"83"	"5"	""	"0"	""	"7"	""	"98"	""	"11"	""	""	"45"	""	""	"12"	""	""	"207"	""	""	"21"	""	""	"17"	""	"9"	"57"	""	"9"	""	"4"	""	"18"	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	"606"	""	"0"	""	"606"	""	"0"	""	""	""	""	""
"122"	"83"	"53"	"0"	""	"2"	""	"2"	""	"60"	""	"5"	""	""	"5"	""	""	"1"	""	""	"24"	""	""	"2"	""	""	"0"	""	"1"	"12"	""	"2"	""	"3"	""	"8"	""	"8"	""	"0"	""	"1"	""	"1"	""	""	"1"	""	"191"	""	"0"	""	"191"	""	"0"	""	""	""	""	""
"123"	"84"	"36"	"5"	""	"15"	""	"10"	""	"74"	""	"15"	""	""	"30"	""	""	"9"	""	""	"160"	""	""	"9"	""	""	"150"	""	"10"	"10"	""	"7"	""	"10"	""	"24"	""	"13"	""	"2"	""	"2"	""	"2"	""	""	"6"	""	"599"	""	"0"	""	"599"	""	"0"	""	""	""	""	""
"124"	"Total"	"1139"	"84"	""	"131"	""	"88"	""	"1527"	""	"160"	""	""	"394"	""	""	"134"	""	""	"1927"	""	""	"129"	""	""	"228"	""	"79"	"929"	""	"76"	""	"72"	""	"178"	""	"361"	""	"37"	""	"15"	""	"43"	""	""	"64"	""	"7795"	""	""	""	"7795"	""	""	""	""	""	""	""
"125"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"126"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"85"	"21"	"10"	""	"16"	""	"3"	""	"51"	""	"11"	""	""	"18"	""	""	"8"	""	""	"111"	""	""	"16"	""	""	"337"	""	"15"	"5"	""	"5"	""	"6"	""	"25"	""	"25"	""	"3"	""	"2"	""	"2"	""	""	"3"	""	"693"	""	"0"	""	"693"	""	"0"	""	""	""	""	""
"128"	"86"	"28"	"3"	""	"4"	""	"11"	""	"75"	""	"7"	""	""	"19"	""	""	"2"	""	""	"103"	""	""	"18"	""	""	"133"	""	"5"	"7"	""	"1"	""	"4"	""	"9"	""	"5"	""	"1"	""	"0"	""	"0"	""	""	"12"	""	"447"	""	"0"	""	"447"	""	"0"	""	""	""	""	""
"129"	"87"	"46"	"6"	""	"4"	""	"13"	""	"367"	""	"9"	""	""	"35"	""	""	"12"	""	""	"260"	""	""	"14"	""	""	"7"	""	"4"	"5"	""	"1"	""	"2"	""	"13"	""	"12"	""	"0"	""	"0"	""	"2"	""	""	"1"	""	"813"	""	"0"	""	"813"	""	"0"	""	""	""	""	""
"130"	"88"	"14"	"1"	""	"9"	""	"2"	""	"69"	""	"12"	""	""	"22"	""	""	"11"	""	""	"303"	""	""	"4"	""	""	"10"	""	"4"	"4"	""	"2"	""	"4"	""	"20"	""	"5"	""	"1"	""	"0"	""	"0"	""	""	"2"	""	"499"	""	"0"	""	"499"	""	"0"	""	""	""	""	""
"131"	"89"	"20"	"1"	""	"3"	""	"0"	""	"3"	""	"5"	""	""	"12"	""	""	"3"	""	""	"152"	""	""	"2"	""	""	"18"	""	"0"	"0"	""	"0"	""	"0"	""	"6"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"0"	""	"226"	""	"0"	""	"226"	""	"0"	""	""	""	""	""
"132"	"90"	"117"	"6"	""	"9"	""	"7"	""	"91"	""	"13"	""	""	"29"	""	""	"5"	""	""	"155"	""	""	"9"	""	""	"8"	""	"4"	"2"	""	"3"	""	"2"	""	"6"	""	"2"	""	"0"	""	"0"	""	"1"	""	""	"0"	""	"469"	""	"0"	""	"469"	""	"0"	""	""	""	""	""
"133"	"91"	"53"	"5"	""	"16"	""	"1"	""	"157"	""	"11"	""	""	"46"	""	""	"12"	""	""	"163"	""	""	"10"	""	""	"9"	""	"6"	"6"	""	"4"	""	"5"	""	"26"	""	"63"	""	"2"	""	"2"	""	"6"	""	""	"5"	""	"608"	""	"0"	""	"608"	""	"0"	""	""	""	""	""
"134"	"92"	"26"	"5"	""	"28"	""	"7"	""	"263"	""	"20"	""	""	"8"	""	""	"22"	""	""	"23"	""	""	"8"	""	""	"37"	""	"0"	"12"	""	"3"	""	"3"	""	"7"	""	"19"	""	"6"	""	"2"	""	"7"	""	""	"1"	""	"507"	""	"0"	""	"507"	""	"0"	""	""	""	""	""
"135"	"93"	"6"	"0"	""	"23"	""	"2"	""	"29"	""	"147"	""	""	"21"	""	""	"6"	""	""	"171"	""	""	"7"	""	""	"3"	""	"4"	"1"	""	"2"	""	"2"	""	"13"	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"2"	""	"442"	""	"0"	""	"442"	""	"0"	""	""	""	""	""
"136"	"94"	"32"	"8"	""	"16"	""	"9"	""	"223"	""	"45"	""	""	"36"	""	""	"6"	""	""	"158"	""	""	"13"	""	""	"6"	""	"9"	"5"	""	"6"	""	"3"	""	"15"	""	"11"	""	"5"	""	"7"	""	"12"	""	""	"8"	""	"633"	""	"0"	""	"633"	""	"0"	""	""	""	""	""
"137"	"95"	"156"	"14"	""	"28"	""	"9"	""	"118"	""	"25"	""	""	"47"	""	""	"8"	""	""	"334"	""	""	"7"	""	""	"4"	""	"4"	"2"	""	"2"	""	"2"	""	"6"	""	"9"	""	"1"	""	"5"	""	"1"	""	""	"3"	""	"785"	""	"0"	""	"785"	""	"0"	""	""	""	""	""
"138"	"96"	"26"	"9"	""	"18"	""	"4"	""	"66"	""	"33"	""	""	"61"	""	""	"10"	""	""	"320"	""	""	"18"	""	""	"4"	""	"5"	"9"	""	"2"	""	"1"	""	"2"	""	"12"	""	"12"	""	"8"	""	"2"	""	""	"4"	""	"626"	""	"0"	""	"626"	""	"0"	""	""	""	""	""
"139"	"97"	"113"	"12"	""	"18"	""	"10"	""	"30"	""	"89"	""	""	"48"	""	""	"15"	""	""	"208"	""	""	"9"	""	""	"22"	""	"7"	"10"	""	"8"	""	"7"	""	"44"	""	"25"	""	"5"	""	"6"	""	"8"	""	""	"16"	""	"710"	""	"0"	""	"710"	""	"0"	""	""	""	""	""
"140"	"98"	"90"	"5"	""	"10"	""	"7"	""	"98"	""	"65"	""	""	"45"	""	""	"8"	""	""	"171"	""	""	"5"	""	""	"12"	""	"2"	"1"	""	"4"	""	"7"	""	"21"	""	"4"	""	"0"	""	"1"	""	"0"	""	""	"3"	""	"559"	""	"0"	""	"559"	""	"0"	""	""	""	""	""
"141"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"142"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
