"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"179"	"148"	"9"	"103"	"8"	"106"	"3"	"3"	"11"	"3"	"8"	"118"	"4"	"376"	""	"376"	""
"180"	"149"	"16"	"122"	"6"	"228"	"5"	"1"	"4"	"7"	"3"	"13"	"18"	"423"	""	"423"	""
"181"	"150"	"10"	"117"	"15"	"256"	"7"	"5"	"16"	"4"	"9"	"20"	"17"	"476"	""	"476"	""
"182"	"151"	"28"	"239"	"5"	"171"	"2"	"2"	"8"	"8"	"8"	"2"	"13"	"486"	""	"486"	""
"183"	"152"	"3"	"155"	"4"	"243"	"2"	"2"	"5"	"3"	"1"	"8"	"5"	"431"	""	"431"	""
"184"	"153"	"498"	"27"	"1"	"38"	"0"	"0"	"1"	"0"	"0"	"9"	"2"	"576"	""	"576"	""
"185"	"154"	"217"	"23"	"2"	"126"	"3"	"1"	"8"	"1"	"1"	"32"	"2"	"416"	""	"416"	""
"186"	"TOTAL-XI"	"1686"	"973"	"80"	"2515"	"52"	"31"	"92"	"57"	"62"	"899"	"114"	"6561"	""	"6561"	""
"187"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"189"	"155"	"81"	"10"	"1"	"221"	"1"	"1"	"2"	"3"	"4"	"7"	"4"	"335"	""	"335"	""
"190"	"156"	"175"	"6"	"3"	"169"	"5"	"1"	"8"	"0"	"1"	"38"	"3"	"409"	""	"409"	""
"191"	"157"	"340"	"45"	"5"	"159"	"8"	"6"	"6"	"4"	"1"	"44"	"5"	"623"	""	"623"	""
"192"	"158"	"149"	"27"	"8"	"229"	"8"	"6"	"8"	"5"	"2"	"55"	"13"	"510"	""	"510"	""
"193"	"159"	"228"	"45"	"12"	"243"	"11"	"2"	"9"	"6"	"2"	"55"	"7"	"620"	""	"620"	""
"194"	"160"	"323"	"77"	"16"	"65"	"7"	"4"	"6"	"6"	"6"	"41"	"34"	"585"	""	"585"	""
"195"	"161"	"264"	"12"	"10"	"367"	"13"	"13"	"7"	"8"	"10"	"4"	"13"	"721"	""	"721"	""
"196"	"162"	"190"	"15"	"4"	"303"	"7"	"4"	"15"	"6"	"1"	"18"	"19"	"582"	""	"582"	""
"197"	"163"	"72"	"89"	"9"	"314"	"14"	"0"	"12"	"2"	"5"	"20"	"3"	"540"	""	"540"	""
"198"	"164"	"125"	"48"	"11"	"421"	"13"	"5"	"10"	"8"	"7"	"146"	"16"	"810"	""	"810"	""
"199"	"165"	"211"	"13"	"4"	"222"	"6"	"2"	"12"	"6"	"0"	"35"	"1"	"512"	""	"512"	""
"200"	"166"	"65"	"10"	"8"	"217"	"2"	"4"	"4"	"1"	"2"	"25"	"7"	"345"	""	"345"	""
"201"	"167"	"28"	"25"	"10"	"252"	"11"	"11"	"10"	"1"	"5"	"92"	"5"	"450"	""	"450"	""
"202"	"168"	"26"	"12"	"14"	"475"	"9"	"5"	"22"	"11"	"12"	"31"	"14"	"631"	""	"631"	""
"203"	"TOTAL-XII"	"2277"	"434"	"115"	"3657"	"115"	"64"	"131"	"67"	"58"	"611"	"144"	"7673"	""	"7673"	""
"204"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"206"	"169"	"38"	"5"	"4"	"60"	"3"	"5"	"7"	"4"	"3"	"137"	"14"	"280"	""	"280"	""
"207"	"170"	"7"	"4"	"6"	"217"	"2"	"1"	"2"	"1"	"1"	"4"	"6"	"251"	""	"251"	""
"208"	"171"	"150"	"7"	"3"	"191"	"5"	"1"	"9"	"5"	"5"	"23"	"1"	"400"	""	"400"	""
"209"	"172"	"38"	"36"	"5"	"339"	"5"	"2"	"9"	"3"	"5"	"50"	"3"	"495"	""	"495"	""
"210"	"173"	"298"	"65"	"6"	"171"	"9"	"5"	"8"	"7"	"6"	"37"	"7"	"619"	""	"619"	""
"211"	"174"	"195"	"19"	"2"	"196"	"1"	"1"	"4"	"1"	"0"	"27"	"3"	"449"	""	"449"	""
"212"	"175"	"247"	"34"	"10"	"345"	"2"	"7"	"9"	"7"	"7"	"33"	"20"	"721"	""	"721"	""
"213"	"176"	"200"	"32"	"3"	"76"	"3"	"0"	"5"	"2"	"3"	"73"	"16"	"413"	""	"413"	""
"214"	"177"	"103"	"70"	"5"	"35"	"1"	"1"	"0"	"1"	"1"	"58"	"12"	"287"	""	"287"	""
"215"	"178"	"234"	"55"	"6"	"175"	"1"	"2"	"5"	"5"	"3"	"11"	"2"	"499"	""	"499"	""
"216"	"179"	"226"	"41"	"5"	"67"	"1"	"3"	"5"	"4"	"6"	"8"	"15"	"381"	""	"381"	""
"217"	"180"	"177"	"163"	"25"	"323"	"10"	"1"	"12"	"8"	"8"	"14"	"13"	"754"	""	"754"	""
"218"	"181"	"284"	"25"	"10"	"382"	"12"	"9"	"10"	"6"	"1"	"110"	"15"	"864"	""	"864"	""
"219"	"182"	"371"	"12"	"2"	"123"	"4"	"1"	"4"	"1"	"1"	"5"	"3"	"527"	""	"527"	""
"220"	"TOTAL-XIII"	"2568"	"568"	"92"	"2700"	"59"	"39"	"89"	"55"	"50"	"590"	"130"	"6940"	""	"6940"	""
"221"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"223"	"183"	"572"	"5"	"1"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"675"	""	"675"	""
"224"	"184"	"53"	"33"	"6"	"30"	"4"	"2"	"2"	"3"	"8"	"154"	"11"	"306"	""	"306"	""
"225"	"185"	"146"	"21"	"2"	"29"	"2"	"2"	"8"	"0"	"5"	"127"	"13"	"355"	""	"355"	""
"226"	"186"	"91"	"60"	"9"	"152"	"10"	"5"	"21"	"13"	"10"	"151"	"35"	"557"	""	"557"	""
"227"	"187"	"80"	"57"	"3"	"64"	"4"	"1"	"3"	"3"	"10"	"277"	"10"	"512"	""	"512"	""
"228"	"188"	"285"	"54"	"8"	"249"	"11"	"2"	"19"	"5"	"6"	"11"	"12"	"662"	""	"662"	""
"229"	"189"	"126"	"98"	"10"	"230"	"21"	"4"	"11"	"4"	"5"	"6"	"18"	"533"	""	"533"	""
"230"	"190"	"255"	"61"	"5"	"313"	"8"	"3"	"13"	"8"	"8"	"6"	"6"	"686"	""	"686"	""
"231"	"191"	"122"	"70"	"2"	"326"	"14"	"8"	"9"	"8"	"7"	"3"	"3"	"572"	""	"572"	""
"232"	"192"	"23"	"198"	"7"	"197"	"8"	"2"	"13"	"3"	"2"	"2"	"6"	"461"	""	"461"	""
"233"	"193"	"103"	"132"	"14"	"301"	"8"	"10"	"20"	"7"	"7"	"9"	"13"	"624"	""	"624"	""
"234"	"194"	"188"	"29"	"10"	"242"	"8"	"6"	"8"	"8"	"5"	"9"	"7"	"520"	""	"520"	""
"235"	"195"	"135"	"88"	"8"	"491"	"6"	"13"	"20"	"11"	"16"	"32"	"6"	"826"	""	"826"	""
"236"	"196"	"116"	"7"	"7"	"210"	"19"	"7"	"14"	"9"	"9"	"71"	"17"	"486"	""	"486"	""
"237"	"TOTAL-XIV"	"2295"	"913"	"92"	"2931"	"123"	"65"	"161"	"82"	"98"	"858"	"157"	"7775"	""	"7775"	""
"238"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"240"	"197"	"51"	"4"	"1"	"128"	"6"	"2"	"5"	"1"	"1"	"1"	"2"	"202"	""	"202"	""
"241"	"198"	"249"	"45"	"10"	"408"	"32"	"21"	"20"	"21"	"17"	"4"	"13"	"840"	""	"840"	""
"242"	"199"	"126"	"47"	"7"	"327"	"16"	"12"	"31"	"11"	"17"	"34"	"25"	"653"	""	"653"	""
"243"	"200"	"167"	"24"	"5"	"186"	"5"	"4"	"6"	"2"	"8"	"28"	"7"	"442"	""	"442"	""
"244"	"201"	"215"	"22"	"8"	"315"	"11"	"5"	"19"	"11"	"7"	"29"	"14"	"656"	""	"656"	""
"245"	"202"	"239"	"18"	"2"	"228"	"11"	"10"	"13"	"13"	"5"	"6"	"17"	"562"	""	"562"	""
"246"	"203"	"263"	"52"	"11"	"285"	"8"	"11"	"21"	"12"	"10"	"31"	"15"	"719"	""	"719"	""
"247"	"204"	"117"	"161"	"10"	"280"	"13"	"14"	"16"	"11"	"11"	"25"	"10"	"668"	""	"668"	""
"248"	"205"	"293"	"14"	"1"	"175"	"1"	"1"	"7"	"2"	"1"	"4"	"6"	"505"	""	"505"	""
"249"	"206"	"131"	"71"	"8"	"227"	"9"	"4"	"15"	"4"	"4"	"26"	"20"	"519"	""	"519"	""
"250"	"207"	"93"	"22"	"4"	"208"	"2"	"7"	"20"	"11"	"6"	"67"	"16"	"456"	""	"456"	""
"251"	"208"	"484"	"34"	"3"	"38"	"2"	"2"	"4"	"0"	"0"	"1"	"2"	"570"	""	"570"	""
"252"	"209"	"528"	"18"	"5"	"17"	"5"	"4"	"1"	"3"	"2"	"131"	"11"	"725"	""	"725"	""
"253"	"210"	"457"	"84"	"6"	"95"	"8"	"0"	"8"	"2"	"4"	"22"	"5"	"691"	""	"691"	""
"254"	"TOTAL-XV"	"3413"	"616"	"81"	"2917"	"129"	"97"	"186"	"104"	"93"	"409"	"163"	"8208"	""	"8208"	""
"255"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"257"	"211"	"202"	"47"	"1"	"174"	"8"	"6"	"12"	"4"	"3"	"41"	"17"	"515"	""	"515"	""
"258"	"TOTAL-XVI"	"202"	"47"	"1"	"174"	"8"	"6"	"12"	"4"	"3"	"41"	"17"	"515"	""	"515"	""
"259"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	""	"33420"	"16388"	"1609"	"35498"	"1467"	"901"	"1643"	"1048"	"1102"	"14568"	"2602"	"110246"	""	"110246"	""
"261"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa : 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""
"263"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	"33420"	"16389"	"1609"	"35498"	"1467"	"901"	"1643"	"1048"	"1102"	"14568"	"2602"	"110246"	"0"	"110247"	""
"265"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"tarIK : 27.02.2005                                                                                                                         irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"112¹ saupaOla"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
