"X."	"vH.fFkZ.ksa.ds..i.k..esa..Mkys.x.s..oS...erksa..dh..la..k"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"176"	"119"	"26"	"180"	"290"	"5"	"12"	"13"	"10"	"47"	"7"	"8"	"7"	"6"	"611"	""	"611"	""
"177"	"120"	"21"	"62"	"114"	"2"	"2"	"2"	"0"	"27"	"1"	"4"	"2"	"9"	"246"	""	"246"	""
"178"	"121"	"25"	"113"	"400"	"30"	"14"	"8"	"3"	"19"	"5"	"10"	"5"	"12"	"644"	""	"644"	""
"179"	"122"	"33"	"217"	"217"	"12"	"35"	"14"	"12"	"14"	"4"	"8"	"8"	"8"	"582"	""	"582"	""
"180"	"123"	"15"	"388"	"372"	"7"	"6"	"9"	"1"	"5"	"1"	"2"	"4"	"12"	"822"	""	"822"	""
"181"	"124"	"22"	"248"	"281"	"9"	"26"	"8"	"5"	"18"	"6"	"3"	"7"	"7"	"640"	""	"640"	""
"182"	"125"	"27"	"191"	"408"	"18"	"12"	"12"	"12"	"4"	"9"	"3"	"7"	"7"	"710"	""	"710"	""
"183"	"126"	"6"	"105"	"310"	"6"	"13"	"7"	"2"	"6"	"2"	"3"	"1"	"4"	"465"	""	"465"	""
"184"	";ksx"	"366"	"3117"	"3731"	"119"	"173"	"115"	"62"	"162"	"55"	"72"	"72"	"138"	"8182"	"0"	"8182"	"0"
"185"	"v|- ;ksx"	"1873"	"12180"	"27630"	"917"	"2044"	"1184"	"680"	"13785"	"678"	"975"	"691"	"1455"	"64092"	"0"	"64092"	"0"
"186"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"9                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"190"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"191"	"127"	"6"	"118"	"303"	"10"	"8"	"6"	"7"	"11"	"2"	"3"	"2"	"8"	"484"	""	"484"	""
"192"	"128"	"6"	"45"	"525"	"1"	"4"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"589"	""	"589"	""
"193"	"129"	"11"	"154"	"208"	"2"	"2"	"2"	"1"	"23"	"0"	"0"	"1"	"3"	"407"	""	"407"	""
"194"	"130"	"13"	"316"	"364"	"5"	"8"	"11"	"4"	"7"	"1"	"4"	"0"	"4"	"737"	""	"737"	""
"195"	"131"	"6"	"313"	"258"	"5"	"1"	"5"	"3"	"8"	"0"	"2"	"0"	"3"	"604"	""	"604"	""
"196"	"132"	"17"	"123"	"543"	"14"	"12"	"9"	"12"	"10"	"3"	"6"	"7"	"28"	"784"	""	"784"	""
"197"	"133"	"7"	"143"	"344"	"6"	"10"	"13"	"0"	"11"	"2"	"6"	"3"	"6"	"551"	""	"551"	""
"198"	"134"	"14"	"212"	"202"	"3"	"4"	"5"	"1"	"12"	"1"	"4"	"8"	"12"	"478"	""	"478"	""
"199"	"135"	"10"	"163"	"211"	"5"	"9"	"8"	"4"	"15"	"2"	"1"	"0"	"5"	"433"	""	"433"	""
"200"	"136"	"2"	"133"	"597"	"5"	"19"	"3"	"4"	"15"	"0"	"4"	"3"	"8"	"793"	""	"793"	""
"201"	"137"	"13"	"136"	"401"	"3"	"8"	"13"	"8"	"3"	"0"	"11"	"3"	"5"	"604"	""	"604"	""
"202"	"138"	"16"	"199"	"339"	"9"	"9"	"18"	"12"	"3"	"8"	"8"	"14"	"25"	"660"	""	"660"	""
"203"	"139"	"9"	"131"	"310"	"6"	"12"	"9"	"8"	"6"	"1"	"12"	"6"	"22"	"532"	""	"532"	""
"204"	"140"	"4"	"118"	"339"	"8"	"5"	"7"	"1"	"22"	"2"	"8"	"4"	"6"	"524"	""	"524"	""
"205"	";ksx"	"134"	"2304"	"4944"	"82"	"111"	"114"	"65"	"149"	"22"	"69"	"51"	"135"	"8180"	"0"	"8180"	"0"
"206"	"v|- ;ksx"	"2007"	"14484"	"32574"	"999"	"2155"	"1298"	"745"	"13934"	"700"	"1044"	"742"	"1590"	"72272"	"0"	"72272"	"0"
"207"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"10                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"211"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"212"	"141"	"13"	"541"	"108"	"5"	"1"	"4"	"0"	"0"	"3"	"0"	"2"	"2"	"679"	""	"679"	""
"213"	"142"	"17"	"358"	"135"	"4"	"3"	"3"	"1"	"8"	"3"	"1"	"1"	"2"	"536"	""	"536"	""
"214"	"143"	"10"	"319"	"163"	"4"	"4"	"5"	"1"	"1"	"3"	"6"	"2"	"4"	"522"	""	"522"	""
"215"	"144"	"7"	"406"	"104"	"1"	"8"	"2"	"3"	"3"	"0"	"4"	"2"	"9"	"549"	""	"549"	""
"216"	"145"	"15"	"430"	"59"	"3"	"3"	"5"	"2"	"6"	"3"	"4"	"4"	"6"	"540"	""	"540"	""
"217"	"146"	"4"	"332"	"131"	"2"	"7"	"0"	"2"	"2"	"0"	"1"	"2"	"3"	"486"	""	"486"	""
"218"	"147"	"24"	"93"	"174"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"298"	""	"298"	""
"219"	"148"	"6"	"91"	"398"	"7"	"13"	"7"	"2"	"13"	"1"	"9"	"6"	"14"	"567"	""	"567"	""
"220"	"149"	"17"	"95"	"380"	"4"	"8"	"7"	"5"	"23"	"3"	"7"	"3"	"7"	"559"	""	"559"	""
"221"	"150"	"41"	"170"	"471"	"5"	"1"	"10"	"1"	"14"	"2"	"12"	"7"	"10"	"744"	""	"744"	""
"222"	"151"	"10"	"160"	"450"	"9"	"6"	"11"	"7"	"12"	"2"	"4"	"2"	"8"	"681"	""	"681"	""
"223"	"152"	"13"	"77"	"308"	"7"	"2"	"5"	"2"	"7"	"1"	"7"	"2"	"9"	"440"	""	"440"	""
"224"	"153"	"6"	"63"	"311"	"1"	"5"	"6"	"5"	"7"	"1"	"5"	"2"	"18"	"430"	""	"430"	""
"225"	"154"	"12"	"93"	"364"	"12"	"13"	"18"	"3"	"8"	"11"	"17"	"13"	"38"	"602"	""	"602"	""
"226"	";ksx"	"195"	"3228"	"3556"	"65"	"76"	"84"	"35"	"104"	"33"	"78"	"49"	"130"	"7633"	"0"	"7633"	"0"
"227"	"v|- ;ksx"	"2202"	"17712"	"36130"	"1064"	"2231"	"1382"	"780"	"14038"	"733"	"1122"	"791"	"1720"	"79905"	"0"	"79905"	"0"
"228"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"11                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"232"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"233"	"155"	"11"	"71"	"385"	"4"	"2"	"6"	"1"	"6"	"3"	"1"	"5"	"6"	"501"	""	"501"	""
"234"	"156"	"5"	"49"	"230"	"7"	"7"	"8"	"4"	"4"	"1"	"7"	"2"	"12"	"336"	""	"336"	""
"235"	"157"	"8"	"148"	"306"	"4"	"5"	"15"	"3"	"2"	"5"	"9"	"2"	"25"	"532"	""	"532"	""
"236"	"158"	"4"	"57"	"547"	"5"	"8"	"4"	"4"	"2"	"0"	"1"	"1"	"2"	"635"	""	"635"	""
"237"	"159"	"4"	"149"	"358"	"4"	"4"	"9"	"1"	"10"	"1"	"2"	"2"	"11"	"555"	""	"555"	""
"238"	"160"	"8"	"52"	"323"	"5"	"14"	"10"	"3"	"4"	"5"	"3"	"1"	"3"	"431"	""	"431"	""
"239"	"161"	"19"	"73"	"509"	"5"	"8"	"11"	"3"	"11"	"3"	"11"	"4"	"10"	"667"	""	"667"	""
"240"	"162"	"17"	"32"	"408"	"4"	"5"	"7"	"6"	"13"	"0"	"3"	"1"	"5"	"501"	""	"501"	""
"241"	"163"	"7"	"170"	"429"	"6"	"2"	"6"	"1"	"4"	"0"	"1"	"2"	"3"	"631"	""	"631"	""
"242"	"164"	"18"	"95"	"376"	"8"	"11"	"8"	"4"	"3"	"1"	"3"	"3"	"0"	"530"	""	"530"	""
"243"	"165"	"8"	"65"	"309"	"2"	"2"	"4"	"4"	"5"	"1"	"9"	"7"	"11"	"427"	""	"427"	""
"244"	"166"	"1"	"66"	"428"	"7"	"1"	"0"	"2"	"5"	"1"	"0"	"0"	"4"	"515"	""	"515"	""
"245"	"167"	"9"	"382"	"139"	"4"	"1"	"5"	"0"	"4"	"4"	"3"	"4"	"7"	"562"	""	"562"	""
"246"	"168"	"1"	"109"	"201"	"5"	"3"	"2"	"1"	"16"	"0"	"0"	"0"	"1"	"339"	""	"339"	""
"247"	";ksx"	"120"	"1518"	"4948"	"70"	"73"	"95"	"37"	"89"	"25"	"53"	"34"	"100"	"7162"	"0"	"7162"	"0"
"248"	"v|- ;ksx"	"2322"	"19230"	"41078"	"1134"	"2304"	"1477"	"817"	"14127"	"758"	"1175"	"825"	"1820"	"87067"	"0"	"87067"	"0"
"249"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"12                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"253"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"254"	"169"	"2"	"67"	"389"	"6"	"4"	"3"	"1"	"57"	"1"	"2"	"0"	"4"	"536"	""	"536"	""
"255"	"170"	"5"	"103"	"537"	"10"	"4"	"8"	"0"	"9"	"2"	"0"	"6"	"5"	"689"	""	"689"	""
"256"	"171"	"10"	"76"	"453"	"3"	"7"	"12"	"8"	"15"	"4"	"4"	"6"	"4"	"602"	""	"602"	""
"257"	"172"	"10"	"209"	"170"	"8"	"2"	"3"	"6"	"17"	"3"	"6"	"4"	"2"	"440"	""	"440"	""
"258"	"173"	"3"	"276"	"128"	"1"	"25"	"2"	"0"	"25"	"2"	"5"	"4"	"7"	"478"	""	"478"	""
"259"	"174"	"7"	"151"	"346"	"6"	"5"	"8"	"3"	"18"	"6"	"4"	"4"	"14"	"572"	""	"572"	""
"260"	"175"	"3"	"96"	"267"	"2"	"1"	"8"	"3"	"9"	"2"	"5"	"2"	"8"	"406"	""	"406"	""
"261"	"176"	"6"	"117"	"334"	"13"	"5"	"15"	"6"	"6"	"2"	"4"	"6"	"20"	"534"	""	"534"	""
"262"	"177"	"10"	"222"	"204"	"4"	"10"	"2"	"2"	"5"	"1"	"3"	"1"	"4"	"468"	""	"468"	""
"263"	"178"	"7"	"112"	"609"	"3"	"9"	"4"	"3"	"4"	"2"	"4"	"1"	"7"	"765"	""	"765"	""
"264"	"179"	"3"	"71"	"382"	"5"	"5"	"6"	"3"	"24"	"4"	"8"	"3"	"13"	"527"	""	"527"	""
"265"	"180"	"11"	"79"	"625"	"5"	"14"	"11"	"6"	"12"	"2"	"9"	"5"	"10"	"789"	""	"789"	""
"266"	"181"	"9"	"135"	"559"	"3"	"6"	"9"	"4"	"5"	"3"	"9"	"2"	"6"	"750"	""	"750"	""
"267"	"182"	"9"	"174"	"477"	"8"	"5"	"8"	"2"	"27"	"1"	"1"	"3"	"7"	"722"	""	"722"	""
"268"	";ksx"	"95"	"1888"	"5480"	"77"	"102"	"99"	"47"	"233"	"35"	"64"	"47"	"111"	"8278"	"0"	"8278"	"0"
"269"	"v|- ;ksx"	"2417"	"21118"	"46558"	"1211"	"2406"	"1576"	"864"	"14360"	"793"	"1239"	"872"	"1931"	"95345"	"0"	"95345"	"0"
"270"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"13                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"274"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"275"	"183"	"10"	"251"	"195"	"4"	"4"	"12"	"0"	"19"	"2"	"7"	"6"	"15"	"525"	""	"525"	""
"276"	"184"	"13"	"297"	"66"	"3"	"4"	"4"	"7"	"173"	"9"	"4"	"0"	"8"	"588"	""	"588"	""
"277"	"185"	"4"	"257"	"55"	"3"	"1"	"1"	"6"	"184"	"4"	"4"	"2"	"2"	"523"	""	"523"	""
"278"	"186"	"1"	"174"	"69"	"4"	"0"	"4"	"2"	"162"	"3"	"2"	"1"	"8"	"430"	""	"430"	""
"279"	"187"	"6"	"26"	"423"	"5"	"6"	"6"	"5"	"45"	"2"	"8"	"1"	"5"	"538"	""	"538"	""
"280"	"188"	"4"	"128"	"124"	"3"	"5"	"4"	"1"	"24"	"2"	"4"	"2"	"11"	"312"	""	"312"	""
"281"	"189"	"11"	"112"	"237"	"6"	"2"	"4"	"0"	"2"	"2"	"6"	"1"	"8"	"391"	""	"391"	""
"282"	"190"	"5"	"91"	"282"	"5"	"1"	"5"	"8"	"41"	"6"	"17"	"8"	"16"	"485"	""	"485"	""
"283"	"191"	"7"	"140"	"372"	"13"	"50"	"16"	"5"	"13"	"9"	"13"	"5"	"25"	"668"	""	"668"	""
"284"	"192"	"20"	"99"	"364"	"5"	"13"	"8"	"10"	"10"	"2"	"10"	"3"	"4"	"548"	""	"548"	""
"285"	"193"	"7"	"92"	"207"	"3"	"4"	"8"	"6"	"15"	"3"	"8"	"6"	"26"	"385"	""	"385"	""
"286"	"194"	"9"	"137"	"191"	"10"	"2"	"11"	"8"	"16"	"4"	"10"	"7"	"17"	"422"	""	"422"	""
"287"	"195"	"2"	"229"	"6"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"244"	""	"244"	""
"288"	"196"	"56"	"106"	"215"	"2"	"11"	"5"	"5"	"173"	"1"	"5"	"2"	"9"	"590"	""	"590"	""
"289"	";ksx"	"155"	"2139"	"2806"	"67"	"104"	"88"	"64"	"879"	"49"	"98"	"45"	"155"	"6649"	"0"	"6649"	"0"
"290"	"v|- ;ksx"	"2572"	"23257"	"49364"	"1278"	"2510"	"1664"	"928"	"15239"	"842"	"1337"	"917"	"2086"	"101994"	"0"	"101994"	"0"
"291"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"14                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"295"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"296"	"197"	"13"	"89"	"135"	"3"	"4"	"12"	"7"	"183"	"7"	"6"	"5"	"9"	"473"	""	"473"	""
"297"	"198"	"25"	"62"	"280"	"4"	"9"	"3"	"1"	"23"	"7"	"6"	"4"	"18"	"442"	""	"442"	""
"298"	"199"	"88"	"89"	"212"	"4"	"3"	"4"	"6"	"9"	"4"	"3"	"3"	"5"	"430"	""	"430"	""
"299"	"200"	"13"	"101"	"271"	"19"	"54"	"11"	"5"	"7"	"11"	"21"	"17"	"24"	"554"	""	"554"	""
"300"	"201"	"10"	"193"	"241"	"0"	"6"	"7"	"4"	"55"	"2"	"0"	"0"	"2"	"520"	""	"520"	""
"301"	"202"	"11"	"98"	"255"	"2"	"11"	"7"	"0"	"3"	"2"	"2"	"0"	"1"	"392"	""	"392"	""
"302"	"203"	"16"	"128"	"41"	"5"	"124"	"2"	"0"	"5"	"1"	"1"	"7"	"2"	"332"	""	"332"	""
"303"	"204"	"24"	"28"	"211"	"3"	"2"	"7"	"4"	"3"	"1"	"9"	"4"	"9"	"305"	""	"305"	""
"304"	"205"	"13"	"179"	"214"	"8"	"6"	"7"	"6"	"2"	"2"	"5"	"7"	"11"	"460"	""	"460"	""
"305"	"206"	"12"	"136"	"533"	"6"	"26"	"5"	"3"	"6"	"1"	"5"	"0"	"3"	"736"	""	"736"	""
"306"	"207"	"13"	"101"	"311"	"7"	"32"	"14"	"7"	"119"	"6"	"9"	"6"	"4"	"629"	""	"629"	""
"307"	"208"	"9"	"127"	"208"	"6"	"13"	"6"	"5"	"111"	"9"	"6"	"5"	"6"	"511"	""	"511"	""
"308"	"209"	"5"	"70"	"271"	"7"	"8"	"8"	"2"	"16"	"4"	"4"	"4"	"8"	"407"	""	"407"	""
"309"	"210"	"17"	"136"	"293"	"11"	"7"	"19"	"6"	"40"	"5"	"13"	"5"	"15"	"567"	""	"567"	""
"310"	";ksx"	"269"	"1537"	"3476"	"85"	"305"	"112"	"56"	"582"	"62"	"90"	"67"	"117"	"6758"	"0"	"6758"	"0"
"311"	"v|- ;ksx"	"2841"	"24794"	"52840"	"1363"	"2815"	"1776"	"984"	"15821"	"904"	"1427"	"984"	"2203"	"108752"	"0"	"108752"	"0"
"312"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"15                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"316"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"317"	"211"	"60"	"15"	"393"	"10"	"31"	"10"	"5"	"17"	"3"	"6"	"2"	"7"	"559"	""	"559"	""
"318"	"212"	"10"	"12"	"192"	"5"	"3"	"2"	"3"	"25"	"2"	"4"	"3"	"11"	"272"	""	"272"	""
"319"	"213"	"11"	"111"	"352"	"10"	"21"	"7"	"13"	"25"	"4"	"5"	"6"	"2"	"567"	""	"567"	""
"320"	"214"	"16"	"174"	"201"	"3"	"18"	"9"	"60"	"5"	"4"	"8"	"2"	"7"	"507"	""	"507"	""
"321"	"215"	"19"	"82"	"120"	"4"	"7"	"8"	"9"	"5"	"2"	"7"	"7"	"12"	"282"	""	"282"	""
"322"	"216"	"11"	"125"	"306"	"5"	"7"	"7"	"6"	"126"	"5"	"4"	"8"	"10"	"620"	""	"620"	""
"323"	"217"	"2"	"42"	"206"	"0"	"3"	"3"	"0"	"21"	"5"	"0"	"0"	"1"	"283"	""	"283"	""
"324"	"218"	"3"	"37"	"326"	"2"	"13"	"3"	"2"	"3"	"7"	"4"	"3"	"8"	"411"	""	"411"	""
"325"	"219"	"8"	"33"	"123"	"2"	"1"	"3"	"5"	"7"	"299"	"7"	"4"	"14"	"506"	""	"506"	""
"326"	"220"	"15"	"106"	"209"	"5"	"5"	"13"	"10"	"8"	"34"	"7"	"4"	"9"	"425"	""	"425"	""
"327"	"221"	"16"	"75"	"294"	"6"	"59"	"13"	"7"	"21"	"30"	"11"	"7"	"16"	"555"	""	"555"	""
"328"	"222"	"19"	"132"	"150"	"5"	"38"	"3"	"0"	"1"	"3"	"1"	"1"	"3"	"356"	""	"356"	""
"329"	"223"	"28"	"79"	"320"	"8"	"6"	"11"	"9"	"8"	"8"	"7"	"5"	"6"	"495"	""	"495"	""
"330"	"224"	"24"	"58"	"177"	"4"	"3"	"7"	"5"	"14"	"4"	"5"	"1"	"5"	"307"	""	"307"	""
"331"	";ksx"	"242"	"1081"	"3369"	"69"	"215"	"99"	"134"	"286"	"410"	"76"	"53"	"111"	"6145"	"0"	"6145"	"0"
"332"	"v|- ;ksx"	"3083"	"25875"	"56209"	"1432"	"3030"	"1875"	"1118"	"16107"	"1314"	"1503"	"1037"	"2314"	"114897"	"0"	"114897"	"0"
"333"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"16                                                                                                 2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"338"	"225"	"9"	"207"	"164"	"3"	"11"	"19"	"4"	"1"	"4"	"3"	"9"	"5"	"439"	""	"439"	""
"339"	"226"	"27"	"21"	"143"	"5"	"62"	"3"	"0"	"1"	"5"	"5"	"6"	"3"	"281"	""	"281"	""
"340"	"227"	"20"	"104"	"297"	"8"	"77"	"12"	"4"	"4"	"1"	"5"	"8"	"2"	"542"	""	"542"	""
"341"	"228"	"8"	"74"	"239"	"4"	"44"	"12"	"3"	"12"	"1"	"4"	"6"	"5"	"412"	""	"412"	""
"342"	"229"	"6"	"117"	"249"	"7"	"34"	"15"	"1"	"6"	"5"	"8"	"7"	"13"	"468"	""	"468"	""
"343"	"230"	"26"	"62"	"312"	"7"	"8"	"7"	"4"	"1"	"2"	"1"	"2"	"2"	"434"	""	"434"	""
"344"	"231"	"207"	"69"	"123"	"4"	"28"	"6"	"2"	"10"	"2"	"4"	"1"	"0"	"456"	""	"456"	""
"345"	"232"	"3"	"104"	"256"	"1"	"5"	"4"	"1"	"1"	"1"	"3"	"3"	"8"	"390"	""	"390"	""
"346"	"233"	"17"	"104"	"261"	"5"	"3"	"6"	"5"	"6"	"3"	"8"	"4"	"24"	"446"	""	"446"	""
"347"	"234"	"10"	"123"	"231"	"5"	"4"	"5"	"4"	"6"	"4"	"0"	"2"	"3"	"397"	""	"397"	""
"348"	"235"	"27"	"150"	"204"	"15"	"44"	"14"	"5"	"6"	"7"	"8"	"6"	"4"	"490"	""	"490"	""
"349"	"236"	"11"	"157"	"233"	"3"	"18"	"10"	"2"	"5"	"1"	"1"	"1"	"3"	"445"	""	"445"	""
"350"	"237"	"14"	"141"	"26"	"3"	"7"	"2"	"3"	"5"	"4"	"1"	"1"	"1"	"208"	""	"208"	""
"351"	"238"	"19"	"173"	"204"	"1"	"9"	"7"	"3"	"4"	"1"	"0"	"5"	"6"	"432"	""	"432"	""
"352"	";ksx"	"404"	"1606"	"2942"	"71"	"354"	"122"	"41"	"68"	"41"	"51"	"61"	"79"	"5840"	"0"	"5840"	"0"
"353"	"dqy ;ksx"	"3487"	"27481"	"59151"	"1503"	"3384"	"1997"	"1159"	"16175"	"1355"	"1554"	"1098"	"2393"	"120737"	"0"	"120737"	"0"
