"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"138"	"113"	"415"	"13"	"4"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"13"	"453"	"0"	"453"	"0"
"139"	"114"	"416"	"8"	"2"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"12"	"447"	"0"	"447"	"0"
"140"	"115"	"119"	"224"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"2"	"358"	"0"	"358"	"0"
"141"	"116"	"57"	"211"	"16"	"2"	"8"	"1"	"3"	"2"	"0"	"0"	"4"	"5"	"1"	"0"	"9"	"2"	"321"	"0"	"321"	"0"
"142"	"117"	"87"	"303"	"18"	"3"	"16"	"3"	"6"	"3"	"4"	"2"	"3"	"14"	"7"	"11"	"38"	"22"	"540"	"0"	"540"	"0"
"143"	"118"	"172"	"328"	"36"	"12"	"11"	"3"	"30"	"5"	"5"	"5"	"2"	"9"	"3"	"3"	"8"	"5"	"637"	"0"	"637"	"0"
"144"	"119"	"431"	"10"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"8"	"457"	"0"	"457"	"0"
"145"	"120"	"161"	"234"	"18"	"5"	"2"	"3"	"4"	"3"	"3"	"2"	"1"	"3"	"2"	"4"	"18"	"11"	"474"	"0"	"474"	"0"
"146"	"121"	"358"	"144"	"10"	"3"	"9"	"2"	"2"	"3"	"1"	"1"	"0"	"4"	"1"	"5"	"15"	"18"	"576"	"0"	"576"	"0"
"147"	"122"	"130"	"384"	"17"	"22"	"16"	"4"	"4"	"1"	"6"	"4"	"3"	"16"	"6"	"3"	"20"	"11"	"647"	"0"	"647"	"0"
"148"	"123"	"161"	"214"	"10"	"2"	"10"	"4"	"8"	"4"	"0"	"2"	"4"	"9"	"0"	"2"	"12"	"5"	"447"	"0"	"447"	"0"
"149"	"124"	"63"	"368"	"7"	"2"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"4"	"1"	"454"	"0"	"454"	"0"
"150"	"125"	"110"	"224"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"1"	"11"	"5"	"363"	"0"	"363"	"0"
"151"	"126"	"73"	"240"	"12"	"0"	"7"	"2"	"3"	"1"	"0"	"0"	"1"	"3"	"2"	"2"	"9"	"2"	"357"	"0"	"357"	"0"
"152"	"Round Total"	"2753"	"2905"	"161"	"52"	"88"	"26"	"63"	"26"	"21"	"17"	"19"	"70"	"29"	"31"	"153"	"117"	"6531"	"0"	"6531"	"0"
"153"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"154"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"155"	"127"	"187"	"187"	"9"	"4"	"5"	"2"	"5"	"2"	"0"	"1"	"1"	"4"	"4"	"3"	"5"	"13"	"432"	"0"	"432"	"0"
"156"	"128"	"72"	"402"	"10"	"0"	"6"	"1"	"2"	"0"	"0"	"1"	"2"	"5"	"0"	"0"	"12"	"8"	"521"	"0"	"521"	"0"
"157"	"129"	"156"	"184"	"31"	"2"	"4"	"4"	"5"	"1"	"1"	"0"	"1"	"3"	"1"	"3"	"5"	"2"	"403"	"0"	"403"	"0"
"158"	"130"	"33"	"308"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"345"	"0"	"345"	"0"
"159"	"131"	"137"	"212"	"15"	"1"	"9"	"3"	"1"	"0"	"1"	"3"	"1"	"6"	"5"	"9"	"22"	"22"	"447"	"0"	"447"	"0"
"160"	"132"	"147"	"164"	"17"	"3"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"8"	"5"	"6"	"7"	"18"	"383"	"0"	"383"	"0"
"161"	"133"	"167"	"127"	"5"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"1"	"2"	"12"	"11"	"336"	"0"	"336"	"0"
"162"	"134"	"158"	"125"	"9"	"7"	"9"	"2"	"3"	"3"	"1"	"0"	"3"	"14"	"1"	"5"	"11"	"13"	"364"	"0"	"364"	"0"
"163"	"135"	"119"	"94"	"13"	"3"	"9"	"4"	"9"	"4"	"5"	"5"	"3"	"5"	"5"	"3"	"6"	"11"	"298"	"0"	"298"	"0"
"164"	"136"	"222"	"138"	"6"	"3"	"3"	"2"	"4"	"3"	"4"	"2"	"3"	"2"	"1"	"5"	"8"	"26"	"432"	"0"	"432"	"0"
"165"	"137"	"258"	"117"	"9"	"7"	"10"	"5"	"11"	"8"	"3"	"2"	"2"	"12"	"8"	"15"	"24"	"29"	"520"	"0"	"520"	"0"
"166"	"138"	"269"	"120"	"32"	"2"	"3"	"2"	"8"	"5"	"0"	"4"	"2"	"2"	"3"	"7"	"8"	"29"	"496"	"0"	"496"	"0"
"167"	"139"	"305"	"238"	"5"	"1"	"4"	"1"	"5"	"1"	"0"	"2"	"0"	"2"	"2"	"3"	"5"	"6"	"580"	"0"	"580"	"0"
"168"	"140"	"99"	"131"	"13"	"6"	"5"	"1"	"13"	"3"	"1"	"3"	"1"	"3"	"3"	"5"	"15"	"19"	"321"	"0"	"321"	"0"
"169"	"Round Total"	"2329"	"2547"	"175"	"40"	"73"	"30"	"69"	"30"	"17"	"26"	"20"	"69"	"40"	"66"	"140"	"207"	"5878"	"0"	"5878"	"0"
"170"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"171"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"172"	"141"	"83"	"163"	"9"	"1"	"7"	"1"	"3"	"0"	"0"	"3"	"1"	"6"	"4"	"4"	"10"	"23"	"318"	"0"	"318"	"0"
"173"	"142"	"37"	"195"	"10"	"3"	"4"	"5"	"2"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"263"	"0"	"263"	"0"
"174"	"143"	"81"	"75"	"11"	"5"	"9"	"6"	"25"	"4"	"3"	"3"	"4"	"6"	"0"	"3"	"6"	"9"	"250"	"0"	"250"	"0"
"175"	"144"	"52"	"386"	"9"	"0"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"8"	"3"	"470"	"0"	"470"	"0"
"176"	"145"	"223"	"260"	"7"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"499"	"0"	"499"	"0"
"177"	"146"	"151"	"403"	"9"	"1"	"4"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"6"	"3"	"582"	"0"	"582"	"0"
"178"	"147"	"396"	"18"	"6"	"0"	"0"	"1"	"7"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"433"	"0"	"433"	"0"
"179"	"148"	"78"	"288"	"9"	"2"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"1"	"0"	"5"	"2"	"395"	"0"	"395"	"0"
"180"	"149"	"360"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"375"	"0"	"375"	"0"
"181"	"150"	"318"	"168"	"22"	"2"	"10"	"3"	"10"	"3"	"2"	"3"	"3"	"11"	"4"	"9"	"18"	"34"	"620"	"0"	"620"	"0"
"182"	"151"	"244"	"141"	"4"	"5"	"1"	"3"	"2"	"1"	"3"	"4"	"0"	"5"	"5"	"4"	"11"	"36"	"469"	"0"	"469"	"0"
"183"	"152"	"178"	"216"	"11"	"3"	"6"	"10"	"2"	"6"	"2"	"3"	"6"	"12"	"5"	"15"	"28"	"35"	"538"	"0"	"538"	"0"
"184"	"153"	"71"	"134"	"9"	"0"	"6"	"0"	"1"	"3"	"2"	"2"	"2"	"4"	"2"	"3"	"17"	"8"	"264"	"0"	"264"	"0"
"185"	"154"	"148"	"138"	"11"	"0"	"3"	"2"	"1"	"2"	"2"	"1"	"5"	"8"	"2"	"2"	"4"	"10"	"339"	"0"	"339"	"0"
"186"	"Round Total"	"2420"	"2595"	"129"	"24"	"60"	"33"	"59"	"20"	"17"	"23"	"24"	"62"	"24"	"41"	"115"	"169"	"5815"	"0"	"5815"	"0"
"187"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 33-Maharajganj ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 33-Maharajganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"196"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"197"	"155"	"217"	"125"	"8"	"2"	"4"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"9"	"7"	"22"	"401"	"0"	"401"	"0"
"198"	"156"	"164"	"239"	"13"	"5"	"8"	"5"	"6"	"5"	"3"	"4"	"2"	"4"	"0"	"1"	"22"	"7"	"488"	"0"	"488"	"0"
"199"	"157"	"148"	"230"	"26"	"5"	"12"	"2"	"10"	"1"	"4"	"2"	"4"	"5"	"7"	"2"	"14"	"8"	"480"	"0"	"480"	"0"
"200"	"158"	"202"	"168"	"12"	"4"	"9"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"6"	"2"	"411"	"0"	"411"	"0"
"201"	"159"	"149"	"197"	"9"	"2"	"14"	"2"	"3"	"2"	"2"	"1"	"0"	"7"	"1"	"3"	"6"	"2"	"400"	"0"	"400"	"0"
"202"	"160"	"253"	"40"	"8"	"8"	"1"	"1"	"5"	"1"	"2"	"1"	"1"	"2"	"0"	"2"	"6"	"17"	"348"	"0"	"348"	"0"
"203"	"161"	"165"	"360"	"8"	"2"	"2"	"1"	"25"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"7"	"2"	"576"	"0"	"576"	"0"
"204"	"162"	"113"	"231"	"8"	"13"	"2"	"2"	"28"	"1"	"1"	"1"	"1"	"2"	"3"	"3"	"7"	"8"	"424"	"0"	"424"	"0"
"205"	"163"	"15"	"39"	"1"	"0"	"0"	"0"	"5"	"1"	"3"	"2"	"0"	"1"	"0"	"1"	"5"	"4"	"77"	"0"	"77"	"0"
"206"	"164"	"33"	"68"	"3"	"0"	"5"	"3"	"80"	"6"	"3"	"7"	"1"	"3"	"3"	"3"	"4"	"8"	"230"	"0"	"230"	"0"
"207"	"165"	"192"	"324"	"5"	"10"	"6"	"3"	"33"	"5"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"13"	"599"	"0"	"599"	"0"
"208"	"166"	"217"	"259"	"12"	"5"	"8"	"3"	"4"	"5"	"1"	"3"	"7"	"12"	"5"	"8"	"33"	"34"	"616"	"0"	"616"	"0"
"209"	"167"	"182"	"140"	"19"	"2"	"3"	"0"	"0"	"1"	"2"	"1"	"0"	"4"	"1"	"4"	"2"	"13"	"374"	"0"	"374"	"0"
"210"	"168"	"103"	"123"	"13"	"2"	"5"	"3"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"6"	"9"	"274"	"0"	"274"	"0"
"211"	"Round Total"	"2153"	"2543"	"145"	"60"	"79"	"28"	"205"	"29"	"24"	"22"	"22"	"46"	"26"	"40"	"127"	"149"	"5698"	"0"	"5698"	"0"
"212"	"Date : 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Time:…………………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Place: Siwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"33-Maharajganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"218"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"219"	"169"	"33"	"85"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"127"	"0"	"127"	"0"
"220"	"170"	"96"	"238"	"14"	"1"	"5"	"3"	"3"	"0"	"1"	"0"	"1"	"6"	"1"	"1"	"15"	"3"	"388"	"0"	"388"	"0"
"221"	"171"	"68"	"191"	"15"	"0"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"8"	"1"	"294"	"0"	"294"	"0"
"222"	"172"	"111"	"169"	"11"	"14"	"9"	"1"	"2"	"1"	"0"	"0"	"2"	"3"	"1"	"1"	"13"	"8"	"346"	"0"	"346"	"0"
"223"	"173"	"141"	"275"	"13"	"16"	"14"	"5"	"11"	"5"	"4"	"5"	"7"	"7"	"4"	"5"	"12"	"11"	"535"	"0"	"535"	"0"
"224"	"174"	"233"	"307"	"12"	"1"	"8"	"3"	"5"	"4"	"0"	"2"	"3"	"11"	"6"	"5"	"21"	"47"	"668"	"0"	"668"	"0"
"225"	"175"	"88"	"96"	"3"	"1"	"5"	"0"	"0"	"1"	"0"	"2"	"2"	"3"	"4"	"3"	"8"	"15"	"231"	"0"	"231"	"0"
"226"	"176"	"27"	"263"	"3"	"0"	"6"	"1"	"0"	"2"	"3"	"0"	"4"	"7"	"1"	"5"	"5"	"3"	"330"	"0"	"330"	"0"
"227"	"177"	"111"	"246"	"2"	"0"	"1"	"0"	"3"	"4"	"1"	"2"	"0"	"1"	"0"	"2"	"10"	"1"	"384"	"0"	"384"	"0"
"228"	"178"	"79"	"468"	"15"	"5"	"14"	"5"	"2"	"3"	"1"	"6"	"11"	"25"	"10"	"14"	"75"	"35"	"768"	"0"	"768"	"0"
"229"	"179"	"138"	"374"	"12"	"2"	"12"	"5"	"3"	"6"	"1"	"1"	"4"	"17"	"1"	"4"	"39"	"11"	"630"	"0"	"630"	"0"
"230"	"180"	"74"	"188"	"6"	"0"	"5"	"1"	"1"	"4"	"0"	"4"	"1"	"3"	"1"	"1"	"12"	"6"	"307"	"0"	"307"	"0"
"231"	"181"	"156"	"339"	"9"	"7"	"17"	"3"	"2"	"3"	"0"	"3"	"2"	"15"	"3"	"4"	"13"	"8"	"584"	"0"	"584"	"0"
"232"	"182"	"278"	"230"	"5"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"3"	"3"	"530"	"0"	"530"	"0"
"233"	"Round Total"	"1633"	"3469"	"124"	"50"	"103"	"29"	"34"	"35"	"11"	"25"	"38"	"101"	"34"	"48"	"235"	"153"	"6122"	"0"	"6122"	"0"
"234"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"235"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"236"	"183"	"92"	"219"	"8"	"1"	"11"	"3"	"2"	"0"	"1"	"1"	"1"	"2"	"3"	"2"	"20"	"10"	"376"	"0"	"376"	"0"
"237"	"184"	"86"	"203"	"9"	"3"	"5"	"1"	"3"	"2"	"0"	"2"	"3"	"12"	"5"	"3"	"11"	"2"	"350"	"0"	"350"	"0"
"238"	"185"	"132"	"110"	"2"	"0"	"4"	"1"	"2"	"0"	"2"	"0"	"0"	"3"	"0"	"1"	"1"	"2"	"260"	"0"	"260"	"0"
"239"	"186"	"78"	"150"	"8"	"3"	"9"	"2"	"2"	"0"	"1"	"2"	"2"	"4"	"1"	"0"	"8"	"8"	"278"	"0"	"278"	"0"
"240"	"187"	"59"	"116"	"6"	"6"	"4"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"3"	"4"	"20"	"6"	"232"	"0"	"232"	"0"
"241"	"188"	"137"	"107"	"7"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"267"	"0"	"267"	"0"
"242"	"189"	"201"	"167"	"24"	"3"	"8"	"2"	"4"	"1"	"6"	"1"	"2"	"4"	"5"	"9"	"20"	"28"	"485"	"0"	"485"	"0"
"243"	"190"	"63"	"203"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"270"	"0"	"270"	"0"
"244"	"191"	"79"	"104"	"8"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"1"	"1"	"4"	"6"	"214"	"0"	"214"	"0"
"245"	"192"	"86"	"110"	"2"	"4"	"5"	"2"	"4"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"2"	"8"	"229"	"0"	"229"	"0"
"246"	"193"	"148"	"284"	"4"	"0"	"6"	"0"	"4"	"0"	"1"	"0"	"2"	"5"	"2"	"1"	"9"	"12"	"478"	"0"	"478"	"0"
"247"	"194"	"188"	"314"	"8"	"2"	"3"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"10"	"10"	"541"	"0"	"541"	"0"
"248"	"195"	"233"	"193"	"7"	"1"	"4"	"5"	"6"	"0"	"1"	"0"	"1"	"6"	"3"	"4"	"16"	"11"	"491"	"0"	"491"	"0"
"249"	"196"	"146"	"83"	"0"	"2"	"7"	"2"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"5"	"4"	"257"	"0"	"257"	"0"
"250"	"Round Total"	"1728"	"2363"	"94"	"25"	"72"	"22"	"30"	"8"	"18"	"10"	"16"	"48"	"24"	"27"	"129"	"114"	"4728"	"0"	"4728"	"0"
"251"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"252"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"253"	"197"	"179"	"103"	"2"	"0"	"1"	"1"	"5"	"1"	"2"	"2"	"0"	"0"	"0"	"3"	"3"	"8"	"310"	"0"	"310"	"0"
"254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round Total"	"179"	"103"	"2"	"0"	"1"	"1"	"5"	"1"	"2"	"2"	"0"	"0"	"0"	"3"	"3"	"8"	"310"	"0"	"310"	"0"
