"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"174"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"175"	"141"	"45"	"163"	"6"	"96"	"5"	"9"	"14"	"8"	""	"4"	"8"	"19"	"377"	"0"	"377"	"0"
"176"	"142"	"10"	"68"	"3"	"128"	"2"	"5"	"1"	"0"	""	"0"	"1"	"3"	"221"	"0"	"221"	"0"
"177"	"143"	"8"	"149"	"14"	"101"	"4"	"5"	"10"	"7"	""	"4"	"8"	"15"	"325"	"0"	"325"	"0"
"178"	"144"	"26"	"201"	"7"	"174"	"8"	"12"	"18"	"13"	""	"3"	"7"	"44"	"513"	"0"	"513"	"0"
"179"	"145"	"23"	"278"	"11"	"31"	"3"	"0"	"8"	"7"	""	"1"	"2"	"8"	"372"	"0"	"372"	"0"
"180"	"146"	"14"	"59"	"4"	"97"	"0"	"4"	"0"	"3"	""	"1"	"2"	"5"	"189"	"0"	"189"	"0"
"181"	"147"	"42"	"296"	"16"	"33"	"1"	"4"	"7"	"10"	""	"1"	"4"	"13"	"427"	"0"	"427"	"0"
"182"	"148"	"12"	"239"	"4"	"81"	"2"	"3"	"1"	"3"	""	"1"	"3"	"3"	"352"	"0"	"352"	"0"
"183"	"149"	"9"	"146"	"9"	"78"	"8"	"2"	"7"	"3"	""	"3"	"1"	"4"	"270"	"0"	"270"	"0"
"184"	"150"	"9"	"294"	"4"	"22"	"1"	"1"	"0"	"0"	""	"1"	"1"	"1"	"334"	"0"	"334"	"0"
"185"	"151"	"46"	"285"	"17"	"128"	"6"	"6"	"12"	"1"	""	"1"	"5"	"13"	"520"	"0"	"520"	"0"
"186"	"152"	"9"	"57"	"19"	"344"	"5"	"24"	"1"	"25"	""	"0"	"1"	"6"	"491"	"0"	"491"	"0"
"187"	"153"	"13"	"127"	"8"	"40"	"0"	"3"	"5"	"19"	""	"2"	"1"	"2"	"220"	"0"	"220"	"0"
"188"	"154"	"19"	"239"	"7"	"90"	"1"	"4"	"2"	"1"	""	"0"	"1"	"5"	"369"	"0"	"369"	"0"
"189"	"Round
Total"	"285"	"2601"	"129"	"1443"	"46"	"82"	"86"	"100"	""	"22"	"45"	"141"	"4980"	"0"	"4980"	"0"
"190"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"191"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"192"	"155"	"45"	"340"	"33"	"120"	"7"	"7"	"9"	"12"	""	"6"	"11"	"46"	"636"	"0"	"636"	"0"
"193"	"156"	"64"	"217"	"16"	"24"	"1"	"6"	"3"	"25"	""	"2"	"4"	"14"	"376"	"0"	"376"	"0"
"194"	"157"	"22"	"68"	"8"	"171"	"0"	"3"	"1"	"2"	""	"1"	"5"	"13"	"294"	"0"	"294"	"0"
"195"	"158"	"5"	"12"	"0"	"132"	"0"	"1"	"0"	"0"	""	"0"	"4"	"1"	"155"	"0"	"155"	"0"
"196"	"159"	"47"	"189"	"9"	"73"	"25"	"4"	"9"	"1"	""	"5"	"4"	"27"	"393"	"0"	"393"	"0"
"197"	"160"	"59"	"374"	"19"	"127"	"8"	"5"	"8"	"2"	""	"1"	"7"	"16"	"626"	"0"	"626"	"0"
"198"	"161"	"6"	"264"	"3"	"22"	"1"	"0"	"2"	"0"	""	"0"	"0"	"1"	"299"	"0"	"299"	"0"
"199"	"162"	"25"	"257"	"19"	"114"	"5"	"2"	"7"	"2"	""	"5"	"11"	"31"	"478"	"0"	"478"	"0"
"200"	"163"	"29"	"263"	"29"	"135"	"10"	"11"	"13"	"10"	""	"4"	"16"	"48"	"568"	"0"	"568"	"0"
"201"	"164"	"23"	"96"	"9"	"105"	"2"	"5"	"4"	"0"	""	"2"	"5"	"5"	"256"	"0"	"256"	"0"
"202"	"165"	"4"	"16"	"0"	"204"	"2"	"1"	"0"	"2"	""	"0"	"0"	"2"	"231"	"0"	"231"	"0"
"203"	"166"	"2"	"16"	"2"	"487"	"3"	"17"	"0"	"2"	""	"1"	"0"	"2"	"532"	"0"	"532"	"0"
"204"	"167"	"8"	"22"	"0"	"410"	"2"	"4"	"0"	"4"	""	"0"	"0"	"1"	"451"	"0"	"451"	"0"
"205"	"168"	"4"	"24"	"1"	"143"	"5"	"22"	"1"	"1"	""	"0"	"2"	"5"	"208"	"0"	"208"	"0"
"206"	"Round
Total"	"343"	"2158"	"148"	"2267"	"71"	"88"	"57"	"63"	""	"27"	"69"	"212"	"5503"	"0"	"5503"	"0"
"207"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"208"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"209"	"169"	"24"	"119"	"7"	"132"	"2"	"3"	"7"	"3"	""	"2"	"6"	"19"	"324"	"0"	"324"	"0"
"210"	"170"	"9"	"36"	"6"	"201"	"3"	"3"	"6"	"46"	""	"0"	"3"	"5"	"318"	"0"	"318"	"0"
"211"	"171"	"24"	"150"	"10"	"120"	"0"	"1"	"2"	"0"	""	"0"	"3"	"6"	"316"	"0"	"316"	"0"
"212"	"172"	"31"	"103"	"9"	"195"	"3"	"10"	"9"	"22"	""	"2"	"9"	"19"	"412"	"0"	"412"	"0"
"213"	"173"	"14"	"132"	"8"	"114"	"1"	"11"	"4"	"57"	""	"2"	"3"	"23"	"369"	"0"	"369"	"0"
"214"	"174"	"26"	"135"	"13"	"99"	"6"	"7"	"13"	"10"	""	"2"	"3"	"13"	"327"	"0"	"327"	"0"
"215"	"175"	"16"	"102"	"10"	"121"	"0"	"6"	"3"	"2"	""	"2"	"2"	"9"	"273"	"0"	"273"	"0"
"216"	"176"	"39"	"361"	"17"	"158"	"7"	"3"	"11"	"48"	""	"3"	"3"	"8"	"658"	"0"	"658"	"0"
"217"	"177"	"42"	"106"	"8"	"63"	"3"	"2"	"2"	"12"	""	"1"	"1"	"6"	"246"	"0"	"246"	"0"
"218"	"178"	"34"	"170"	"17"	"74"	"7"	"1"	"3"	"4"	""	"4"	"4"	"13"	"331"	"0"	"331"	"0"
"219"	"179"	"24"	"171"	"4"	"122"	"1"	"1"	"2"	"1"	""	"0"	"1"	"2"	"329"	"0"	"329"	"0"
"220"	"180"	"52"	"290"	"16"	"98"	"3"	"1"	"3"	"4"	""	"5"	"9"	"16"	"497"	"0"	"497"	"0"
"221"	"181"	"49"	"209"	"5"	"143"	"16"	"6"	"7"	"17"	""	"5"	"11"	"26"	"494"	"0"	"494"	"0"
"222"	"182"	"4"	"33"	"1"	"421"	"2"	"3"	"2"	"0"	""	"0"	"1"	"0"	"467"	"0"	"467"	"0"
"223"	"Round
Total"	"388"	"2117"	"131"	"2061"	"54"	"58"	"74"	"226"	""	"28"	"59"	"165"	"5361"	"0"	"5361"	"0"
"224"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"225"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"226"	"183"	"2"	"711"	"6"	"25"	"1"	"6"	"1"	"10"	""	"0"	"1"	"1"	"764"	"0"	"764"	"0"
"227"	"184"	"12"	"233"	"5"	"8"	"12"	"5"	"2"	"0"	""	"0"	"1"	"0"	"278"	"0"	"278"	"0"
"228"	"185"	"17"	"175"	"4"	"34"	"0"	"0"	"1"	"1"	""	"2"	"0"	"6"	"240"	"0"	"240"	"0"
"229"	"186"	"75"	"224"	"6"	"13"	"2"	"0"	"3"	"1"	""	"1"	"7"	"15"	"347"	"0"	"347"	"0"
"230"	"187"	"58"	"233"	"8"	"37"	"2"	"2"	"3"	"4"	""	"1"	"2"	"8"	"358"	"0"	"358"	"0"
"231"	"188"	"35"	"162"	"13"	"78"	"7"	"6"	"3"	"18"	""	"6"	"6"	"25"	"359"	"0"	"359"	"0"
"232"	"189"	"45"	"285"	"4"	"65"	"0"	"4"	"4"	"1"	""	"1"	"2"	"7"	"418"	"0"	"418"	"0"
"233"	"190"	"38"	"22"	"3"	"133"	"1"	"3"	"0"	"0"	""	"0"	"0"	"1"	"201"	"0"	"201"	"0"
"234"	"191"	"26"	"144"	"15"	"24"	"4"	"3"	"3"	"0"	""	"1"	"3"	"8"	"231"	"0"	"231"	"0"
"235"	"192"	"22"	"179"	"20"	"104"	"6"	"0"	"4"	"13"	""	"2"	"8"	"22"	"380"	"0"	"380"	"0"
"236"	"193"	"74"	"161"	"3"	"21"	"0"	"0"	"1"	"1"	""	"1"	"2"	"0"	"264"	"0"	"264"	"0"
"237"	"194"	"31"	"103"	"10"	"199"	"5"	"20"	"6"	"7"	""	"1"	"9"	"11"	"402"	"0"	"402"	"0"
"238"	"195"	"31"	"347"	"7"	"89"	"3"	"4"	"7"	"0"	""	"5"	"5"	"16"	"514"	"0"	"514"	"0"
"239"	"196"	"8"	"94"	"3"	"308"	"1"	"18"	"4"	"9"	""	"2"	"1"	"3"	"451"	"0"	"451"	"0"
"240"	"Round
Total"	"474"	"3073"	"107"	"1138"	"44"	"71"	"42"	"65"	""	"23"	"47"	"123"	"5207"	"0"	"5207"	"0"
"241"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"242"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"243"	"197"	"23"	"351"	"0"	"8"	"2"	"0"	"0"	"5"	""	"0"	"1"	"0"	"390"	"0"	"390"	"0"
"244"	"198"	"100"	"219"	"21"	"33"	"3"	"6"	"8"	"9"	""	"7"	"10"	"42"	"458"	"0"	"458"	"0"
"245"	"199"	"17"	"122"	"12"	"108"	"8"	"14"	"7"	"15"	""	"9"	"24"	"59"	"395"	"0"	"395"	"0"
"246"	"200"	"7"	"182"	"3"	"7"	"1"	"0"	"2"	"1"	""	"0"	"1"	"5"	"209"	"0"	"209"	"0"
"247"	"201"	"33"	"528"	"28"	"93"	"4"	"6"	"7"	"5"	""	"4"	"10"	"24"	"742"	"0"	"742"	"0"
"248"	"202"	"13"	"131"	"14"	"254"	"7"	"28"	"2"	"3"	""	"3"	"18"	"16"	"489"	"0"	"489"	"0"
"249"	"203"	"16"	"232"	"13"	"83"	"6"	"26"	"9"	"6"	""	"8"	"18"	"36"	"453"	"0"	"453"	"0"
"250"	"204"	"9"	"87"	"12"	"122"	"4"	"11"	"7"	"2"	""	"4"	"8"	"21"	"287"	"0"	"287"	"0"
"251"	"205"	"14"	"133"	"6"	"199"	"2"	"1"	"4"	"1"	""	"1"	"2"	"0"	"363"	"0"	"363"	"0"
"252"	"206"	"24"	"119"	"8"	"84"	"9"	"1"	"5"	"1"	""	"1"	"1"	"9"	"262"	"0"	"262"	"0"
"253"	"207"	"20"	"137"	"10"	"175"	"6"	"3"	"2"	"1"	""	"3"	"3"	"11"	"371"	"0"	"371"	"0"
"254"	"208"	"13"	"61"	"3"	"58"	"1"	"2"	"1"	"1"	""	"0"	"2"	"6"	"148"	"0"	"148"	"0"
"255"	"209"	"38"	"205"	"12"	"269"	"9"	"7"	"27"	"38"	""	"7"	"6"	"25"	"643"	"0"	"643"	"0"
"256"	"210"	"19"	"97"	"10"	"140"	"2"	"5"	"0"	"3"	""	"1"	"0"	"2"	"279"	"0"	"279"	"0"
"257"	"Round
Total"	"346"	"2604"	"152"	"1633"	"64"	"110"	"81"	"91"	""	"48"	"104"	"256"	"5489"	"0"	"5489"	"0"
"258"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"259"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"260"	"211"	"17"	"151"	"6"	"84"	"2"	"7"	"4"	"15"	""	"5"	"8"	"8"	"307"	"0"	"307"	"0"
"261"	"212"	"44"	"226"	"12"	"24"	"1"	"1"	"4"	"2"	""	"1"	"1"	"8"	"324"	"0"	"324"	"0"
"262"	"213"	"20"	"185"	"15"	"31"	"2"	"40"	"6"	"5"	""	"4"	"14"	"26"	"348"	"0"	"348"	"0"
"263"	"214"	"0"	"28"	"0"	"334"	"0"	"9"	"0"	"0"	""	"0"	"0"	"0"	"371"	"0"	"371"	"0"
"264"	"215"	"5"	"441"	"2"	"6"	"0"	"1"	"1"	"3"	""	"0"	"0"	"1"	"460"	"0"	"460"	"0"
"265"	"216"	"12"	"203"	"5"	"97"	"5"	"6"	"4"	"0"	""	"1"	"3"	"17"	"353"	"0"	"353"	"0"
"266"	"217"	"49"	"16"	"2"	"179"	"2"	"1"	"2"	"4"	""	"1"	"1"	"4"	"261"	"0"	"261"	"0"
"267"	"218"	"51"	"147"	"13"	"139"	"8"	"5"	"7"	"3"	""	"2"	"7"	"8"	"390"	"0"	"390"	"0"
"268"	"219"	"47"	"55"	"0"	"29"	"3"	"3"	"1"	"3"	""	"2"	"7"	"16"	"166"	"0"	"166"	"0"
"269"	"220"	"22"	"102"	"5"	"78"	"6"	"8"	"4"	"2"	""	"0"	"0"	"13"	"240"	"0"	"240"	"0"
"270"	"221"	"37"	"164"	"19"	"175"	"7"	"10"	"10"	"5"	""	"11"	"7"	"37"	"482"	"0"	"482"	"0"
"271"	"222"	"29"	"183"	"13"	"294"	"16"	"14"	"8"	"19"	""	"6"	"12"	"22"	"616"	"0"	"616"	"0"
"272"	"223"	"26"	"437"	"13"	"39"	"50"	"7"	"6"	"2"	""	"0"	"5"	"8"	"593"	"0"	"593"	"0"
"273"	"224"	"24"	"321"	"15"	"80"	"9"	"7"	"15"	"8"	""	"2"	"4"	"13"	"498"	"0"	"498"	"0"
"274"	"Round
Total"	"383"	"2659"	"120"	"1589"	"111"	"119"	"72"	"71"	""	"35"	"69"	"181"	"5409"	"0"	"5409"	"0"
"275"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"276"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"277"	"225"	"102"	"91"	"5"	"194"	"1"	"2"	"5"	"1"	""	"1"	"10"	"13"	"425"	"0"	"425"	"0"
"278"	"226"	"0"	"100"	"3"	"2"	"0"	"0"	"1"	"0"	""	"0"	"0"	"0"	"106"	"0"	"106"	"0"
"279"	"227"	"11"	"429"	"6"	"38"	"17"	"3"	"2"	"1"	""	"0"	"3"	"6"	"516"	"0"	"516"	"0"
"280"	"228"	"14"	"187"	"1"	"86"	"2"	"5"	"1"	"1"	""	"3"	"3"	"15"	"318"	"0"	"318"	"0"
"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"284"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"286"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"287"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"291"	"Round
Total"	"127"	"807"	"15"	"320"	"20"	"10"	"9"	"3"	""	"4"	"16"	"34"	"1365"	"0"	"1365"	"0"
