"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.votes"	"Total"	"No..of.Tendered.votes"
"210"	"157"	"426"	"5"	"12"	"117"	"103"	"2"	"4"	"2"	"4"	"675"	"0"	"675"	"0"
"211"	"158"	"102"	"10"	"29"	"110"	"84"	"11"	"4"	"8"	"11"	"369"	"0"	"369"	"0"
"212"	"159"	"192"	"10"	"30"	"199"	"37"	"11"	"16"	"14"	"32"	"541"	"0"	"541"	"0"
"213"	"159A"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"214"	"159B"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"215"	"Total"	"2415"	"173"	"1324"	"2175"	"1030"	"183"	"115"	"97"	"232"	"7744"	"0"	"7744"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"217"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"219"	"160"	"285"	"7"	"144"	"250"	"16"	"4"	"1"	"2"	"4"	"713"	"0"	"713"	"0"
"220"	"161"	"78"	"7"	"186"	"76"	"112"	"8"	"9"	"4"	"16"	"496"	"0"	"496"	"0"
"221"	"162"	"103"	"5"	"57"	"118"	"145"	"14"	"8"	"1"	"14"	"465"	"0"	"465"	"0"
"222"	"162A"	"137"	"8"	"49"	"130"	"80"	"5"	"5"	"2"	"5"	"421"	"0"	"421"	"0"
"223"	"163"	"80"	"11"	"117"	"296"	"27"	"2"	"9"	"77"	"22"	"641"	"0"	"641"	"0"
"224"	"164"	"158"	"14"	"122"	"233"	"58"	"9"	"24"	"4"	"9"	"631"	"0"	"631"	"0"
"225"	"165"	"183"	"19"	"114"	"283"	"62"	"17"	"7"	"11"	"18"	"714"	"0"	"714"	"0"
"226"	"166"	"236"	"9"	"65"	"345"	"49"	"7"	"4"	"7"	"7"	"729"	"0"	"729"	"0"
"227"	"167"	"355"	"26"	"208"	"45"	"44"	"9"	"12"	"10"	"36"	"745"	"0"	"745"	"0"
"228"	"168"	"97"	"6"	"220"	"26"	"60"	"21"	"9"	"8"	"21"	"468"	"0"	"468"	"0"
"229"	"169"	"137"	"14"	"113"	"307"	"50"	"9"	"8"	"10"	"26"	"674"	"0"	"674"	"0"
"230"	"170"	"90"	"86"	"364"	"156"	"54"	"47"	"9"	"11"	"12"	"829"	"0"	"829"	"0"
"231"	"171"	"57"	"4"	"247"	"174"	"56"	"47"	"3"	"3"	"8"	"599"	"0"	"599"	"0"
"232"	"172"	"125"	"4"	"141"	"235"	"86"	"7"	"16"	"3"	"13"	"630"	"0"	"630"	"0"
"233"	"Total"	"2121"	"220"	"2147"	"2674"	"899"	"206"	"124"	"153"	"211"	"8755"	"0"	"8755"	"0"
"234"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"235"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"236"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"237"	"173"	"275"	"33"	"291"	"19"	"56"	"7"	"10"	"6"	"12"	"709"	"0"	"709"	"0"
"238"	"174"	"116"	"35"	"116"	"97"	"25"	"17"	"410"	"19"	"25"	"860"	"0"	"860"	"0"
"239"	"175"	"57"	"4"	"188"	"101"	"45"	"12"	"284"	"16"	"33"	"740"	"0"	"740"	"0"
"240"	"176"	"106"	"16"	"59"	"44"	"22"	"15"	"437"	"40"	"43"	"782"	"0"	"782"	"0"
"241"	"177"	"39"	"8"	"55"	"35"	"33"	"18"	"369"	"29"	"24"	"610"	"0"	"610"	"0"
"242"	"178"	"56"	"8"	"185"	"64"	"38"	"11"	"28"	"5"	"23"	"418"	"0"	"418"	"0"
"243"	"179"	"249"	"30"	"97"	"89"	"23"	"6"	"31"	"2"	"2"	"529"	"0"	"529"	"0"
"244"	"Total"	"898"	"134"	"991"	"449"	"242"	"86"	"1569"	"117"	"162"	"4648"	"0"	"4648"	"0"
"245"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"246"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"248"	"Total No. of Votes recorded on Polling Stations"	"25663"	"2197"	"28181"	"32049"	"12887"	"2893"	"3063"	"1152"	"2733"	"110818"	"0"	"110818"	"0"
"249"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"0"	"7"	"0"	"7"	"0"
"250"	"Total Votes Polled"	"25663"	"2197"	"28182"	"32052"	"12888"	"2894"	"3064"	"1152"	"2733"	"110825"	"0"	"110825"	"0"
"251"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Date :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Assistant Returning Officer                                                                                                               Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"105- Begusarai A.C.                                                                                                                   105- Begusarai A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""
