"X.Statutory.Rules.and.Order..........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"186"	"102"	"13"	"6"	"238"	"9"	"3"	"2"	"2"	"1"	"16"	"1"	"1"	"4"	"296"	""	"296"	""
"187"	"103"	"10"	"10"	"338"	"11"	"2"	"1"	"10"	"11"	"109"	"37"	"4"	"19"	"562"	""	"562"	""
"188"	"104"	"1"	"14"	"370"	"19"	"5"	"3"	"4"	"5"	"115"	"5"	"1"	"3"	"545"	""	"545"	""
"189"	"105"	"10"	"178"	"83"	"220"	"15"	"6"	"9"	"36"	"7"	"17"	"5"	"10"	"596"	""	"596"	""
"190"	"106"	"12"	"15"	"276"	"17"	"3"	"4"	"3"	"2"	"23"	"18"	"13"	"7"	"393"	""	"393"	""
"191"	"107"	"5"	"63"	"256"	"144"	"13"	"1"	"5"	"6"	"34"	"11"	"5"	"20"	"563"	""	"563"	""
"192"	"108"	"7"	"14"	"186"	"76"	"3"	"5"	"3"	"8"	"39"	"5"	"1"	"10"	"357"	""	"357"	""
"193"	"109"	"21"	"16"	"464"	"28"	"7"	"9"	"9"	"7"	"46"	"4"	"3"	"4"	"618"	""	"618"	""
"194"	"110"	"31"	"230"	"426"	"55"	"8"	"9"	"6"	"34"	"24"	"5"	"5"	"3"	"836"	""	"836"	""
"195"	"111"	"10"	"8"	"246"	"5"	"5"	"1"	"10"	"22"	"271"	"7"	"6"	"10"	"601"	""	"601"	""
"196"	"112"	"15"	"7"	"267"	"34"	"2"	"10"	"11"	"52"	"287"	"12"	"3"	"10"	"710"	""	"710"	""
"197"	"Current Round Total"	"156"	"660"	"3754"	"731"	"80"	"78"	"89"	"293"	"1253"	"151"	"51"	"119"	"7415"	"0"	"7415"	"0"
"198"	"Previous Round Total"	"1458"	"18686"	"7945"	"22667"	"879"	"732"	"1287"	"1265"	"6432"	"751"	"457"	"902"	"63461"	"0"	"63461"	"0"
"199"	"TOTAL"	"1614"	"19346"	"11699"	"23398"	"959"	"810"	"1376"	"1558"	"7685"	"902"	"508"	"1021"	"70876"	"0"	"70876"	"0"
"200"	"(Statutory Rules and Order)                                                         ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"206"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"208"	"113"	"5"	"29"	"486"	"37"	"1"	"1"	"3"	"7"	"32"	"11"	"2"	"8"	"622"	""	"622"	""
"209"	"114"	"28"	"80"	"442"	"61"	"14"	"12"	"5"	"9"	"23"	"8"	"0"	"5"	"687"	""	"687"	""
"210"	"115"	"16"	"152"	"378"	"47"	"2"	"3"	"11"	"25"	"31"	"13"	"8"	"14"	"700"	""	"700"	""
"211"	"116"	"6"	"190"	"238"	"37"	"7"	"6"	"4"	"8"	"6"	"22"	"8"	"12"	"544"	""	"544"	""
"212"	"117"	"7"	"278"	"67"	"60"	"11"	"1"	"2"	"8"	"3"	"2"	"3"	"5"	"447"	""	"447"	""
"213"	"118"	"6"	"332"	"10"	"7"	"1"	"0"	"1"	"4"	"2"	"29"	"2"	"8"	"402"	""	"402"	""
"214"	"119"	"16"	"298"	"17"	"1"	"0"	"0"	"6"	"3"	"1"	"7"	"3"	"4"	"356"	""	"356"	""
"215"	"120"	"13"	"80"	"221"	"31"	"1"	"14"	"4"	"4"	"34"	"11"	"5"	"15"	"433"	""	"433"	""
"216"	"121"	"7"	"198"	"89"	"17"	"3"	"2"	"6"	"10"	"3"	"6"	"5"	"12"	"358"	""	"358"	""
"217"	"122"	"4"	"177"	"10"	"33"	"4"	"1"	"0"	"4"	"1"	"1"	"0"	"0"	"235"	""	"235"	""
"218"	"123"	"9"	"393"	"138"	"7"	"0"	"3"	"1"	"9"	"10"	"6"	"5"	"18"	"599"	""	"599"	""
"219"	"124"	"10"	"564"	"10"	"3"	"2"	"1"	"2"	"0"	"0"	"1"	"2"	"6"	"601"	""	"601"	""
"220"	"125"	"6"	"382"	"76"	"14"	"2"	"36"	"3"	"5"	"16"	"8"	"5"	"7"	"560"	""	"560"	""
"221"	"126"	"1"	"16"	"387"	"11"	"2"	"5"	"4"	"3"	"213"	"12"	"6"	"10"	"670"	""	"670"	""
"222"	"Current Round Total"	"134"	"3169"	"2569"	"366"	"50"	"85"	"52"	"99"	"375"	"137"	"54"	"124"	"7214"	"0"	"7214"	"0"
"223"	"Previous Round Total"	"1614"	"19346"	"11699"	"23398"	"959"	"810"	"1376"	"1558"	"7685"	"902"	"508"	"1021"	"70876"	"0"	"70876"	"0"
"224"	"TOTAL"	"1748"	"22515"	"14268"	"23764"	"1009"	"895"	"1428"	"1657"	"8060"	"1039"	"562"	"1145"	"78090"	"0"	"78090"	"0"
"225"	"(Statutory Rules and Order)                                                         ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"231"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"232"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"233"	"127"	"16"	"147"	"204"	"25"	"4"	"9"	"10"	"18"	"202"	"10"	"2"	"9"	"656"	""	"656"	""
"234"	"128"	"10"	"16"	"537"	"25"	"5"	"4"	"3"	"8"	"83"	"3"	"5"	"3"	"702"	""	"702"	""
"235"	"129"	"8"	"180"	"115"	"6"	"0"	"6"	"3"	"5"	"12"	"18"	"3"	"8"	"364"	""	"364"	""
"236"	"130"	"7"	"24"	"361"	"35"	"3"	"4"	"5"	"5"	"35"	"20"	"7"	"18"	"524"	""	"524"	""
"237"	"131"	"15"	"232"	"220"	"33"	"7"	"2"	"6"	"16"	"25"	"11"	"5"	"13"	"585"	""	"585"	""
"238"	"132"	"10"	"89"	"232"	"5"	"1"	"1"	"2"	"8"	"84"	"9"	"6"	"4"	"451"	""	"451"	""
"239"	"133"	"8"	"117"	"215"	"8"	"3"	"1"	"2"	"6"	"7"	"5"	"1"	"6"	"379"	""	"379"	""
"240"	"134"	"23"	"32"	"355"	"6"	"1"	"1"	"6"	"14"	"44"	"9"	"5"	"10"	"506"	""	"506"	""
"241"	"135"	"9"	"275"	"217"	"8"	"2"	"3"	"2"	"9"	"6"	"16"	"10"	"14"	"571"	""	"571"	""
"242"	"136"	"8"	"373"	"58"	"1"	"0"	"2"	"6"	"5"	"2"	"2"	"2"	"2"	"461"	""	"461"	""
"243"	"137"	"13"	"315"	"293"	"6"	"1"	"3"	"2"	"10"	"11"	"8"	"1"	"4"	"667"	""	"667"	""
"244"	"138"	"9"	"269"	"203"	"5"	"2"	"3"	"4"	"2"	"18"	"11"	"10"	"15"	"551"	""	"551"	""
"245"	"139"	"13"	"51"	"344"	"9"	"4"	"2"	"2"	"9"	"20"	"3"	"0"	"1"	"458"	""	"458"	""
"246"	"140"	"26"	"70"	"360"	"22"	"1"	"7"	"3"	"5"	"25"	"4"	"3"	"8"	"534"	""	"534"	""
"247"	"Current Round Total"	"175"	"2190"	"3714"	"194"	"34"	"48"	"56"	"120"	"574"	"129"	"60"	"115"	"7409"	"0"	"7409"	"0"
"248"	"Previous Round Total"	"1748"	"22515"	"14268"	"23764"	"1009"	"895"	"1428"	"1657"	"8060"	"1039"	"562"	"1145"	"78090"	"0"	"78090"	"0"
"249"	"TOTAL"	"1923"	"24705"	"17982"	"23958"	"1043"	"943"	"1484"	"1777"	"8634"	"1168"	"622"	"1260"	"85499"	"0"	"85499"	"0"
"250"	"(Statutory Rules and Order)                                                         ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"256"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"257"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"258"	"141"	"9"	"21"	"271"	"6"	"3"	"4"	"2"	"3"	"21"	"7"	"2"	"4"	"353"	""	"353"	""
"259"	"142"	"3"	"31"	"326"	"6"	"2"	"4"	"10"	"5"	"19"	"6"	"1"	"5"	"418"	""	"418"	""
"260"	"143"	"19"	"383"	"187"	"5"	"4"	"1"	"8"	"12"	"16"	"12"	"3"	"14"	"664"	""	"664"	""
"261"	"144"	"16"	"65"	"298"	"21"	"7"	"2"	"3"	"21"	"32"	"3"	"4"	"16"	"488"	""	"488"	""
"262"	"145"	"3"	"2"	"147"	"1"	"1"	"2"	"1"	"1"	"41"	"4"	"2"	"8"	"213"	""	"213"	""
"263"	"146"	"14"	"8"	"246"	"14"	"2"	"7"	"6"	"8"	"298"	"7"	"4"	"9"	"623"	""	"623"	""
"264"	"147"	"2"	"37"	"463"	"8"	"3"	"1"	"2"	"7"	"20"	"3"	"2"	"3"	"551"	""	"551"	""
"265"	"148"	"8"	"7"	"474"	"21"	"4"	"2"	"2"	"6"	"6"	"12"	"6"	"10"	"558"	""	"558"	""
"266"	"149"	"5"	"3"	"236"	"4"	"0"	"1"	"2"	"5"	"57"	"2"	"1"	"1"	"317"	""	"317"	""
"267"	"150"	"9"	"6"	"166"	"13"	"0"	"1"	"1"	"3"	"187"	"5"	"5"	"45"	"441"	""	"441"	""
"268"	"151"	"17"	"18"	"541"	"9"	"5"	"6"	"5"	"7"	"21"	"18"	"7"	"6"	"660"	""	"660"	""
"269"	"152"	"2"	"9"	"550"	"3"	"0"	"0"	"0"	"2"	"32"	"9"	"4"	"7"	"618"	""	"618"	""
"270"	"153"	"24"	"102"	"376"	"23"	"6"	"11"	"12"	"50"	"99"	"13"	"3"	"9"	"728"	""	"728"	""
"271"	"154"	"5"	"10"	"568"	"19"	"6"	"10"	"2"	"3"	"7"	"7"	"2"	"4"	"643"	""	"643"	""
"272"	"Current Round Total"	"136"	"702"	"4849"	"153"	"43"	"52"	"56"	"133"	"856"	"108"	"46"	"141"	"7275"	"0"	"7275"	"0"
"273"	"Previous Round Total"	"1923"	"24705"	"17982"	"23958"	"1043"	"943"	"1484"	"1777"	"8634"	"1168"	"622"	"1260"	"85499"	"0"	"85499"	"0"
"274"	"TOTAL"	"2059"	"25407"	"22831"	"24111"	"1086"	"995"	"1540"	"1910"	"9490"	"1276"	"668"	"1401"	"92774"	"0"	"92774"	"0"
"275"	"(Statutory Rules and Order)                                                         ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"281"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"283"	"155"	"4"	"5"	"168"	"5"	"2"	"3"	"4"	"3"	"113"	"2"	"2"	"45"	"356"	""	"356"	""
"284"	"156"	"17"	"115"	"386"	"181"	"14"	"8"	"12"	"13"	"27"	"11"	"2"	"4"	"790"	""	"790"	""
"285"	"157"	"13"	"94"	"272"	"71"	"6"	"5"	"2"	"10"	"55"	"9"	"3"	"5"	"545"	""	"545"	""
"286"	"158"	"8"	"81"	"564"	"12"	"2"	"4"	"1"	"12"	"19"	"9"	"6"	"12"	"730"	""	"730"	""
"287"	"159"	"1"	"29"	"498"	"24"	"0"	"1"	"5"	"9"	"14"	"15"	"5"	"15"	"616"	""	"616"	""
"288"	"160"	"10"	"159"	"122"	"173"	"8"	"5"	"6"	"9"	"8"	"13"	"8"	"20"	"541"	""	"541"	""
"289"	"161"	"7"	"119"	"72"	"132"	"5"	"4"	"3"	"6"	"9"	"4"	"7"	"13"	"381"	""	"381"	""
"290"	"162"	"6"	"655"	"66"	"44"	"13"	"2"	"6"	"12"	"1"	"3"	"7"	"3"	"818"	""	"818"	""
"291"	"163"	"4"	"313"	"115"	"11"	"4"	"4"	"3"	"3"	"1"	"3"	"0"	"0"	"461"	""	"461"	""
"292"	"164"	"9"	"297"	"95"	"20"	"2"	"1"	"16"	"2"	"2"	"2"	"4"	"7"	"457"	""	"457"	""
"293"	"165"	"11"	"44"	"312"	"44"	"0"	"3"	"4"	"2"	"4"	"8"	"5"	"16"	"453"	""	"453"	""
"294"	"166"	"6"	"6"	"430"	"20"	"6"	"5"	"5"	"3"	"11"	"4"	"2"	"4"	"502"	""	"502"	""
"295"	"167"	"26"	"120"	"206"	"186"	"13"	"18"	"9"	"20"	"6"	"3"	"1"	"6"	"614"	""	"614"	""
"296"	"168"	"15"	"347"	"279"	"25"	"3"	"7"	"6"	"16"	"5"	"2"	"3"	"14"	"722"	""	"722"	""
"297"	"Current Round Total"	"137"	"2384"	"3585"	"948"	"78"	"70"	"82"	"120"	"275"	"88"	"55"	"164"	"7986"	"0"	"7986"	"0"
"298"	"Previous Round Total"	"2059"	"25407"	"22831"	"24111"	"1086"	"995"	"1540"	"1910"	"9490"	"1276"	"668"	"1401"	"92774"	"0"	"92774"	"0"
"299"	"TOTAL"	"2196"	"27791"	"26416"	"25059"	"1164"	"1065"	"1622"	"2030"	"9765"	"1364"	"723"	"1565"	"100760"	"0"	"100760"	"0"
"300"	"(Statutory Rules and Order)                                                         ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"306"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"307"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"308"	"169"	"19"	"380"	"31"	"63"	"2"	"2"	"0"	"2"	"6"	"4"	"4"	"7"	"520"	""	"520"	""
"309"	"170"	"14"	"234"	"105"	"35"	"2"	"1"	"3"	"1"	"5"	"3"	"1"	"4"	"408"	""	"408"	""
"310"	"171"	"11"	"248"	"31"	"30"	"3"	"1"	"3"	"9"	"5"	"5"	"3"	"5"	"354"	""	"354"	""
"311"	"172"	"6"	"251"	"22"	"23"	"5"	"0"	"1"	"7"	"2"	"2"	"1"	"2"	"322"	""	"322"	""
"312"	"173"	"7"	"27"	"26"	"263"	"3"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"332"	""	"332"	""
"313"	"174"	"2"	"160"	"82"	"57"	"6"	"0"	"1"	"2"	"4"	"0"	"0"	"3"	"317"	""	"317"	""
"314"	"175"	"3"	"326"	"36"	"38"	"4"	"2"	"2"	"8"	"0"	"9"	"0"	"0"	"428"	""	"428"	""
"315"	"176"	"4"	"39"	"248"	"35"	"5"	"5"	"6"	"7"	"82"	"9"	"7"	"13"	"460"	""	"460"	""
"316"	"177"	"9"	"33"	"312"	"16"	"4"	"8"	"2"	"17"	"98"	"18"	"2"	"6"	"525"	""	"525"	""
"317"	"178"	"9"	"344"	"47"	"54"	"4"	"0"	"2"	"14"	"5"	"2"	"5"	"8"	"494"	""	"494"	""
"318"	"179"	"2"	"184"	"63"	"20"	"1"	"0"	"5"	"9"	"2"	"24"	"6"	"1"	"317"	""	"317"	""
"319"	"180"	"1"	"212"	"73"	"49"	"1"	"0"	"0"	"3"	"6"	"2"	"3"	"4"	"354"	""	"354"	""
"320"	"181"	"6"	"359"	"24"	"26"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"2"	"424"	""	"424"	""
"321"	"182"	"2"	"47"	"133"	"35"	"3"	"5"	"4"	"21"	"5"	"2"	"0"	"4"	"261"	""	"261"	""
"322"	"Current Round Total"	"95"	"2844"	"1233"	"744"	"44"	"28"	"32"	"101"	"220"	"82"	"33"	"60"	"5516"	"0"	"5516"	"0"
"323"	"Previous Round Total"	"2196"	"27791"	"26416"	"25059"	"1164"	"1065"	"1622"	"2030"	"9765"	"1364"	"723"	"1565"	"100760"	"0"	"100760"	"0"
"324"	"TOTAL"	"2291"	"30635"	"27649"	"25803"	"1208"	"1093"	"1654"	"2131"	"9985"	"1446"	"756"	"1625"	"106276"	"0"	"106276"	"0"
"325"	"(Statutory Rules and Order)                                                         ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"331"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"332"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"333"	"183"	"3"	"204"	"151"	"34"	"7"	"2"	"3"	"12"	"2"	"3"	"1"	"0"	"422"	""	"422"	""
"334"	"184"	"3"	"69"	"189"	"72"	"1"	"5"	"1"	"3"	"17"	"2"	"1"	"7"	"370"	""	"370"	""
"335"	"185"	"6"	"1"	"278"	"33"	"1"	"1"	"3"	"2"	"15"	"1"	"5"	"1"	"347"	""	"347"	""
"336"	"186"	"7"	"23"	"432"	"47"	"2"	"2"	"1"	"3"	"25"	"1"	"2"	"3"	"548"	""	"548"	""
"337"	"187"	"3"	"20"	"276"	"17"	"2"	"0"	"1"	"2"	"15"	"1"	"4"	"2"	"343"	""	"343"	""
"338"	"188"	"2"	"19"	"166"	"8"	"0"	"1"	"0"	"0"	"15"	"0"	"4"	"2"	"217"	""	"217"	""
"339"	"189"	"1"	"125"	"34"	"2"	"2"	"0"	"1"	"4"	"0"	"0"	"4"	"0"	"173"	""	"173"	""
"340"	"190"	"6"	"338"	"80"	"43"	"5"	"5"	"5"	"13"	"1"	"4"	"4"	"3"	"507"	""	"507"	""
"341"	"191"	"6"	"202"	"38"	"69"	"3"	"1"	"1"	"3"	"5"	"0"	"1"	"1"	"330"	""	"330"	""
"342"	"192"	"10"	"199"	"37"	"17"	"4"	"4"	"3"	"8"	"4"	"4"	"1"	"0"	"291"	""	"291"	""
"343"	"193"	"2"	"190"	"119"	"18"	"3"	"5"	"0"	"19"	"14"	"1"	"1"	"3"	"375"	""	"375"	""
"344"	"194"	"0"	"128"	"93"	"12"	"1"	"3"	"1"	"4"	"7"	"46"	"6"	"5"	"306"	""	"306"	""
"345"	"195"	"0"	"35"	"251"	"16"	"0"	"0"	"0"	"0"	"19"	"2"	"1"	"0"	"324"	""	"324"	""
"346"	"196"	"8"	"149"	"323"	"14"	"2"	"3"	"2"	"15"	"10"	"8"	"6"	"5"	"545"	""	"545"	""
"347"	"Current Round Total"	"57"	"1702"	"2467"	"402"	"33"	"32"	"22"	"88"	"149"	"73"	"41"	"32"	"5098"	"0"	"5098"	"0"
"348"	"Previous Round Total"	"2291"	"30635"	"27649"	"25803"	"1208"	"1093"	"1654"	"2131"	"9985"	"1446"	"756"	"1625"	"106276"	"0"	"106276"	"0"
"349"	"TOTAL"	"2348"	"32337"	"30116"	"26205"	"1241"	"1125"	"1676"	"2219"	"10134"	"1519"	"797"	"1657"	"111374"	"0"	"111374"	"0"
"350"	"(Statutory Rules and Order)                                                         ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"356"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"357"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"358"	"197"	"11"	"22"	"374"	"14"	"2"	"5"	"3"	"2"	"14"	"4"	"2"	"4"	"457"	""	"457"	""
"359"	"198"	"2"	"2"	"216"	"9"	"0"	"0"	"0"	"0"	"26"	"2"	"3"	"9"	"269"	""	"269"	""
"360"	"199"	"7"	"10"	"296"	"10"	"4"	"0"	"4"	"9"	"97"	"2"	"4"	"4"	"447"	""	"447"	""
"361"	"200"	"4"	"23"	"200"	"7"	"2"	"0"	"2"	"12"	"34"	"7"	"3"	"9"	"303"	""	"303"	""
"362"	"201"	"3"	"164"	"171"	"12"	"4"	"8"	"2"	"144"	"33"	"5"	"5"	"6"	"557"	""	"557"	""
"363"	"202"	"14"	"22"	"564"	"19"	"6"	"5"	"1"	"9"	"64"	"6"	"6"	"6"	"722"	""	"722"	""
"364"	"Current Round Total"	"41"	"243"	"1821"	"71"	"18"	"18"	"12"	"176"	"268"	"26"	"23"	"38"	"2755"	"0"	"2755"	"0"
"365"	"Previous Round Total"	"2348"	"32337"	"30116"	"26205"	"1241"	"1125"	"1676"	"2219"	"10134"	"1519"	"797"	"1657"	"111374"	"0"	"111374"	"0"
"366"	"TOTAL"	"2389"	"32580"	"31937"	"26276"	"1259"	"1143"	"1688"	"2395"	"10402"	"1545"	"820"	"1695"	"114129"	"0"	"114129"	"0"
"367"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"130-ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
