"Election.to.the.Bihar.Legislative.Assembly.from.the.235.Bodhgaya..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""	""
"4"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAN D MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR
CHAUDHARY ALIAS TALKESHWA R CHAUDHARY"	""	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	""	"RAJENDRA MANJHI"	""	"RAM UDAY PRASAD"	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of tendered"	""	""	""	""
"85"	"56"	"3"	"127"	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"98"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"231"	""	""	"0"	""	""	"231"	""	""	""	""	""
"86"	"Total"	"304"	"4140"	""	"160"	""	"56"	""	"30"	""	"1244"	""	""	"78"	""	""	"79"	""	"33"	""	"37"	""	"681"	""	"20"	""	"98"	""	""	"202"	""	""	"37"	""	""	"67"	""	""	"7266"	""	""	"0"	""	""	"7266"	""	""	""	""	""
"87"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"88"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"89"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"90"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"91"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"92"	"57"	"19"	"131"	""	"79"	""	"4"	""	"5"	""	"93"	""	""	"4"	""	""	"3"	""	"2"	""	"1"	""	"11"	""	"1"	""	"5"	""	""	"14"	""	""	"5"	""	""	"8"	""	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""
"93"	"58"	"17"	"44"	""	"5"	""	"4"	""	"0"	""	"201"	""	""	"15"	""	""	"2"	""	"4"	""	"4"	""	"59"	""	"4"	""	"2"	""	""	"15"	""	""	"4"	""	""	"16"	""	""	"396"	""	""	"0"	""	""	"396"	""	""	""	""	""
"94"	"59"	"248"	"100"	""	"8"	""	"5"	""	"2"	""	"97"	""	""	"8"	""	""	"7"	""	"4"	""	"4"	""	"5"	""	"2"	""	"3"	""	""	"12"	""	""	"2"	""	""	"5"	""	""	"512"	""	""	"0"	""	""	"512"	""	""	""	""	""
"95"	"60"	"2"	"411"	""	"4"	""	"1"	""	"0"	""	"37"	""	""	"2"	""	""	"3"	""	"0"	""	"0"	""	"33"	""	"1"	""	"0"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"497"	""	""	"0"	""	""	"497"	""	""	""	""	""
"96"	"61"	"31"	"336"	""	"4"	""	"4"	""	"0"	""	"59"	""	""	"2"	""	""	"3"	""	"4"	""	"1"	""	"25"	""	"2"	""	"11"	""	""	"13"	""	""	"1"	""	""	"7"	""	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""
"97"	"62"	"42"	"265"	""	"78"	""	"1"	""	"1"	""	"26"	""	""	"2"	""	""	"2"	""	"5"	""	"3"	""	"43"	""	"1"	""	"7"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""
"98"	"63"	"21"	"126"	""	"11"	""	"5"	""	"0"	""	"3"	""	""	"5"	""	""	"5"	""	"0"	""	"3"	""	"19"	""	"1"	""	"80"	""	""	"7"	""	""	"3"	""	""	"10"	""	""	"299"	""	""	"0"	""	""	"299"	""	""	""	""	""
"99"	"64"	"89"	"218"	""	"22"	""	"7"	""	"22"	""	"75"	""	""	"10"	""	""	"10"	""	"6"	""	"2"	""	"18"	""	"7"	""	"44"	""	""	"4"	""	""	"2"	""	""	"14"	""	""	"550"	""	""	"0"	""	""	"550"	""	""	""	""	""
"100"	"65"	"10"	"869"	""	"3"	""	"0"	""	"0"	""	"3"	""	""	"0"	""	""	"1"	""	"0"	""	"2"	""	"8"	""	"0"	""	"0"	""	""	"9"	""	""	"0"	""	""	"0"	""	""	"905"	""	""	"0"	""	""	"905"	""	""	""	""	""
"101"	"66"	"35"	"399"	""	"6"	""	"0"	""	"2"	""	"96"	""	""	"9"	""	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"3"	""	""	"4"	""	""	"1"	""	""	"4"	""	""	"562"	""	""	"0"	""	""	"562"	""	""	""	""	""
"102"	"67"	"198"	"174"	""	"80"	""	"9"	""	"6"	""	"59"	""	""	"9"	""	""	"7"	""	"5"	""	"8"	""	"14"	""	"5"	""	"16"	""	""	"22"	""	""	"11"	""	""	"19"	""	""	"642"	""	""	"0"	""	""	"642"	""	""	""	""	""
"103"	"68"	"119"	"125"	""	"15"	""	"10"	""	"1"	""	"274"	""	""	"13"	""	""	"18"	""	"6"	""	"10"	""	"12"	""	"7"	""	"17"	""	""	"10"	""	""	"9"	""	""	"14"	""	""	"660"	""	""	"0"	""	""	"660"	""	""	""	""	""
"104"	"69"	"22"	"360"	""	"24"	""	"7"	""	"7"	""	"45"	""	""	"7"	""	""	"7"	""	"7"	""	"17"	""	"77"	""	"3"	""	"14"	""	""	"11"	""	""	"5"	""	""	"17"	""	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""
"105"	"70"	"29"	"165"	""	"12"	""	"6"	""	"0"	""	"25"	""	""	"4"	""	""	"6"	""	"1"	""	"3"	""	"9"	""	"3"	""	"7"	""	""	"7"	""	""	"5"	""	""	"8"	""	""	"290"	""	""	"0"	""	""	"290"	""	""	""	""	""
"106"	"Total"	"882"	"3723"	""	"351"	""	"63"	""	"46"	""	"1093"	""	""	"90"	""	""	"76"	""	"44"	""	"58"	""	"334"	""	"37"	""	"209"	""	""	"130"	""	""	"50"	""	""	"125"	""	""	"7311"	""	""	"0"	""	""	"7311"	""	""	""	""	""
"107"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"108"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"109"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"110"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"111"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"112"	"71"	"11"	"40"	""	"3"	""	"1"	""	"1"	""	"147"	""	""	"17"	""	""	"7"	""	"4"	""	"2"	""	"3"	""	"2"	""	"8"	""	""	"7"	""	""	"1"	""	""	"2"	""	""	"256"	""	""	"0"	""	""	"256"	""	""	""	""	""
"113"	"72"	"15"	"73"	""	"0"	""	"3"	""	"2"	""	"293"	""	""	"11"	""	""	"14"	""	"9"	""	"15"	""	"5"	""	"6"	""	"16"	""	""	"14"	""	""	"7"	""	""	"11"	""	""	"494"	""	""	"0"	""	""	"494"	""	""	""	""	""
"114"	"73"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""
"115"	"74"	"42"	"59"	""	"9"	""	"4"	""	"1"	""	"193"	""	""	"16"	""	""	"16"	""	"5"	""	"6"	""	"15"	""	"0"	""	"18"	""	""	"13"	""	""	"3"	""	""	"4"	""	""	"404"	""	""	"0"	""	""	"404"	""	""	""	""	""
"116"	"75"	"64"	"136"	""	"7"	""	"3"	""	"2"	""	"83"	""	""	"4"	""	""	"3"	""	"2"	""	"4"	""	"9"	""	"2"	""	"5"	""	""	"12"	""	""	"10"	""	""	"6"	""	""	"352"	""	""	"0"	""	""	"352"	""	""	""	""	""
"117"	"76"	"30"	"198"	""	"7"	""	"3"	""	"2"	""	"100"	""	""	"5"	""	""	"4"	""	"3"	""	"4"	""	"18"	""	"3"	""	"5"	""	""	"5"	""	""	"3"	""	""	"11"	""	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""
"118"	"77"	"74"	"275"	""	"18"	""	"10"	""	"7"	""	"150"	""	""	"11"	""	""	"12"	""	"6"	""	"6"	""	"57"	""	"1"	""	"11"	""	""	"10"	""	""	"6"	""	""	"12"	""	""	"666"	""	""	"0"	""	""	"666"	""	""	""	""	""
"119"	"78"	"148"	"106"	""	"18"	""	"7"	""	"3"	""	"380"	""	""	"29"	""	""	"22"	""	"8"	""	"10"	""	"10"	""	"10"	""	"27"	""	""	"12"	""	""	"11"	""	""	"20"	""	""	"821"	""	""	"0"	""	""	"821"	""	""	""	""	""
"120"	"79"	"29"	"178"	""	"7"	""	"10"	""	"9"	""	"237"	""	""	"13"	""	""	"19"	""	"7"	""	"8"	""	"30"	""	"4"	""	"14"	""	""	"8"	""	""	"4"	""	""	"8"	""	""	"585"	""	""	"0"	""	""	"585"	""	""	""	""	""
"121"	"80"	"48"	"42"	""	"1"	""	"0"	""	"0"	""	"154"	""	""	"2"	""	""	"5"	""	"3"	""	"2"	""	"2"	""	"0"	""	"6"	""	""	"6"	""	""	"2"	""	""	"1"	""	""	"274"	""	""	"0"	""	""	"274"	""	""	""	""	""
"122"	"81"	"29"	"74"	""	"6"	""	"7"	""	"7"	""	"265"	""	""	"15"	""	""	"16"	""	"4"	""	"9"	""	"1"	""	"4"	""	"9"	""	""	"15"	""	""	"2"	""	""	"13"	""	""	"476"	""	""	"0"	""	""	"476"	""	""	""	""	""
"123"	"82"	"20"	"30"	""	"3"	""	"1"	""	"5"	""	"159"	""	""	"40"	""	""	"12"	""	"2"	""	"11"	""	"9"	""	"7"	""	"10"	""	""	"7"	""	""	"5"	""	""	"3"	""	""	"324"	""	""	"0"	""	""	"324"	""	""	""	""	""
"124"	"83"	"102"	"50"	""	"4"	""	"2"	""	"2"	""	"376"	""	""	"6"	""	""	"14"	""	"4"	""	"4"	""	"4"	""	"3"	""	"2"	""	""	"6"	""	""	"2"	""	""	"1"	""	""	"582"	""	""	"0"	""	""	"582"	""	""	""	""	""
"125"	"84"	"37"	"147"	""	"6"	""	"5"	""	"2"	""	"87"	""	""	"5"	""	""	"7"	""	"2"	""	"9"	""	"2"	""	"0"	""	"5"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	"322"	""	""	"0"	""	""	"322"	""	""	""	""	""
"126"	"Total"	"649"	"1408"	""	"89"	""	"56"	""	"43"	""	"2624"	""	""	"174"	""	""	"151"	""	"59"	""	"90"	""	"165"	""	"42"	""	"136"	""	""	"118"	""	""	"58"	""	""	"95"	""	""	"5957"	""	""	"0"	""	""	"5957"	""	""	""	""	""
"127"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"128"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"129"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"130"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"131"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"132"	"85"	"16"	"122"	""	"23"	""	"3"	""	"1"	""	"23"	""	""	"2"	""	""	"1"	""	"0"	""	"5"	""	"21"	""	"0"	""	"3"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	"228"	""	""	"0"	""	""	"228"	""	""	""	""	""
"133"	"86"	"39"	"26"	""	"4"	""	"6"	""	"4"	""	"159"	""	""	"8"	""	""	"6"	""	"1"	""	"7"	""	"20"	""	"1"	""	"11"	""	""	"9"	""	""	"5"	""	""	"4"	""	""	"310"	""	""	"0"	""	""	"310"	""	""	""	""	""
"134"	"87"	"60"	"95"	""	"9"	""	"10"	""	"5"	""	"169"	""	""	"26"	""	""	"20"	""	"3"	""	"20"	""	"29"	""	"2"	""	"23"	""	""	"10"	""	""	"1"	""	""	"3"	""	""	"485"	""	""	"0"	""	""	"485"	""	""	""	""	""
"135"	"88"	"4"	"80"	""	"3"	""	"7"	""	"1"	""	"86"	""	""	"9"	""	""	"11"	""	"5"	""	"12"	""	"15"	""	"3"	""	"4"	""	""	"3"	""	""	"3"	""	""	"7"	""	""	"253"	""	""	"0"	""	""	"253"	""	""	""	""	""
"136"	"89"	"69"	"279"	""	"88"	""	"5"	""	"5"	""	"176"	""	""	"8"	""	""	"3"	""	"3"	""	"7"	""	"4"	""	"4"	""	"19"	""	""	"5"	""	""	"2"	""	""	"6"	""	""	"683"	""	""	"0"	""	""	"683"	""	""	""	""	""
"137"	"90"	"30"	"123"	""	"9"	""	"3"	""	"4"	""	"25"	""	""	"70"	""	""	"11"	""	"2"	""	"5"	""	"2"	""	"2"	""	"2"	""	""	"4"	""	""	"3"	""	""	"15"	""	""	"310"	""	""	"0"	""	""	"310"	""	""	""	""	""
"138"	"91"	"155"	"67"	""	"4"	""	"1"	""	"3"	""	"233"	""	""	"9"	""	""	"6"	""	"0"	""	"24"	""	"13"	""	"1"	""	"2"	""	""	"4"	""	""	"0"	""	""	"3"	""	""	"525"	""	""	"0"	""	""	"525"	""	""	""	""	""
"139"	"92"	"105"	"59"	""	"7"	""	"3"	""	"4"	""	"84"	""	""	"2"	""	""	"3"	""	"2"	""	"109"	""	"7"	""	"4"	""	"6"	""	""	"14"	""	""	"3"	""	""	"9"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	""	""
"140"	"93"	"61"	"28"	""	"5"	""	"5"	""	"0"	""	"110"	""	""	"5"	""	""	"4"	""	"7"	""	"237"	""	"5"	""	"3"	""	"5"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"483"	""	""	"0"	""	""	"483"	""	""	""	""	""
"141"	"94"	"86"	"114"	""	"13"	""	"3"	""	"7"	""	"66"	""	""	"7"	""	""	"5"	""	"3"	""	"20"	""	"5"	""	"2"	""	"13"	""	""	"14"	""	""	"3"	""	""	"12"	""	""	"373"	""	""	"0"	""	""	"373"	""	""	""	""	""
"142"	"95"	"40"	"21"	""	"1"	""	"5"	""	"9"	""	"695"	""	""	"19"	""	""	"12"	""	"6"	""	"9"	""	"6"	""	"1"	""	"4"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"837"	""	""	"0"	""	""	"837"	""	""	""	""	""
"143"	"96"	"88"	"57"	""	"5"	""	"3"	""	"3"	""	"145"	""	""	"10"	""	""	"3"	""	"0"	""	"17"	""	"31"	""	"2"	""	"1"	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"372"	""	""	"0"	""	""	"372"	""	""	""	""	""
"144"	"97"	"22"	"26"	""	"1"	""	"2"	""	"1"	""	"47"	""	""	"3"	""	""	"0"	""	"1"	""	"4"	""	"829"	""	"4"	""	"4"	""	""	"3"	""	""	"0"	""	""	"6"	""	""	"953"	""	""	"0"	""	""	"953"	""	""	""	""	""
"145"	"98"	"16"	"68"	""	"6"	""	"1"	""	"6"	""	"319"	""	""	"11"	""	""	"12"	""	"2"	""	"3"	""	"8"	""	"2"	""	"5"	""	""	"11"	""	""	"0"	""	""	"2"	""	""	"472"	""	""	"0"	""	""	"472"	""	""	""	""	""
"146"	"Total"	"791"	"1165"	""	"178"	""	"57"	""	"53"	""	"2337"	""	""	"189"	""	""	"97"	""	"35"	""	"479"	""	"995"	""	"31"	""	"102"	""	""	"88"	""	""	"27"	""	""	"81"	""	""	"6705"	""	""	"0"	""	""	"6705"	""	""	""	""	""
"147"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"148"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"149"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"150"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"151"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"152"	"99"	"46"	"171"	""	"14"	""	"6"	""	"8"	""	"248"	""	""	"38"	""	""	"12"	""	"5"	""	"2"	""	"10"	""	"2"	""	"7"	""	""	"9"	""	""	"4"	""	""	"3"	""	""	"585"	""	""	"0"	""	""	"585"	""	""	""	""	""
"153"	"100"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""
"154"	"101"	"19"	"153"	""	"9"	""	"3"	""	"5"	""	"98"	""	""	"6"	""	""	"2"	""	"1"	""	"3"	""	"10"	""	"0"	""	"9"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"322"	""	""	"0"	""	""	"322"	""	""	""	""	""
"155"	"102"	"19"	"104"	""	"13"	""	"2"	""	"3"	""	"121"	""	""	"11"	""	""	"11"	""	"4"	""	"3"	""	"15"	""	"11"	""	"13"	""	""	"5"	""	""	"6"	""	""	"22"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	""	""	""
"156"	"103"	"25"	"310"	""	"18"	""	"5"	""	"3"	""	"57"	""	""	"6"	""	""	"9"	""	"5"	""	"2"	""	"15"	""	"3"	""	"6"	""	""	"11"	""	""	"15"	""	""	"21"	""	""	"511"	""	""	"0"	""	""	"511"	""	""	""	""	""
"157"	"104"	"21"	"268"	""	"29"	""	"5"	""	"2"	""	"13"	""	""	"5"	""	""	"6"	""	"1"	""	"7"	""	"44"	""	"6"	""	"13"	""	""	"12"	""	""	"7"	""	""	"5"	""	""	"444"	""	""	"0"	""	""	"444"	""	""	""	""	""
"158"	"105"	"14"	"387"	""	"22"	""	"2"	""	"1"	""	"52"	""	""	"6"	""	""	"2"	""	"2"	""	"2"	""	"6"	""	"2"	""	"9"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"512"	""	""	"0"	""	""	"512"	""	""	""	""	""
"159"	"106"	"49"	"64"	""	"4"	""	"7"	""	"3"	""	"15"	""	""	"14"	""	""	"5"	""	"1"	""	"1"	""	"23"	""	"2"	""	"1"	""	""	"15"	""	""	"1"	""	""	"6"	""	""	"211"	""	""	"0"	""	""	"211"	""	""	""	""	""
"160"	"107"	"0"	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	""	""
"161"	"108"	"73"	"64"	""	"2"	""	"0"	""	"1"	""	"68"	""	""	"4"	""	""	"7"	""	"9"	""	"1"	""	"7"	""	"0"	""	"2"	""	""	"12"	""	""	"0"	""	""	"1"	""	""	"251"	""	""	"0"	""	""	"251"	""	""	""	""	""
"162"	"109"	"24"	"46"	""	"9"	""	"5"	""	"2"	""	"0"	""	""	"6"	""	""	"5"	""	"43"	""	"6"	""	"20"	""	"3"	""	"10"	""	""	"8"	""	""	"3"	""	""	"11"	""	""	"201"	""	""	"0"	""	""	"201"	""	""	""	""	""
"163"	"110"	"23"	"80"	""	"1"	""	"5"	""	"1"	""	"5"	""	""	"21"	""	""	"5"	""	"5"	""	"1"	""	"5"	""	"1"	""	"0"	""	""	"22"	""	""	"3"	""	""	"16"	""	""	"194"	""	""	"0"	""	""	"194"	""	""	""	""	""
"164"	"111"	"54"	"292"	""	"4"	""	"1"	""	"1"	""	"184"	""	""	"6"	""	""	"5"	""	"2"	""	"1"	""	"1"	""	"2"	""	"4"	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"564"	""	""	"0"	""	""	"564"	""	""	""	""	""
"165"	"112"	"40"	"457"	""	"1"	""	"1"	""	"1"	""	"47"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"552"	""	""	"0"	""	""	"552"	""	""	""	""	""
"166"	"Total"	"407"	"2398"	""	"126"	""	"42"	""	"31"	""	"908"	""	""	"123"	""	""	"70"	""	"78"	""	"30"	""	"157"	""	"32"	""	"74"	""	""	"101"	""	""	"39"	""	""	"96"	""	""	"4712"	""	""	"0"	""	""	"4712"	""	""	""	""	""
"167"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
