"FORM....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"
"43"	"26"	""	"5"	""	"122"	""	"19"	""	"22"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	"4"	""	""	"2"	""	""	""	"6"	""	""	""	"12"	""	""	""	"6"	""	""	"3"	""	"4"	""	"2"	""	""	"7"	""	""	"5"	""	""	""	"7"	""	""	"2"	""	""	"3"	""	""	"5"	""	""	"140"	""	""	"18"	""	""	"9"	""	""	"261"	""	""	"43"	""	""	"718"	""	""	""	"718"	""	""	""	""	""	""
"44"	"27"	""	"8"	""	"14"	""	"122"	""	"29"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"19"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	"5"	""	""	""	"0"	""	""	"5"	""	""	"34"	""	""	""	"2"	""	""	""	"8"	""	""	""	"5"	""	""	"4"	""	"6"	""	"1"	""	""	"15"	""	""	"3"	""	""	""	"6"	""	""	"3"	""	""	"7"	""	""	"11"	""	""	"318"	""	""	"8"	""	""	"5"	""	""	"5"	""	""	"28"	""	""	"682"	""	""	""	"682"	""	""	""	""	""	""
"45"	"28"	""	"12"	""	"212"	""	"30"	""	"16"	""	""	"13"	""	""	"0"	""	""	"2"	""	""	"8"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"10"	""	""	""	"6"	""	""	"6"	""	"2"	""	"1"	""	""	"5"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"300"	""	""	"4"	""	""	"3"	""	""	"29"	""	""	"14"	""	""	"692"	""	""	""	"692"	""	""	""	""	""	""
"46"	"FORM  - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Election to the Legislative assembly from the 143-KADWA constituency.                                                                 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used both for Parliamentary and Assembly elections                                                             Total No. of Electors in Assembly constituency/Segment .................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	"TOTAL"	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""
"54"	""	"ANIL KRISHNA SAHA"	""	"ABDUL ZALIL"	""	"ZAKIR HUSAIN"	""	"BHOLA ROY - SONAILI"	""	""	"MAGAN PASWAN"	""	"KRISHNA PRASAD JAMADAR"	""	""	"MADAN LAL ROY"	""	""	"SHAMBHU KUMAR MANDAL"	""	""	"SHEELA  BISHWAS"	""	""	"SK. SALAUDDIN"	""	""	"ANKUSHAWAHA"	""	""	"AKHILESH KUMAR BISWAS"	""	"ALLAUDDIN"	""	""	"IFTEKHAR AHAMAD"	""	""	"DINESH KR. INSHAN"	""	""	"NIRMAL BUBNA"	""	""	""	"NILAM SHARMA"	""	""	""	"PURAN RAJAK"	""	""	"PURUSOTTAM LAL SHARMA"	""	""	"BHOLA ROY - MEENAPUR"	""	""	"MANORA BEGAM"	""	"YOGENDRA PARASAD RISHI"	""	"RANJAN SINGH"	""	""	"RANJEET KUMAR"	""	"RANJEET LAL ROY"	""	""	"RAMLAL PARIHAR"	""	""	"SHOBHA DEVI - KACHOURA"	""	""	"SHOBHA DEVI - PAHLAGARDH"	""	""	"SAIDUL RAHMAN"	""	""	"SOBHAS CHANDRA ROY"	""	"SUMANT KUMAR SINGH"	""	""	"HARI NANDAN CHOUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"29"	"15"	""	"18"	""	"20"	""	"194"	""	""	"3"	""	"6"	""	""	"2"	""	""	"12"	""	""	"6"	""	""	"2"	""	""	"3"	""	""	"3"	""	"3"	""	""	"2"	""	""	"18"	""	""	"15"	""	""	""	"14"	""	""	""	"7"	""	""	"4"	""	""	"9"	""	""	"6"	""	"1"	""	"4"	""	""	"4"	""	"1"	""	""	"14"	""	""	"14"	""	""	"417"	""	""	"11"	""	""	"4"	""	"23"	""	""	"25"	""	""	"880"	""	""	"0"	"880"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"30"	"5"	""	"2"	""	"3"	""	"9"	""	""	"3"	""	"6"	""	""	"1"	""	""	"107"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"3"	""	"1"	""	""	"0"	""	""	"1"	""	""	"10"	""	""	""	"8"	""	""	""	"5"	""	""	"2"	""	""	"8"	""	""	"13"	""	"16"	""	"2"	""	""	"12"	""	"3"	""	""	"5"	""	""	"6"	""	""	"322"	""	""	"12"	""	""	"6"	""	"14"	""	""	"12"	""	""	"606"	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"31"	"6"	""	"15"	""	"105"	""	"104"	""	""	"5"	""	"3"	""	""	"7"	""	""	"11"	""	""	"8"	""	""	"5"	""	""	"4"	""	""	"13"	""	"3"	""	""	"11"	""	""	"7"	""	""	"30"	""	""	""	"4"	""	""	""	"11"	""	""	"14"	""	""	"10"	""	""	"4"	""	"7"	""	"3"	""	""	"5"	""	"4"	""	""	"5"	""	""	"14"	""	""	"290"	""	""	"13"	""	""	"10"	""	"22"	""	""	"18"	""	""	"771"	""	""	""	"771"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"32"	"7"	""	"1"	""	"7"	""	"38"	""	""	"1"	""	"1"	""	""	"0"	""	""	"95"	""	""	"4"	""	""	"11"	""	""	"10"	""	""	"3"	""	"3"	""	""	"1"	""	""	"1"	""	""	"8"	""	""	""	"3"	""	""	""	"4"	""	""	"2"	""	""	"4"	""	""	"0"	""	"2"	""	"0"	""	""	"4"	""	"3"	""	""	"4"	""	""	"7"	""	""	"430"	""	""	"9"	""	""	"3"	""	"7"	""	""	"6"	""	""	"679"	""	""	""	"679"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"33"	"4"	""	"33"	""	"8"	""	"16"	""	""	"2"	""	"0"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"2"	""	"0"	""	""	"2"	""	""	"4"	""	""	"7"	""	""	""	"8"	""	""	""	"2"	""	""	"4"	""	""	"4"	""	""	"2"	""	"2"	""	"1"	""	""	"1"	""	"1"	""	""	"3"	""	""	"8"	""	""	"491"	""	""	"16"	""	""	"2"	""	"19"	""	""	"14"	""	""	"663"	""	""	""	"663"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"34"	"23"	""	"185"	""	"60"	""	"20"	""	""	"5"	""	"2"	""	""	"1"	""	""	"14"	""	""	"5"	""	""	"5"	""	""	"6"	""	""	"14"	""	"10"	""	""	"12"	""	""	"6"	""	""	"19"	""	""	""	"13"	""	""	""	"13"	""	""	"7"	""	""	"2"	""	""	"3"	""	"9"	""	"4"	""	""	"7"	""	"2"	""	""	"2"	""	""	"8"	""	""	"277"	""	""	"8"	""	""	"10"	""	"21"	""	""	"41"	""	""	"814"	""	""	""	"814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"35"	"3"	""	"5"	""	"7"	""	"252"	""	""	"14"	""	"4"	""	""	"5"	""	""	"13"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"2"	""	"1"	""	""	"3"	""	""	"3"	""	""	"40"	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	"9"	""	""	"8"	""	"5"	""	"1"	""	""	"1"	""	"0"	""	""	"1"	""	""	"6"	""	""	"196"	""	""	"2"	""	""	"3"	""	"2"	""	""	"4"	""	""	"608"	""	""	""	"608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"36"	"12"	""	"27"	""	"1"	""	"134"	""	""	"4"	""	"3"	""	""	"2"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"1"	""	"5"	""	""	"8"	""	""	"3"	""	""	"20"	""	""	""	"4"	""	""	""	"8"	""	""	"2"	""	""	"14"	""	""	"6"	""	"5"	""	"7"	""	""	"6"	""	"8"	""	""	"12"	""	""	"11"	""	""	"361"	""	""	"7"	""	""	"10"	""	"20"	""	""	"27"	""	""	"738"	""	""	""	"738"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"37"	"10"	""	"1"	""	"5"	""	"114"	""	""	"7"	""	"3"	""	""	"1"	""	""	"5"	""	""	"3"	""	""	"9"	""	""	"8"	""	""	"5"	""	"8"	""	""	"20"	""	""	"7"	""	""	"27"	""	""	""	"6"	""	""	""	"8"	""	""	"8"	""	""	"8"	""	""	"7"	""	"2"	""	"1"	""	""	"6"	""	"5"	""	""	"6"	""	""	"13"	""	""	"384"	""	""	"13"	""	""	"2"	""	"17"	""	""	"31"	""	""	"750"	""	""	""	"750"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"38"	"12"	""	"7"	""	"3"	""	"122"	""	""	"8"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"2"	""	"0"	""	""	"4"	""	""	"6"	""	""	"5"	""	""	""	"22"	""	""	""	"7"	""	""	"7"	""	""	"9"	""	""	"6"	""	"4"	""	"6"	""	""	"8"	""	"4"	""	""	"7"	""	""	"6"	""	""	"392"	""	""	"5"	""	""	"3"	""	"125"	""	""	"14"	""	""	"798"	""	""	""	"798"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"39"	"18"	""	"58"	""	"10"	""	"142"	""	""	"4"	""	"2"	""	""	"1"	""	""	"7"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"1"	""	"5"	""	""	"8"	""	""	"6"	""	""	"17"	""	""	""	"4"	""	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"2"	""	"1"	""	"1"	""	""	"1"	""	"3"	""	""	"57"	""	""	"1"	""	""	"55"	""	""	"0"	""	""	"4"	""	"178"	""	""	"7"	""	""	"604"	""	""	""	"604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"40"	"14"	""	"47"	""	"5"	""	"158"	""	""	"7"	""	"4"	""	""	"3"	""	""	"14"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	"3"	""	"1"	""	""	"7"	""	""	"8"	""	""	"8"	""	""	""	"6"	""	""	""	"6"	""	""	"1"	""	""	"6"	""	""	"6"	""	"7"	""	"3"	""	""	"5"	""	"2"	""	""	"0"	""	""	"4"	""	""	"113"	""	""	"11"	""	""	"5"	""	"189"	""	""	"19"	""	""	"671"	""	""	""	"671"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"41"	"7"	""	"236"	""	"23"	""	"35"	""	""	"3"	""	"2"	""	""	"0"	""	""	"10"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"0"	""	"1"	""	""	"5"	""	""	"1"	""	""	"2"	""	""	""	"13"	""	""	""	"5"	""	""	"3"	""	""	"3"	""	""	"6"	""	"9"	""	"4"	""	""	"6"	""	"3"	""	""	"12"	""	""	"7"	""	""	"35"	""	""	"3"	""	""	"16"	""	"313"	""	""	"14"	""	""	"781"	""	""	""	"781"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"42"	"22"	""	"37"	""	"21"	""	"243"	""	""	"8"	""	"2"	""	""	"6"	""	""	"89"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"2"	""	"2"	""	""	"0"	""	""	"111"	""	""	"8"	""	""	""	"5"	""	""	""	"0"	""	""	"6"	""	""	"4"	""	""	"0"	""	"2"	""	"2"	""	""	"0"	""	"0"	""	""	"2"	""	""	"1"	""	""	"18"	""	""	"1"	""	""	"5"	""	"3"	""	""	"5"	""	""	"607"	""	""	""	"607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"FORM  - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Election to the Legislative assembly from the 143-KADWA constituency.                                                                 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"(To be used both for Parliamentary and Assembly elections                                                             Total No. of Electors in Assembly constituency/Segment .................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	"TOTAL"	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""
"77"	""	"ANIL KRISHNA SAHA"	""	"ABDUL ZALIL"	""	"ZAKIR HUSAIN"	""	"BHOLA ROY - SONAILI"	""	""	"MAGAN PASWAN"	""	"KRISHNA PRASAD JAMADAR"	""	""	"MADAN LAL ROY"	""	""	"SHAMBHU KUMAR MANDAL"	""	""	"SHEELA  BISHWAS"	""	""	"SK. SALAUDDIN"	""	""	"ANKUSHAWAHA"	""	""	"AKHILESH KUMAR BISWAS"	""	"ALLAUDDIN"	""	""	"IFTEKHAR AHAMAD"	""	""	"DINESH KR. INSHAN"	""	""	"NIRMAL BUBNA"	""	""	""	"NILAM SHARMA"	""	""	""	"PURAN RAJAK"	""	""	"PURUSOTTAM LAL SHARMA"	""	""	"BHOLA ROY - MEENAPUR"	""	""	"MANORA BEGAM"	""	"YOGENDRA PARASAD RISHI"	""	"RANJAN SINGH"	""	""	"RANJEET KUMAR"	""	"RANJEET LAL ROY"	""	""	"RAMLAL PARIHAR"	""	""	"SHOBHA DEVI - KACHOURA"	""	""	"SHOBHA DEVI - PAHLAGARDH"	""	""	"SAIDUL RAHMAN"	""	""	"SOBHAS CHANDRA ROY"	""	"SUMANT KUMAR SINGH"	""	""	"HARI NANDAN CHOUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"43"	"3"	""	"1"	""	"2"	""	"113"	""	""	"4"	""	"1"	""	""	"1"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"4"	""	""	"3"	""	"1"	""	""	"5"	""	""	"116"	""	""	"9"	""	""	""	"0"	""	""	""	"1"	""	""	"69"	""	""	"4"	""	""	"2"	""	"3"	""	"0"	""	""	"1"	""	"2"	""	""	"1"	""	""	"1"	""	""	"37"	""	""	"2"	""	""	"5"	""	"3"	""	""	"2"	""	""	"414"	""	""	"0"	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"44"	"15"	""	"103"	""	"6"	""	"200"	""	""	"4"	""	"3"	""	""	"1"	""	""	"28"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"2"	""	"1"	""	""	"3"	""	""	"5"	""	""	"7"	""	""	""	"1"	""	""	""	"1"	""	""	"18"	""	""	"8"	""	""	"1"	""	"10"	""	"1"	""	""	"3"	""	"5"	""	""	"1"	""	""	"2"	""	""	"79"	""	""	"1"	""	""	"0"	""	"8"	""	""	"9"	""	""	"531"	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"45"	"3"	""	"2"	""	"5"	""	"130"	""	""	"1"	""	"3"	""	""	"38"	""	""	"6"	""	""	"4"	""	""	"5"	""	""	"7"	""	""	"4"	""	"6"	""	""	"11"	""	""	"22"	""	""	"8"	""	""	""	"4"	""	""	""	"5"	""	""	"2"	""	""	"6"	""	""	"3"	""	"1"	""	"2"	""	""	"1"	""	"2"	""	""	"1"	""	""	"3"	""	""	"127"	""	""	"4"	""	""	"2"	""	"2"	""	""	"9"	""	""	"429"	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"46"	"5"	""	"80"	""	"17"	""	"60"	""	""	"6"	""	"2"	""	""	"3"	""	""	"11"	""	""	"6"	""	""	"3"	""	""	"4"	""	""	"12"	""	"7"	""	""	"10"	""	""	"14"	""	""	"24"	""	""	""	"9"	""	""	""	"5"	""	""	"3"	""	""	"4"	""	""	"7"	""	"2"	""	"1"	""	""	"8"	""	"3"	""	""	"3"	""	""	"8"	""	""	"262"	""	""	"12"	""	""	"5"	""	"78"	""	""	"21"	""	""	"695"	""	""	""	"695"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"47"	"4"	""	"42"	""	"14"	""	"233"	""	""	"2"	""	"6"	""	""	"3"	""	""	"10"	""	""	"5"	""	""	"1"	""	""	"9"	""	""	"1"	""	"3"	""	""	"1"	""	""	"5"	""	""	"10"	""	""	""	"7"	""	""	""	"2"	""	""	"6"	""	""	"14"	""	""	"11"	""	"3"	""	"1"	""	""	"3"	""	"5"	""	""	"4"	""	""	"13"	""	""	"194"	""	""	"8"	""	""	"11"	""	"87"	""	""	"32"	""	""	"750"	""	""	""	"750"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"48"	"24"	""	"155"	""	"27"	""	"133"	""	""	"8"	""	"1"	""	""	"6"	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"4"	""	""	"6"	""	"3"	""	""	"7"	""	""	"20"	""	""	"21"	""	""	""	"4"	""	""	""	"5"	""	""	"3"	""	""	"10"	""	""	"2"	""	"2"	""	"2"	""	""	"0"	""	"3"	""	""	"1"	""	""	"0"	""	""	"28"	""	""	"2"	""	""	"3"	""	"40"	""	""	"5"	""	""	"536"	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"49"	"31"	""	"250"	""	"13"	""	"24"	""	""	"3"	""	"0"	""	""	"2"	""	""	"5"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"2"	""	"2"	""	""	"4"	""	""	"9"	""	""	"5"	""	""	""	"17"	""	""	""	"10"	""	""	"6"	""	""	"3"	""	""	"9"	""	"10"	""	"4"	""	""	"6"	""	"2"	""	""	"3"	""	""	"11"	""	""	"149"	""	""	"2"	""	""	"6"	""	"8"	""	""	"1"	""	""	"600"	""	""	""	"600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"50"	"2"	""	"9"	""	"6"	""	"68"	""	""	"3"	""	"1"	""	""	"2"	""	""	"11"	""	""	"2"	""	""	"5"	""	""	"7"	""	""	"5"	""	"4"	""	""	"11"	""	""	"126"	""	""	"8"	""	""	""	"3"	""	""	""	"3"	""	""	"9"	""	""	"11"	""	""	"5"	""	"7"	""	"6"	""	""	"10"	""	"2"	""	""	"4"	""	""	"8"	""	""	"239"	""	""	"6"	""	""	"34"	""	"16"	""	""	"9"	""	""	"642"	""	""	""	"642"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"51"	"7"	""	"13"	""	"6"	""	"32"	""	""	"2"	""	"1"	""	""	"4"	""	""	"7"	""	""	"5"	""	""	"6"	""	""	"2"	""	""	"7"	""	"4"	""	""	"13"	""	""	"275"	""	""	"14"	""	""	""	"4"	""	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"1"	""	"0"	""	"0"	""	""	"2"	""	"1"	""	""	"1"	""	""	"0"	""	""	"86"	""	""	"2"	""	""	"9"	""	"10"	""	""	"2"	""	""	"522"	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"52"	"22"	""	"315"	""	"21"	""	"6"	""	""	"3"	""	"1"	""	""	"4"	""	""	"3"	""	""	"3"	""	""	"1"	""	""	"6"	""	""	"9"	""	"2"	""	""	"14"	""	""	"199"	""	""	"19"	""	""	""	"2"	""	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	"1"	""	"1"	""	""	"3"	""	"1"	""	""	"0"	""	""	"0"	""	""	"14"	""	""	"0"	""	""	"4"	""	"6"	""	""	"10"	""	""	"674"	""	""	""	"674"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
