"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"202"	"168"	"119"	"54"	"13"	"7"	"157"	"11"	"10"	"4"	"9"	"17"	"401"	""	"401"	""
"203"	"Grand
Total"	"1359"	"2014"	"120"	"49"	"456"	"79"	"444"	"36"	"67"	"141"	"4765"	"0"	"4765"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"206"	"169"	"112"	"91"	"11"	"3"	"149"	"25"	"24"	"7"	"8"	"20"	"450"	""	"450"	""
"207"	"170"	"80"	"141"	"9"	"6"	"135"	"4"	"9"	"4"	"5"	"7"	"400"	""	"400"	""
"208"	"171"	"153"	"99"	"6"	"3"	"21"	"12"	"3"	"4"	"13"	"16"	"330"	""	"330"	""
"209"	"172"	"20"	"105"	"2"	"3"	"54"	"2"	"1"	"1"	"1"	"5"	"194"	""	"194"	""
"210"	"173"	"424"	"11"	"0"	"0"	"14"	"0"	"0"	"0"	"1"	"1"	"451"	""	"451"	""
"211"	"174"	"587"	"19"	"1"	"0"	"17"	"0"	"1"	"0"	"0"	"0"	"625"	""	"625"	""
"212"	"175"	"46"	"12"	"2"	"2"	"13"	"4"	"214"	"3"	"1"	"6"	"303"	""	"303"	""
"213"	"176"	"143"	"209"	"18"	"7"	"161"	"17"	"10"	"7"	"11"	"10"	"593"	""	"593"	""
"214"	"177"	"147"	"144"	"6"	"6"	"68"	"6"	"7"	"0"	"4"	"12"	"400"	""	"400"	""
"215"	"178"	"94"	"140"	"9"	"6"	"16"	"9"	"43"	"5"	"15"	"12"	"349"	""	"349"	""
"216"	"179"	"46"	"403"	"3"	"0"	"1"	"0"	"30"	"1"	"2"	"5"	"491"	""	"491"	""
"217"	"180"	"46"	"215"	"9"	"9"	"188"	"19"	"3"	"3"	"5"	"9"	"506"	""	"506"	""
"218"	"181"	"72"	"447"	"22"	"11"	"63"	"5"	"14"	"5"	"7"	"7"	"653"	""	"653"	""
"219"	"182"	"168"	"252"	"17"	"4"	"29"	"6"	"15"	"7"	"8"	"11"	"517"	""	"517"	""
"220"	"Grand
Total"	"2138"	"2288"	"115"	"60"	"929"	"109"	"374"	"47"	"81"	"121"	"6262"	"0"	"6262"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"223"	"183"	"35"	"95"	"12"	"9"	"171"	"11"	"7"	"3"	"5"	"5"	"353"	""	"353"	""
"224"	"184"	"212"	"88"	"8"	"7"	"104"	"5"	"34"	"2"	"7"	"5"	"472"	""	"472"	""
"225"	"185"	"177"	"179"	"26"	"8"	"91"	"19"	"26"	"2"	"8"	"7"	"543"	""	"543"	""
"226"	"186"	"44"	"185"	"17"	"7"	"126"	"3"	"19"	"6"	"8"	"8"	"423"	""	"423"	""
"227"	"187"	"8"	"123"	"8"	"3"	"279"	"8"	"3"	"0"	"1"	"2"	"435"	""	"435"	""
"228"	"188"	"8"	"132"	"11"	"7"	"213"	"7"	"19"	"3"	"8"	"8"	"416"	""	"416"	""
"229"	"189"	"16"	"52"	"2"	"5"	"59"	"9"	"72"	"5"	"12"	"29"	"261"	""	"261"	""
"230"	"190"	"17"	"164"	"7"	"7"	"53"	"6"	"58"	"5"	"1"	"17"	"335"	""	"335"	""
"231"	"191"	"22"	"100"	"18"	"8"	"260"	"14"	"6"	"8"	"4"	"10"	"450"	""	"450"	""
"232"	"192"	"17"	"383"	"10"	"3"	"110"	"2"	"7"	"1"	"4"	"4"	"541"	""	"541"	""
"233"	"193"	"5"	"71"	"2"	"3"	"305"	"3"	"4"	"1"	"0"	"1"	"395"	""	"395"	""
"234"	"194"	"4"	"452"	"3"	"3"	"63"	"0"	"0"	"0"	"0"	"0"	"525"	""	"525"	""
"235"	"195"	"18"	"24"	"8"	"4"	"373"	"5"	"1"	"0"	"1"	"1"	"435"	""	"435"	""
"236"	"196"	"48"	"275"	"18"	"6"	"82"	"3"	"20"	"3"	"2"	"7"	"464"	""	"464"	""
"237"	"Grand
Total"	"631"	"2323"	"150"	"80"	"2289"	"95"	"276"	"39"	"61"	"104"	"6048"	"0"	"6048"	"0"
"238"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"239"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"240"	"197"	"4"	"44"	"4"	"2"	"655"	"0"	"0"	"1"	"0"	"1"	"711"	""	"711"	""
"241"	"198"	"30"	"95"	"6"	"4"	"262"	"12"	"29"	"1"	"3"	"6"	"448"	""	"448"	""
"242"	"199"	"23"	"128"	"16"	"9"	"230"	"11"	"7"	"4"	"4"	"7"	"439"	""	"439"	""
"243"	"200"	"51"	"289"	"19"	"5"	"203"	"12"	"40"	"4"	"3"	"8"	"634"	""	"634"	""
"244"	"201"	"5"	"150"	"7"	"2"	"322"	"10"	"5"	"1"	"2"	"11"	"515"	""	"515"	""
"245"	"202"	"4"	"14"	"5"	"2"	"338"	"5"	"3"	"1"	"3"	"4"	"379"	""	"379"	""
"246"	"203"	"43"	"81"	"6"	"6"	"299"	"15"	"9"	"5"	"6"	"12"	"482"	""	"482"	""
"247"	"204"	"102"	"177"	"25"	"7"	"123"	"3"	"7"	"2"	"3"	"2"	"451"	""	"451"	""
"248"	"205"	"103"	"96"	"9"	"1"	"217"	"6"	"9"	"4"	"3"	"1"	"449"	""	"449"	""
"249"	"206"	"235"	"67"	"4"	"0"	"11"	"4"	"3"	"1"	"2"	"7"	"334"	""	"334"	""
"250"	"207"	"149"	"195"	"16"	"6"	"147"	"5"	"55"	"12"	"9"	"10"	"604"	""	"604"	""
"251"	"208"	"3"	"72"	"0"	"1"	"514"	"3"	"6"	"0"	"0"	"1"	"600"	""	"600"	""
"252"	"209"	"51"	"111"	"11"	"9"	"214"	"10"	"52"	"2"	"7"	"5"	"472"	""	"472"	""
"253"	"210"	"15"	"137"	"13"	"9"	"221"	"11"	"14"	"8"	"3"	"6"	"437"	""	"437"	""
"254"	"Grand
Total"	"818"	"1656"	"141"	"63"	"3756"	"107"	"239"	"46"	"48"	"81"	"6955"	"0"	"6955"	"0"
"255"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"256"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"257"	"211"	"30"	"69"	"17"	"7"	"310"	"9"	"25"	"4"	"1"	"1"	"473"	""	"473"	""
"258"	"212"	"13"	"117"	"5"	"8"	"153"	"18"	"10"	"4"	"7"	"16"	"351"	""	"351"	""
"259"	"213"	"13"	"41"	"3"	"2"	"380"	"0"	"8"	"1"	"1"	"2"	"451"	""	"451"	""
"260"	"214"	"14"	"146"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"170"	""	"170"	""
"261"	"215"	"6"	"96"	"13"	"4"	"313"	"6"	"11"	"4"	"4"	"4"	"461"	""	"461"	""
"262"	"216"	"8"	"71"	"13"	"11"	"271"	"0"	"3"	"0"	"3"	"7"	"387"	""	"387"	""
"263"	"217"	"4"	"67"	"1"	"3"	"439"	"2"	"0"	"0"	"0"	"1"	"517"	""	"517"	""
"264"	"218"	"17"	"185"	"12"	"12"	"251"	"2"	"3"	"5"	"1"	"3"	"491"	""	"491"	""
"265"	"219"	"12"	"147"	"7"	"0"	"175"	"1"	"1"	"1"	"1"	"3"	"348"	""	"348"	""
"266"	"Grand
Total"	"117"	"939"	"75"	"48"	"2293"	"38"	"62"	"19"	"18"	"40"	"3649"	"0"	"3649"	"0"
