"Total.No..of.Electors.in.Assembly.Constituency.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"198"	"176"	"176"	"21"	"7"	"76"	"16"	"14"	"146"	"10"	"8"	"21"	"35"	"354"	"-"	"354"	""
"199"	"177"	"177"	"35"	"7"	"199"	"19"	"17"	"182"	"18"	"8"	"16"	"44"	"545"	"-"	"545"	""
"200"	"178"	"178"	"40"	"7"	"271"	"20"	"17"	"179"	"19"	"17"	"8"	"37"	"615"	"-"	"615"	""
"201"	"179"	"179"	"10"	"1"	"6"	"4"	"14"	"182"	"51"	"8"	"7"	"14"	"297"	"-"	"297"	""
"202"	"180"	"180"	"5"	"1"	"14"	"3"	"0"	"307"	"2"	"1"	"8"	"6"	"347"	"-"	"347"	""
"203"	"181"	"181"	"3"	"2"	"38"	"8"	"6"	"304"	"5"	"28"	"2"	"6"	"402"	"-"	"402"	""
"204"	"182"	"182"	"31"	"5"	"10"	"2"	"10"	"404"	"15"	"10"	"3"	"30"	"520"	"-"	"520"	""
"205"	"183"	"183"	"20"	"6"	"200"	"17"	"42"	"249"	"36"	"11"	"11"	"48"	"640"	"-"	"640"	""
"206"	"184"	"184"	"36"	"7"	"27"	"13"	"27"	"299"	"75"	"24"	"21"	"64"	"593"	"-"	"593"	""
"207"	"185"	"185"	"12"	"1"	"12"	"2"	"1"	"659"	"7"	"3"	"1"	"3"	"701"	"-"	"701"	""
"208"	"186"	"186"	"13"	"5"	"32"	"2"	"1"	"334"	"2"	"0"	"1"	"1"	"391"	"-"	"391"	""
"209"	"187"	"187"	"13"	"7"	"55"	"2"	"5"	"291"	"17"	"3"	"2"	"5"	"400"	"-"	"400"	""
"210"	"188"	"188"	"20"	"3"	"61"	"6"	"5"	"213"	"15"	"3"	"3"	"21"	"350"	"-"	"350"	""
"211"	"189"	"189"	"1"	"0"	"1"	"0"	"1"	"813"	"4"	"14"	"1"	"1"	"836"	"-"	"836"	""
"212"	"190"	"190"	"0"	"0"	"1"	"0"	"3"	"844"	"2"	"1"	"0"	"0"	"851"	"-"	"851"	""
"213"	"191"	"191"	"19"	"0"	"35"	"3"	"4"	"203"	"8"	"7"	"3"	"8"	"290"	"-"	"290"	""
"214"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"215"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"216"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"217"	"192"	"192"	"0"	"0"	"2"	"0"	"1"	"792"	"3"	"0"	"0"	"3"	"801"	"-"	"801"	""
"218"	"193"	"193"	"1"	"0"	"0"	"2"	"1"	"871"	"1"	"0"	"0"	"2"	"878"	"-"	"878"	""
"219"	"194"	"194"	"1"	"0"	"0"	"1"	"0"	"718"	"3"	"2"	"1"	"5"	"731"	"-"	"731"	""
"220"	"195"	"195"	"5"	"7"	"161"	"6"	"4"	"380"	"52"	"3"	"2"	"7"	"627"	"-"	"627"	""
"221"	"196"	"196"	"8"	"11"	"176"	"10"	"4"	"341"	"16"	"3"	"1"	"4"	"574"	"-"	"574"	""
"222"	"197"	"197"	"12"	"4"	"357"	"18"	"13"	"248"	"14"	"5"	"6"	"23"	"700"	"-"	"700"	""
"223"	"198"	"198"	"11"	"13"	"128"	"9"	"4"	"72"	"10"	"7"	"7"	"12"	"273"	"-"	"273"	""
"224"	"199"	"199"	"1"	"0"	"0"	"0"	"1"	"615"	"2"	"1"	"0"	"1"	"621"	"-"	"621"	""
"225"	"200"	"200"	"0"	"2"	"29"	"1"	"1"	"625"	"3"	"0"	"0"	"0"	"661"	"-"	"661"	""
"226"	"201"	"201"	"4"	"0"	"3"	"1"	"2"	"778"	"19"	"1"	"0"	"2"	"810"	"-"	"810"	""
"227"	"202"	"202"	"3"	"1"	"7"	"2"	"7"	"523"	"7"	"2"	"0"	"3"	"555"	"-"	"555"	""
"228"	"203"	"203"	"25"	"8"	"39"	"7"	"8"	"49"	"97"	"7"	"5"	"9"	"254"	"-"	"254"	""
"229"	"204"	"204"	"90"	"3"	"19"	"5"	"5"	"160"	"84"	"19"	"6"	"22"	"413"	"-"	"413"	""
"230"	"Total No. of votes recording at polling Stations"	""	"8850"	"1401"	"44770"	"1684"	"1136"	"35684"	"3776"	"1305"	"1293"	"2691"	"102590"	"-"	"102590"	""
"231"	"No. of votes recorded  on postal ballot papers (To be election from    an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	""	""	""
"232"	"Total Votes polled"	""	"8850"	"1401"	"44770"	"1684"	"1136"	"35684"	"3776"	"1305"	"1293"	"2691"	"102590"	"-"	"102590"	""
"233"	"Place :   DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Date  :   27.02.2005                                                                                                                                                                87 - Baheri"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
