"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"169"	"Page Total"	"1594"	"9142"	"364"	"961"	"21758"	"1118"	"16614"	"1095"	"785"	"1619"	"1243"	"1407"	"1856"	"59556"	"0"	"59556"	"0"
"170"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"172"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"173"	"B.F."	"1594"	"9142"	"364"	"961"	"21758"	"1118"	"16614"	"1095"	"785"	"1619"	"1243"	"1407"	"1856"	"59556"	"0"	"59556"	"0"
"174"	"127"	"0"	"64"	"1"	"3"	"132"	"5"	"37"	"2"	"3"	"10"	"3"	"4"	"0"	"264"	""	"264"	""
"175"	"128"	"13"	"46"	"0"	"8"	"331"	"12"	"140"	"3"	"12"	"4"	"8"	"4"	"9"	"590"	""	"590"	""
"176"	"129"	"8"	"22"	"4"	"3"	"50"	"18"	"144"	"14"	"13"	"12"	"25"	"14"	"14"	"341"	""	"341"	""
"177"	"130"	"20"	"3"	"3"	"15"	"187"	"6"	"79"	"3"	"8"	"11"	"12"	"14"	"29"	"390"	""	"390"	""
"178"	"131"	"30"	"3"	"5"	"9"	"212"	"12"	"108"	"5"	"5"	"1"	"7"	"8"	"9"	"414"	""	"414"	""
"179"	"132"	"11"	"8"	"2"	"4"	"199"	"11"	"132"	"4"	"2"	"8"	"7"	"3"	"18"	"409"	""	"409"	""
"180"	"133"	"11"	"24"	"10"	"11"	"194"	"16"	"136"	"22"	"16"	"15"	"14"	"22"	"52"	"543"	""	"543"	""
"181"	"134"	"0"	"2"	"0"	"0"	"13"	"4"	"176"	"3"	"1"	"1"	"2"	"2"	"6"	"210"	""	"210"	""
"182"	"135"	"24"	"17"	"10"	"9"	"197"	"10"	"151"	"5"	"10"	"5"	"8"	"6"	"11"	"463"	""	"463"	""
"183"	"136"	"0"	"12"	"3"	"2"	"51"	"0"	"68"	"3"	"0"	"0"	"3"	"1"	"3"	"146"	""	"146"	""
"184"	"137"	"3"	"19"	"2"	"0"	"56"	"7"	"138"	"4"	"1"	"1"	"3"	"1"	"5"	"240"	""	"240"	""
"185"	"138"	"13"	"15"	"4"	"6"	"156"	"13"	"110"	"13"	"7"	"12"	"12"	"15"	"37"	"413"	""	"413"	""
"186"	"139"	"6"	"38"	"0"	"2"	"60"	"2"	"63"	"1"	"6"	"7"	"5"	"12"	"29"	"231"	""	"231"	""
"187"	"140"	"15"	"32"	"1"	"11"	"285"	"12"	"92"	"13"	"17"	"19"	"5"	"13"	"15"	"530"	""	"530"	""
"188"	"Page Total"	"1748"	"9447"	"409"	"1044"	"23881"	"1246"	"18188"	"1190"	"886"	"1725"	"1357"	"1526"	"2093"	"64740"	"0"	"64740"	"0"
"189"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"191"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"192"	"B.F."	"1748"	"9447"	"409"	"1044"	"23881"	"1246"	"18188"	"1190"	"886"	"1725"	"1357"	"1526"	"2093"	"64740"	"0"	"64740"	"0"
"193"	"141"	"7"	"32"	"2"	"9"	"90"	"10"	"79"	"15"	"5"	"14"	"9"	"5"	"13"	"290"	""	"290"	""
"194"	"142"	"18"	"347"	"8"	"6"	"138"	"5"	"148"	"11"	"6"	"39"	"16"	"22"	"17"	"781"	""	"781"	""
"195"	"143"	"24"	"25"	"4"	"12"	"208"	"18"	"179"	"15"	"13"	"19"	"24"	"23"	"24"	"588"	""	"588"	""
"196"	"144"	"12"	"53"	"4"	"18"	"211"	"23"	"184"	"10"	"11"	"22"	"20"	"13"	"10"	"591"	""	"591"	""
"197"	"145"	"2"	"47"	"1"	"2"	"89"	"7"	"225"	"11"	"5"	"9"	"20"	"16"	"28"	"462"	""	"462"	""
"198"	"146"	"3"	"79"	"2"	"7"	"86"	"3"	"75"	"6"	"4"	"22"	"3"	"6"	"17"	"313"	""	"313"	""
"199"	"147"	"7"	"11"	"1"	"2"	"215"	"12"	"70"	"7"	"12"	"5"	"11"	"3"	"10"	"366"	""	"366"	""
"200"	"148"	"8"	"6"	"2"	"9"	"160"	"13"	"122"	"6"	"2"	"4"	"5"	"10"	"18"	"365"	""	"365"	""
"201"	"149"	"14"	"9"	"1"	"14"	"77"	"12"	"155"	"11"	"7"	"18"	"14"	"10"	"19"	"361"	""	"361"	""
"202"	"150"	"12"	"80"	"7"	"5"	"43"	"12"	"139"	"177"	"23"	"34"	"23"	"20"	"16"	"591"	""	"591"	""
"203"	"151"	"7"	"56"	"1"	"11"	"134"	"12"	"113"	"7"	"18"	"13"	"24"	"15"	"19"	"430"	""	"430"	""
"204"	"152"	"22"	"80"	"5"	"4"	"163"	"16"	"207"	"80"	"24"	"21"	"35"	"12"	"14"	"683"	""	"683"	""
"205"	"153"	"4"	"36"	"1"	"2"	"130"	"4"	"70"	"2"	"2"	"8"	"4"	"1"	"4"	"268"	""	"268"	""
"206"	"154"	"10"	"77"	"1"	"5"	"139"	"7"	"116"	"9"	"5"	"11"	"10"	"6"	"7"	"403"	""	"403"	""
"207"	"Page Total"	"1898"	"10385"	"449"	"1150"	"25764"	"1400"	"20070"	"1557"	"1023"	"1964"	"1575"	"1688"	"2309"	"71232"	"0"	"71232"	"0"
"208"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"210"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"211"	"B.F."	"1898"	"10385"	"449"	"1150"	"25764"	"1400"	"20070"	"1557"	"1023"	"1964"	"1575"	"1688"	"2309"	"71232"	"0"	"71232"	"0"
"212"	"155"	"6"	"1"	"2"	"4"	"86"	"2"	"137"	"5"	"2"	"3"	"3"	"5"	"7"	"263"	""	"263"	""
"213"	"156"	"11"	"6"	"3"	"4"	"95"	"7"	"107"	"12"	"3"	"3"	"9"	"3"	"6"	"269"	""	"269"	""
"214"	"157"	"26"	"139"	"3"	"13"	"107"	"26"	"279"	"22"	"11"	"27"	"25"	"17"	"19"	"714"	""	"714"	""
"215"	"158"	"9"	"67"	"6"	"3"	"213"	"18"	"243"	"17"	"16"	"24"	"21"	"14"	"29"	"680"	""	"680"	""
"216"	"159"	"9"	"66"	"5"	"7"	"194"	"8"	"162"	"13"	"6"	"17"	"7"	"12"	"27"	"533"	""	"533"	""
"217"	"160"	"7"	"73"	"4"	"2"	"52"	"1"	"103"	"1"	"2"	"17"	"17"	"3"	"5"	"287"	""	"287"	""
"218"	"161"	"30"	"54"	"2"	"14"	"420"	"10"	"145"	"10"	"25"	"11"	"13"	"6"	"3"	"743"	""	"743"	""
"219"	"162"	"8"	"12"	"3"	"1"	"45"	"4"	"183"	"10"	"8"	"10"	"11"	"5"	"24"	"324"	""	"324"	""
"220"	"163"	"3"	"109"	"0"	"7"	"263"	"4"	"42"	"4"	"5"	"9"	"1"	"0"	"4"	"451"	""	"451"	""
"221"	"164"	"8"	"34"	"2"	"1"	"324"	"5"	"48"	"5"	"10"	"0"	"4"	"1"	"3"	"445"	""	"445"	""
"222"	"165"	"0"	"4"	"0"	"2"	"415"	"3"	"45"	"1"	"0"	"0"	"1"	"0"	"1"	"472"	""	"472"	""
"223"	"166"	"13"	"90"	"5"	"7"	"120"	"12"	"248"	"17"	"13"	"14"	"13"	"5"	"31"	"588"	""	"588"	""
"224"	"167"	"6"	"55"	"2"	"7"	"97"	"12"	"165"	"13"	"6"	"9"	"6"	"2"	"14"	"394"	""	"394"	""
"225"	"168"	"20"	"26"	"3"	"7"	"282"	"11"	"154"	"9"	"9"	"15"	"18"	"11"	"21"	"586"	""	"586"	""
"226"	"Page Total"	"2054"	"11121"	"489"	"1229"	"28477"	"1523"	"22131"	"1696"	"1139"	"2123"	"1724"	"1772"	"2503"	"77981"	"0"	"77981"	"0"
"227"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"229"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"230"	"B.F."	"2054"	"11121"	"489"	"1229"	"28477"	"1523"	"22131"	"1696"	"1139"	"2123"	"1724"	"1772"	"2503"	"77981"	"0"	"77981"	"0"
"231"	"169"	"28"	"40"	"5"	"7"	"137"	"11"	"166"	"9"	"140"	"10"	"19"	"10"	"8"	"590"	""	"590"	""
"232"	"170"	"9"	"11"	"1"	"2"	"93"	"7"	"306"	"12"	"7"	"9"	"16"	"5"	"25"	"503"	""	"503"	""
"233"	"171"	"8"	"21"	"3"	"9"	"97"	"14"	"442"	"23"	"14"	"28"	"20"	"15"	"20"	"714"	""	"714"	""
"234"	"172"	"3"	"37"	"0"	"0"	"73"	"5"	"219"	"5"	"4"	"8"	"3"	"1"	"9"	"367"	""	"367"	""
"235"	"173"	"12"	"65"	"0"	"7"	"158"	"7"	"364"	"6"	"12"	"8"	"8"	"6"	"3"	"656"	""	"656"	""
"236"	"174"	"6"	"57"	"2"	"6"	"138"	"13"	"248"	"21"	"15"	"11"	"18"	"11"	"11"	"557"	""	"557"	""
"237"	"175"	"12"	"77"	"2"	"9"	"59"	"13"	"271"	"8"	"4"	"26"	"4"	"8"	"7"	"500"	""	"500"	""
"238"	"176"	"5"	"68"	"3"	"4"	"264"	"12"	"76"	"17"	"12"	"10"	"7"	"6"	"9"	"493"	""	"493"	""
"239"	"177"	"16"	"47"	"3"	"9"	"351"	"14"	"103"	"6"	"9"	"7"	"13"	"10"	"18"	"606"	""	"606"	""
"240"	"178"	"11"	"31"	"1"	"5"	"303"	"6"	"97"	"5"	"4"	"0"	"10"	"6"	"14"	"493"	""	"493"	""
"241"	"179"	"0"	"15"	"0"	"3"	"433"	"1"	"52"	"0"	"5"	"0"	"1"	"1"	"1"	"512"	""	"512"	""
"242"	"180"	"2"	"51"	"3"	"5"	"163"	"4"	"71"	"0"	"3"	"0"	"2"	"2"	"0"	"306"	""	"306"	""
"243"	"181"	"15"	"39"	"3"	"5"	"209"	"7"	"185"	"12"	"10"	"17"	"17"	"7"	"6"	"532"	""	"532"	""
"244"	"182"	"2"	"51"	"0"	"0"	"155"	"3"	"299"	"6"	"1"	"3"	"3"	"1"	"0"	"524"	""	"524"	""
"245"	"Page Total"	"2183"	"11731"	"515"	"1300"	"31110"	"1640"	"25030"	"1826"	"1379"	"2260"	"1865"	"1861"	"2634"	"85334"	"0"	"85334"	"0"
"246"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"248"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"249"	"B.F."	"2183"	"11731"	"515"	"1300"	"31110"	"1640"	"25030"	"1826"	"1379"	"2260"	"1865"	"1861"	"2634"	"85334"	"0"	"85334"	"0"
"250"	"183"	"4"	"46"	"2"	"6"	"287"	"5"	"62"	"1"	"3"	"5"	"4"	"1"	"9"	"435"	""	"435"	""
"251"	"Page Total"	"2187"	"11777"	"517"	"1306"	"31397"	"1645"	"25092"	"1827"	"1382"	"2265"	"1869"	"1862"	"2643"	"85769"	"0"	"85769"	"0"
"252"	"Total No of votes recorded at Polling Stations"	"2187"	"11777"	"517"	"1306"	"31397"	"1645"	"25092"	"1827"	"1382"	"2265"	"1869"	"1862"	"2643"	"85769"	"0"	"85769"	"0"
"253"	"No. of Votes recorded on Postal ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"254"	"Total Votes Polled"	"2187"	"11777"	"517"	"1306"	"31397"	"1645"	"25092"	"1827"	"1382"	"2265"	"1869"	"1862"	"2643"	"85769"	"0"	"85769"	"0"
"255"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                                                                           Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Date:- 27th Feb 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
