"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"104"	"74"	"0"	""	""	"1"	""	""	"730"	""	"3"	""	""	"4"	""	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"741"	""	""	"0"	""	""	"741"	""	""	""	""	""	""	""	""
"105"	"75"	"1"	""	""	"1"	""	""	"384"	""	"3"	""	""	"14"	""	""	"0"	""	""	"0"	""	"105"	""	"0"	""	"0"	""	""	"508"	""	""	"0"	""	""	"508"	""	""	""	""	""	""	""	""
"106"	"76"	"7"	""	""	"7"	""	""	"106"	""	"15"	""	""	"185"	""	""	"3"	""	""	"6"	""	"10"	""	"1"	""	"4"	""	""	"344"	""	""	"0"	""	""	"344"	""	""	""	""	""	""	""	""
"107"	"77"	"1"	""	""	"1"	""	""	"193"	""	"19"	""	""	"23"	""	""	"0"	""	""	"1"	""	"3"	""	"0"	""	"5"	""	""	"246"	""	""	"0"	""	""	"246"	""	""	""	""	""	""	""	""
"108"	"78"	"17"	""	""	"2"	""	""	"137"	""	"11"	""	""	"61"	""	""	"2"	""	""	"3"	""	"1"	""	"1"	""	"6"	""	""	"241"	""	""	"0"	""	""	"241"	""	""	""	""	""	""	""	""
"109"	"79"	"5"	""	""	"0"	""	""	"22"	""	"6"	""	""	"248"	""	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"1"	""	""	"285"	""	""	"0"	""	""	"285"	""	""	""	""	""	""	""	""
"110"	"80"	"41"	""	""	"8"	""	""	"119"	""	"11"	""	""	"120"	""	""	"9"	""	""	"4"	""	"0"	""	"2"	""	"2"	""	""	"316"	""	""	"0"	""	""	"316"	""	""	""	""	""	""	""	""
"111"	"81"	"10"	""	""	"5"	""	""	"132"	""	"4"	""	""	"62"	""	""	"2"	""	""	"2"	""	"8"	""	"3"	""	"8"	""	""	"236"	""	""	"0"	""	""	"236"	""	""	""	""	""	""	""	""
"112"	"82"	"30"	""	""	"6"	""	""	"61"	""	"28"	""	""	"149"	""	""	"4"	""	""	"5"	""	"8"	""	"5"	""	"16"	""	""	"312"	""	""	"0"	""	""	"312"	""	""	""	""	""	""	""	""
"113"	"83"	"0"	""	""	"0"	""	""	"107"	""	"6"	""	""	"231"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"345"	""	""	"0"	""	""	"345"	""	""	""	""	""	""	""	""
"114"	"84"	"20"	""	""	"4"	""	""	"180"	""	"8"	""	""	"209"	""	""	"15"	""	""	"2"	""	"4"	""	"1"	""	"3"	""	""	"446"	""	""	"0"	""	""	"446"	""	""	""	""	""	""	""	""
"115"	"Total"	"142"	""	""	"61"	""	""	"3333"	""	"141"	""	""	"1587"	""	""	"45"	""	""	"23"	""	"177"	""	"16"	""	"54"	""	""	"5579"	""	""	"0"	""	""	"5579"	""	""	""	""	""	""	""	""
"116"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"117"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"119"	"85"	"0"	""	""	"0"	""	""	"476"	""	"2"	""	""	"10"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"488"	""	""	"0"	""	""	"488"	""	""	""	""	""	""	""	""
"120"	"86"	"10"	""	""	"8"	""	""	"223"	""	"20"	""	""	"117"	""	""	"2"	""	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"382"	""	""	"0"	""	""	"382"	""	""	""	""	""	""	""	""
"121"	"87"	"1"	""	""	"0"	""	""	"418"	""	"3"	""	""	"60"	""	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"485"	""	""	"0"	""	""	"485"	""	""	""	""	""	""	""	""
"122"	"88"	"0"	""	""	"2"	""	""	"511"	""	"3"	""	""	"26"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"543"	""	""	"0"	""	""	"543"	""	""	""	""	""	""	""	""
"123"	"89"	"5"	""	""	"1"	""	""	"17"	""	"46"	""	""	"152"	""	""	"4"	""	""	"3"	""	"7"	""	"4"	""	"5"	""	""	"244"	""	""	"0"	""	""	"244"	""	""	""	""	""	""	""	""
"124"	"90"	"5"	""	""	"9"	""	""	"192"	""	"13"	""	""	"115"	""	""	"8"	""	""	"13"	""	"5"	""	"7"	""	"14"	""	""	"381"	""	""	"0"	""	""	"381"	""	""	""	""	""	""	""	""
"125"	"91"	"1"	""	""	"1"	""	""	"36"	""	"1"	""	""	"32"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"71"	""	""	"0"	""	""	"71"	""	""	""	""	""	""	""	""
"126"	"92"	"10"	""	""	"4"	""	""	"144"	""	"7"	""	""	"116"	""	""	"8"	""	""	"4"	""	"2"	""	"2"	""	"10"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	""	""	""	""	""	""
"127"	"93"	"9"	""	""	"8"	""	""	"69"	""	"10"	""	""	"268"	""	""	"1"	""	""	"4"	""	"2"	""	"1"	""	"3"	""	""	"375"	""	""	"0"	""	""	"375"	""	""	""	""	""	""	""	""
"128"	"94"	"0"	""	""	"1"	""	""	"618"	""	"1"	""	""	"5"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"625"	""	""	"0"	""	""	"625"	""	""	""	""	""	""	""	""
"129"	"95"	"17"	""	""	"11"	""	""	"155"	""	"14"	""	""	"266"	""	""	"10"	""	""	"8"	""	"1"	""	"0"	""	"8"	""	""	"490"	""	""	"0"	""	""	"490"	""	""	""	""	""	""	""	""
"130"	"96"	"1"	""	""	"3"	""	""	"325"	""	"5"	""	""	"17"	""	""	"1"	""	""	"0"	""	"0"	""	"2"	""	"2"	""	""	"356"	""	""	"0"	""	""	"356"	""	""	""	""	""	""	""	""
"131"	"97"	"23"	""	""	"8"	""	""	"226"	""	"14"	""	""	"109"	""	""	"12"	""	""	"5"	""	"7"	""	"6"	""	"10"	""	""	"420"	""	""	"0"	""	""	"420"	""	""	""	""	""	""	""	""
"132"	"98"	"9"	""	""	"7"	""	""	"134"	""	"9"	""	""	"101"	""	""	"11"	""	""	"4"	""	"18"	""	"3"	""	"8"	""	""	"304"	""	""	"0"	""	""	"304"	""	""	""	""	""	""	""	""
"133"	"Total"	"91"	""	""	"63"	""	""	"3544"	""	"148"	""	""	"1394"	""	""	"59"	""	""	"43"	""	"43"	""	"25"	""	"61"	""	""	"5471"	""	""	"0"	""	""	"5471"	""	""	""	""	""	""	""	""
"134"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"135"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"137"	"99"	"0"	""	""	"1"	""	""	"141"	""	"2"	""	""	"87"	""	""	"2"	""	""	"0"	""	"46"	""	"1"	""	"0"	""	""	"280"	""	""	"0"	""	""	"280"	""	""	""	""	""	""	""	""
"138"	"100"	"1"	""	""	"0"	""	""	"501"	""	"2"	""	""	"17"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"521"	""	""	"0"	""	""	"521"	""	""	""	""	""	""	""	""
"139"	"101"	"0"	""	""	"1"	""	""	"311"	""	"1"	""	""	"8"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"321"	""	""	"0"	""	""	"321"	""	""	""	""	""	""	""	""
"140"	"102"	"77"	""	""	"0"	""	""	"82"	""	"76"	""	""	"394"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""	""	""	""
"141"	"103"	"0"	""	""	"0"	""	""	"62"	""	"179"	""	""	"155"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"396"	""	""	"0"	""	""	"396"	""	""	""	""	""	""	""	""
"142"	"104"	"1"	""	""	"1"	""	""	"11"	""	"12"	""	""	"458"	""	""	"3"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"488"	""	""	"0"	""	""	"488"	""	""	""	""	""	""	""	""
"143"	"105"	"2"	""	""	"0"	""	""	"4"	""	"2"	""	""	"433"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"442"	""	""	"0"	""	""	"442"	""	""	""	""	""	""	""	""
"144"	"106"	"7"	""	""	"4"	""	""	"69"	""	"6"	""	""	"114"	""	""	"6"	""	""	"11"	""	"4"	""	"4"	""	"6"	""	""	"231"	""	""	"0"	""	""	"231"	""	""	""	""	""	""	""	""
"145"	"107"	"311"	""	""	"0"	""	""	"131"	""	"15"	""	""	"96"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"554"	""	""	"0"	""	""	"554"	""	""	""	""	""	""	""	""
"146"	"108"	"496"	""	""	"3"	""	""	"7"	""	"17"	""	""	"148"	""	""	"1"	""	""	"3"	""	"0"	""	"2"	""	"0"	""	""	"677"	""	""	"0"	""	""	"677"	""	""	""	""	""	""	""	""
"147"	"109"	"1"	""	""	"1"	""	""	"398"	""	"2"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"402"	""	""	"0"	""	""	"402"	""	""	""	""	""	""	""	""
"148"	"110"	"13"	""	""	"12"	""	""	"108"	""	"108"	""	""	"17"	""	""	"6"	""	""	"2"	""	"11"	""	"4"	""	"9"	""	""	"290"	""	""	"0"	""	""	"290"	""	""	""	""	""	""	""	""
"149"	"111"	"0"	""	""	"3"	""	""	"268"	""	"8"	""	""	"4"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"283"	""	""	"0"	""	""	"283"	""	""	""	""	""	""	""	""
"150"	"112"	"3"	""	""	"6"	""	""	"458"	""	"15"	""	""	"21"	""	""	"3"	""	""	"1"	""	"1"	""	"2"	""	"0"	""	""	"510"	""	""	"0"	""	""	"510"	""	""	""	""	""	""	""	""
"151"	"Total"	"912"	""	""	"32"	""	""	"2551"	""	"445"	""	""	"1952"	""	""	"21"	""	""	"20"	""	"62"	""	"14"	""	"16"	""	""	"6025"	""	""	"0"	""	""	"6025"	""	""	""	""	""	""	""	""
"152"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"153"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"155"	"113"	"5"	""	""	"15"	""	""	"85"	""	"20"	""	""	"51"	""	""	"7"	""	""	"3"	""	"9"	""	"6"	""	"16"	""	""	"217"	""	""	"0"	""	""	"217"	""	""	""	""	""	""	""	""
"156"	"114"	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""
"157"	"115"	"0"	""	""	"0"	""	""	"392"	""	"2"	""	""	"15"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"410"	""	""	"0"	""	""	"410"	""	""	""	""	""	""	""	""
"158"	"116"	"17"	""	""	"0"	""	""	"15"	""	"77"	""	""	"91"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"200"	""	""	"0"	""	""	"200"	""	""	""	""	""	""	""	""
"159"	"117"	"0"	""	""	"3"	""	""	"146"	""	"120"	""	""	"101"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	""	""	""	""	""	""
"160"	"118"	"49"	""	""	"1"	""	""	"5"	""	"11"	""	""	"125"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"195"	""	""	"0"	""	""	"195"	""	""	""	""	""	""	""	""
"161"	"119"	"2"	""	""	"3"	""	""	"3"	""	"4"	""	""	"364"	""	""	"3"	""	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"382"	""	""	"0"	""	""	"382"	""	""	""	""	""	""	""	""
"162"	"120"	"111"	""	""	"5"	""	""	"122"	""	"28"	""	""	"49"	""	""	"0"	""	""	"2"	""	"3"	""	"0"	""	"0"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	""	""	""	""	""
"163"	"121"	"14"	""	""	"4"	""	""	"174"	""	"17"	""	""	"55"	""	""	"2"	""	""	"4"	""	"6"	""	"2"	""	"22"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	""	""	""	""	""
"164"	"122"	"0"	""	""	"0"	""	""	"397"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"397"	""	""	"0"	""	""	"397"	""	""	""	""	""	""	""	""
"165"	"123"	"0"	""	""	"0"	""	""	"10"	""	"0"	""	""	"128"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"140"	""	""	"0"	""	""	"140"	""	""	""	""	""	""	""	""
"166"	"124"	"0"	""	""	"0"	""	""	"418"	""	"1"	""	""	"3"	""	""	"0"	""	""	"0"	""	"5"	""	"0"	""	"0"	""	""	"427"	""	""	"0"	""	""	"427"	""	""	""	""	""	""	""	""
"167"	"125"	"2"	""	""	"0"	""	""	"1"	""	"0"	""	""	"617"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"620"	""	""	"0"	""	""	"620"	""	""	""	""	""	""	""	""
"168"	"126"	"5"	""	""	"1"	""	""	"13"	""	"2"	""	""	"392"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"416"	""	""	"0"	""	""	"416"	""	""	""	""	""	""	""	""
"169"	"Total"	"205"	""	""	"32"	""	""	"1781"	""	"282"	""	""	"1991"	""	""	"19"	""	""	"12"	""	"23"	""	"8"	""	"42"	""	""	"4395"	""	""	"0"	""	""	"4395"	""	""	""	""	""	""	""	""
"170"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"171"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"173"	"127"	"0"	""	""	"1"	""	""	"707"	""	"3"	""	""	"11"	""	""	"0"	""	""	"0"	""	"3"	""	"0"	""	"0"	""	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""	""
"174"	"128"	"23"	""	""	"4"	""	""	"183"	""	"36"	""	""	"34"	""	""	"10"	""	""	"3"	""	"9"	""	"5"	""	"10"	""	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""	""	""	""
"175"	"129"	"113"	""	""	"4"	""	""	"71"	""	"37"	""	""	"490"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"715"	""	""	"0"	""	""	"715"	""	""	""	""	""	""	""	""
"176"	"130"	"8"	""	""	"1"	""	""	"4"	""	"1"	""	""	"327"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"343"	""	""	"0"	""	""	"343"	""	""	""	""	""	""	""	""
"177"	"131"	"17"	""	""	"150"	""	""	"198"	""	"24"	""	""	"9"	""	""	"1"	""	""	"0"	""	"3"	""	"3"	""	"4"	""	""	"409"	""	""	"0"	""	""	"409"	""	""	""	""	""	""	""	""
"178"	"132"	"26"	""	""	"70"	""	""	"227"	""	"18"	""	""	"18"	""	""	"2"	""	""	"1"	""	"5"	""	"3"	""	"5"	""	""	"375"	""	""	"0"	""	""	"375"	""	""	""	""	""	""	""	""
"179"	"133"	"92"	""	""	"0"	""	""	"87"	""	"14"	""	""	"41"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"234"	""	""	"0"	""	""	"234"	""	""	""	""	""	""	""	""
"180"	"134"	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""
"181"	"135"	"20"	""	""	"42"	""	""	"37"	""	"8"	""	""	"85"	""	""	"6"	""	""	"1"	""	"0"	""	"2"	""	"6"	""	""	"207"	""	""	"0"	""	""	"207"	""	""	""	""	""	""	""	""
"182"	"136"	"3"	""	""	"13"	""	""	"92"	""	"5"	""	""	"23"	""	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"5"	""	""	"144"	""	""	"0"	""	""	"144"	""	""	""	""	""	""	""	""
"183"	"137"	"14"	""	""	"2"	""	""	"355"	""	"10"	""	""	"11"	""	""	"2"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"395"	""	""	"0"	""	""	"395"	""	""	""	""	""	""	""	""
"184"	"138"	"15"	""	""	"1"	""	""	"102"	""	"8"	""	""	"313"	""	""	"3"	""	""	"1"	""	"3"	""	"0"	""	"1"	""	""	"447"	""	""	"0"	""	""	"447"	""	""	""	""	""	""	""	""
"185"	"139"	"6"	""	""	"5"	""	""	"4"	""	"2"	""	""	"812"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"831"	""	""	"0"	""	""	"831"	""	""	""	""	""	""	""	""
"186"	"140"	"1"	""	""	"0"	""	""	"21"	""	"13"	""	""	"520"	""	""	"1"	""	""	"0"	""	"2"	""	"11"	""	"2"	""	""	"571"	""	""	"0"	""	""	"571"	""	""	""	""	""	""	""	""
"187"	"Total"	"338"	""	""	"293"	""	""	"2088"	""	"179"	""	""	"2694"	""	""	"29"	""	""	"6"	""	"27"	""	"25"	""	"34"	""	""	"5713"	""	""	"0"	""	""	"5713"	""	""	""	""	""	""	""	""
"188"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"189"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"191"	"141"	"4"	""	""	"0"	""	""	"372"	""	"9"	""	""	"74"	""	""	"0"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""	""
"192"	"142"	"3"	""	""	"0"	""	""	"7"	""	"1"	""	""	"369"	""	""	"2"	""	""	"1"	""	"0"	""	"3"	""	"15"	""	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""	""	""	""
"193"	"143"	"9"	""	""	"10"	""	""	"405"	""	"14"	""	""	"46"	""	""	"2"	""	""	"0"	""	"4"	""	"0"	""	"1"	""	""	"491"	""	""	"0"	""	""	"491"	""	""	""	""	""	""	""	""
"194"	"144"	"95"	""	""	"8"	""	""	"120"	""	"10"	""	""	"61"	""	""	"2"	""	""	"2"	""	"0"	""	"2"	""	"7"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	""	""	""	""	""	""
"195"	"145"	"9"	""	""	"3"	""	""	"81"	""	"18"	""	""	"279"	""	""	"7"	""	""	"0"	""	"1"	""	"0"	""	"2"	""	""	"400"	""	""	"0"	""	""	"400"	""	""	""	""	""	""	""	""
"196"	"146"	"11"	""	""	"0"	""	""	"6"	""	"2"	""	""	"461"	""	""	"8"	""	""	"1"	""	"1"	""	"0"	""	"1"	""	""	"491"	""	""	"0"	""	""	"491"	""	""	""	""	""	""	""	""
"197"	"147"	"5"	""	""	"5"	""	""	"17"	""	"53"	""	""	"203"	""	""	"4"	""	""	"2"	""	"2"	""	"0"	""	"1"	""	""	"292"	""	""	"0"	""	""	"292"	""	""	""	""	""	""	""	""
"198"	"148"	"3"	""	""	"5"	""	""	"88"	""	"3"	""	""	"203"	""	""	"2"	""	""	"0"	""	"1"	""	"1"	""	"0"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	""	""	""	""	""
"199"	"149"	"29"	""	""	"0"	""	""	"3"	""	"2"	""	""	"754"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"790"	""	""	"0"	""	""	"790"	""	""	""	""	""	""	""	""
"200"	"150"	"3"	""	""	"0"	""	""	"18"	""	"0"	""	""	"697"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"721"	""	""	"0"	""	""	"721"	""	""	""	""	""	""	""	""
"201"	"151"	"9"	""	""	"11"	""	""	"222"	""	"18"	""	""	"184"	""	""	"8"	""	""	"7"	""	"7"	""	"3"	""	"3"	""	""	"472"	""	""	"0"	""	""	"472"	""	""	""	""	""	""	""	""
"202"	"152"	"2"	""	""	"2"	""	""	"224"	""	"17"	""	""	"96"	""	""	"5"	""	""	"2"	""	"6"	""	"2"	""	"4"	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	""	""	""	""	""
"203"	"153"	"6"	""	""	"0"	""	""	"195"	""	"6"	""	""	"202"	""	""	"4"	""	""	"1"	""	"4"	""	"2"	""	"8"	""	""	"428"	""	""	"0"	""	""	"428"	""	""	""	""	""	""	""	""
"204"	"154"	"3"	""	""	"1"	""	""	"63"	""	"1"	""	""	"149"	""	""	"2"	""	""	"0"	""	"2"	""	"3"	""	"6"	""	""	"230"	""	""	"0"	""	""	"230"	""	""	""	""	""	""	""	""
"205"	"Total"	"191"	""	""	"45"	""	""	"1821"	""	"154"	""	""	"3778"	""	""	"51"	""	""	"16"	""	"30"	""	"16"	""	"48"	""	""	"6150"	""	""	"0"	""	""	"6150"	""	""	""	""	""	""	""	""
"206"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"207"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
