"165"	""	"101"	"297"	"55"	"66"	"2"	"17"	"0"	"2"	"2"	"3"	"5"	"79"	"16"	"-544"	"0"	"-544"	"0"
"166"	""	"102"	"70"	"106"	"177"	"7"	"6"	"6"	"84"	"5"	"6"	"37"	"148"	"21"	"-673"	"0"	"-673"	"0"
"167"	""	"103"	"106"	"154"	"311"	"14"	"11"	"3"	"8"	"2"	"4"	"19"	"20"	"4"	"-656"	"0"	"-656"	"0"
"168"	""	"104"	"124"	"294"	"95"	"6"	"45"	"3"	"44"	"3"	"3"	"67"	"5"	"11"	"-700"	"0"	"-700"	"0"
"169"	""	"105"	"111"	"173"	"217"	"8"	"2"	"3"	"1"	"2"	"4"	"33"	"4"	"8"	"-566"	"0"	"-566"	"0"
"170"	""	"106"	"337"	"65"	"109"	"3"	"17"	"2"	"0"	"3"	"0"	"4"	"2"	"1"	"-543"	"0"	"-543"	"0"
"171"	""	"107"	"162"	"96"	"33"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"18"	"5"	"-322"	"0"	"-322"	"0"
"172"	""	"108"	"28"	"108"	"255"	"3"	"2"	"2"	"4"	"1"	"1"	"36"	"3"	"0"	"-443"	"0"	"-443"	"0"
"173"	""	"109"	"56"	"129"	"112"	"5"	"2"	"3"	"4"	"1"	"1"	"104"	"19"	"9"	"-445"	"0"	"-445"	"0"
"174"	""	"110"	"14"	"103"	"211"	"7"	"4"	"6"	"8"	"1"	"3"	"60"	"6"	"8"	"-431"	"0"	"-431"	"0"
"175"	"TOTAL"	""	"-2094"	"-1520"	"-1944"	"-73"	"-257"	"-38"	"-193"	"-25"	"-32"	"-444"	"-632"	"-108"	"-7360"	"0"	"-7360"	"0"
"176"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"178"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"180"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"181"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"183"	"R
o u n d
9"	"111"	"121"	"93"	"361"	"6"	"4"	"3"	"5"	"1"	"1"	"19"	"3"	"12"	"-629"	"0"	"-629"	"0"
"184"	""	"112"	"14"	"65"	"3"	"3"	"3"	"14"	"32"	"4"	"6"	"16"	"446"	"28"	"-634"	"0"	"-634"	"0"
"185"	""	"113"	"116"	"385"	"241"	"6"	"2"	"5"	"29"	"4"	"0"	"59"	"8"	"5"	"-860"	"0"	"-860"	"0"
"186"	""	"114"	"124"	"355"	"56"	"3"	"3"	"9"	"136"	"8"	"1"	"25"	"8"	"5"	"-733"	"0"	"-733"	"0"
"187"	""	"115"	"53"	"178"	"166"	"7"	"2"	"5"	"189"	"4"	"0"	"20"	"5"	"0"	"-629"	"0"	"-629"	"0"
"188"	""	"116"	"109"	"210"	"106"	"2"	"3"	"14"	"98"	"3"	"4"	"50"	"33"	"9"	"-641"	"0"	"-641"	"0"
"189"	""	"117"	"203"	"137"	"163"	"150"	"1"	"0"	"6"	"5"	"5"	"12"	"1"	"6"	"-689"	"0"	"-689"	"0"
"190"	""	"118"	"195"	"79"	"201"	"6"	"4"	"5"	"4"	"5"	"6"	"20"	"29"	"9"	"-563"	"0"	"-563"	"0"
"191"	""	"119"	"148"	"49"	"68"	"0"	"4"	"4"	"144"	"2"	"1"	"5"	"4"	"1"	"-430"	"0"	"-430"	"0"
"192"	""	"120"	"179"	"177"	"144"	"4"	"34"	"20"	"82"	"1"	"0"	"7"	"1"	"1"	"-650"	"0"	"-650"	"0"
"193"	""	"121"	"166"	"250"	"176"	"8"	"8"	"9"	"71"	"3"	"2"	"5"	"5"	"5"	"-708"	"0"	"-708"	"0"
"194"	""	"122"	"33"	"342"	"76"	"7"	"1"	"2"	"4"	"1"	"0"	"18"	"2"	"1"	"-487"	"0"	"-487"	"0"
"195"	""	"123"	"183"	"102"	"116"	"3"	"24"	"6"	"9"	"5"	"2"	"6"	"64"	"19"	"-539"	"0"	"-539"	"0"
"196"	""	"124"	"47"	"196"	"94"	"2"	"0"	"2"	"18"	"0"	"3"	"18"	"238"	"5"	"-623"	"0"	"-623"	"0"
"197"	"TOTAL"	""	"-1691"	"-2618"	"-1971"	"-207"	"-93"	"-98"	"-827"	"-46"	"-31"	"-280"	"-847"	"-106"	"-8815"	"0"	"-8815"	"0"
"198"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"199"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"200"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"202"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"203"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"204"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"205"	"R
o u n d
1
0"	"125"	"135"	"111"	"63"	"4"	"16"	"4"	"7"	"1"	"0"	"30"	"3"	"1"	"-375"	"0"	"-375"	"0"
"206"	""	"126"	"134"	"155"	"77"	"6"	"40"	"5"	"19"	"1"	"0"	"4"	"5"	"3"	"-449"	"0"	"-449"	"0"
"207"	""	"127"	"31"	"119"	"112"	"3"	"42"	"1"	"59"	"4"	"4"	"43"	"76"	"3"	"-497"	"0"	"-497"	"0"
"208"	""	"128"	"0"	"487"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"-492"	"0"	"-492"	"0"
"209"	""	"129"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"210"	""	"130"	"111"	"198"	"161"	"2"	"4"	"4"	"15"	"0"	"1"	"10"	"2"	"0"	"-508"	"0"	"-508"	"0"
"211"	""	"131"	"38"	"229"	"31"	"10"	"184"	"4"	"69"	"1"	"0"	"1"	"6"	"2"	"-575"	"0"	"-575"	"0"
"212"	""	"132"	"8"	"100"	"72"	"4"	"257"	"6"	"101"	"0"	"1"	"2"	"1"	"3"	"-555"	"0"	"-555"	"0"
"213"	""	"133"	"203"	"97"	"30"	"4"	"33"	"5"	"13"	"1"	"1"	"3"	"1"	"5"	"-396"	"0"	"-396"	"0"
"214"	""	"134"	"99"	"299"	"6"	"1"	"23"	"2"	"106"	"0"	"1"	"2"	"1"	"1"	"-541"	"0"	"-541"	"0"
"215"	""	"135"	"23"	"12"	"220"	"4"	"9"	"0"	"110"	"1"	"1"	"2"	"0"	"0"	"-382"	"0"	"-382"	"0"
"216"	""	"136"	"53"	"199"	"107"	"23"	"16"	"4"	"25"	"1"	"1"	"38"	"260"	"12"	"-739"	"0"	"-739"	"0"
"217"	""	"137"	"30"	"158"	"88"	"1"	"83"	"1"	"65"	"1"	"2"	"8"	"4"	"8"	"-449"	"0"	"-449"	"0"
"218"	""	"138"	"102"	"71"	"111"	"0"	"27"	"5"	"30"	"1"	"2"	"8"	"230"	"20"	"-607"	"0"	"-607"	"0"
"219"	"TOTAL"	""	"-967"	"-2235"	"-1078"	"-62"	"-734"	"-41"	"-619"	"-12"	"-14"	"-151"	"-594"	"-58"	"-6565"	"0"	"-6565"	"0"
"220"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"221"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"222"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"224"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"225"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"226"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"227"	"R
o u n d
1
1"	"139"	"39"	"142"	"211"	"4"	"188"	"45"	"23"	"0"	"2"	"4"	"18"	"3"	"-679"	"0"	"-679"	"0"
"228"	""	"140"	"93"	"201"	"121"	"6"	"10"	"9"	"225"	"14"	"7"	"20"	"28"	"16"	"-750"	"0"	"-750"	"0"
"229"	""	"141"	"312"	"26"	"66"	"14"	"50"	"36"	"2"	"4"	"1"	"7"	"4"	"4"	"-526"	"0"	"-526"	"0"
"230"	""	"142"	"19"	"371"	"4"	"4"	"2"	"7"	"189"	"3"	"0"	"12"	"57"	"7"	"-675"	"0"	"-675"	"0"
"231"	""	"143"	"47"	"179"	"70"	"4"	"15"	"16"	"389"	"10"	"1"	"38"	"46"	"3"	"-818"	"0"	"-818"	"0"
"232"	""	"144"	"95"	"157"	"12"	"0"	"2"	"6"	"172"	"13"	"1"	"0"	"34"	"4"	"-496"	"0"	"-496"	"0"
"233"	""	"145"	"53"	"29"	"63"	"3"	"7"	"10"	"198"	"4"	"2"	"12"	"108"	"23"	"-512"	"0"	"-512"	"0"
"234"	""	"146"	"319"	"97"	"16"	"3"	"12"	"3"	"13"	"1"	"0"	"1"	"18"	"3"	"-486"	"0"	"-486"	"0"
"235"	""	"147"	"43"	"86"	"142"	"0"	"1"	"0"	"2"	"0"	"1"	"3"	"270"	"11"	"-559"	"0"	"-559"	"0"
"236"	""	"148"	"45"	"38"	"78"	"4"	"14"	"64"	"27"	"3"	"4"	"5"	"207"	"18"	"-507"	"0"	"-507"	"0"
"237"	""	"149"	"215"	"139"	"74"	"4"	"1"	"4"	"18"	"1"	"0"	"2"	"3"	"5"	"-466"	"0"	"-466"	"0"
"238"	""	"150"	"271"	"64"	"60"	"7"	"27"	"3"	"24"	"3"	"7"	"6"	"120"	"18"	"-610"	"0"	"-610"	"0"
"239"	""	"151"	"25"	"4"	"61"	"2"	"16"	"2"	"35"	"1"	"3"	"3"	"190"	"14"	"-356"	"0"	"-356"	"0"
"240"	""	"152"	"31"	"82"	"87"	"7"	"21"	"12"	"136"	"8"	"6"	"13"	"83"	"7"	"-493"	"0"	"-493"	"0"
"241"	"TOTAL"	""	"-1607"	"-1615"	"-1065"	"-62"	"-366"	"-217"	"-1453"	"-65"	"-35"	"-126"	"-1186"	"-136"	"-7933"	"0"	"-7933"	"0"
"242"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"246"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"247"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"248"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"249"	"R
o u n d
1
2"	"153"	"343"	"25"	"59"	"2"	"7"	"18"	"1"	"0"	"1"	"0"	"1"	"5"	"-462"	"0"	"-462"	"0"
"250"	""	"154"	"274"	"124"	"9"	"5"	"16"	"29"	"15"	"4"	"2"	"12"	"61"	"9"	"-560"	"0"	"-560"	"0"
"251"	""	"155"	"140"	"165"	"118"	"3"	"4"	"8"	"7"	"3"	"5"	"5"	"0"	"9"	"-467"	"0"	"-467"	"0"
"252"	""	"156"	"176"	"67"	"125"	"4"	"13"	"58"	"127"	"7"	"1"	"5"	"6"	"17"	"-606"	"0"	"-606"	"0"
"253"	""	"157"	"75"	"37"	"84"	"3"	"13"	"27"	"63"	"4"	"2"	"3"	"5"	"7"	"-323"	"0"	"-323"	"0"
"254"	""	"158"	"138"	"97"	"32"	"13"	"39"	"24"	"50"	"2"	"3"	"5"	"26"	"8"	"-437"	"0"	"-437"	"0"
"255"	""	"159"	"139"	"294"	"96"	"5"	"9"	"0"	"22"	"1"	"1"	"10"	"79"	"13"	"-669"	"0"	"-669"	"0"
"256"	""	"160"	"88"	"438"	"96"	"5"	"1"	"1"	"5"	"0"	"0"	"42"	"7"	"2"	"-685"	"0"	"-685"	"0"
"257"	""	"161"	"65"	"132"	"16"	"1"	"4"	"0"	"8"	"1"	"3"	"3"	"396"	"18"	"-647"	"0"	"-647"	"0"
"258"	""	"162"	"207"	"202"	"91"	"3"	"11"	"18"	"13"	"1"	"7"	"4"	"63"	"7"	"-627"	"0"	"-627"	"0"
"259"	""	"163"	"81"	"51"	"81"	"6"	"4"	"98"	"23"	"3"	"3"	"7"	"10"	"17"	"-384"	"0"	"-384"	"0"
"260"	""	"164"	"333"	"102"	"5"	"0"	"2"	"8"	"2"	"1"	"2"	"2"	"47"	"10"	"-514"	"0"	"-514"	"0"
"261"	""	"165"	"41"	"299"	"9"	"2"	"2"	"80"	"4"	"0"	"0"	"9"	"50"	"4"	"-500"	"0"	"-500"	"0"
"262"	""	"166"	"56"	"340"	"123"	"1"	"0"	"1"	"12"	"0"	"0"	"2"	"14"	"4"	"-553"	"0"	"-553"	"0"
"263"	"TOTAL"	""	"-2156"	"-2373"	"-944"	"-53"	"-125"	"-370"	"-352"	"-27"	"-30"	"-109"	"-765"	"-130"	"-7434"	"0"	"-7434"	"0"
"264"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"268"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"269"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"270"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"271"	"R
o u n d
1
3"	"167"	"200"	"120"	"8"	"1"	"3"	"0"	"6"	"3"	"2"	"41"	"2"	"3"	"-389"	"0"	"-389"	"0"
"272"	""	"168"	"184"	"47"	"83"	"6"	"2"	"5"	"5"	"1"	"1"	"2"	"91"	"6"	"-433"	"0"	"-433"	"0"
"273"	""	"169"	"202"	"151"	"34"	"1"	"4"	"24"	"6"	"4"	"6"	"18"	"262"	"35"	"-747"	"0"	"-747"	"0"
"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"TOTAL"	""	"-586"	"-318"	"-125"	"-8"	"-9"	"-29"	"-17"	"-8"	"-9"	"-61"	"-355"	"-44"	"-1569"	"0"	"-1569"	"0"
"286"	"Total No. of votes recorded at Polling Stations"	""	"-18844"	"-21837"	"-20287"	"-1022"	"-4662"	"-1156"	"-9069"	"-614"	"-365"	"-2167"	"-5631"	"-1325"	"-86979"	"0"	"-86979"	"0"
"287"	"No. of votes recorded on postal ballot papers"	""	"-2"	"-6"	"-1"	"0"	"-2"	"0"	"0"	"-4"	"0"	"-1"	"0"	"0"	"-16"	"0"	"-16"	"0"
"288"	"Total votes polled"	""	"-18846"	"-21843"	"-20288"	"-1022"	"-4664"	"-1156"	"-9069"	"-618"	"-365"	"-2168"	"-5631"	"-1325"	"-86995"	"0"	"-86995"	"0"
"289"	"Place"	""	"Sub-Division Office, Buxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""
