"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"149"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"151"	"122"	"6"	"1"	"41"	"209"	"4"	"2"	"9"	"1"	"0"	"0"	"0"	"2"	"7"	"1"	"1"	"0"	"284"	"0"	"284"	""	""
"152"	"123"	"5"	"1"	"26"	"130"	"0"	"1"	"34"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"199"	"0"	"199"	""	""
"153"	"124"	"4"	"3"	"78"	"275"	"80"	"1"	"56"	"3"	"1"	"0"	"4"	"4"	"3"	"1"	"0"	"4"	"517"	"0"	"517"	""	""
"154"	"125"	"2"	"1"	"121"	"56"	"4"	"3"	"245"	"5"	"1"	"5"	"0"	"1"	"4"	"1"	"2"	"1"	"452"	"0"	"452"	""	""
"155"	"126"	"3"	"1"	"106"	"161"	"0"	"0"	"63"	"1"	"1"	"3"	"0"	"1"	"0"	"4"	"1"	"0"	"345"	"0"	"345"	""	""
"156"	"Round -9"	"2260"	"950"	"8628"	"20516"	"790"	"232"	"12854"	"230"	"179"	"171"	"199"	"192"	"589"	"301"	"249"	"475"	"48815"	"0"	"48815"	""	""
"157"	"127"	"9"	"1"	"47"	"119"	"48"	"4"	"32"	"3"	"5"	"4"	"5"	"3"	"13"	"1"	"3"	"9"	"306"	"0"	"306"	""	""
"158"	"128"	"16"	"3"	"17"	"212"	"28"	"4"	"90"	"4"	"0"	"1"	"1"	"1"	"3"	"0"	"1"	"0"	"381"	"0"	"381"	""	""
"159"	"129"	"6"	"2"	"52"	"133"	"24"	"7"	"112"	"4"	"5"	"4"	"5"	"4"	"4"	"6"	"9"	"26"	"403"	"0"	"403"	""	""
"160"	"130"	"10"	"0"	"89"	"75"	"6"	"1"	"77"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"260"	"0"	"260"	""	""
"161"	"131"	"0"	"0"	"5"	"12"	"1"	"1"	"582"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	""	""
"162"	"132"	"0"	"0"	"1"	"3"	"4"	"0"	"513"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"521"	"0"	"521"	""	""
"163"	"133"	"4"	"0"	"9"	"159"	"1"	"0"	"85"	"4"	"1"	"3"	"0"	"0"	"2"	"0"	"2"	"8"	"278"	"0"	"278"	""	""
"164"	"134"	"1"	"17"	"14"	"241"	"13"	"0"	"70"	"2"	"2"	"4"	"5"	"0"	"6"	"2"	"3"	"1"	"381"	"0"	"381"	""	""
"165"	"135"	"5"	"2"	"160"	"115"	"4"	"2"	"51"	"1"	"1"	"3"	"1"	"3"	"5"	"2"	"2"	"1"	"358"	"0"	"358"	""	""
"166"	"136"	"9"	"4"	"32"	"39"	"1"	"4"	"285"	"5"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"3"	"389"	"0"	"389"	""	""
"167"	"137"	"10"	"5"	"58"	"248"	"7"	"1"	"186"	"5"	"2"	"3"	"9"	"1"	"5"	"2"	"2"	"1"	"545"	"0"	"545"	""	""
"168"	"138"	"12"	"12"	"62"	"101"	"0"	"3"	"69"	"2"	"0"	"1"	"3"	"0"	"3"	"1"	"4"	"4"	"277"	"0"	"277"	""	""
"169"	"139"	"2"	"1"	"20"	"11"	"22"	"0"	"525"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"585"	"0"	"585"	""	""
"170"	"140"	"9"	"6"	"68"	"178"	"6"	"6"	"134"	"5"	"8"	"2"	"5"	"3"	"9"	"4"	"8"	"7"	"458"	"0"	"458"	""	""
"171"	"Round -10"	"2353"	"1003"	"9262"	"22162"	"955"	"265"	"15665"	"266"	"205"	"199"	"234"	"208"	"640"	"320"	"284"	"537"	"54558"	"0"	"54558"	""	""
"172"	"141"	"9"	"1"	"41"	"333"	"3"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"414"	"0"	"414"	""	""
"173"	"142"	"1"	"0"	"24"	"4"	"0"	"0"	"444"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"475"	"0"	"475"	""	""
"174"	"143"	"3"	"5"	"24"	"108"	"4"	"0"	"35"	"1"	"1"	"2"	"2"	"5"	"8"	"0"	"4"	"7"	"209"	"0"	"209"	""	""
"175"	"144"	"30"	"1"	"86"	"294"	"2"	"3"	"30"	"4"	"1"	"0"	"1"	"0"	"8"	"3"	"3"	"2"	"468"	"0"	"468"	""	""
"176"	"145"	"3"	"1"	"55"	"241"	"0"	"1"	"14"	"3"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"324"	"0"	"324"	""	""
"177"	"146"	"3"	"2"	"40"	"40"	"2"	"1"	"210"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"303"	"0"	"303"	""	""
"178"	"147"	"3"	"9"	"19"	"19"	"10"	"5"	"198"	"7"	"0"	"3"	"0"	"3"	"1"	"2"	"1"	"3"	"283"	"0"	"283"	""	""
"179"	"148"	"18"	"0"	"117"	"93"	"2"	"5"	"28"	"2"	"2"	"0"	"1"	"1"	"5"	"4"	"1"	"1"	"280"	"0"	"280"	""	""
"180"	"149"	"10"	"4"	"24"	"345"	"34"	"1"	"16"	"2"	"3"	"2"	"2"	"3"	"10"	"4"	"1"	"2"	"463"	"0"	"463"	""	""
"181"	"150"	"3"	"1"	"12"	"206"	"1"	"3"	"12"	"0"	"0"	"0"	"0"	"1"	"6"	"0"	"3"	"2"	"250"	"0"	"250"	""	""
"182"	"151"	"0"	"0"	"14"	"123"	"2"	"1"	"108"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"0"	"251"	""	""
"183"	"152"	"28"	"4"	"88"	"298"	"7"	"5"	"41"	"2"	"4"	"3"	"15"	"4"	"8"	"4"	"2"	"4"	"517"	"0"	"517"	""	""
"184"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"185"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"186"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"187"	"153"	"12"	"4"	"136"	"278"	"5"	"1"	"80"	"2"	"2"	"2"	"7"	"3"	"10"	"7"	"3"	"11"	"563"	"0"	"563"	""	""
"188"	"154"	"10"	"0"	"19"	"166"	"8"	"3"	"29"	"0"	"0"	"0"	"10"	"0"	"3"	"0"	"0"	"0"	"248"	"0"	"248"	""	""
"189"	"Round -11"	"2486"	"1035"	"9961"	"24710"	"1035"	"294"	"16934"	"291"	"224"	"215"	"272"	"230"	"701"	"345"	"302"	"571"	"59606"	"0"	"59606"	""	""
"190"	"155"	"6"	"0"	"29"	"222"	"4"	"0"	"106"	"2"	"0"	"5"	"1"	"1"	"14"	"1"	"2"	"12"	"405"	"0"	"405"	""	""
"191"	"156"	"13"	"2"	"138"	"206"	"5"	"2"	"16"	"2"	"1"	"1"	"33"	"4"	"18"	"15"	"9"	"22"	"487"	"0"	"487"	""	""
"192"	"157"	"2"	"2"	"25"	"225"	"43"	"3"	"187"	"3"	"3"	"9"	"4"	"5"	"13"	"0"	"1"	"3"	"528"	"0"	"528"	""	""
"193"	"158"	"6"	"4"	"57"	"193"	"10"	"3"	"58"	"0"	"8"	"3"	"93"	"4"	"8"	"3"	"1"	"7"	"458"	"0"	"458"	""	""
"194"	"159"	"14"	"1"	"25"	"123"	"4"	"0"	"10"	"1"	"2"	"0"	"11"	"0"	"2"	"1"	"3"	"5"	"202"	"0"	"202"	""	""
"195"	"160"	"6"	"2"	"49"	"103"	"4"	"3"	"59"	"2"	"16"	"5"	"139"	"4"	"6"	"7"	"4"	"7"	"416"	"0"	"416"	""	""
"196"	"161"	"1"	"4"	"6"	"63"	"0"	"3"	"81"	"1"	"5"	"0"	"32"	"1"	"0"	"2"	"1"	"2"	"202"	"0"	"202"	""	""
"197"	"162"	"72"	"4"	"22"	"80"	"2"	"1"	"36"	"3"	"6"	"4"	"47"	"3"	"2"	"0"	"5"	"5"	"292"	"0"	"292"	""	""
"198"	"163"	"0"	"0"	"40"	"73"	"1"	"0"	"30"	"1"	"6"	"3"	"70"	"3"	"3"	"1"	"3"	"4"	"238"	"0"	"238"	""	""
"199"	"164"	"12"	"0"	"15"	"280"	"2"	"2"	"69"	"0"	"3"	"1"	"53"	"4"	"8"	"1"	"3"	"4"	"457"	"0"	"457"	""	""
"200"	"165"	"19"	"1"	"25"	"114"	"3"	"2"	"306"	"8"	"2"	"1"	"22"	"1"	"1"	"1"	"2"	"13"	"521"	"0"	"521"	""	""
"201"	"166"	"8"	"3"	"140"	"203"	"1"	"10"	"50"	"1"	"0"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"423"	"0"	"423"	""	""
"202"	"167"	"15"	"3"	"15"	"166"	"7"	"7"	"246"	"2"	"3"	"3"	"3"	"1"	"7"	"1"	"3"	"5"	"487"	"0"	"487"	""	""
"203"	"168"	"0"	"0"	"0"	"77"	"0"	"0"	"39"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"118"	"0"	"118"	""	""
"204"	"Round -12"	"2660"	"1061"	"10547"	"26838"	"1121"	"330"	"18227"	"317"	"279"	"253"	"781"	"261"	"788"	"378"	"339"	"660"	"64840"	"0"	"64840"	""	""
"205"	"169"	"4"	"2"	"6"	"20"	"1"	"1"	"308"	"3"	"6"	"0"	"24"	"1"	"1"	"1"	"1"	"0"	"379"	"0"	"379"	""	""
"206"	"170"	"3"	"0"	"15"	"19"	"1"	"0"	"251"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"292"	"0"	"292"	""	""
"207"	"171"	"3"	"0"	"8"	"50"	"4"	"2"	"257"	"0"	"0"	"1"	"3"	"0"	"3"	"2"	"1"	"3"	"337"	"0"	"337"	""	""
"208"	"172"	"12"	"0"	"6"	"32"	"3"	"1"	"314"	"5"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"3"	"381"	"0"	"381"	""	""
"209"	"173"	"8"	"1"	"35"	"144"	"7"	"1"	"27"	"1"	"2"	"2"	"2"	"3"	"8"	"11"	"6"	"7"	"265"	"0"	"265"	""	""
"210"	"174"	"0"	"0"	"2"	"5"	"5"	"1"	"510"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"525"	"0"	"525"	""	""
"211"	"175"	"1"	"0"	"17"	"4"	"0"	"0"	"872"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"895"	"0"	"895"	""	""
"212"	"176"	"0"	"0"	"23"	"1"	"0"	"1"	"445"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"471"	"0"	"471"	""	""
"213"	"177"	"3"	"0"	"46"	"190"	"7"	"0"	"28"	"1"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"5"	"289"	"0"	"289"	""	""
"214"	"178"	"9"	"5"	"99"	"136"	"9"	"3"	"136"	"5"	"2"	"4"	"4"	"3"	"8"	"6"	"4"	"11"	"444"	"0"	"444"	""	""
"215"	"179"	"1"	"3"	"22"	"125"	"0"	"0"	"113"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"270"	"0"	"270"	""	""
"216"	"180"	"6"	"4"	"53"	"130"	"0"	"0"	"38"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"234"	"0"	"234"	""	""
"217"	"181"	"6"	"1"	"57"	"147"	"20"	"2"	"29"	"3"	"0"	"1"	"0"	"0"	"10"	"1"	"1"	"2"	"280"	"0"	"280"	""	""
"218"	"182"	"5"	"4"	"98"	"126"	"1"	"1"	"35"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"0"	"275"	""	""
"219"	"Round -13"	"2721"	"1081"	"11034"	"27967"	"1179"	"343"	"21590"	"347"	"293"	"263"	"816"	"271"	"829"	"399"	"353"	"691"	"70177"	"0"	"70177"	""	""
"220"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"221"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"223"	"183"	"2"	"2"	"93"	"10"	"2"	"2"	"81"	"3"	"3"	"1"	"1"	"0"	"1"	"3"	"0"	"1"	"205"	"0"	"205"	""	""
"224"	"184"	"8"	"0"	"34"	"384"	"5"	"1"	"16"	"0"	"0"	"1"	"1"	"1"	"4"	"3"	"2"	"1"	"461"	"0"	"461"	""	""
"225"	"185"	"5"	"3"	"47"	"132"	"4"	"5"	"182"	"2"	"1"	"8"	"4"	"2"	"15"	"6"	"7"	"6"	"429"	"0"	"429"	""	""
"226"	"186"	"1"	"1"	"2"	"0"	"0"	"2"	"398"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"405"	"0"	"405"	""	""
"227"	"187"	"0"	"0"	"3"	"0"	"1"	"0"	"368"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"373"	"0"	"373"	""	""
"228"	"188"	"7"	"3"	"9"	"9"	"14"	"2"	"471"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"518"	"0"	"518"	""	""
"229"	"189"	"1"	"0"	"18"	"48"	"5"	"0"	"446"	"2"	"0"	"2"	"0"	"2"	"5"	"0"	"2"	"5"	"536"	"0"	"536"	""	""
"230"	"190"	"3"	"0"	"18"	"203"	"3"	"0"	"72"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"301"	"0"	"301"	""	""
"231"	"191"	"7"	"0"	"141"	"138"	"2"	"0"	"43"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"335"	"0"	"335"	""	""
"232"	"192"	"6"	"3"	"55"	"135"	"1"	"3"	"124"	"3"	"1"	"2"	"3"	"0"	"4"	"2"	"5"	"6"	"353"	"0"	"353"	""	""
"233"	"193"	"2"	"0"	"6"	"14"	"0"	"1"	"286"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"310"	"0"	"310"	""	""
"234"	"194"	"2"	"0"	"2"	"9"	"2"	"2"	"480"	"4"	"2"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"510"	"0"	"510"	""	""
"235"	"195"	"8"	"0"	"27"	"515"	"2"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"560"	"0"	"560"	""	""
"236"	"196"	"0"	"2"	"255"	"34"	"0"	"1"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"0"	"320"	""	""
"237"	"Round -14"	"2773"	"1095"	"11744"	"29598"	"1220"	"362"	"24591"	"364"	"301"	"280"	"827"	"276"	"866"	"416"	"369"	"711"	"75793"	"0"	"75793"	""	""
"238"	"197"	"16"	"1"	"95"	"181"	"7"	"3"	"58"	"5"	"0"	"1"	"0"	"0"	"8"	"5"	"4"	"3"	"387"	"0"	"387"	""	""
"239"	"198"	"28"	"12"	"14"	"106"	"63"	"7"	"234"	"7"	"2"	"5"	"9"	"7"	"15"	"6"	"3"	"16"	"534"	"0"	"534"	""	""
"240"	"199"	"2"	"0"	"64"	"280"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"10"	"2"	"1"	"0"	"368"	"0"	"368"	""	""
"241"	"200"	"13"	"1"	"49"	"29"	"3"	"2"	"167"	"3"	"0"	"0"	"1"	"0"	"3"	"4"	"1"	"2"	"278"	"0"	"278"	""	""
"242"	"201"	"6"	"3"	"99"	"151"	"2"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"5"	"5"	"0"	"0"	"279"	"0"	"279"	""	""
"243"	"202"	"2"	"1"	"59"	"312"	"3"	"2"	"75"	"0"	"1"	"3"	"0"	"2"	"8"	"1"	"0"	"2"	"471"	"0"	"471"	""	""
"244"	"203"	"16"	"1"	"55"	"255"	"6"	"6"	"106"	"7"	"1"	"2"	"0"	"0"	"10"	"4"	"3"	"11"	"483"	"0"	"483"	""	""
"245"	"204"	"1"	"2"	"52"	"1"	"0"	"0"	"175"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"235"	"0"	"235"	""	""
"246"	"205"	"1"	"2"	"6"	"37"	"0"	"3"	"160"	"3"	"2"	"0"	"0"	"4"	"0"	"1"	"2"	"2"	"223"	"0"	"223"	""	""
"247"	"206"	"4"	"0"	"90"	"182"	"3"	"0"	"24"	"1"	"2"	"0"	"2"	"1"	"22"	"5"	"0"	"3"	"339"	"0"	"339"	""	""
"248"	"207"	"14"	"2"	"54"	"217"	"5"	"0"	"4"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"3"	"306"	"0"	"306"	""	""
"249"	"208"	"2"	"2"	"69"	"225"	"8"	"3"	"83"	"5"	"0"	"2"	"3"	"4"	"7"	"5"	"1"	"6"	"425"	"0"	"425"	""	""
"250"	"209"	"4"	"1"	"8"	"12"	"0"	"1"	"646"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"676"	"0"	"676"	""	""
"251"	"210"	"10"	"5"	"54"	"66"	"4"	"3"	"17"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"0"	"166"	"0"	"166"	""	""
"252"	"Round -15"	"2892"	"1128"	"12512"	"31652"	"1329"	"397"	"26343"	"401"	"311"	"297"	"843"	"295"	"957"	"457"	"388"	"761"	"80963"	"0"	"80963"	""	""
"253"	"211"	"30"	"7"	"132"	"135"	"3"	"2"	"40"	"0"	"0"	"1"	"0"	"3"	"4"	"5"	"2"	"2"	"366"	"0"	"366"	""	""
"254"	"212"	"6"	"2"	"145"	"206"	"2"	"6"	"177"	"7"	"2"	"6"	"5"	"7"	"17"	"6"	"3"	"16"	"613"	"0"	"613"	""	""
"255"	"213"	"22"	"7"	"150"	"171"	"3"	"0"	"29"	"0"	"0"	"0"	"3"	"1"	"3"	"0"	"1"	"3"	"393"	"0"	"393"	""	""
"256"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"257"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"258"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"259"	"214"	"7"	"10"	"43"	"272"	"3"	"4"	"168"	"1"	"2"	"3"	"1"	"1"	"5"	"1"	"1"	"1"	"523"	"0"	"523"	""	""
"260"	"215"	"64"	"6"	"56"	"173"	"5"	"6"	"174"	"5"	"2"	"4"	"4"	"0"	"14"	"6"	"7"	"10"	"536"	"0"	"536"	""	""
"261"	"216"	"1"	"2"	"126"	"72"	"3"	"2"	"93"	"2"	"4"	"1"	"1"	"2"	"3"	"3"	"1"	"6"	"322"	"0"	"322"	""	""
"262"	"217"	"14"	"2"	"195"	"370"	"7"	"4"	"2"	"0"	"2"	"1"	"5"	"2"	"9"	"9"	"1"	"7"	"630"	"0"	"630"	""	""
"263"	"218"	"12"	"5"	"166"	"63"	"0"	"3"	"19"	"1"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"3"	"280"	"0"	"280"	""	""
"264"	"Round -16"	"3048"	"1169"	"13525"	"33114"	"1355"	"424"	"27045"	"417"	"325"	"313"	"862"	"311"	"1012"	"491"	"406"	"809"	"84626"	"0"	"84626"	""	""
"265"	"Total No. of voters recorded on Polling Stations"	"3048"	"1169"	"13525"	"33114"	"1355"	"424"	"27045"	"417"	"325"	"313"	"862"	"311"	"1012"	"491"	"406"	"809"	"84626"	"0"	"84626"	""	""
"266"	"No. of voters recorded on postal ballot papers"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	""	""
"267"	"Total votes polled"	"3048"	"1169"	"13527"	"33115"	"1355"	"424"	"27045"	"417"	"325"	"313"	"862"	"311"	"1012"	"491"	"406"	"809"	"84629"	"0"	"84629"	""	""
"268"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Date  :                                                                                                                                                                                                                                                                                           Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
