"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"119"	"73"	"40"	"53"	"73"	"3"	"86"	"12"	"11"	"8"	"48"	"3"	"3"	"2"	"1"	"3"	"21"	"10"	"123"	"9"	"9"	"518"	"0"	"518"	"0"	""
"120"	"74"	"54"	"15"	"103"	"13"	"122"	"19"	"208"	"6"	"53"	"1"	"0"	"1"	"2"	"3"	"7"	"6"	"10"	"1"	"1"	"625"	"0"	"625"	"0"	""
"121"	"75"	"56"	"58"	"87"	"4"	"118"	"12"	"44"	"7"	"95"	"5"	"9"	"7"	"6"	"8"	"8"	"19"	"18"	"1"	"3"	"565"	"0"	"565"	"0"	""
"122"	"76"	"34"	"30"	"73"	"13"	"16"	"7"	"230"	"15"	"63"	"4"	"2"	"1"	"7"	"4"	"16"	"6"	"5"	"0"	"3"	"529"	"0"	"529"	"0"	""
"123"	"77"	"195"	"32"	"30"	"1"	"98"	"2"	"56"	"6"	"43"	"8"	"10"	"8"	"16"	"2"	"22"	"28"	"4"	"1"	"0"	"562"	"0"	"562"	"0"	""
"124"	"78"	"26"	"52"	"21"	"82"	"228"	"5"	"13"	"9"	"83"	"8"	"11"	"1"	"4"	"2"	"12"	"5"	"19"	"2"	"4"	"587"	"0"	"587"	"0"	""
"125"	"79"	"35"	"93"	"8"	"24"	"54"	"1"	"4"	"6"	"101"	"1"	"1"	"0"	"4"	"46"	"9"	"5"	"15"	"2"	"1"	"410"	"0"	"410"	"0"	""
"126"	"80"	"148"	"110"	"38"	"18"	"77"	"1"	"33"	"2"	"24"	"2"	"1"	"2"	"0"	"0"	"1"	"2"	"7"	"5"	"2"	"473"	"0"	"473"	"0"	""
"127"	"81"	"31"	"12"	"13"	"7"	"317"	"0"	"10"	"1"	"26"	"1"	"2"	"0"	"0"	"3"	"1"	"1"	"5"	"0"	"0"	"430"	"0"	"430"	"0"	""
"128"	"82"	"96"	"77"	"7"	"3"	"78"	"4"	"40"	"4"	"71"	"0"	"3"	"7"	"6"	"4"	"9"	"8"	"6"	"1"	"4"	"428"	"0"	"428"	"0"	""
"129"	"83"	"46"	"138"	"1"	"1"	"71"	"1"	"15"	"3"	"11"	"0"	"1"	"2"	"2"	"4"	"17"	"12"	"80"	"2"	"3"	"410"	"0"	"410"	"0"	""
"130"	"84"	"101"	"212"	"13"	"6"	"60"	"2"	"47"	"7"	"19"	"4"	"2"	"1"	"1"	"1"	"7"	"1"	"9"	"1"	"0"	"494"	"0"	"494"	"0"	""
"131"	";ksx"	"964"	"1030"	"603"	"200"	"1422"	"75"	"752"	"90"	"776"	"44"	"55"	"51"	"62"	"92"	"155"	"157"	"404"	"36"	"40"	"7008"	"0"	"7008"	"0"	""
"132"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"139"	"85"	"73"	"70"	"24"	"5"	"322"	"8"	"33"	"6"	"17"	"0"	"0"	"2"	"1"	"7"	"7"	"7"	"67"	"6"	"7"	"662"	"0"	"662"	"0"	""
"140"	"86"	"73"	"20"	"153"	"6"	"150"	"45"	"102"	"2"	"7"	"2"	"5"	"1"	"4"	"2"	"1"	"2"	"4"	"1"	"1"	"581"	"0"	"581"	"0"	""
"141"	"87"	"33"	"242"	"16"	"3"	"10"	"0"	"121"	"3"	"5"	"1"	"2"	"0"	"4"	"6"	"7"	"3"	"14"	"3"	"1"	"474"	"0"	"474"	"0"	""
"142"	"88"	"38"	"92"	"6"	"0"	"53"	"63"	"30"	"0"	"9"	"2"	"2"	"4"	"0"	"13"	"1"	"2"	"5"	"3"	"1"	"324"	"0"	"324"	"0"	""
"143"	"89"	"23"	"70"	"18"	"3"	"38"	"121"	"46"	"4"	"31"	"12"	"6"	"7"	"1"	"3"	"2"	"2"	"7"	"2"	"0"	"396"	"0"	"396"	"0"	""
"144"	"90"	"124"	"49"	"40"	"5"	"116"	"136"	"45"	"4"	"167"	"3"	"4"	"7"	"1"	"10"	"6"	"10"	"13"	"1"	"3"	"744"	"0"	"744"	"0"	""
"145"	"91"	"67"	"61"	"36"	"0"	"137"	"148"	"80"	"9"	"11"	"6"	"4"	"7"	"4"	"5"	"4"	"3"	"1"	"1"	"1"	"585"	"0"	"585"	"0"	""
"146"	"92"	"17"	"92"	"100"	"9"	"60"	"7"	"65"	"4"	"110"	"1"	"2"	"4"	"2"	"15"	"3"	"1"	"12"	"1"	"3"	"508"	"0"	"508"	"0"	""
"147"	"93"	"45"	"75"	"62"	"3"	"97"	"41"	"31"	"5"	"89"	"8"	"6"	"15"	"3"	"50"	"8"	"3"	"27"	"6"	"12"	"586"	"0"	"586"	"0"	""
"148"	"94"	"27"	"18"	"63"	"6"	"59"	"7"	"29"	"3"	"145"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"3"	"369"	"0"	"369"	"0"	""
"149"	"95"	"23"	"25"	"68"	"2"	"66"	"27"	"42"	"5"	"99"	"2"	"7"	"2"	"1"	"4"	"8"	"19"	"42"	"7"	"9"	"458"	"0"	"458"	"0"	""
"150"	"96"	"18"	"42"	"12"	"3"	"39"	"54"	"10"	"5"	"41"	"6"	"43"	"4"	"3"	"4"	"13"	"4"	"23"	"0"	"1"	"325"	"0"	"325"	"0"	""
"151"	"97"	"73"	"26"	"92"	"5"	"154"	"30"	"20"	"12"	"34"	"3"	"15"	"9"	"4"	"23"	"4"	"3"	"3"	"1"	"4"	"515"	"0"	"515"	"0"	""
"152"	"98"	"27"	"88"	"61"	"19"	"183"	"13"	"17"	"9"	"79"	"7"	"6"	"6"	"2"	"3"	"2"	"1"	"2"	"2"	"1"	"528"	"0"	"528"	"0"	""
"153"	";ksx"	"661"	"970"	"751"	"69"	"1484"	"700"	"671"	"71"	"844"	"56"	"103"	"69"	"31"	"146"	"66"	"62"	"220"	"34"	"47"	"7055"	"0"	"7055"	"0"	""
"154"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"161"	"99"	"36"	"60"	"107"	"8"	"121"	"94"	"12"	"4"	"37"	"14"	"7"	"10"	"5"	"6"	"5"	"8"	"22"	"16"	"5"	"577"	"0"	"577"	"0"	""
"162"	"100"	"30"	"20"	"62"	"4"	"360"	"23"	"42"	"6"	"109"	"6"	"12"	"6"	"3"	"22"	"3"	"3"	"10"	"0"	"6"	"727"	"0"	"727"	"0"	""
"163"	"101"	"34"	"5"	"23"	"7"	"302"	"57"	"7"	"0"	"33"	"3"	"4"	"4"	"0"	"12"	"2"	"1"	"2"	"0"	"1"	"497"	"0"	"497"	"0"	""
"164"	"102"	"46"	"90"	"90"	"2"	"220"	"20"	"5"	"9"	"27"	"5"	"2"	"2"	"2"	"28"	"9"	"13"	"41"	"2"	"10"	"623"	"0"	"623"	"0"	""
"165"	"103"	"29"	"24"	"88"	"2"	"48"	"118"	"16"	"3"	"23"	"4"	"6"	"8"	"1"	"3"	"1"	"6"	"7"	"2"	"3"	"392"	"0"	"392"	"0"	""
"166"	"104"	"24"	"31"	"22"	"3"	"281"	"9"	"15"	"3"	"49"	"5"	"3"	"9"	"4"	"11"	"4"	"16"	"9"	"2"	"1"	"501"	"0"	"501"	"0"	""
"167"	"105"	"83"	"59"	"15"	"6"	"213"	"22"	"17"	"3"	"56"	"6"	"2"	"7"	"4"	"1"	"4"	"21"	"13"	"5"	"18"	"555"	"0"	"555"	"0"	""
"168"	"106"	"47"	"15"	"68"	"10"	"180"	"11"	"58"	"10"	"91"	"5"	"4"	"9"	"8"	"5"	"16"	"20"	"11"	"1"	"2"	"571"	"0"	"571"	"0"	""
"169"	"107"	"14"	"11"	"61"	"6"	"54"	"10"	"232"	"13"	"34"	"2"	"6"	"3"	"10"	"55"	"5"	"19"	"2"	"1"	"6"	"544"	"0"	"544"	"0"	""
"170"	"108"	"22"	"7"	"54"	"9"	"219"	"5"	"86"	"6"	"31"	"1"	"2"	"8"	"5"	"1"	"10"	"8"	"6"	"1"	"2"	"483"	"0"	"483"	"0"	""
"171"	"109"	"15"	"3"	"65"	"19"	"66"	"7"	"68"	"13"	"124"	"5"	"4"	"6"	"1"	"1"	"4"	"5"	"32"	"3"	"4"	"445"	"0"	"445"	"0"	""
"172"	"110"	"28"	"30"	"13"	"7"	"204"	"18"	"7"	"9"	"66"	"4"	"45"	"1"	"1"	"10"	"25"	"2"	"184"	"1"	"0"	"655"	"0"	"655"	"0"	""
"173"	"111"	"16"	"9"	"89"	"8"	"52"	"14"	"22"	"10"	"55"	"2"	"6"	"6"	"3"	"45"	"7"	"10"	"2"	"1"	"8"	"365"	"0"	"365"	"0"	""
"174"	"112"	"21"	"31"	"19"	"5"	"51"	"37"	"15"	"7"	"62"	"6"	"9"	"7"	"8"	"112"	"14"	"11"	"20"	"11"	"12"	"458"	"0"	"458"	"0"	""
"175"	";ksx"	"445"	"395"	"776"	"96"	"2371"	"445"	"602"	"96"	"797"	"68"	"112"	"86"	"55"	"312"	"109"	"143"	"361"	"46"	"78"	"7393"	"0"	"7393"	"0"	""
"176"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"183"	"113"	"38"	"101"	"9"	"9"	"302"	"4"	"5"	"8"	"20"	"4"	"5"	"13"	"6"	"3"	"15"	"24"	"57"	"0"	"6"	"629"	"0"	"629"	"0"	""
"184"	"114"	"69"	"5"	"10"	"3"	"90"	"3"	"6"	"5"	"90"	"3"	"1"	"3"	"1"	"4"	"12"	"7"	"13"	"4"	"2"	"331"	"0"	"331"	"0"	""
"185"	"115"	"25"	"32"	"20"	"1"	"118"	"4"	"9"	"7"	"68"	"1"	"1"	"1"	"1"	"4"	"14"	"2"	"42"	"2"	"2"	"354"	"0"	"354"	"0"	""
"186"	"116"	"22"	"22"	"51"	"5"	"257"	"17"	"7"	"9"	"14"	"6"	"20"	"11"	"7"	"5"	"16"	"13"	"68"	"3"	"4"	"557"	"0"	"557"	"0"	""
"187"	"117"	"28"	"5"	"193"	"4"	"89"	"51"	"12"	"8"	"9"	"3"	"3"	"4"	"3"	"28"	"13"	"7"	"45"	"4"	"12"	"521"	"0"	"521"	"0"	""
"188"	"118"	"19"	"62"	"32"	"3"	"170"	"36"	"8"	"8"	"120"	"15"	"8"	"7"	"2"	"2"	"11"	"5"	"36"	"3"	"2"	"549"	"0"	"549"	"0"	""
"189"	"119"	"50"	"22"	"130"	"5"	"210"	"51"	"59"	"4"	"32"	"5"	"3"	"8"	"2"	"21"	"11"	"8"	"16"	"2"	"7"	"646"	"0"	"646"	"0"	""
"190"	"120"	"28"	"1"	"67"	"8"	"112"	"0"	"3"	"4"	"2"	"2"	"1"	"0"	"2"	"35"	"11"	"0"	"185"	"3"	"3"	"467"	"0"	"467"	"0"	""
"191"	"121"	"71"	"177"	"152"	"8"	"51"	"16"	"4"	"6"	"62"	"5"	"1"	"7"	"0"	"11"	"7"	"8"	"13"	"0"	"2"	"601"	"0"	"601"	"0"	""
"192"	"122"	"48"	"129"	"34"	"2"	"80"	"2"	"12"	"7"	"125"	"1"	"2"	"5"	"1"	"37"	"6"	"3"	"7"	"1"	"1"	"503"	"0"	"503"	"0"	""
"193"	"123"	"16"	"103"	"325"	"5"	"36"	"7"	"55"	"10"	"69"	"6"	"3"	"4"	"5"	"4"	"7"	"8"	"8"	"1"	"1"	"673"	"0"	"673"	"0"	""
"194"	"124"	"9"	"9"	"131"	"4"	"58"	"4"	"19"	"3"	"52"	"0"	"1"	"2"	"4"	"6"	"15"	"7"	"119"	"2"	"2"	"447"	"0"	"447"	"0"	""
"195"	"125"	"19"	"5"	"104"	"0"	"109"	"0"	"1"	"2"	"4"	"1"	"4"	"1"	"0"	"1"	"11"	"2"	"48"	"1"	"0"	"313"	"0"	"313"	"0"	""
"196"	"126"	"37"	"45"	"25"	"2"	"59"	"18"	"6"	"16"	"145"	"5"	"7"	"3"	"5"	"41"	"19"	"15"	"76"	"3"	"8"	"535"	"0"	"535"	"0"	""
"197"	";ksx"	"479"	"718"	"1283"	"59"	"1741"	"213"	"206"	"97"	"812"	"57"	"60"	"69"	"39"	"202"	"168"	"109"	"733"	"29"	"52"	"7126"	"0"	"7126"	"0"	""
"198"	"9                                                                                                                      fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"206"	"127"	"10"	"163"	"19"	"7"	"135"	"18"	"12"	"4"	"32"	"2"	"4"	"7"	"2"	"8"	"5"	"8"	"1"	"0"	"2"	"439"	"0"	"439"	"0"	""
"207"	"128"	"16"	"13"	"41"	"5"	"168"	"12"	"5"	"5"	"75"	"7"	"1"	"4"	"4"	"0"	"3"	"6"	"4"	"4"	"8"	"381"	"0"	"381"	"0"	""
"208"	"129"	"31"	"102"	"16"	"2"	"129"	"8"	"4"	"12"	"39"	"1"	"7"	"2"	"0"	"2"	"1"	"4"	"6"	"3"	"1"	"370"	"0"	"370"	"0"	""
"209"	"130"	"50"	"21"	"27"	"1"	"260"	"85"	"8"	"5"	"71"	"7"	"7"	"11"	"6"	"10"	"16"	"10"	"39"	"3"	"6"	"643"	"0"	"643"	"0"	""
"210"	"131"	"7"	"112"	"146"	"4"	"317"	"28"	"10"	"4"	"35"	"1"	"5"	"3"	"4"	"13"	"8"	"4"	"12"	"7"	"5"	"725"	"0"	"725"	"0"	""
"211"	"132"	"14"	"230"	"54"	"1"	"61"	"10"	"47"	"5"	"50"	"3"	"3"	"8"	"7"	"3"	"2"	"5"	"8"	"5"	"4"	"520"	"0"	"520"	"0"	""
"212"	"133"	"52"	"503"	"7"	"3"	"52"	"1"	"26"	"1"	"105"	"2"	"1"	"1"	"1"	"2"	"1"	"3"	"3"	"7"	"2"	"773"	"0"	"773"	"0"	""
"213"	"134"	"28"	"203"	"3"	"3"	"82"	"6"	"105"	"7"	"10"	"0"	"3"	"3"	"1"	"1"	"4"	"0"	"1"	"1"	"1"	"462"	"0"	"462"	"0"	""
"214"	"135"	"20"	"94"	"7"	"5"	"74"	"10"	"253"	"6"	"112"	"6"	"2"	"2"	"4"	"3"	"4"	"1"	"12"	"5"	"3"	"623"	"0"	"623"	"0"	""
"215"	"136"	"53"	"149"	"30"	"3"	"117"	"16"	"124"	"2"	"69"	"5"	"5"	"4"	"1"	"2"	"3"	"4"	"2"	"2"	"1"	"592"	"0"	"592"	"0"	""
"216"	"137"	"17"	"17"	"3"	"3"	"216"	"13"	"82"	"1"	"102"	"3"	"1"	"4"	"2"	"1"	"1"	"3"	"44"	"1"	"2"	"516"	"0"	"516"	"0"	""
"217"	"138"	"26"	"49"	"17"	"1"	"54"	"5"	"192"	"8"	"39"	"4"	"2"	"2"	"1"	"3"	"11"	"2"	"40"	"4"	"1"	"461"	"0"	"461"	"0"	""
"218"	"139"	"3"	"1"	"17"	"4"	"50"	"5"	"209"	"3"	"9"	"0"	"1"	"0"	"0"	"0"	"5"	"0"	"7"	"0"	"1"	"315"	"0"	"315"	"0"	""
"219"	"140"	"3"	"24"	"16"	"0"	"11"	"3"	"411"	"3"	"10"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"490"	"0"	"490"	"0"	""
"220"	";ksx"	"330"	"1681"	"403"	"42"	"1726"	"220"	"1488"	"66"	"758"	"43"	"43"	"52"	"34"	"49"	"65"	"52"	"179"	"42"	"37"	"7310"	"0"	"7310"	"0"	""
"221"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"228"	"141"	"33"	"121"	"8"	"2"	"22"	"4"	"165"	"7"	"5"	"0"	"1"	"4"	"2"	"7"	"5"	"8"	"4"	"9"	"2"	"409"	"0"	"409"	"0"	""
"229"	"142"	"7"	"3"	"5"	"0"	"29"	"11"	"454"	"4"	"5"	"3"	"0"	"4"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"530"	"0"	"530"	"0"	""
"230"	"143"	"14"	"21"	"38"	"5"	"122"	"8"	"34"	"2"	"72"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"0"	"1"	"327"	"0"	"327"	"0"	""
"231"	"144"	"30"	"87"	"74"	"10"	"126"	"4"	"33"	"4"	"11"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"1"	"389"	"0"	"389"	"0"	""
"232"	"145"	"60"	"15"	"20"	"4"	"200"	"10"	"58"	"6"	"49"	"3"	"4"	"10"	"4"	"3"	"7"	"14"	"12"	"3"	"4"	"486"	"0"	"486"	"0"	""
"233"	"146"	"13"	"63"	"28"	"4"	"135"	"130"	"13"	"10"	"14"	"11"	"14"	"9"	"1"	"13"	"26"	"16"	"49"	"5"	"1"	"555"	"0"	"555"	"0"	""
"234"	"147"	"10"	"28"	"37"	"8"	"144"	"30"	"116"	"9"	"48"	"8"	"7"	"17"	"12"	"9"	"18"	"25"	"58"	"7"	"11"	"602"	"0"	"602"	"0"	""
"235"	"148"	"22"	"129"	"74"	"3"	"182"	"15"	"31"	"12"	"22"	"3"	"9"	"1"	"1"	"1"	"5"	"1"	"65"	"1"	"1"	"578"	"0"	"578"	"0"	""
"236"	"149"	"111"	"35"	"10"	"3"	"103"	"7"	"11"	"8"	"35"	"1"	"6"	"4"	"3"	"3"	"20"	"6"	"147"	"5"	"2"	"520"	"0"	"520"	"0"	""
"237"	"150"	"16"	"4"	"2"	"3"	"5"	"173"	"2"	"6"	"18"	"7"	"2"	"8"	"1"	"1"	"29"	"7"	"455"	"20"	"9"	"768"	"0"	"768"	"0"	""
"238"	"151"	"5"	"22"	"3"	"0"	"55"	"62"	"2"	"3"	"4"	"0"	"2"	"3"	"0"	"2"	"7"	"3"	"331"	"3"	"1"	"508"	"0"	"508"	"0"	""
"239"	"152"	"11"	"7"	"7"	"2"	"27"	"97"	"17"	"17"	"69"	"7"	"11"	"0"	"2"	"0"	"33"	"14"	"219"	"6"	"8"	"554"	"0"	"554"	"0"	""
