"126"	""	"80"	"92"	"5"	"3"	"22"	"77"	"164"	"108"	"4"	"115"	"11"	"3"	"5"	"7"	""	"8"	"10"	"17"	""	"-651"	""	"0"	""	"-651"	""	"0"
"127"	""	"81"	"13"	"13"	"9"	"37"	"398"	"118"	"0"	"0"	"81"	"1"	"0"	"0"	"0"	""	"2"	"1"	"0"	""	"-673"	""	"0"	""	"-673"	""	"0"
"128"	""	"82"	"2"	"1"	"1"	"0"	"380"	"91"	"3"	"0"	"23"	"1"	"0"	"0"	"0"	""	"1"	"0"	"7"	""	"-510"	""	"0"	""	"-510"	""	"0"
"129"	""	"83"	"12"	"40"	"10"	"11"	"41"	"76"	"5"	"6"	"87"	"5"	"6"	"14"	"7"	""	"7"	"5"	"15"	""	"-347"	""	"0"	""	"-347"	""	"0"
"130"	""	"84"	"34"	"67"	"31"	"19"	"229"	"20"	"2"	"3"	"219"	"5"	"2"	"3"	"0"	""	"3"	"2"	"9"	""	"-648"	""	"0"	""	"-648"	""	"0"
"131"	"TOTAL"	""	"-641"	"-279"	"-479"	"-574"	"-1416"	"-1320"	"-156"	"-40"	"-701"	"-39"	"-23"	"-48"	"-53"	""	"-1295"	"-56"	"-115"	""	"-7235"	""	"0"	""	"-7235"	""	"0"
"132"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"137"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"138"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"139"	"R
o u n d
7"	"85"	"12"	"2"	"1"	"34"	"11"	"313"	"8"	"2"	"1"	"0"	"1"	"0"	"1"	""	"0"	"1"	"37"	""	"-424"	""	"0"	""	"-424"	""	"0"
"140"	""	"86"	"3"	"770"	"18"	"2"	"1"	"13"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	""	"3"	"1"	"0"	""	"-822"	""	"0"	""	"-822"	""	"0"
"141"	""	"87"	"4"	"788"	"3"	"3"	"2"	"15"	"1"	"1"	"13"	"0"	"0"	"0"	"1"	""	"0"	"0"	"16"	""	"-847"	""	"0"	""	"-847"	""	"0"
"142"	""	"88"	"3"	"464"	"18"	"2"	"13"	"29"	"1"	"1"	"29"	"1"	"0"	"0"	"0"	""	"0"	"4"	"17"	""	"-582"	""	"0"	""	"-582"	""	"0"
"143"	""	"89"	"14"	"339"	"60"	"1"	"7"	"119"	"2"	"0"	"27"	"3"	"0"	"1"	"3"	""	"1"	"4"	"6"	""	"-587"	""	"0"	""	"-587"	""	"0"
"144"	""	"90"	"15"	"583"	"6"	"4"	"25"	"11"	"1"	"0"	"3"	"0"	"0"	"0"	"2"	""	"0"	"1"	"1"	""	"-652"	""	"0"	""	"-652"	""	"0"
"145"	""	"91"	"12"	"354"	"59"	"32"	"7"	"13"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	""	"0"	"2"	"6"	""	"-491"	""	"0"	""	"-491"	""	"0"
"146"	""	"92"	"2"	"281"	"81"	"5"	"8"	"47"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	""	"0"	"0"	"3"	""	"-433"	""	"0"	""	"-433"	""	"0"
"147"	""	"93"	"97"	"18"	"2"	"7"	"2"	"262"	"6"	"0"	"1"	"0"	"2"	"2"	"1"	""	"5"	"0"	"67"	""	"-472"	""	"0"	""	"-472"	""	"0"
"148"	""	"94"	"0"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"0"	"0"	""	"-8"	""	"0"	""	"-8"	""	"0"
"149"	""	"95"	"196"	"1"	"130"	"1"	"26"	"111"	"0"	"1"	"4"	"2"	"1"	"0"	"0"	""	"2"	"1"	"6"	""	"-482"	""	"0"	""	"-482"	""	"0"
"150"	""	"96"	"83"	"2"	"41"	"19"	"9"	"78"	"2"	"2"	"178"	"4"	"1"	"0"	"5"	""	"2"	"1"	"8"	""	"-435"	""	"0"	""	"-435"	""	"0"
"151"	""	"97"	"41"	"41"	"13"	"70"	"58"	"128"	"2"	"3"	"2"	"0"	"1"	"2"	"5"	""	"5"	"3"	"10"	""	"-384"	""	"0"	""	"-384"	""	"0"
"152"	""	"98"	"22"	"51"	"29"	"17"	"25"	"41"	"4"	"0"	"44"	"3"	"3"	"1"	"1"	""	"9"	"4"	"6"	""	"-260"	""	"0"	""	"-260"	""	"0"
"153"	"TOTAL"	""	"-504"	"-3696"	"-464"	"-197"	"-196"	"-1180"	"-27"	"-14"	"-318"	"-13"	"-9"	"-8"	"-20"	""	"-28"	"-22"	"-183"	""	"-6879"	""	"0"	""	"-6879"	""	"0"
"154"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"159"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"160"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"161"	"R
o u n d
8"	"99"	"2"	"27"	"4"	"1"	"78"	"36"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	""	"25"	"1"	"6"	""	"-190"	""	"0"	""	"-190"	""	"0"
"162"	""	"100"	"13"	"123"	"203"	"5"	"5"	"24"	"1"	"9"	"146"	"8"	"0"	"3"	"2"	""	"24"	"4"	"3"	""	"-573"	""	"0"	""	"-573"	""	"0"
"163"	""	"101"	"43"	"5"	"3"	"3"	"9"	"420"	"3"	"2"	"7"	"0"	"0"	"0"	"0"	""	"4"	"0"	"6"	""	"-505"	""	"0"	""	"-505"	""	"0"
"164"	""	"102"	"17"	"5"	"1"	"18"	"578"	"114"	"9"	"3"	"43"	"5"	"2"	"4"	"0"	""	"0"	"3"	"3"	""	"-805"	""	"0"	""	"-805"	""	"0"
"165"	""	"103"	"0"	"15"	"10"	"0"	"698"	"11"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"-743"	""	"0"	""	"-743"	""	"0"
"166"	""	"104"	"7"	"0"	"13"	"5"	"3"	"4"	"0"	"0"	"7"	"0"	"0"	"1"	"0"	""	"1"	"3"	"468"	""	"-512"	""	"0"	""	"-512"	""	"0"
"167"	""	"105"	"1"	"4"	"9"	"1"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"2"	"0"	"638"	""	"-672"	""	"0"	""	"-672"	""	"0"
"168"	""	"106"	"16"	"8"	"159"	"1"	"5"	"73"	"1"	"0"	"167"	"1"	"0"	"2"	"4"	""	"29"	"4"	"39"	""	"-509"	""	"0"	""	"-509"	""	"0"
"169"	""	"107"	"5"	"5"	"92"	"1"	"0"	"80"	"1"	"0"	"3"	"1"	"2"	"1"	"0"	""	"15"	"0"	"316"	""	"-522"	""	"0"	""	"-522"	""	"0"
"170"	""	"108"	"12"	"4"	"88"	"6"	"1"	"79"	"1"	"2"	"83"	"1"	"0"	"1"	"1"	""	"2"	"0"	"112"	""	"-393"	""	"0"	""	"-393"	""	"0"
"171"	""	"109"	"27"	"4"	"40"	"53"	"24"	"38"	"3"	"30"	"250"	"9"	"3"	"3"	"6"	""	"15"	"13"	"163"	""	"-681"	""	"0"	""	"-681"	""	"0"
"172"	""	"110"	"23"	"6"	"24"	"3"	"117"	"73"	"7"	"4"	"74"	"3"	"4"	"7"	"3"	""	"4"	"3"	"143"	""	"-498"	""	"0"	""	"-498"	""	"0"
"173"	""	"111"	"68"	"25"	"30"	"7"	"22"	"87"	"5"	"10"	"199"	"6"	"1"	"1"	"6"	""	"11"	"9"	"110"	""	"-597"	""	"0"	""	"-597"	""	"0"
"174"	""	"112®"	"75"	"10"	"27"	"14"	"244"	"40"	"1"	"7"	"10"	"1"	"2"	"8"	"2"	""	"4"	"0"	"8"	""	"-453"	""	"0"	""	"-453"	""	"0"
"175"	"TOTAL"	""	"-309"	"-241"	"-703"	"-118"	"-1788"	"-1092"	"-42"	"-69"	"-990"	"-35"	"-15"	"-33"	"-27"	""	"-136"	"-40"	"-2015"	""	"-7653"	""	"0"	""	"-7653"	""	"0"
"176"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"181"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"183"	"R
o u n d
9"	"113"	"98"	"32"	"15"	"57"	"101"	"110"	"6"	"3"	"6"	"2"	"7"	"6"	"7"	""	"6"	"4"	"15"	""	"-475"	""	"0"	""	"-475"	""	"0"
"184"	""	"114"	"44"	"5"	"19"	"4"	"173"	"158"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	""	"2"	"0"	"1"	""	"-412"	""	"0"	""	"-412"	""	"0"
"185"	""	"115"	"0"	"14"	"1"	"2"	"151"	"47"	"0"	"1"	"11"	"0"	"0"	"2"	"0"	""	"0"	"0"	"2"	""	"-231"	""	"0"	""	"-231"	""	"0"
"186"	""	"116"	"0"	"0"	"49"	"33"	"443"	"75"	"2"	"0"	"2"	"2"	"0"	"2"	"1"	""	"0"	"0"	"6"	""	"-615"	""	"0"	""	"-615"	""	"0"
"187"	""	"117"	"3"	"0"	"0"	"0"	"244"	"11"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"-260"	""	"0"	""	"-260"	""	"0"
"188"	""	"118"	"0"	"0"	"15"	"2"	"217"	"115"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	""	"0"	"0"	"5"	""	"-356"	""	"0"	""	"-356"	""	"0"
"189"	""	"119"	"236"	"16"	"24"	"18"	"74"	"41"	"1"	"1"	"29"	"1"	"0"	"3"	"0"	""	"2"	"2"	"22"	""	"-470"	""	"0"	""	"-470"	""	"0"
"190"	""	"120"	"8"	"10"	"100"	"33"	"11"	"55"	"0"	"0"	"30"	"0"	"0"	"1"	"0"	""	"2"	"0"	"59"	""	"-309"	""	"0"	""	"-309"	""	"0"
"191"	""	"121"	"6"	"1"	"4"	"12"	"3"	"535"	"1"	"1"	"26"	"0"	"0"	"1"	"5"	""	"2"	"0"	"23"	""	"-620"	""	"0"	""	"-620"	""	"0"
"192"	""	"122"	"37"	"13"	"149"	"31"	"6"	"194"	"2"	"4"	"34"	"0"	"0"	"1"	"0"	""	"2"	"1"	"9"	""	"-483"	""	"0"	""	"-483"	""	"0"
"193"	""	"123"	"8"	"64"	"127"	"5"	"14"	"34"	"4"	"1"	"74"	"2"	"7"	"0"	"0"	""	"0"	"0"	"45"	""	"-385"	""	"0"	""	"-385"	""	"0"
"194"	""	"124"	"74"	"40"	"170"	"71"	"20"	"154"	"3"	"4"	"229"	"0"	"3"	"2"	"0"	""	"33"	"0"	"4"	""	"-807"	""	"0"	""	"-807"	""	"0"
"195"	""	"125"	"23"	"9"	"64"	"44"	"193"	"59"	"1"	"3"	"12"	"5"	"2"	"3"	"2"	""	"3"	"1"	"9"	""	"-433"	""	"0"	""	"-433"	""	"0"
"196"	""	"126"	"7"	"2"	"10"	"55"	"26"	"209"	"4"	"1"	"2"	"1"	"1"	"3"	"2"	""	"0"	"2"	"40"	""	"-365"	""	"0"	""	"-365"	""	"0"
"197"	"TOTAL"	""	"-544"	"-206"	"-747"	"-367"	"-1676"	"-1797"	"-26"	"-22"	"-459"	"-14"	"-20"	"-24"	"-17"	""	"-52"	"-10"	"-240"	""	"-6221"	""	"0"	""	"-6221"	""	"0"
"198"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"203"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"204"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"205"	"R
o u n d
1
0"	"127®"	"13"	"4"	"115"	"38"	"12"	"231"	"2"	"9"	"2"	"1"	"1"	"3"	"2"	""	"13"	"5"	"12"	""	"-463"	""	"0"	""	"-463"	""	"0"
"206"	""	"128"	"19"	"13"	"135"	"105"	"48"	"265"	"10"	"1"	"2"	"3"	"5"	"5"	"3"	""	"14"	"6"	"20"	""	"-654"	""	"0"	""	"-654"	""	"0"
"207"	""	"129"	"14"	"26"	"94"	"124"	"36"	"245"	"4"	"10"	"6"	"0"	"2"	"3"	"1"	""	"1"	"1"	"25"	""	"-592"	""	"0"	""	"-592"	""	"0"
"208"	""	"130"	"52"	"2"	"129"	"2"	"17"	"186"	"6"	"1"	"2"	"0"	"1"	"3"	"1"	""	"5"	"1"	"34"	""	"-442"	""	"0"	""	"-442"	""	"0"
"209"	""	"131"	"13"	"1"	"48"	"56"	"4"	"349"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"0"	"28"	""	"-501"	""	"0"	""	"-501"	""	"0"
"210"	""	"132"	"15"	"41"	"33"	"5"	"22"	"147"	"17"	"0"	"2"	"2"	"1"	"0"	"1"	""	"1"	"1"	"3"	""	"-291"	""	"0"	""	"-291"	""	"0"
"211"	""	"133"	"52"	"8"	"7"	"3"	"43"	"360"	"13"	"0"	"0"	"0"	"1"	"2"	"0"	""	"4"	"3"	"18"	""	"-514"	""	"0"	""	"-514"	""	"0"
"212"	""	"134"	"88"	"3"	"0"	"1"	"0"	"91"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	""	"0"	"0"	"2"	""	"-186"	""	"0"	""	"-186"	""	"0"
"213"	""	"135"	"8"	"9"	"47"	"68"	"1"	"198"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	""	"2"	"1"	"10"	""	"-346"	""	"0"	""	"-346"	""	"0"
"214"	""	"136"	"41"	"26"	"67"	"127"	"88"	"210"	"6"	"4"	"32"	"4"	"4"	"0"	"6"	""	"10"	"2"	"11"	""	"-638"	""	"0"	""	"-638"	""	"0"
"215"	""	"137"	"29"	"79"	"31"	"116"	"74"	"154"	"9"	"4"	"46"	"3"	"6"	"3"	"3"	""	"2"	"7"	"9"	""	"-575"	""	"0"	""	"-575"	""	"0"
"216"	""	"138®"	"6"	"26"	"84"	"6"	"142"	"56"	"0"	"7"	"5"	"2"	"3"	"13"	"2"	""	"5"	"2"	"9"	""	"-368"	""	"0"	""	"-368"	""	"0"
"217"	""	"139"	"3"	"2"	"50"	"6"	"24"	"108"	"1"	"0"	"41"	"1"	"2"	"1"	"0"	""	"18"	"0"	"1"	""	"-258"	""	"0"	""	"-258"	""	"0"
"218"	""	"140"	"4"	"0"	"1"	"20"	"2"	"427"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	""	"0"	"0"	"1"	""	"-458"	""	"0"	""	"-458"	""	"0"
"219"	"TOTAL"	""	"-357"	"-240"	"-841"	"-677"	"-513"	"-3027"	"-71"	"-37"	"-138"	"-16"	"-26"	"-35"	"-20"	""	"-76"	"-29"	"-183"	""	"-6286"	""	"0"	""	"-6286"	""	"0"
"220"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"225"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"226"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"227"	"R
o u n d
1
1"	"141"	"171"	"73"	"248"	"42"	"19"	"100"	"3"	"4"	"7"	"3"	"3"	"4"	"4"	""	"24"	"4"	"10"	""	"-719"	""	"0"	""	"-719"	""	"0"
"228"	""	"142"	"169"	"80"	"85"	"91"	"13"	"114"	"1"	"7"	"10"	"6"	"2"	"7"	"8"	""	"16"	"11"	"26"	""	"-646"	""	"0"	""	"-646"	""	"0"
"229"	""	"143"	"162"	"93"	"184"	"32"	"10"	"212"	"27"	"3"	"7"	"2"	"3"	"0"	"7"	""	"29"	"7"	"76"	""	"-854"	""	"0"	""	"-854"	""	"0"
"230"	""	"144"	"1"	"1"	"15"	"14"	"95"	"184"	"2"	"0"	"0"	"2"	"1"	"2"	"2"	""	"1"	"1"	"56"	""	"-377"	""	"0"	""	"-377"	""	"0"
"231"	""	"145"	"35"	"13"	"16"	"6"	"38"	"225"	"3"	"1"	"0"	"1"	"0"	"1"	"17"	""	"2"	"2"	"133"	""	"-493"	""	"0"	""	"-493"	""	"0"
"232"	""	"146"	"12"	"82"	"38"	"140"	"49"	"220"	"3"	"1"	"1"	"0"	"3"	"4"	"17"	""	"1"	"0"	"7"	""	"-578"	""	"0"	""	"-578"	""	"0"
"233"	""	"147"	"15"	"327"	"28"	"35"	"2"	"24"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	""	"4"	"4"	"4"	""	"-449"	""	"0"	""	"-449"	""	"0"
"234"	""	"148"	"57"	"19"	"0"	"27"	"1"	"261"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"0"	"116"	""	"-482"	""	"0"	""	"-482"	""	"0"
"235"	""	"149"	"56"	"1"	"1"	"17"	"6"	"252"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	""	"0"	"1"	"49"	""	"-385"	""	"0"	""	"-385"	""	"0"
"236"	""	"150"	"24"	"92"	"47"	"107"	"15"	"31"	"3"	"2"	"74"	"3"	"4"	"2"	"6"	""	"6"	"3"	"6"	""	"-425"	""	"0"	""	"-425"	""	"0"
"237"	""	"151"	"2"	"58"	"513"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"4"	"0"	"2"	""	"-602"	""	"0"	""	"-602"	""	"0"
"238"	""	"152"	"6"	"11"	"573"	"7"	"5"	"6"	"1"	"4"	"2"	"1"	"1"	"0"	"5"	""	"6"	"0"	"9"	""	"-637"	""	"0"	""	"-637"	""	"0"
"239"	""	"153"	"3"	"5"	"454"	"3"	"23"	"19"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	""	"0"	"0"	"0"	""	"-512"	""	"0"	""	"-512"	""	"0"
"240"	""	"154"	"7"	"70"	"87"	"7"	"55"	"437"	"4"	"0"	"2"	"1"	"1"	"0"	"2"	""	"35"	"0"	"16"	""	"-724"	""	"0"	""	"-724"	""	"0"
"241"	"TOTAL"	""	"-720"	"-925"	"-2289"	"-530"	"-332"	"-2105"	"-50"	"-23"	"-105"	"-20"	"-18"	"-24"	"-70"	""	"-129"	"-33"	"-510"	""	"-7883"	""	"0"	""	"-7883"	""	"0"
"242"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"247"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"248"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"249"	"R
o u n d
1
2"	"155"	"4"	"4"	"2"	"45"	"125"	"104"	"52"	"4"	"7"	"3"	"8"	"6"	"0"	""	"4"	"3"	"7"	""	"-378"	""	"0"	""	"-378"	""	"0"
"250"	""	"156"	"2"	"1"	"0"	"0"	"445"	"14"	"9"	"0"	"1"	"0"	"1"	"13"	"0"	""	"1"	"0"	"9"	""	"-496"	""	"0"	""	"-496"	""	"0"
"251"	""	"157"	"8"	"3"	"7"	"9"	"190"	"286"	"5"	"1"	"0"	"0"	"2"	"5"	"5"	""	"1"	"1"	"3"	""	"-526"	""	"0"	""	"-526"	""	"0"
"252"	""	"158"	"1"	"8"	"292"	"7"	"42"	"57"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	""	"3"	"0"	"0"	""	"-413"	""	"0"	""	"-413"	""	"0"
