"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency 194010                                                  Round No. 1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"214"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-11"	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"218"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"219"	"141"	"650"	"8"	"28"	"51"	"2"	"1"	"0"	"5"	"745"	"0"	"745"	"0"
"220"	"142"	"98"	"13"	"34"	"287"	"4"	"2"	"13"	"7"	"458"	"0"	"458"	"0"
"221"	"143"	"187"	"5"	"111"	"279"	"9"	"1"	"7"	"11"	"610"	"0"	"610"	"0"
"222"	"144"	"261"	"14"	"81"	"119"	"6"	"9"	"6"	"34"	"530"	"0"	"530"	"0"
"223"	"145"	"232"	"2"	"41"	"64"	"0"	"2"	"2"	"2"	"345"	"0"	"345"	"0"
"224"	"146"	"365"	"12"	"71"	"126"	"6"	"3"	"5"	"7"	"595"	"0"	"595"	"0"
"225"	"147"	"148"	"14"	"192"	"132"	"8"	"5"	"2"	"5"	"506"	"0"	"506"	"0"
"226"	"148"	"294"	"12"	"17"	"268"	"8"	"1"	"11"	"13"	"624"	"0"	"624"	"0"
"227"	"149"	"210"	"18"	"19"	"213"	"16"	"6"	"16"	"18"	"516"	"0"	"516"	"0"
"228"	"150"	"235"	"11"	"205"	"110"	"10"	"6"	"6"	"21"	"604"	"0"	"604"	"0"
"229"	"151"	"215"	"15"	"243"	"174"	"9"	"6"	"5"	"14"	"681"	"0"	"681"	"0"
"230"	"152"	"181"	"23"	"103"	"231"	"15"	"5"	"20"	"8"	"586"	"0"	"586"	"0"
"231"	"153"	"351"	"0"	"5"	"24"	"0"	"0"	"0"	"1"	"381"	"0"	"381"	"0"
"232"	"154"	"385"	"1"	"7"	"4"	"0"	"0"	"1"	"1"	"399"	"0"	"399"	"0"
"233"	"Round
Total"	"3812"	"148"	"1157"	"2082"	"93"	"47"	"94"	"147"	"7580"	"0"	"7580"	"0"
"234"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-12"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"239"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"240"	"155"	"276"	"32"	"81"	"82"	"12"	"4"	"15"	"15"	"517"	"0"	"517"	"0"
"241"	"156"	"372"	"34"	"55"	"50"	"5"	"9"	"21"	"72"	"618"	"0"	"618"	"0"
"242"	"157"	"245"	"16"	"15"	"127"	"5"	"4"	"11"	"18"	"441"	"0"	"441"	"0"
"243"	"158"	"190"	"12"	"56"	"42"	"2"	"1"	"2"	"5"	"310"	"0"	"310"	"0"
"244"	"159"	"251"	"4"	"98"	"62"	"2"	"0"	"2"	"2"	"421"	"0"	"421"	"0"
"245"	"160"	"330"	"15"	"35"	"56"	"6"	"7"	"8"	"13"	"470"	"0"	"470"	"0"
"246"	"161"	"210"	"19"	"17"	"270"	"14"	"3"	"10"	"7"	"550"	"0"	"550"	"0"
"247"	"162"	"103"	"2"	"43"	"348"	"4"	"2"	"8"	"1"	"511"	"0"	"511"	"0"
"248"	"163"	"437"	"10"	"97"	"27"	"1"	"2"	"4"	"2"	"580"	"0"	"580"	"0"
"249"	"164"	"62"	"14"	"168"	"152"	"10"	"8"	"7"	"20"	"441"	"0"	"441"	"0"
"250"	"165"	"119"	"8"	"135"	"70"	"2"	"3"	"5"	"5"	"347"	"0"	"347"	"0"
"251"	"166"	"187"	"31"	"184"	"99"	"13"	"9"	"20"	"39"	"582"	"0"	"582"	"0"
"252"	"167"	"560"	"43"	"151"	"51"	"4"	"4"	"10"	"10"	"833"	"0"	"833"	"0"
"253"	"168"	"658"	"2"	"15"	"11"	"1"	"2"	"3"	"9"	"701"	"0"	"701"	"0"
"254"	"Round
Total"	"4000"	"242"	"1150"	"1447"	"81"	"58"	"126"	"218"	"7322"	"0"	"7322"	"0"
"255"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-13"	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"260"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"261"	"169"	"230"	"42"	"125"	"117"	"10"	"9"	"14"	"17"	"564"	"0"	"564"	"0"
"262"	"170"	"479"	"19"	"21"	"8"	"6"	"1"	"2"	"7"	"543"	"0"	"543"	"0"
"263"	"171"	"224"	"24"	"130"	"20"	"8"	"3"	"4"	"8"	"421"	"0"	"421"	"0"
"264"	"172"	"320"	"3"	"43"	"1"	"1"	"0"	"1"	"1"	"370"	"0"	"370"	"0"
"265"	"173"	"312"	"5"	"19"	"37"	"1"	"2"	"2"	"3"	"381"	"0"	"381"	"0"
"266"	"174"	"174"	"22"	"251"	"36"	"13"	"10"	"10"	"13"	"529"	"0"	"529"	"0"
"267"	"175"	"292"	"25"	"269"	"44"	"12"	"12"	"13"	"50"	"717"	"0"	"717"	"0"
"268"	"176"	"67"	"17"	"283"	"67"	"4"	"5"	"9"	"19"	"471"	"0"	"471"	"0"
"269"	"177"	"203"	"36"	"255"	"74"	"15"	"10"	"10"	"29"	"632"	"0"	"632"	"0"
"270"	"178"	"81"	"26"	"220"	"282"	"13"	"8"	"15"	"11"	"656"	"0"	"656"	"0"
"271"	"179"	"157"	"18"	"251"	"39"	"10"	"8"	"9"	"28"	"520"	"0"	"520"	"0"
"272"	"180"	"35"	"13"	"190"	"94"	"5"	"5"	"8"	"6"	"356"	"0"	"356"	"0"
"273"	"181"	"330"	"5"	"9"	"19"	"2"	"2"	"0"	"8"	"375"	"0"	"375"	"0"
"274"	"182"	"93"	"6"	"194"	"69"	"9"	"5"	"6"	"21"	"403"	"0"	"403"	"0"
"275"	"Round
Total"	"2997"	"261"	"2260"	"907"	"109"	"80"	"103"	"221"	"6938"	"0"	"6938"	"0"
"276"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-14"	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"281"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"282"	"183"	"193"	"17"	"52"	"216"	"11"	"7"	"15"	"29"	"540"	"0"	"540"	"0"
"283"	"184"	"148"	"13"	"267"	"28"	"8"	"4"	"7"	"18"	"493"	"0"	"493"	"0"
"284"	"185"	"146"	"15"	"113"	"42"	"9"	"2"	"6"	"10"	"343"	"0"	"343"	"0"
"285"	"186"	"279"	"24"	"162"	"71"	"13"	"8"	"9"	"39"	"605"	"0"	"605"	"0"
"286"	"187"	"162"	"15"	"178"	"39"	"13"	"12"	"14"	"28"	"461"	"0"	"461"	"0"
"287"	"188"	"135"	"5"	"6"	"134"	"5"	"3"	"3"	"3"	"294"	"0"	"294"	"0"
"288"	"189"	"321"	"7"	"131"	"55"	"5"	"7"	"7"	"8"	"541"	"0"	"541"	"0"
"289"	"190"	"118"	"9"	"411"	"39"	"12"	"14"	"7"	"21"	"631"	"0"	"631"	"0"
"290"	"191"	"888"	"1"	"7"	"5"	"0"	"0"	"0"	"0"	"901"	"0"	"901"	"0"
"291"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
"292"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
"293"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
"294"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
"295"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
"296"	"Round
Total"	"2390"	"106"	"1327"	"629"	"76"	"57"	"68"	"156"	"4809"	"0"	"4809"	"0"
