"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Tender.ed.Votes"
"156"	"101"	"izkFkfed fo|ky;] ,djka;"	"6"	"12"	"101"	"9"	"6"	"4"	"103"	"24"	"3"	"21"	"1"	"2"	"292"	""
"157"	"102"	"izkFkfed fo|ky;] bZVgjk"	"31"	"291"	"40"	"8"	"0"	"1"	"2"	"12"	"3"	"49"	"6"	"3"	"446"	""
"158"	"103"	"izkFkfed fo|ky;] taxyhch?kk"	"8"	"178"	"22"	"3"	"3"	"3"	"6"	"17"	"5"	"10"	"7"	"5"	"267"	""
"159"	"Total No. of votes recorded at Polling Stations"	""	"268"	"1399"	"1142"	"97"	"43"	"41"	"674"	"215"	"66"	"414"	"54"	"102"	"4515"	"0"
"160"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"163"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"165"	"104"	"e/; fo|ky;] cjlk"	"0"	"2"	"560"	"3"	"0"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"575"	""
"166"	"105"	"izkFkfed fo|ky;] lqedk"	"2"	"485"	"2"	"0"	"0"	"0"	"18"	"1"	"1"	"0"	"0"	"0"	"509"	""
"167"	"106"	"izkFkfed fo|ky;] pksjoj"	"10"	"174"	"76"	"11"	"0"	"1"	"12"	"13"	"8"	"1"	"1"	"2"	"309"	""
"168"	"107"	"gfjtu lkeqnkf;d Hkou] pksjoj"	"3"	"73"	"92"	"8"	"1"	"0"	"5"	"0"	"0"	"0"	"2"	"1"	"185"	""
"169"	"108"	"izkFkfed fo|ky;] c:.kh"	"3"	"46"	"19"	"2"	"0"	"3"	"8"	"58"	"1"	"355"	"1"	"2"	"498"	""
"170"	"109"	"iapk;r Hkou] pks<+njxkg"	"23"	"85"	"129"	"8"	"7"	"5"	"11"	"10"	"6"	"62"	"4"	"21"	"371"	""
"171"	"110"	"izkFkfed fo|ky;] pks<+njxkg"	"5"	"86"	"59"	"6"	"4"	"16"	"163"	"6"	"5"	"89"	"5"	"7"	"451"	""
"172"	"111"	"izkFkfed fo|ky;] Qqypks<"	"0"	"6"	"4"	"0"	"0"	"0"	"2"	"0"	"0"	"803"	"0"	"1"	"816"	""
"173"	"112"	"e/; fo|ky;] lksgnh"	"17"	"60"	"62"	"3"	"3"	"5"	"186"	"25"	"4"	"50"	"1"	"11"	"427"	""
"174"	"113"	"izkFkfed fo|ky;] xksgnk"	"23"	"221"	"122"	"19"	"4"	"3"	"24"	"19"	"3"	"10"	"8"	"15"	"471"	""
"175"	"114"	"izkFkfed fo|ky;] j?kqukFkiqj"	"11"	"243"	"11"	"1"	"1"	"4"	"96"	"4"	"5"	"2"	"1"	"5"	"384"	""
"176"	"115"	"izkFkfed fo|ky;] nkmniqj bVkok"	"6"	"21"	"27"	"0"	"2"	"23"	"23"	"19"	"4"	"17"	"3"	"9"	"154"	""
"177"	"Total No. of votes recorded at Polling Stations"	""	"103"	"1502"	"1163"	"61"	"22"	"60"	"549"	"164"	"37"	"1389"	"26"	"74"	"5150"	"0"
"178"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"181"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"183"	"116"	"izkFkfed fo|ky;] c:.kk"	"3"	"47"	"155"	"10"	"0"	"29"	"68"	"8"	"3"	"90"	"2"	"11"	"426"	""
"184"	"117"	"izkFkfed fo|ky;] elkS<+k"	"20"	"25"	"85"	"4"	"3"	"6"	"61"	"9"	"8"	"68"	"2"	"9"	"300"	""
"185"	"118"	"e/; fo|ky; psokM+k"	"3"	"5"	"222"	"11"	"0"	"3"	"12"	"17"	"5"	"185"	"4"	"44"	"511"	""
"186"	"119"	"mPp fo|ky; psokM+k"	"5"	"1"	"95"	"4"	"1"	"4"	"7"	"10"	"2"	"582"	"6"	"27"	"744"	""
"187"	"120"	"iapk;r Hkou psokM+k"	"5"	"5"	"149"	"4"	"0"	"5"	"3"	"20"	"5"	"155"	"1"	"17"	"369"	""
"188"	"121"	"izkFkfed fo|ky;] cgqvkjk"	"26"	"42"	"201"	"10"	"4"	"5"	"11"	"38"	"3"	"115"	"5"	"10"	"470"	""
"189"	"122"	"izkFkfed fo|ky;] jkadM+"	"1"	"1"	"221"	"3"	"2"	"0"	"1"	"4"	"1"	"42"	"2"	"7"	"285"	""
"190"	"123"	"izkFkfed fo|ky; fl;kuh"	"41"	"9"	"82"	"5"	"4"	"5"	"144"	"72"	"7"	"10"	"2"	"20"	"401"	""
"191"	"123 d"	"izkFkfed fo|ky; fl;kuh"	"103"	"12"	"50"	"11"	"5"	"7"	"109"	"32"	"3"	"14"	"5"	"14"	"365"	""
"192"	"124"	"izkFkfed fo|yk; dqjeqjh"	"16"	"38"	"109"	"9"	"12"	"27"	"25"	"41"	"13"	"79"	"10"	"25"	"404"	""
"193"	"125"	"e/; fo|ky; dj.Ms"	"5"	"17"	"588"	"5"	"2"	"1"	"9"	"3"	"0"	"125"	"3"	"5"	"763"	""
"194"	"126"	"e/; fo|ky; cssyNh"	"2"	"4"	"723"	"2"	"0"	"0"	"11"	"8"	"0"	"1"	"0"	"1"	"752"	""
"195"	"Total No. of votes recorded at Polling Stations"	""	"230"	"206"	"2680"	"78"	"33"	"92"	"461"	"262"	"50"	"1466"	"42"	"190"	"5790"	"0"
"196"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"199"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"201"	"127"	"izkFkfed fo|ky; mdlh"	"13"	"30"	"30"	"4"	"4"	"6"	"159"	"41"	"5"	"12"	"1"	"5"	"310"	""
"202"	"128"	"izkFkfed fo|ky; NfB;kjk"	"1"	"830"	"14"	"4"	"3"	"2"	"8"	"32"	"2"	"3"	"0"	"2"	"901"	""
"203"	"129"	"e/; fo|ky; yqVkSr"	"3"	"47"	"202"	"18"	"1"	"2"	"27"	"17"	"5"	"5"	"1"	"9"	"337"	""
"204"	"130"	"iapk;r Hkou yqVkSr"	"3"	"3"	"180"	"2"	"2"	"4"	"37"	"41"	"0"	"3"	"3"	"3"	"281"	""
"205"	"131"	"e/; fo|ky; diklh"	"6"	"13"	"237"	"6"	"1"	"2"	"1"	"2"	"0"	"2"	"3"	"0"	"273"	""
"206"	"131 d"	"e/; fo|ky; diklh"	"2"	"28"	"85"	"5"	"0"	"2"	"5"	"11"	"1"	"50"	"3"	"6"	"198"	""
"207"	"132"	"izkFkfed fo|ky; fla>kSM+h"	"10"	"30"	"29"	"2"	"3"	"6"	"117"	"60"	"13"	"51"	"5"	"23"	"349"	""
"208"	"132 d"	"izkFkfed fo|ky; fla>kSM+h"	"1"	"1"	"111"	"4"	"0"	"0"	"12"	"4"	"2"	"14"	"0"	"2"	"151"	""
"209"	"133"	"iapk;r Hkou pdUnjk"	"29"	"2"	"170"	"4"	"0"	"2"	"2"	"28"	"4"	"31"	"1"	"8"	"281"	""
"210"	"134"	"izkFkfed fo|ky; clUr"	"97"	"60"	"83"	"4"	"4"	"2"	"76"	"13"	"3"	"15"	"0"	"1"	"358"	""
"211"	"135"	"izkFkfed fo|ky; pdUnjk"	"73"	"100"	"175"	"11"	"1"	"9"	"14"	"22"	"3"	"35"	"5"	"7"	"455"	""
"212"	"136"	"e/; fo|ky; vUnkSyh"	"7"	"10"	"243"	"6"	"2"	"1"	"11"	"4"	"6"	"44"	"6"	"36"	"376"	""
"213"	"Total No. of votes recorded at Polling Stations"	""	"245"	"1154"	"1559"	"70"	"21"	"38"	"469"	"275"	"44"	"265"	"28"	"102"	"4270"	"0"
"214"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"217"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"219"	"137"	"izkFkfed fo|ky; ekus"	"149"	"9"	"155"	"9"	"2"	"3"	"4"	"34"	"1"	"38"	"2"	"19"	"425"	""
"220"	"138"	"izkFkfed fo|ky; cjkjh"	"49"	"7"	"98"	"5"	"4"	"3"	"6"	"34"	"1"	"24"	"4"	"29"	"264"	""
"221"	"139"	"e/; fo|ky; ,dk<+k"	"0"	"2"	"592"	"1"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"601"	""
"222"	"140"	"mPp fo|ky; ,dk<+k"	"7"	"6"	"96"	"3"	"0"	"1"	"9"	"5"	"2"	"129"	"8"	"18"	"284"	""
"223"	"141"	"e/; fo|ky; yksgku ¼mÙkjh Hkkx½"	"2"	"7"	"686"	"3"	"1"	"0"	"4"	"0"	"0"	"3"	"0"	"1"	"707"	""
"224"	"142"	"e/; fo|ky; yksgku ¼nf{k.kh Hkkx½"	"2"	"6"	"479"	"4"	"1"	"3"	"3"	"7"	"4"	"25"	"0"	"7"	"541"	""
"225"	"143"	"izkFkfed fo|ky; Hkyqvk"	"24"	"9"	"26"	"9"	"7"	"49"	"12"	"36"	"16"	"246"	"6"	"30"	"470"	""
"226"	"144"	"izkFkfed fo|ky; csy[kq.Mh"	"10"	"24"	"40"	"5"	"1"	"15"	"62"	"13"	"10"	"104"	"11"	"36"	"331"	""
"227"	"145"	"izkFkfed fo|ky; dsejk"	"0"	"5"	"578"	"0"	"0"	"0"	"1"	"1"	"0"	"6"	"0"	"0"	"591"	""
"228"	"146"	"izkFkfed fo|ky; ,djkek"	"10"	"74"	"198"	"7"	"1"	"72"	"3"	"56"	"1"	"71"	"1"	"7"	"501"	""
"229"	"147"	"iapk;r Hkou ,djkek"	"1"	"10"	"5"	"1"	"0"	"3"	"2"	"25"	"1"	"57"	"0"	"6"	"111"	""
"230"	"148"	"izkFkfed fo|ky; jtkSjk"	"0"	"4"	"64"	"0"	"0"	"4"	"1"	"41"	"1"	"36"	"0"	"6"	"157"	""
"231"	"Total No. of votes recorded at Polling Stations"	""	"254"	"163"	"3017"	"47"	"17"	"153"	"107"	"253"	"37"	"744"	"32"	"159"	"4983"	"0"
"232"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"235"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"236"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"237"	"148 d"	"izkFkfed fo|ky; xMqvk"	"2"	"57"	"220"	"5"	"1"	"3"	"1"	"1"	"3"	"13"	"1"	"5"	"312"	""
"238"	"149"	"izkFkfed fo|ky; /kkjh"	"76"	"63"	"86"	"9"	"4"	"8"	"44"	"84"	"11"	"39"	"7"	"21"	"452"	""
"239"	"150"	"izkFkfed fo|ky; yguk"	"19"	"10"	"93"	"5"	"1"	"14"	"144"	"24"	"7"	"92"	"2"	"17"	"428"	""
"240"	"151"	"izkFkfed fo|ky; vLFkkok¡"	"8"	"7"	"40"	"3"	"3"	"3"	"117"	"124"	"3"	"94"	"1"	"6"	"409"	""
"241"	"152"	"izkFkfed fo|ky; fr;k;"	"13"	"13"	"118"	"3"	"2"	"4"	"133"	"29"	"3"	"33"	"4"	"15"	"370"	""
"242"	"153"	"izkFkfed fo|ky; caasxwpk"	"2"	"50"	"110"	"6"	"5"	"0"	"7"	"36"	"2"	"166"	"5"	"15"	"404"	""
"243"	"154"	"izk0 fo0 ykyiqj"	"9"	"14"	"70"	"4"	"1"	"4"	"119"	"113"	"7"	"23"	"5"	"21"	"390"	""
"244"	"155"	"izk0 fo0 xkSjk ¼n0 Hkk0½"	"27"	"59"	"167"	"10"	"5"	"6"	"159"	"126"	"6"	"10"	"4"	"14"	"593"	""
"245"	"156"	"izk0 fo0 fiijk"	"7"	"2"	"351"	"12"	"1"	"2"	"5"	"9"	"3"	"14"	"2"	"15"	"423"	""
"246"	"157"	"izk0 fo0 nkeksnjiqj"	"0"	"3"	"48"	"6"	"2"	"7"	"2"	"151"	"1"	"69"	"2"	"5"	"296"	""
"247"	"158"	"izk0 fo0 dfu;kjh"	"14"	"227"	"78"	"11"	"3"	"2"	"0"	"5"	"4"	"16"	"3"	"3"	"366"	""
"248"	"159"	"izk0 fo0 euiqjk"	"15"	"89"	"108"	"15"	"6"	"13"	"23"	"48"	"11"	"92"	"19"	"62"	"501"	""
"249"	"Total No. of votes recorded at Polling Stations"	""	"192"	"594"	"1489"	"89"	"34"	"66"	"754"	"750"	"61"	"661"	"55"	"199"	"4944"	"0"
"250"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"253"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"255"	"160"	"e0 fo0 Hkou izrkiiqj"	"6"	"30"	"40"	"6"	"8"	"125"	"200"	"46"	"16"	"20"	"14"	"28"	"539"	""
"256"	"161"	"m0 fo0 izrkiiqj"	"12"	"71"	"61"	"6"	"7"	"41"	"312"	"19"	"9"	"11"	"4"	"18"	"571"	""
"257"	"162"	"izk0 fo0 ceqvkjk"	"27"	"9"	"68"	"7"	"4"	"22"	"65"	"35"	"11"	"44"	"7"	"17"	"316"	""
"258"	"163"	"izk0 fo0 Qrsgiqj"	"0"	"0"	"288"	"2"	"0"	"0"	"4"	"0"	"2"	"1"	"0"	"0"	"297"	""
"259"	"164"	"izk0 fo0 deSBk"	"22"	"107"	"57"	"10"	"1"	"2"	"20"	"1"	"2"	"47"	"3"	"6"	"278"	""
"260"	"165"	"izk0 fo0 [kqjh;kjh"	"5"	"6"	"39"	"2"	"4"	"284"	"14"	"5"	"2"	"2"	"1"	"3"	"367"	""
"261"	"166"	"izk0 fo0 'ks[kiqjok"	"3"	"28"	"64"	"1"	"3"	"135"	"16"	"23"	"3"	"8"	"2"	"6"	"292"	""
"262"	"167"	"izk0 fo0 ddjkSM+h"	"58"	"5"	"109"	"9"	"4"	"162"	"20"	"8"	"8"	"15"	"8"	"18"	"424"	""
"263"	"168"	"izk0 fo0 fx)k"	"7"	"79"	"41"	"8"	"8"	"449"	"43"	"3"	"1"	"8"	"7"	"11"	"665"	""
"264"	"169"	"izk0 fo0 dSUnh"	"0"	"262"	"178"	"19"	"4"	"43"	"97"	"5"	"15"	"9"	"3"	"8"	"643"	""
"265"	"170"	"izk0 fo0 Qrsgiqj"	"10"	"44"	"61"	"3"	"3"	"93"	"24"	"52"	"4"	"9"	"3"	"15"	"321"	""
"266"	"171"	"izk0 fo0 ekuiqj"	"4"	"124"	"154"	"11"	"3"	"139"	"8"	"7"	"7"	"4"	"1"	"6"	"468"	""
"267"	"Total No. of votes recorded at Polling Stations"	""	"154"	"765"	"1160"	"84"	"49"	"1495"	"823"	"204"	"80"	"178"	"53"	"136"	"5181"	"0"
"268"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"271"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"272"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"273"	"172"	"e0 fo0 cjNk"	"5"	"79"	"192"	"17"	"3"	"33"	"44"	"35"	"7"	"4"	"0"	"7"	"426"	""
"274"	"173"	"e0 fo0 uhek"	"4"	"13"	"531"	"1"	"1"	"2"	"18"	"1"	"1"	"9"	"2"	"6"	"589"	""
"275"	"174"	"m0 fo0 fctqy[kh"	"5"	"12"	"36"	"3"	"0"	"482"	"7"	"24"	"3"	"9"	"2"	"9"	"592"	""
"276"	"175"	"m0 fo0 ygqvkjk"	"5"	"28"	"83"	"2"	"5"	"10"	"41"	"16"	"5"	"23"	"2"	"16"	"236"	""
"277"	"176"	"e0 fo0 flj[k.Mh"	"65"	"34"	"121"	"12"	"6"	"8"	"17"	"39"	"3"	"8"	"4"	"9"	"326"	""
"278"	"177"	"laLd`r fo|ky; flj[k.Mh"	"24"	"77"	"98"	"7"	"4"	"6"	"188"	"77"	"15"	"11"	"13"	"27"	"547"	""
"279"	"178"	"e0 fo0 foYyks ¼m0 Hkk0½"	"11"	"8"	"88"	"7"	"3"	"8"	"62"	"54"	"4"	"53"	"2"	"15"	"315"	""
"280"	"179"	"e0 fo0 foYyks ¼n0 Hkk0½"	"5"	"18"	"56"	"2"	"3"	"3"	"224"	"32"	"4"	"31"	"1"	"7"	"386"	""
"281"	"180"	"izk0 fo0 dksyk"	"16"	"15"	"17"	"4"	"4"	"91"	"223"	"13"	"6"	"39"	"9"	"27"	"464"	""
"282"	"181"	"m0 fo0 ijlkok ¼iw0 Hkk0½"	"9"	"26"	"435"	"8"	"8"	"27"	"54"	"6"	"6"	"5"	"7"	"14"	"605"	""
"283"	"182"	"izk0 fo0 vdkSuh"	"11"	"3"	"79"	"4"	"4"	"39"	"77"	"27"	"5"	"32"	"10"	"19"	"310"	""
"284"	"183"	"l0 vfHk0 fu0 dk0] jkex<+ pkSd"	"13"	"60"	"202"	"8"	"6"	"64"	"31"	"65"	"4"	"13"	"11"	"13"	"490"	""
"285"	"Total No. of votes recorded at Polling Stations"	""	"173"	"373"	"1938"	"75"	"47"	"773"	"986"	"389"	"63"	"237"	"63"	"169"	"5286"	"0"
"286"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"289"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"290"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"291"	"184"	"izk0 fo0 bekeuxj lqjkjh"	"21"	"23"	"61"	"2"	"2"	"7"	"221"	"15"	"4"	"16"	"3"	"6"	"381"	""
"292"	"185"	"iapk;r Hkou bekeuxj lqjkjh"	"9"	"1"	"152"	"2"	"2"	"2"	"61"	"10"	"5"	"48"	"2"	"10"	"304"	""
"293"	"186"	"izk0 fo0 cfd;kckn"	"90"	"101"	"124"	"11"	"2"	"5"	"40"	"17"	"7"	"116"	"7"	"20"	"540"	""
"294"	"187"	"izk0 fo0 cM+gkjk ¼iw0 Hkk0½"	"3"	"38"	"130"	"6"	"4"	"3"	"14"	"29"	"4"	"8"	"3"	"7"	"249"	""
"295"	"188"	"izk0 fo0 cM+gkjk ¼i0 Hkk0½"	"12"	"9"	"95"	"5"	"3"	"2"	"16"	"45"	"3"	"27"	"5"	"12"	"234"	""
"296"	"189"	"izk0 fo0 jkeuxj"	"0"	"0"	"271"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	""
"297"	"190"	"izk0 fo0 cjrkjk"	"14"	"7"	"432"	"7"	"2"	"3"	"3"	"77"	"5"	"6"	"2"	"7"	"565"	""
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"303"	"Total No. of votes recorded at Polling Stations"	""	"149"	"179"	"1265"	"33"	"15"	"22"	"355"	"193"	"28"	"221"	"22"	"62"	"2544"	"0"
"304"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
