"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"219"	"169"	"87"	"263"	"5"	"33"	"9"	"2"	"2"	"2"	"6"	"409"	""	"409"	""
"220"	"170"	"280"	"85"	"5"	"71"	"11"	"5"	"4"	"2"	"6"	"469"	""	"469"	""
"221"	"171"	"63"	"435"	"15"	"11"	"4"	"2"	"0"	"4"	"1"	"535"	""	"535"	""
"222"	"172"	"156"	"208"	"8"	"28"	"5"	"2"	"3"	"7"	"6"	"423"	""	"423"	""
"223"	"173"	"80"	"164"	"4"	"37"	"4"	"8"	"3"	"7"	"7"	"314"	""	"314"	""
"224"	"174"	"133"	"48"	"51"	"141"	"10"	"6"	"5"	"2"	"10"	"406"	""	"406"	""
"225"	"175"	"103"	"128"	"32"	"71"	"77"	"8"	"9"	"11"	"23"	"462"	""	"462"	""
"226"	"176"	"35"	"114"	"10"	"382"	"15"	"10"	"5"	"4"	"9"	"584"	""	"584"	""
"227"	"177"	"5"	"228"	"7"	"84"	"3"	"3"	"0"	"3"	"7"	"340"	""	"340"	""
"228"	"178"	"30"	"302"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"338"	""	"338"	""
"229"	"179"	"241"	"162"	"13"	"40"	"8"	"2"	"8"	"11"	"30"	"515"	""	"515"	""
"230"	"180"	"143"	"487"	"6"	"19"	"2"	"2"	"3"	"8"	"8"	"678"	""	"678"	""
"231"	"181"	"23"	"74"	"13"	"17"	"3"	"0"	"1"	"151"	"17"	"299"	""	"299"	""
"232"	"182"	"394"	"77"	"10"	"9"	"2"	"4"	"4"	"2"	"6"	"508"	""	"508"	""
"233"	"Total Round 13"	"1773"	"2775"	"180"	"946"	"153"	"55"	"48"	"214"	"136"	"6280"	"0"	"6280"	"0"
"234"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 80 JHANJHARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"243"	"183"	"165"	"65"	"6"	"134"	"10"	"5"	"13"	"11"	"10"	"419"	""	"419"	""
"244"	"184"	"52"	"198"	"23"	"107"	"7"	"5"	"17"	"3"	"6"	"418"	""	"418"	""
"245"	"185"	"200"	"40"	"167"	"86"	"5"	"5"	"12"	"3"	"1"	"519"	""	"519"	""
"246"	"186"	"170"	"155"	"19"	"10"	"4"	"4"	"28"	"1"	"6"	"397"	""	"397"	""
"247"	"187"	"92"	"243"	"6"	"27"	"7"	"6"	"127"	"18"	"7"	"533"	""	"533"	""
"248"	"188"	"51"	"8"	"8"	"34"	"4"	"12"	"261"	"16"	"11"	"405"	""	"405"	""
"249"	"189"	"254"	"205"	"36"	"22"	"6"	"4"	"8"	"8"	"31"	"574"	""	"574"	""
"250"	"190"	"314"	"132"	"10"	"38"	"6"	"7"	"14"	"7"	"5"	"533"	""	"533"	""
"251"	"191"	"190"	"262"	"8"	"43"	"32"	"6"	"2"	"5"	"7"	"555"	""	"555"	""
"252"	"192"	"148"	"329"	"9"	"12"	"0"	"3"	"3"	"7"	"17"	"528"	""	"528"	""
"253"	"193"	"21"	"571"	"10"	"6"	"1"	"0"	"1"	"0"	"2"	"612"	""	"612"	""
"254"	"194"	"292"	"116"	"3"	"21"	"7"	"11"	"6"	"26"	"13"	"495"	""	"495"	""
"255"	"195"	"17"	"433"	"3"	"4"	"2"	"0"	"1"	"4"	"6"	"470"	""	"470"	""
"256"	"196"	"42"	"291"	"5"	"9"	"1"	"1"	"4"	"7"	"19"	"379"	""	"379"	""
"257"	"Total Round 14"	"2008"	"3048"	"313"	"553"	"92"	"69"	"497"	"116"	"141"	"6837"	"0"	"6837"	"0"
"258"	"Total No. of votes recorded at Polling stations"	"22529"	"38566"	"2081"	"13714"	"2737"	"1323"	"1532"	"2390"	"2365"	"87237"	"0"	"87237"	"0"
"259"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"260"	"TOTAL VOTES POLLED"	"22529"	"38566"	"2081"	"13714"	"2737"	"1323"	"1532"	"2390"	"2365"	"87237"	"0"	"87237"	"0"
