"No..and.Name.of.Assembly.segment..........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"229"	"166"	"10"	"312"	"14"	"3"	"42"	"7"	"4"	"10"	"402"	"0"	"402"	"0"
"230"	"167"	"27"	"148"	"21"	"10"	"182"	"6"	"11"	"29"	"434"	"0"	"434"	"0"
"231"	"168"	"17"	"40"	"75"	"5"	"222"	"10"	"13"	"12"	"394"	"0"	"394"	"0"
"232"	"169"	"10"	"406"	"28"	"6"	"57"	"2"	"1"	"6"	"516"	"0"	"516"	"0"
"233"	"170"	"43"	"264"	"124"	"14"	"137"	"12"	"9"	"16"	"619"	"0"	"619"	"0"
"234"	"171"	"44"	"242"	"32"	"16"	"293"	"25"	"6"	"22"	"680"	"0"	"680"	"0"
"235"	"172"	"6"	"73"	"35"	"5"	"675"	"6"	"10"	"9"	"819"	"0"	"819"	"0"
"236"	"173"	"9"	"75"	"66"	"10"	"175"	"8"	"10"	"16"	"369"	"0"	"369"	"0"
"237"	"174"	"24"	"146"	"31"	"7"	"112"	"12"	"6"	"20"	"358"	"0"	"358"	"0"
"238"	"175"	"31"	"236"	"26"	"10"	"110"	"6"	"5"	"13"	"437"	"0"	"437"	"0"
"239"	"176"	"1"	"787"	"6"	"0"	"11"	"0"	"1"	"0"	"806"	"0"	"806"	"0"
"240"	"177"	"0"	"701"	"1"	"2"	"5"	"0"	"1"	"1"	"711"	"0"	"711"	"0"
"241"	"178"	"58"	"87"	"108"	"21"	"373"	"28"	"11"	"16"	"702"	"0"	"702"	"0"
"242"	"179"	"32"	"75"	"14"	"15"	"220"	"12"	"2"	"10"	"380"	"0"	"380"	"0"
"243"	"180"	"9"	"476"	"52"	"3"	"20"	"3"	"4"	"5"	"572"	"0"	"572"	"0"
"244"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"247"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"248"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"249"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"250"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"251"	"181"	"15"	"72"	"455"	"4"	"62"	"4"	"5"	"4"	"621"	"0"	"621"	"0"
"252"	"182"	"5"	"67"	"329"	"8"	"150"	"10"	"22"	"18"	"609"	"0"	"609"	"0"
"253"	"183"	"18"	"159"	"115"	"10"	"131"	"7"	"4"	"12"	"456"	"0"	"456"	"0"
"254"	"184"	"32"	"96"	"138"	"11"	"261"	"14"	"14"	"34"	"600"	"0"	"600"	"0"
"255"	"Total No. of Votes recorded of polling
stations"	"3497"	"34738"	"16943"	"1437"	"28380"	"1814"	"1487"	"2419"	"90715"	"0"	"90715"	"0"
"256"	"No. of Votes Recorded on Postal Ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"257"	"Total Votes Polled"	"3497"	"34738"	"16943"	"1437"	"28380"	"1814"	"1487"	"2419"	"90715"	"0"	"90715"	"0"
"258"	"Place :- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Date :- 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"50- Mahua (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
