"ernku.dsUnz.dh.ÿå.laå"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonŸk.erksa.dh.laå"
"92"	"79"	"1"	"135"	"14"	"3"	"11"	"1"	"12"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"28"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"21"	"234"	""	"234"	""
"93"	"80"	"16"	"144"	"239"	"17"	"11"	"2"	"65"	"2"	"4"	"8"	"15"	"2"	"5"	"6"	"11"	"5"	"1"	"4"	"3"	"1"	"4"	"0"	"1"	"1"	"2"	"0"	"11"	"580"	""	"580"	""
"94"	"81"	"10"	"162"	"64"	"6"	"18"	"2"	"106"	"3"	"3"	"3"	"14"	"1"	"11"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"15"	"2"	"0"	"1"	"0"	"1"	"19"	"447"	""	"447"	""
"95"	"82"	"13"	"184"	"124"	"5"	"14"	"3"	"31"	"4"	"1"	"1"	"45"	"3"	"0"	"3"	"4"	"2"	"5"	"7"	"10"	"7"	"14"	"4"	"5"	"5"	"29"	"3"	"15"	"541"	""	"541"	""
"96"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"97"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"98"	"83"	"6"	"326"	"97"	"3"	"22"	"1"	"29"	"2"	"0"	"2"	"16"	"2"	"0"	"5"	"0"	"8"	"1"	"10"	"4"	"1"	"3"	"5"	"0"	"1"	"5"	"0"	"13"	"562"	"0"	"562"	""
"99"	"84"	"6"	"250"	"129"	"17"	"20"	"0"	"123"	"5"	"0"	"3"	"11"	"1"	"0"	"1"	"11"	"5"	"12"	"8"	"8"	"2"	"36"	"5"	"0"	"5"	"22"	"2"	"23"	"705"	""	"705"	""
"100"	"85"	"3"	"70"	"43"	"6"	"13"	"0"	"32"	"0"	"1"	"0"	"8"	"0"	"6"	"0"	"1"	"1"	"2"	"3"	"1"	"1"	"16"	"2"	"0"	"3"	"1"	"1"	"42"	"256"	""	"256"	""
"101"	"86"	"5"	"217"	"49"	"5"	"37"	"1"	"131"	"3"	"2"	"1"	"24"	"5"	"0"	"0"	"2"	"1"	"4"	"3"	"2"	"3"	"17"	"1"	"1"	"2"	"1"	"2"	"54"	"573"	""	"573"	""
"102"	"87"	"2"	"216"	"49"	"3"	"19"	"0"	"61"	"1"	"1"	"1"	"8"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"1"	"0"	"25"	"400"	""	"400"	""
"103"	"88"	"2"	"128"	"102"	"1"	"11"	"0"	"34"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"6"	"297"	""	"297"	""
"104"	"89"	"4"	"115"	"107"	"2"	"8"	"1"	"89"	"1"	"1"	"2"	"3"	"1"	"1"	"2"	"2"	"3"	"1"	"1"	"2"	"5"	"8"	"0"	"1"	"2"	"0"	"1"	"21"	"384"	""	"384"	""
"105"	"90"	"6"	"456"	"142"	"5"	"8"	"0"	"25"	"1"	"3"	"13"	"4"	"2"	"0"	"0"	"1"	"2"	"1"	"2"	"3"	"4"	"6"	"1"	"0"	"0"	"1"	"0"	"47"	"733"	""	"733"	""
"106"	"91"	"2"	"166"	"111"	"1"	"7"	"1"	"75"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"4"	"1"	"8"	"7"	"3"	"2"	"18"	"0"	"0"	"2"	"1"	"1"	"20"	"436"	""	"436"	""
"107"	"92"	"1"	"155"	"117"	"1"	"15"	"0"	"43"	"1"	"0"	"2"	"1"	"0"	"0"	"3"	"1"	"1"	"3"	"1"	"2"	"1"	"8"	"0"	"0"	"2"	"1"	"0"	"17"	"376"	""	"376"	""
"108"	"93"	"3"	"177"	"109"	"2"	"11"	"0"	"42"	"0"	"0"	"1"	"3"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"23"	"381"	""	"381"	""
"109"	"94"	"6"	"268"	"108"	"0"	"9"	"2"	"138"	"1"	"0"	"8"	"12"	"0"	"1"	"0"	"2"	"4"	"1"	"1"	"0"	"2"	"20"	"3"	"3"	"1"	"0"	"0"	"15"	"605"	""	"605"	""
"110"	"95"	"2"	"105"	"135"	"1"	"11"	"3"	"264"	"5"	"2"	"7"	"1"	"2"	"3"	"0"	"0"	"1"	"3"	"3"	"2"	"6"	"46"	"3"	"2"	"4"	"0"	"3"	"39"	"653"	""	"653"	""
"111"	"96"	"7"	"285"	"106"	"19"	"15"	"0"	"80"	"1"	"5"	"1"	"1"	"5"	"1"	"3"	"4"	"12"	"6"	"2"	"0"	"0"	"5"	"0"	"5"	"1"	"1"	"2"	"96"	"663"	""	"663"	""
"112"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"113"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"114"	"97"	"5"	"79"	"53"	"2"	"15"	"1"	"305"	"6"	"1"	"8"	"3"	"4"	"2"	"6"	"3"	"13"	"6"	"4"	"2"	"4"	"35"	"2"	"2"	"1"	"3"	"1"	"15"	"581"	"0"	"581"	""
"115"	"98"	"3"	"109"	"36"	"6"	"1"	"0"	"18"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"4"	"2"	"1"	"0"	"2"	"4"	"1"	"0"	"0"	"0"	"1"	"51"	"244"	""	"244"	""
"116"	"99"	"14"	"371"	"89"	"10"	"6"	"2"	"22"	"1"	"4"	"3"	"10"	"1"	"0"	"3"	"2"	"3"	"2"	"2"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"46"	"600"	""	"600"	""
"117"	"100"	"14"	"260"	"253"	"5"	"11"	"6"	"50"	"4"	"2"	"3"	"4"	"3"	"2"	"1"	"11"	"8"	"10"	"8"	"3"	"7"	"9"	"1"	"2"	"0"	"0"	"0"	"14"	"691"	""	"691"	""
"118"	"101"	"3"	"97"	"96"	"5"	"15"	"1"	"238"	"6"	"3"	"1"	"1"	"6"	"2"	"2"	"0"	"7"	"5"	"1"	"2"	"4"	"21"	"2"	"1"	"1"	"0"	"0"	"12"	"532"	""	"532"	""
"119"	"102"	"6"	"196"	"141"	"5"	"23"	"3"	"117"	"0"	"2"	"0"	"1"	"1"	"2"	"4"	"3"	"4"	"0"	"3"	"2"	"0"	"4"	"1"	"0"	"0"	"1"	"0"	"2"	"521"	""	"521"	""
"120"	"103"	"10"	"327"	"235"	"10"	"7"	"1"	"128"	"6"	"4"	"0"	"1"	"1"	"3"	"1"	"5"	"7"	"1"	"1"	"3"	"0"	"6"	"0"	"1"	"1"	"1"	"0"	"40"	"800"	""	"800"	""
"121"	"104"	"3"	"212"	"362"	"3"	"3"	"0"	"4"	"2"	"1"	"0"	"2"	"0"	"2"	"0"	"7"	"2"	"8"	"1"	"16"	"7"	"5"	"0"	"3"	"3"	"0"	"1"	"25"	"672"	""	"672"	""
"122"	"105"	"7"	"201"	"130"	"5"	"4"	"0"	"33"	"1"	"4"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"42"	"442"	""	"442"	""
"123"	"106"	"6"	"379"	"163"	"2"	"6"	"0"	"24"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"5"	"11"	"4"	"11"	"9"	"4"	"1"	"4"	"10"	"4"	"2"	"52"	"707"	""	"707"	""
"124"	"107"	"2"	"300"	"184"	"0"	"2"	"1"	"20"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"6"	"0"	"8"	"2"	"7"	"1"	"2"	"0"	"1"	"1"	"0"	"4"	"29"	"573"	""	"573"	""
"125"	"108"	"5"	"387"	"185"	"10"	"6"	"1"	"41"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"10"	"3"	"5"	"1"	"2"	"3"	"3"	"0"	"1"	"0"	"1"	"1"	"21"	"693"	""	"693"	""
"126"	"109"	"11"	"76"	"94"	"4"	"28"	"2"	"155"	"19"	"2"	"6"	"4"	"5"	"4"	"1"	"2"	"4"	"12"	"7"	"20"	"16"	"115"	"6"	"7"	"0"	"4"	"3"	"35"	"642"	""	"642"	""
"127"	"110"	"4"	"0"	"86"	"1"	"27"	"2"	"152"	"26"	"3"	"4"	"3"	"5"	"1"	"1"	"10"	"5"	"2"	"0"	"3"	"0"	"14"	"1"	"2"	"1"	"0"	"0"	"3"	"356"	""	"356"	""
"128"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"129"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"130"	"111"	"6"	"168"	"101"	"11"	"3"	"7"	"117"	"4"	"2"	"5"	"4"	"6"	"7"	"8"	"8"	"9"	"11"	"5"	"13"	"13"	"44"	"6"	"6"	"4"	"3"	"9"	"38"	"618"	"0"	"618"	""
"131"	"112"	"3"	"100"	"102"	"2"	"3"	"0"	"123"	"11"	"1"	"3"	"5"	"5"	"0"	"4"	"1"	"7"	"1"	"3"	"6"	"6"	"31"	"0"	"2"	"4"	"1"	"1"	"20"	"445"	""	"445"	""
"132"	"113"	"12"	"376"	"231"	"5"	"9"	"0"	"17"	"1"	"2"	"5"	"2"	"0"	"1"	"3"	"3"	"2"	"4"	"1"	"5"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"12"	"697"	""	"697"	""
"133"	"114"	"19"	"204"	"168"	"4"	"12"	"5"	"110"	"1"	"0"	"10"	"16"	"1"	"0"	"1"	"1"	"4"	"6"	"2"	"4"	"5"	"18"	"2"	"1"	"1"	"0"	"0"	"13"	"608"	""	"608"	""
"134"	"115"	"16"	"187"	"164"	"4"	"3"	"0"	"78"	"3"	"2"	"1"	"58"	"0"	"0"	"2"	"5"	"2"	"15"	"7"	"7"	"5"	"20"	"4"	"3"	"1"	"0"	"0"	"11"	"598"	""	"598"	""
"135"	"116"	"4"	"339"	"174"	"3"	"2"	"0"	"16"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"557"	""	"557"	""
"136"	"117"	"5"	"278"	"153"	"12"	"8"	"1"	"135"	"7"	"0"	"4"	"0"	"0"	"1"	"3"	"2"	"5"	"4"	"2"	"6"	"5"	"42"	"3"	"4"	"0"	"0"	"2"	"49"	"731"	""	"731"	""
"137"	"118"	"4"	"280"	"267"	"1"	"4"	"1"	"54"	"1"	"0"	"5"	"5"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"6"	"1"	"13"	"0"	"1"	"1"	"0"	"1"	"16"	"666"	""	"666"	""
"138"	"119"	"2"	"133"	"298"	"4"	"6"	"0"	"26"	"1"	"0"	"1"	"1"	"1"	"0"	"6"	"0"	"3"	"2"	"0"	"7"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"16"	"514"	""	"514"	""
"139"	"120"	"5"	"204"	"64"	"2"	"0"	"2"	"54"	"4"	"1"	"3"	"1"	"0"	"1"	"0"	"2"	"4"	"3"	"1"	"0"	"2"	"10"	"1"	"1"	"0"	"0"	"1"	"22"	"388"	""	"388"	""
"140"	"121"	"3"	"198"	"180"	"2"	"3"	"1"	"28"	"0"	"1"	"2"	"4"	"0"	"1"	"1"	"4"	"1"	"4"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"59"	"500"	""	"500"	""
"141"	"122"	"2"	"294"	"138"	"3"	"16"	"1"	"63"	"1"	"2"	"5"	"1"	"1"	"2"	"1"	"3"	"9"	"5"	"3"	"10"	"4"	"14"	"2"	"1"	"1"	"1"	"1"	"41"	"625"	""	"625"	""
"142"	"123"	"8"	"171"	"68"	"4"	"12"	"6"	"129"	"3"	"0"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"2"	"1"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"35"	"460"	""	"460"	""
"143"	"124"	"5"	"238"	"125"	"3"	"11"	"0"	"129"	"2"	"0"	"3"	"5"	"0"	"0"	"0"	"5"	"1"	"2"	"0"	"2"	"2"	"15"	"3"	"0"	"1"	"0"	"1"	"13"	"566"	""	"566"	""
"144"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"145"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"146"	"125"	"4"	"304"	"134"	"2"	"15"	"1"	"26"	"0"	"0"	"6"	"3"	"2"	"1"	"5"	"2"	"6"	"4"	"2"	"1"	"2"	"3"	"0"	"3"	"1"	"1"	"1"	"20"	"549"	"0"	"549"	""
"147"	"126"	"4"	"294"	"85"	"1"	"8"	"0"	"17"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"7"	"424"	""	"424"	""
"148"	"127"	"12"	"213"	"95"	"17"	"9"	"3"	"146"	"4"	"4"	"5"	"22"	"15"	"1"	"6"	"8"	"15"	"2"	"2"	"4"	"2"	"10"	"1"	"24"	"1"	"1"	"0"	"6"	"628"	""	"628"	""
"149"	"128"	"4"	"178"	"67"	"0"	"12"	"1"	"22"	"0"	"0"	"0"	"8"	"2"	"0"	"3"	"3"	"5"	"4"	"5"	"5"	"3"	"7"	"2"	"3"	"0"	"0"	"2"	"9"	"345"	""	"345"	""
"150"	"129"	"5"	"95"	"105"	"1"	"5"	"0"	"82"	"4"	"0"	"0"	"2"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"2"	"1"	"3"	"1"	"14"	"0"	"0"	"0"	"8"	"336"	""	"336"	""
"151"	"130"	"14"	"151"	"191"	"28"	"14"	"4"	"130"	"7"	"15"	"6"	"9"	"12"	"7"	"10"	"10"	"40"	"6"	"6"	"8"	"7"	"14"	"3"	"93"	"4"	"5"	"2"	"92"	"888"	""	"888"	""
"152"	"131"	"13"	"170"	"101"	"7"	"13"	"3"	"268"	"12"	"4"	"4"	"8"	"7"	"0"	"2"	"6"	"4"	"9"	"7"	"3"	"2"	"44"	"2"	"3"	"2"	"1"	"1"	"5"	"701"	""	"701"	""
"153"	"132"	"1"	"215"	"169"	"10"	"5"	"0"	"68"	"3"	"4"	"1"	"4"	"2"	"0"	"2"	"3"	"8"	"9"	"7"	"3"	"2"	"13"	"1"	"2"	"0"	"0"	"0"	"29"	"561"	""	"561"	""
"154"	"133"	"3"	"64"	"97"	"5"	"34"	"6"	"232"	"3"	"2"	"1"	"2"	"5"	"3"	"3"	"1"	"12"	"1"	"3"	"2"	"2"	"21"	"1"	"0"	"1"	"1"	"1"	"8"	"514"	""	"514"	""
"155"	"134"	"6"	"121"	"55"	"9"	"34"	"4"	"188"	"1"	"2"	"0"	"3"	"4"	"4"	"2"	"6"	"4"	"11"	"5"	"10"	"12"	"67"	"1"	"6"	"3"	"3"	"2"	"33"	"596"	""	"596"	""
"156"	"135"	"13"	"128"	"224"	"14"	"5"	"6"	"37"	"5"	"6"	"0"	"5"	"2"	"2"	"1"	"3"	"4"	"4"	"2"	"6"	"6"	"7"	"1"	"5"	"2"	"0"	"1"	"87"	"576"	""	"576"	""
"157"	"136"	"6"	"282"	"103"	"5"	"5"	"4"	"49"	"3"	"2"	"3"	"2"	"3"	"3"	"6"	"3"	"16"	"4"	"2"	"0"	"2"	"5"	"0"	"4"	"1"	"1"	"0"	"12"	"526"	""	"526"	""
"158"	"137"	"12"	"379"	"179"	"7"	"4"	"1"	"89"	"5"	"4"	"6"	"2"	"1"	"3"	"7"	"12"	"22"	"7"	"7"	"6"	"7"	"8"	"1"	"12"	"3"	"2"	"4"	"13"	"803"	""	"803"	""
"159"	"138"	"12"	"284"	"80"	"3"	"10"	"1"	"209"	"5"	"1"	"0"	"0"	"3"	"2"	"2"	"3"	"2"	"2"	"0"	"1"	"2"	"11"	"1"	"0"	"0"	"4"	"0"	"15"	"653"	""	"653"	""
"160"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"161"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"162"	"139"	"14"	"240"	"216"	"4"	"1"	"1"	"51"	"4"	"3"	"1"	"3"	"0"	"4"	"1"	"6"	"9"	"5"	"2"	"4"	"1"	"2"	"0"	"3"	"0"	"0"	"0"	"13"	"588"	"0"	"588"	""
"163"	"140"	"7"	"117"	"90"	"1"	"2"	"1"	"84"	"2"	"2"	"0"	"1"	"3"	"0"	"6"	"1"	"6"	"6"	"2"	"1"	"1"	"20"	"1"	"6"	"3"	"2"	"1"	"17"	"383"	""	"383"	""
"164"	"141"	"1"	"194"	"152"	"3"	"2"	"2"	"80"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"5"	"4"	"0"	"0"	"1"	"1"	"0"	"18"	"479"	""	"479"	""
"165"	"142"	"2"	"191"	"72"	"1"	"2"	"3"	"102"	"2"	"1"	"1"	"0"	"2"	"2"	"5"	"1"	"3"	"3"	"1"	"7"	"0"	"20"	"4"	"0"	"3"	"0"	"0"	"9"	"437"	""	"437"	""
"166"	"143"	"5"	"105"	"169"	"2"	"2"	"3"	"108"	"2"	"4"	"2"	"1"	"3"	"4"	"1"	"3"	"10"	"1"	"0"	"2"	"1"	"13"	"0"	"0"	"1"	"3"	"1"	"13"	"459"	""	"459"	""
"167"	"144"	"5"	"134"	"70"	"3"	"4"	"1"	"99"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"8"	"6"	"10"	"3"	"7"	"3"	"31"	"4"	"3"	"5"	"11"	"4"	"61"	"484"	""	"484"	""
"168"	"145"	"11"	"261"	"210"	"4"	"1"	"2"	"72"	"1"	"1"	"2"	"2"	"2"	"0"	"2"	"3"	"5"	"8"	"1"	"8"	"4"	"7"	"0"	"1"	"1"	"3"	"3"	"26"	"641"	""	"641"	""
"169"	"146"	"11"	"198"	"525"	"19"	"3"	"3"	"4"	"2"	"5"	"0"	"0"	"0"	"1"	"2"	"4"	"8"	"11"	"2"	"16"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"41"	"862"	""	"862"	""
"170"	"147"	"6"	"128"	"401"	"4"	"1"	"0"	"20"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"4"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"22"	"598"	""	"598"	""
"171"	"148"	"6"	"2"	"4"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"7"	"1"	"238"	"55"	"1"	"7"	"2"	"8"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"7"	"348"	""	"348"	""
"172"	"149"	"4"	"138"	"276"	"1"	"13"	"0"	"52"	"1"	"1"	"3"	"2"	"2"	"1"	"1"	"0"	"2"	"4"	"1"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"1"	"29"	"542"	""	"542"	""
"173"	"150"	"1"	"156"	"443"	"5"	"9"	"0"	"8"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"2"	"4"	"2"	"3"	"0"	"0"	"1"	"1"	"0"	"8"	"656"	""	"656"	""
"174"	"151"	"1"	"72"	"234"	"1"	"1"	"0"	"21"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"3"	"2"	"0"	"2"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"11"	"359"	""	"359"	""
"175"	"152"	"2"	"2"	"78"	"0"	"9"	"1"	"169"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"16"	"1"	"0"	"0"	"1"	"1"	"18"	"311"	""	"311"	""
"176"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"177"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"178"	"153"	"2"	"8"	"98"	"2"	"3"	"1"	"275"	"5"	"1"	"1"	"0"	"2"	"3"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"28"	"1"	"0"	"1"	"1"	"3"	"21"	"464"	"0"	"464"	""
"179"	"154"	"5"	"49"	"140"	"5"	"20"	"4"	"321"	"13"	"5"	"6"	"6"	"11"	"5"	"1"	"1"	"6"	"2"	"1"	"3"	"2"	"21"	"1"	"0"	"2"	"1"	"1"	"8"	"640"	""	"640"	""
"180"	"155"	"2"	"5"	"74"	"3"	"10"	"1"	"262"	"6"	"4"	"2"	"3"	"2"	"5"	"2"	"2"	"9"	"6"	"3"	"4"	"4"	"71"	"10"	"2"	"3"	"1"	"4"	"16"	"516"	""	"516"	""
"181"	"156"	"9"	"243"	"166"	"44"	"12"	"1"	"110"	"9"	"2"	"7"	"3"	"7"	"1"	"4"	"13"	"5"	"15"	"4"	"4"	"6"	"19"	"3"	"3"	"1"	"2"	"1"	"41"	"735"	""	"735"	""
"182"	"157"	"19"	"182"	"154"	"1"	"2"	"8"	"41"	"3"	"3"	"3"	"10"	"1"	"3"	"1"	"3"	"12"	"5"	"0"	"5"	"8"	"6"	"1"	"1"	"1"	"1"	"0"	"121"	"595"	""	"595"	""
"183"	"158"	"9"	"102"	"101"	"1"	"4"	"3"	"176"	"10"	"4"	"3"	"2"	"11"	"4"	"5"	"6"	"7"	"4"	"2"	"3"	"5"	"26"	"0"	"4"	"3"	"1"	"1"	"50"	"547"	""	"547"	""
"184"	"159"	"13"	"140"	"227"	"8"	"4"	"1"	"31"	"1"	"1"	"1"	"4"	"2"	"4"	"6"	"4"	"8"	"5"	"3"	"8"	"5"	"7"	"3"	"1"	"0"	"2"	"0"	"12"	"501"	""	"501"	""
