"Total..No..of.Electors.in.Assembly.consitiuency...201806"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Name of Assembly - 84-  MANIGACHHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [ (SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"161"	"141"	"141"	"153"	"1"	"68"	"3"	"2"	"0"	"1"	"7"	"2"	"1"	"1"	"1"	"1"	"241"	"0"	"241"	"0"
"162"	"142"	"142"	"194"	"8"	"284"	"14"	"8"	"1"	"8"	"5"	"11"	"0"	"3"	"5"	"11"	"552"	"0"	"552"	"0"
"163"	"143"	"143"	"379"	"6"	"102"	"3"	"8"	"1"	"1"	"3"	"2"	"2"	"0"	"5"	"5"	"517"	"0"	"517"	"0"
"164"	"144"	"144"	"270"	"4"	"92"	"5"	"3"	"0"	"0"	"3"	"7"	"2"	"9"	"13"	"26"	"434"	"0"	"434"	"0"
"165"	"145"	"145"	"285"	"9"	"147"	"14"	"10"	"3"	"21"	"9"	"12"	"6"	"5"	"15"	"12"	"548"	"0"	"548"	"0"
"166"	"146"	"146"	"147"	"1"	"35"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"191"	"0"	"191"	"0"
"167"	"147"	"147"	"81"	"8"	"256"	"5"	"7"	"4"	"1"	"4"	"1"	"1"	"1"	"1"	"3"	"373"	"0"	"373"	"0"
"168"	"148"	"148"	"115"	"7"	"170"	"10"	"8"	"4"	"8"	"8"	"12"	"1"	"8"	"3"	"5"	"359"	"0"	"359"	"0"
"169"	"149"	"149"	"506"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"507"	"0"	"507"	"0"
"170"	"150"	"150"	"86"	"9"	"90"	"2"	"26"	"5"	"53"	"3"	"7"	"5"	"5"	"6"	"6"	"303"	"0"	"303"	"0"
"171"	"151"	"151"	"344"	"3"	"142"	"1"	"9"	"0"	"0"	"1"	"2"	"0"	"1"	"4"	"3"	"510"	"0"	"510"	"0"
"172"	"152"	"152"	"110"	"4"	"181"	"7"	"7"	"2"	"8"	"1"	"4"	"0"	"1"	"0"	"0"	"325"	"0"	"325"	"0"
"173"	"153"	"153"	"24"	"12"	"223"	"6"	"13"	"1"	"13"	"3"	"5"	"1"	"3"	"3"	"9"	"316"	"0"	"316"	"0"
"174"	"154"	"154"	"271"	"19"	"171"	"2"	"5"	"7"	"21"	"13"	"12"	"10"	"8"	"11"	"17"	"567"	"0"	"567"	"0"
"175"	"155"	"155"	"132"	"12"	"239"	"4"	"3"	"3"	"0"	"7"	"6"	"10"	"12"	"17"	"21"	"466"	"0"	"466"	"0"
"176"	"156"	"156"	"44"	"13"	"513"	"12"	"9"	"1"	"1"	"2"	"4"	"4"	"19"	"4"	"12"	"638"	"0"	"638"	"0"
"177"	"157"	"157"	"109"	"11"	"171"	"16"	"20"	"7"	"55"	"6"	"17"	"21"	"16"	"25"	"41"	"515"	"0"	"515"	"0"
"178"	"158"	"158"	"84"	"4"	"112"	"10"	"8"	"9"	"243"	"13"	"12"	"10"	"5"	"16"	"33"	"559"	"0"	"559"	"0"
"179"	"159"	"159"	"7"	"0"	"3"	"1"	"2"	"9"	"551"	"13"	"6"	"7"	"3"	"2"	"15"	"619"	"0"	"619"	"0"
"180"	"160"	"160"	"214"	"5"	"80"	"5"	"5"	"0"	"1"	"3"	"1"	"0"	"5"	"1"	"23"	"343"	"0"	"343"	"0"
"181"	"161"	"161"	"169"	"13"	"231"	"19"	"26"	"3"	"4"	"6"	"5"	"8"	"12"	"8"	"28"	"532"	"0"	"532"	"0"
"182"	"162"	"162"	"458"	"16"	"144"	"7"	"18"	"6"	"4"	"4"	"14"	"6"	"11"	"9"	"13"	"710"	"0"	"710"	"0"
"183"	"163"	"163"	"384"	"10"	"85"	"4"	"2"	"3"	"2"	"2"	"3"	"0"	"1"	"2"	"7"	"505"	"0"	"505"	"0"
"184"	"164"	"164"	"384"	"9"	"68"	"3"	"2"	"1"	"1"	"1"	"0"	"1"	"4"	"2"	"2"	"478"	"0"	"478"	"0"
"185"	"165"	"165"	"7"	"0"	"494"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"506"	"0"	"506"	"0"
"186"	"166"	"166"	"23"	"6"	"300"	"10"	"9"	"1"	"0"	"2"	"1"	"4"	"14"	"5"	"15"	"390"	"0"	"390"	"0"
"187"	"167"	"167"	"40"	"15"	"441"	"15"	"127"	"6"	"25"	"6"	"10"	"8"	"8"	"5"	"18"	"724"	"0"	"724"	"0"
"188"	"168"	"168"	"329"	"9"	"113"	"7"	"24"	"3"	"6"	"5"	"6"	"2"	"6"	"6"	"30"	"546"	"0"	"546"	"0"
"189"	"169"	"169"	"265"	"6"	"151"	"7"	"18"	"5"	"6"	"0"	"4"	"2"	"3"	"5"	"11"	"483"	"0"	"483"	"0"
"190"	"170"	"170"	"312"	"5"	"29"	"1"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"8"	"6"	"369"	"0"	"369"	"0"
"191"	"171"	"171"	"134"	"10"	"125"	"11"	"17"	"2"	"2"	"4"	"1"	"2"	"1"	"2"	"1"	"312"	"0"	"312"	"0"
"192"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"193"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"195"	"Total  No. of votes recording at polling Stations"	""	"32091"	"1325"	"27576"	"1425"	"5894"	"545"	"1412"	"958"	"6755"	"580"	"993"	"1845"	"2441"	"83840"	"0"	"83840"	"0"
"196"	"Total no. of votes recorded   on postal ballot papers (To be election from an assembly constituency)"	""	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"197"	"Total Votes polled"	""	"32093"	"1325"	"27576"	"1425"	"5894"	"545"	"1412"	"958"	"6755"	"580"	"993"	"1845"	"2441"	"83842"	"0"	"83842"	"0"
"198"	"Place : A. P. MARKETTING YARD, SHIVDHARA, DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"DATE : 27/02/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"84 - Manigachhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
