"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"240"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"249"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"250"	"140"	"4"	"6"	"879"	"4"	"65"	"0"	"0"	"1"	"-959"	"0"	"-959"	"0"
"251"	"141"	"43"	"5"	"122"	"158"	"15"	"5"	"6"	"19"	"-373"	"0"	"-373"	"0"
"252"	"142"	"7"	"2"	"125"	"180"	"18"	"0"	"0"	"0"	"-332"	"0"	"-332"	"0"
"253"	"143"	"0"	"1"	"454"	"204"	"12"	"0"	"0"	"0"	"-671"	"0"	"-671"	"0"
"254"	"144"	"7"	"4"	"113"	"146"	"13"	"6"	"4"	"7"	"-300"	"0"	"-300"	"0"
"255"	"145"	"1"	"0"	"3"	"137"	"202"	"1"	"0"	"1"	"-345"	"0"	"-345"	"0"
"256"	"146"	"1"	"1"	"161"	"145"	"5"	"2"	"1"	"3"	"-319"	"0"	"-319"	"0"
"257"	"147"	"25"	"12"	"22"	"209"	"128"	"10"	"9"	"19"	"-434"	"0"	"-434"	"0"
"258"	"148"	"1"	"2"	"358"	"561"	"34"	"1"	"1"	"0"	"-958"	"0"	"-958"	"0"
"259"	"149"	"7"	"1"	"221"	"95"	"8"	"2"	"2"	"4"	"-340"	"0"	"-340"	"0"
"260"	"150"	"4"	"2"	"412"	"7"	"22"	"2"	"1"	"4"	"-454"	"0"	"-454"	"0"
"261"	"151"	"20"	"6"	"308"	"167"	"18"	"6"	"5"	"13"	"-543"	"0"	"-543"	"0"
"262"	"152"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"263"	"153"	"1"	"0"	"318"	"39"	"3"	"2"	"2"	"0"	"-365"	"0"	"-365"	"0"
"264"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"273"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"274"	"154"	"5"	"8"	"187"	"71"	"180"	"3"	"12"	"5"	"-471"	"0"	"-471"	"0"
"275"	"155"	"1"	"8"	"57"	"51"	"31"	"3"	"1"	"7"	"-159"	"0"	"-159"	"0"
"276"	"156"	"16"	"9"	"228"	"8"	"64"	"4"	"4"	"5"	"-338"	"0"	"-338"	"0"
"277"	"157"	"12"	"22"	"25"	"259"	"105"	"4"	"38"	"7"	"-472"	"0"	"-472"	"0"
"278"	"158"	"3"	"11"	"845"	"51"	"61"	"6"	"6"	"7"	"-990"	"0"	"-990"	"0"
"279"	"159"	"17"	"8"	"76"	"111"	"224"	"10"	"9"	"13"	"-468"	"0"	"-468"	"0"
"280"	"160"	"3"	"3"	"536"	"7"	"42"	"6"	"3"	"1"	"-601"	"0"	"-601"	"0"
"281"	"161"	"4"	"3"	"42"	"148"	"80"	"3"	"2"	"1"	"-283"	"0"	"-283"	"0"
"282"	"162"	"11"	"3"	"452"	"25"	"195"	"9"	"8"	"7"	"-710"	"0"	"-710"	"0"
"283"	"163"	"3"	"5"	"227"	"59"	"30"	"3"	"0"	"0"	"-327"	"0"	"-327"	"0"
"284"	"164"	"1"	"3"	"214"	"5"	"3"	"1"	"0"	"4"	"-231"	"0"	"-231"	"0"
"285"	"165"	"8"	"7"	"347"	"34"	"13"	"5"	"6"	"3"	"-423"	"0"	"-423"	"0"
"286"	"166"	"3"	"1"	"172"	"240"	"47"	"1"	"0"	"1"	"-465"	"0"	"-465"	"0"
"287"	"167"	"10"	"3"	"646"	"10"	"185"	"3"	"0"	"1"	"-858"	"0"	"-858"	"0"
"288"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"297"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"298"	"168"	"24"	"121"	"55"	"22"	"250"	"16"	"11"	"23"	"-522"	"0"	"-522"	""
"299"	"169"	"86"	"68"	"78"	"96"	"349"	"9"	"13"	"6"	"-705"	"0"	"-705"	"0"
"300"	"170"	"10"	"0"	"601"	"15"	"235"	"0"	"1"	"0"	"-862"	"0"	"-862"	"0"
"301"	"171"	"7"	"5"	"302"	"11"	"7"	"1"	"1"	"2"	"-336"	"0"	"-336"	"0"
"302"	"172"	"9"	"0"	"302"	"13"	"12"	"6"	"7"	"8"	"-357"	"0"	"-357"	"0"
"303"	"173"	"18"	"7"	"128"	"51"	"57"	"14"	"8"	"17"	"-300"	"0"	"-300"	"0"
"304"	"174"	"8"	"6"	"238"	"17"	"11"	"3"	"4"	"5"	"-292"	"0"	"-292"	"0"
"305"	"175"	"3"	"4"	"398"	"10"	"11"	"1"	"1"	"2"	"-430"	"0"	"-430"	"0"
"306"	"176"	"3"	"7"	"423"	"9"	"3"	"3"	"0"	"3"	"-451"	"0"	"-451"	"0"
"307"	"177"	"0"	"17"	"122"	"15"	"200"	"1"	"4"	"2"	"-361"	"0"	"-361"	"0"
"308"	"178"	"10"	"10"	"92"	"39"	"284"	"8"	"10"	"29"	"-482"	"0"	"-482"	"0"
"309"	"179"	"10"	"17"	"32"	"97"	"35"	"0"	"0"	"1"	"-192"	"0"	"-192"	"0"
"310"	"180"	"8"	"54"	"38"	"342"	"80"	"7"	"4"	"3"	"-536"	"0"	"-536"	"0"
"311"	""	"20"	"11"	"142"	"339"	"50"	"9"	"8"	"10"	"-589"	"0"	"-589"	"0"
"312"	"181"	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"322"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"323"	"182"	"10"	"6"	"15"	"393"	"126"	"2"	"7"	"5"	"-564"	"0"	"-564"	"0"
"324"	"183"	"30"	"8"	"191"	"62"	"19"	"5"	"1"	"3"	"-319"	"0"	"-319"	"0"
"325"	"184"	"129"	"7"	"232"	"27"	"95"	"10"	"12"	"19"	"-531"	"0"	"-531"	"0"
"326"	"185"	"90"	"46"	"92"	"34"	"56"	"3"	"5"	"4"	"-330"	"0"	"-330"	"0"
"327"	"186"	"8"	"89"	"26"	"10"	"131"	"5"	"3"	"0"	"-272"	"0"	"-272"	"0"
"328"	"187"	"3"	"11"	"127"	"187"	"115"	"5"	"16"	"4"	"-468"	"0"	"-468"	"0"
"329"	"188"	"15"	"16"	"88"	"46"	"281"	"7"	"6"	"18"	"-477"	"0"	"-477"	"0"
"330"	"189"	"5"	"3"	"115"	"33"	"62"	"6"	"1"	"4"	"-229"	"0"	"-229"	"0"
"331"	"190"	"2"	"1"	"232"	"0"	"3"	"0"	"0"	"0"	"-238"	"0"	"-238"	"0"
"332"	"191"	"0"	"7"	"407"	"86"	"36"	"3"	"5"	"1"	"-545"	"0"	"-545"	"0"
"333"	"192"	"71"	"12"	"245"	"32"	"173"	"11"	"11"	"29"	"-584"	"0"	"-584"	"0"
"334"	"193"	"3"	"7"	"44"	"231"	"33"	"2"	"3"	"5"	"-328"	"0"	"-328"	"0"
"335"	"194"	"0"	"0"	"489"	"33"	"3"	"0"	"0"	"1"	"-526"	"0"	"-526"	"0"
"336"	"195"	"9"	"19"	"125"	"9"	"89"	"2"	"10"	"1"	"-264"	"0"	"-264"	"0"
"337"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"346"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"347"	"196"	"133"	"10"	"9"	"279"	"87"	"3"	"2"	"13"	"-536"	"0"	"-536"	"0"
"348"	"197"	"4"	"7"	"94"	"9"	"233"	"1"	"6"	"3"	"-357"	"0"	"-357"	"0"
"349"	"198"	"12"	"3"	"293"	"11"	"123"	"7"	"11"	"21"	"-481"	"0"	"-481"	"0"
"350"	"199"	"0"	"0"	"339"	"1"	"28"	"1"	"2"	"2"	"-373"	"0"	"-373"	"0"
"351"	"200"	"2"	"1"	"100"	"41"	"287"	"10"	"4"	"4"	"-449"	"0"	"-449"	"0"
"352"	"200 K"	"14"	"5"	"302"	"35"	"242"	"6"	"3"	"1"	"-608"	"0"	"-608"	"0"
"353"	"201"	"119"	"15"	"81"	"144"	"72"	"8"	"4"	"8"	"-451"	"0"	"-451"	"0"
"354"	"202"	"2"	"8"	"305"	"34"	"19"	"4"	"3"	"7"	"-382"	"0"	"-382"	"0"
"355"	"203"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"-3"	"0"	"-3"	"0"
"356"	"204"	"2"	"1"	"260"	"5"	"4"	"0"	"0"	"1"	"-273"	"0"	"-273"	"0"
"357"	"205"	"19"	"8"	"80"	"350"	"41"	"1"	"1"	"1"	"-501"	"0"	"-501"	"0"
"358"	"206"	"5"	"13"	"52"	"281"	"8"	"3"	"5"	"6"	"-373"	"0"	"-373"	"0"
"359"	"207"	"12"	"9"	"92"	"117"	"11"	"5"	"2"	"7"	"-255"	"0"	"-255"	"0"
"360"	"208"	"15"	"57"	"14"	"174"	"53"	"2"	"9"	"16"	"-340"	"0"	"-340"	"0"
"361"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"370"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"371"	"209"	"3"	"2"	"741"	"116"	"3"	"15"	"0"	"0"	"-880"	"0"	"-880"	"0"
"372"	"210"	"113"	"9"	"6"	"241"	"42"	"0"	"3"	"6"	"-420"	"0"	"-420"	"0"
"373"	"211"	"6"	"43"	"8"	"21"	"754"	"13"	"11"	"2"	"-858"	"0"	"-858"	"0"
"374"	"212"	"61"	"13"	"47"	"35"	"164"	"3"	"6"	"6"	"-335"	"0"	"-335"	"0"
"375"	"213"	"16"	"14"	"297"	"18"	"86"	"4"	"10"	"9"	"-454"	"0"	"-454"	"0"
"376"	"214"	"12"	"8"	"655"	"17"	"49"	"6"	"10"	"8"	"-765"	"0"	"-765"	"0"
"377"	"215"	"2"	"30"	"1"	"32"	"268"	"0"	"2"	"0"	"-335"	"0"	"-335"	"0"
"378"	"216"	"4"	"4"	"277"	"7"	"5"	"0"	"1"	"1"	"-299"	"0"	"-299"	"0"
"379"	"217"	"0"	"24"	"245"	"37"	"199"	"1"	"1"	"0"	"-507"	"0"	"-507"	"0"
"380"	"218"	"22"	"16"	"95"	"25"	"37"	"4"	"6"	"11"	"-216"	"0"	"-216"	"0"
"381"	"219"	"3"	"2"	"320"	"1"	"10"	"0"	"0"	"1"	"-337"	"0"	"-337"	"0"
"382"	"220"	"0"	"0"	"575"	"279"	"11"	"0"	"0"	"0"	"-865"	"0"	"-865"	"0"
"383"	"221"	"5"	"4"	"415"	"2"	"88"	"2"	"5"	"2"	"-523"	"0"	"-523"	"0"
"384"	"222"	"5"	"3"	"261"	"4"	"33"	"2"	"0"	"1"	"-309"	"0"	"-309"	"0"
"385"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"394"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"395"	"223"	"0"	"20"	"457"	"5"	"104"	"2"	"3"	"0"	"-591"	"0"	"-591"	"0"
"396"	"224"	"14"	"3"	"344"	"27"	"66"	"2"	"4"	"3"	"-463"	"0"	"-463"	"0"
"397"	"225"	"20"	"10"	"657"	"20"	"52"	"1"	"7"	"4"	"-771"	"0"	"-771"	"0"
"398"	"226"	"2"	"5"	"7"	"0"	"242"	"0"	"0"	"0"	"-256"	"0"	"-256"	"0"
"399"	"227"	"2"	"3"	"22"	"7"	"322"	"1"	"1"	"0"	"-358"	"0"	"-358"	"0"
"400"	"228"	"5"	"4"	"6"	"68"	"200"	"2"	"0"	"3"	"-288"	"0"	"-288"	"0"
"401"	"229"	"0"	"17"	"2"	"132"	"287"	"1"	"0"	"0"	"-439"	"0"	"-439"	"0"
"402"	"230"	"12"	"11"	"137"	"194"	"66"	"14"	"9"	"10"	"-453"	"0"	"-453"	"0"
"403"	"Total"	"3773"	"8192"	"42723"	"13020"	"29286"	"921"	"1088"	"1211"	"-100214"	""	""	""
"404"	"Postal Ballot Paper"	"0"	"5"	"6"	"1"	"3"	"0"	"1"	"0"	"-16"	"-5"	"-21"	""
"405"	"Grand Total"	"3773"	"8197"	"42729"	"13021"	"29289"	"921"	"1089"	"1211"	"-100230"	"-5"	"-100235"	""
