"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"143"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"144"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"145"	"71"	"12"	"86"	"7"	"102"	"9"	"4"	"2"	"7"	"66"	"9"	"82"	"4"	"0"	"5"	"2"	"5"	"3"	"1"	"8"	"47"	"5"	"466"
"146"	"72"	"10"	"67"	"8"	"142"	"19"	"3"	"9"	"6"	"95"	"11"	"26"	"68"	"4"	"55"	"8"	"12"	"67"	"7"	"7"	"27"	"7"	"658"
"147"	"73"	"2"	"144"	"4"	"47"	"22"	"1"	"3"	"4"	"5"	"0"	"64"	"1"	"1"	"0"	"3"	"2"	"2"	"1"	"0"	"2"	"0"	"308"
"148"	"74"	"0"	"0"	"0"	"11"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"17"
"149"	"75"	"4"	"425"	"1"	"12"	"10"	"0"	"2"	"1"	"68"	"2"	"5"	"0"	"1"	"1"	"2"	"0"	"1"	"2"	"0"	"4"	"0"	"541"
"150"	"76"	"1"	"3"	"1"	"631"	"6"	"0"	"0"	"0"	"17"	"0"	"13"	"2"	"0"	"2"	"18"	"1"	"10"	"0"	"1"	"2"	"2"	"710"
"151"	"77"	"6"	"14"	"7"	"14"	"12"	"1"	"1"	"1"	"28"	"0"	"4"	"8"	"4"	"4"	"2"	"6"	"123"	"3"	"5"	"5"	"4"	"252"
"152"	"78"	"11"	"102"	"66"	"158"	"23"	"2"	"3"	"5"	"65"	"8"	"20"	"11"	"9"	"17"	"4"	"5"	"88"	"5"	"2"	"6"	"1"	"611"
"153"	"79"	"4"	"52"	"6"	"366"	"16"	"3"	"3"	"4"	"89"	"5"	"52"	"9"	"4"	"9"	"6"	"16"	"23"	"2"	"10"	"24"	"1"	"704"
"154"	"80"	"14"	"9"	"2"	"177"	"4"	"5"	"5"	"7"	"115"	"2"	"8"	"29"	"6"	"4"	"116"	"15"	"8"	"1"	"3"	"2"	"1"	"533"
"155"	"81"	"33"	"19"	"4"	"205"	"9"	"3"	"2"	"5"	"12"	"1"	"24"	"11"	"3"	"3"	"4"	"18"	"6"	"1"	"1"	"6"	"13"	"383"
"156"	"82"	"4"	"31"	"5"	"338"	"12"	"0"	"2"	"3"	"16"	"2"	"4"	"68"	"5"	"2"	"15"	"10"	"3"	"2"	"15"	"9"	"4"	"550"
"157"	"83"	"4"	"48"	"7"	"293"	"28"	"6"	"3"	"3"	"22"	"4"	"20"	"33"	"4"	"5"	"1"	"5"	"4"	"1"	"4"	"11"	"4"	"510"
"158"	"84"	"3"	"1"	"0"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"642"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"659"
"159"	";ksx"	"108"	"1001"	"118"	"2500"	"172"	"28"	"35"	"48"	"601"	"46"	"965"	"244"	"42"	"107"	"181"	"95"	"341"	"26"	"56"	"146"	"42"	"6902"
"160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7th Round"	""	""	""
"171"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"172"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"173"	"85"	"0"	"6"	"1"	"13"	"0"	"0"	"0"	"1"	"4"	"0"	"649"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"677"
"174"	"86"	"2"	"3"	"3"	"75"	"7"	"2"	"1"	"5"	"24"	"6"	"10"	"353"	"5"	"4"	"3"	"14"	"3"	"1"	"1"	"5"	"2"	"529"
"175"	"87"	"6"	"21"	"3"	"101"	"11"	"1"	"1"	"3"	"45"	"3"	"9"	"179"	"4"	"5"	"5"	"16"	"2"	"1"	"3"	"10"	"4"	"433"
"176"	"88"	"7"	"52"	"8"	"407"	"17"	"5"	"4"	"4"	"23"	"6"	"32"	"70"	"6"	"7"	"3"	"6"	"19"	"4"	"5"	"43"	"6"	"734"
"177"	"89"	"7"	"93"	"3"	"215"	"21"	"3"	"9"	"6"	"17"	"1"	"27"	"16"	"6"	"4"	"6"	"9"	"27"	"4"	"2"	"41"	"3"	"520"
"178"	"90"	"10"	"97"	"16"	"162"	"21"	"5"	"7"	"9"	"69"	"4"	"51"	"5"	"2"	"1"	"20"	"4"	"25"	"3"	"19"	"79"	"8"	"617"
"179"	"91"	"5"	"33"	"2"	"389"	"7"	"2"	"12"	"0"	"23"	"9"	"5"	"5"	"5"	"0"	"4"	"9"	"2"	"1"	"12"	"4"	"2"	"531"
"180"	"92"	"2"	"88"	"1"	"109"	"22"	"5"	"1"	"4"	"35"	"6"	"13"	"7"	"2"	"2"	"3"	"7"	"9"	"2"	"4"	"1"	"0"	"323"
"181"	"93"	"13"	"69"	"1"	"189"	"10"	"4"	"4"	"3"	"73"	"3"	"8"	"5"	"1"	"5"	"7"	"3"	"4"	"2"	"9"	"10"	"0"	"423"
"182"	"94"	"26"	"27"	"13"	"73"	"12"	"0"	"3"	"15"	"251"	"17"	"22"	"17"	"8"	"5"	"6"	"8"	"35"	"6"	"17"	"28"	"2"	"591"
"183"	"95"	"11"	"17"	"1"	"100"	"5"	"5"	"2"	"5"	"11"	"6"	"26"	"13"	"8"	"12"	"19"	"225"	"9"	"2"	"4"	"18"	"7"	"506"
"184"	"96"	"3"	"2"	"1"	"628"	"4"	"2"	"1"	"15"	"3"	"5"	"53"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"721"
"185"	"97"	"27"	"21"	"9"	"100"	"23"	"2"	"6"	"32"	"37"	"7"	"7"	"4"	"2"	"6"	"4"	"11"	"6"	"2"	"2"	"14"	"5"	"327"
"186"	"98"	"3"	"365"	"0"	"22"	"5"	"0"	"0"	"1"	"69"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"4"	"0"	"480"
"187"	";ksx"	"122"	"894"	"62"	"2583"	"165"	"36"	"51"	"103"	"684"	"77"	"913"	"677"	"49"	"54"	"81"	"312"	"146"	"28"	"78"	"258"	"39"	"7412"
"188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"192"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8th Round"	""	""	""
"199"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"201"	"99"	"10"	"75"	"16"	"247"	"25"	"6"	"3"	"4"	"21"	"4"	"8"	"14"	"2"	"2"	"4"	"8"	"3"	"1"	"1"	"7"	"6"	"467"
"202"	"100"	"23"	"213"	"10"	"147"	"40"	"5"	"6"	"3"	"35"	"3"	"27"	"5"	"5"	"4"	"3"	"3"	"14"	"3"	"2"	"10"	"1"	"562"
"203"	"101"	"60"	"24"	"5"	"570"	"12"	"0"	"4"	"2"	"36"	"7"	"8"	"23"	"4"	"4"	"1"	"0"	"34"	"4"	"4"	"3"	"2"	"807"
"204"	"102"	"2"	"556"	"1"	"29"	"7"	"0"	"0"	"0"	"11"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"0"	"1"	"1"	"617"
"205"	"103"	"0"	"584"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"598"
"206"	"104"	"8"	"62"	"10"	"134"	"23"	"3"	"6"	"3"	"13"	"7"	"6"	"39"	"2"	"3"	"3"	"12"	"10"	"2"	"4"	"4"	"7"	"361"
"207"	"105"	"0"	"491"	"2"	"4"	"6"	"1"	"0"	"0"	"8"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"2"	"0"	"0"	"9"	"0"	"530"
"208"	"106"	"4"	"35"	"7"	"272"	"32"	"2"	"2"	"7"	"3"	"7"	"16"	"21"	"9"	"6"	"9"	"21"	"19"	"1"	"4"	"30"	"13"	"550"
"209"	"107"	"5"	"26"	"0"	"5"	"2"	"5"	"2"	"11"	"17"	"3"	"261"	"5"	"2"	"0"	"0"	"4"	"103"	"5"	"6"	"2"	"3"	"467"
"210"	"108"	"7"	"182"	"3"	"39"	"15"	"3"	"3"	"7"	"9"	"0"	"125"	"1"	"4"	"1"	"1"	"3"	"91"	"8"	"2"	"1"	"1"	"506"
"211"	"109"	"10"	"288"	"5"	"51"	"75"	"5"	"13"	"3"	"35"	"1"	"24"	"4"	"8"	"6"	"7"	"12"	"20"	"16"	"1"	"7"	"2"	"593"
"212"	"110"	"14"	"128"	"5"	"89"	"49"	"3"	"9"	"8"	"69"	"4"	"10"	"13"	"13"	"8"	"9"	"22"	"130"	"9"	"6"	"14"	"8"	"620"
"213"	"111"	"12"	"242"	"4"	"52"	"27"	"2"	"2"	"2"	"9"	"0"	"10"	"1"	"2"	"0"	"2"	"4"	"67"	"14"	"5"	"2"	"2"	"461"
"214"	"112"	"7"	"180"	"2"	"68"	"24"	"2"	"3"	"1"	"24"	"1"	"6"	"3"	"3"	"3"	"1"	"3"	"143"	"12"	"5"	"5"	"12"	"508"
"215"	";ksx"	"162"	"3086"	"70"	"1737"	"338"	"37"	"53"	"51"	"298"	"37"	"502"	"129"	"62"	"37"	"40"	"92"	"637"	"81"	"40"	"100"	"58"	"7647"
"216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9th Round"	""	""	""
"227"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"228"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"229"	"113"	"3"	"247"	"2"	"29"	"32"	"1"	"7"	"2"	"54"	"2"	"50"	"4"	"4"	"2"	"3"	"6"	"86"	"6"	"4"	"8"	"4"	"556"
"230"	"114"	"9"	"223"	"2"	"102"	"53"	"5"	"6"	"4"	"44"	"2"	"12"	"13"	"7"	"8"	"24"	"0"	"240"	"22"	"7"	"8"	"10"	"801"
"231"	"115"	"5"	"321"	"7"	"34"	"70"	"2"	"1"	"2"	"29"	"0"	"24"	"3"	"6"	"4"	"4"	"4"	"125"	"5"	"7"	"24"	"5"	"682"
"232"	"116"	"19"	"174"	"2"	"30"	"35"	"6"	"6"	"15"	"63"	"7"	"156"	"11"	"11"	"6"	"9"	"19"	"49"	"8"	"8"	"5"	"5"	"644"
"233"	"117"	"17"	"124"	"16"	"48"	"16"	"3"	"6"	"6"	"40"	"3"	"6"	"13"	"7"	"3"	"6"	"8"	"58"	"7"	"3"	"108"	"3"	"501"
"234"	"118"	"5"	"131"	"4"	"39"	"16"	"2"	"4"	"6"	"46"	"3"	"108"	"3"	"1"	"0"	"2"	"1"	"63"	"9"	"2"	"13"	"7"	"465"
"235"	"119"	"3"	"91"	"9"	"61"	"18"	"3"	"8"	"7"	"64"	"3"	"1"	"5"	"1"	"5"	"4"	"8"	"27"	"6"	"7"	"5"	"3"	"339"
"236"	"120"	"15"	"125"	"9"	"275"	"31"	"9"	"9"	"8"	"15"	"13"	"80"	"9"	"8"	"11"	"34"	"44"	"19"	"6"	"12"	"18"	"27"	"777"
"237"	"121"	"9"	"28"	"8"	"312"	"21"	"5"	"5"	"6"	"48"	"9"	"26"	"10"	"8"	"5"	"3"	"13"	"9"	"1"	"1"	"4"	"9"	"540"
"238"	"122"	"2"	"30"	"14"	"193"	"36"	"9"	"2"	"5"	"13"	"2"	"56"	"8"	"6"	"25"	"92"	"3"	"5"	"2"	"3"	"7"	"7"	"520"
"239"	"123"	"4"	"25"	"1"	"694"	"14"	"17"	"0"	"1"	"4"	"0"	"34"	"0"	"1"	"2"	"44"	"0"	"0"	"2"	"5"	"1"	"2"	"851"
"240"	"124"	"4"	"127"	"8"	"593"	"14"	"5"	"0"	"0"	"3"	"1"	"13"	"3"	"0"	"1"	"3"	"1"	"2"	"0"	"6"	"0"	"46"	"830"
"241"	"125"	"16"	"52"	"9"	"234"	"16"	"3"	"2"	"9"	"21"	"2"	"15"	"5"	"5"	"8"	"3"	"3"	"9"	"2"	"4"	"7"	"24"	"449"
"242"	"126"	"8"	"38"	"4"	"165"	"8"	"4"	"3"	"1"	"1"	"1"	"5"	"2"	"0"	"2"	"3"	"2"	"2"	"3"	"1"	"2"	"3"	"258"
"243"	";ksx"	"119"	"1736"	"95"	"2809"	"380"	"74"	"59"	"72"	"445"	"48"	"586"	"89"	"65"	"82"	"234"	"112"	"694"	"79"	"70"	"210"	"155"	"8213"
"244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"248"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"249"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10th Round"	""	""	""
"255"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"257"	"127"	"0"	"34"	"5"	"368"	"19"	"2"	"296"	"3"	"8"	"9"	"19"	"2"	"2"	"1"	"8"	"9"	"1"	"0"	"1"	"3"	"4"	"794"
"258"	"128"	"14"	"30"	"5"	"289"	"15"	"12"	"4"	"5"	"12"	"12"	"41"	"20"	"14"	"9"	"22"	"19"	"3"	"1"	"0"	"3"	"8"	"538"
"259"	"129"	"14"	"272"	"4"	"72"	"19"	"3"	"5"	"3"	"43"	"4"	"5"	"1"	"1"	"1"	"8"	"0"	"0"	"1"	"3"	"4"	"2"	"465"
"260"	"130"	"7"	"61"	"26"	"257"	"4"	"0"	"13"	"3"	"107"	"5"	"7"	"18"	"5"	"3"	"18"	"18"	"12"	"5"	"14"	"8"	"8"	"599"
"261"	"131"	"19"	"83"	"10"	"166"	"28"	"7"	"28"	"17"	"10"	"9"	"180"	"17"	"13"	"1"	"12"	"15"	"42"	"15"	"17"	"8"	"14"	"711"
"262"	"132"	"5"	"73"	"5"	"513"	"19"	"10"	"48"	"4"	"4"	"4"	"25"	"4"	"1"	"8"	"29"	"5"	"0"	"0"	"1"	"0"	"2"	"760"
"263"	"133"	"6"	"74"	"21"	"84"	"20"	"3"	"37"	"4"	"98"	"11"	"10"	"10"	"6"	"2"	"4"	"18"	"4"	"2"	"1"	"1"	"4"	"420"
"264"	"134"	"9"	"4"	"4"	"291"	"15"	"10"	"1"	"1"	"2"	"0"	"29"	"6"	"2"	"4"	"5"	"12"	"10"	"8"	"12"	"38"	"7"	"470"
"265"	"135"	"4"	"82"	"1"	"58"	"5"	"0"	"5"	"1"	"161"	"5"	"1"	"1"	"2"	"0"	"2"	"6"	"1"	"1"	"4"	"0"	"1"	"341"
"266"	"136"	"8"	"40"	"4"	"131"	"5"	"1"	"11"	"5"	"16"	"3"	"3"	"1"	"1"	"2"	"2"	"5"	"0"	"1"	"1"	"0"	"6"	"246"
"267"	"137"	"1"	"50"	"28"	"93"	"10"	"1"	"0"	"1"	"18"	"1"	"23"	"0"	"1"	"0"	"1"	"0"	"3"	"4"	"305"	"4"	"1"	"545"
"268"	"138"	"1"	"8"	"6"	"118"	"9"	"3"	"1"	"2"	"10"	"3"	"135"	"3"	"2"	"2"	"26"	"7"	"2"	"0"	"32"	"3"	"94"	"467"
"269"	"139"	"9"	"18"	"4"	"216"	"7"	"14"	"5"	"7"	"12"	"3"	"90"	"10"	"6"	"9"	"8"	"19"	"3"	"1"	"4"	"3"	"4"	"452"
"270"	"140"	"3"	"86"	"6"	"271"	"31"	"3"	"7"	"2"	"22"	"1"	"13"	"114"	"4"	"3"	"1"	"4"	"9"	"5"	"21"	"9"	"7"	"622"
"271"	";ksx"	"100"	"915"	"129"	"2927"	"206"	"69"	"461"	"58"	"523"	"70"	"581"	"207"	"60"	"45"	"146"	"137"	"90"	"44"	"416"	"84"	"162"	"7430"
"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11th Round"	""	""	""
"283"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"284"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
