"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"137"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"138"	"113"	"4"	"11"	"117"	"156"	"110"	"10"	"8"	"8"	"10"	"15"	"3"	"15"	"8"	"8"	"4"	"12"	"2"	"501"	""	"501"	""
"139"	"114"	"3"	"11"	"394"	"17"	"22"	"1"	"12"	"1"	"0"	"11"	"2"	"3"	"1"	"5"	"0"	"5"	"3"	"491"	""	"491"	""
"140"	"115"	"1"	"14"	"332"	"25"	"52"	"3"	"4"	"1"	"1"	"3"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"442"	""	"442"	""
"141"	"116"	"6"	"5"	"170"	"124"	"52"	"9"	"12"	"5"	"5"	"24"	"3"	"10"	"14"	"10"	"9"	"17"	"4"	"479"	""	"479"	""
"142"	"117"	"11"	"37"	"155"	"90"	"171"	"12"	"10"	"9"	"5"	"12"	"8"	"12"	"5"	"8"	"7"	"15"	"4"	"571"	""	"571"	""
"143"	"118"	"7"	"47"	"162"	"2"	"14"	"2"	"1"	"0"	"2"	"2"	"2"	"2"	"1"	"7"	"1"	"7"	"8"	"267"	""	"267"	""
"144"	"119"	"3"	"6"	"191"	"16"	"9"	"1"	"2"	"1"	"1"	"145"	"3"	"5"	"4"	"0"	"0"	"2"	"0"	"389"	""	"389"	""
"145"	"120"	"94"	"28"	"266"	"17"	"32"	"7"	"8"	"4"	"1"	"23"	"1"	"4"	"3"	"4"	"6"	"7"	"0"	"505"	""	"505"	""
"146"	"121"	"6"	"17"	"110"	"89"	"94"	"18"	"9"	"2"	"0"	"1"	"0"	"4"	"2"	"0"	"0"	"2"	"0"	"354"	""	"354"	""
"147"	"122"	"2"	"9"	"22"	"136"	"104"	"10"	"2"	"0"	"0"	"6"	"3"	"6"	"2"	"1"	"3"	"4"	"2"	"312"	""	"312"	""
"148"	"123"	"110"	"8"	"36"	"30"	"99"	"14"	"14"	"8"	"6"	"20"	"4"	"17"	"14"	"8"	"9"	"24"	"12"	"433"	""	"433"	""
"149"	"124"	"16"	"16"	"31"	"75"	"69"	"9"	"3"	"1"	"1"	"9"	"1"	"3"	"4"	"3"	"5"	"5"	"6"	"257"	""	"257"	""
"150"	"125"	"40"	"11"	"100"	"22"	"56"	"8"	"13"	"6"	"4"	"13"	"6"	"14"	"9"	"8"	"2"	"26"	"0"	"338"	""	"338"	""
"151"	"126"	"23"	"105"	"165"	"4"	"4"	"0"	"3"	"1"	"1"	"3"	"3"	"1"	"1"	"7"	"4"	"12"	"0"	"337"	""	"337"	""
"152"	"Grand Total
(Round 9)"	"326"	"325"	"2251"	"803"	"888"	"104"	"101"	"47"	"37"	"287"	"39"	"97"	"68"	"70"	"51"	"141"	"41"	"5676"	"0"	"5676"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"155"	"127"	"3"	"2"	"388"	"17"	"10"	"2"	"2"	"0"	"0"	"64"	"1"	"2"	"1"	"2"	"2"	"5"	"1"	"502"	""	"502"	""
"156"	"128"	"3"	"54"	"76"	"30"	"28"	"2"	"5"	"3"	"1"	"4"	"1"	"2"	"2"	"8"	"5"	"17"	"3"	"244"	""	"244"	""
"157"	"129"	"6"	"9"	"10"	"21"	"119"	"14"	"6"	"3"	"7"	"5"	"3"	"19"	"4"	"2"	"3"	"12"	"5"	"248"	""	"248"	""
"158"	"130"	"1"	"4"	"49"	"10"	"142"	"6"	"2"	"6"	"0"	"2"	"2"	"2"	"1"	"0"	"0"	"5"	"0"	"232"	""	"232"	""
"159"	"131"	"9"	"72"	"140"	"79"	"43"	"9"	"4"	"3"	"4"	"57"	"5"	"3"	"3"	"6"	"3"	"12"	"3"	"455"	""	"455"	""
"160"	"132"	"8"	"67"	"85"	"53"	"43"	"1"	"2"	"1"	"2"	"17"	"1"	"1"	"4"	"4"	"3"	"7"	"1"	"300"	""	"300"	""
"161"	"133"	"57"	"180"	"123"	"151"	"13"	"1"	"3"	"0"	"1"	"4"	"1"	"1"	"0"	"0"	"2"	"4"	"4"	"545"	""	"545"	""
"162"	"134"	"3"	"155"	"38"	"44"	"8"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"3"	"2"	"260"	""	"260"	""
"163"	"135"	"2"	"5"	"34"	"215"	"153"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"7"	"1"	"2"	"3"	"1"	"429"	""	"429"	""
"164"	"136"	"19"	"322"	"28"	"62"	"15"	"5"	"1"	"4"	"1"	"3"	"0"	"1"	"1"	"1"	"9"	"6"	"7"	"485"	""	"485"	""
"165"	"137"	"19"	"10"	"53"	"269"	"40"	"2"	"8"	"10"	"5"	"31"	"4"	"4"	"3"	"0"	"1"	"8"	"2"	"469"	""	"469"	""
"166"	"138"	"5"	"7"	"65"	"289"	"137"	"14"	"8"	"3"	"10"	"7"	"4"	"9"	"10"	"8"	"6"	"31"	"8"	"621"	""	"621"	""
"167"	"139"	"4"	"6"	"301"	"59"	"18"	"4"	"5"	"2"	"2"	"7"	"0"	"2"	"2"	"1"	"0"	"2"	"2"	"417"	""	"417"	""
"168"	"140"	"66"	"9"	"99"	"173"	"172"	"8"	"7"	"2"	"5"	"4"	"4"	"9"	"10"	"6"	"6"	"28"	"6"	"614"	""	"614"	""
"169"	"Grand Total
(Round 10)"	"205"	"902"	"1489"	"1472"	"941"	"71"	"54"	"37"	"38"	"206"	"27"	"57"	"50"	"39"	"45"	"143"	"45"	"5821"	"0"	"5821"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"172"	"141"	"20"	"3"	"314"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"2"	"0"	"3"	"1"	"356"	""	"356"	""
"173"	"142"	"18"	"3"	"140"	"156"	"31"	"2"	"3"	"2"	"2"	"80"	"5"	"9"	"0"	"1"	"6"	"11"	"6"	"475"	""	"475"	""
"174"	"143"	"7"	"14"	"29"	"65"	"237"	"18"	"6"	"3"	"2"	"3"	"2"	"18"	"13"	"2"	"5"	"30"	"1"	"455"	""	"455"	""
"175"	"144"	"7"	"9"	"85"	"38"	"195"	"5"	"0"	"1"	"1"	"0"	"3"	"10"	"1"	"1"	"3"	"5"	"2"	"366"	""	"366"	""
"176"	"145"	"6"	"4"	"184"	"127"	"200"	"12"	"13"	"5"	"1"	"15"	"5"	"17"	"19"	"6"	"3"	"19"	"0"	"636"	""	"636"	""
"177"	"146"	"5"	"69"	"141"	"63"	"28"	"3"	"2"	"2"	"2"	"0"	"1"	"2"	"0"	"5"	"5"	"9"	"0"	"337"	""	"337"	""
"178"	"147"	"10"	"121"	"173"	"86"	"8"	"1"	"3"	"3"	"3"	"4"	"2"	"7"	"12"	"9"	"5"	"8"	"3"	"458"	""	"458"	""
"179"	"148"	"1"	"4"	"59"	"52"	"192"	"4"	"5"	"5"	"1"	"6"	"6"	"16"	"7"	"5"	"7"	"23"	"9"	"402"	""	"402"	""
"180"	"149"	"72"	"112"	"126"	"55"	"182"	"5"	"6"	"3"	"6"	"3"	"5"	"9"	"5"	"9"	"7"	"20"	"2"	"627"	""	"627"	""
"181"	"150"	"9"	"58"	"77"	"441"	"51"	"7"	"7"	"6"	"8"	"10"	"5"	"6"	"13"	"5"	"7"	"18"	"2"	"730"	""	"730"	""
"182"	"151"	"1"	"39"	"26"	"328"	"14"	"1"	"0"	"1"	"15"	"11"	"2"	"0"	"3"	"2"	"1"	"2"	"0"	"446"	""	"446"	""
"183"	"152"	"7"	"71"	"35"	"245"	"68"	"6"	"3"	"2"	"4"	"8"	"5"	"3"	"9"	"4"	"5"	"5"	"8"	"488"	""	"488"	""
"184"	"153"	"5"	"18"	"20"	"287"	"37"	"5"	"2"	"1"	"8"	"3"	"1"	"3"	"3"	"3"	"2"	"2"	"3"	"403"	""	"403"	""
"185"	"154"	"12"	"20"	"117"	"8"	"90"	"5"	"4"	"3"	"2"	"3"	"0"	"1"	"3"	"3"	"0"	"12"	"5"	"288"	""	"288"	""
"186"	"Grand Total
(Round 11)"	"180"	"545"	"1526"	"1953"	"1339"	"74"	"54"	"37"	"55"	"147"	"43"	"104"	"88"	"57"	"56"	"167"	"42"	"6467"	"0"	"6467"	"0"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"189"	"155"	"2"	"320"	"90"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"439"	""	"439"	""
"190"	"156"	"1"	"269"	"69"	"50"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"5"	"0"	"402"	""	"402"	""
"191"	"157"	"4"	"501"	"71"	"5"	"9"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"599"	""	"599"	""
"192"	"158"	"4"	"425"	"22"	"0"	"12"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"3"	"7"	"2"	"480"	""	"480"	""
"193"	"159"	"3"	"15"	"21"	"286"	"129"	"4"	"2"	"8"	"3"	"1"	"2"	"5"	"12"	"4"	"8"	"29"	"6"	"538"	""	"538"	""
"194"	"160"	"5"	"40"	"18"	"111"	"132"	"9"	"1"	"4"	"1"	"1"	"0"	"3"	"3"	"0"	"1"	"2"	"4"	"335"	""	"335"	""
"195"	"161"	"3"	"78"	"74"	"81"	"135"	"8"	"5"	"3"	"2"	"3"	"5"	"6"	"4"	"7"	"10"	"17"	"1"	"442"	""	"442"	""
"196"	"162"	"4"	"25"	"91"	"140"	"186"	"19"	"13"	"7"	"8"	"16"	"8"	"16"	"22"	"15"	"18"	"54"	"6"	"648"	""	"648"	""
"197"	"163"	"17"	"107"	"209"	"10"	"25"	"4"	"15"	"3"	"2"	"2"	"2"	"5"	"0"	"0"	"1"	"6"	"4"	"412"	""	"412"	""
"198"	"164"	"8"	"12"	"195"	"116"	"118"	"13"	"7"	"11"	"13"	"18"	"3"	"7"	"12"	"6"	"2"	"13"	"13"	"567"	""	"567"	""
"199"	"165"	"22"	"76"	"142"	"111"	"90"	"15"	"9"	"6"	"1"	"26"	"8"	"8"	"7"	"3"	"2"	"20"	"14"	"560"	""	"560"	""
"200"	"166"	"26"	"20"	"65"	"122"	"142"	"16"	"4"	"4"	"4"	"5"	"3"	"4"	"6"	"3"	"6"	"18"	"0"	"448"	""	"448"	""
"201"	"167"	"9"	"19"	"126"	"152"	"37"	"3"	"7"	"2"	"1"	"1"	"2"	"1"	"3"	"0"	"2"	"10"	"0"	"375"	""	"375"	""
"202"	"168"	"17"	"11"	"242"	"74"	"58"	"4"	"6"	"4"	"2"	"43"	"3"	"4"	"5"	"1"	"0"	"12"	"0"	"486"	""	"486"	""
"203"	"Grand Total
(Round 12)"	"125"	"1918"	"1435"	"1276"	"1078"	"96"	"69"	"53"	"39"	"117"	"38"	"62"	"76"	"44"	"55"	"197"	"53"	"6731"	"0"	"6731"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"206"	"169"	"13"	"12"	"58"	"90"	"82"	"13"	"7"	"5"	"2"	"11"	"6"	"4"	"10"	"2"	"2"	"21"	"2"	"340"	""	"340"	""
"207"	"170"	"5"	"71"	"116"	"66"	"153"	"14"	"10"	"6"	"2"	"11"	"5"	"9"	"8"	"5"	"8"	"15"	"1"	"505"	""	"505"	""
"208"	"171"	"5"	"71"	"176"	"57"	"104"	"8"	"9"	"7"	"7"	"30"	"2"	"4"	"8"	"9"	"4"	"13"	"3"	"517"	""	"517"	""
"209"	"172"	"20"	"83"	"257"	"13"	"79"	"9"	"4"	"0"	"0"	"8"	"3"	"2"	"1"	"3"	"2"	"4"	"4"	"492"	""	"492"	""
"210"	"173"	"8"	"70"	"57"	"38"	"123"	"5"	"4"	"0"	"8"	"7"	"1"	"1"	"3"	"3"	"4"	"6"	"2"	"340"	""	"340"	""
"211"	"174"	"1"	"261"	"61"	"13"	"8"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"352"	""	"352"	""
"212"	"175"	"147"	"22"	"67"	"152"	"125"	"8"	"9"	"3"	"3"	"1"	"6"	"7"	"10"	"2"	"6"	"11"	"6"	"585"	""	"585"	""
"213"	"176"	"27"	"1"	"138"	"316"	"132"	"5"	"8"	"2"	"4"	"34"	"5"	"10"	"5"	"1"	"2"	"8"	"2"	"700"	""	"700"	""
"214"	"177"	"4"	"9"	"95"	"57"	"86"	"1"	"1"	"1"	"2"	"15"	"2"	"1"	"5"	"2"	"3"	"6"	"0"	"290"	""	"290"	""
"215"	"178"	"3"	"2"	"184"	"35"	"22"	"2"	"6"	"4"	"0"	"47"	"3"	"4"	"2"	"4"	"2"	"5"	"2"	"327"	""	"327"	""
"216"	"179"	"14"	"3"	"132"	"27"	"37"	"5"	"8"	"4"	"6"	"80"	"4"	"5"	"5"	"4"	"8"	"9"	"6"	"357"	""	"357"	""
"217"	"180"	"11"	"7"	"155"	"23"	"103"	"12"	"4"	"7"	"5"	"74"	"6"	"13"	"8"	"5"	"4"	"27"	"3"	"467"	""	"467"	""
"218"	"181"	"5"	"5"	"228"	"8"	"25"	"3"	"10"	"1"	"3"	"36"	"0"	"6"	"0"	"4"	"0"	"4"	"0"	"338"	""	"338"	""
"219"	"182"	"5"	"18"	"82"	"73"	"233"	"16"	"2"	"1"	"3"	"5"	"1"	"7"	"8"	"4"	"8"	"18"	"12"	"496"	""	"496"	""
"220"	"Grand Total
(Round 13)"	"268"	"635"	"1806"	"968"	"1312"	"103"	"83"	"41"	"46"	"359"	"44"	"73"	"75"	"48"	"53"	"148"	"44"	"6106"	"0"	"6106"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"223"	"183"	"12"	"27"	"86"	"81"	"341"	"18"	"8"	"4"	"2"	"23"	"12"	"14"	"8"	"4"	"3"	"19"	"3"	"665"	""	"665"	""
"224"	"184"	"1"	"4"	"445"	"8"	"4"	"0"	"1"	"0"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"502"	""	"502"	""
"225"	"185"	"4"	"9"	"151"	"37"	"138"	"4"	"8"	"2"	"5"	"111"	"12"	"15"	"10"	"4"	"5"	"16"	"11"	"542"	""	"542"	""
"226"	"186"	"5"	"3"	"133"	"11"	"73"	"8"	"6"	"3"	"1"	"11"	"5"	"4"	"10"	"5"	"9"	"42"	"26"	"355"	""	"355"	""
"227"	"187"	"4"	"79"	"126"	"52"	"16"	"1"	"6"	"4"	"5"	"3"	"6"	"4"	"6"	"6"	"9"	"28"	"1"	"356"	""	"356"	""
"228"	"188"	"3"	"5"	"25"	"129"	"87"	"6"	"5"	"6"	"2"	"4"	"7"	"4"	"3"	"4"	"4"	"21"	"3"	"318"	""	"318"	""
"229"	"189"	"8"	"6"	"124"	"23"	"88"	"4"	"2"	"3"	"0"	"2"	"1"	"3"	"4"	"5"	"5"	"9"	"1"	"288"	""	"288"	""
"230"	"190"	"6"	"16"	"130"	"109"	"84"	"11"	"7"	"12"	"3"	"11"	"9"	"11"	"13"	"8"	"18"	"28"	"6"	"482"	""	"482"	""
"231"	"191"	"13"	"5"	"141"	"79"	"60"	"6"	"11"	"8"	"6"	"47"	"9"	"8"	"10"	"5"	"8"	"24"	"3"	"443"	""	"443"	""
"232"	"192"	"5"	"12"	"224"	"50"	"124"	"8"	"8"	"0"	"8"	"16"	"8"	"12"	"10"	"12"	"11"	"13"	"5"	"526"	""	"526"	""
"233"	"193"	"4"	"12"	"121"	"30"	"110"	"4"	"7"	"0"	"1"	"4"	"0"	"11"	"3"	"4"	"4"	"10"	"3"	"328"	""	"328"	""
"234"	"194"	"119"	"4"	"90"	"65"	"64"	"9"	"7"	"5"	"8"	"69"	"4"	"3"	"5"	"4"	"4"	"8"	"12"	"480"	""	"480"	""
"235"	"195"	"7"	"2"	"44"	"192"	"117"	"8"	"5"	"5"	"1"	"23"	"1"	"1"	"7"	"0"	"4"	"10"	"0"	"427"	""	"427"	""
"236"	"196"	"4"	"13"	"242"	"13"	"53"	"7"	"6"	"5"	"1"	"1"	"4"	"5"	"5"	"15"	"3"	"9"	"0"	"386"	""	"386"	""
"237"	"Grand Total
(Round 14)"	"195"	"197"	"2082"	"879"	"1359"	"94"	"87"	"57"	"43"	"363"	"78"	"95"	"94"	"76"	"87"	"238"	"74"	"6098"	"0"	"6098"	"0"
"238"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"239"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"240"	"197"	"38"	"41"	"50"	"113"	"22"	"11"	"2"	"2"	"3"	"15"	"4"	"4"	"5"	"3"	"5"	"12"	"8"	"338"	""	"338"	""
"241"	"Grand Total
(Round 15)"	"38"	"41"	"50"	"113"	"22"	"11"	"2"	"2"	"3"	"15"	"4"	"4"	"5"	"3"	"5"	"12"	"8"	"338"	"0"	"338"	"0"
