"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"193"	"174"	"116"	"12"	"17"	"372"	"31"	"3"	"2"	"3"	"5"	"3"	"3"	"567"	"0"	"567"	""	""
"194"	"Round-12"	"15590"	"4563"	"3751"	"27544"	"2208"	"260"	"391"	"445"	"1835"	"300"	"835"	"57722"	"0"	"57722"	"0"	"0"
"195"	"175"	"51"	"17"	"9"	"291"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"378"	"0"	"378"	""	""
"196"	"176"	"53"	"57"	"76"	"261"	"12"	"36"	"4"	"10"	"8"	"8"	"18"	"543"	"0"	"543"	""	""
"197"	"177"	"176"	"7"	"2"	"54"	"1"	"4"	"2"	"0"	"2"	"2"	"4"	"254"	"0"	"254"	""	""
"198"	"178"	"40"	"40"	"14"	"141"	"108"	"9"	"4"	"6"	"7"	"2"	"8"	"379"	"0"	"379"	""	""
"199"	"179"	"40"	"2"	"26"	"134"	"2"	"0"	"1"	"2"	"2"	"0"	"2"	"211"	"0"	"211"	""	""
"200"	"180"	"145"	"27"	"30"	"207"	"98"	"3"	"10"	"10"	"17"	"8"	"16"	"571"	"0"	"571"	""	""
"201"	"181"	"59"	"4"	"3"	"91"	"25"	"4"	"1"	"3"	"8"	"0"	"5"	"203"	"0"	"203"	""	""
"202"	"182"	"47"	"6"	"22"	"164"	"7"	"2"	"1"	"3"	"5"	"4"	"9"	"270"	"0"	"270"	""	""
"203"	"183"	"175"	"36"	"8"	"80"	"8"	"1"	"1"	"2"	"34"	"3"	"7"	"355"	"0"	"355"	""	""
"204"	"184"	"86"	"20"	"1"	"194"	"126"	"3"	"0"	"1"	"0"	"0"	"0"	"431"	"0"	"431"	""	""
"205"	"185"	"72"	"21"	"27"	"355"	"28"	"2"	"1"	"3"	"0"	"1"	"1"	"511"	"0"	"511"	""	""
"206"	"186"	"22"	"18"	"20"	"37"	"51"	"4"	"4"	"4"	"8"	"2"	"2"	"172"	"0"	"172"	""	""
"207"	"187"	"17"	"1"	"0"	"296"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"0"	"315"	""	""
"208"	"188"	"96"	"9"	"37"	"186"	"18"	"3"	"1"	"8"	"13"	"2"	"11"	"384"	"0"	"384"	""	""
"209"	"Round-13"	"16669"	"4828"	"4026"	"30035"	"2700"	"331"	"421"	"497"	"1940"	"333"	"919"	"62699"	"0"	"62699"	"0"	"0"
"210"	"190"	"65"	"56"	"8"	"202"	"10"	"3"	"4"	"9"	"7"	"3"	"13"	"380"	"0"	"380"	""	""
"211"	"191"	"57"	"150"	"4"	"183"	"5"	"1"	"3"	"6"	"9"	"1"	"7"	"426"	"0"	"426"	""	""
"212"	"192"	"23"	"43"	"3"	"278"	"2"	"5"	"1"	"4"	"6"	"4"	"2"	"371"	"0"	"371"	""	""
"213"	"193"	"87"	"40"	"9"	"134"	"5"	"0"	"3"	"3"	"5"	"6"	"9"	"301"	"0"	"301"	""	""
"214"	"194"	"39"	"20"	"13"	"122"	"5"	"0"	"1"	"1"	"4"	"3"	"5"	"213"	"0"	"213"	""	""
"215"	"195"	"25"	"3"	"0"	"143"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"177"	"0"	"177"	""	""
"216"	"196"	"143"	"3"	"0"	"39"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"188"	"0"	"188"	""	""
"217"	"197"	"239"	"19"	"15"	"188"	"6"	"2"	"3"	"2"	"9"	"5"	"7"	"495"	"0"	"495"	""	""
"218"	"198"	"30"	"208"	"7"	"229"	"2"	"1"	"0"	"1"	"0"	"4"	"2"	"484"	"0"	"484"	""	""
"219"	"200"	"121"	"161"	"1"	"58"	"4"	"1"	"0"	"2"	"0"	"5"	"2"	"355"	"0"	"355"	""	""
"220"	"202"	"514"	"11"	"3"	"58"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"593"	"0"	"593"	""	""
"221"	"Round-14"	"18012"	"5542"	"4089"	"31669"	"2744"	"345"	"437"	"527"	"1983"	"366"	"968"	"66682"	"0"	"66682"	"0"	"0"
"222"	"50"	"78"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"86"	"0"	"86"	""	""
"223"	"76"	"149"	"5"	"28"	"111"	"10"	"1"	"0"	"5"	"13"	"2"	"14"	"338"	"0"	"338"	""	""
"224"	"109"	"132"	"9"	"31"	"88"	"5"	"2"	"2"	"8"	"1"	"1"	"6"	"285"	"0"	"285"	""	""
"225"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"226"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"227"	"143"	"79"	"53"	"2"	"179"	"7"	"1"	"0"	"1"	"2"	"2"	"5"	"331"	"0"	"331"	""	""
"228"	"155"	"197"	"20"	"2"	"96"	"7"	"3"	"1"	"2"	"5"	"4"	"4"	"341"	"0"	"341"	""	""
"229"	"161"	"78"	"1"	"2"	"142"	"1"	"1"	"0"	"4"	"6"	"4"	"3"	"242"	"0"	"242"	""	""
"230"	"189"	"192"	"34"	"20"	"319"	"4"	"6"	"9"	"6"	"16"	"4"	"27"	"637"	"0"	"637"	""	""
"231"	"199"	"195"	"9"	"5"	"10"	"1"	"0"	"1"	"2"	"2"	"3"	"7"	"235"	"0"	"235"	""	""
"232"	"201"	"132"	"16"	"12"	"149"	"6"	"2"	"5"	"6"	"8"	"4"	"6"	"346"	"0"	"346"	""	""
"233"	"Round-15"	"19244"	"5692"	"4191"	"32767"	"2785"	"361"	"455"	"561"	"2036"	"391"	"1040"	"69523"	"0"	"69523"	"0"	"0"
"234"	"Total No. of votes recorded on Polling Stations"	"19244"	"5692"	"4191"	"32767"	"2785"	"361"	"455"	"561"	"2036"	"391"	"1040"	"69523"	"0"	"69523"	"0"	"0"
"235"	"No. of votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"236"	"Total votes
polled"	"19244"	"5692"	"4191"	"32767"	"2785"	"361"	"455"	"561"	"2036"	"391"	"1040"	"69523"	"0"	"69523"	"0"	"0"
"237"	"Place  :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Date   :                                                                                                                                                                                                                                                        Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
