"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"149  &  ukFkuxj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"210"	"131"	"48"	"37"	"11"	"198"	"15"	"5"	"10"	"8"	"7"	"339"	""	""
"211"	"132"	"9"	"345"	"82"	"8"	"3"	"3"	"7"	"4"	"9"	"470"	""	""
"212"	"133"	"19"	"242"	"135"	"42"	"2"	"2"	"5"	"11"	"2"	"460"	""	""
"213"	"134"	"156"	"41"	"195"	"138"	"19"	"8"	"9"	"13"	"28"	"607"	""	""
"214"	"135"	"59"	"81"	"90"	"269"	"18"	"10"	"13"	"19"	"3"	"562"	""	""
"215"	"136"	"78"	"104"	"7"	"124"	"10"	"4"	"6"	"16"	"10"	"359"	""	""
"216"	";ksx  &"	"654"	"1465"	"1715"	"1930"	"300"	"89"	"121"	"168"	"171"	"6613"	""	""
"217"	"xr  I`k\"B dk   ;ksx&"	"5470"	"13734"	"17728"	"16881"	"2825"	"1211"	"867"	"2068"	"1465"	"62249"	""	""
"218"	"dqy  ;ksx  &"	"6124"	"15199"	"19443"	"18811"	"3125"	"1300"	"988"	"2236"	"1636"	"68862"	""	""
"219"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"221"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"223"	"137"	"133"	"113"	"105"	"171"	"14"	"8"	"6"	"7"	"10"	"567"	""	""
"224"	"138"	"33"	"144"	"58"	"119"	"4"	"4"	"9"	"16"	"20"	"407"	""	""
"225"	"139"	"195"	"91"	"98"	"142"	"13"	"6"	"8"	"15"	"19"	"587"	""	""
"226"	"140"	"138"	"28"	"66"	"130"	"3"	"6"	"6"	"5"	"3"	"385"	""	""
"227"	"141"	"245"	"88"	"28"	"237"	"4"	"8"	"16"	"18"	"4"	"648"	""	""
"228"	"142"	"168"	"42"	"84"	"192"	"16"	"7"	"13"	"16"	"18"	"556"	""	""
"229"	"143"	"28"	"73"	"132"	"229"	"10"	"4"	"2"	"6"	"12"	"496"	""	""
"230"	"144"	"88"	"122"	"95"	"76"	"7"	"7"	"1"	"7"	"8"	"411"	""	""
"231"	"145"	"94"	"185"	"38"	"237"	"1"	"6"	"2"	"8"	"2"	"573"	""	""
"232"	"146"	"134"	"208"	"108"	"83"	"19"	"6"	"6"	"8"	"20"	"592"	""	""
"233"	"147"	"187"	"20"	"35"	"219"	"12"	"13"	"7"	"6"	"17"	"516"	""	""
"234"	"148"	"8"	"135"	"176"	"51"	"1"	"3"	"4"	"7"	"2"	"387"	""	""
"235"	"149"	"46"	"119"	"336"	"32"	"14"	"6"	"15"	"9"	"24"	"601"	""	""
"236"	"150"	"2"	"67"	"190"	"49"	"1"	"0"	"0"	"0"	"2"	"311"	""	""
"237"	";ksx  &"	"1499"	"1435"	"1549"	"1967"	"119"	"84"	"95"	"128"	"161"	"7037"	""	""
"238"	"xr  I`k\"B dk   ;ksx&"	"6124"	"15199"	"19443"	"18811"	"3125"	"1300"	"988"	"2236"	"1636"	"68862"	""	""
"239"	"dqy  ;ksx  &"	"7623"	"16634"	"20992"	"20778"	"3244"	"1384"	"1083"	"2364"	"1797"	"75899"	""	""
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"242"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"243"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"244"	"151"	"5"	"28"	"39"	"306"	"4"	"4"	"4"	"10"	"18"	"418"	""	""
"245"	"152"	"10"	"11"	"43"	"258"	"4"	"7"	"4"	"21"	"13"	"371"	""	""
"246"	"153"	"75"	"166"	"280"	"13"	"6"	"3"	"4"	"2"	"7"	"556"	""	""
"247"	"154"	"210"	"56"	"64"	"84"	"13"	"4"	"50"	"15"	"33"	"529"	""	""
"248"	"155"	"82"	"6"	"15"	"259"	"11"	"14"	"6"	"24"	"10"	"427"	""	""
"249"	"156"	"131"	"3"	"14"	"168"	"1"	"2"	"1"	"7"	"7"	"334"	""	""
"250"	"157"	"11"	"10"	"345"	"44"	"14"	"0"	"14"	"0"	"2"	"440"	""	""
"251"	"158"	"60"	"6"	"251"	"74"	"37"	"4"	"7"	"14"	"11"	"464"	""	""
"252"	"159"	"132"	"56"	"181"	"49"	"7"	"1"	"7"	"7"	"1"	"441"	""	""
"253"	"160"	"125"	"14"	"223"	"100"	"7"	"17"	"15"	"18"	"135"	"654"	""	""
"254"	"161"	"198"	"13"	"161"	"177"	"12"	"2"	"19"	"15"	"22"	"619"	""	""
"255"	"162"	"94"	"3"	"4"	"242"	"5"	"2"	"6"	"6"	"40"	"402"	""	""
"256"	"163"	"128"	"8"	"54"	"235"	"18"	"14"	"8"	"13"	"4"	"482"	""	""
"257"	"164"	"47"	"17"	"63"	"217"	"4"	"17"	"3"	"5"	"5"	"378"	""	""
"258"	";ksx  &"	"1308"	"397"	"1737"	"2226"	"143"	"91"	"148"	"157"	"308"	"6515"	""	""
"259"	"xr  I`k\"B dk   ;ksx&"	"7623"	"16634"	"20992"	"20778"	"3244"	"1384"	"1083"	"2364"	"1797"	"75899"	""	""
"260"	"dqy  ;ksx  &"	"8931"	"17031"	"22729"	"23004"	"3387"	"1475"	"1231"	"2521"	"2105"	"82414"	""	""
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"263"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"264"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"265"	"165"	"102"	"25"	"162"	"57"	"27"	"9"	"9"	"7"	"22"	"420"	""	""
"266"	"166"	"111"	"50"	"126"	"269"	"21"	"16"	"10"	"25"	"11"	"639"	""	""
"267"	"167"	"4"	"23"	"17"	"452"	"2"	"8"	"3"	"13"	"2"	"524"	""	""
"268"	"168"	"61"	"15"	"470"	"173"	"23"	"9"	"15"	"8"	"12"	"786"	""	""
"269"	"169"	"53"	"16"	"34"	"121"	"7"	"5"	"4"	"7"	"10"	"257"	""	""
"270"	"170"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"271"	"171"	"312"	"17"	"6"	"221"	"4"	"5"	"4"	"17"	"15"	"601"	""	""
"272"	"172"	"14"	"2"	"43"	"216"	"9"	"5"	"15"	"3"	"4"	"311"	""	""
"273"	"173"	"23"	"26"	"138"	"226"	"30"	"5"	"5"	"6"	"4"	"463"	""	""
"274"	"174"	"25"	"6"	"70"	"335"	"9"	"8"	"54"	"11"	"16"	"534"	""	""
"275"	"175"	"27"	"19"	"108"	"251"	"2"	"7"	"12"	"23"	"14"	"463"	""	""
"276"	"176"	"57"	"19"	"28"	"166"	"6"	"7"	"7"	"18"	"17"	"325"	""	""
"277"	"177"	"33"	"20"	"192"	"300"	"15"	"10"	"31"	"13"	"19"	"633"	""	""
"278"	"178"	"9"	"25"	"258"	"334"	"4"	"3"	"5"	"13"	"5"	"656"	""	""
"279"	";ksx  &"	"831"	"263"	"1652"	"3121"	"159"	"97"	"174"	"164"	"151"	"6612"	""	""
"280"	"xr  I`k\"B dk   ;ksx&"	"8931"	"17031"	"22729"	"23004"	"3387"	"1475"	"1231"	"2521"	"2105"	"82414"	""	""
"281"	"dqy  ;ksx  &"	"9762"	"17294"	"24381"	"26125"	"3546"	"1572"	"1405"	"2685"	"2256"	"89026"	""	""
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"284"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"285"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"286"	"179"	"6"	"42"	"241"	"65"	"3"	"1"	"2"	"6"	"7"	"373"	""	""
"287"	"180"	"3"	"53"	"387"	"31"	"4"	"3"	"2"	"0"	"0"	"483"	""	""
"288"	"181"	"12"	"67"	"456"	"74"	"10"	"5"	"10"	"13"	"12"	"659"	""	""
"289"	"182"	"11"	"168"	"363"	"116"	"7"	"2"	"2"	"16"	"13"	"698"	""	""
"290"	"183"	"22"	"61"	"28"	"97"	"2"	"4"	"13"	"368"	"7"	"602"	""	""
"291"	"183¼d½"	"9"	"36"	"37"	"153"	"6"	"4"	"7"	"108"	"15"	"375"	""	""
"292"	"184"	"23"	"24"	"26"	"346"	"7"	"20"	"13"	"95"	"13"	"567"	""	""
"293"	"185"	"13"	"153"	"83"	"456"	"4"	"2"	"26"	"10"	"4"	"751"	""	""
"294"	"186"	"53"	"72"	"45"	"472"	"9"	"8"	"5"	"20"	"7"	"691"	""	""
"295"	"187"	"13"	"141"	"279"	"32"	"24"	"4"	"18"	"5"	"2"	"518"	""	""
"296"	"188"	"6"	"9"	"33"	"425"	"13"	"9"	"10"	"59"	"12"	"576"	""	""
"297"	"189"	"36"	"33"	"157"	"235"	"12"	"11"	"15"	"34"	"28"	"561"	""	""
"298"	"190"	"28"	"12"	"49"	"456"	"13"	"19"	"8"	"20"	"7"	"612"	""	""
"299"	"190¼d½"	"2"	"2"	"11"	"457"	"4"	"5"	"10"	"24"	"5"	"520"	""	""
"300"	";ksx  &"	"237"	"873"	"2195"	"3415"	"118"	"97"	"141"	"778"	"132"	"7986"	""	""
"301"	"xr  I`k\"B dk   ;ksx&"	"9762"	"17294"	"24381"	"26125"	"3546"	"1572"	"1405"	"2685"	"2256"	"89026"	""	""
"302"	"dqy  ;ksx  &"	"9999"	"18167"	"26576"	"29540"	"3664"	"1669"	"1546"	"3463"	"2388"	"97012"	""	""
"303"	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"305"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"306"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"307"	"191"	"6"	"84"	"228"	"311"	"10"	"2"	"5"	"5"	"9"	"660"	""	""
"308"	"192"	"4"	"42"	"53"	"529"	"9"	"4"	"4"	"15"	"11"	"671"	""	""
"309"	"192 ¼d½"	"1"	"13"	"34"	"121"	"0"	"0"	"4"	"2"	"1"	"176"	""	""
"310"	"193"	"58"	"64"	"194"	"365"	"13"	"7"	"15"	"17"	"9"	"742"	""	""
"311"	"194"	"17"	"60"	"40"	"389"	"4"	"4"	"8"	"10"	"6"	"538"	""	""
"312"	"195"	"4"	"9"	"50"	"489"	"9"	"5"	"4"	"19"	"8"	"597"	""	""
"313"	"196"	"55"	"45"	"58"	"444"	"6"	"6"	"11"	"17"	"11"	"653"	""	""
"314"	"197"	"13"	"150"	"330"	"136"	"7"	"11"	"18"	"11"	"10"	"686"	""	""
"315"	"198"	"33"	"61"	"66"	"381"	"11"	"10"	"81"	"18"	"16"	"677"	""	""
"316"	"199"	"5"	"373"	"220"	"71"	"1"	"2"	"7"	"6"	"0"	"685"	""	""
"317"	"200"	"95"	"45"	"227"	"363"	"8"	"11"	"9"	"12"	"22"	"792"	""	""
"318"	"201"	"5"	"57"	"329"	"17"	"3"	"3"	"5"	"5"	"10"	"434"	""	""
"319"	"202"	"32"	"103"	"33"	"367"	"13"	"6"	"8"	"17"	"10"	"589"	""	""
"320"	"203"	"39"	"79"	"273"	"143"	"11"	"12"	"32"	"18"	"13"	"620"	""	""
"321"	";ksx  &"	"367"	"1185"	"2135"	"4126"	"105"	"83"	"211"	"172"	"136"	"8520"	""	""
"322"	"xr  I`k\"B dk   ;ksx&"	"9999"	"18167"	"26576"	"29540"	"3664"	"1669"	"1546"	"3463"	"2388"	"97012"	""	""
"323"	"dqy  ;ksx  &"	"10366"	"19352"	"28711"	"33666"	"3769"	"1752"	"1757"	"3635"	"2524"	"105532"	""	""
"324"	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"326"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"327"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"328"	"204"	"30"	"30"	"198"	"342"	"4"	"10"	"10"	"19"	"12"	"655"	""	""
"329"	"205"	"18"	"52"	"87"	"339"	"12"	"11"	"17"	"36"	"19"	"591"	""	""
"330"	"206"	"54"	"28"	"90"	"554"	"42"	"9"	"7"	"12"	"40"	"836"	""	""
"331"	"207"	"34"	"33"	"380"	"150"	"12"	"9"	"16"	"13"	"21"	"668"	""	""
"332"	"208"	"17"	"2"	"44"	"705"	"9"	"5"	"22"	"12"	"7"	"823"	""	""
"333"	"209"	"7"	"5"	"560"	"65"	"3"	"3"	"4"	"2"	"2"	"651"	""	""
"334"	"210"	"55"	"111"	"89"	"84"	"12"	"8"	"10"	"10"	"11"	"390"	""	""
"335"	"211"	"2"	"6"	"167"	"8"	"7"	"1"	"0"	"0"	"2"	"193"	""	""
"336"	"212"	"2"	"30"	"317"	"7"	"3"	"0"	"2"	"0"	"3"	"364"	""	""
"337"	"213"	"4"	"34"	"150"	"11"	"12"	"0"	"0"	"2"	"2"	"215"	""	""
"338"	"214"	"116"	"63"	"58"	"70"	"10"	"5"	"6"	"9"	"16"	"353"	""	""
"339"	"215"	"35"	"89"	"94"	"7"	"33"	"1"	"8"	"2"	"3"	"272"	""	""
"340"	"216"	"19"	"23"	"227"	"132"	"9"	"9"	"11"	"6"	"7"	"443"	""	""
"341"	"217"	"25"	"10"	"359"	"15"	"14"	"5"	"6"	"1"	"7"	"442"	""	""
"342"	";ksx  &"	"418"	"516"	"2820"	"2489"	"182"	"76"	"119"	"124"	"152"	"6896"	""	""
"343"	"xr  I`k\"B dk   ;ksx&"	"10366"	"19352"	"28711"	"33666"	"3769"	"1752"	"1757"	"3635"	"2524"	"105532"	""	""
"344"	"dqy  ;ksx  &"	"10784"	"19868"	"31531"	"36155"	"3951"	"1828"	"1876"	"3759"	"2676"	"112428"	""	""
"345"	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"17"	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"348"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"349"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"350"	"218"	"71"	"41"	"330"	"29"	"30"	"4"	"8"	"15"	"9"	"537"	""	""
"351"	"219"	"8"	"87"	"316"	"14"	"2"	"2"	"7"	"1"	"10"	"447"	""	""
"352"	"220"	"17"	"229"	"326"	"51"	"7"	"3"	"4"	"0"	"5"	"642"	""	""
"353"	"221"	"1"	"40"	"484"	"4"	"1"	"0"	"3"	"0"	"57"	"590"	""	""
"354"	"222"	"5"	"79"	"275"	"6"	"4"	"0"	"4"	"0"	"4"	"377"	""	""
"355"	"223"	"4"	"251"	"388"	"12"	"2"	"2"	"4"	"5"	"13"	"681"	""	""
"356"	"224"	"218"	"18"	"136"	"239"	"14"	"4"	"6"	"11"	"7"	"653"	""	""
"357"	"225"	"58"	"27"	"71"	"303"	"2"	"8"	"2"	"7"	"6"	"484"	""	""
"358"	"226"	"154"	"9"	"41"	"273"	"0"	"1"	"17"	"7"	"26"	"528"	""	""
"359"	"227"	"79"	"10"	"55"	"479"	"29"	"23"	"11"	"23"	"77"	"786"	""	""
"360"	"228"	"4"	"62"	"412"	"41"	"2"	"3"	"3"	"3"	"5"	"535"	""	""
"361"	"229"	"14"	"46"	"49"	"157"	"5"	"7"	"3"	"4"	"11"	"296"	""	""
"362"	"230"	"9"	"388"	"57"	"21"	"1"	"1"	"3"	"1"	"1"	"482"	""	""
"363"	";ksx  &"	"642"	"1287"	"2940"	"1629"	"99"	"58"	"75"	"77"	"231"	"7038"	""	""
"364"	"xr  I`k\"B dk   ;ksx&"	"10784"	"19868"	"31531"	"36155"	"3951"	"1828"	"1876"	"3759"	"2676"	"112428"	""	""
"365"	"ernku  dsUnzksa ij
vfHkfyf[kr erksa  dh dqy  la[;k  &"	"11426"	"21155"	"34471"	"37784"	"4050"	"1886"	"1951"	"3836"	"2907"	"119466"	""	""
"366"	"Mkd  er  Ik=ksa ij
vfHkfyf[kr erksa  dh la[;k&"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	""
"367"	"Mkys  x;s  dqy  er  &"	"11426"	"21155"	"34472"	"37784"	"4050"	"1886"	"1951"	"3836"	"2907"	"119467"	""	""
"368"	"LFkku  &  jktdh;  iksyfVdfud  cjkjh]  Hkkxyiqj                                                                                                           fuokZph inkf/kdkjh
rkfj[k  &  ----27@02@2005--                                                                                                           &lg&"	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"vuqe.My inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"lnj Hkkxyiqj"	""	""	""	""	""	""	""	""	""	""	""	""
