"150"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"154"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"155"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"156"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"158"	"71"	"45"	"11"	"52"	"17"	"4"	"6"	"21"	"24"	"23"	"398"	"6"	"8"	"71"	"7"	"3"	"9"	"705"	"0"	"705"	"0"
"159"	"72"	"74"	"1"	"7"	"5"	"3"	"2"	"12"	"13"	"8"	"216"	"5"	"7"	"5"	"1"	"5"	"10"	"374"	"0"	"374"	"0"
"160"	"73"	"65"	"0"	"16"	"3"	"2"	"0"	"1"	"3"	"4"	"427"	"3"	"0"	"3"	"0"	"2"	"4"	"533"	"0"	"533"	"0"
"161"	"74"	"629"	"5"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"34"	"1"	"0"	"8"	"1"	"0"	"6"	"691"	"0"	"691"	"0"
"162"	"75"	"81"	"4"	"2"	"5"	"0"	"0"	"2"	"6"	"0"	"300"	"2"	"1"	"7"	"0"	"2"	"5"	"417"	"0"	"417"	"0"
"163"	"76"	"279"	"5"	"0"	"11"	"3"	"2"	"2"	"5"	"5"	"195"	"5"	"2"	"8"	"4"	"1"	"9"	"536"	"0"	"536"	"0"
"164"	"77"	"278"	"6"	"1"	"2"	"2"	"1"	"8"	"5"	"2"	"219"	"4"	"0"	"4"	"0"	"5"	"22"	"559"	"0"	"559"	"0"
"165"	"78"	"190"	"7"	"71"	"5"	"10"	"2"	"21"	"15"	"10"	"214"	"43"	"11"	"13"	"6"	"9"	"55"	"682"	"0"	"682"	"0"
"166"	"79"	"123"	"2"	"26"	"6"	"2"	"0"	"11"	"13"	"4"	"257"	"10"	"2"	"4"	"3"	"4"	"7"	"474"	"0"	"474"	"0"
"167"	"80"	"370"	"14"	"19"	"4"	"9"	"2"	"3"	"13"	"10"	"284"	"7"	"1"	"9"	"1"	"6"	"21"	"773"	"0"	"773"	"0"
"168"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"175"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"176"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"177"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"179"	"81"	"370"	"9"	"21"	"5"	"5"	"4"	"1"	"5"	"7"	"56"	"34"	"4"	"4"	"10"	"5"	"56"	"596"	"0"	"596"	"0"
"180"	"82"	"158"	"16"	"43"	"12"	"10"	"8"	"9"	"16"	"5"	"231"	"12"	"7"	"15"	"5"	"11"	"12"	"570"	"0"	"570"	"0"
"181"	"83"	"297"	"17"	"21"	"10"	"3"	"2"	"16"	"20"	"4"	"231"	"7"	"5"	"9"	"7"	"12"	"39"	"700"	"0"	"700"	"0"
"182"	"84"	"434"	"9"	"60"	"5"	"1"	"1"	"1"	"3"	"3"	"10"	"0"	"4"	"5"	"3"	"3"	"35"	"577"	"0"	"577"	"0"
"183"	"85"	"256"	"20"	"35"	"7"	"5"	"4"	"23"	"20"	"11"	"313"	"7"	"1"	"6"	"3"	"5"	"31"	"747"	"0"	"747"	"0"
"184"	"86"	"41"	"0"	"16"	"0"	"3"	"0"	"2"	"7"	"2"	"444"	"4"	"3"	"3"	"2"	"0"	"4"	"531"	"0"	"531"	"0"
"185"	"87"	"358"	"8"	"36"	"7"	"4"	"2"	"6"	"13"	"6"	"167"	"11"	"6"	"2"	"9"	"17"	"29"	"681"	"0"	"681"	"0"
"186"	"88"	"28"	"5"	"10"	"3"	"5"	"1"	"7"	"12"	"4"	"158"	"11"	"1"	"14"	"3"	"134"	"16"	"412"	"0"	"412"	"0"
"187"	"89"	"175"	"4"	"72"	"9"	"8"	"3"	"12"	"19"	"8"	"183"	"7"	"4"	"10"	"10"	"4"	"18"	"546"	"0"	"546"	"0"
"188"	"90"	"265"	"9"	"31"	"6"	"3"	"1"	"1"	"8"	"3"	"161"	"4"	"3"	"7"	"10"	"8"	"36"	"556"	"0"	"556"	"0"
"189"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"196"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"197"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"198"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"199"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"200"	"91"	"132"	"4"	"60"	"11"	"7"	"2"	"9"	"28"	"15"	"301"	"16"	"6"	"11"	"3"	"9"	"13"	"627"	"0"	"627"	"0"
"201"	"92"	"232"	"10"	"23"	"10"	"3"	"1"	"9"	"25"	"8"	"247"	"13"	"4"	"13"	"4"	"7"	"22"	"631"	"0"	"631"	"0"
"202"	"93"	"61"	"4"	"72"	"12"	"7"	"7"	"10"	"22"	"6"	"219"	"7"	"8"	"12"	"4"	"3"	"17"	"471"	"0"	"471"	"0"
"203"	"94"	"165"	"10"	"19"	"7"	"1"	"4"	"3"	"9"	"3"	"165"	"1"	"2"	"13"	"2"	"3"	"6"	"413"	"0"	"413"	"0"
"204"	"95"	"107"	"1"	"12"	"5"	"3"	"3"	"5"	"11"	"9"	"454"	"7"	"4"	"6"	"3"	"3"	"10"	"643"	"0"	"643"	"0"
"205"	"96"	"201"	"9"	"76"	"20"	"8"	"9"	"9"	"18"	"0"	"294"	"17"	"10"	"37"	"7"	"6"	"14"	"735"	"0"	"735"	"0"
"206"	"97"	"453"	"2"	"20"	"2"	"4"	"7"	"0"	"5"	"0"	"40"	"1"	"0"	"4"	"0"	"2"	"1"	"541"	"0"	"541"	"0"
"207"	"98"	"263"	"6"	"9"	"4"	"4"	"3"	"0"	"2"	"7"	"37"	"1"	"1"	"1"	"2"	"3"	"14"	"357"	"0"	"357"	"0"
"208"	"99"	"316"	"7"	"2"	"1"	"1"	"0"	"1"	"0"	"4"	"37"	"0"	"1"	"3"	"1"	"0"	"9"	"383"	"0"	"383"	"0"
"209"	"100"	"199"	"14"	"6"	"8"	"9"	"5"	"2"	"11"	"11"	"135"	"6"	"2"	"6"	"2"	"2"	"10"	"428"	"0"	"428"	"0"
"210"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"217"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"218"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"219"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"220"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"221"	"101"	"120"	"2"	"23"	"3"	"4"	"2"	"1"	"4"	"4"	"105"	"3"	"3"	"4"	"1"	"1"	"7"	"287"	"0"	"287"	"0"
"222"	"102"	"226"	"7"	"7"	"3"	"1"	"5"	"4"	"8"	"3"	"94"	"7"	"4"	"6"	"5"	"9"	"39"	"428"	"0"	"428"	"0"
"223"	"103"	"99"	"3"	"22"	"5"	"5"	"0"	"3"	"3"	"2"	"271"	"3"	"1"	"5"	"0"	"4"	"1"	"427"	"0"	"427"	"0"
"224"	"104"	"242"	"9"	"5"	"7"	"11"	"3"	"18"	"27"	"12"	"287"	"15"	"22"	"14"	"5"	"4"	"27"	"708"	"0"	"708"	"0"
"225"	"105"	"166"	"1"	"28"	"4"	"4"	"3"	"8"	"14"	"4"	"123"	"11"	"3"	"18"	"3"	"4"	"34"	"428"	"0"	"428"	"0"
"226"	"106"	"185"	"5"	"8"	"3"	"2"	"0"	"7"	"7"	"3"	"62"	"1"	"0"	"2"	"3"	"3"	"9"	"300"	"0"	"300"	"0"
"227"	"107"	"318"	"3"	"12"	"2"	"1"	"0"	"0"	"3"	"1"	"29"	"1"	"0"	"5"	"1"	"0"	"9"	"385"	"0"	"385"	"0"
"228"	"108"	"173"	"4"	"13"	"13"	"3"	"2"	"5"	"8"	"2"	"123"	"6"	"2"	"4"	"4"	"0"	"8"	"370"	"0"	"370"	"0"
"229"	"109"	"197"	"8"	"7"	"4"	"7"	"4"	"3"	"10"	"9"	"115"	"4"	"0"	"1"	"0"	"1"	"5"	"375"	"0"	"375"	"0"
"230"	"110"	"160"	"6"	"6"	"5"	"0"	"1"	"9"	"13"	"8"	"211"	"9"	"3"	"13"	"2"	"1"	"16"	"463"	"0"	"463"	"0"
"231"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"238"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"239"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"240"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"241"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"242"	"111"	"222"	"5"	"12"	"1"	"3"	"11"	"5"	"2"	"2"	"114"	"2"	"1"	"2"	"2"	"1"	"5"	"390"	"0"	"390"	"0"
"243"	"112"	"252"	"13"	"34"	"2"	"5"	"4"	"8"	"15"	"7"	"135"	"5"	"19"	"22"	"11"	"4"	"15"	"551"	"0"	"551"	"0"
"244"	"113"	"175"	"19"	"66"	"11"	"5"	"9"	"6"	"6"	"1"	"72"	"2"	"0"	"2"	"4"	"3"	"9"	"390"	"0"	"390"	"0"
"245"	"114"	"421"	"6"	"2"	"2"	"9"	"97"	"1"	"3"	"5"	"121"	"3"	"0"	"4"	"5"	"5"	"9"	"693"	"0"	"693"	"0"
"246"	"115"	"336"	"8"	"5"	"8"	"2"	"5"	"4"	"5"	"7"	"183"	"4"	"0"	"1"	"4"	"1"	"8"	"581"	"0"	"581"	"0"
"247"	"116"	"307"	"9"	"5"	"3"	"2"	"12"	"4"	"5"	"4"	"90"	"1"	"1"	"8"	"24"	"2"	"12"	"489"	"0"	"489"	"0"
"248"	"117"	"357"	"5"	"2"	"1"	"7"	"14"	"1"	"0"	"2"	"41"	"2"	"0"	"4"	"4"	"0"	"6"	"446"	"0"	"446"	"0"
"249"	"118"	"437"	"7"	"1"	"2"	"3"	"10"	"1"	"4"	"1"	"33"	"2"	"0"	"3"	"1"	"4"	"6"	"515"	"0"	"515"	"0"
"250"	"119"	"112"	"6"	"1"	"6"	"3"	"7"	"2"	"11"	"1"	"141"	"10"	"4"	"3"	"0"	"1"	"11"	"319"	"0"	"319"	"0"
"251"	"120"	"101"	"6"	"16"	"12"	"9"	"12"	"22"	"35"	"14"	"254"	"17"	"2"	"28"	"8"	"9"	"34"	"579"	"0"	"579"	"0"
"252"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"259"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"260"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"261"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"263"	"121"	"53"	"6"	"4"	"7"	"6"	"1"	"22"	"31"	"13"	"377"	"11"	"4"	"19"	"4"	"2"	"9"	"569"	"0"	"569"	"0"
"264"	"122"	"105"	"6"	"3"	"6"	"10"	"2"	"13"	"15"	"10"	"591"	"15"	"1"	"20"	"4"	"3"	"6"	"810"	"0"	"810"	"0"
"265"	"123"	"23"	"5"	"24"	"7"	"10"	"3"	"21"	"23"	"12"	"299"	"10"	"2"	"25"	"7"	"3"	"11"	"485"	"0"	"485"	"0"
"266"	"124"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"0"	"0"	"3"	"0"	"0"	"0"	"253"	"0"	"253"	"0"
"267"	"125"	"206"	"15"	"6"	"6"	"1"	"1"	"6"	"8"	"13"	"140"	"5"	"0"	"14"	"1"	"0"	"5"	"427"	"0"	"427"	"0"
"268"	"126"	"189"	"11"	"14"	"7"	"4"	"3"	"3"	"8"	"6"	"72"	"6"	"1"	"4"	"8"	"11"	"12"	"359"	"0"	"359"	"0"
"269"	"127"	"253"	"10"	"10"	"7"	"7"	"2"	"1"	"3"	"2"	"45"	"3"	"2"	"5"	"0"	"4"	"15"	"369"	"0"	"369"	"0"
"270"	"128"	"49"	"0"	"21"	"3"	"4"	"1"	"10"	"10"	"7"	"303"	"1"	"1"	"6"	"1"	"0"	"10"	"427"	"0"	"427"	"0"
"271"	"129"	"28"	"4"	"23"	"5"	"20"	"6"	"19"	"12"	"13"	"266"	"6"	"2"	"14"	"3"	"1"	"12"	"434"	"0"	"434"	"0"
"272"	"130"	"7"	"0"	"24"	"1"	"3"	"0"	"1"	"2"	"0"	"290"	"2"	"1"	"45"	"3"	"0"	"2"	"381"	"0"	"381"	"0"
"273"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"280"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"281"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"282"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"283"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"284"	"131"	"69"	"2"	"32"	"7"	"5"	"2"	"10"	"10"	"7"	"278"	"5"	"7"	"96"	"3"	"2"	"17"	"552"	"0"	"552"	"0"
"285"	"131(K)"	"58"	"5"	"2"	"3"	"3"	"2"	"9"	"12"	"11"	"141"	"4"	"1"	"27"	"2"	"1"	"2"	"283"	"0"	"283"	"0"
"286"	"132"	"117"	"8"	"7"	"15"	"17"	"2"	"16"	"16"	"17"	"265"	"14"	"6"	"175"	"13"	"9"	"28"	"725"	"0"	"725"	"0"
"287"	"133"	"307"	"8"	"7"	"4"	"0"	"3"	"2"	"9"	"2"	"10"	"2"	"1"	"6"	"1"	"4"	"31"	"397"	"0"	"397"	"0"
"288"	"134"	"299"	"11"	"5"	"8"	"5"	"1"	"4"	"2"	"5"	"135"	"5"	"5"	"5"	"1"	"4"	"15"	"510"	"0"	"510"	"0"
"289"	"135"	"154"	"8"	"36"	"6"	"69"	"10"	"15"	"10"	"10"	"191"	"10"	"9"	"28"	"13"	"15"	"67"	"651"	"0"	"651"	"0"
"290"	"136"	"76"	"2"	"50"	"10"	"111"	"2"	"2"	"6"	"2"	"129"	"12"	"7"	"18"	"8"	"6"	"18"	"459"	"0"	"459"	"0"
"291"	"137"	"206"	"8"	"28"	"1"	"17"	"2"	"6"	"7"	"5"	"89"	"1"	"4"	"11"	"6"	"8"	"42"	"441"	"0"	"441"	"0"
"292"	"138"	"10"	"2"	"14"	"9"	"21"	"3"	"7"	"12"	"6"	"425"	"9"	"3"	"10"	"2"	"2"	"14"	"549"	"0"	"549"	"0"
"293"	"139"	"305"	"11"	"18"	"5"	"4"	"3"	"6"	"12"	"1"	"58"	"4"	"0"	"6"	"7"	"7"	"14"	"461"	"0"	"461"	"0"
"294"	"140"	"124"	"5"	"3"	"0"	"3"	"1"	"6"	"9"	"1"	"52"	"4"	"0"	"5"	"4"	"2"	"12"	"231"	"0"	"231"	"0"
"295"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
