"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"169"	"109"	"15"	"35"	"3"	"6"	"0"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"4"	"80"	"0"	"80"	"0"
"170"	"110"	"21"	"154"	"10"	"59"	"1"	"10"	"3"	"4"	"77"	"15"	"6"	"11"	"30"	"401"	"0"	"401"	"0"
"171"	"111"	"52"	"153"	"14"	"188"	"11"	"23"	"8"	"4"	"53"	"9"	"2"	"8"	"20"	"545"	"0"	"545"	"0"
"172"	"112"	"7"	"514"	"7"	"11"	"4"	"24"	"4"	"1"	"14"	"2"	"2"	"8"	"6"	"604"	"0"	"604"	"0"
"173"	"Round Total"	"1323"	"1549"	"106"	"1811"	"122"	"107"	"109"	"44"	"268"	"99"	"53"	"95"	"315"	"6001"	"0"	"6001"	"0"
"174"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Time:11.15 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"178"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"179"	"113"	"43"	"152"	"9"	"127"	"8"	"6"	"1"	"4"	"159"	"16"	"6"	"15"	"17"	"563"	"0"	"563"	"0"
"180"	"114"	"150"	"63"	"7"	"122"	"30"	"4"	"13"	"14"	"51"	"12"	"12"	"21"	"83"	"582"	"0"	"582"	"0"
"181"	"115"	"30"	"165"	"8"	"10"	"4"	"1"	"2"	"3"	"125"	"8"	"4"	"14"	"21"	"395"	"0"	"395"	"0"
"182"	"116"	"28"	"249"	"7"	"21"	"2"	"3"	"1"	"3"	"41"	"2"	"1"	"10"	"11"	"379"	"0"	"379"	"0"
"183"	"117"	"25"	"76"	"1"	"6"	"0"	"1"	"3"	"0"	"125"	"1"	"0"	"2"	"4"	"244"	"0"	"244"	"0"
"184"	"118"	"17"	"227"	"16"	"148"	"8"	"19"	"6"	"7"	"9"	"10"	"4"	"8"	"22"	"501"	"0"	"501"	"0"
"185"	"119"	"62"	"123"	"18"	"164"	"18"	"13"	"14"	"7"	"20"	"16"	"9"	"5"	"47"	"516"	"0"	"516"	"0"
"186"	"120"	"96"	"174"	"25"	"157"	"3"	"6"	"10"	"5"	"13"	"8"	"4"	"9"	"34"	"544"	"0"	"544"	"0"
"187"	"121"	"39"	"189"	"22"	"56"	"8"	"14"	"4"	"4"	"25"	"6"	"5"	"9"	"82"	"463"	"0"	"463"	"0"
"188"	"122"	"108"	"19"	"2"	"31"	"7"	"1"	"2"	"4"	"43"	"4"	"11"	"9"	"13"	"254"	"0"	"254"	"0"
"189"	"123"	"26"	"199"	"6"	"60"	"3"	"6"	"54"	"5"	"9"	"14"	"13"	"22"	"27"	"444"	"0"	"444"	"0"
"190"	"124"	"56"	"174"	"18"	"213"	"12"	"13"	"8"	"14"	"12"	"11"	"7"	"12"	"60"	"610"	"0"	"610"	"0"
"191"	"125"	"41"	"30"	"0"	"31"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"6"	"116"	"0"	"116"	"0"
"192"	"126"	"56"	"64"	"5"	"54"	"3"	"1"	"3"	"3"	"4"	"11"	"2"	"15"	"34"	"255"	"0"	"255"	"0"
"193"	"Round Total"	"777"	"1904"	"144"	"1200"	"107"	"89"	"122"	"74"	"636"	"120"	"78"	"154"	"461"	"5866"	"0"	"5866"	"0"
"194"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Time:11.30 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 31-DARAULI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 31 -Darauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No.of Electores in Assembly Constituency :-183249                                                    Round No -10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"202"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"203"	"127"	"137"	"156"	"5"	"186"	"6"	"6"	"1"	"4"	"7"	"13"	"5"	"9"	"45"	"580"	"0"	"580"	"0"
"204"	"128"	"45"	"361"	"5"	"4"	"0"	"9"	"5"	"0"	"2"	"2"	"0"	"3"	"2"	"438"	"0"	"438"	"0"
"205"	"129"	"59"	"363"	"0"	"3"	"2"	"2"	"1"	"0"	"19"	"1"	"0"	"0"	"1"	"451"	"0"	"451"	"0"
"206"	"130"	"116"	"86"	"2"	"1"	"4"	"7"	"47"	"5"	"1"	"0"	"0"	"12"	"2"	"283"	"0"	"283"	"0"
"207"	"131"	"106"	"193"	"4"	"12"	"1"	"9"	"8"	"2"	"4"	"1"	"3"	"16"	"9"	"368"	"0"	"368"	"0"
"208"	"132"	"7"	"21"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"6"	"39"	"0"	"39"	"0"
"209"	"133"	"44"	"387"	"8"	"15"	"3"	"6"	"1"	"0"	"10"	"1"	"3"	"4"	"14"	"496"	"0"	"496"	"0"
"210"	"134"	"30"	"264"	"16"	"139"	"7"	"10"	"8"	"6"	"13"	"7"	"7"	"16"	"57"	"580"	"0"	"580"	"0"
"211"	"135"	"118"	"86"	"3"	"16"	"3"	"5"	"6"	"4"	"2"	"2"	"3"	"5"	"20"	"273"	"0"	"273"	"0"
"212"	"136"	"128"	"35"	"9"	"85"	"7"	"4"	"1"	"4"	"10"	"7"	"2"	"6"	"26"	"324"	"0"	"324"	"0"
"213"	"137"	"140"	"5"	"1"	"46"	"3"	"1"	"0"	"0"	"10"	"0"	"0"	"1"	"11"	"218"	"0"	"218"	"0"
"214"	"138"	"212"	"38"	"46"	"57"	"6"	"2"	"4"	"10"	"10"	"5"	"12"	"13"	"37"	"452"	"0"	"452"	"0"
"215"	"139"	"71"	"282"	"22"	"96"	"6"	"11"	"5"	"7"	"5"	"5"	"12"	"13"	"28"	"563"	"0"	"563"	"0"
"216"	"140"	"323"	"50"	"1"	"31"	"4"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"7"	"424"	"0"	"424"	"0"
"217"	"Round Total"	"1536"	"2327"	"122"	"691"	"52"	"75"	"87"	"44"	"96"	"45"	"47"	"102"	"265"	"5489"	"0"	"5489"	"0"
"218"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Time:11.45 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"222"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"223"	"141"	"170"	"10"	"6"	"125"	"14"	"4"	"2"	"2"	"18"	"16"	"2"	"5"	"27"	"401"	"0"	"401"	"0"
"224"	"142"	"216"	"28"	"12"	"99"	"18"	"5"	"1"	"1"	"7"	"6"	"8"	"4"	"44"	"449"	"0"	"449"	"0"
"225"	"143"	"26"	"305"	"9"	"96"	"10"	"1"	"0"	"2"	"8"	"8"	"9"	"5"	"34"	"513"	"0"	"513"	"0"
"226"	"144"	"131"	"166"	"16"	"149"	"11"	"14"	"3"	"6"	"8"	"13"	"18"	"15"	"60"	"610"	"0"	"610"	"0"
"227"	"145"	"77"	"99"	"4"	"344"	"4"	"34"	"2"	"0"	"2"	"2"	"0"	"2"	"10"	"580"	"0"	"580"	"0"
"228"	"146"	"126"	"190"	"19"	"134"	"13"	"30"	"17"	"1"	"7"	"8"	"6"	"15"	"84"	"650"	"0"	"650"	"0"
"229"	"147"	"166"	"16"	"7"	"311"	"17"	"3"	"5"	"1"	"6"	"15"	"2"	"6"	"40"	"595"	"0"	"595"	"0"
"230"	"148"	"207"	"62"	"5"	"221"	"4"	"10"	"8"	"1"	"3"	"4"	"3"	"4"	"12"	"544"	"0"	"544"	"0"
"231"	"149"	"48"	"111"	"6"	"391"	"6"	"6"	"4"	"1"	"3"	"7"	"1"	"0"	"33"	"617"	"0"	"617"	"0"
"232"	"150"	"82"	"141"	"12"	"195"	"15"	"11"	"26"	"7"	"9"	"16"	"9"	"17"	"53"	"593"	"0"	"593"	"0"
"233"	"151"	"163"	"73"	"9"	"178"	"23"	"6"	"2"	"1"	"4"	"6"	"4"	"8"	"24"	"501"	"0"	"501"	"0"
"234"	"152"	"203"	"273"	"28"	"37"	"7"	"3"	"2"	"1"	"4"	"7"	"6"	"16"	"31"	"618"	"0"	"618"	"0"
"235"	"153"	"40"	"148"	"12"	"100"	"68"	"18"	"11"	"8"	"22"	"13"	"12"	"6"	"40"	"498"	"0"	"498"	"0"
"236"	"154"	"149"	"114"	"5"	"52"	"6"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"9"	"342"	"0"	"342"	"0"
"237"	"Round Total"	"1804"	"1736"	"150"	"2432"	"216"	"146"	"84"	"32"	"102"	"122"	"81"	"105"	"501"	"7511"	"0"	"7511"	"0"
"238"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Time:12.02 P.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"242"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"243"	"155"	"193"	"103"	"4"	"30"	"2"	"4"	"2"	"1"	"2"	"3"	"4"	"9"	"16"	"373"	"0"	"373"	"0"
"244"	"156"	"190"	"134"	"7"	"127"	"6"	"8"	"3"	"5"	"4"	"20"	"10"	"15"	"57"	"586"	"0"	"586"	"0"
"245"	"157"	"76"	"134"	"6"	"107"	"6"	"5"	"5"	"6"	"2"	"2"	"4"	"8"	"13"	"374"	"0"	"374"	"0"
"246"	"158"	"70"	"131"	"9"	"322"	"9"	"11"	"4"	"8"	"11"	"21"	"12"	"17"	"63"	"688"	"0"	"688"	"0"
"247"	"159"	"10"	"68"	"3"	"103"	"2"	"0"	"1"	"3"	"2"	"1"	"0"	"4"	"6"	"203"	"0"	"203"	"0"
"248"	"160"	"41"	"192"	"10"	"175"	"11"	"12"	"21"	"4"	"6"	"7"	"3"	"8"	"41"	"531"	"0"	"531"	"0"
"249"	"161"	"45"	"105"	"3"	"393"	"5"	"7"	"40"	"2"	"9"	"2"	"0"	"1"	"3"	"615"	"0"	"615"	"0"
"250"	"162"	"43"	"166"	"14"	"72"	"5"	"7"	"62"	"0"	"3"	"6"	"1"	"2"	"15"	"396"	"0"	"396"	"0"
"251"	"163"	"73"	"120"	"22"	"63"	"9"	"33"	"9"	"7"	"9"	"5"	"6"	"12"	"24"	"392"	"0"	"392"	"0"
"252"	"164"	"45"	"288"	"7"	"50"	"8"	"6"	"10"	"6"	"7"	"10"	"5"	"15"	"21"	"478"	"0"	"478"	"0"
"253"	"165"	"95"	"126"	"16"	"145"	"12"	"30"	"14"	"5"	"8"	"13"	"7"	"9"	"50"	"530"	"0"	"530"	"0"
"254"	"166"	"224"	"122"	"13"	"129"	"12"	"19"	"43"	"6"	"14"	"10"	"6"	"7"	"33"	"638"	"0"	"638"	"0"
"255"	"167"	"115"	"69"	"6"	"199"	"22"	"15"	"61"	"6"	"7"	"18"	"6"	"10"	"64"	"598"	"0"	"598"	"0"
"256"	"168"	"89"	"52"	"0"	"75"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"221"	"0"	"221"	"0"
"257"	"Round Total"	"1309"	"1810"	"120"	"1990"	"109"	"158"	"275"	"60"	"84"	"118"	"64"	"118"	"408"	"6623"	"0"	"6623"	"0"
"258"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Time:12.15 P.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"262"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"263"	"169"	"218"	"48"	"10"	"208"	"7"	"11"	"9"	"8"	"9"	"24"	"11"	"18"	"58"	"639"	"0"	"639"	"0"
"264"	"170"	"275"	"86"	"7"	"115"	"3"	"4"	"2"	"1"	"3"	"1"	"1"	"8"	"16"	"522"	"0"	"522"	"0"
"265"	"171"	"104"	"72"	"10"	"219"	"7"	"7"	"4"	"3"	"3"	"4"	"2"	"6"	"44"	"485"	"0"	"485"	"0"
"266"	"172"	"174"	"109"	"12"	"135"	"6"	"8"	"5"	"6"	"5"	"11"	"7"	"12"	"28"	"518"	"0"	"518"	"0"
"267"	"173"	"72"	"129"	"19"	"165"	"15"	"5"	"1"	"12"	"4"	"8"	"3"	"7"	"24"	"464"	"0"	"464"	"0"
"268"	"174"	"74"	"82"	"5"	"26"	"6"	"10"	"20"	"8"	"2"	"6"	"4"	"8"	"27"	"278"	"0"	"278"	"0"
"269"	"175"	"98"	"44"	"4"	"352"	"7"	"10"	"43"	"4"	"2"	"10"	"1"	"1"	"28"	"604"	"0"	"604"	"0"
"270"	"176"	"180"	"92"	"17"	"161"	"1"	"6"	"11"	"1"	"4"	"4"	"1"	"4"	"11"	"493"	"0"	"493"	"0"
"271"	"177"	"54"	"76"	"13"	"105"	"5"	"9"	"5"	"5"	"1"	"3"	"0"	"4"	"13"	"293"	"0"	"293"	"0"
"272"	"178"	"64"	"24"	"8"	"183"	"9"	"11"	"9"	"5"	"8"	"6"	"4"	"3"	"26"	"360"	"0"	"360"	"0"
"273"	"179"	"107"	"31"	"2"	"116"	"2"	"13"	"4"	"7"	"6"	"8"	"4"	"9"	"37"	"346"	"0"	"346"	"0"
"274"	"180"	"122"	"130"	"16"	"195"	"6"	"6"	"12"	"10"	"3"	"3"	"3"	"3"	"20"	"529"	"0"	"529"	"0"
"275"	"181"	"27"	"7"	"6"	"214"	"8"	"28"	"6"	"4"	"4"	"10"	"4"	"4"	"32"	"354"	"0"	"354"	"0"
"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"277"	"Round Total"	"1569"	"930"	"129"	"2194"	"82"	"128"	"131"	"74"	"54"	"98"	"45"	"87"	"364"	"5885"	"0"	"5885"	"0"
"278"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Time:10.30 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
