"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 233-Imamganj(SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	"SUJEET MANJHI"	""	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"71"	"1"	""	""	"335"	""	""	"102"	""	"8"	""	""	"3"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"452"	""	""	"0"	""	""	"452"	""	""	""	""	""	""	""	""	""
"101"	"72"	"228"	""	""	"109"	""	""	"10"	""	"11"	""	""	"2"	""	""	"1"	""	""	"1"	""	"6"	""	"1"	""	"2"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	""	""	""	""	""	""	""
"102"	"73"	"216"	""	""	"99"	""	""	"77"	""	"14"	""	""	"0"	""	""	"3"	""	""	"2"	""	"1"	""	"0"	""	"1"	""	""	"413"	""	""	"0"	""	""	"413"	""	""	""	""	""	""	""	""	""
"103"	"74"	"266"	""	""	"118"	""	""	"81"	""	"14"	""	""	"16"	""	""	"1"	""	""	"0"	""	"2"	""	"2"	""	"1"	""	""	"501"	""	""	"0"	""	""	"501"	""	""	""	""	""	""	""	""	""
"104"	"75"	"246"	""	""	"60"	""	""	"69"	""	"9"	""	""	"14"	""	""	"2"	""	""	"1"	""	"0"	""	"1"	""	"3"	""	""	"405"	""	""	"0"	""	""	"405"	""	""	""	""	""	""	""	""	""
"105"	"76"	"173"	""	""	"88"	""	""	"103"	""	"11"	""	""	"9"	""	""	"18"	""	""	"8"	""	"9"	""	"7"	""	"9"	""	""	"435"	""	""	"0"	""	""	"435"	""	""	""	""	""	""	""	""	""
"106"	"77"	"45"	""	""	"254"	""	""	"281"	""	"5"	""	""	"5"	""	""	"2"	""	""	"3"	""	"4"	""	"1"	""	"4"	""	""	"604"	""	""	"0"	""	""	"604"	""	""	""	""	""	""	""	""	""
"107"	"78"	"172"	""	""	"60"	""	""	"107"	""	"14"	""	""	"16"	""	""	"5"	""	""	"5"	""	"6"	""	"5"	""	"19"	""	""	"409"	""	""	"0"	""	""	"409"	""	""	""	""	""	""	""	""	""
"108"	"79"	"120"	""	""	"65"	""	""	"96"	""	"23"	""	""	"37"	""	""	"7"	""	""	"0"	""	"13"	""	"7"	""	"10"	""	""	"378"	""	""	"0"	""	""	"378"	""	""	""	""	""	""	""	""	""
"109"	"80"	"82"	""	""	"143"	""	""	"93"	""	"16"	""	""	"6"	""	""	"5"	""	""	"6"	""	"11"	""	"3"	""	"9"	""	""	"374"	""	""	"0"	""	""	"374"	""	""	""	""	""	""	""	""	""
"110"	"81"	"15"	""	""	"133"	""	""	"159"	""	"10"	""	""	"5"	""	""	"4"	""	""	"4"	""	"3"	""	"6"	""	"6"	""	""	"345"	""	""	"0"	""	""	"345"	""	""	""	""	""	""	""	""	""
"111"	"82"	"168"	""	""	"89"	""	""	"106"	""	"16"	""	""	"8"	""	""	"6"	""	""	"7"	""	"5"	""	"9"	""	"22"	""	""	"436"	""	""	"0"	""	""	"436"	""	""	""	""	""	""	""	""	""
"112"	"83"	"157"	""	""	"126"	""	""	"47"	""	"13"	""	""	"22"	""	""	"5"	""	""	"10"	""	"8"	""	"4"	""	"8"	""	""	"400"	""	""	"0"	""	""	"400"	""	""	""	""	""	""	""	""	""
"113"	"84"	"128"	""	""	"67"	""	""	"163"	""	"12"	""	""	"1"	""	""	"6"	""	""	"3"	""	"5"	""	"1"	""	"7"	""	""	"393"	""	""	"0"	""	""	"393"	""	""	""	""	""	""	""	""	""
"114"	"Total"	"2017"	""	""	"1746"	""	""	"1494"	""	"176"	""	""	"144"	""	""	"66"	""	""	"50"	""	"73"	""	"47"	""	"103"	""	""	"5916"	""	""	"0"	""	""	"5916"	""	""	""	""	""	""	""	""	""
"115"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"116"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"118"	"85"	"7"	""	""	"25"	""	""	"22"	""	"0"	""	""	"19"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"74"	""	""	"0"	""	""	"74"	""	""	""	""	""	""	""	""	""
"119"	"86"	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""
"120"	"87"	"221"	""	""	"109"	""	""	"54"	""	"26"	""	""	"12"	""	""	"5"	""	""	"7"	""	"11"	""	"8"	""	"18"	""	""	"471"	""	""	"0"	""	""	"471"	""	""	""	""	""	""	""	""	""
"121"	"88"	"168"	""	""	"187"	""	""	"73"	""	"14"	""	""	"0"	""	""	"5"	""	""	"1"	""	"5"	""	"2"	""	"8"	""	""	"463"	""	""	"0"	""	""	"463"	""	""	""	""	""	""	""	""	""
"122"	"89"	"43"	""	""	"103"	""	""	"118"	""	"10"	""	""	"5"	""	""	"0"	""	""	"3"	""	"2"	""	"8"	""	"6"	""	""	"298"	""	""	"0"	""	""	"298"	""	""	""	""	""	""	""	""	""
"123"	"90"	"152"	""	""	"83"	""	""	"94"	""	"15"	""	""	"7"	""	""	"7"	""	""	"3"	""	"8"	""	"7"	""	"5"	""	""	"381"	""	""	"0"	""	""	"381"	""	""	""	""	""	""	""	""	""
"124"	"91"	"178"	""	""	"40"	""	""	"93"	""	"29"	""	""	"8"	""	""	"8"	""	""	"4"	""	"15"	""	"6"	""	"16"	""	""	"397"	""	""	"0"	""	""	"397"	""	""	""	""	""	""	""	""	""
"125"	"92"	"290"	""	""	"35"	""	""	"139"	""	"16"	""	""	"28"	""	""	"14"	""	""	"4"	""	"12"	""	"6"	""	"7"	""	""	"551"	""	""	"0"	""	""	"551"	""	""	""	""	""	""	""	""	""
"126"	"93"	"121"	""	""	"56"	""	""	"134"	""	"16"	""	""	"4"	""	""	"4"	""	""	"8"	""	"7"	""	"1"	""	"6"	""	""	"357"	""	""	"0"	""	""	"357"	""	""	""	""	""	""	""	""	""
"127"	"94"	"194"	""	""	"28"	""	""	"105"	""	"14"	""	""	"6"	""	""	"6"	""	""	"16"	""	"15"	""	"5"	""	"6"	""	""	"395"	""	""	"0"	""	""	"395"	""	""	""	""	""	""	""	""	""
"128"	"95"	"229"	""	""	"72"	""	""	"100"	""	"19"	""	""	"4"	""	""	"6"	""	""	"8"	""	"7"	""	"6"	""	"8"	""	""	"459"	""	""	"0"	""	""	"459"	""	""	""	""	""	""	""	""	""
"129"	"96"	"229"	""	""	"153"	""	""	"196"	""	"35"	""	""	"28"	""	""	"21"	""	""	"3"	""	"9"	""	"3"	""	"7"	""	""	"684"	""	""	"0"	""	""	"684"	""	""	""	""	""	""	""	""	""
"130"	"97"	"136"	""	""	"84"	""	""	"79"	""	"27"	""	""	"11"	""	""	"8"	""	""	"10"	""	"11"	""	"4"	""	"12"	""	""	"382"	""	""	"0"	""	""	"382"	""	""	""	""	""	""	""	""	""
"131"	"98"	"160"	""	""	"109"	""	""	"101"	""	"36"	""	""	"48"	""	""	"6"	""	""	"6"	""	"17"	""	"7"	""	"9"	""	""	"499"	""	""	"0"	""	""	"499"	""	""	""	""	""	""	""	""	""
"132"	"Total"	"2128"	""	""	"1084"	""	""	"1308"	""	"257"	""	""	"180"	""	""	"90"	""	""	"73"	""	"119"	""	"63"	""	"109"	""	""	"5411"	""	""	"0"	""	""	"5411"	""	""	""	""	""	""	""	""	""
"133"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"134"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"136"	"99"	"88"	""	""	"446"	""	""	"128"	""	"21"	""	""	"9"	""	""	"5"	""	""	"4"	""	"2"	""	"6"	""	"6"	""	""	"715"	""	""	"0"	""	""	"715"	""	""	""	""	""	""	""	""	""
"137"	"100"	"27"	""	""	"366"	""	""	"130"	""	"12"	""	""	"22"	""	""	"0"	""	""	"6"	""	"3"	""	"2"	""	"3"	""	""	"571"	""	""	"0"	""	""	"571"	""	""	""	""	""	""	""	""	""
"138"	"101"	"70"	""	""	"64"	""	""	"139"	""	"4"	""	""	"0"	""	""	"4"	""	""	"1"	""	"9"	""	"5"	""	"3"	""	""	"299"	""	""	"0"	""	""	"299"	""	""	""	""	""	""	""	""	""
"139"	"102"	"41"	""	""	"108"	""	""	"68"	""	"16"	""	""	"9"	""	""	"2"	""	""	"3"	""	"4"	""	"7"	""	"7"	""	""	"265"	""	""	"0"	""	""	"265"	""	""	""	""	""	""	""	""	""
"140"	"103"	"28"	""	""	"46"	""	""	"33"	""	"21"	""	""	"1"	""	""	"3"	""	""	"2"	""	"2"	""	"2"	""	"0"	""	""	"138"	""	""	"0"	""	""	"138"	""	""	""	""	""	""	""	""	""
"141"	"104"	"8"	""	""	"23"	""	""	"19"	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"3"	""	""	"57"	""	""	"0"	""	""	"57"	""	""	""	""	""	""	""	""	""
"142"	"105"	"28"	""	""	"111"	""	""	"117"	""	"12"	""	""	"1"	""	""	"4"	""	""	"3"	""	"4"	""	"2"	""	"6"	""	""	"288"	""	""	"0"	""	""	"288"	""	""	""	""	""	""	""	""	""
"143"	"106"	"64"	""	""	"165"	""	""	"40"	""	"14"	""	""	"17"	""	""	"9"	""	""	"4"	""	"1"	""	"3"	""	"9"	""	""	"326"	""	""	"0"	""	""	"326"	""	""	""	""	""	""	""	""	""
"144"	"107"	"53"	""	""	"110"	""	""	"67"	""	"23"	""	""	"7"	""	""	"12"	""	""	"5"	""	"4"	""	"5"	""	"14"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	""	""	""	""	""	""
"145"	"108"	"42"	""	""	"317"	""	""	"50"	""	"11"	""	""	"3"	""	""	"2"	""	""	"3"	""	"2"	""	"3"	""	"8"	""	""	"441"	""	""	"0"	""	""	"441"	""	""	""	""	""	""	""	""	""
"146"	"109"	"14"	""	""	"43"	""	""	"80"	""	"19"	""	""	"10"	""	""	"3"	""	""	"3"	""	"1"	""	"0"	""	"1"	""	""	"174"	""	""	"0"	""	""	"174"	""	""	""	""	""	""	""	""	""
"147"	"110"	"232"	""	""	"72"	""	""	"13"	""	"16"	""	""	"2"	""	""	"6"	""	""	"5"	""	"7"	""	"1"	""	"13"	""	""	"367"	""	""	"0"	""	""	"367"	""	""	""	""	""	""	""	""	""
"148"	"111"	"71"	""	""	"112"	""	""	"41"	""	"7"	""	""	"1"	""	""	"3"	""	""	"2"	""	"11"	""	"2"	""	"6"	""	""	"256"	""	""	"0"	""	""	"256"	""	""	""	""	""	""	""	""	""
"149"	"112"	"75"	""	""	"72"	""	""	"19"	""	"44"	""	""	"10"	""	""	"11"	""	""	"9"	""	"8"	""	"2"	""	"10"	""	""	"260"	""	""	"0"	""	""	"260"	""	""	""	""	""	""	""	""	""
"150"	"Total"	"841"	""	""	"2055"	""	""	"944"	""	"221"	""	""	"93"	""	""	"65"	""	""	"51"	""	"58"	""	"40"	""	"89"	""	""	"4457"	""	""	"0"	""	""	"4457"	""	""	""	""	""	""	""	""	""
"151"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"152"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"154"	"113"	"81"	""	""	"66"	""	""	"69"	""	"22"	""	""	"8"	""	""	"11"	""	""	"8"	""	"6"	""	"12"	""	"28"	""	""	"311"	""	""	"0"	""	""	"311"	""	""	""	""	""	""	""	""	""
"155"	"114"	"302"	""	""	"10"	""	""	"8"	""	"9"	""	""	"1"	""	""	"1"	""	""	"3"	""	"4"	""	"3"	""	"4"	""	""	"345"	""	""	"0"	""	""	"345"	""	""	""	""	""	""	""	""	""
"156"	"115"	"5"	""	""	"213"	""	""	"9"	""	"8"	""	""	"1"	""	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"1"	""	""	"240"	""	""	"0"	""	""	"240"	""	""	""	""	""	""	""	""	""
"157"	"116"	"111"	""	""	"177"	""	""	"100"	""	"69"	""	""	"24"	""	""	"12"	""	""	"7"	""	"7"	""	"7"	""	"12"	""	""	"526"	""	""	"0"	""	""	"526"	""	""	""	""	""	""	""	""	""
"158"	"117"	"29"	""	""	"143"	""	""	"48"	""	"19"	""	""	"6"	""	""	"7"	""	""	"3"	""	"2"	""	"3"	""	"2"	""	""	"262"	""	""	"0"	""	""	"262"	""	""	""	""	""	""	""	""	""
"159"	"118"	"55"	""	""	"244"	""	""	"46"	""	"21"	""	""	"6"	""	""	"9"	""	""	"5"	""	"7"	""	"3"	""	"4"	""	""	"400"	""	""	"0"	""	""	"400"	""	""	""	""	""	""	""	""	""
"160"	"119"	"37"	""	""	"140"	""	""	"65"	""	"20"	""	""	"9"	""	""	"19"	""	""	"42"	""	"11"	""	"10"	""	"17"	""	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""	""
"161"	"120"	"129"	""	""	"145"	""	""	"27"	""	"39"	""	""	"19"	""	""	"6"	""	""	"12"	""	"23"	""	"8"	""	"21"	""	""	"429"	""	""	"0"	""	""	"429"	""	""	""	""	""	""	""	""	""
"162"	"121"	"3"	""	""	"97"	""	""	"106"	""	"6"	""	""	"4"	""	""	"5"	""	""	"1"	""	"1"	""	"6"	""	"5"	""	""	"234"	""	""	"0"	""	""	"234"	""	""	""	""	""	""	""	""	""
"163"	"122"	"25"	""	""	"124"	""	""	"121"	""	"10"	""	""	"5"	""	""	"1"	""	""	"1"	""	"10"	""	"2"	""	"11"	""	""	"310"	""	""	"0"	""	""	"310"	""	""	""	""	""	""	""	""	""
"164"	"123"	"40"	""	""	"133"	""	""	"72"	""	"10"	""	""	"1"	""	""	"2"	""	""	"1"	""	"2"	""	"4"	""	"6"	""	""	"271"	""	""	"0"	""	""	"271"	""	""	""	""	""	""	""	""	""
"165"	"124"	"18"	""	""	"18"	""	""	"9"	""	"7"	""	""	"20"	""	""	"7"	""	""	"92"	""	"14"	""	"5"	""	"18"	""	""	"208"	""	""	"0"	""	""	"208"	""	""	""	""	""	""	""	""	""
"166"	"125"	"138"	""	""	"240"	""	""	"82"	""	"8"	""	""	"4"	""	""	"11"	""	""	"3"	""	"5"	""	"0"	""	"6"	""	""	"497"	""	""	"0"	""	""	"497"	""	""	""	""	""	""	""	""	""
"167"	"126"	"82"	""	""	"96"	""	""	"88"	""	"8"	""	""	"10"	""	""	"7"	""	""	"28"	""	"13"	""	"12"	""	"14"	""	""	"358"	""	""	"0"	""	""	"358"	""	""	""	""	""	""	""	""	""
"168"	"Total"	"1055"	""	""	"1846"	""	""	"850"	""	"256"	""	""	"118"	""	""	"99"	""	""	"208"	""	"105"	""	"75"	""	"149"	""	""	"4761"	""	""	"0"	""	""	"4761"	""	""	""	""	""	""	""	""	""
"169"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"170"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"172"	"127"	"28"	""	""	"127"	""	""	"17"	""	"0"	""	""	"5"	""	""	"0"	""	""	"1"	""	"2"	""	"1"	""	"0"	""	""	"181"	""	""	"0"	""	""	"181"	""	""	""	""	""	""	""	""	""
"173"	"128"	"100"	""	""	"265"	""	""	"20"	""	"7"	""	""	"3"	""	""	"2"	""	""	"2"	""	"4"	""	"3"	""	"6"	""	""	"412"	""	""	"0"	""	""	"412"	""	""	""	""	""	""	""	""	""
"174"	"129"	"60"	""	""	"74"	""	""	"41"	""	"6"	""	""	"19"	""	""	"3"	""	""	"3"	""	"1"	""	"5"	""	"6"	""	""	"218"	""	""	"0"	""	""	"218"	""	""	""	""	""	""	""	""	""
"175"	"130"	"231"	""	""	"58"	""	""	"7"	""	"17"	""	""	"5"	""	""	"1"	""	""	"6"	""	"7"	""	"2"	""	"14"	""	""	"348"	""	""	"0"	""	""	"348"	""	""	""	""	""	""	""	""	""
"176"	"131"	"203"	""	""	"255"	""	""	"5"	""	"0"	""	""	"10"	""	""	"2"	""	""	"0"	""	"2"	""	"0"	""	"3"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""	""	""	""	""
"177"	"132"	"131"	""	""	"22"	""	""	"29"	""	"26"	""	""	"4"	""	""	"3"	""	""	"2"	""	"2"	""	"2"	""	"5"	""	""	"226"	""	""	"0"	""	""	"226"	""	""	""	""	""	""	""	""	""
"178"	"133"	"65"	""	""	"113"	""	""	"27"	""	"6"	""	""	"49"	""	""	"5"	""	""	"1"	""	"7"	""	"2"	""	"1"	""	""	"276"	""	""	"0"	""	""	"276"	""	""	""	""	""	""	""	""	""
"179"	"134"	"133"	""	""	"140"	""	""	"127"	""	"32"	""	""	"36"	""	""	"15"	""	""	"5"	""	"10"	""	"7"	""	"13"	""	""	"518"	""	""	"0"	""	""	"518"	""	""	""	""	""	""	""	""	""
"180"	"135"	"83"	""	""	"76"	""	""	"116"	""	"22"	""	""	"5"	""	""	"2"	""	""	"1"	""	"4"	""	"4"	""	"7"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	""	""	""	""	""	""
"181"	"136"	"49"	""	""	"55"	""	""	"98"	""	"48"	""	""	"7"	""	""	"12"	""	""	"10"	""	"19"	""	"12"	""	"36"	""	""	"346"	""	""	"0"	""	""	"346"	""	""	""	""	""	""	""	""	""
"182"	"137"	"83"	""	""	"28"	""	""	"122"	""	"30"	""	""	"13"	""	""	"17"	""	""	"11"	""	"10"	""	"10"	""	"22"	""	""	"346"	""	""	"0"	""	""	"346"	""	""	""	""	""	""	""	""	""
"183"	"138"	"48"	""	""	"4"	""	""	"71"	""	"7"	""	""	"4"	""	""	"1"	""	""	"2"	""	"4"	""	"0"	""	"7"	""	""	"148"	""	""	"0"	""	""	"148"	""	""	""	""	""	""	""	""	""
"184"	"139"	"151"	""	""	"49"	""	""	"110"	""	"43"	""	""	"12"	""	""	"7"	""	""	"5"	""	"10"	""	"3"	""	"9"	""	""	"399"	""	""	"0"	""	""	"399"	""	""	""	""	""	""	""	""	""
"185"	"140"	"220"	""	""	"200"	""	""	"50"	""	"20"	""	""	"27"	""	""	"10"	""	""	"9"	""	"27"	""	"19"	""	"40"	""	""	"622"	""	""	"0"	""	""	"622"	""	""	""	""	""	""	""	""	""
"186"	"Total"	"1585"	""	""	"1466"	""	""	"840"	""	"264"	""	""	"199"	""	""	"80"	""	""	"58"	""	"109"	""	"70"	""	"169"	""	""	"4840"	""	""	"0"	""	""	"4840"	""	""	""	""	""	""	""	""	""
"187"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"188"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"190"	"141"	"204"	""	""	"83"	""	""	"29"	""	"19"	""	""	"13"	""	""	"5"	""	""	"4"	""	"12"	""	"6"	""	"8"	""	""	"383"	""	""	"0"	""	""	"383"	""	""	""	""	""	""	""	""	""
"191"	"142"	"239"	""	""	"56"	""	""	"34"	""	"25"	""	""	"5"	""	""	"5"	""	""	"3"	""	"11"	""	"4"	""	"2"	""	""	"384"	""	""	"0"	""	""	"384"	""	""	""	""	""	""	""	""	""
"192"	"143"	"205"	""	""	"131"	""	""	"33"	""	"44"	""	""	"7"	""	""	"6"	""	""	"5"	""	"10"	""	"5"	""	"10"	""	""	"456"	""	""	"0"	""	""	"456"	""	""	""	""	""	""	""	""	""
"193"	"144"	"375"	""	""	"103"	""	""	"45"	""	"11"	""	""	"5"	""	""	"2"	""	""	"3"	""	"10"	""	"11"	""	"13"	""	""	"578"	""	""	"0"	""	""	"578"	""	""	""	""	""	""	""	""	""
"194"	"145"	"348"	""	""	"171"	""	""	"52"	""	"28"	""	""	"16"	""	""	"15"	""	""	"4"	""	"10"	""	"7"	""	"19"	""	""	"670"	""	""	"0"	""	""	"670"	""	""	""	""	""	""	""	""	""
"195"	"146"	"156"	""	""	"91"	""	""	"80"	""	"105"	""	""	"7"	""	""	"13"	""	""	"6"	""	"11"	""	"8"	""	"9"	""	""	"486"	""	""	"0"	""	""	"486"	""	""	""	""	""	""	""	""	""
"196"	"147"	"268"	""	""	"102"	""	""	"72"	""	"15"	""	""	"14"	""	""	"3"	""	""	"6"	""	"8"	""	"6"	""	"19"	""	""	"513"	""	""	"0"	""	""	"513"	""	""	""	""	""	""	""	""	""
"197"	"148"	"170"	""	""	"49"	""	""	"107"	""	"24"	""	""	"6"	""	""	"2"	""	""	"3"	""	"8"	""	"6"	""	"12"	""	""	"387"	""	""	"0"	""	""	"387"	""	""	""	""	""	""	""	""	""
"198"	"149"	"89"	""	""	"66"	""	""	"132"	""	"32"	""	""	"8"	""	""	"10"	""	""	"3"	""	"6"	""	"4"	""	"7"	""	""	"357"	""	""	"0"	""	""	"357"	""	""	""	""	""	""	""	""	""
"199"	"150"	"228"	""	""	"49"	""	""	"26"	""	"27"	""	""	"2"	""	""	"2"	""	""	"1"	""	"2"	""	"1"	""	"3"	""	""	"341"	""	""	"0"	""	""	"341"	""	""	""	""	""	""	""	""	""
"200"	"151"	"116"	""	""	"25"	""	""	"48"	""	"9"	""	""	"4"	""	""	"2"	""	""	"5"	""	"3"	""	"3"	""	"6"	""	""	"221"	""	""	"0"	""	""	"221"	""	""	""	""	""	""	""	""	""
"201"	"152"	"274"	""	""	"68"	""	""	"113"	""	"28"	""	""	"2"	""	""	"2"	""	""	"7"	""	"8"	""	"4"	""	"1"	""	""	"507"	""	""	"0"	""	""	"507"	""	""	""	""	""	""	""	""	""
