"FORM........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"146"	"BOOTH    NO"	"AMRESHWAR PD. SINGH"	"NARENDRA NR. YADAV"	"MINA DEVI"	"RENU DEVI"	"AKHILESH SINGH"	"NARAYAN SINGH"	"NIRJALA SINGH"	"MD. ABDUS SATTAR"	"AMARNATH DAS"	"ASGAR ALI"	"CHANDESHWARI SINGH"	"MANJULA DEVI"	"MAMTA SHAHI"	"SUNIL KUMAR MANDAL"	"HIMANSHU MANDAL"	"BOOTH WISE TOTAL"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"147"	"134"	"17"	"209"	"2"	"6"	"77"	"3"	"1"	"6"	"5"	"25"	"83"	"4"	"11"	"11"	"125"	"585"	"0"	"0"	"585"	"0"
"148"	"135"	"10"	"14"	"5"	"5"	"55"	"9"	"5"	"93"	"7"	"25"	"11"	"49"	"8"	"4"	"3"	"303"	"0"	"0"	"303"	"0"
"149"	"136"	"18"	"116"	"2"	"4"	"13"	"2"	"8"	"220"	"16"	"24"	"11"	"30"	"20"	"4"	"17"	"505"	"0"	"0"	"505"	"0"
"150"	"137"	"23"	"54"	"1"	"1"	"11"	"4"	"5"	"65"	"9"	"7"	"17"	"111"	"4"	"21"	"9"	"342"	"0"	"0"	"342"	"0"
"151"	"138"	"18"	"30"	"2"	"3"	"23"	"3"	"0"	"8"	"4"	"11"	"10"	"15"	"25"	"416"	"43"	"611"	"0"	"0"	"611"	"0"
"152"	"139"	"11"	"65"	"0"	"8"	"32"	"9"	"2"	"8"	"1"	"22"	"37"	"108"	"15"	"194"	"35"	"547"	"0"	"0"	"547"	"0"
"153"	"140"	"4"	"29"	"6"	"46"	"46"	"1"	"3"	"12"	"4"	"34"	"42"	"43"	"5"	"9"	"16"	"300"	"0"	"0"	"300"	"0"
"154"	"ROUND 10"	"612"	"1155"	"48"	"122"	"655"	"65"	"66"	"1337"	"104"	"349"	"813"	"581"	"204"	"713"	"455"	"7279"	"0"	"0"	"7279"	"0"
"155"	"141"	"25"	"224"	"9"	"5"	"50"	"3"	"2"	"14"	"7"	"24"	"94"	"29"	"9"	"7"	"4"	"506"	"0"	"0"	"506"	"0"
"156"	"142"	"20"	"157"	"3"	"20"	"366"	"5"	"4"	"15"	"14"	"84"	"17"	"14"	"21"	"12"	"112"	"864"	"0"	"0"	"864"	"0"
"157"	"143"	"23"	"43"	"1"	"10"	"240"	"11"	"5"	"75"	"16"	"66"	"48"	"2"	"9"	"4"	"31"	"584"	"0"	"0"	"584"	"0"
"158"	"144"	"52"	"207"	"9"	"6"	"24"	"9"	"6"	"14"	"10"	"17"	"76"	"103"	"29"	"40"	"41"	"643"	"0"	"0"	"643"	"0"
"159"	"145"	"138"	"267"	"7"	"3"	"47"	"1"	"10"	"29"	"6"	"26"	"80"	"11"	"18"	"10"	"39"	"692"	"0"	"0"	"692"	"0"
"160"	"146"	"58"	"165"	"9"	"12"	"140"	"11"	"1"	"98"	"13"	"50"	"16"	"27"	"43"	"8"	"16"	"667"	"0"	"0"	"667"	"0"
"161"	"147"	"55"	"85"	"5"	"4"	"264"	"9"	"2"	"34"	"10"	"77"	"30"	"0"	"5"	"2"	"16"	"598"	"0"	"0"	"598"	"0"
"162"	"148"	"67"	"59"	"5"	"8"	"215"	"5"	"3"	"43"	"13"	"53"	"20"	"11"	"53"	"22"	"13"	"590"	"0"	"0"	"590"	"0"
"163"	"149"	"44"	"141"	"1"	"5"	"95"	"2"	"2"	"44"	"6"	"21"	"32"	"3"	"44"	"8"	"4"	"452"	"0"	"0"	"452"	"0"
"164"	"150"	"59"	"74"	"2"	"6"	"10"	"3"	"3"	"115"	"5"	"14"	"29"	"10"	"98"	"24"	"39"	"491"	"0"	"0"	"491"	"0"
"165"	"151"	"41"	"31"	"1"	"14"	"76"	"11"	"4"	"11"	"8"	"27"	"120"	"3"	"8"	"56"	"10"	"421"	"0"	"0"	"421"	"0"
"166"	"152"	"138"	"155"	"6"	"2"	"14"	"3"	"1"	"6"	"4"	"5"	"92"	"3"	"7"	"6"	"15"	"457"	"0"	"0"	"457"	"0"
"167"	"153"	"14"	"138"	"2"	"5"	"34"	"1"	"6"	"226"	"15"	"35"	"11"	"5"	"12"	"56"	"24"	"584"	"0"	"0"	"584"	"0"
"168"	"154"	"25"	"83"	"3"	"3"	"36"	"1"	"6"	"15"	"5"	"18"	"64"	"1"	"18"	"349"	"31"	"658"	"0"	"0"	"658"	"0"
"169"	"ROUND 11"	"759"	"1829"	"63"	"103"	"1611"	"75"	"55"	"739"	"132"	"517"	"729"	"222"	"374"	"604"	"395"	"8207"	"0"	"0"	"8207"	"0"
"170"	"155"	"50"	"12"	"0"	"5"	"6"	"4"	"4"	"35"	"4"	"13"	"449"	"5"	"2"	"1"	"11"	"601"	"0"	"0"	"601"	"0"
"171"	"156"	"94"	"49"	"2"	"3"	"7"	"1"	"5"	"1"	"5"	"8"	"387"	"3"	"3"	"4"	"16"	"588"	"0"	"0"	"588"	"0"
"172"	"157"	"18"	"108"	"1"	"7"	"17"	"4"	"2"	"6"	"2"	"14"	"369"	"7"	"3"	"4"	"7"	"569"	"0"	"0"	"569"	"0"
"173"	"158"	"14"	"33"	"0"	"10"	"4"	"2"	"0"	"1"	"3"	"11"	"354"	"1"	"11"	"1"	"5"	"450"	"0"	"0"	"450"	"0"
"174"	"159"	"86"	"224"	"7"	"10"	"136"	"8"	"5"	"10"	"13"	"27"	"147"	"9"	"7"	"60"	"13"	"762"	"0"	"0"	"762"	"0"
"175"	"160"	"13"	"24"	"0"	"1"	"14"	"2"	"6"	"235"	"14"	"19"	"41"	"2"	"1"	"4"	"12"	"388"	"0"	"0"	"388"	"0"
"176"	"161"	"120"	"94"	"0"	"1"	"2"	"1"	"1"	"13"	"1"	"2"	"199"	"1"	"0"	"6"	"6"	"447"	"0"	"0"	"447"	"0"
"177"	"162"	"4"	"8"	"0"	"11"	"3"	"4"	"0"	"0"	"2"	"18"	"654"	"5"	"3"	"4"	"3"	"719"	"0"	"0"	"719"	"0"
"178"	"163"	"29"	"13"	"19"	"418"	"23"	"9"	"4"	"14"	"5"	"12"	"103"	"22"	"10"	"4"	"20"	"705"	"0"	"0"	"705"	"0"
"179"	"164"	"3"	"31"	"1"	"40"	"24"	"10"	"4"	"6"	"9"	"30"	"427"	"18"	"72"	"15"	"30"	"720"	"0"	"0"	"720"	"0"
"180"	"165"	"13"	"92"	"2"	"1"	"48"	"4"	"4"	"45"	"6"	"8"	"93"	"4"	"23"	"83"	"18"	"444"	"0"	"0"	"444"	"0"
"181"	"166"	"24"	"145"	"7"	"3"	"62"	"4"	"6"	"25"	"2"	"22"	"40"	"4"	"6"	"154"	"10"	"514"	"0"	"0"	"514"	"0"
"182"	"167"	"168"	"241"	"7"	"7"	"10"	"2"	"1"	"77"	"10"	"8"	"53"	"8"	"17"	"46"	"24"	"679"	"0"	"0"	"679"	"0"
"183"	"168"	"33"	"369"	"0"	"6"	"35"	"0"	"1"	"0"	"0"	"11"	"9"	"0"	"8"	"4"	"8"	"484"	"0"	"0"	"484"	"0"
"184"	"ROUND 12"	"669"	"1443"	"46"	"523"	"391"	"55"	"43"	"468"	"76"	"203"	"3325"	"89"	"166"	"390"	"183"	"8070"	"0"	"0"	"8070"	"0"
"185"	"169"	"51"	"200"	"2"	"22"	"68"	"7"	"2"	"10"	"5"	"12"	"7"	"1"	"1"	"8"	"10"	"406"	"0"	"0"	"406"	"0"
"186"	"170"	"11"	"110"	"2"	"25"	"18"	"3"	"3"	"8"	"5"	"15"	"118"	"8"	"11"	"116"	"29"	"482"	"0"	"0"	"482"	"0"
"187"	"171"	"52"	"209"	"1"	"8"	"11"	"4"	"0"	"9"	"4"	"0"	"13"	"1"	"15"	"146"	"20"	"493"	"0"	"0"	"493"	"0"
"188"	"172"	"20"	"421"	"9"	"2"	"69"	"3"	"4"	"8"	"2"	"19"	"24"	"8"	"25"	"11"	"30"	"655"	"0"	"0"	"655"	"0"
"189"	"173"	"21"	"305"	"7"	"11"	"48"	"2"	"3"	"19"	"6"	"28"	"51"	"5"	"30"	"76"	"33"	"645"	"0"	"0"	"645"	"0"
"190"	"174"	"21"	"136"	"0"	"9"	"21"	"10"	"5"	"233"	"8"	"35"	"149"	"3"	"6"	"2"	"13"	"651"	"0"	"0"	"651"	"0"
"191"	"ROUND 13"	"176"	"1381"	"21"	"77"	"235"	"29"	"17"	"287"	"30"	"109"	"362"	"26"	"88"	"359"	"135"	"3332"	"0"	"0"	"3332"	"0"
