"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..Tender.Votes"
"243"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"244"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"245"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"246"	"Total No. of Votes recorded of polling stations"	4128	1307	30725	1363	48614	1231	637	1303	549	3361	1247	1163	818	585	1949	"98980"	"0"	"98980"	"20"
"247"	"No. of Votes Recorded on Postal Ballot Papers"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	"0"	"0"	"0"
"248"	"Total Votes Polled"	4128	1307	30725	1363	48614	1231	637	1303	549	3361	1247	1163	818	585	1949	"98980"	"0"	"98980"	"20"
"249"	"Place :- Hajipur"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"250"	"Date :- 27-02-2005"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"251"	"Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"252"	"51- Lalganj Assembly Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
