"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"259"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"261"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"262"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"263"	"B.F."	"3576"	"7808"	"32727"	"2200"	"42129"	"1619"	"4564"	"94623"	"0"	"94623"	"0"
"264"	"183"	"3"	"1"	"1"	"0"	"444"	"5"	"1"	"455"	""	"455"	""
"265"	"184"	"4"	"9"	"248"	"11"	"243"	"10"	"12"	"537"	""	"537"	""
"266"	"185"	"24"	"8"	"116"	"14"	"218"	"4"	"14"	"398"	""	"398"	""
"267"	"186"	"16"	"15"	"246"	"14"	"199"	"5"	"20"	"515"	""	"515"	""
"268"	"187"	"30"	"66"	"161"	"24"	"325"	"24"	"63"	"693"	""	"693"	""
"269"	"188"	"31"	"168"	"239"	"14"	"85"	"12"	"60"	"609"	""	"609"	""
"270"	"189"	"16"	"109"	"36"	"8"	"146"	"13"	"25"	"353"	""	"353"	""
"271"	"190"	"24"	"16"	"65"	"6"	"132"	"12"	"190"	"445"	""	"445"	""
"272"	"191"	"24"	"24"	"70"	"5"	"81"	"12"	"131"	"347"	""	"347"	""
"273"	"192"	"5"	"6"	"17"	"3"	"113"	"2"	"66"	"212"	""	"212"	""
"274"	"193"	"22"	"16"	"156"	"14"	"152"	"12"	"22"	"394"	""	"394"	""
"275"	"194"	"19"	"32"	"139"	"28"	"264"	"11"	"29"	"522"	""	"522"	""
"276"	"195"	"2"	"48"	"103"	"9"	"212"	"9"	"7"	"390"	""	"390"	""
"277"	"196"	"18"	"15"	"209"	"18"	"287"	"10"	"45"	"602"	""	"602"	""
"278"	"Page Total"	"3814"	"8341"	"34533"	"2368"	"45030"	"1760"	"5249"	"101095"	"0"	"101095"	"0"
"279"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"281"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"282"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"283"	"B.F."	"3814"	"8341"	"34533"	"2368"	"45030"	"1760"	"5249"	"101095"	"0"	"101095"	"0"
"284"	"197"	"23"	"124"	"224"	"12"	"239"	"16"	"38"	"676"	""	"676"	""
"285"	"198"	"9"	"33"	"26"	"6"	"205"	"2"	"17"	"298"	""	"298"	""
"286"	"199"	"24"	"84"	"96"	"24"	"229"	"16"	"42"	"515"	""	"515"	""
"287"	"200"	"24"	"106"	"81"	"10"	"250"	"14"	"17"	"502"	""	"502"	""
"288"	"201"	"7"	"42"	"31"	"4"	"129"	"4"	"13"	"230"	""	"230"	""
"289"	"202"	"5"	"32"	"55"	"5"	"413"	"8"	"9"	"527"	""	"527"	""
"290"	"203"	"7"	"12"	"127"	"9"	"202"	"6"	"10"	"373"	""	"373"	""
"291"	"204"	"15"	"175"	"122"	"10"	"229"	"15"	"25"	"591"	""	"591"	""
"292"	"205"	"6"	"71"	"201"	"17"	"213"	"18"	"48"	"574"	""	"574"	""
"293"	"206"	"6"	"32"	"26"	"2"	"153"	"2"	"47"	"268"	""	"268"	""
"294"	"207"	"1"	"16"	"12"	"1"	"479"	"0"	"2"	"511"	""	"511"	""
"295"	"208"	"27"	"42"	"61"	"9"	"504"	"13"	"16"	"672"	""	"672"	""
"296"	"209"	"9"	"76"	"99"	"11"	"306"	"7"	"31"	"539"	""	"539"	""
"297"	"210"	"47"	"16"	"165"	"9"	"308"	"14"	"15"	"574"	""	"574"	""
"298"	"Page Total"	"4024"	"9202"	"35859"	"2497"	"48889"	"1895"	"5579"	"107945"	"0"	"107945"	"0"
"299"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"301"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"302"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"303"	"B.F."	"4024"	"9202"	"35859"	"2497"	"48889"	"1895"	"5579"	"107945"	"0"	"107945"	"0"
"304"	"211"	"24"	"21"	"244"	"17"	"189"	"9"	"14"	"518"	""	"518"	""
"305"	"212"	"17"	"23"	"259"	"9"	"245"	"5"	"22"	"580"	""	"580"	""
"306"	"213"	"16"	"88"	"142"	"12"	"136"	"5"	"13"	"412"	""	"412"	""
"307"	"214"	"27"	"117"	"57"	"4"	"244"	"9"	"21"	"479"	""	"479"	""
"308"	"215"	"13"	"104"	"173"	"16"	"199"	"14"	"35"	"554"	""	"554"	""
"309"	"216"	"24"	"24"	"135"	"12"	"228"	"9"	"16"	"448"	""	"448"	""
"310"	"217"	"27"	"16"	"57"	"10"	"187"	"10"	"32"	"339"	""	"339"	""
"311"	"218"	"19"	"114"	"185"	"9"	"171"	"9"	"20"	"527"	""	"527"	""
"312"	"219"	"22"	"49"	"168"	"23"	"314"	"11"	"20"	"607"	""	"607"	""
"313"	"220"	"13"	"206"	"174"	"9"	"148"	"6"	"16"	"572"	""	"572"	""
"314"	"221"	"20"	"201"	"99"	"13"	"202"	"6"	"90"	"631"	""	"631"	""
"315"	"222"	"8"	"40"	"257"	"16"	"365"	"11"	"66"	"763"	""	"763"	""
"316"	"223"	"56"	"11"	"185"	"16"	"231"	"16"	"22"	"537"	""	"537"	""
"317"	"224"	"30"	"34"	"104"	"14"	"282"	"8"	"44"	"516"	""	"516"	""
"318"	"Page Total"	"4340"	"10250"	"38098"	"2677"	"52030"	"2023"	"6010"	"115428"	"0"	"115428"	"0"
"319"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"320"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"321"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"322"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"323"	"B.F."	"4340"	"10250"	"38098"	"2677"	"52030"	"2023"	"6010"	"115428"	"0"	"115428"	"0"
"324"	"225"	"17"	"27"	"261"	"16"	"375"	"12"	"53"	"761"	""	"761"	""
"325"	"226"	"3"	"17"	"100"	"5"	"89"	"3"	"4"	"221"	""	"221"	""
"326"	"Page Total"	"4360"	"10294"	"38459"	"2698"	"52494"	"2038"	"6067"	"116410"	"0"	"116410"	"0"
"327"	"Total No of votes
recorded at Polling Stations"	"4360"	"10294"	"38459"	"2698"	"52494"	"2038"	"6067"	"116410"	"0"	"116410"	"0"
"328"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"329"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"330"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"331"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"332"	"No. of Votes recorded on Postal
ballot Papers"	"0"	"2"	"2"	"0"	"3"	"0"	"0"	"7"	"1"	"8"	""
"333"	"Total Votes Polled"	"4360"	"10296"	"38461"	"2698"	"52497"	"2038"	"6067"	"116417"	"1"	"116418"	"0"
"334"	"Place :- SAMASTIPUE"	""	""	""	""	""	""	""	""	""	""	""
"335"	"COLLEGE, SAMASTIPUR                                                                                                   Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""
"336"	"Date:- 27th Feb 2005"	""	""	""	""	""	""	""	""	""	""	""
"337"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"338"	"98-Dalsinghsarai Samastipur"	""	""	""	""	""	""	""	""	""	""	""
