"Election.to.the..Bihar.Legislative..Assembly..From.94.WARISHNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"227"	"142"	"34"	"208"	"15"	"11"	"398"	"16"	"38"	"4"	"10"	"734"	""	"734"	""
"228"	"143"	"35"	"124"	"8"	"18"	"241"	"8"	"21"	"22"	"43"	"520"	""	"520"	""
"229"	"144"	"20"	"185"	"10"	"27"	"238"	"16"	"25"	"14"	"42"	"577"	""	"577"	""
"230"	"145"	"97"	"161"	"9"	"66"	"213"	"16"	"24"	"10"	"18"	"614"	""	"614"	""
"231"	"146"	"58"	"93"	"9"	"97"	"289"	"19"	"16"	"15"	"19"	"615"	""	"615"	""
"232"	"147"	"23"	"160"	"4"	"4"	"208"	"3"	"19"	"6"	"7"	"434"	""	"434"	""
"233"	"148"	"34"	"164"	"9"	"13"	"324"	"16"	"20"	"11"	"11"	"602"	""	"602"	""
"234"	"149"	"38"	"116"	"4"	"4"	"262"	"8"	"17"	"4"	"6"	"459"	""	"459"	""
"235"	"150"	"20"	"58"	"1"	"5"	"433"	"5"	"29"	"6"	"17"	"574"	""	"574"	""
"236"	"151"	"8"	"71"	"3"	"66"	"349"	"8"	"14"	"7"	"8"	"534"	""	"534"	""
"237"	"152"	"17"	"188"	"7"	"14"	"176"	"3"	"5"	"6"	"3"	"419"	""	"419"	""
"238"	"153"	"28"	"46"	"6"	"117"	"209"	"12"	"20"	"6"	"5"	"449"	""	"449"	""
"239"	"154"	"31"	"78"	"1"	"7"	"607"	"9"	"8"	"2"	"8"	"751"	""	"751"	""
"240"	"Page Total"	"5360"	"25828"	"1529"	"2827"	"30443"	"1497"	"2338"	"1179"	"1879"	"72880"	"0"	"72880"	"0"
"241"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"246"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"247"	"B.F."	"5360"	"25828"	"1529"	"2827"	"30443"	"1497"	"2338"	"1179"	"1879"	"72880"	"0"	"72880"	"0"
"248"	"155"	"39"	"63"	"6"	"7"	"238"	"9"	"10"	"6"	"11"	"389"	""	"389"	""
"249"	"156"	"13"	"69"	"6"	"7"	"402"	"18"	"27"	"13"	"26"	"581"	""	"581"	""
"250"	"157"	"23"	"185"	"14"	"14"	"403"	"25"	"23"	"11"	"35"	"733"	""	"733"	""
"251"	"158"	"19"	"106"	"6"	"5"	"372"	"20"	"17"	"8"	"9"	"562"	""	"562"	""
"252"	"159"	"15"	"158"	"4"	"7"	"256"	"7"	"10"	"8"	"11"	"476"	""	"476"	""
"253"	"160"	"12"	"193"	"12"	"4"	"104"	"8"	"16"	"10"	"18"	"377"	""	"377"	""
"254"	"161"	"16"	"278"	"13"	"12"	"171"	"22"	"15"	"19"	"15"	"561"	""	"561"	""
"255"	"162"	"27"	"157"	"8"	"10"	"217"	"16"	"29"	"18"	"26"	"508"	""	"508"	""
"256"	"163"	"31"	"194"	"12"	"4"	"189"	"12"	"16"	"6"	"16"	"480"	""	"480"	""
"257"	"164"	"10"	"168"	"1"	"2"	"106"	"4"	"2"	"1"	"0"	"294"	""	"294"	""
"258"	"165"	"8"	"450"	"7"	"2"	"12"	"2"	"4"	"1"	"0"	"486"	""	"486"	""
"259"	"166"	"14"	"70"	"5"	"13"	"239"	"10"	"25"	"5"	"9"	"390"	""	"390"	""
"260"	"167"	"23"	"277"	"13"	"6"	"239"	"9"	"21"	"7"	"15"	"610"	""	"610"	""
"261"	"168"	"40"	"103"	"6"	"4"	"97"	"10"	"18"	"4"	"11"	"293"	""	"293"	""
"262"	"Page Total"	"5650"	"28299"	"1642"	"2924"	"33488"	"1669"	"2571"	"1296"	"2081"	"79620"	"0"	"79620"	"0"
"263"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"268"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"269"	"B.F."	"5650"	"28299"	"1642"	"2924"	"33488"	"1669"	"2571"	"1296"	"2081"	"79620"	"0"	"79620"	"0"
"270"	"169"	"89"	"48"	"9"	"7"	"147"	"16"	"29"	"10"	"18"	"373"	""	"373"	""
"271"	"170"	"56"	"251"	"23"	"8"	"63"	"15"	"15"	"8"	"19"	"458"	""	"458"	""
"272"	"171"	"26"	"176"	"16"	"6"	"189"	"10"	"18"	"17"	"18"	"476"	""	"476"	""
"273"	"172"	"2"	"188"	"13"	"3"	"21"	"5"	"3"	"3"	"4"	"242"	""	"242"	""
"274"	"173"	"63"	"232"	"12"	"16"	"101"	"11"	"7"	"15"	"14"	"471"	""	"471"	""
"275"	"174"	"36"	"263"	"13"	"9"	"159"	"6"	"17"	"13"	"16"	"532"	""	"532"	""
"276"	"175"	"32"	"129"	"16"	"5"	"158"	"14"	"11"	"7"	"13"	"385"	""	"385"	""
"277"	"176"	"25"	"84"	"7"	"2"	"109"	"3"	"4"	"0"	"2"	"236"	""	"236"	""
"278"	"177"	"8"	"117"	"7"	"15"	"149"	"17"	"5"	"8"	"20"	"346"	""	"346"	""
"279"	"178"	"20"	"191"	"10"	"8"	"312"	"13"	"11"	"6"	"6"	"577"	""	"577"	""
"280"	"179"	"36"	"90"	"4"	"47"	"298"	"16"	"18"	"11"	"24"	"544"	""	"544"	""
"281"	"180"	"35"	"59"	"1"	"28"	"181"	"14"	"12"	"4"	"2"	"336"	""	"336"	""
"282"	"181"	"21"	"61"	"8"	"29"	"206"	"11"	"11"	"7"	"12"	"366"	""	"366"	""
"283"	"182"	"30"	"220"	"18"	"70"	"169"	"13"	"17"	"13"	"13"	"563"	""	"563"	""
"284"	"Page Total"	"6129"	"30408"	"1799"	"3177"	"35750"	"1833"	"2749"	"1418"	"2262"	"85525"	"0"	"85525"	"0"
"285"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"290"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"291"	"B.F."	"6129"	"30408"	"1799"	"3177"	"35750"	"1833"	"2749"	"1418"	"2262"	"85525"	"0"	"85525"	"0"
"292"	"183"	"96"	"146"	"10"	"0"	"139"	"1"	"8"	"3"	"5"	"408"	""	"408"	""
"293"	"184"	"66"	"60"	"7"	"1"	"196"	"10"	"15"	"1"	"4"	"360"	""	"360"	""
"294"	"185"	"17"	"92"	"5"	"77"	"273"	"16"	"36"	"9"	"21"	"546"	""	"546"	""
"295"	"186"	"15"	"246"	"10"	"3"	"91"	"5"	"4"	"1"	"4"	"379"	""	"379"	""
"296"	"187"	"7"	"29"	"3"	"70"	"316"	"15"	"4"	"3"	"7"	"454"	""	"454"	""
"297"	"188"	"99"	"150"	"6"	"3"	"99"	"3"	"19"	"3"	"4"	"386"	""	"386"	""
"298"	"189"	"52"	"236"	"13"	"5"	"75"	"13"	"16"	"25"	"52"	"487"	""	"487"	""
"299"	"190"	"24"	"98"	"8"	"6"	"211"	"9"	"14"	"2"	"4"	"376"	""	"376"	""
"300"	"191"	"17"	"66"	"12"	"5"	"151"	"10"	"26"	"9"	"10"	"306"	""	"306"	""
"301"	"192"	"31"	"67"	"9"	"7"	"224"	"11"	"18"	"7"	"10"	"384"	""	"384"	""
"302"	"193"	"7"	"43"	"4"	"3"	"196"	"14"	"11"	"2"	"4"	"284"	""	"284"	""
"303"	"194"	"3"	"169"	"3"	"1"	"131"	"2"	"5"	"0"	"0"	"314"	""	"314"	""
"304"	"195"	"4"	"308"	"3"	"3"	"116"	"1"	"4"	"1"	"0"	"440"	""	"440"	""
"305"	"196"	"133"	"200"	"9"	"8"	"179"	"17"	"15"	"6"	"9"	"576"	""	"576"	""
"306"	"Page Total"	"6700"	"32318"	"1901"	"3369"	"38147"	"1960"	"2944"	"1490"	"2396"	"91225"	"0"	"91225"	"0"
"307"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"312"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"313"	"Total No of votes recorded at Polling Stations"	"6700"	"32318"	"1901"	"3369"	"38147"	"1960"	"2944"	"1490"	"2396"	"91225"	"0"	"91225"	"0"
"314"	"No. of Votes recorded on Postal ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"315"	"Total Votes Polled"	"6700"	"32318"	"1901"	"3369"	"38147"	"1960"	"2944"	"1490"	"2396"	"91225"	"0"	"91225"	"0"
"316"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                                        Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"94-Warishnagar"	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Date:- 27th Feb 2005                                                                                                                                                               Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
