"Sl.No.of.Polling"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.vots"	"No.of.Rejected.vots"	"Total"	"No.of"
"188"	"152"	"23"	"56"	"301"	"135"	"30"	"8"	"16"	"21"	"13"	"25"	"31"	"659"	"0"	"659"	"0"
"189"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"190"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"192"	"153"	"11"	"32"	"173"	"20"	"10"	"2"	"4"	"5"	"8"	"36"	"21"	"322"	"0"	"322"	"0"
"193"	"154"	"9"	"11"	"242"	"183"	"8"	"2"	"0"	"4"	"9"	"15"	"6"	"489"	"0"	"489"	"0"
"194"	"Total"	"221"	"1114"	"2991"	"2369"	"143"	"75"	"147"	"155"	"228"	"297"	"268"	"8008"	"0"	"8008"	"0"
"195"	"155"	"13"	"17"	"250"	"84"	"5"	"2"	"0"	"0"	"5"	"6"	"4"	"386"	"0"	"386"	"0"
"196"	"156"	"10"	"20"	"377"	"159"	"2"	"4"	"5"	"7"	"11"	"9"	"10"	"614"	"0"	"614"	"0"
"197"	"157"	"4"	"7"	"36"	"554"	"10"	"5"	"1"	"10"	"0"	"17"	"4"	"648"	"0"	"648"	"0"
"198"	"158"	"12"	"4"	"139"	"164"	"5"	"5"	"2"	"6"	"6"	"23"	"16"	"382"	"0"	"382"	"0"
"199"	"159"	"12"	"22"	"93"	"201"	"6"	"0"	"26"	"24"	"9"	"26"	"26"	"445"	"0"	"445"	"0"
"200"	"160"	"17"	"26"	"159"	"265"	"5"	"7"	"4"	"43"	"15"	"25"	"4"	"570"	"0"	"570"	"0"
"201"	"161"	"10"	"13"	"66"	"324"	"4"	"7"	"3"	"50"	"5"	"13"	"8"	"503"	"0"	"503"	"0"
"202"	"162"	"26"	"26"	"203"	"174"	"9"	"10"	"13"	"187"	"34"	"31"	"26"	"739"	"0"	"739"	"0"
"203"	"163"	"15"	"57"	"207"	"157"	"14"	"9"	"5"	"96"	"25"	"20"	"19"	"624"	"0"	"624"	"0"
"204"	"164"	"12"	"6"	"483"	"162"	"91"	"4"	"3"	"5"	"11"	"12"	"15"	"804"	"0"	"804"	"0"
"205"	"165"	"6"	"8"	"248"	"28"	"7"	"1"	"3"	"50"	"11"	"5"	"6"	"373"	"0"	"373"	"0"
"206"	"166"	"18"	"7"	"287"	"94"	"14"	"7"	"4"	"19"	"10"	"6"	"22"	"488"	"0"	"488"	"0"
"207"	"167"	"3"	"2"	"252"	"46"	"12"	"3"	"14"	"2"	"2"	"2"	"4"	"342"	"0"	"342"	"0"
"208"	"168"	"15"	"54"	"180"	"212"	"37"	"11"	"7"	"13"	"11"	"19"	"17"	"576"	"0"	"576"	"0"
"209"	"Total"	"173"	"269"	"2980"	"2624"	"221"	"75"	"90"	"512"	"155"	"214"	"181"	"7494"	"0"	"7494"	"0"
"210"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"211"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"213"	"169"	"14"	"56"	"306"	"227"	"8"	"10"	"3"	"17"	"16"	"25"	"22"	"704"	"0"	"704"	"0"
"214"	"170"	"13"	"118"	"232"	"139"	"11"	"2"	"53"	"8"	"9"	"16"	"11"	"612"	"0"	"612"	"0"
"215"	"Total"	"27"	"174"	"538"	"366"	"19"	"12"	"56"	"25"	"25"	"41"	"33"	"1316"	"0"	"1316"	"0"
"216"	"Total No. of Votes recorded on Polling
Stations"	"2360"	"9177"	"32235"	"32740"	"3303"	"1032"	"2481"	"2042"	"2247"	"3965"	"2884"	"94466"	"0"	"94466"	"0"
"217"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"218"	"Total Votes
Polled"	"2360"	"9177"	"32235"	"32741"	"3303"	"1032"	"2481"	"2042"	"2247"	"3965"	"2884"	"94467"	"0"	"94467"	"0"
"219"	"Place :       Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Date :        02/27/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Assistant Returning Officer                               Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"108- Cheria Bariarpur A.C.                         108- Cheria Bariarpur A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
