"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"138"	"107"	"9"	"105"	"6"	"3"	"87"	"19"	"14"	"23"	"11"	"9"	"393"	""	"393"	""
"196"	"139"	"105"	"9"	"117"	"7"	"7"	"163"	"9"	"2"	"40"	"4"	"5"	"468"	""	"468"	""
"197"	"140"	"70"	"7"	"143"	"11"	"3"	"126"	"12"	"4"	"12"	"11"	"11"	"410"	""	"410"	""
"198"	"Page Total"	"12986"	"1278"	"25614"	"1631"	"640"	"16951"	"1540"	"1302"	"1879"	"1240"	"1793"	"66854"	"0"	"66854"	"0"
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"203"	"B.F."	"12986"	"1278"	"25614"	"1631"	"640"	"16951"	"1540"	"1302"	"1879"	"1240"	"1793"	"66854"	"0"	"66854"	"0"
"204"	"141"	"87"	"14"	"113"	"8"	"2"	"151"	"9"	"4"	"21"	"7"	"15"	"431"	""	"431"	""
"205"	"142"	"335"	"1"	"13"	"0"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"363"	""	"363"	""
"206"	"143"	"24"	"6"	"410"	"63"	"9"	"56"	"17"	"9"	"21"	"10"	"12"	"637"	""	"637"	""
"207"	"144"	"20"	"8"	"191"	"35"	"5"	"89"	"5"	"0"	"22"	"5"	"3"	"383"	""	"383"	""
"208"	"145"	"52"	"5"	"369"	"8"	"2"	"92"	"10"	"8"	"24"	"3"	"15"	"588"	""	"588"	""
"209"	"146"	"30"	"4"	"75"	"5"	"5"	"231"	"12"	"3"	"10"	"6"	"10"	"391"	""	"391"	""
"210"	"147"	"44"	"14"	"208"	"19"	"10"	"189"	"21"	"6"	"68"	"17"	"13"	"609"	""	"609"	""
"211"	"148"	"92"	"9"	"232"	"12"	"7"	"238"	"20"	"11"	"20"	"10"	"19"	"670"	""	"670"	""
"212"	"149"	"66"	"6"	"111"	"16"	"8"	"357"	"14"	"4"	"14"	"31"	"17"	"644"	""	"644"	""
"213"	"150"	"121"	"19"	"68"	"8"	"3"	"132"	"17"	"14"	"61"	"19"	"46"	"508"	""	"508"	""
"214"	"151"	"31"	"15"	"184"	"21"	"15"	"316"	"39"	"11"	"45"	"14"	"8"	"699"	""	"699"	""
"215"	"152"	"56"	"5"	"146"	"6"	"5"	"480"	"19"	"4"	"12"	"7"	"7"	"747"	""	"747"	""
"216"	"153"	"146"	"7"	"248"	"14"	"12"	"141"	"12"	"11"	"13"	"23"	"31"	"658"	""	"658"	""
"217"	"154"	"275"	"9"	"148"	"9"	"5"	"132"	"13"	"5"	"15"	"20"	"10"	"641"	""	"641"	""
"218"	"Page Total"	"14365"	"1400"	"28130"	"1855"	"728"	"19568"	"1749"	"1392"	"2225"	"1412"	"1999"	"74823"	"0"	"74823"	"0"
"219"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"222"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"223"	"B.F."	"14365"	"1400"	"28130"	"1855"	"728"	"19568"	"1749"	"1392"	"2225"	"1412"	"1999"	"74823"	"0"	"74823"	"0"
"224"	"155"	"194"	"7"	"186"	"15"	"2"	"89"	"9"	"9"	"9"	"20"	"16"	"556"	""	"556"	""
"225"	"156"	"338"	"5"	"177"	"9"	"2"	"47"	"10"	"7"	"10"	"3"	"32"	"640"	""	"640"	""
"226"	"157"	"134"	"6"	"68"	"16"	"6"	"311"	"23"	"6"	"20"	"14"	"5"	"609"	""	"609"	""
"227"	"158"	"61"	"6"	"361"	"13"	"4"	"75"	"7"	"5"	"6"	"3"	"5"	"546"	""	"546"	""
"228"	"159"	"58"	"4"	"145"	"6"	"0"	"158"	"15"	"3"	"10"	"4"	"16"	"419"	""	"419"	""
"229"	"160"	"108"	"11"	"184"	"8"	"5"	"150"	"5"	"5"	"12"	"12"	"20"	"520"	""	"520"	""
"230"	"161"	"103"	"6"	"247"	"8"	"7"	"51"	"7"	"3"	"4"	"3"	"16"	"455"	""	"455"	""
"231"	"162"	"1"	"3"	"350"	"11"	"0"	"30"	"1"	"2"	"0"	"0"	"12"	"410"	""	"410"	""
"232"	"163"	"162"	"7"	"31"	"8"	"8"	"76"	"7"	"4"	"8"	"4"	"11"	"326"	""	"326"	""
"233"	"164"	"39"	"2"	"187"	"5"	"0"	"22"	"0"	"1"	"2"	"0"	"3"	"261"	""	"261"	""
"234"	"165"	"80"	"6"	"102"	"5"	"4"	"107"	"7"	"4"	"9"	"8"	"15"	"347"	""	"347"	""
"235"	"166"	"73"	"8"	"56"	"5"	"8"	"264"	"11"	"3"	"6"	"6"	"8"	"448"	""	"448"	""
"236"	"167"	"40"	"0"	"31"	"2"	"0"	"368"	"4"	"2"	"3"	"2"	"3"	"455"	""	"455"	""
"237"	"168"	"27"	"4"	"85"	"8"	"5"	"267"	"3"	"3"	"2"	"4"	"2"	"410"	""	"410"	""
"238"	"Page Total"	"15783"	"1475"	"30340"	"1974"	"779"	"21583"	"1858"	"1449"	"2326"	"1495"	"2163"	"81225"	"0"	"81225"	"0"
"239"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"242"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"243"	"B.F."	"15783"	"1475"	"30340"	"1974"	"779"	"21583"	"1858"	"1449"	"2326"	"1495"	"2163"	"81225"	"0"	"81225"	"0"
"244"	"169"	"72"	"2"	"61"	"22"	"4"	"136"	"13"	"5"	"13"	"8"	"15"	"351"	""	"351"	""
"245"	"170"	"144"	"14"	"92"	"12"	"10"	"145"	"19"	"3"	"13"	"8"	"7"	"467"	""	"467"	""
"246"	"171"	"82"	"8"	"232"	"12"	"0"	"33"	"3"	"2"	"3"	"3"	"7"	"385"	""	"385"	""
"247"	"172"	"86"	"10"	"102"	"14"	"6"	"36"	"8"	"9"	"6"	"9"	"12"	"298"	""	"298"	""
"248"	"173"	"49"	"5"	"73"	"18"	"4"	"99"	"8"	"11"	"8"	"9"	"13"	"297"	""	"297"	""
"249"	"174"	"101"	"7"	"185"	"5"	"1"	"121"	"15"	"12"	"36"	"20"	"12"	"515"	""	"515"	""
"250"	"175"	"19"	"11"	"156"	"9"	"7"	"239"	"23"	"2"	"20"	"5"	"24"	"515"	""	"515"	""
"251"	"176"	"14"	"7"	"183"	"10"	"5"	"208"	"26"	"11"	"16"	"17"	"31"	"528"	""	"528"	""
"252"	"177"	"47"	"6"	"158"	"11"	"5"	"110"	"6"	"7"	"17"	"9"	"27"	"403"	""	"403"	""
"253"	"178"	"30"	"4"	"25"	"7"	"8"	"323"	"4"	"1"	"3"	"2"	"3"	"410"	""	"410"	""
"254"	"179"	"33"	"0"	"10"	"2"	"1"	"388"	"12"	"0"	"1"	"0"	"1"	"448"	""	"448"	""
"255"	"180"	"41"	"7"	"97"	"14"	"2"	"333"	"18"	"6"	"13"	"15"	"8"	"554"	""	"554"	""
"256"	"181"	"38"	"8"	"177"	"7"	"1"	"148"	"11"	"2"	"4"	"3"	"11"	"410"	""	"410"	""
"257"	"182"	"195"	"3"	"65"	"6"	"3"	"27"	"6"	"1"	"4"	"2"	"4"	"316"	""	"316"	""
"258"	"Page Total"	"16734"	"1567"	"31956"	"2123"	"836"	"23929"	"2030"	"1521"	"2483"	"1605"	"2338"	"87122"	"0"	"87122"	"0"
"259"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"262"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"263"	"B.F."	"16734"	"1567"	"31956"	"2123"	"836"	"23929"	"2030"	"1521"	"2483"	"1605"	"2338"	"87122"	"0"	"87122"	"0"
"264"	"183"	"82"	"18"	"113"	"3"	"2"	"60"	"6"	"6"	"10"	"4"	"8"	"312"	""	"312"	""
"265"	"184"	"61"	"10"	"199"	"11"	"5"	"176"	"11"	"6"	"15"	"13"	"13"	"520"	""	"520"	""
"266"	"185"	"56"	"12"	"235"	"12"	"1"	"131"	"22"	"9"	"20"	"19"	"48"	"565"	""	"565"	""
"267"	"186"	"107"	"9"	"98"	"10"	"2"	"96"	"4"	"1"	"4"	"3"	"5"	"339"	""	"339"	""
"268"	"187"	"47"	"6"	"120"	"5"	"1"	"30"	"4"	"2"	"5"	"3"	"2"	"225"	""	"225"	""
"269"	"188"	"197"	"9"	"134"	"13"	"5"	"127"	"79"	"8"	"15"	"18"	"22"	"627"	""	"627"	""
"270"	"189"	"231"	"8"	"26"	"7"	"0"	"7"	"30"	"2"	"5"	"4"	"2"	"322"	""	"322"	""
"271"	"190"	"74"	"10"	"242"	"43"	"7"	"20"	"18"	"12"	"13"	"11"	"8"	"458"	""	"458"	""
"272"	"191"	"67"	"19"	"214"	"8"	"7"	"31"	"4"	"3"	"6"	"6"	"12"	"377"	""	"377"	""
"273"	"192"	"103"	"5"	"149"	"11"	"6"	"100"	"12"	"4"	"45"	"10"	"11"	"456"	""	"456"	""
"274"	"193"	"154"	"13"	"140"	"11"	"3"	"141"	"23"	"25"	"28"	"11"	"22"	"571"	""	"571"	""
"275"	"194"	"74"	"3"	"98"	"8"	"5"	"94"	"13"	"4"	"138"	"11"	"19"	"467"	""	"467"	""
"276"	"195"	"18"	"2"	"379"	"13"	"3"	"39"	"8"	"2"	"90"	"4"	"4"	"562"	""	"562"	""
"277"	"196"	"9"	"9"	"128"	"6"	"2"	"109"	"12"	"0"	"25"	"3"	"5"	"308"	""	"308"	""
"278"	"Page Total"	"18014"	"1700"	"34231"	"2284"	"885"	"25090"	"2276"	"1605"	"2902"	"1725"	"2519"	"93231"	"0"	"93231"	"0"
"279"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"282"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"283"	"B.F."	"18014"	"1700"	"34231"	"2284"	"885"	"25090"	"2276"	"1605"	"2902"	"1725"	"2519"	"93231"	"0"	"93231"	"0"
"284"	"197"	"13"	"3"	"163"	"11"	"3"	"107"	"12"	"9"	"87"	"6"	"26"	"440"	""	"440"	""
"285"	"198"	"70"	"2"	"97"	"4"	"8"	"165"	"17"	"10"	"8"	"10"	"7"	"398"	""	"398"	""
"286"	"199"	"65"	"1"	"88"	"3"	"3"	"107"	"1"	"6"	"7"	"9"	"16"	"306"	""	"306"	""
"287"	"200"	"42"	"6"	"46"	"4"	"5"	"299"	"16"	"4"	"10"	"6"	"10"	"448"	""	"448"	""
"288"	"201"	"65"	"4"	"282"	"4"	"4"	"171"	"15"	"5"	"7"	"7"	"8"	"572"	""	"572"	""
"289"	"202"	"10"	"7"	"422"	"9"	"2"	"87"	"2"	"4"	"24"	"13"	"20"	"600"	""	"600"	""
"290"	"203"	"113"	"3"	"29"	"1"	"2"	"122"	"9"	"1"	"10"	"5"	"9"	"304"	""	"304"	""
"291"	"204"	"188"	"1"	"47"	"5"	"1"	"67"	"7"	"7"	"14"	"3"	"11"	"351"	""	"351"	""
"292"	"205"	"27"	"5"	"342"	"21"	"2"	"37"	"6"	"1"	"9"	"2"	"8"	"460"	""	"460"	""
"293"	"206"	"13"	"14"	"61"	"2"	"3"	"197"	"14"	"3"	"26"	"7"	"14"	"354"	""	"354"	""
"294"	"207"	"134"	"5"	"110"	"11"	"2"	"184"	"24"	"16"	"22"	"10"	"32"	"550"	""	"550"	""
"295"	"208"	"29"	"4"	"177"	"13"	"12"	"233"	"29"	"11"	"14"	"8"	"34"	"564"	""	"564"	""
"296"	"209"	"10"	"4"	"123"	"70"	"8"	"8"	"2"	"6"	"2"	"1"	"4"	"238"	""	"238"	""
"297"	"210"	"119"	"6"	"91"	"6"	"4"	"134"	"11"	"6"	"14"	"14"	"6"	"411"	""	"411"	""
"298"	"Page Total"	"18912"	"1765"	"36309"	"2448"	"944"	"27008"	"2441"	"1694"	"3156"	"1826"	"2724"	"99227"	"0"	"99227"	"0"
"299"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"302"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"303"	"B.F."	"18912"	"1765"	"36309"	"2448"	"944"	"27008"	"2441"	"1694"	"3156"	"1826"	"2724"	"99227"	"0"	"99227"	"0"
"304"	"211"	"104"	"10"	"156"	"19"	"4"	"96"	"9"	"2"	"5"	"3"	"7"	"415"	""	"415"	""
"305"	"212"	"131"	"9"	"54"	"7"	"1"	"85"	"13"	"4"	"2"	"3"	"11"	"320"	""	"320"	""
"306"	"213"	"40"	"4"	"78"	"1"	"2"	"68"	"7"	"1"	"7"	"2"	"8"	"218"	""	"218"	""
"307"	"214"	"33"	"8"	"185"	"32"	"3"	"69"	"9"	"8"	"10"	"9"	"19"	"385"	""	"385"	""
"308"	"215"	"169"	"6"	"73"	"8"	"0"	"28"	"7"	"7"	"5"	"9"	"16"	"328"	""	"328"	""
"309"	"216"	"108"	"9"	"109"	"13"	"7"	"67"	"6"	"6"	"5"	"7"	"17"	"354"	""	"354"	""
"310"	"217"	"53"	"4"	"194"	"10"	"1"	"163"	"7"	"1"	"9"	"2"	"8"	"452"	""	"452"	""
"311"	"218"	"135"	"4"	"81"	"4"	"7"	"89"	"3"	"9"	"19"	"8"	"25"	"384"	""	"384"	""
"312"	"219"	"99"	"9"	"144"	"3"	"6"	"124"	"11"	"12"	"13"	"10"	"29"	"460"	""	"460"	""
"313"	"220"	"52"	"10"	"78"	"8"	"9"	"199"	"26"	"17"	"21"	"29"	"36"	"485"	""	"485"	""
"314"	"221"	"61"	"3"	"236"	"2"	"2"	"102"	"6"	"9"	"46"	"7"	"14"	"488"	""	"488"	""
"315"	"222"	"61"	"3"	"89"	"4"	"6"	"253"	"11"	"8"	"26"	"9"	"13"	"483"	""	"483"	""
"316"	"223"	"16"	"6"	"98"	"5"	"9"	"226"	"18"	"6"	"13"	"15"	"21"	"433"	""	"433"	""
"317"	"224"	"16"	"7"	"174"	"8"	"3"	"160"	"21"	"6"	"12"	"10"	"22"	"439"	""	"439"	""
"318"	"Page Total"	"19990"	"1857"	"38058"	"2572"	"1004"	"28737"	"2595"	"1790"	"3349"	"1949"	"2970"	"104871"	"0"	"104871"	"0"
"319"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"322"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"323"	"B.F."	"19990"	"1857"	"38058"	"2572"	"1004"	"28737"	"2595"	"1790"	"3349"	"1949"	"2970"	"104871"	"0"	"104871"	"0"
"324"	"225"	"5"	"2"	"167"	"5"	"0"	"13"	"1"	"0"	"3"	"2"	"2"	"200"	""	"200"	""
"325"	"Page Total"	"19995"	"1859"	"38225"	"2577"	"1004"	"28750"	"2596"	"1790"	"3352"	"1951"	"2972"	"105071"	"0"	"105071"	"0"
"326"	"Total No of votes recorded at Polling Stations"	"19995"	"1859"	"38225"	"2577"	"1004"	"28750"	"2596"	"1790"	"3352"	"1951"	"2972"	"105071"	"0"	"105071"	"0"
"327"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"330"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"331"	"No. of Votes recorded on Postal ballot Papers"	"3"	"0"	"1"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	""
"332"	"Total Votes Polled"	"19998"	"1859"	"38226"	"2577"	"1004"	"28750"	"2596"	"1790"	"3352"	"1951"	"2972"	"105075"	"0"	"105075"	"0"
"333"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                                                                           Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"96-Sarairanjan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Date:- 27th Feb 2005                                                                                                                                                                                                         Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
