"TOTAL.NO.OF.ELECTORS.IN.59.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X292547"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"104"	"85"	"15"	"1"	"83"	"0"	"0"	"0"	"2"	"26"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"5"	"16"	"1"	"0"	"0"	"0"	"1"	"278"	"3"	"2"	"437"	""	""
"105"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"106"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"107"	"85A"	"15"	"0"	"81"	"1"	"1"	"0"	"1"	"17"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"3"	"0"	"1"	"1"	"1"	"1"	"134"	"1"	"1"	"263"	""	""
"108"	"86"	"12"	"0"	"79"	"1"	"0"	"1"	"1"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"3"	"226"	"3"	"0"	"374"	""	""
"109"	"87"	"26"	"0"	"27"	"2"	"1"	"1"	"5"	"81"	"1"	"3"	"0"	"1"	"1"	"1"	"2"	"13"	"4"	"1"	"2"	"0"	"2"	"5"	"364"	"6"	"1"	"550"	""	""
"110"	"88"	"44"	"2"	"51"	"1"	"1"	"0"	"2"	"22"	"2"	"1"	"4"	"1"	"0"	"2"	"4"	"14"	"5"	"2"	"1"	"3"	"3"	"2"	"277"	"4"	"6"	"454"	""	""
"111"	"89"	"24"	"2"	"59"	"0"	"1"	"0"	"0"	"73"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"9"	"4"	"1"	"2"	"0"	"2"	"2"	"277"	"4"	"0"	"467"	""	""
"112"	"90"	"44"	"1"	"192"	"2"	"0"	"0"	"0"	"8"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"8"	"3"	"1"	"5"	"0"	"2"	"5"	"502"	"3"	"3"	"784"	""	""
"113"	"91"	"132"	"2"	"98"	"1"	"0"	"0"	"0"	"7"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"238"	"2"	"2"	"488"	""	""
"114"	"92"	"19"	"1"	"103"	"1"	"0"	"0"	"2"	"53"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"9"	"0"	"0"	"2"	"0"	"0"	"3"	"353"	"3"	"2"	"554"	""	""
"115"	"93"	"6"	"0"	"108"	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"235"	"2"	"2"	"370"	""	""
"116"	"94"	"21"	"2"	"77"	"0"	"0"	"0"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"7"	"0"	"1"	"1"	"1"	"3"	"298"	"3"	"1"	"456"	""	""
"117"	"95"	"17"	"0"	"140"	"3"	"0"	"0"	"1"	"12"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"1"	"0"	"3"	"0"	"0"	"1"	"226"	"1"	"2"	"414"	""	""
"118"	"96"	"62"	"1"	"304"	"9"	"1"	"0"	"0"	"31"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"9"	"2"	"0"	"0"	"0"	"0"	"3"	"311"	"2"	"0"	"744"	""	""
"119"	"97"	"63"	"0"	"111"	"0"	"0"	"1"	"1"	"20"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"269"	"1"	"2"	"475"	""	""
"120"	"98"	"90"	"0"	"70"	"0"	"2"	"2"	"0"	"14"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"14"	"2"	"0"	"0"	"1"	"0"	"2"	"162"	"3"	"0"	"369"	""	""
"121"	"98A"	"33"	"1"	"87"	"1"	"1"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"140"	"1"	"1"	"285"	""	""
"122"	"99"	"87"	"3"	"147"	"3"	"1"	"0"	"5"	"27"	"0"	"2"	"1"	"0"	"2"	"0"	"2"	"8"	"7"	"1"	"0"	"1"	"0"	"6"	"427"	"4"	"6"	"740"	""	""
"123"	"100"	"49"	"2"	"59"	"1"	"0"	"0"	"0"	"7"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"15"	"1"	"1"	"1"	"1"	"0"	"3"	"305"	"4"	"5"	"461"	""	""
"124"	"101"	"142"	"1"	"72"	"1"	"2"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"7"	"2"	"0"	"0"	"2"	"5"	"305"	"6"	"10"	"577"	""	""
"125"	"102"	"47"	"0"	"184"	"0"	"0"	"0"	"2"	"10"	"0"	"0"	"0"	"1"	"3"	"0"	"2"	"14"	"1"	"1"	"2"	"1"	"1"	"2"	"299"	"4"	"3"	"577"	""	""
"126"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"127"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"128"	"103"	"37"	"1"	"194"	"1"	"0"	"1"	"5"	"6"	"0"	"1"	"3"	"0"	"1"	"2"	"2"	"22"	"1"	"0"	"1"	"1"	"0"	"3"	"398"	"6"	"7"	"693"	""	""
"129"	"104"	"168"	"3"	"77"	"0"	"1"	"0"	"4"	"31"	"0"	"1"	"2"	"3"	"0"	"1"	"4"	"30"	"1"	"1"	"1"	"0"	"0"	"0"	"294"	"2"	"4"	"628"	""	""
"130"	"105"	"63"	"0"	"110"	"0"	"1"	"0"	"1"	"19"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"14"	"0"	"0"	"1"	"0"	"2"	"3"	"272"	"6"	"2"	"501"	""	""
"131"	"106"	"77"	"1"	"175"	"2"	"1"	"2"	"1"	"19"	"1"	"1"	"2"	"0"	"1"	"1"	"4"	"8"	"2"	"0"	"0"	"0"	"0"	"2"	"349"	"2"	"2"	"653"	""	""
"132"	"107"	"179"	"4"	"65"	"1"	"0"	"0"	"1"	"9"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"9"	"5"	"1"	"2"	"0"	"0"	"3"	"232"	"2"	"0"	"516"	""	""
"133"	"108"	"29"	"0"	"114"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"171"	"1"	"1"	"330"	""	""
"134"	"109"	"135"	"3"	"41"	"0"	"0"	"1"	"3"	"28"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"3"	"3"	"0"	"0"	"3"	"6"	"193"	"0"	"2"	"427"	""	""
"135"	"110"	"86"	"1"	"60"	"0"	"2"	"1"	"2"	"9"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"120"	"1"	"0"	"292"	""	""
"136"	"111"	"15"	"3"	"219"	"1"	"0"	"0"	"2"	"17"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"5"	"1"	"0"	"0"	"0"	"1"	"1"	"197"	"1"	"3"	"471"	""	""
"137"	"112"	"245"	"5"	"170"	"1"	"0"	"1"	"3"	"11"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"10"	"3"	"0"	"0"	"0"	"1"	"5"	"204"	"4"	"2"	"671"	""	""
"138"	"113"	"228"	"2"	"129"	"1"	"1"	"3"	"1"	"8"	"4"	"1"	"2"	"1"	"1"	"0"	"4"	"15"	"7"	"3"	"1"	"2"	"1"	"0"	"167"	"2"	"4"	"588"	""	""
"139"	"114"	"135"	"0"	"96"	"0"	"1"	"0"	"7"	"18"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"20"	"6"	"0"	"0"	"0"	"0"	"1"	"177"	"1"	"3"	"468"	""	""
"140"	"114A"	"114"	"1"	"110"	"3"	"2"	"4"	"0"	"6"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"10"	"0"	"0"	"2"	"0"	"1"	"1"	"136"	"1"	"2"	"398"	""	""
"141"	"115"	"53"	"5"	"281"	"0"	"2"	"1"	"1"	"24"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"11"	"0"	"1"	"2"	"0"	"0"	"1"	"202"	"2"	"1"	"591"	""	""
"142"	"116"	"62"	"6"	"380"	"1"	"1"	"0"	"3"	"17"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"213"	"3"	"1"	"703"	""	""
"143"	"117"	"57"	"9"	"246"	"5"	"5"	"0"	"0"	"25"	"1"	"0"	"0"	"0"	"3"	"2"	"1"	"9"	"0"	"1"	"1"	"1"	"0"	"4"	"233"	"3"	"1"	"607"	""	""
"144"	"118"	"91"	"4"	"121"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"141"	"2"	"3"	"380"	""	""
"145"	"119"	"89"	"2"	"131"	"0"	"2"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"2"	"0"	"0"	"1"	"2"	"155"	"3"	"2"	"408"	""	""
"146"	"120"	"25"	"0"	"196"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"1"	"3"	"0"	"1"	"1"	"86"	"0"	"1"	"324"	""	""
"147"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"148"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"149"	"121"	"335"	"8"	"71"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"41"	"2"	"3"	"485"	""	""
"150"	"122"	"94"	"3"	"267"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"5"	"0"	"2"	"1"	"1"	"5"	"56"	"2"	"2"	"448"	""	""
"151"	"123"	"65"	"4"	"183"	"5"	"0"	"2"	"1"	"5"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"6"	"3"	"1"	"0"	"3"	"1"	"0"	"85"	"1"	"4"	"372"	""	""
"152"	"124"	"63"	"1"	"350"	"2"	"5"	"0"	"0"	"14"	"0"	"2"	"1"	"0"	"0"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"145"	"1"	"3"	"599"	""	""
"153"	"125"	"86"	"1"	"371"	"0"	"0"	"1"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"1"	"0"	"64"	"1"	"2"	"551"	""	""
"154"	"126"	"68"	"1"	"493"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"8"	"0"	"1"	"1"	"0"	"0"	"1"	"107"	"0"	"1"	"687"	""	""
"155"	"127"	"139"	"3"	"148"	"1"	"0"	"2"	"2"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"7"	"1"	"0"	"1"	"0"	"0"	"3"	"120"	"0"	"1"	"438"	""	""
"156"	"128"	"102"	"2"	"342"	"3"	"1"	"1"	"1"	"18"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"6"	"2"	"0"	"0"	"4"	"1"	"0"	"98"	"1"	"5"	"592"	""	""
"157"	"129"	"110"	"3"	"375"	"1"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"83"	"2"	"0"	"590"	""	""
"158"	"130"	"127"	"2"	"362"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"97"	"1"	"3"	"612"	""	""
"159"	"131"	"38"	"2"	"168"	"1"	"1"	"1"	"4"	"17"	"2"	"0"	"1"	"1"	"2"	"1"	"3"	"10"	"4"	"1"	"1"	"0"	"0"	"3"	"157"	"2"	"2"	"422"	""	""
"160"	"132"	"31"	"0"	"176"	"1"	"1"	"1"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"8"	"6"	"1"	"1"	"1"	"2"	"1"	"204"	"2"	"9"	"492"	""	""
"161"	"133"	"65"	"2"	"98"	"3"	"0"	"5"	"9"	"116"	"4"	"2"	"2"	"1"	"0"	"0"	"9"	"31"	"8"	"1"	"0"	"0"	"3"	"2"	"212"	"4"	"6"	"583"	""	""
"162"	"134"	"40"	"1"	"93"	"3"	"0"	"0"	"1"	"13"	"2"	"0"	"0"	"1"	"1"	"7"	"2"	"11"	"1"	"0"	"2"	"1"	"0"	"2"	"188"	"2"	"4"	"375"	""	""
"163"	"134A"	"64"	"5"	"115"	"0"	"1"	"0"	"0"	"22"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"33"	"0"	"0"	"1"	"0"	"1"	"3"	"153"	"4"	"3"	"411"	""	""
"164"	"135"	"37"	"0"	"188"	"2"	"0"	"1"	"0"	"9"	"2"	"1"	"0"	"1"	"2"	"1"	"0"	"8"	"4"	"2"	"1"	"0"	"0"	"7"	"345"	"2"	"5"	"618"	""	""
"165"	"136"	"73"	"3"	"264"	"3"	"1"	"5"	"3"	"3"	"2"	"3"	"2"	"2"	"0"	"0"	"4"	"17"	"4"	"0"	"0"	"0"	"1"	"3"	"331"	"3"	"3"	"730"	""	""
"166"	"137"	"85"	"3"	"272"	"3"	"0"	"0"	"0"	"79"	"2"	"4"	"0"	"1"	"1"	"2"	"1"	"8"	"9"	"2"	"2"	"0"	"2"	"4"	"125"	"2"	"7"	"614"	""	""
"167"	"138"	"41"	"1"	"136"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"98"	"2"	"4"	"295"	""	""
"168"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"169"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"170"	"139"	"77"	"1"	"212"	"2"	"0"	"0"	"1"	"52"	"2"	"1"	"0"	"1"	"1"	"1"	"2"	"24"	"1"	"1"	"0"	"0"	"2"	"3"	"237"	"6"	"3"	"630"	""	""
"171"	"140"	"122"	"1"	"239"	"1"	"6"	"2"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"1"	"0"	"1"	"0"	"2"	"278"	"3"	"2"	"674"	""	""
"172"	"141"	"73"	"2"	"221"	"2"	"2"	"3"	"7"	"51"	"3"	"0"	"2"	"1"	"1"	"4"	"6"	"15"	"5"	"2"	"4"	"1"	"1"	"5"	"278"	"3"	"4"	"696"	""	""
"173"	"142"	"78"	"2"	"332"	"1"	"1"	"1"	"1"	"79"	"4"	"0"	"0"	"2"	"0"	"1"	"2"	"10"	"1"	"0"	"1"	"0"	"0"	"1"	"176"	"0"	"5"	"698"	""	""
"174"	"143"	"72"	"6"	"158"	"2"	"0"	"0"	"2"	"15"	"1"	"1"	"2"	"1"	"1"	"1"	"4"	"17"	"1"	"0"	"1"	"0"	"0"	"4"	"292"	"2"	"3"	"586"	""	""
"175"	"144"	"122"	"4"	"140"	"1"	"2"	"0"	"3"	"19"	"2"	"0"	"2"	"0"	"3"	"1"	"2"	"9"	"2"	"0"	"3"	"0"	"1"	"5"	"236"	"2"	"0"	"559"	""	""
"176"	"145"	"20"	"0"	"211"	"2"	"1"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"3"	"0"	"0"	"6"	"250"	"4"	"1"	"513"	""	""
"177"	"146"	"15"	"7"	"166"	"4"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"2"	"2"	"2"	"1"	"0"	"0"	"3"	"173"	"4"	"1"	"388"	""	""
"178"	"147"	"112"	"1"	"7"	"0"	"2"	"0"	"0"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"78"	"0"	"3"	"220"	""	""
"179"	"148"	"130"	"6"	"137"	"1"	"2"	"1"	"1"	"15"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"19"	"1"	"1"	"1"	"0"	"1"	"5"	"254"	"6"	"1"	"588"	""	""
"180"	"149"	"344"	"2"	"22"	"1"	"0"	"0"	"2"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"7"	"2"	"0"	"0"	"1"	"0"	"1"	"207"	"1"	"3"	"603"	""	""
"181"	"150"	"277"	"4"	"29"	"0"	"0"	"2"	"1"	"24"	"2"	"1"	"0"	"0"	"3"	"1"	"3"	"18"	"21"	"5"	"3"	"3"	"1"	"2"	"259"	"2"	"7"	"668"	""	""
"182"	"151"	"117"	"2"	"78"	"1"	"0"	"0"	"3"	"39"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"5"	"8"	"2"	"4"	"0"	"1"	"8"	"279"	"4"	"5"	"564"	""	""
"183"	"152"	"100"	"4"	"205"	"3"	"1"	"1"	"2"	"62"	"4"	"3"	"0"	"1"	"0"	"4"	"3"	"31"	"9"	"1"	"4"	"1"	"6"	"16"	"286"	"13"	"12"	"772"	""	""
"184"	"153"	"75"	"0"	"165"	"1"	"0"	"1"	"0"	"38"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"272"	"2"	"1"	"573"	""	""
"185"	"154"	"86"	"3"	"103"	"2"	"1"	"1"	"2"	"12"	"1"	"2"	"1"	"0"	"2"	"4"	"1"	"15"	"2"	"0"	"0"	"1"	"2"	"2"	"198"	"4"	"6"	"451"	""	""
"186"	"155"	"109"	"0"	"147"	"1"	"0"	"1"	"1"	"17"	"0"	"6"	"0"	"0"	"0"	"0"	"3"	"7"	"2"	"1"	"0"	"0"	"0"	"1"	"279"	"0"	"0"	"575"	""	""
"187"	"156"	"22"	"1"	"145"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"1"	"159"	"0"	"0"	"344"	""	""
"188"	"157"	"217"	"2"	"196"	"0"	"0"	"0"	"1"	"6"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"7"	"0"	"0"	"1"	"0"	"2"	"137"	"1"	"2"	"576"	""	""
"189"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"190"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"191"	"158"	"30"	"0"	"166"	"2"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"102"	"1"	"1"	"318"	""	""
"192"	"159"	"133"	"4"	"193"	"2"	"0"	"0"	"1"	"11"	"2"	"1"	"0"	"2"	"2"	"3"	"4"	"15"	"1"	"0"	"1"	"0"	"0"	"5"	"135"	"1"	"5"	"521"	""	""
"193"	"160"	"55"	"9"	"189"	"0"	"2"	"1"	"2"	"12"	"1"	"7"	"2"	"0"	"1"	"0"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"3"	"98"	"2"	"1"	"399"	""	""
"194"	"161"	"133"	"3"	"185"	"2"	"2"	"0"	"1"	"9"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"22"	"3"	"1"	"0"	"0"	"0"	"5"	"269"	"2"	"3"	"649"	""	""
"195"	"162"	"144"	"8"	"95"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"1"	"0"	"1"	"2"	"127"	"0"	"2"	"392"	""	""
"196"	"163"	"183"	"1"	"215"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"0"	"0"	"512"	""	""
"197"	"164"	"79"	"7"	"199"	"3"	"2"	"0"	"2"	"17"	"0"	"1"	"2"	"0"	"0"	"1"	"3"	"12"	"2"	"0"	"2"	"1"	"2"	"3"	"331"	"0"	"1"	"670"	""	""
"198"	"165"	"164"	"4"	"22"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"159"	"0"	"1"	"371"	""	""
"199"	"166"	"221"	"4"	"18"	"0"	"2"	"1"	"1"	"7"	"2"	"0"	"0"	"2"	"0"	"0"	"3"	"7"	"2"	"1"	"0"	"0"	"0"	"4"	"178"	"1"	"3"	"457"	""	""
"200"	"167"	"72"	"2"	"186"	"1"	"0"	"0"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"4"	"12"	"1"	"0"	"1"	"0"	"1"	"2"	"225"	"2"	"3"	"521"	""	""
"201"	"168"	"70"	"12"	"237"	"9"	"23"	"0"	"0"	"5"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"5"	"243"	"1"	"4"	"629"	""	""
"202"	"169"	"33"	"4"	"138"	"1"	"0"	"0"	"0"	"8"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"233"	"4"	"6"	"438"	""	""
"203"	"170"	"142"	"5"	"68"	"1"	"0"	"0"	"5"	"12"	"1"	"1"	"2"	"0"	"1"	"3"	"2"	"20"	"1"	"0"	"2"	"1"	"1"	"1"	"246"	"2"	"3"	"520"	""	""
"204"	"171"	"49"	"5"	"135"	"3"	"0"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"12"	"0"	"0"	"1"	"0"	"2"	"1"	"206"	"2"	"1"	"435"	""	""
"205"	"171A"	"71"	"3"	"99"	"3"	"1"	"0"	"1"	"9"	"2"	"0"	"0"	"0"	"3"	"1"	"4"	"14"	"1"	"1"	"0"	"1"	"0"	"2"	"200"	"3"	"4"	"423"	""	""
"206"	"172"	"97"	"7"	"181"	"1"	"2"	"1"	"0"	"7"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"17"	"3"	"0"	"2"	"0"	"0"	"1"	"238"	"1"	"1"	"565"	""	""
"207"	"172A"	"38"	"4"	"78"	"2"	"1"	"0"	"0"	"8"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"12"	"1"	"0"	"1"	"1"	"0"	"0"	"171"	"4"	"6"	"331"	""	""
"208"	"173"	"133"	"4"	"166"	"4"	"1"	"8"	"1"	"22"	"2"	"11"	"3"	"4"	"3"	"4"	"6"	"24"	"6"	"4"	"3"	"2"	"2"	"2"	"229"	"7"	"3"	"654"	""	""
