"FORM...........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"185"	"168"	"10"	"114"	"402"	"10"	"19"	"11"	"8"	"15"	"11"	"65"	"665"	"0"	"0"	"665"	"0"
"186"	"ROUND 12"	"197"	"1725"	"2870"	"100"	"131"	"169"	"61"	"400"	"111"	"585"	"6349"	"0"	"0"	"6349"	"0"
"187"	"169"	"18"	"184"	"302"	"8"	"12"	"26"	"6"	"22"	"10"	"21"	"609"	"0"	"0"	"609"	"0"
"188"	"170"	"2"	"20"	"92"	"3"	"12"	"107"	"16"	"16"	"20"	"23"	"311"	"0"	"0"	"311"	"0"
"189"	"171"	"19"	"96"	"305"	"8"	"7"	"1"	"2"	"14"	"2"	"4"	"458"	"0"	"0"	"458"	"0"
"190"	"172"	"16"	"161"	"56"	"4"	"7"	"51"	"9"	"35"	"15"	"7"	"361"	"0"	"0"	"361"	"0"
"191"	"173"	"13"	"107"	"224"	"5"	"15"	"11"	"16"	"22"	"3"	"26"	"442"	"0"	"0"	"442"	"0"
"192"	"174"	"21"	"258"	"124"	"9"	"9"	"38"	"19"	"58"	"17"	"25"	"578"	"0"	"0"	"578"	"0"
"193"	"175"	"19"	"216"	"319"	"14"	"30"	"16"	"4"	"15"	"4"	"11"	"648"	"0"	"0"	"648"	"0"
"194"	"ROUND 13"	"108"	"1042"	"1422"	"51"	"92"	"250"	"72"	"182"	"71"	"117"	"3407"	"0"	"0"	"3407"	"0"
