"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"207"	"161"	"33"	"25"	"224"	"123"	"7"	"15"	"135"	"10"	"16"	"588"	"0"	"588"	"0"
"208"	"162"	"12"	"13"	"338"	"112"	"8"	"21"	"89"	"4"	"11"	"608"	"0"	"608"	"0"
"209"	"163"	"16"	"7"	"124"	"96"	"5"	"22"	"173"	"21"	"31"	"495"	"0"	"495"	"0"
"210"	"164"	"4"	"15"	"168"	"34"	"8"	"18"	"278"	"8"	"11"	"544"	"0"	"544"	"0"
"211"	"165"	"9"	"46"	"187"	"22"	"1"	"21"	"153"	"5"	"18"	"462"	"0"	"462"	"0"
"212"	"166"	"24"	"21"	"179"	"13"	"7"	"10"	"143"	"6"	"20"	"423"	"0"	"423"	"0"
"213"	"167"	"4"	"48"	"50"	"45"	"5"	"12"	"247"	"0"	"4"	"415"	"0"	"415"	"0"
"214"	"168"	"7"	"72"	"136"	"14"	"10"	"21"	"172"	"7"	"14"	"453"	"0"	"453"	"0"
"215"	"Total Round 12"	"166"	"1072"	"2125"	"1056"	"88"	"206"	"2386"	"97"	"173"	"7369"	"0"	"7369"	"0"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"219"	"169"	"4"	"12"	"62"	"55"	"11"	"28"	"175"	"8"	"23"	"378"	"0"	"378"	"0"
"220"	"170"	"5"	"7"	"134"	"73"	"9"	"16"	"84"	"11"	"17"	"356"	"0"	"356"	"0"
"221"	"171"	"17"	"20"	"365"	"38"	"13"	"44"	"151"	"17"	"63"	"728"	"0"	"728"	"0"
"222"	"172"	"8"	"29"	"508"	"18"	"4"	"12"	"61"	"6"	"9"	"655"	"0"	"655"	"0"
"223"	"173"	"12"	"13"	"488"	"52"	"6"	"15"	"57"	"7"	"16"	"666"	"0"	"666"	"0"
"224"	"174"	"13"	"6"	"372"	"35"	"13"	"24"	"103"	"9"	"34"	"609"	"0"	"609"	"0"
"225"	"175"	"10"	"57"	"281"	"58"	"7"	"12"	"103"	"13"	"24"	"565"	"0"	"565"	"0"
"226"	"176"	"28"	"157"	"205"	"40"	"6"	"8"	"101"	"9"	"19"	"573"	"0"	"573"	"0"
"227"	"177"	"20"	"23"	"317"	"19"	"11"	"26"	"175"	"7"	"30"	"628"	"0"	"628"	"0"
"228"	"178"	"3"	"59"	"583"	"16"	"4"	"4"	"17"	"2"	"6"	"694"	"0"	"694"	"0"
"229"	"179"	"22"	"30"	"150"	"62"	"16"	"39"	"185"	"11"	"43"	"558"	"0"	"558"	"0"
"230"	"180"	"11"	"81"	"126"	"37"	"2"	"11"	"76"	"8"	"17"	"369"	"0"	"369"	"0"
"231"	"181"	"6"	"17"	"287"	"12"	"8"	"16"	"68"	"21"	"16"	"451"	"0"	"451"	"0"
"232"	"182"	"21"	"140"	"207"	"33"	"10"	"21"	"160"	"6"	"7"	"605"	"0"	"605"	"0"
"233"	"Total Round 13"	"180"	"651"	"4085"	"548"	"120"	"276"	"1516"	"135"	"324"	"7835"	"0"	"7835"	"0"
"234"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"236"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"237"	"183"	"19"	"83"	"221"	"41"	"8"	"7"	"60"	"6"	"6"	"451"	"0"	"451"	"0"
"238"	"184"	"18"	"86"	"381"	"50"	"10"	"27"	"155"	"12"	"15"	"754"	"0"	"754"	"0"
"239"	"185"	"10"	"128"	"218"	"39"	"11"	"19"	"133"	"21"	"27"	"606"	"0"	"606"	"0"
"240"	"186"	"27"	"94"	"252"	"23"	"11"	"17"	"83"	"5"	"18"	"530"	"0"	"530"	"0"
"241"	"187"	"3"	"19"	"358"	"37"	"0"	"5"	"28"	"0"	"1"	"451"	"0"	"451"	"0"
"242"	"188"	"4"	"15"	"271"	"68"	"9"	"7"	"57"	"3"	"8"	"442"	"0"	"442"	"0"
"243"	"189"	"9"	"36"	"347"	"29"	"5"	"23"	"112"	"6"	"16"	"583"	"0"	"583"	"0"
"244"	"190"	"15"	"44"	"434"	"48"	"8"	"18"	"209"	"8"	"15"	"799"	"0"	"799"	"0"
"245"	"191"	"8"	"72"	"374"	"56"	"8"	"15"	"195"	"7"	"13"	"748"	"0"	"748"	"0"
"246"	"192"	"8"	"79"	"293"	"39"	"4"	"9"	"148"	"5"	"10"	"595"	"0"	"595"	"0"
"247"	"193"	"12"	"252"	"37"	"14"	"3"	"6"	"30"	"3"	"4"	"361"	"0"	"361"	"0"
"248"	"194"	"20"	"30"	"215"	"94"	"9"	"14"	"84"	"2"	"16"	"484"	"0"	"484"	"0"
"249"	"195"	"20"	"40"	"155"	"148"	"11"	"14"	"181"	"14"	"13"	"596"	"0"	"596"	"0"
"250"	"196"	"12"	"83"	"255"	"33"	"7"	"20"	"143"	"7"	"23"	"583"	"0"	"583"	"0"
"251"	"Total Round 14"	"185"	"1061"	"3811"	"719"	"104"	"201"	"1618"	"99"	"185"	"7983"	"0"	"7983"	"0"
"252"	"Total No. of Electors in Assembly Constituency :-  229302"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 MADHUBANI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"259"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"260"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"261"	"197"	"6"	"71"	"84"	"11"	"2"	"4"	"9"	"5"	"0"	"192"	"0"	"192"	"0"
"262"	"198"	"3"	"155"	"44"	"36"	"1"	"1"	"58"	"3"	"2"	"303"	"0"	"303"	"0"
"263"	"199"	"15"	"159"	"217"	"49"	"17"	"13"	"75"	"9"	"20"	"574"	"0"	"574"	"0"
"264"	"200"	"16"	"177"	"126"	"42"	"2"	"6"	"91"	"5"	"9"	"474"	"0"	"474"	"0"
"265"	"201"	"16"	"183"	"90"	"24"	"12"	"16"	"267"	"13"	"33"	"654"	"0"	"654"	"0"
"266"	"Total Round 15"	"56"	"745"	"561"	"162"	"34"	"40"	"500"	"35"	"64"	"2197"	"0"	"2197"	"0"
"267"	"Total No. of votes recorded at Polling stations"	"2116"	"23047"	"33007"	"10120"	"1251"	"2338"	"24324"	"1639"	"2574"	"100416"	"0"	"100416"	"0"
"268"	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"269"	"TOTAL VOTES POLLED"	"2116"	"23047"	"33007"	"10120"	"1251"	"2338"	"24324"	"1639"	"2574"	"100416"	"0"	"100416"	"0"
