"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendere.d.votes"
"144"	"119"	"407"	"28"	"151"	"4"	"2"	"18"	"0"	"2"	"0"	"0"	"1"	"0"	"4"	"4"	"7"	"628"	"0"	"628"	"0"
"145"	"120"	"159"	"206"	"50"	"3"	"2"	"27"	"0"	"4"	"9"	"2"	"3"	"5"	"2"	"8"	"10"	"490"	"0"	"490"	"0"
"146"	"121"	"80"	"114"	"218"	"8"	"3"	"40"	"0"	"7"	"28"	"2"	"9"	"5"	"9"	"15"	"13"	"551"	"0"	"551"	"0"
"147"	"122"	"193"	"28"	"34"	"4"	"0"	"57"	"3"	"46"	"21"	"3"	"5"	"3"	"1"	"3"	"2"	"403"	"0"	"403"	"0"
"148"	"123"	"202"	"19"	"267"	"5"	"5"	"14"	"0"	"4"	"42"	"3"	"5"	"12"	"6"	"2"	"16"	"602"	"0"	"602"	"0"
"149"	"124"	"320"	"41"	"42"	"5"	"2"	"25"	"17"	"39"	"19"	"4"	"5"	"3"	"14"	"9"	"19"	"564"	"0"	"564"	"0"
"150"	"125"	"137"	"52"	"81"	"25"	"11"	"96"	"9"	"8"	"14"	"8"	"12"	"10"	"4"	"1"	"8"	"476"	"0"	"476"	"0"
"151"	"126"	"51"	"54"	"20"	"0"	"2"	"29"	"2"	"17"	"144"	"8"	"6"	"20"	"2"	"42"	"10"	"407"	"0"	"407"	"0"
"152"	"Round Total"	"1998"	"905"	"1690"	"124"	"44"	"507"	"44"	"146"	"472"	"43"	"74"	"83"	"69"	"142"	"99"	"6440"	"0"	"6440"	"0"
"153"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"154"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"155"	"127"	"90"	"7"	"45"	"6"	"0"	"12"	"10"	"3"	"1"	"0"	"2"	"5"	"9"	"1"	"11"	"202"	"0"	"202"	"0"
"156"	"128"	"64"	"42"	"580"	"8"	"1"	"15"	"1"	"1"	"15"	"0"	"1"	"3"	"0"	"12"	"1"	"744"	"0"	"744"	"0"
"157"	"129"	"119"	"76"	"49"	"4"	"2"	"82"	"2"	"17"	"44"	"10"	"9"	"10"	"2"	"7"	"16"	"449"	"0"	"449"	"0"
"158"	"130"	"99"	"23"	"89"	"3"	"1"	"73"	"4"	"4"	"10"	"8"	"3"	"2"	"15"	"9"	"26"	"369"	"0"	"369"	"0"
"159"	"131"	"54"	"24"	"76"	"3"	"1"	"24"	"2"	"6"	"42"	"5"	"5"	"5"	"3"	"12"	"14"	"276"	"0"	"276"	"0"
"160"	"132"	"132"	"15"	"239"	"16"	"1"	"103"	"0"	"2"	"7"	"8"	"2"	"13"	"15"	"9"	"18"	"580"	"0"	"580"	"0"
"161"	"133"	"88"	"35"	"88"	"2"	"1"	"89"	"8"	"157"	"15"	"1"	"4"	"2"	"0"	"3"	"6"	"499"	"0"	"499"	"0"
"162"	"134"	"37"	"104"	"136"	"7"	"1"	"9"	"12"	"13"	"0"	"3"	"2"	"2"	"2"	"3"	"7"	"338"	"0"	"338"	"0"
"163"	"135"	"100"	"3"	"109"	"4"	"2"	"6"	"1"	"26"	"54"	"2"	"2"	"4"	"3"	"3"	"3"	"322"	"0"	"322"	"0"
"164"	"136"	"75"	"31"	"99"	"7"	"3"	"89"	"2"	"1"	"7"	"4"	"7"	"5"	"10"	"9"	"14"	"363"	"0"	"363"	"0"
"165"	"137"	"157"	"43"	"245"	"22"	"1"	"73"	"7"	"8"	"29"	"10"	"17"	"13"	"18"	"7"	"26"	"676"	"0"	"676"	"0"
"166"	"138"	"153"	"10"	"151"	"9"	"0"	"26"	"2"	"2"	"2"	"3"	"2"	"6"	"10"	"11"	"27"	"414"	"0"	"414"	"0"
"167"	"139"	"198"	"17"	"263"	"4"	"2"	"6"	"1"	"3"	"2"	"4"	"6"	"4"	"22"	"8"	"32"	"572"	"0"	"572"	"0"
"168"	"140"	"39"	"8"	"149"	"7"	"1"	"36"	"8"	"13"	"75"	"7"	"13"	"16"	"19"	"12"	"27"	"430"	"0"	"430"	"0"
"169"	"Round Total"	"1405"	"438"	"2318"	"102"	"17"	"643"	"60"	"256"	"303"	"65"	"75"	"90"	"128"	"106"	"228"	"6234"	"0"	"6234"	"0"
"170"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"171"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"172"	"141"	"339"	"7"	"182"	"4"	"2"	"6"	"0"	"1"	"3"	"0"	"1"	"1"	"2"	"2"	"14"	"564"	"0"	"564"	"0"
"173"	"142"	"352"	"2"	"7"	"26"	"0"	"11"	"1"	"11"	"1"	"2"	"0"	"1"	"1"	"1"	"5"	"421"	"0"	"421"	"0"
"174"	"143"	"288"	"19"	"181"	"7"	"4"	"24"	"4"	"3"	"1"	"3"	"4"	"1"	"3"	"3"	"6"	"551"	"0"	"551"	"0"
"175"	"144"	"249"	"3"	"7"	"2"	"1"	"107"	"0"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"10"	"390"	"0"	"390"	"0"
"176"	"145"	"84"	"8"	"207"	"3"	"0"	"107"	"2"	"1"	"3"	"5"	"2"	"5"	"12"	"5"	"2"	"446"	"0"	"446"	"0"
"177"	"146"	"208"	"5"	"319"	"7"	"3"	"13"	"4"	"2"	"3"	"4"	"1"	"9"	"10"	"9"	"13"	"610"	"0"	"610"	"0"
"178"	"147"	"177"	"8"	"340"	"4"	"2"	"23"	"2"	"1"	"5"	"3"	"5"	"4"	"15"	"9"	"25"	"623"	"0"	"623"	"0"
"179"	"148"	"347"	"4"	"68"	"2"	"0"	"29"	"1"	"4"	"10"	"1"	"1"	"1"	"5"	"0"	"3"	"476"	"0"	"476"	"0"
"180"	"149"	"241"	"11"	"94"	"7"	"1"	"99"	"8"	"5"	"22"	"6"	"3"	"2"	"5"	"3"	"2"	"509"	"0"	"509"	"0"
"181"	"150"	"136"	"9"	"180"	"5"	"1"	"108"	"2"	"2"	"10"	"1"	"0"	"2"	"2"	"0"	"0"	"458"	"0"	"458"	"0"
"182"	"151"	"270"	"8"	"60"	"2"	"1"	"4"	"4"	"3"	"16"	"0"	"1"	"1"	"6"	"0"	"22"	"398"	"0"	"398"	"0"
"183"	"152"	"366"	"10"	"56"	"3"	"3"	"18"	"1"	"9"	"25"	"0"	"0"	"5"	"5"	"3"	"6"	"510"	"0"	"510"	"0"
"184"	"153"	"155"	"12"	"186"	"3"	"2"	"1"	"1"	"5"	"34"	"1"	"1"	"4"	"9"	"4"	"7"	"425"	"0"	"425"	"0"
"185"	"154"	"91"	"19"	"37"	"9"	"4"	"13"	"4"	"8"	"105"	"7"	"8"	"9"	"3"	"3"	"10"	"330"	"0"	"330"	"0"
"186"	"Round Total"	"3303"	"125"	"1924"	"84"	"24"	"563"	"34"	"56"	"240"	"35"	"29"	"46"	"80"	"43"	"125"	"6711"	"0"	"6711"	"0"
"187"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"188"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"189"	"155"	"229"	"12"	"169"	"4"	"1"	"35"	"2"	"1"	"228"	"3"	"7"	"13"	"7"	"6"	"17"	"734"	"0"	"734"	"0"
"190"	"156"	"51"	"1"	"45"	"8"	"4"	"11"	"14"	"22"	"316"	"18"	"13"	"57"	"8"	"3"	"3"	"574"	"0"	"574"	"0"
"191"	"157"	"76"	"8"	"21"	"0"	"0"	"31"	"5"	"15"	"164"	"4"	"3"	"11"	"2"	"1"	"2"	"343"	"0"	"343"	"0"
"192"	"158"	"42"	"11"	"74"	"6"	"3"	"57"	"8"	"14"	"130"	"1"	"4"	"11"	"2"	"0"	"0"	"363"	"0"	"363"	"0"
"193"	"159"	"266"	"18"	"121"	"10"	"1"	"15"	"2"	"1"	"12"	"1"	"3"	"7"	"13"	"3"	"32"	"505"	"0"	"505"	"0"
"194"	"160"	"20"	"59"	"239"	"4"	"4"	"15"	"3"	"1"	"12"	"1"	"0"	"1"	"5"	"9"	"2"	"375"	"0"	"375"	"0"
"195"	"161"	"80"	"53"	"128"	"8"	"4"	"3"	"10"	"1"	"17"	"0"	"1"	"2"	"7"	"6"	"6"	"326"	"0"	"326"	"0"
"196"	"162"	"119"	"31"	"63"	"13"	"4"	"115"	"8"	"8"	"72"	"21"	"15"	"31"	"14"	"16"	"16"	"546"	"0"	"546"	"0"
"197"	"163"	"110"	"35"	"195"	"12"	"3"	"29"	"2"	"6"	"93"	"3"	"8"	"18"	"9"	"4"	"11"	"538"	"0"	"538"	"0"
"198"	"164"	"184"	"12"	"177"	"6"	"2"	"21"	"3"	"6"	"64"	"8"	"4"	"10"	"14"	"10"	"40"	"561"	"0"	"561"	"0"
"199"	"165"	"61"	"6"	"228"	"6"	"2"	"49"	"1"	"0"	"19"	"0"	"2"	"0"	"4"	"1"	"1"	"380"	"0"	"380"	"0"
"200"	"166"	"301"	"4"	"101"	"14"	"1"	"14"	"5"	"4"	"9"	"2"	"8"	"6"	"13"	"12"	"26"	"520"	"0"	"520"	"0"
"201"	"167"	"192"	"12"	"37"	"7"	"0"	"60"	"9"	"13"	"93"	"13"	"13"	"26"	"11"	"16"	"36"	"538"	"0"	"538"	"0"
"202"	"168"	"42"	"5"	"36"	"3"	"1"	"138"	"7"	"12"	"154"	"11"	"10"	"17"	"7"	"9"	"24"	"476"	"0"	"476"	"0"
"203"	"Round Total"	"1773"	"267"	"1634"	"101"	"30"	"593"	"79"	"104"	"1383"	"86"	"91"	"210"	"116"	"96"	"216"	"6779"	"0"	"6779"	"0"
"204"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"205"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"206"	"169"	"247"	"9"	"120"	"7"	"2"	"35"	"6"	"7"	"17"	"5"	"10"	"6"	"13"	"5"	"8"	"497"	"0"	"497"	"0"
"207"	"170"	"33"	"72"	"79"	"9"	"7"	"21"	"4"	"1"	"5"	"5"	"2"	"3"	"0"	"18"	"4"	"263"	"0"	"263"	"0"
"208"	"171"	"41"	"118"	"179"	"14"	"3"	"31"	"2"	"5"	"15"	"11"	"13"	"14"	"18"	"13"	"24"	"501"	"0"	"501"	"0"
"209"	"172"	"97"	"132"	"60"	"8"	"1"	"48"	"10"	"6"	"89"	"5"	"8"	"13"	"8"	"13"	"29"	"527"	"0"	"527"	"0"
"210"	"173"	"46"	"54"	"114"	"3"	"0"	"18"	"1"	"4"	"39"	"1"	"4"	"3"	"8"	"3"	"3"	"301"	"0"	"301"	"0"
"211"	"174"	"122"	"9"	"89"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"235"	"0"	"235"	"0"
"212"	"175"	"28"	"2"	"58"	"1"	"2"	"191"	"5"	"3"	"5"	"14"	"7"	"5"	"5"	"0"	"3"	"329"	"0"	"329"	"0"
"213"	"176"	"410"	"10"	"6"	"1"	"1"	"2"	"2"	"0"	"3"	"1"	"2"	"1"	"6"	"2"	"9"	"456"	"0"	"456"	"0"
"214"	"177"	"112"	"35"	"298"	"3"	"3"	"63"	"5"	"5"	"6"	"7"	"15"	"7"	"65"	"5"	"28"	"657"	"0"	"657"	"0"
"215"	"178"	"238"	"68"	"94"	"5"	"6"	"55"	"4"	"3"	"26"	"7"	"9"	"10"	"9"	"6"	"20"	"560"	"0"	"560"	"0"
"216"	"179"	"73"	"32"	"36"	"6"	"4"	"92"	"3"	"13"	"106"	"9"	"8"	"14"	"15"	"12"	"22"	"445"	"0"	"445"	"0"
"217"	"180"	"102"	"39"	"294"	"3"	"2"	"68"	"0"	"4"	"1"	"2"	"4"	"0"	"2"	"4"	"3"	"528"	"0"	"528"	"0"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"219"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"220"	"Round Total"	"1549"	"580"	"1427"	"62"	"32"	"627"	"42"	"52"	"312"	"67"	"83"	"76"	"150"	"83"	"157"	"5299"	"0"	"5299"	"0"
