"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"161"	"147"	"14"	"87"	"16"	"6"	"20"	""	"178"	"13"	"5"	"13"	"13"	"13"	"13"	"17"	"408"	""	"&"	"408"	"&"
"162"	"148"	"18"	"96"	"11"	"2"	"12"	""	"341"	"12"	"4"	"6"	"7"	"8"	"4"	"14"	"535"	""	"&"	"535"	"&"
"163"	"149"	"20"	"251"	"47"	"14"	"15"	""	"74"	"6"	"7"	"12"	"6"	"8"	"9"	"16"	"485"	""	"&"	"485"	"&"
"164"	"150"	"5"	"118"	"38"	"11"	"296"	""	"127"	"10"	"4"	"5"	"3"	"6"	"4"	"11"	"638"	""	"&"	"638"	"&"
"165"	"151"	"8"	"48"	"9"	"5"	"127"	""	"399"	"4"	"3"	"3"	"1"	"6"	"2"	"6"	"621"	""	"&"	"621"	"&"
"166"	"152"	"0"	"2"	"4"	"0"	"3"	""	"678"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"694"	""	"&"	"694"	"&"
"167"	"153"	"1"	"40"	"1"	"2"	"4"	""	"524"	"5"	"1"	"1"	"0"	"0"	"0"	"2"	"581"	""	"&"	"581"	"&"
"168"	"154"	"5"	"79"	"8"	"4"	"3"	""	"280"	"10"	"3"	"14"	"8"	"2"	"4"	"21"	"441"	""	"&"	"441"	"&"
"169"	"155"	"18"	"67"	"11"	"4"	"3"	""	"185"	"10"	"3"	"12"	"6"	"6"	"4"	"24"	"353"	""	"&"	"353"	"&"
"170"	"156"	"14"	"78"	"60"	"11"	"10"	""	"277"	"7"	"10"	"11"	"3"	"1"	"2"	"10"	"494"	""	"&"	"494"	"&"
"171"	"157"	"2"	"370"	"1"	"1"	"2"	""	"291"	"12"	"2"	"7"	"5"	"2"	"2"	"4"	"701"	""	"&"	"701"	"&"
"172"	"158"	"0"	"109"	"26"	"0"	"1"	""	"595"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"732"	""	"&"	"732"	"&"
"173"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"174"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"175"	"159"	"0"	"49"	"25"	"0"	"0"	""	"643"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"721"	""	"&"	"721"	"&"
"176"	"160"	"8"	"106"	"6"	"2"	"5"	""	"221"	"5"	"4"	"9"	"0"	"2"	"3"	"12"	"383"	""	"&"	"383"	"&"
"177"	"161"	"0"	"17"	"3"	"1"	"2"	""	"680"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"706"	""	"&"	"706"	"&"
"178"	"162"	"12"	"43"	"80"	"6"	"5"	""	"916"	"14"	"5"	"15"	"3"	"5"	"5"	"22"	"1131"	""	"&"	"1131"	"&"
"179"	"163"	"2"	"160"	"67"	"2"	"2"	""	"327"	"2"	"0"	"6"	"0"	"2"	"0"	"0"	"570"	""	"&"	"570"	"&"
"180"	"164"	"4"	"17"	"149"	"9"	"9"	""	"595"	"11"	"2"	"8"	"3"	"1"	"4"	"6"	"818"	""	"&"	"818"	"&"
"181"	"165"	"3"	"61"	"55"	"8"	"1"	""	"371"	"7"	"0"	"13"	"1"	"1"	"2"	"7"	"530"	""	"&"	"530"	"&"
"182"	"166"	"13"	"128"	"27"	"2"	"2"	""	"149"	"2"	"1"	"4"	"0"	"0"	"2"	"11"	"341"	""	"&"	"341"	"&"
"183"	"167"	"0"	"4"	"14"	"7"	"4"	""	"929"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"961"	""	"&"	"961"	"&"
"184"	"168"	"9"	"234"	"208"	"9"	"0"	""	"279"	"2"	"5"	"18"	"4"	"4"	"3"	"16"	"791"	""	"&"	"791"	"&"
"185"	"169"	"16"	"102"	"99"	"12"	"4"	""	"181"	"4"	"1"	"5"	"2"	"3"	"0"	"2"	"431"	""	"&"	"431"	"&"
"186"	"170"	"2"	"27"	"29"	"0"	"0"	""	"340"	"2"	"0"	"2"	"1"	"0"	"0"	"4"	"407"	""	"&"	"407"	"&"
"187"	"171"	"1"	"113"	"3"	"0"	"1"	""	"508"	"5"	"1"	"2"	"0"	"0"	"0"	"2"	"636"	""	"&"	"636"	"&"
"188"	"172"	"2"	"661"	"9"	"0"	"2"	""	"223"	"3"	"0"	"3"	"0"	"0"	"0"	"1"	"904"	""	"&"	"904"	"&"
"189"	"173"	"0"	"257"	"6"	"1"	"5"	""	"266"	"45"	"2"	"21"	"2"	"1"	"2"	"4"	"612"	""	"&"	"612"	"&"
"190"	"174"	"0"	"530"	"1"	"0"	"0"	""	"69"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"604"	""	"&"	"604"	"&"
"191"	"175"	"6"	"207"	"75"	"0"	"0"	""	"178"	"1"	"0"	"5"	"1"	"0"	"0"	"1"	"474"	""	"&"	"474"	"&"
"192"	"176"	"2"	"244"	"223"	"2"	"5"	""	"243"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"727"	""	"&"	"727"	"&"
"193"	"177"	"2"	"309"	"192"	"3"	"2"	""	"431"	"2"	"2"	"8"	"0"	"0"	"4"	"2"	"957"	""	"&"	"957"	"&"
"194"	"178"	"4"	"396"	"4"	"0"	"0"	""	"12"	"0"	"0"	"7"	"18"	"3"	"0"	"1"	"445"	""	"&"	"445"	"&"
"195"	"179"	"8"	"847"	"2"	"0"	"1"	""	"66"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"932"	""	"&"	"932"	"&"
"196"	"180"	"16"	"99"	"54"	"4"	"4"	""	"187"	"16"	"4"	"9"	"13"	"1"	"4"	"7"	"418"	""	"&"	"418"	"&"
"197"	"181"	"0"	"89"	"3"	"0"	"0"	""	"736"	"1"	"0"	"0"	"0"	"0"	"12"	"0"	"841"	""	"&"	"841"	"&"
"198"	"182"	"2"	"495"	"7"	"0"	"0"	""	"120"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"626"	""	"&"	"626"	"&"
"199"	"183"	"2"	"9"	"2"	"1"	"2"	""	"479"	"10"	"7"	"11"	"0"	"2"	"1"	"2"	"528"	""	"&"	"528"	"&"
"200"	"184"	"0"	"12"	"2"	"1"	"0"	""	"332"	"1"	"0"	"2"	"18"	"0"	"1"	"0"	"369"	""	"&"	"369"	"&"
"201"	"185"	"0"	"0"	"6"	"0"	"0"	""	"508"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"516"	""	"&"	"516"	"&"
"202"	"186"	"5"	"739"	"4"	"7"	"5"	""	"80"	"28"	"4"	"4"	"3"	"1"	"0"	"6"	"886"	""	"&"	"886"	"&"
"203"	"187"	"0"	"3"	"4"	"0"	"1"	""	"515"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"523"	""	"&"	"523"	"&"
"204"	"188"	"2"	"6"	"2"	"0"	"0"	""	"605"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"618"	""	"&"	"618"	"&"
"205"	"189"	"1"	"151"	"6"	"0"	"4"	""	"690"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"855"	""	"&"	"855"	"&"
"206"	"190"	"0"	"14"	"6"	"0"	"0"	""	"345"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	""	"&"	"365"	"&"
"207"	"191"	"0"	"110"	"36"	"6"	"3"	""	"343"	"5"	"5"	"4"	"1"	"1"	"1"	"3"	"518"	""	"&"	"518"	"&"
"208"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"209"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"210"	"192"	"0"	"4"	"9"	"0"	"0"	""	"657"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"671"	""	"&"	"671"	"&"
"211"	"193"	"5"	"106"	"7"	"0"	"0"	""	"445"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"567"	""	"&"	"567"	"&"
"212"	"194"	"2"	"702"	"1"	"0"	"0"	""	"17"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"727"	""	"&"	"727"	"&"
"213"	"195"	"1"	"293"	"34"	"8"	"1"	""	"36"	"0"	"2"	"3"	"0"	"2"	"3"	"1"	"384"	""	"&"	"384"	"&"
"214"	"196"	"0"	"110"	"64"	"17"	"1"	""	"70"	"4"	"2"	"4"	"1"	"2"	"6"	"2"	"283"	""	"&"	"283"	"&"
"215"	"197"	"2"	"196"	"57"	"19"	"2"	""	"75"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"360"	""	"&"	"360"	"&"
"216"	"198"	"2"	"258"	"111"	"14"	"1"	""	"81"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"472"	""	"&"	"472"	"&"
"217"	"199"	"4"	"336"	"17"	"1"	"4"	""	"186"	"4"	"2"	"1"	"2"	"3"	"1"	"4"	"565"	""	"&"	"565"	"&"
"218"	"200"	"7"	"187"	"7"	"2"	"1"	""	"54"	"1"	"0"	"1"	"9"	"2"	"0"	"0"	"271"	""	"&"	"271"	"&"
"219"	"201"	"0"	"8"	"0"	"0"	"0"	""	"900"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"909"	""	"&"	"909"	"&"
"220"	"202"	"0"	"28"	"0"	"0"	"0"	""	"551"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"581"	""	"&"	"581"	"&"
"221"	"203"	"1"	"110"	"2"	"1"	"0"	""	"117"	"1"	"1"	"7"	"1"	"1"	"0"	"3"	"245"	""	"&"	"245"	"&"
"222"	"204"	"4"	"120"	"7"	"3"	"0"	""	"178"	"1"	"2"	"9"	"2"	"0"	"2"	"10"	"338"	""	"&"	"338"	"&"
"223"	"205"	"20"	"150"	"78"	"6"	"6"	""	"80"	"3"	"4"	"10"	"3"	"7"	"8"	"22"	"397"	""	"&"	"397"	"&"
"224"	"206"	"9"	"83"	"44"	"1"	"3"	""	"35"	"4"	"4"	"7"	"1"	"0"	"4"	"11"	"206"	""	"&"	"206"	"&"
"225"	"207"	"2"	"948"	"7"	"3"	"2"	""	"44"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1009"	""	"&"	"1009"	"&"
"226"	"208"	"1"	"324"	"4"	"0"	"0"	""	"75"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"405"	""	"&"	"405"	"&"
"227"	"209"	"1"	"36"	"7"	"0"	"1"	""	"364"	"0"	"2"	"4"	"1"	"0"	"0"	"0"	"416"	""	"&"	"416"	"&"
"228"	"210"	"29"	"422"	"14"	"6"	"3"	""	"35"	"3"	"3"	"2"	"4"	"3"	"5"	"16"	"545"	""	"&"	"545"	"&"
"229"	"211"	"2"	"175"	"44"	"3"	"9"	""	"299"	"2"	"2"	"9"	"1"	"1"	"2"	"0"	"549"	""	"&"	"549"	"&"
"230"	"212"	"36"	"422"	"26"	"2"	"5"	""	"47"	"2"	"5"	"5"	"3"	"3"	"7"	"5"	"568"	""	"&"	"568"	"&"
"231"	"213"	"24"	"315"	"18"	"8"	"3"	""	"79"	"14"	"5"	"10"	"1"	"3"	"1"	"16"	"497"	""	"&"	"497"	"&"
"232"	"214"	"17"	"128"	"11"	"2"	"5"	""	"121"	"5"	"3"	"11"	"7"	"4"	"5"	"21"	"340"	""	"&"	"340"	"&"
"233"	"215"	"30"	"297"	"15"	"4"	"5"	""	"22"	"3"	"1"	"2"	"1"	"1"	"7"	"2"	"390"	""	"&"	"390"	"&"
"234"	"216"	"9"	"64"	"3"	"4"	"6"	""	"102"	"7"	"4"	"8"	"3"	"4"	"12"	"14"	"240"	""	"&"	"240"	"&"
"235"	"217"	"1"	"1"	"3"	"0"	"0"	""	"54"	"4"	"0"	"2"	"0"	"0"	"0"	"1"	"66"	""	"&"	"66"	"&"
"236"	"218"	"46"	"209"	"14"	"6"	"6"	""	"54"	"4"	"3"	"8"	"1"	"4"	"11"	"15"	"381"	""	"&"	"381"	"&"
"237"	"219"	"0"	"7"	"0"	"0"	"0"	""	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	""	"&"	"12"	"&"
"238"	"220"	"0"	"2"	"2"	"0"	"0"	""	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	""	"&"	"10"	"&"
"239"	"221"	"0"	"34"	"1"	"0"	"1"	""	"961"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"1003"	""	"&"	"1003"	"&"
"240"	"222"	"2"	"48"	"52"	"1"	"2"	""	"252"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"361"	""	"&"	"361"	"&"
"241"	"223"	"0"	"2"	"0"	"0"	"0"	""	"183"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	""	"&"	"185"	"&"
"242"	"224"	"5"	"107"	"3"	"3"	"9"	""	"218"	"5"	"5"	"8"	"6"	"1"	"2"	"3"	"375"	""	"&"	"375"	"&"
"243"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"244"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"245"	"225"	"22"	"33"	"22"	"4"	"8"	""	"168"	"10"	"5"	"25"	"2"	"3"	"3"	"10"	"315"	""	"&"	"315"	"&"
"246"	"226"	"11"	"73"	"1"	"3"	"3"	""	"43"	"6"	"3"	"9"	"3"	"5"	"4"	"7"	"171"	""	"&"	"171"	"&"
"247"	"227"	"27"	"31"	"13"	"8"	"9"	""	"180"	"13"	"8"	"25"	"6"	"8"	"13"	"30"	"371"	""	"&"	"371"	"&"
"248"	"228"	"16"	"72"	"11"	"5"	"6"	""	"263"	"92"	"8"	"20"	"6"	"1"	"11"	"24"	"535"	""	"&"	"535"	"&"
"249"	"229"	"13"	"57"	"25"	"4"	"11"	""	"346"	"11"	"6"	"18"	"2"	"4"	"3"	"15"	"515"	""	"&"	"515"	"&"
"250"	"230"	"4"	"42"	"11"	"2"	"5"	""	"316"	"15"	"7"	"10"	"1"	"2"	"0"	"5"	"420"	""	"&"	"420"	"&"
"251"	"231"	"4"	"63"	"157"	"26"	"11"	""	"318"	"8"	"2"	"10"	"1"	"1"	"3"	"12"	"616"	""	"&"	"616"	"&"
"252"	"232"	"1"	"82"	"64"	"9"	"3"	""	"301"	"16"	"4"	"9"	"3"	"1"	"5"	"19"	"517"	""	"&"	"517"	"&"
"253"	"233"	"1"	"100"	"50"	"2"	"1"	""	"488"	"4"	"1"	"2"	"0"	"0"	"1"	"1"	"651"	""	"&"	"651"	"&"
"254"	"234"	"0"	"141"	"1"	"0"	"1"	""	"409"	"2"	"1"	"5"	"0"	"1"	"0"	"0"	"561"	""	"&"	"561"	"&"
"255"	"235"	"1"	"21"	"4"	"0"	"1"	""	"591"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"626"	""	"&"	"626"	"&"
"256"	"236"	"0"	"4"	"0"	"0"	"3"	""	"403"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"411"	""	"&"	"411"	"&"
"257"	"Total"	"2255"	"32933"	"6058"	"858"	"1258"	""	"64122"	"1685"	"712"	"1959"	"1033"	"599"	"919"	"1658"	"116049"	""	"&"	"116049"	"&"
"258"	"Total no. of votes recorded at polling Stations"	""	""	""	""	""	"116049"	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"No. of votes recorded on postal ballot papers"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Grand Total"	""	""	""	""	""	"116049"	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Place ………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Date ………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
