"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"Total.of.valid.Votes"	"No..of.rejected.votes"	"X..21"	"TOTAL"	"X..22"	"No..of.tendered.Votes"	"X..23"	"X..24"
"98"	"85"	"22"	"248"	"17"	"4"	"77"	"9"	"2"	"5"	"8"	"4"	"36"	"5"	"227"	"7"	"24"	"21"	"3"	"5"	"4"	"5"	"80"	"9"	"822"	"0"	""	"822"	""	"0"	""	""
"99"	"86"	"36"	"180"	"162"	"13"	"125"	"4"	"2"	"1"	"6"	"6"	"17"	"9"	"110"	"6"	"12"	"12"	"11"	"12"	"17"	"4"	"193"	"8"	"946"	"0"	""	"946"	""	"0"	""	""
"100"	"87"	"150"	"66"	"90"	"6"	"19"	"4"	"5"	"2"	"2"	"6"	"6"	"6"	"27"	"5"	"9"	"11"	"10"	"6"	"37"	"5"	"93"	"7"	"572"	"0"	""	"572"	""	"0"	""	""
"101"	"88"	"54"	"90"	"29"	"6"	"195"	"12"	"2"	"3"	"3"	"5"	"10"	"8"	"29"	"7"	"13"	"22"	"21"	"8"	"12"	"5"	"154"	"23"	"711"	"0"	""	"711"	""	"0"	""	""
"102"	"89"	"9"	"220"	"67"	"4"	"86"	"2"	"1"	"1"	"0"	"2"	"5"	"2"	"33"	"4"	"2"	"2"	"4"	"5"	"10"	"1"	"7"	"3"	"470"	"0"	""	"470"	""	"0"	""	""
"103"	"90"	"12"	"303"	"171"	"7"	"5"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"1"	"4"	"16"	"7"	"0"	"4"	"3"	"2"	"1"	"0"	"541"	"0"	""	"541"	""	"0"	""	""
"104"	"91"	"7"	"23"	"214"	"2"	"31"	"0"	"2"	"3"	"3"	"4"	"2"	"2"	"13"	"2"	"1"	"6"	"2"	"2"	"17"	"0"	"1"	"2"	"339"	"0"	""	"339"	""	"0"	""	""
"105"	"92"	"15"	"32"	"545"	"13"	"45"	"5"	"10"	"5"	"6"	"11"	"3"	"2"	"3"	"6"	"3"	"11"	"1"	"2"	"41"	"1"	"1"	"3"	"764"	"0"	""	"764"	""	"0"	""	""
"106"	"93"	"1"	"7"	"548"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"568"	"0"	""	"568"	""	"0"	""	""
"107"	"94"	"14"	"32"	"415"	"8"	"7"	"3"	"6"	"2"	"1"	"30"	"0"	"3"	"0"	"1"	"2"	"5"	"3"	"1"	"5"	"0"	"1"	"1"	"540"	"0"	""	"540"	""	"0"	""	""
"108"	"95"	"3"	"38"	"216"	"6"	"74"	"1"	"8"	"2"	"4"	"99"	"3"	"9"	"8"	"4"	"0"	"8"	"1"	"1"	"14"	"2"	"0"	"3"	"504"	"0"	""	"504"	""	"0"	""	""
"109"	"96"	"11"	"51"	"200"	"7"	"99"	"1"	"2"	"1"	"0"	"89"	"3"	"5"	"7"	"2"	"6"	"20"	"0"	"1"	"0"	"0"	"1"	"2"	"508"	"0"	""	"508"	""	"0"	""	""
"110"	"97"	"2"	"22"	"210"	"4"	"117"	"5"	"4"	"2"	"3"	"52"	"5"	"8"	"6"	"9"	"8"	"17"	"7"	"2"	"12"	"3"	"2"	"8"	"508"	"0"	""	"508"	""	"0"	""	""
"111"	"98"	"6"	"87"	"167"	"7"	"69"	"4"	"5"	"5"	"4"	"185"	"4"	"9"	"11"	"6"	"8"	"10"	"1"	"3"	"7"	"1"	"1"	"3"	"603"	"0"	""	"603"	""	"0"	""	""
"112"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"113"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"114"	"99"	"23"	"146"	"267"	"9"	"153"	"12"	"34"	"2"	"6"	"6"	"16"	"8"	"7"	"7"	"8"	"34"	"15"	"9"	"7"	"2"	"10"	"6"	"787"	"0"	""	"787"	""	"0"	""	""
"115"	"100"	"5"	"44"	"479"	"4"	"133"	"4"	"8"	"3"	"1"	"9"	"4"	"0"	"4"	"2"	"3"	"5"	"6"	"11"	"29"	"1"	"2"	"15"	"772"	"0"	""	"772"	""	"0"	""	""
"116"	"101"	"5"	"40"	"247"	"1"	"49"	"2"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"6"	"1"	"7"	"26"	"1"	"1"	"26"	"420"	"0"	""	"420"	""	"0"	""	""
"117"	"102"	"27"	"75"	"391"	"8"	"56"	"5"	"3"	"1"	"1"	"4"	"3"	"3"	"3"	"1"	"1"	"4"	"1"	"1"	"2"	"1"	"1"	"17"	"609"	"0"	""	"609"	""	"0"	""	""
"118"	"103"	"15"	"78"	"210"	"14"	"275"	"6"	"12"	"5"	"2"	"7"	"35"	"21"	"11"	"11"	"5"	"31"	"9"	"2"	"6"	"4"	"3"	"22"	"784"	"0"	""	"784"	""	"0"	""	""
"119"	"104"	"15"	"46"	"333"	"8"	"23"	"1"	"2"	"2"	"1"	"4"	"3"	"5"	"3"	"14"	"3"	"13"	"3"	"2"	"4"	"1"	"1"	"8"	"495"	"0"	""	"495"	""	"0"	""	""
"120"	"105"	"29"	"352"	"210"	"3"	"10"	"0"	"5"	"0"	"3"	"1"	"2"	"2"	"2"	"6"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"632"	"0"	""	"632"	""	"0"	""	""
"121"	"106"	"46"	"297"	"397"	"3"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"2"	"0"	"4"	"3"	"0"	"3"	"2"	"2"	"1"	"1"	"2"	"773"	"0"	""	"773"	""	"0"	""	""
"122"	"107"	"20"	"197"	"40"	"20"	"216"	"9"	"7"	"2"	"4"	"4"	"6"	"37"	"5"	"7"	"15"	"42"	"8"	"29"	"14"	"8"	"36"	"23"	"749"	"0"	""	"749"	""	"0"	""	""
"123"	"108"	"24"	"101"	"62"	"13"	"391"	"11"	"8"	"5"	"7"	"8"	"11"	"4"	"4"	"3"	"9"	"21"	"5"	"6"	"3"	"6"	"16"	"10"	"728"	"0"	""	"728"	""	"0"	""	""
"124"	"109"	"2"	"84"	"54"	"5"	"241"	"4"	"3"	"1"	"2"	"1"	"2"	"4"	"7"	"3"	"4"	"19"	"1"	"9"	"4"	"2"	"13"	"16"	"481"	"0"	""	"481"	""	"0"	""	""
"125"	"110"	"30"	"108"	"34"	"6"	"102"	"0"	"2"	"2"	"2"	"4"	"226"	"6"	"32"	"10"	"26"	"15"	"0"	"1"	"3"	"0"	"1"	"20"	"630"	"0"	""	"630"	""	"0"	""	""
"126"	"111"	"12"	"41"	"20"	"9"	"221"	"13"	"9"	"8"	"5"	"1"	"71"	"4"	"37"	"2"	"4"	"4"	"3"	"3"	"0"	"2"	"30"	"11"	"510"	"0"	""	"510"	""	"0"	""	""
"127"	"112"	"24"	"61"	"85"	"8"	"244"	"7"	"8"	"3"	"3"	"6"	"6"	"130"	"5"	"3"	"5"	"21"	"9"	"14"	"23"	"6"	"25"	"26"	"722"	"0"	""	"722"	""	"0"	""	""
"128"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"129"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"130"	"113"	"560"	"60"	"20"	"1"	"15"	"1"	"5"	"1"	"5"	"4"	"1"	"11"	"4"	"2"	"8"	"9"	"18"	"7"	"2"	"3"	"44"	"6"	"787"	"0"	""	"787"	""	"0"	""	""
"131"	"114"	"81"	"32"	"9"	"1"	"127"	"6"	"1"	"4"	"4"	"3"	"15"	"2"	"31"	"3"	"4"	"12"	"10"	"1"	"2"	"3"	"145"	"15"	"511"	"0"	""	"511"	""	"0"	""	""
"132"	"115"	"11"	"38"	"45"	"5"	"64"	"1"	"6"	"1"	"11"	"13"	"2"	"442"	"5"	"5"	"11"	"28"	"0"	"3"	"2"	"1"	"0"	"8"	"702"	"0"	""	"702"	""	"0"	""	""
"133"	"116"	"28"	"174"	"23"	"3"	"163"	"3"	"0"	"1"	"4"	"2"	"4"	"5"	"1"	"5"	"11"	"18"	"2"	"4"	"3"	"1"	"1"	"17"	"473"	"0"	""	"473"	""	"0"	""	""
"134"	"117"	"24"	"34"	"223"	"5"	"37"	"3"	"18"	"3"	"23"	"20"	"7"	"120"	"13"	"14"	"6"	"13"	"4"	"6"	"5"	"5"	"9"	"9"	"601"	"0"	""	"601"	""	"0"	""	""
"135"	"118"	"206"	"55"	"15"	"2"	"35"	"2"	"0"	"0"	"2"	"3"	"2"	"0"	"2"	"2"	"4"	"18"	"16"	"8"	"1"	"2"	"8"	"91"	"474"	"0"	""	"474"	""	"0"	""	""
"136"	"119"	"62"	"70"	"254"	"10"	"53"	"3"	"6"	"3"	"2"	"3"	"2"	"10"	"7"	"14"	"11"	"17"	"3"	"1"	"2"	"1"	"1"	"3"	"538"	"0"	""	"538"	""	"0"	""	""
"137"	"120"	"21"	"85"	"219"	"10"	"149"	"6"	"5"	"1"	"0"	"2"	"0"	"3"	"2"	"3"	"2"	"3"	"0"	"1"	"0"	"0"	"5"	"2"	"519"	"0"	""	"519"	""	"0"	""	""
"138"	"121"	"42"	"18"	"110"	"6"	"34"	"2"	"5"	"3"	"7"	"3"	"2"	"1"	"4"	"1"	"18"	"6"	"4"	"6"	"3"	"5"	"148"	"14"	"442"	"0"	""	"442"	""	"0"	""	""
"139"	"122"	"31"	"39"	"186"	"7"	"27"	"0"	"1"	"2"	"4"	"1"	"1"	"8"	"4"	"2"	"54"	"2"	"3"	"0"	"0"	"0"	"4"	"4"	"380"	"0"	""	"380"	""	"0"	""	""
"140"	"123"	"121"	"23"	"292"	"10"	"55"	"5"	"16"	"3"	"3"	"2"	"1"	"10"	"4"	"7"	"4"	"3"	"4"	"1"	"4"	"0"	"1"	"16"	"585"	"0"	""	"585"	""	"0"	""	""
"141"	"124"	"168"	"100"	"174"	"3"	"31"	"3"	"11"	"1"	"1"	"3"	"2"	"3"	"6"	"4"	"11"	"15"	"28"	"29"	"10"	"8"	"137"	"24"	"772"	"0"	""	"772"	""	"0"	""	""
"142"	"125"	"29"	"563"	"15"	"0"	"14"	"1"	"1"	"1"	"6"	"2"	"2"	"5"	"0"	"0"	"9"	"1"	"0"	"2"	"25"	"0"	"0"	"16"	"692"	"0"	""	"692"	""	"0"	""	""
"143"	"126"	"55"	"319"	"21"	"4"	"4"	"1"	"0"	"0"	"15"	"7"	"2"	"6"	"1"	"4"	"9"	"26"	"1"	"4"	"57"	"1"	"0"	"3"	"540"	"0"	""	"540"	""	"0"	""	""
"144"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"145"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"146"	"127"	"256"	"74"	"15"	"5"	"68"	"1"	"2"	"0"	"36"	"11"	"3"	"2"	"2"	"3"	"6"	"1"	"4"	"3"	"23"	"4"	"220"	"17"	"756"	"0"	""	"756"	""	"0"	""	""
"147"	"128"	"47"	"97"	"4"	"5"	"156"	"4"	"0"	"6"	"22"	"3"	"4"	"4"	"3"	"2"	"8"	"11"	"10"	"10"	"6"	"6"	"102"	"11"	"521"	"0"	""	"521"	""	"0"	""	""
"148"	"129"	"45"	"211"	"14"	"8"	"240"	"10"	"8"	"2"	"22"	"3"	"18"	"8"	"14"	"14"	"14"	"33"	"0"	"4"	"54"	"2"	"51"	"13"	"788"	"0"	""	"788"	""	"0"	""	""
"149"	"130"	"9"	"190"	"9"	"15"	"85"	"6"	"1"	"3"	"51"	"9"	"6"	"13"	"14"	"16"	"8"	"19"	"9"	"8"	"134"	"14"	"11"	"3"	"633"	"0"	""	"633"	""	"0"	""	""
"150"	"131"	"7"	"83"	"1"	"2"	"48"	"1"	"0"	"2"	"115"	"6"	"2"	"2"	"3"	"6"	"0"	"2"	"0"	"0"	"2"	"2"	"3"	"6"	"293"	"0"	""	"293"	""	"0"	""	""
"151"	"132"	"22"	"139"	"9"	"3"	"20"	"10"	"5"	"9"	"511"	"11"	"8"	"2"	"16"	"6"	"13"	"7"	"2"	"3"	"11"	"4"	"1"	"4"	"816"	"0"	""	"816"	""	"0"	""	""
"152"	"133"	"46"	"147"	"27"	"8"	"11"	"3"	"3"	"2"	"103"	"9"	"9"	"17"	"7"	"7"	"31"	"14"	"7"	"6"	"195"	"12"	"4"	"2"	"670"	"0"	""	"670"	""	"0"	""	""
"153"	"134"	"13"	"44"	"4"	"4"	"36"	"5"	"4"	"9"	"432"	"9"	"8"	"10"	"20"	"4"	"8"	"22"	"3"	"5"	"0"	"3"	"5"	"8"	"656"	"0"	""	"656"	""	"0"	""	""
"154"	"135"	"62"	"261"	"7"	"8"	"22"	"10"	"7"	"10"	"261"	"12"	"8"	"5"	"8"	"5"	"9"	"6"	"4"	"8"	"7"	"0"	"1"	"4"	"725"	"0"	""	"725"	""	"0"	""	""
"155"	"136"	"10"	"75"	"1"	"8"	"33"	"3"	"1"	"6"	"349"	"2"	"0"	"2"	"8"	"2"	"2"	"6"	"2"	"3"	"8"	"4"	"9"	"1"	"535"	"0"	""	"535"	""	"0"	""	""
"156"	"137"	"14"	"143"	"12"	"6"	"40"	"0"	"3"	"0"	"156"	"3"	"0"	"1"	"3"	"0"	"10"	"6"	"21"	"44"	"20"	"8"	"16"	"14"	"520"	"0"	""	"520"	""	"0"	""	""
"157"	"138"	"10"	"137"	"2"	"2"	"18"	"3"	"3"	"12"	"312"	"4"	"14"	"7"	"4"	"9"	"5"	"13"	"3"	"9"	"13"	"3"	"4"	"8"	"595"	"0"	""	"595"	""	"0"	""	""
"158"	"139"	"17"	"45"	"3"	"1"	"4"	"0"	"8"	"12"	"430"	"9"	"15"	"5"	"7"	"0"	"7"	"21"	"5"	"4"	"5"	"0"	"5"	"11"	"614"	"0"	""	"614"	""	"0"	""	""
"159"	"140"	"3"	"34"	"2"	"4"	"1"	"0"	"1"	"6"	"346"	"2"	"6"	"3"	"5"	"6"	"2"	"8"	"1"	"2"	"0"	"0"	"2"	"1"	"435"	"0"	""	"435"	""	"0"	""	""
"160"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"161"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"162"	"141"	"18"	"68"	"3"	"4"	"4"	"1"	"0"	"14"	"248"	"10"	"6"	"4"	"15"	"5"	"2"	"2"	"14"	"1"	"5"	"1"	"8"	"7"	"440"	"0"	""	"440"	""	"0"	""	""
"163"	"142"	"19"	"160"	"18"	"2"	"5"	"3"	"2"	"10"	"306"	"4"	"8"	"3"	"10"	"6"	"9"	"5"	"9"	"4"	"3"	"2"	"4"	"14"	"606"	"0"	""	"606"	""	"0"	""	""
"164"	"143"	"7"	"17"	"2"	"5"	"20"	"5"	"6"	"12"	"359"	"8"	"7"	"9"	"5"	"4"	"7"	"11"	"5"	"1"	"5"	"2"	"4"	"3"	"504"	"0"	""	"504"	""	"0"	""	""
"165"	"144"	"3"	"43"	"3"	"1"	"23"	"0"	"1"	"2"	"63"	"1"	"6"	"2"	"2"	"4"	"3"	"9"	"1"	"2"	"1"	"0"	"9"	"2"	"181"	"0"	""	"181"	""	"0"	""	""
"166"	"145"	"13"	"88"	"23"	"3"	"14"	"2"	"3"	"0"	"190"	"5"	"7"	"24"	"10"	"2"	"5"	"5"	"3"	"5"	"3"	"2"	"9"	"8"	"424"	"0"	""	"424"	""	"0"	""	""
"167"	"146"	"17"	"167"	"13"	"12"	"87"	"5"	"5"	"10"	"204"	"7"	"8"	"6"	"12"	"3"	"10"	"6"	"9"	"0"	"7"	"3"	"57"	"12"	"660"	"0"	""	"660"	""	"0"	""	""
"168"	"147"	"113"	"231"	"20"	"3"	"12"	"2"	"5"	"4"	"20"	"11"	"4"	"6"	"6"	"8"	"23"	"28"	"14"	"12"	"12"	"2"	"62"	"13"	"611"	"0"	""	"611"	""	"0"	""	""
"169"	"148"	"52"	"121"	"24"	"3"	"26"	"0"	"0"	"0"	"64"	"0"	"2"	"0"	"1"	"12"	"2"	"3"	"2"	"5"	"0"	"2"	"62"	"25"	"406"	"0"	""	"406"	""	"0"	""	""
"170"	"149"	"25"	"126"	"44"	"9"	"90"	"3"	"1"	"2"	"137"	"8"	"3"	"3"	"8"	"2"	"4"	"18"	"4"	"2"	"2"	"2"	"39"	"11"	"543"	"0"	""	"543"	""	"0"	""	""
"171"	"150"	"42"	"44"	"83"	"3"	"24"	"2"	"4"	"1"	"3"	"2"	"0"	"1"	"3"	"3"	"51"	"6"	"8"	"1"	"1"	"1"	"2"	"232"	"517"	"0"	""	"517"	""	"0"	""	""
"172"	"151"	"34"	"27"	"43"	"5"	"77"	"7"	"3"	"6"	"25"	"2"	"5"	"2"	"3"	"1"	"50"	"12"	"4"	"2"	"2"	"3"	"3"	"103"	"419"	"0"	""	"419"	""	"0"	""	""
"173"	"152"	"28"	"66"	"45"	"5"	"181"	"5"	"5"	"6"	"13"	"1"	"2"	"4"	"0"	"3"	"69"	"11"	"13"	"3"	"12"	"2"	"6"	"150"	"630"	"0"	""	"630"	""	"0"	""	""
"174"	"153"	"14"	"76"	"19"	"2"	"268"	"7"	"3"	"14"	"43"	"4"	"3"	"7"	"9"	"10"	"20"	"30"	"10"	"2"	"2"	"2"	"36"	"444"	"1025"	"0"	""	"1025"	""	"0"	""	""
"175"	"154"	"111"	"11"	"173"	"2"	"6"	"2"	"3"	"5"	"8"	"5"	"1"	"8"	"1"	"16"	"38"	"6"	"2"	"1"	"0"	"0"	"0"	"48"	"447"	"0"	""	"447"	""	"0"	""	""
"176"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"177"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"178"	"155"	"30"	"188"	"40"	"4"	"111"	"11"	"1"	"2"	"25"	"3"	"5"	"1"	"4"	"5"	"4"	"16"	"1"	"2"	"5"	"0"	"10"	"280"	"748"	"0"	""	"748"	""	"0"	""	""
"179"	"156"	"126"	"146"	"116"	"5"	"42"	"2"	"0"	"1"	"2"	"2"	"1"	"5"	"1"	"3"	"16"	"6"	"6"	"3"	"2"	"3"	"62"	"9"	"559"	"0"	""	"559"	""	"0"	""	""
"180"	"157"	"21"	"178"	"306"	"5"	"27"	"2"	"7"	"1"	"4"	"6"	"0"	"9"	"4"	"2"	"3"	"5"	"15"	"9"	"12"	"4"	"27"	"36"	"683"	"0"	""	"683"	""	"0"	""	""
"181"	"158"	"18"	"125"	"38"	"12"	"78"	"4"	"3"	"2"	"7"	"2"	"3"	"4"	"7"	"3"	"10"	"16"	"20"	"15"	"5"	"8"	"167"	"69"	"616"	"0"	""	"616"	""	"0"	""	""
"182"	"159"	"2"	"17"	"19"	"0"	"33"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"17"	"0"	"9"	"12"	"113"	"0"	""	"113"	""	"0"	""	""
"183"	"160"	"14"	"68"	"19"	"4"	"124"	"5"	"4"	"4"	"3"	"2"	"3"	"3"	"4"	"3"	"4"	"8"	"12"	"5"	"7"	"3"	"86"	"183"	"568"	"0"	""	"568"	""	"0"	""	""
"184"	"161"	"64"	"93"	"53"	"1"	"3"	"2"	"1"	"1"	"4"	"0"	"2"	"3"	"3"	"2"	"35"	"8"	"1"	"1"	"0"	"0"	"9"	"72"	"358"	"0"	""	"358"	""	"0"	""	""
"185"	"162"	"29"	"12"	"98"	"7"	"116"	"3"	"1"	"0"	"1"	"2"	"4"	"3"	"4"	"2"	"14"	"17"	"3"	"0"	"1"	"1"	"98"	"104"	"520"	"0"	""	"520"	""	"0"	""	""
"186"	"163"	"82"	"69"	"139"	"4"	"73"	"6"	"9"	"8"	"2"	"12"	"6"	"13"	"5"	"1"	"19"	"28"	"2"	"3"	"2"	"4"	"152"	"152"	"791"	"0"	""	"791"	""	"0"	""	""
"187"	"164"	"74"	"10"	"11"	"0"	"10"	"1"	"1"	"0"	"14"	"6"	"1"	"8"	"1"	"0"	"1"	"5"	"19"	"4"	"1"	"2"	"11"	"356"	"536"	"0"	""	"536"	""	"0"	""	""
"188"	"165"	"162"	"103"	"25"	"3"	"54"	"2"	"2"	"1"	"5"	"3"	"1"	"4"	"3"	"27"	"6"	"20"	"9"	"14"	"5"	"2"	"43"	"230"	"724"	"0"	""	"724"	""	"0"	""	""
"189"	"166"	"32"	"78"	"21"	"7"	"176"	"11"	"1"	"4"	"0"	"2"	"4"	"5"	"2"	"21"	"2"	"5"	"5"	"3"	"2"	"2"	"9"	"112"	"504"	"0"	""	"504"	""	"0"	""	""
"190"	"167"	"7"	"24"	"4"	"1"	"24"	"2"	"0"	"2"	"3"	"1"	"2"	"3"	"2"	"2"	"6"	"11"	"5"	"5"	"6"	"4"	"309"	"22"	"445"	"0"	""	"445"	""	"0"	""	""
"191"	"168"	"390"	"78"	"27"	"3"	"3"	"2"	"0"	"0"	"5"	"11"	"4"	"37"	"1"	"3"	"10"	"4"	"6"	"0"	"3"	"1"	"3"	"10"	"601"	"0"	""	"601"	""	"0"	""	""
"192"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"193"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"194"	"169"	"137"	"51"	"23"	"8"	"101"	"7"	"2"	"2"	"8"	"3"	"6"	"5"	"5"	"4"	"11"	"9"	"12"	"4"	"3"	"5"	"169"	"30"	"605"	"0"	""	"605"	""	"0"	""	""
"195"	"170"	"73"	"67"	"168"	"4"	"18"	"3"	"0"	"2"	"24"	"0"	"1"	"11"	"1"	"1"	"3"	"4"	"3"	"2"	"5"	"0"	"1"	"152"	"543"	"0"	""	"543"	""	"0"	""	""
"196"	"171"	"78"	"55"	"40"	"4"	"12"	"2"	"1"	"3"	"170"	"16"	"6"	"8"	"8"	"2"	"1"	"3"	"6"	"5"	"4"	"4"	"6"	"85"	"519"	"0"	""	"519"	""	"0"	""	""
"197"	"172"	"84"	"48"	"20"	"5"	"3"	"0"	"1"	"1"	"73"	"1"	"6"	"12"	"7"	"0"	"5"	"5"	"5"	"1"	"5"	"5"	"33"	"75"	"395"	"0"	""	"395"	""	"0"	""	""
"198"	"173"	"44"	"79"	"20"	"1"	"24"	"2"	"1"	"0"	"21"	"5"	"1"	"30"	"6"	"5"	"33"	"9"	"6"	"10"	"5"	"3"	"8"	"134"	"447"	"0"	""	"447"	""	"0"	""	""
