"X.Statutory.Rules.and.Order.........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"295"	"167"	"147"	"75"	"145"	"17"	"17"	"401"	""	"401"	""
"296"	"168"	"321"	"98"	"49"	"36"	"28"	"532"	""	"532"	""
"297"	"Current Round Total"	"1701"	"1757"	"2991"	"242"	"369"	"7060"	"0"	"7060"	"0"
"298"	"Previous Round Total"	"46665"	"23776"	"14930"	"2872"	"2854"	"91097"	"0"	"91097"	"0"
"299"	"TOTAL"	"48366"	"25533"	"17921"	"3114"	"3223"	"98157"	"0"	"98157"	"0"
"300"	"(Statutory Rules and Order)                                                        ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""
"301"	"FORM 20"	""	""	""	""	""	""	""	""	""
"302"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"303"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"304"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"305"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"306"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"307"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"308"	"169"	"290"	"50"	"12"	"10"	"13"	"375"	""	"375"	""
"309"	"170"	"442"	"152"	"44"	"29"	"12"	"679"	""	"679"	""
"310"	"171"	"346"	"70"	"68"	"14"	"14"	"512"	""	"512"	""
"311"	"172"	"219"	"83"	"79"	"17"	"13"	"411"	""	"411"	""
"312"	"173"	"241"	"55"	"22"	"10"	"7"	"335"	""	"335"	""
"313"	"174"	"255"	"75"	"191"	"17"	"31"	"569"	""	"569"	""
"314"	"175"	"389"	"39"	"24"	"19"	"13"	"484"	""	"484"	""
"315"	"176"	"156"	"118"	"203"	"24"	"39"	"540"	""	"540"	""
"316"	"177"	"319"	"31"	"55"	"14"	"13"	"432"	""	"432"	""
"317"	"178"	"160"	"93"	"283"	"24"	"36"	"596"	""	"596"	""
"318"	"179"	"190"	"142"	"235"	"20"	"33"	"620"	""	"620"	""
"319"	"180"	"100"	"183"	"325"	"21"	"45"	"674"	""	"674"	""
"320"	"181"	"113"	"75"	"330"	"19"	"42"	"579"	""	"579"	""
"321"	"182"	"19"	"29"	"421"	"13"	"23"	"505"	""	"505"	""
"322"	"Current Round Total"	"3239"	"1195"	"2292"	"251"	"334"	"7311"	"0"	"7311"	"0"
"323"	"Previous Round Total"	"48366"	"25533"	"17921"	"3114"	"3223"	"98157"	"0"	"98157"	"0"
"324"	"TOTAL"	"51605"	"26728"	"20213"	"3365"	"3557"	"105468"	"0"	"105468"	"0"
"325"	"(Statutory Rules and Order)                                                        ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""
"326"	"FORM 20"	""	""	""	""	""	""	""	""	""
"327"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"328"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"329"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"330"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"331"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"332"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"333"	"183"	"47"	"105"	"299"	"22"	"39"	"512"	""	"512"	""
"334"	"184"	"52"	"61"	"353"	"25"	"66"	"557"	""	"557"	""
"335"	"185"	"14"	"58"	"287"	"11"	"21"	"391"	""	"391"	""
"336"	"186"	"17"	"84"	"241"	"12"	"15"	"369"	""	"369"	""
"337"	"187"	"15"	"144"	"501"	"20"	"18"	"698"	""	"698"	""
"338"	"188"	"54"	"40"	"465"	"17"	"33"	"609"	""	"609"	""
"339"	"Current Round Total"	"199"	"492"	"2146"	"107"	"192"	"3136"	"0"	"3136"	"0"
"340"	"Previous Round Total"	"51605"	"26728"	"20213"	"3365"	"3557"	"105468"	"0"	"105468"	"0"
"341"	"TOTAL"	"51804"	"27220"	"22359"	"3472"	"3749"	"108604"	"0"	"108604"	"0"
"342"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"343"	"132-JOKIHAT"	""	""	""	""	""	""	""	""	""
