"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"149"	"94"	"57"	"7"	"276"	"17"	"4"	"26"	"4"	"2"	"3"	"4"	"1"	"70"	"3"	"5"	"479"	"0"	"479"	"0"	""
"150"	"95"	"401"	"4"	"56"	"1"	"2"	"4"	"1"	"1"	"2"	"0"	"7"	"55"	"1"	"2"	"537"	"0"	"537"	"0"	""
"151"	"96"	"2"	"0"	"10"	"0"	"3"	"3"	"3"	"0"	"0"	"1"	"2"	"353"	"2"	"0"	"379"	"0"	"379"	"0"	""
"152"	"97"	"57"	"5"	"194"	"4"	"6"	"4"	"5"	"4"	"4"	"6"	"116"	"156"	"6"	"18"	"585"	"0"	"585"	"0"	""
"153"	";ksx"	"1102"	"59"	"2746"	"233"	"74"	"567"	"57"	"30"	"45"	"41"	"207"	"1812"	"56"	"113"	"7142"	"0"	"7142"	"0"	""
"154"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"161"	"98"	"11"	"5"	"253"	"19"	"13"	"12"	"40"	"4"	"3"	"2"	"52"	"105"	"3"	"4"	"526"	"0"	"526"	"0"	""
"162"	"99"	"99"	"5"	"51"	"11"	"10"	"126"	"7"	"3"	"1"	"2"	"5"	"180"	"1"	"7"	"508"	"0"	"508"	"0"	""
"163"	"100"	"380"	"11"	"101"	"9"	"2"	"10"	"2"	"5"	"2"	"7"	"11"	"103"	"4"	"9"	"656"	"0"	"656"	"0"	""
"164"	"101"	"70"	"4"	"383"	"9"	"8"	"22"	"4"	"1"	"2"	"1"	"1"	"176"	"3"	"5"	"689"	"0"	"689"	"0"	""
"165"	"102"	"122"	"5"	"199"	"22"	"5"	"32"	"9"	"6"	"7"	"5"	"8"	"190"	"6"	"9"	"625"	"0"	"625"	"0"	""
"166"	"103"	"24"	"1"	"180"	"15"	"5"	"16"	"7"	"7"	"2"	"2"	"8"	"554"	"9"	"17"	"847"	"0"	"847"	"0"	""
"167"	"104"	"131"	"10"	"132"	"15"	"10"	"60"	"10"	"5"	"4"	"9"	"7"	"232"	"6"	"12"	"643"	"0"	"643"	"0"	""
"168"	"105"	"60"	"2"	"100"	"17"	"1"	"8"	"4"	"0"	"3"	"3"	"10"	"192"	"6"	"23"	"429"	"0"	"429"	"0"	""
"169"	"106"	"53"	"2"	"115"	"42"	"1"	"26"	"3"	"2"	"3"	"4"	"7"	"244"	"9"	"33"	"544"	"0"	"544"	"0"	""
"170"	"107"	"25"	"3"	"118"	"18"	"5"	"26"	"4"	"3"	"3"	"2"	"7"	"256"	"7"	"25"	"502"	"0"	"502"	"0"	""
"171"	"108"	"1"	"2"	"94"	"27"	"3"	"3"	"0"	"0"	"4"	"1"	"0"	"202"	"3"	"8"	"348"	"0"	"348"	"0"	""
"172"	"109"	"45"	"2"	"137"	"19"	"2"	"26"	"2"	"5"	"3"	"7"	"8"	"301"	"10"	"25"	"592"	"0"	"592"	"0"	""
"173"	"110"	"5"	"1"	"36"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"200"	"2"	"4"	"252"	"0"	"252"	"0"	""
"174"	"111"	"50"	"3"	"133"	"34"	"1"	"107"	"6"	"1"	"5"	"2"	"2"	"127"	"6"	"9"	"486"	"0"	"486"	"0"	""
"175"	";ksx"	"1076"	"56"	"2032"	"259"	"66"	"474"	"98"	"43"	"42"	"47"	"127"	"3062"	"75"	"190"	"7647"	"0"	"7647"	"0"	""
"176"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"183"	"112"	"64"	"5"	"230"	"38"	"9"	"32"	"7"	"6"	"0"	"5"	"4"	"184"	"4"	"6"	"594"	"0"	"594"	"0"	""
"184"	"113"	"84"	"5"	"126"	"20"	"1"	"42"	"3"	"0"	"2"	"1"	"1"	"29"	"1"	"7"	"322"	"0"	"322"	"0"	""
"185"	"114"	"38"	"6"	"378"	"40"	"6"	"25"	"6"	"4"	"4"	"3"	"2"	"115"	"3"	"6"	"636"	"0"	"636"	"0"	""
"186"	"115"	"18"	"5"	"244"	"39"	"10"	"29"	"6"	"8"	"7"	"7"	"7"	"207"	"10"	"23"	"620"	"0"	"620"	"0"	""
"187"	"116"	"146"	"5"	"171"	"109"	"8"	"38"	"5"	"3"	"6"	"9"	"6"	"201"	"4"	"18"	"729"	"0"	"729"	"0"	""
"188"	"117"	"2"	"4"	"66"	"86"	"4"	"8"	"3"	"0"	"1"	"4"	"3"	"181"	"4"	"15"	"381"	"0"	"381"	"0"	""
"189"	"118"	"98"	"9"	"298"	"35"	"4"	"34"	"3"	"3"	"3"	"8"	"5"	"85"	"7"	"12"	"604"	"0"	"604"	"0"	""
"190"	"119"	"10"	"1"	"201"	"46"	"5"	"4"	"3"	"2"	"1"	"0"	"1"	"44"	"0"	"2"	"320"	"0"	"320"	"0"	""
"191"	"120"	"40"	"1"	"119"	"73"	"9"	"11"	"5"	"5"	"5"	"7"	"9"	"74"	"14"	"44"	"416"	"0"	"416"	"0"	""
"192"	"121"	"57"	"2"	"312"	"18"	"5"	"63"	"1"	"5"	"12"	"7"	"15"	"66"	"1"	"12"	"576"	"0"	"576"	"0"	""
"193"	"122"	"130"	"5"	"390"	"14"	"4"	"11"	"2"	"3"	"4"	"2"	"1"	"19"	"1"	"2"	"588"	"0"	"588"	"0"	""
"194"	"123"	"28"	"3"	"288"	"37"	"7"	"3"	"1"	"2"	"6"	"2"	"1"	"174"	"6"	"12"	"570"	"0"	"570"	"0"	""
"195"	"124"	"0"	"1"	"282"	"139"	"2"	"63"	"1"	"3"	"0"	"0"	"0"	"279"	"0"	"2"	"772"	"0"	"772"	"0"	""
"196"	"125"	"33"	"1"	"339"	"35"	"4"	"8"	"3"	"0"	"5"	"4"	"7"	"47"	"0"	"9"	"495"	"0"	"495"	"0"	""
"197"	";ksx"	"748"	"53"	"3444"	"729"	"78"	"371"	"49"	"44"	"56"	"59"	"62"	"1705"	"55"	"170"	"7623"	"0"	"7623"	"0"	""
"198"	"9                                                                                                                  fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"206"	"126"	"3"	"4"	"172"	"21"	"5"	"8"	"3"	"5"	"6"	"7"	"4"	"316"	"12"	"27"	"593"	"0"	"593"	"0"	""
"207"	"127"	"4"	"7"	"519"	"24"	"5"	"41"	"1"	"2"	"4"	"3"	"6"	"104"	"3"	"5"	"728"	"0"	"728"	"0"	""
"208"	"128"	"10"	"5"	"444"	"27"	"10"	"79"	"9"	"4"	"13"	"5"	"10"	"149"	"6"	"17"	"788"	"0"	"788"	"0"	""
"209"	"129"	"4"	"2"	"577"	"31"	"1"	"19"	"5"	"4"	"8"	"2"	"4"	"148"	"1"	"1"	"807"	"0"	"807"	"0"	""
"210"	"130"	"0"	"1"	"344"	"4"	"14"	"4"	"3"	"1"	"2"	"3"	"2"	"85"	"1"	"2"	"466"	"0"	"466"	"0"	""
"211"	"131"	"6"	"3"	"159"	"28"	"2"	"7"	"2"	"1"	"0"	"1"	"20"	"18"	"1"	"2"	"250"	"0"	"250"	"0"	""
"212"	"132"	"3"	"5"	"233"	"23"	"2"	"16"	"2"	"4"	"5"	"4"	"1"	"203"	"4"	"8"	"513"	"0"	"513"	"0"	""
"213"	"133"	"3"	"4"	"112"	"10"	"1"	"3"	"6"	"2"	"1"	"1"	"5"	"186"	"5"	"21"	"360"	"0"	"360"	"0"	""
"214"	"134"	"35"	"3"	"139"	"7"	"4"	"16"	"2"	"1"	"2"	"1"	"2"	"180"	"2"	"4"	"398"	"0"	"398"	"0"	""
"215"	"135"	"8"	"4"	"228"	"10"	"7"	"12"	"6"	"2"	"12"	"2"	"3"	"165"	"4"	"19"	"482"	"0"	"482"	"0"	""
"216"	"136"	"8"	"2"	"262"	"19"	"7"	"33"	"9"	"7"	"7"	"6"	"5"	"142"	"4"	"5"	"516"	"0"	"516"	"0"	""
"217"	"137"	"47"	"2"	"172"	"57"	"4"	"23"	"4"	"13"	"6"	"7"	"5"	"58"	"6"	"11"	"415"	"0"	"415"	"0"	""
"218"	"138"	"20"	"1"	"39"	"18"	"4"	"1"	"6"	"1"	"2"	"4"	"4"	"459"	"12"	"18"	"589"	"0"	"589"	"0"	""
"219"	"139"	"140"	"2"	"21"	"3"	"3"	"0"	"3"	"0"	"1"	"3"	"9"	"297"	"3"	"10"	"495"	"0"	"495"	"0"	""
"220"	";ksx"	"291"	"45"	"3421"	"282"	"69"	"262"	"61"	"47"	"69"	"49"	"80"	"2510"	"64"	"150"	"7400"	"0"	"7400"	"0"	""
"221"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"228"	"140"	"57"	"2"	"243"	"12"	"7"	"128"	"3"	"3"	"6"	"4"	"5"	"126"	"0"	"4"	"600"	"0"	"600"	"0"	""
"229"	"141"	"98"	"3"	"73"	"6"	"0"	"7"	"2"	"1"	"3"	"2"	"4"	"286"	"8"	"15"	"508"	"0"	"508"	"0"	""
"230"	"142"	"59"	"1"	"15"	"11"	"4"	"31"	"4"	"0"	"1"	"0"	"1"	"280"	"1"	"0"	"408"	"0"	"408"	"0"	""
"231"	"143"	"25"	"4"	"330"	"33"	"2"	"71"	"1"	"2"	"2"	"0"	"0"	"25"	"1"	"3"	"499"	"0"	"499"	"0"	""
"232"	"144"	"314"	"4"	"95"	"15"	"1"	"4"	"2"	"1"	"3"	"2"	"3"	"6"	"0"	"3"	"453"	"0"	"453"	"0"	""
"233"	"145"	"7"	"1"	"60"	"11"	"5"	"14"	"2"	"2"	"2"	"4"	"1"	"343"	"3"	"3"	"458"	"0"	"458"	"0"	""
"234"	"146"	"40"	"0"	"23"	"33"	"2"	"36"	"3"	"0"	"0"	"0"	"1"	"435"	"3"	"1"	"577"	"0"	"577"	"0"	""
"235"	"147"	"28"	"3"	"60"	"12"	"1"	"4"	"3"	"1"	"0"	"1"	"2"	"461"	"2"	"1"	"579"	"0"	"579"	"0"	""
"236"	"148"	"18"	"0"	"27"	"12"	"0"	"3"	"2"	"1"	"0"	"1"	"0"	"516"	"1"	"0"	"581"	"0"	"581"	"0"	""
"237"	"149"	"48"	"2"	"184"	"9"	"2"	"31"	"1"	"0"	"0"	"2"	"5"	"193"	"2"	"7"	"486"	"0"	"486"	"0"	""
"238"	"150"	"66"	"6"	"286"	"16"	"3"	"45"	"1"	"2"	"8"	"4"	"0"	"58"	"4"	"10"	"509"	"0"	"509"	"0"	""
"239"	"151"	"4"	"1"	"3"	"3"	"2"	"0"	"4"	"0"	"0"	"0"	"2"	"252"	"0"	"1"	"272"	"0"	"272"	"0"	""
"240"	"152"	"38"	"1"	"18"	"17"	"6"	"12"	"4"	"2"	"1"	"0"	"6"	"247"	"5"	"10"	"367"	"0"	"367"	"0"	""
"241"	"153"	"57"	"3"	"79"	"22"	"4"	"93"	"6"	"2"	"7"	"3"	"4"	"110"	"6"	"11"	"407"	"0"	"407"	"0"	""
"242"	";ksx"	"859"	"31"	"1496"	"212"	"39"	"479"	"38"	"17"	"33"	"23"	"34"	"3338"	"36"	"69"	"6704"	"0"	"6704"	"0"	""
"243"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"250"	"154"	"78"	"1"	"27"	"5"	"6"	"23"	"1"	"1"	"3"	"3"	"7"	"253"	"8"	"22"	"438"	"0"	"438"	"0"	""
"251"	"155"	"78"	"6"	"82"	"53"	"8"	"188"	"6"	"5"	"2"	"6"	"0"	"1"	"4"	"19"	"458"	"0"	"458"	"0"	""
"252"	"156"	"78"	"5"	"68"	"29"	"2"	"182"	"6"	"2"	"3"	"3"	"2"	"26"	"2"	"11"	"419"	"0"	"419"	"0"	""
"253"	"157"	"28"	"5"	"205"	"20"	"8"	"42"	"3"	"3"	"1"	"10"	"2"	"84"	"3"	"3"	"417"	"0"	"417"	"0"	""
"254"	"158"	"87"	"4"	"33"	"11"	"4"	"7"	"7"	"3"	"2"	"6"	"4"	"203"	"2"	"11"	"384"	"0"	"384"	"0"	""
"255"	"159"	"28"	"3"	"36"	"41"	"4"	"112"	"3"	"5"	"1"	"4"	"10"	"252"	"3"	"14"	"516"	"0"	"516"	"0"	""
"256"	"160"	"49"	"3"	"235"	"7"	"1"	"221"	"1"	"1"	"1"	"0"	"3"	"68"	"2"	"4"	"596"	"0"	"596"	"0"	""
"257"	"161"	"22"	"5"	"406"	"14"	"4"	"1"	"0"	"0"	"5"	"3"	"3"	"5"	"0"	"3"	"471"	"0"	"471"	"0"	""
"258"	"162"	"193"	"6"	"200"	"14"	"10"	"201"	"10"	"1"	"7"	"2"	"4"	"66"	"6"	"19"	"739"	"0"	"739"	"0"	""
"259"	"163"	"67"	"8"	"159"	"40"	"13"	"127"	"6"	"9"	"5"	"3"	"8"	"208"	"18"	"39"	"710"	"0"	"710"	"0"	""
"260"	"164"	"407"	"12"	"105"	"23"	"8"	"32"	"6"	"0"	"1"	"1"	"2"	"134"	"2"	"13"	"746"	"0"	"746"	"0"	""
"261"	"165"	"180"	"3"	"162"	"18"	"9"	"97"	"6"	"6"	"3"	"4"	"4"	"113"	"5"	"6"	"616"	"0"	"616"	"0"	""
"262"	"166"	"3"	"4"	"372"	"13"	"7"	"172"	"4"	"3"	"5"	"8"	"5"	"148"	"4"	"11"	"759"	"0"	"759"	"0"	""
"263"	"167"	"4"	"1"	"64"	"37"	"3"	"217"	"1"	"0"	"2"	"1"	"1"	"266"	"3"	"3"	"603"	"0"	"603"	"0"	""
"264"	";ksx"	"1302"	"66"	"2154"	"325"	"87"	"1622"	"60"	"39"	"41"	"54"	"55"	"1827"	"62"	"178"	"7872"	"0"	"7872"	"0"	""
"265"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"272"	"168"	","	"10"	"119"	"22"	"4"	"265"	"4"	"1"	"7"	"7"	"3"	"68"	"2"	"2"	"514"	"0"	"514"	"0"	""
"273"	"169"	"73"	"7"	"121"	"25"	"8"	"95"	"4"	"2"	"4"	"7"	"4"	"64"	"4"	"7"	"425"	"0"	"425"	"0"	""
"274"	"170"	"5"	"1"	"70"	"61"	"3"	"166"	"6"	"1"	"0"	"2"	"0"	"31"	"4"	"4"	"354"	"0"	"354"	"0"	""
"275"	"171"	"18"	"5"	"58"	"132"	"20"	"155"	"6"	"8"	"6"	"5"	"5"	"54"	"5"	"8"	"485"	"0"	"485"	"0"	""
"276"	"172"	"141"	"1"	"35"	"107"	"11"	"132"	"5"	"5"	"5"	"4"	"3"	"8"	"4"	"10"	"471"	"0"	"471"	"0"	""
"277"	"173"	"7"	"4"	"273"	"91"	"8"	"115"	"3"	"1"	"1"	"2"	"1"	"7"	"0"	"4"	"517"	"0"	"517"	"0"	""
"278"	"174"	"26"	"1"	"185"	"14"	"9"	"172"	"6"	"1"	"3"	"2"	"5"	"194"	"3"	"10"	"631"	"0"	"631"	"0"	""
"279"	"175"	"21"	"9"	"139"	"27"	"5"	"268"	"4"	"1"	"5"	"2"	"1"	"193"	"0"	"3"	"678"	"0"	"678"	"0"	""
"280"	"176"	"13"	"1"	"193"	"19"	"7"	"83"	"3"	"0"	"1"	"1"	"4"	"85"	"2"	"6"	"418"	"0"	"418"	"0"	""
"281"	"177"	"20"	"8"	"45"	"21"	"15"	"48"	"14"	"5"	"5"	"1"	"7"	"217"	"3"	"5"	"414"	"0"	"414"	"0"	""
"282"	"178"	"0"	"1"	"191"	"18"	"7"	"45"	"2"	"1"	"6"	"8"	"1"	"155"	"2"	"11"	"448"	"0"	"448"	"0"	""
"283"	"179"	"226"	"0"	"51"	"19"	"3"	"114"	"7"	"0"	"3"	"3"	"0"	"34"	"3"	"11"	"474"	"0"	"474"	"0"	""
"284"	"180"	"32"	"4"	"324"	"27"	"5"	"76"	"2"	"1"	"6"	"2"	"3"	"71"	"5"	"18"	"576"	"0"	"576"	"0"	""
"285"	"181"	"77"	"4"	"177"	"14"	"2"	"41"	"7"	"1"	"3"	"7"	"4"	"185"	"4"	"9"	"535"	"0"	"535"	"0"	""
"286"	";ksx"	"659"	"56"	"1981"	"597"	"107"	"1775"	"73"	"28"	"55"	"53"	"41"	"1366"	"41"	"108"	"6940"	"0"	"6940"	"0"	""
"287"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"294"	"182"	"3"	"3"	"164"	"11"	"1"	"13"	"2"	"1"	"2"	"3"	"3"	"138"	"2"	"5"	"351"	"0"	"351"	"0"	""
"295"	"183"	"18"	"0"	"62"	"11"	"1"	"35"	"5"	"6"	"3"	"2"	"4"	"97"	"0"	"5"	"249"	"0"	"249"	"0"	""
"296"	"184"	"11"	"1"	"251"	"114"	"6"	"151"	"6"	"5"	"6"	"6"	"0"	"53"	"4"	"2"	"616"	"0"	"616"	"0"	""
"297"	"185"	"92"	"1"	"259"	"103"	"5"	"32"	"1"	"4"	"10"	"9"	"3"	"107"	"5"	"17"	"648"	"0"	"648"	"0"	""
"298"	"186"	"3"	"0"	"129"	"117"	"10"	"16"	"2"	"1"	"3"	"2"	"2"	"167"	"5"	"10"	"467"	"0"	"467"	"0"	""
