"Serial.No.of.Polling.Station"	"No..of.Valid.Votes.cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.votes"	"No..of.rejected.votes"	"Total"	"No.of.total.voter"	"X..16"
"137"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"138"	"132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"139"	"135"	"74"	"338"	"1"	"0"	"75"	"1"	"3"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"3"	"2"	"0"	"502"	"0"	"502"	""	""
"140"	"136"	"28"	"340"	"2"	"1"	"26"	"0"	"5"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"0"	"5"	"415"	"0"	"415"	""	""
"141"	"137"	"8"	"230"	"14"	"0"	"83"	"2"	"12"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"356"	"0"	"356"	""	""
"142"	"138"	"402"	"69"	"2"	"2"	"6"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"1"	"0"	"496"	"0"	"496"	""	""
"143"	"139"	"45"	"32"	"1"	"1"	"220"	"0"	"43"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"346"	"0"	"346"	""	""
"144"	"140"	"208"	"12"	"0"	"0"	"28"	"0"	"26"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"276"	"0"	"276"	""	""
"145"	"Round- 10"	"-12346"	"-18573"	"-1426"	"-550"	"-6712"	"-306"	"-3272"	"-308"	"-208"	"-168"	"-177"	"-345"	"-165"	"-203"	"-493"	"-722"	"-279"	"-46253"	"0"	"-46253"	""	""
"146"	"141"	"34"	"203"	"16"	"8"	"28"	"6"	"86"	"9"	"3"	"1"	"2"	"6"	"1"	"2"	"7"	"12"	"4"	"428"	"0"	"428"	""	""
"147"	"143"	"62"	"18"	"21"	"6"	"148"	"8"	"12"	"5"	"1"	"3"	"1"	"6"	"2"	"3"	"2"	"8"	"8"	"314"	"0"	"314"	""	""
"148"	"144"	"404"	"14"	"0"	"0"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"438"	"0"	"438"	""	""
"149"	"145"	"377"	"5"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"385"	"0"	"385"	""	""
"150"	"146"	"508"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"510"	"0"	"510"	""	""
"151"	"148"	"5"	"48"	"3"	"0"	"214"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"299"	"0"	"299"	""	""
"152"	"149"	"33"	"228"	"1"	"5"	"73"	"4"	"106"	"3"	"0"	"3"	"4"	"3"	"0"	"1"	"5"	"4"	"0"	"473"	"0"	"473"	""	""
"153"	"150"	"438"	"4"	"2"	"0"	"30"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"479"	"0"	"479"	""	""
"154"	"151"	"278"	"25"	"0"	"0"	"2"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"312"	"0"	"312"	""	""
"155"	"152"	"26"	"140"	"4"	"3"	"53"	"2"	"7"	"4"	"2"	"0"	"5"	"0"	"0"	"0"	"5"	"7"	"1"	"259"	"0"	"259"	""	""
"156"	"153"	"46"	"13"	"6"	"2"	"30"	"3"	"36"	"5"	"2"	"3"	"2"	"2"	"1"	"2"	"0"	"8"	"4"	"165"	"0"	"165"	""	""
"157"	"154"	"1"	"133"	"1"	"1"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"198"	"0"	"198"	""	""
"158"	"Round- 11"	"-14558"	"-19406"	"-1480"	"-575"	"-7366"	"-351"	"-3532"	"-335"	"-218"	"-178"	"-191"	"-363"	"-172"	"-212"	"-515"	"-764"	"-297"	"-50513"	"0"	"-50513"	""	""
"159"	"155"	"0"	"183"	"0"	"0"	"22"	"1"	"87"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"0"	"294"	""	""
"160"	"156"	"166"	"162"	"1"	"1"	"51"	"1"	"35"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"4"	"4"	"0"	"428"	"0"	"428"	""	""
"161"	"157"	"101"	"94"	"0"	"6"	"8"	"0"	"16"	"5"	"1"	"2"	"1"	"2"	"4"	"1"	"7"	"16"	"1"	"265"	"0"	"265"	""	""
"162"	"158"	"141"	"29"	"7"	"1"	"15"	"1"	"38"	"2"	"0"	"1"	"2"	"1"	"0"	"5"	"3"	"6"	"5"	"257"	"0"	"257"	""	""
"163"	"159"	"118"	"47"	"0"	"2"	"58"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"228"	"0"	"228"	""	""
"164"	"160"	"33"	"102"	"6"	"1"	"29"	"0"	"4"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"6"	"3"	"0"	"187"	"0"	"187"	""	""
"165"	"161"	"33"	"124"	"13"	"11"	"69"	"9"	"29"	"4"	"2"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"6"	"309"	"0"	"309"	""	""
"166"	"163"	"486"	"10"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"498"	"0"	"498"	""	""
"167"	"164"	"4"	"346"	"7"	"5"	"35"	"1"	"0"	"3"	"1"	"3"	"5"	"0"	"2"	"1"	"4"	"8"	"2"	"427"	"0"	"427"	""	""
"168"	"165"	"211"	"27"	"4"	"3"	"112"	"6"	"1"	"2"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"372"	"0"	"372"	""	""
"169"	"166"	"275"	"9"	"1"	"2"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"301"	"0"	"301"	""	""
"170"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"171"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"172"	"168"	"412"	"8"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"431"	"0"	"431"	""	""
"173"	"Round- 12"	"-16538"	"-20547"	"-1520"	"-607"	"-7780"	"-370"	"-3743"	"-353"	"-225"	"-189"	"-202"	"-372"	"-180"	"-219"	"-542"	"-806"	"-317"	"-54510"	"0"	"-54510"	""	""
"174"	"171"	"571"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"571"	"0"	"571"	""	""
"175"	"177"	"99"	"25"	"2"	"0"	"93"	"7"	"20"	"2"	"1"	"0"	"1"	"3"	"1"	"0"	"2"	"4"	"3"	"263"	"0"	"263"	""	""
"176"	"178"	"362"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	"0"	"365"	""	""
"177"	"179"	"194"	"161"	"2"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"8"	"3"	"1"	"376"	"0"	"376"	""	""
"178"	"182"	"78"	"57"	"0"	"1"	"33"	"1"	"37"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"214"	"0"	"214"	""	""
"179"	"Round- 13"	"-17842"	"-20790"	"-1524"	"-609"	"-7913"	"-378"	"-3800"	"-355"	"-229"	"-189"	"-203"	"-377"	"-182"	"-220"	"-553"	"-814"	"-321"	"-56299"	"0"	"-56299"	""	""
"180"	"183"	"137"	"63"	"14"	"2"	"66"	"2"	"21"	"3"	"0"	"2"	"3"	"3"	"0"	"1"	"4"	"8"	"0"	"329"	"0"	"329"	""	""
"181"	"184"	"201"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"211"	"0"	"211"	""	""
"182"	"186"	"4"	"126"	"2"	"1"	"63"	"6"	"69"	"4"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"280"	"0"	"280"	""	""
"183"	"187"	"270"	"0"	"2"	"0"	"22"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"300"	"0"	"300"	""	""
"184"	"188"	"6"	"81"	"9"	"4"	"273"	"1"	"7"	"5"	"0"	"1"	"5"	"15"	"1"	"4"	"3"	"6"	"0"	"421"	"0"	"421"	""	""
"185"	"189"	"30"	"62"	"0"	"2"	"278"	"6"	"1"	"3"	"0"	"1"	"1"	"7"	"1"	"1"	"2"	"1"	"0"	"396"	"0"	"396"	""	""
"186"	"190"	"52"	"134"	"2"	"0"	"58"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"1"	"5"	"2"	"264"	"0"	"264"	""	""
"187"	"191"	"342"	"43"	"8"	"5"	"66"	"3"	"63"	"4"	"3"	"1"	"2"	"2"	"0"	"2"	"0"	"3"	"5"	"552"	"0"	"552"	""	""
"188"	"192"	"34"	"311"	"6"	"1"	"29"	"1"	"16"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"5"	"3"	"1"	"410"	"0"	"410"	""	""
"189"	"193"	"99"	"105"	"6"	"7"	"21"	"1"	"45"	"2"	"2"	"0"	"0"	"1"	"1"	"2"	"9"	"2"	"1"	"304"	"0"	"304"	""	""
"190"	"194"	"23"	"589"	"0"	"0"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"635"	"0"	"635"	""	""
"191"	"195"	"58"	"318"	"4"	"5"	"121"	"0"	"1"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"5"	"3"	"1"	"521"	"0"	"521"	""	""
"192"	"196"	"3"	"338"	"6"	"4"	"41"	"0"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"401"	"0"	"401"	""	""
"193"	"Round- 14"	"-19101"	"-22961"	"-1584"	"-640"	"-8973"	"-401"	"-4028"	"-379"	"-235"	"-198"	"-218"	"-416"	"-186"	"-235"	"-584"	"-850"	"-334"	"-61323"	"0"	"-61323"	""	""
"194"	"197"	"38"	"432"	"17"	"1"	"34"	"3"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"5"	"1"	"541"	"0"	"541"	""	""
"195"	"198"	"99"	"421"	"15"	"8"	"43"	"4"	"16"	"0"	"2"	"2"	"1"	"2"	"2"	"3"	"9"	"12"	"4"	"643"	"0"	"643"	""	""
"196"	"199"	"27"	"527"	"10"	"10"	"30"	"0"	"2"	"0"	"0"	"3"	"1"	"3"	"1"	"2"	"11"	"16"	"4"	"647"	"0"	"647"	""	""
"197"	"200"	"28"	"239"	"5"	"6"	"280"	"3"	"2"	"2"	"2"	"0"	"1"	"5"	"1"	"2"	"5"	"3"	"0"	"584"	"0"	"584"	""	""
"198"	"201"	"58"	"312"	"21"	"13"	"69"	"3"	"2"	"6"	"2"	"1"	"3"	"8"	"5"	"13"	"31"	"26"	"7"	"580"	"0"	"580"	""	""
"199"	"202"	"93"	"59"	"2"	"1"	"38"	"3"	"1"	"3"	"1"	"4"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"214"	"0"	"214"	""	""
"200"	"203"	"80"	"298"	"12"	"6"	"98"	"3"	"1"	"2"	"0"	"2"	"4"	"5"	"1"	"0"	"11"	"3"	"5"	"531"	"0"	"531"	""	""
"201"	"204"	"79"	"271"	"9"	"23"	"157"	"8"	"3"	"9"	"1"	"3"	"5"	"9"	"3"	"9"	"15"	"18"	"6"	"628"	"0"	"628"	""	""
"202"	"206"	"123"	"271"	"8"	"7"	"40"	"3"	"4"	"1"	"2"	"3"	"5"	"5"	"6"	"5"	"22"	"27"	"10"	"542"	"0"	"542"	""	""
"203"	"207"	"283"	"92"	"14"	"3"	"40"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"8"	"0"	"450"	"0"	"450"	""	""
"204"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"205"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"206"	"208"	"24"	"234"	"2"	"7"	"17"	"2"	"38"	"0"	"0"	"0"	"4"	"5"	"2"	"2"	"2"	"7"	"1"	"347"	"0"	"347"	""	""
"207"	"209"	"124"	"104"	"14"	"13"	"77"	"7"	"24"	"6"	"1"	"2"	"3"	"4"	"1"	"2"	"9"	"7"	"5"	"403"	"0"	"403"	""	""
"208"	"210"	"319"	"19"	"2"	"0"	"25"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"372"	"0"	"372"	""	""
"209"	"Round- 15"	"-20476"	"-26240"	"-1715"	"-738"	"-9921"	"-443"	"-4123"	"-411"	"-247"	"-219"	"-249"	"-463"	"-211"	"-276"	"-709"	"-985"	"-379"	"-67805"	"0"	"-67805"	""	""
"210"	"211"	"384"	"65"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"452"	"0"	"452"	""	""
"211"	"213"	"289"	"7"	"2"	"0"	"26"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"326"	"0"	"326"	""	""
"212"	"215"	"7"	"309"	"1"	"5"	"67"	"1"	"1"	"0"	"0"	"0"	"2"	"7"	"1"	"3"	"6"	"2"	"1"	"413"	"0"	"413"	""	""
"213"	"216"	"11"	"642"	"4"	"6"	"61"	"0"	"3"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"0"	"0"	"736"	"0"	"736"	""	""
"214"	"217"	"146"	"4"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"0"	"155"	""	""
"215"	"220"	"39"	"167"	"2"	"8"	"14"	"2"	"1"	"3"	"1"	"1"	"1"	"0"	"2"	"3"	"8"	"5"	"1"	"258"	"0"	"258"	""	""
"216"	"221"	"70"	"77"	"78"	"2"	"113"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"5"	"3"	"0"	"356"	"0"	"356"	""	""
"217"	"222"	"52"	"258"	"19"	"5"	"41"	"1"	"22"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"4"	"6"	"0"	"413"	"0"	"413"	""	""
"218"	"223"	"51"	"5"	"87"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"154"	"0"	"154"	""	""
"219"	"224"	"252"	"3"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"0"	"264"	""	""
"220"	"Round- 16"	"-21777"	"-27777"	"-1916"	"-769"	"-10254"	"-452"	"-4153"	"-415"	"-248"	"-223"	"-254"	"-475"	"-216"	"-285"	"-734"	"-1002"	"-382"	"-71332"	"0"	"-71332"	""	""
"221"	"225"	"408"	"4"	"21"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"445"	"0"	"445"	""	""
"222"	"226"	"61"	"146"	"1"	"0"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"222"	"0"	"222"	""	""
"223"	"227"	"91"	"36"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"2"	"147"	"0"	"147"	""	""
"224"	"228"	"337"	"4"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"349"	"0"	"349"	""	""
"225"	"229"	"67"	"184"	"3"	"1"	"58"	"2"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"326"	"0"	"326"	""	""
"226"	"230"	"1"	"125"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"21"	"0"	"0"	"0"	"0"	"153"	"0"	"153"	""	""
"227"	"231"	"253"	"175"	"3"	"8"	"16"	"4"	"2"	"4"	"0"	"0"	"4"	"1"	"0"	"1"	"2"	"4"	"0"	"477"	"0"	"477"	""	""
"228"	"232"	"83"	"191"	"26"	"5"	"73"	"1"	"2"	"2"	"1"	"2"	"0"	"2"	"1"	"1"	"5"	"8"	"0"	"403"	"0"	"403"	""	""
"229"	"233"	"242"	"47"	"2"	"2"	"18"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"320"	"0"	"320"	""	""
"230"	"234"	"11"	"198"	"3"	"5"	"76"	"6"	"3"	"0"	"0"	"1"	"2"	"3"	"18"	"3"	"8"	"5"	"12"	"354"	"0"	"354"	""	""
"231"	"235"	"14"	"178"	"0"	"1"	"45"	"1"	"14"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"3"	"4"	"266"	"0"	"266"	""	""
"232"	"236"	"23"	"167"	"9"	"10"	"57"	"5"	"43"	"2"	"0"	"5"	"8"	"9"	"4"	"10"	"5"	"15"	"2"	"374"	"0"	"374"	""	""
"233"	"237"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"234"	"238"	"77"	"136"	"5"	"2"	"18"	"1"	"1"	"2"	"0"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"0"	"253"	"0"	"253"	""	""
"235"	"Round- 17"	"-23445"	"-29368"	"-1998"	"-808"	"-10640"	"-475"	"-4223"	"-429"	"-250"	"-233"	"-272"	"-496"	"-264"	"-304"	"-764"	"-1046"	"-406"	"-75421"	"0"	"-75421"	""	""
"236"	"239"	"101"	"170"	"2"	"8"	"5"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"6"	"5"	"2"	"307"	"0"	"307"	""	""
"237"	"240"	"249"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"251"	"0"	"251"	""	""
"238"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"239"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"240"	"241"	"59"	"138"	"0"	"0"	"7"	"0"	"60"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"267"	"0"	"267"	""	""
"241"	"242"	"188"	"52"	"2"	"0"	"5"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"262"	"0"	"262"	""	""
"242"	"243"	"74"	"104"	"8"	"8"	"60"	"0"	"4"	"4"	"4"	"1"	"6"	"9"	"5"	"6"	"7"	"19"	"9"	"328"	"0"	"328"	""	""
"243"	"Round- 18"	"-24116"	"-29832"	"-2010"	"-824"	"-10717"	"-478"	"-4299"	"-437"	"-254"	"-234"	"-278"	"-506"	"-272"	"-310"	"-778"	"-1073"	"-418"	"-76836"	"0"	"-76836"	""	""
"244"	"3"	"33"	"111"	"4"	"10"	"99"	"12"	"148"	"12"	"2"	"8"	"5"	"10"	"6"	"4"	"5"	"19"	"2"	"490"	"0"	"490"	""	""
"245"	"5"	"69"	"166"	"4"	"5"	"92"	"7"	"3"	"3"	"3"	"1"	"3"	"13"	"5"	"2"	"13"	"15"	"10"	"414"	"0"	"414"	""	""
"246"	"14"	"5"	"243"	"4"	"4"	"24"	"8"	"101"	"9"	"3"	"4"	"1"	"2"	"3"	"4"	"5"	"2"	"4"	"426"	"0"	"426"	""	""
"247"	"36"	"25"	"391"	"4"	"1"	"35"	"0"	"15"	"3"	"0"	"2"	"1"	"1"	"1"	"3"	"4"	"3"	"0"	"489"	"0"	"489"	""	""
"248"	"41"	"289"	"17"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"5"	"3"	"2"	"29"	"19"	"372"	"0"	"372"	""	""
"249"	"60"	"22"	"34"	"8"	"2"	"25"	"3"	"94"	"6"	"3"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"206"	"0"	"206"	""	""
"250"	"72"	"136"	"161"	"1"	"3"	"11"	"3"	"1"	"0"	"3"	"1"	"4"	"1"	"3"	"1"	"15"	"11"	"4"	"359"	"0"	"359"	""	""
"251"	"83"	"99"	"110"	"5"	"3"	"17"	"2"	"5"	"4"	"2"	"2"	"2"	"3"	"6"	"4"	"13"	"5"	"4"	"286"	"0"	"286"	""	""
"252"	"100"	"138"	"148"	"8"	"3"	"76"	"5"	"7"	"4"	"7"	"0"	"3"	"6"	"8"	"3"	"10"	"18"	"1"	"445"	"0"	"445"	""	""
"253"	"110"	"75"	"407"	"4"	"7"	"50"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"3"	"11"	"3"	"568"	"0"	"568"	""	""
"254"	"116"	"345"	"123"	"4"	"0"	"68"	"2"	"1"	"2"	"1"	"1"	"1"	"4"	"0"	"1"	"6"	"13"	"3"	"575"	"0"	"575"	""	""
"255"	"123"	"392"	"98"	"0"	"3"	"20"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"12"	"14"	"543"	"0"	"543"	""	""
"256"	"131"	"36"	"148"	"49"	"2"	"67"	"2"	"0"	"1"	"0"	"2"	"0"	"3"	"2"	"5"	"7"	"11"	"3"	"338"	"0"	"338"	""	""
"257"	"133"	"56"	"22"	"1"	"3"	"73"	"6"	"76"	"7"	"5"	"7"	"2"	"4"	"0"	"2"	"0"	"7"	"4"	"275"	"0"	"275"	""	""
"258"	"Round- 19"	"-25836"	"-32011"	"-2107"	"-871"	"-11375"	"-530"	"-4755"	"-488"	"-284"	"-265"	"-301"	"-557"	"-314"	"-344"	"-862"	"-1230"	"-492"	"-82622"	"0"	"-82622"	""	""
"259"	"134"	"47"	"60"	"6"	"6"	"84"	"6"	"18"	"3"	"4"	"1"	"7"	"3"	"0"	"2"	"0"	"15"	"1"	"263"	"0"	"263"	""	""
"260"	"142"	"8"	"262"	"7"	"6"	"4"	"1"	"3"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"16"	"8"	"2"	"323"	"0"	"323"	""	""
"261"	"147"	"144"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"8"	"0"	"158"	"0"	"158"	""	""
"262"	"162"	"161"	"160"	"2"	"3"	"60"	"1"	"6"	"6"	"1"	"2"	"1"	"9"	"2"	"4"	"12"	"15"	"8"	"453"	"0"	"453"	""	""
"263"	"167"	"73"	"116"	"6"	"3"	"23"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"1"	"3"	"234"	"0"	"234"	""	""
"264"	"169"	"125"	"158"	"7"	"2"	"50"	"5"	"10"	"4"	"1"	"1"	"4"	"6"	"4"	"5"	"11"	"16"	"9"	"418"	"0"	"418"	""	""
"265"	"170"	"40"	"59"	"2"	"2"	"11"	"3"	"71"	"5"	"6"	"8"	"7"	"11"	"0"	"1"	"3"	"12"	"3"	"244"	"0"	"244"	""	""
"266"	"172"	"330"	"14"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"4"	"359"	"0"	"359"	""	""
"267"	"173"	"124"	"152"	"4"	"3"	"32"	"3"	"34"	"3"	"2"	"1"	"2"	"4"	"2"	"4"	"8"	"7"	"7"	"392"	"0"	"392"	""	""
"268"	"174"	"135"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"10"	"152"	"0"	"152"	""	""
"269"	"175"	"107"	"21"	"4"	"2"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"2"	"9"	"5"	"161"	"0"	"161"	""	""
"270"	"176"	"18"	"304"	"6"	"6"	"62"	"0"	"2"	"3"	"1"	"2"	"3"	"4"	"2"	"4"	"17"	"7"	"3"	"444"	"0"	"444"	""	""
"271"	"180"	"224"	"23"	"5"	"1"	"2"	"0"	"9"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"2"	"26"	"11"	"310"	"0"	"310"	""	""
"272"	"181"	"65"	"209"	"10"	"7"	"102"	"5"	"27"	"2"	"4"	"3"	"4"	"10"	"2"	"2"	"5"	"4"	"2"	"463"	"0"	"463"	""	""
"273"	"Round- 20"	"-27437"	"-33553"	"-2168"	"-913"	"-11812"	"-554"	"-4938"	"-516"	"-305"	"-283"	"-334"	"-606"	"-331"	"-375"	"-944"	"-1367"	"-560"	"-86996"	"0"	"-86996"	""	""
"274"	"185"	"177"	"6"	"1"	"0"	"12"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"5"	"4"	"208"	""	"208"	""	""
