"Polling.Station.No."	"Ashok.Prasad.Verma"	"Aswamedh.Devi"	"Chandrabali.Thakur"	"Lalan.Kumar"	"Nilam.Sinha"	"Baiju.Sah"	"Vinay.Ranjan"	"Sunil.Kumar.Suman"	"Rambali.Singh"	"Shivchand.Ram"	"Sita.Sinha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"189"	"148"	"255"	"64"	"25"	"11"	"5"	"7"	"7"	"18"	"315"	"10"	"15"	"732"	""	"732"	""
"190"	"149"	"21"	"103"	"58"	"3"	"3"	"2"	"1"	"9"	"321"	"9"	"13"	"543"	""	"543"	""
"191"	"150"	"115"	"51"	"54"	"5"	"4"	"3"	"1"	"23"	"595"	"14"	"12"	"877"	""	"877"	""
"192"	"151"	"238"	"158"	"49"	"7"	"9"	"3"	"7"	"8"	"26"	"16"	"47"	"568"	""	"568"	""
"193"	"152"	"218"	"128"	"55"	"5"	"8"	"2"	"2"	"6"	"22"	"4"	"13"	"463"	""	"463"	""
"194"	"153"	"154"	"113"	"78"	"5"	"4"	"9"	"2"	"4"	"5"	"5"	"13"	"392"	""	"392"	""
"195"	"154"	"92"	"100"	"66"	"9"	"10"	"3"	"2"	"6"	"8"	"8"	"9"	"313"	""	"313"	""
"196"	"Page Total"	"28868"	"24503"	"9978"	"961"	"767"	"1836"	"834"	"1238"	"4760"	"1055"	"2201"	"77001"	"0"	"77001"	"0"
"197"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"198"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"199"	"B.F."	"28868"	"24503"	"9978"	"961"	"767"	"1836"	"834"	"1238"	"4760"	"1055"	"2201"	"77001"	"0"	"77001"	"0"
"200"	"155"	"185"	"216"	"83"	"16"	"6"	"19"	"26"	"22"	"14"	"6"	"22"	"615"	""	"615"	""
"201"	"156"	"326"	"34"	"88"	"4"	"4"	"1"	"0"	"1"	"34"	"2"	"13"	"507"	""	"507"	""
"202"	"157"	"144"	"184"	"100"	"3"	"3"	"7"	"3"	"5"	"3"	"0"	"3"	"455"	""	"455"	""
"203"	"158"	"99"	"113"	"64"	"4"	"5"	"6"	"7"	"3"	"4"	"2"	"8"	"315"	""	"315"	""
"204"	"159"	"71"	"243"	"75"	"5"	"13"	"7"	"3"	"4"	"5"	"7"	"4"	"437"	""	"437"	""
"205"	"160"	"48"	"185"	"46"	"1"	"2"	"0"	"0"	"2"	"1"	"1"	"5"	"291"	""	"291"	""
"206"	"161"	"43"	"86"	"53"	"2"	"6"	"1"	"4"	"3"	"0"	"1"	"1"	"200"	""	"200"	""
"207"	"162"	"78"	"222"	"36"	"15"	"3"	"2"	"2"	"10"	"4"	"6"	"1"	"379"	""	"379"	""
"208"	"163"	"220"	"123"	"56"	"13"	"9"	"15"	"7"	"51"	"9"	"11"	"18"	"532"	""	"532"	""
"209"	"164"	"169"	"313"	"32"	"16"	"8"	"6"	"9"	"25"	"15"	"12"	"22"	"627"	""	"627"	""
"210"	"165"	"176"	"82"	"37"	"10"	"1"	"1"	"16"	"10"	"3"	"6"	"19"	"361"	""	"361"	""
"211"	"166"	"112"	"264"	"65"	"8"	"3"	"10"	"0"	"7"	"6"	"7"	"4"	"486"	""	"486"	""
"212"	"167"	"132"	"47"	"9"	"2"	"1"	"0"	"2"	"0"	"5"	"4"	"12"	"214"	""	"214"	""
"213"	"168"	"115"	"200"	"122"	"9"	"4"	"6"	"1"	"1"	"1"	"2"	"4"	"465"	""	"465"	""
"214"	"Page Total"	"30786"	"26815"	"10844"	"1069"	"835"	"1917"	"914"	"1382"	"4864"	"1122"	"2337"	"82885"	"0"	"82885"	"0"
"215"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"216"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"217"	"B.F."	"30786"	"26815"	"10844"	"1069"	"835"	"1917"	"914"	"1382"	"4864"	"1122"	"2337"	"82885"	"0"	"82885"	"0"
"218"	"169"	"210"	"168"	"128"	"4"	"2"	"12"	"4"	"5"	"11"	"11"	"30"	"585"	""	"585"	""
"219"	"170"	"209"	"38"	"26"	"21"	"3"	"2"	"3"	"4"	"4"	"23"	"14"	"347"	""	"347"	""
"220"	"171"	"131"	"45"	"374"	"4"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"561"	""	"561"	""
"221"	"172"	"144"	"59"	"242"	"7"	"1"	"2"	"17"	"1"	"1"	"1"	"10"	"485"	""	"485"	""
"222"	"173"	"227"	"96"	"84"	"59"	"9"	"3"	"5"	"24"	"3"	"4"	"18"	"532"	""	"532"	""
"223"	"174"	"90"	"28"	"41"	"12"	"4"	"5"	"6"	"163"	"18"	"8"	"15"	"390"	""	"390"	""
"224"	"175"	"29"	"161"	"340"	"2"	"1"	"0"	"2"	"6"	"4"	"8"	"5"	"558"	""	"558"	""
"225"	"176"	"170"	"123"	"29"	"5"	"7"	"3"	"0"	"48"	"4"	"1"	"7"	"397"	""	"397"	""
"226"	"177"	"139"	"170"	"37"	"69"	"10"	"4"	"5"	"38"	"19"	"9"	"26"	"526"	""	"526"	""
"227"	"178"	"35"	"274"	"48"	"22"	"7"	"1"	"2"	"15"	"3"	"1"	"3"	"411"	""	"411"	""
"228"	"179"	"12"	"106"	"13"	"3"	"1"	"0"	"0"	"2"	"0"	"14"	"1"	"152"	""	"152"	""
"229"	"180"	"70"	"283"	"7"	"4"	"2"	"1"	"2"	"14"	"18"	"7"	"2"	"410"	""	"410"	""
"230"	"181"	"325"	"57"	"11"	"14"	"2"	"2"	"1"	"0"	"2"	"2"	"10"	"426"	""	"426"	""
"231"	"182"	"216"	"171"	"42"	"4"	"9"	"3"	"3"	"60"	"9"	"14"	"21"	"552"	""	"552"	""
"232"	"Page Total"	"32793"	"28594"	"12266"	"1299"	"894"	"1955"	"965"	"1764"	"4961"	"1226"	"2500"	"89217"	"0"	"89217"	"0"
"233"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"234"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"235"	"B.F."	"32793"	"28594"	"12266"	"1299"	"894"	"1955"	"965"	"1764"	"4961"	"1226"	"2500"	"89217"	"0"	"89217"	"0"
"236"	"183"	"54"	"334"	"28"	"2"	"4"	"5"	"0"	"3"	"13"	"6"	"1"	"450"	""	"450"	""
"237"	"184"	"134"	"370"	"10"	"8"	"4"	"1"	"3"	"63"	"7"	"8"	"4"	"612"	""	"612"	""
"238"	"185"	"283"	"138"	"105"	"4"	"4"	"0"	"4"	"5"	"9"	"6"	"12"	"570"	""	"570"	""
"239"	"186"	"236"	"135"	"78"	"8"	"1"	"4"	"1"	"10"	"16"	"70"	"32"	"591"	""	"591"	""
"240"	"187"	"60"	"281"	"38"	"1"	"8"	"2"	"2"	"10"	"12"	"23"	"17"	"454"	""	"454"	""
"241"	"188"	"147"	"279"	"69"	"5"	"4"	"10"	"1"	"1"	"5"	"34"	"19"	"574"	""	"574"	""
"242"	"189"	"176"	"209"	"45"	"37"	"11"	"1"	"1"	"7"	"6"	"46"	"9"	"548"	""	"548"	""
"243"	"190"	"106"	"72"	"72"	"15"	"7"	"3"	"3"	"13"	"11"	"167"	"47"	"516"	""	"516"	""
"244"	"191"	"150"	"128"	"60"	"7"	"7"	"6"	"3"	"7"	"14"	"108"	"19"	"509"	""	"509"	""
"245"	"192"	"108"	"266"	"43"	"7"	"9"	"5"	"12"	"10"	"18"	"10"	"13"	"501"	""	"501"	""
"246"	"193"	"198"	"152"	"20"	"5"	"18"	"9"	"3"	"5"	"17"	"39"	"42"	"508"	""	"508"	""
"247"	"194"	"183"	"353"	"17"	"6"	"1"	"0"	"2"	"6"	"20"	"7"	"7"	"602"	""	"602"	""
"248"	"195"	"107"	"388"	"50"	"3"	"0"	"1"	"0"	"0"	"7"	"0"	"3"	"559"	""	"559"	""
"249"	"196"	"198"	"197"	"19"	"59"	"5"	"7"	"4"	"7"	"30"	"17"	"30"	"573"	""	"573"	""
"250"	"Page Total"	"34933"	"31896"	"12920"	"1466"	"977"	"2009"	"1004"	"1911"	"5146"	"1767"	"2755"	"96784"	"0"	"96784"	"0"
"251"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"252"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"253"	"B.F."	"34933"	"31896"	"12920"	"1466"	"977"	"2009"	"1004"	"1911"	"5146"	"1767"	"2755"	"96784"	"0"	"96784"	"0"
"254"	"197"	"262"	"131"	"53"	"9"	"7"	"3"	"4"	"2"	"15"	"3"	"12"	"501"	""	"501"	""
"255"	"198"	"184"	"250"	"62"	"7"	"10"	"5"	"2"	"6"	"12"	"61"	"19"	"618"	""	"618"	""
"256"	"199"	"214"	"158"	"39"	"4"	"8"	"3"	"1"	"6"	"13"	"24"	"57"	"527"	""	"527"	""
"257"	"200"	"19"	"141"	"103"	"4"	"13"	"1"	"2"	"4"	"1"	"3"	"9"	"300"	""	"300"	""
"258"	"201"	"49"	"169"	"101"	"7"	"17"	"4"	"5"	"2"	"8"	"41"	"20"	"423"	""	"423"	""
"259"	"202"	"137"	"230"	"39"	"8"	"19"	"2"	"4"	"5"	"7"	"45"	"13"	"509"	""	"509"	""
"260"	"203"	"4"	"193"	"6"	"1"	"2"	"1"	"2"	"2"	"0"	"3"	"3"	"217"	""	"217"	""
"261"	"204"	"294"	"207"	"56"	"8"	"20"	"4"	"3"	"5"	"6"	"0"	"9"	"612"	""	"612"	""
"262"	"205"	"379"	"16"	"116"	"4"	"6"	"1"	"3"	"1"	"1"	"2"	"6"	"535"	""	"535"	""
"263"	"206"	"162"	"56"	"37"	"0"	"1"	"3"	"0"	"1"	"6"	"2"	"15"	"283"	""	"283"	""
"264"	"207"	"211"	"48"	"109"	"4"	"6"	"0"	"2"	"5"	"7"	"1"	"22"	"415"	""	"415"	""
"265"	"Page Total"	"36848"	"33495"	"13641"	"1522"	"1086"	"2036"	"1032"	"1950"	"5222"	"1952"	"2940"	"101724"	"0"	"101724"	"0"
"266"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"267"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"268"	"Total No of votes recorded at Polling Stations"	"36848"	"33495"	"13641"	"1522"	"1086"	"2036"	"1032"	"1950"	"5222"	"1952"	"2940"	"101724"	"0"	"101724"	"0"
"269"	"No. of Votes recorded on Postal ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"270"	"Total Votes Polled"	"36848"	"33495"	"13641"	"1522"	"1086"	"2036"	"1032"	"1950"	"5222"	"1952"	"2940"	"101724"	"0"	"101724"	"0"
"271"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Date:- 27th Feb 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"93-Kalyanpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
