"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"178"	"147"	"90"	"87"	"145"	"10"	"3"	"173"	"5"	"16"	"9"	"5"	"8"	"8"	"559"	""	"559"	""
"179"	"148"	"43"	"34"	"3"	"2"	"3"	"304"	"4"	"2"	"12"	"0"	"7"	"12"	"426"	""	"426"	""
"180"	"149"	"110"	"116"	"14"	"8"	"5"	"280"	"2"	"5"	"19"	"4"	"11"	"21"	"595"	""	"595"	""
"181"	"150"	"13"	"279"	"207"	"27"	"3"	"17"	"5"	"7"	"5"	"4"	"3"	"12"	"582"	""	"582"	""
"182"	"151"	"60"	"141"	"52"	"6"	"2"	"88"	"12"	"4"	"31"	"4"	"14"	"46"	"460"	""	"460"	""
"183"	"152"	"18"	"124"	"31"	"5"	"3"	"83"	"4"	"5"	"13"	"1"	"5"	"13"	"305"	""	"305"	""
"184"	"153"	"28"	"32"	"6"	"0"	"0"	"163"	"0"	"0"	"1"	"0"	"1"	"0"	"231"	""	"231"	""
"185"	"154"	"46"	"189"	"27"	"9"	"8"	"199"	"10"	"20"	"22"	"8"	"6"	"27"	"571"	""	"571"	""
"186"	"Grand
Total"	"560"	"3102"	"719"	"274"	"48"	"1744"	"54"	"87"	"149"	"43"	"71"	"185"	"7036"	"0"	"7036"	"0"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"189"	"155"	"245"	"39"	"28"	"2"	"0"	"187"	"2"	"0"	"14"	"0"	"4"	"4"	"525"	""	"525"	""
"190"	"156"	"80"	"154"	"115"	"10"	"11"	"123"	"7"	"10"	"28"	"9"	"14"	"22"	"583"	""	"583"	""
"191"	"157"	"29"	"42"	"80"	"2"	"5"	"118"	"11"	"6"	"13"	"6"	"65"	"7"	"384"	""	"384"	""
"192"	"158"	"19"	"90"	"105"	"3"	"4"	"233"	"9"	"11"	"21"	"5"	"8"	"24"	"532"	""	"532"	""
"193"	"159"	"59"	"42"	"29"	"7"	"9"	"135"	"15"	"10"	"14"	"6"	"12"	"29"	"367"	""	"367"	""
"194"	"160"	"55"	"89"	"27"	"11"	"8"	"135"	"18"	"14"	"37"	"11"	"11"	"43"	"459"	""	"459"	""
"195"	"161"	"24"	"35"	"292"	"11"	"5"	"43"	"8"	"8"	"12"	"9"	"9"	"17"	"473"	""	"473"	""
"196"	"162"	"47"	"101"	"56"	"4"	"6"	"230"	"5"	"7"	"13"	"8"	"7"	"3"	"487"	""	"487"	""
"197"	"163"	"28"	"146"	"6"	"5"	"6"	"229"	"11"	"20"	"25"	"2"	"11"	"14"	"503"	""	"503"	""
"198"	"164"	"32"	"145"	"20"	"3"	"3"	"103"	"7"	"8"	"29"	"5"	"9"	"25"	"389"	""	"389"	""
"199"	"165"	"53"	"141"	"49"	"12"	"4"	"151"	"10"	"14"	"24"	"5"	"9"	"21"	"493"	""	"493"	""
"200"	"166"	"44"	"95"	"17"	"3"	"1"	"126"	"4"	"7"	"14"	"9"	"4"	"15"	"339"	""	"339"	""
"201"	"167"	"30"	"67"	"11"	"7"	"3"	"150"	"10"	"15"	"7"	"3"	"5"	"17"	"325"	""	"325"	""
"202"	"168"	"42"	"313"	"48"	"28"	"8"	"123"	"4"	"7"	"9"	"5"	"4"	"4"	"595"	""	"595"	""
"203"	"Grand
Total"	"787"	"1499"	"883"	"108"	"73"	"2086"	"121"	"137"	"260"	"83"	"172"	"245"	"6454"	"0"	"6454"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"206"	"169"	"113"	"77"	"92"	"9"	"9"	"154"	"15"	"16"	"26"	"13"	"26"	"32"	"582"	""	"582"	""
"207"	"170"	"45"	"71"	"101"	"12"	"10"	"194"	"17"	"13"	"23"	"8"	"5"	"21"	"520"	""	"520"	""
"208"	"171"	"42"	"133"	"214"	"29"	"16"	"142"	"21"	"26"	"51"	"27"	"17"	"36"	"754"	""	"754"	""
"209"	"172"	"11"	"494"	"11"	"13"	"1"	"27"	"3"	"2"	"3"	"3"	"2"	"0"	"570"	""	"570"	""
"210"	"173"	"4"	"516"	"2"	"1"	"1"	"3"	"0"	"2"	"0"	"0"	"1"	"1"	"531"	""	"531"	""
"211"	"174"	"19"	"37"	"546"	"15"	"7"	"65"	"10"	"9"	"21"	"8"	"4"	"13"	"754"	""	"754"	""
"212"	"175"	"54"	"64"	"25"	"5"	"10"	"288"	"9"	"11"	"27"	"3"	"5"	"15"	"516"	""	"516"	""
"213"	"176"	"59"	"99"	"29"	"5"	"8"	"213"	"18"	"15"	"9"	"5"	"4"	"8"	"472"	""	"472"	""
"214"	"177"	"2"	"782"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"790"	""	"790"	""
"215"	"178"	"8"	"222"	"6"	"12"	"1"	"6"	"1"	"2"	"0"	"0"	"0"	"1"	"259"	""	"259"	""
"216"	"179"	"44"	"183"	"14"	"13"	"15"	"195"	"6"	"15"	"13"	"5"	"6"	"7"	"516"	""	"516"	""
"217"	"180"	"15"	"22"	"61"	"7"	"2"	"91"	"5"	"12"	"8"	"2"	"1"	"9"	"235"	""	"235"	""
"218"	"181"	"10"	"250"	"7"	"7"	"27"	"145"	"4"	"6"	"18"	"8"	"12"	"32"	"526"	""	"526"	""
"219"	"182"	"32"	"172"	"15"	"2"	"35"	"6"	"2"	"3"	"3"	"1"	"5"	"8"	"284"	""	"284"	""
"220"	"Grand
Total"	"458"	"3122"	"1125"	"131"	"142"	"1530"	"111"	"132"	"203"	"83"	"89"	"183"	"7309"	"0"	"7309"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"223"	"183"	"99"	"179"	"36"	"4"	"171"	"31"	"5"	"6"	"4"	"5"	"5"	"8"	"553"	""	"553"	""
"224"	"184"	"18"	"56"	"45"	"3"	"13"	"127"	"6"	"22"	"19"	"10"	"6"	"11"	"336"	""	"336"	""
"225"	"185"	"88"	"198"	"71"	"5"	"10"	"69"	"2"	"3"	"5"	"1"	"3"	"5"	"460"	""	"460"	""
"226"	"Grand
Total"	"205"	"433"	"152"	"12"	"194"	"227"	"13"	"31"	"28"	"16"	"14"	"24"	"1349"	"0"	"1349"	"0"
