"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"120"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"121"	"99"	"173"	"6"	"194"	"5"	"29"	"9"	"6"	"6"	"14"	"2"	"4"	"448"	""	"448"	""
"122"	"100"	"64"	"6"	"175"	"3"	"4"	"6"	"4"	"19"	"1"	"3"	"0"	"285"	""	"285"	""
"123"	"101"	"277"	"12"	"196"	"50"	"8"	"18"	"14"	"10"	"1"	"5"	"7"	"598"	""	"598"	""
"124"	"102"	"151"	"14"	"271"	"4"	"19"	"12"	"16"	"58"	"6"	"12"	"9"	"572"	""	"572"	""
"125"	"103"	"207"	"10"	"161"	"4"	"17"	"10"	"6"	"13"	"3"	"12"	"16"	"459"	""	"459"	""
"126"	"104"	"326"	"15"	"105"	"13"	"15"	"3"	"11"	"27"	"11"	"6"	"24"	"556"	""	"556"	""
"127"	"105"	"233"	"14"	"148"	"14"	"8"	"6"	"6"	"18"	"5"	"7"	"6"	"465"	""	"465"	""
"128"	"106"	"246"	"17"	"55"	"4"	"3"	"2"	"4"	"8"	"3"	"4"	"4"	"350"	""	"350"	""
"129"	"107"	"164"	"11"	"85"	"18"	"3"	"5"	"5"	"6"	"6"	"3"	"1"	"307"	""	"307"	""
"130"	"108"	"182"	"3"	"37"	"2"	"1"	"4"	"3"	"2"	"2"	"3"	"5"	"244"	""	"244"	""
"131"	"109"	"41"	"14"	"516"	"11"	"13"	"7"	"9"	"12"	"10"	"6"	"6"	"645"	""	"645"	""
"132"	"110"	"83"	"6"	"282"	"14"	"41"	"13"	"16"	"47"	"11"	"13"	"19"	"545"	""	"545"	""
"133"	"111"	"53"	"4"	"132"	"4"	"2"	"5"	"3"	"8"	"4"	"3"	"1"	"219"	""	"219"	""
"134"	"112"	"36"	"4"	"165"	"6"	"4"	"11"	"4"	"3"	"4"	"1"	"11"	"249"	""	"249"	""
"135"	"TOTAL-VIII"	"2236"	"136"	"2522"	"152"	"167"	"111"	"107"	"237"	"81"	"80"	"113"	"5942"	""	"5942"	""
"136"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"138"	"113"	"221"	"17"	"297"	"2"	"2"	"5"	"6"	"7"	"2"	"0"	"4"	"563"	""	"563"	""
"139"	"114"	"287"	"14"	"45"	"5"	"5"	"6"	"1"	"4"	"8"	"3"	"2"	"380"	""	"380"	""
"140"	"115"	"301"	"12"	"29"	"2"	"4"	"2"	"3"	"3"	"1"	"0"	"2"	"359"	""	"359"	""
"141"	"116"	"590"	"8"	"12"	"1"	"23"	"2"	"3"	"2"	"8"	"0"	"2"	"651"	""	"651"	""
"142"	"117"	"725"	"11"	"6"	"1"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"751"	""	"751"	""
"143"	"118"	"244"	"28"	"92"	"18"	"15"	"7"	"7"	"4"	"0"	"2"	"4"	"421"	""	"421"	""
"144"	"119"	"306"	"9"	"80"	"6"	"23"	"7"	"6"	"3"	"2"	"2"	"8"	"452"	""	"452"	""
"145"	"120"	"481"	"27"	"62"	"17"	"37"	"2"	"3"	"3"	"2"	"3"	"8"	"645"	""	"645"	""
"146"	"121"	"266"	"36"	"262"	"17"	"12"	"13"	"16"	"15"	"15"	"13"	"30"	"695"	""	"695"	""
"147"	"122"	"173"	"11"	"46"	"19"	"17"	"9"	"8"	"3"	"9"	"6"	"24"	"325"	""	"325"	""
"148"	"123"	"168"	"9"	"23"	"9"	"202"	"8"	"37"	"2"	"3"	"4"	"8"	"473"	""	"473"	""
"149"	"124"	"198"	"29"	"212"	"15"	"39"	"10"	"22"	"21"	"6"	"20"	"25"	"597"	""	"597"	""
"150"	"125"	"282"	"16"	"109"	"12"	"37"	"14"	"16"	"11"	"21"	"17"	"23"	"558"	""	"558"	""
"151"	"126"	"264"	"10"	"215"	"19"	"9"	"13"	"21"	"15"	"7"	"16"	"23"	"612"	""	"612"	""
"152"	"TOTAL-IX"	"4506"	"237"	"1490"	"143"	"430"	"99"	"149"	"94"	"84"	"86"	"164"	"7482"	""	"7482"	""
"153"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"155"	"127"	"211"	"10"	"142"	"10"	"8"	"2"	"6"	"7"	"4"	"3"	"8"	"411"	""	"411"	""
"156"	"128"	"356"	"10"	"120"	"15"	"26"	"14"	"8"	"5"	"4"	"4"	"8"	"570"	""	"570"	""
"157"	"129"	"375"	"9"	"69"	"8"	"19"	"5"	"9"	"1"	"5"	"0"	"13"	"513"	""	"513"	""
"158"	"130"	"170"	"9"	"401"	"9"	"7"	"4"	"12"	"7"	"4"	"8"	"13"	"644"	""	"644"	""
"159"	"131"	"46"	"9"	"220"	"10"	"7"	"17"	"6"	"9"	"5"	"11"	"21"	"361"	""	"361"	""
"160"	"132"	"320"	"17"	"113"	"8"	"10"	"12"	"11"	"9"	"6"	"10"	"14"	"530"	""	"530"	""
"161"	"133"	"109"	"6"	"188"	"10"	"8"	"15"	"6"	"4"	"17"	"5"	"3"	"371"	""	"371"	""
"162"	"134"	"214"	"12"	"123"	"10"	"10"	"6"	"10"	"13"	"66"	"9"	"10"	"483"	""	"483"	""
"163"	"135"	"23"	"1"	"75"	"3"	"4"	"4"	"1"	"3"	"2"	"3"	"2"	"121"	""	"121"	""
"164"	"136"	"155"	"14"	"284"	"17"	"12"	"19"	"16"	"26"	"8"	"10"	"8"	"569"	""	"569"	""
"165"	"137"	"202"	"18"	"200"	"81"	"13"	"10"	"9"	"4"	"18"	"3"	"2"	"560"	""	"560"	""
"166"	"138"	"128"	"10"	"257"	"11"	"2"	"27"	"8"	"10"	"5"	"2"	"3"	"463"	""	"463"	""
"167"	"139"	"271"	"8"	"77"	"4"	"6"	"3"	"5"	"3"	"3"	"4"	"10"	"394"	""	"394"	""
"168"	"140"	"462"	"16"	"75"	"6"	"20"	"1"	"3"	"3"	"3"	"2"	"7"	"598"	""	"598"	""
"169"	"TOTAL-X"	"3042"	"149"	"2344"	"202"	"152"	"139"	"110"	"104"	"150"	"74"	"122"	"6588"	""	"6588"	""
"170"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"172"	"141"	"323"	"23"	"81"	"15"	"13"	"12"	"11"	"13"	"6"	"11"	"15"	"523"	""	"523"	""
"173"	"142"	"452"	"21"	"78"	"9"	"77"	"12"	"14"	"3"	"5"	"7"	"8"	"686"	""	"686"	""
"174"	"143"	"89"	"5"	"337"	"8"	"12"	"10"	"10"	"12"	"2"	"5"	"4"	"494"	""	"494"	""
"175"	"144"	"220"	"8"	"246"	"4"	"8"	"14"	"14"	"8"	"70"	"12"	"16"	"620"	""	"620"	""
"176"	"145"	"251"	"14"	"172"	"27"	"18"	"11"	"18"	"12"	"33"	"10"	"22"	"588"	""	"588"	""
"177"	"146"	"149"	"6"	"105"	"11"	"5"	"11"	"9"	"7"	"5"	"7"	"18"	"333"	""	"333"	""
"178"	"147"	"120"	"5"	"35"	"7"	"24"	"6"	"3"	"14"	"3"	"5"	"5"	"227"	""	"227"	""
"179"	"148"	"108"	"8"	"214"	"6"	"4"	"14"	"13"	"6"	"36"	"9"	"9"	"427"	""	"427"	""
"180"	"149"	"194"	"13"	"136"	"12"	"29"	"5"	"9"	"15"	"7"	"4"	"10"	"434"	""	"434"	""
"181"	"150"	"73"	"9"	"93"	"21"	"8"	"5"	"8"	"73"	"31"	"8"	"7"	"336"	""	"336"	""
"182"	"151"	"185"	"39"	"81"	"93"	"7"	"7"	"8"	"10"	"3"	"3"	"10"	"446"	""	"446"	""
"183"	"152"	"89"	"6"	"121"	"109"	"5"	"21"	"9"	"14"	"9"	"8"	"13"	"404"	""	"404"	""
"184"	"153"	"109"	"37"	"234"	"58"	"36"	"18"	"19"	"60"	"12"	"14"	"5"	"602"	""	"602"	""
"185"	"154"	"476"	"6"	"10"	"10"	"34"	"2"	"12"	"0"	"0"	"0"	"0"	"550"	""	"550"	""
"186"	"TOTAL-XI"	"2838"	"200"	"1943"	"390"	"280"	"148"	"157"	"247"	"222"	"103"	"142"	"6670"	""	"6670"	""
"187"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"189"	"155"	"391"	"3"	"5"	"5"	"79"	"3"	"4"	"0"	"2"	"0"	"2"	"494"	""	"494"	""
"190"	"156"	"273"	"2"	"31"	"2"	"25"	"1"	"3"	"3"	"0"	"0"	"0"	"340"	""	"340"	""
"191"	"157"	"127"	"13"	"159"	"15"	"9"	"4"	"8"	"11"	"37"	"8"	"9"	"400"	""	"400"	""
"192"	"158"	"49"	"6"	"127"	"2"	"1"	"9"	"5"	"8"	"3"	"1"	"1"	"212"	""	"212"	""
"193"	"159"	"119"	"9"	"208"	"8"	"7"	"13"	"4"	"12"	"9"	"8"	"8"	"405"	""	"405"	""
"194"	"160"	"231"	"17"	"112"	"8"	"53"	"8"	"21"	"5"	"19"	"7"	"9"	"490"	""	"490"	""
"195"	"161"	"189"	"7"	"88"	"18"	"26"	"6"	"13"	"145"	"31"	"10"	"15"	"548"	""	"548"	""
"196"	"162"	"24"	"5"	"265"	"11"	"26"	"14"	"12"	"4"	"4"	"3"	"15"	"383"	""	"383"	""
"197"	"163"	"145"	"14"	"142"	"12"	"10"	"8"	"5"	"10"	"82"	"15"	"16"	"459"	""	"459"	""
"198"	"164"	"62"	"18"	"112"	"5"	"19"	"6"	"1"	"6"	"3"	"4"	"7"	"243"	""	"243"	""
"199"	"165"	"66"	"11"	"132"	"10"	"4"	"11"	"12"	"22"	"48"	"28"	"21"	"365"	""	"365"	""
"200"	"166"	"115"	"14"	"118"	"5"	"5"	"10"	"16"	"121"	"10"	"6"	"11"	"431"	""	"431"	""
"201"	"167"	"151"	"22"	"182"	"7"	"38"	"22"	"24"	"7"	"22"	"5"	"8"	"488"	""	"488"	""
"202"	"168"	"85"	"18"	"250"	"13"	"58"	"14"	"21"	"65"	"11"	"7"	"5"	"547"	""	"547"	""
"203"	"TOTAL-XII"	"2027"	"159"	"1931"	"121"	"360"	"129"	"149"	"419"	"281"	"102"	"127"	"5805"	""	"5805"	""
"204"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"206"	"169"	"169"	"6"	"31"	"5"	"15"	"2"	"2"	"3"	"3"	"6"	"193"	"435"	""	"435"	""
"207"	"170"	"215"	"6"	"56"	"5"	"29"	"5"	"9"	"5"	"9"	"11"	"173"	"523"	""	"523"	""
"208"	"171"	"185"	"12"	"36"	"5"	"10"	"6"	"7"	"10"	"3"	"4"	"119"	"397"	""	"397"	""
"209"	"172"	"74"	"9"	"51"	"3"	"77"	"3"	"23"	"5"	"3"	"4"	"7"	"259"	""	"259"	""
"210"	"173"	"330"	"36"	"141"	"9"	"24"	"12"	"15"	"6"	"11"	"2"	"44"	"630"	""	"630"	""
"211"	"174"	"49"	"9"	"83"	"2"	"7"	"5"	"10"	"30"	"9"	"12"	"23"	"239"	""	"239"	""
"212"	"TOTAL-XIII"	"1022"	"78"	"398"	"29"	"162"	"33"	"66"	"59"	"38"	"39"	"559"	"2483"	""	"2483"	""
"213"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	""	"32303"	"2699"	"30860"	"1708"	"3704"	"1694"	"1934"	"2793"	"1579"	"1229"	"2299"	"82802"	""	"82802"	""
"215"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"217"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	""	"32303"	"2699"	"30860"	"1708"	"3704"	"1694"	"1934"	"2793"	"1579"	"1229"	"2299"	"82802"	"0"	"82802"	""
"219"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"tarIK : 27.02.2005                                                                                                                     irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"114 π Catapur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
