"129"	"73"	"86"	"115"	"3"	"5"	"2"	"2"	"3"	"367"	"12"	"3"	"8"	"1"	"8"	"1"	"9"	"13"	"1"	"0"	"0"	"2"	"641"	"0"	"641"	"0"
"130"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"137"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"138"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"139"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"141"	"74"	"160"	"17"	"3"	"0"	"0"	"4"	"1"	"80"	"3"	"0"	"6"	"2"	"10"	"3"	"0"	"6"	"7"	"0"	"2"	"7"	"311"	"0"	"311"	"0"
"142"	"75"	"128"	"90"	"4"	"2"	"0"	"2"	"2"	"122"	"2"	"1"	"8"	"0"	"7"	"2"	"2"	"3"	"9"	"4"	"5"	"1"	"394"	"0"	"394"	"0"
"143"	"76"	"111"	"144"	"9"	"2"	"1"	"2"	"4"	"173"	"9"	"7"	"11"	"2"	"12"	"3"	"7"	"4"	"2"	"0"	"0"	"2"	"505"	"0"	"505"	"0"
"144"	"77"	"198"	"126"	"8"	"1"	"2"	"1"	"3"	"26"	"0"	"0"	"4"	"0"	"1"	"2"	"6"	"8"	"2"	"0"	"1"	"0"	"389"	"0"	"389"	"0"
"145"	"78"	"257"	"30"	"11"	"2"	"2"	"1"	"3"	"83"	"1"	"1"	"5"	"0"	"7"	"1"	"3"	"8"	"35"	"11"	"13"	"7"	"481"	"0"	"481"	"0"
"146"	"79"	"143"	"57"	"13"	"3"	"0"	"0"	"4"	"165"	"6"	"2"	"13"	"0"	"10"	"2"	"6"	"3"	"0"	"1"	"2"	"3"	"433"	"0"	"433"	"0"
"147"	"80"	"376"	"16"	"2"	"1"	"1"	"1"	"3"	"108"	"8"	"0"	"16"	"5"	"10"	"8"	"11"	"47"	"8"	"3"	"1"	"6"	"631"	"0"	"631"	"0"
"148"	"81"	"471"	"80"	"4"	"1"	"0"	"2"	"1"	"24"	"1"	"0"	"13"	"0"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"602"	"0"	"602"	"0"
"149"	"82"	"124"	"46"	"12"	"1"	"0"	"2"	"6"	"120"	"13"	"10"	"13"	"4"	"6"	"6"	"6"	"12"	"10"	"4"	"8"	"13"	"416"	"0"	"416"	"0"
"150"	"83"	"245"	"114"	"10"	"2"	"0"	"2"	"3"	"64"	"8"	"0"	"5"	"0"	"2"	"2"	"2"	"6"	"9"	"2"	"6"	"1"	"483"	"0"	"483"	"0"
"151"	"84"	"173"	"161"	"21"	"6"	"3"	"3"	"3"	"46"	"5"	"3"	"8"	"5"	"7"	"8"	"18"	"18"	"7"	"6"	"1"	"5"	"507"	"0"	"507"	"0"
"152"	"85"	"158"	"149"	"9"	"4"	"1"	"2"	"10"	"126"	"5"	"3"	"7"	"4"	"7"	"2"	"5"	"10"	"6"	"0"	"2"	"3"	"513"	"0"	"513"	"0"
"153"	"86"	"162"	"124"	"52"	"2"	"1"	"3"	"2"	"31"	"0"	"5"	"8"	"2"	"2"	"5"	"8"	"14"	"3"	"2"	"1"	"1"	"428"	"0"	"428"	"0"
"154"	"87"	"37"	"109"	"1"	"0"	"1"	"0"	"3"	"131"	"6"	"2"	"1"	"0"	"2"	"0"	"4"	"6"	"1"	"2"	"2"	"0"	"308"	"0"	"308"	"0"
"155"	"88"	"87"	"152"	"7"	"0"	"1"	"1"	"3"	"213"	"5"	"3"	"9"	"2"	"13"	"5"	"8"	"13"	"21"	"10"	"7"	"11"	"571"	"0"	"571"	"0"
"156"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"163"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"164"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"165"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"166"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"167"	"89"	"403"	"129"	"7"	"1"	"3"	"4"	"20"	"101"	"6"	"6"	"14"	"5"	"7"	"11"	"22"	"43"	"39"	"6"	"7"	"8"	"842"	"0"	"842"	"0"
"168"	"90"	"170"	"182"	"13"	"2"	"2"	"2"	"2"	"15"	"0"	"0"	"3"	"0"	"1"	"1"	"3"	"2"	"18"	"7"	"8"	"11"	"442"	"0"	"442"	"0"
"169"	"91"	"257"	"63"	"5"	"2"	"1"	"0"	"1"	"17"	"2"	"1"	"4"	"0"	"3"	"2"	"4"	"14"	"9"	"2"	"1"	"1"	"389"	"0"	"389"	"0"
"170"	"92"	"136"	"258"	"11"	"1"	"0"	"0"	"2"	"128"	"1"	"2"	"4"	"1"	"5"	"3"	"6"	"5"	"1"	"0"	"1"	"2"	"567"	"0"	"567"	"0"
"171"	"93"	"93"	"362"	"9"	"6"	"1"	"3"	"19"	"141"	"4"	"1"	"4"	"3"	"2"	"1"	"9"	"1"	"5"	"2"	"3"	"1"	"670"	"0"	"670"	"0"
"172"	"94"	"77"	"131"	"5"	"3"	"2"	"1"	"6"	"220"	"0"	"1"	"4"	"1"	"8"	"2"	"4"	"6"	"1"	"1"	"2"	"1"	"476"	"0"	"476"	"0"
"173"	"95"	"135"	"110"	"9"	"2"	"1"	"5"	"9"	"358"	"9"	"2"	"15"	"3"	"23"	"2"	"13"	"12"	"8"	"1"	"2"	"3"	"722"	"0"	"722"	"0"
"174"	"96"	"80"	"35"	"1"	"3"	"1"	"1"	"8"	"208"	"9"	"8"	"13"	"2"	"16"	"2"	"6"	"20"	"6"	"1"	"0"	"3"	"423"	"0"	"423"	"0"
"175"	"97"	"71"	"332"	"18"	"10"	"1"	"2"	"3"	"20"	"3"	"1"	"6"	"1"	"4"	"2"	"13"	"4"	"5"	"6"	"9"	"4"	"515"	"0"	"515"	"0"
"176"	"98"	"258"	"56"	"48"	"4"	"1"	"5"	"5"	"83"	"6"	"2"	"19"	"3"	"13"	"4"	"8"	"22"	"2"	"0"	"0"	"0"	"539"	"0"	"539"	"0"
"177"	"99"	"317"	"62"	"5"	"4"	"2"	"5"	"5"	"92"	"2"	"1"	"20"	"3"	"6"	"2"	"4"	"5"	"9"	"1"	"0"	"5"	"550"	"0"	"550"	"0"
"178"	"100"	"290"	"197"	"15"	"4"	"2"	"0"	"5"	"60"	"5"	"8"	"8"	"7"	"11"	"13"	"13"	"21"	"4"	"1"	"3"	"2"	"669"	"0"	"669"	"0"
"179"	"101"	"156"	"151"	"4"	"1"	"0"	"0"	"2"	"241"	"3"	"1"	"2"	"0"	"4"	"1"	"3"	"4"	"8"	"7"	"2"	"2"	"592"	"0"	"592"	"0"
"180"	"102"	"58"	"719"	"2"	"0"	"0"	"0"	"3"	"9"	"0"	"3"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"801"	"0"	"801"	"0"
"181"	"103"	"121"	"204"	"155"	"7"	"2"	"3"	"3"	"45"	"4"	"0"	"5"	"1"	"7"	"5"	"6"	"10"	"3"	"2"	"3"	"5"	"591"	"0"	"591"	"0"
"182"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"189"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"190"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"191"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"192"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"193"	"104"	"83"	"50"	"23"	"0"	"0"	"0"	"3"	"47"	"4"	"2"	"7"	"3"	"3"	"1"	"7"	"12"	"1"	"0"	"0"	"0"	"246"	"0"	"246"	"0"
"194"	"105"	"20"	"423"	"14"	"0"	"0"	"4"	"0"	"34"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"3"	"507"	"0"	"507"	"0"
"195"	"106"	"286"	"207"	"17"	"4"	"4"	"3"	"1"	"63"	"4"	"1"	"7"	"2"	"10"	"4"	"10"	"18"	"12"	"3"	"7"	"5"	"668"	"0"	"668"	"0"
"196"	"107"	"340"	"50"	"13"	"1"	"2"	"0"	"0"	"132"	"2"	"5"	"4"	"2"	"3"	"1"	"3"	"5"	"2"	"0"	"1"	"0"	"566"	"0"	"566"	"0"
"197"	"108"	"102"	"108"	"3"	"2"	"2"	"0"	"3"	"173"	"9"	"3"	"14"	"2"	"13"	"2"	"4"	"12"	"1"	"0"	"2"	"0"	"455"	"0"	"455"	"0"
"198"	"109"	"133"	"205"	"12"	"3"	"3"	"3"	"6"	"122"	"3"	"4"	"7"	"1"	"8"	"5"	"13"	"15"	"7"	"5"	"2"	"9"	"566"	"0"	"566"	"0"
"199"	"110"	"269"	"116"	"2"	"1"	"1"	"3"	"1"	"70"	"1"	"1"	"3"	"0"	"3"	"0"	"7"	"8"	"4"	"0"	"1"	"1"	"492"	"0"	"492"	"0"
"200"	"111"	"205"	"216"	"14"	"9"	"2"	"7"	"7"	"190"	"11"	"7"	"8"	"2"	"5"	"6"	"14"	"15"	"9"	"5"	"9"	"9"	"750"	"0"	"750"	"0"
"201"	"112"	"176"	"99"	"2"	"5"	"4"	"20"	"5"	"126"	"11"	"3"	"14"	"6"	"16"	"10"	"10"	"38"	"18"	"5"	"5"	"6"	"579"	"0"	"579"	"0"
"202"	"113"	"70"	"18"	"8"	"2"	"2"	"0"	"4"	"185"	"11"	"6"	"8"	"3"	"6"	"3"	"6"	"9"	"0"	"0"	"3"	"0"	"344"	"0"	"344"	"0"
"203"	"114"	"297"	"100"	"39"	"2"	"5"	"3"	"5"	"68"	"6"	"3"	"16"	"3"	"7"	"4"	"17"	"10"	"6"	"6"	"1"	"3"	"601"	"0"	"601"	"0"
"204"	"115"	"313"	"20"	"12"	"5"	"1"	"3"	"0"	"25"	"1"	"1"	"2"	"2"	"1"	"1"	"3"	"6"	"10"	"0"	"4"	"2"	"412"	"0"	"412"	"0"
"205"	"116"	"188"	"149"	"152"	"4"	"3"	"5"	"1"	"110"	"4"	"4"	"4"	"0"	"6"	"1"	"4"	"2"	"1"	"0"	"1"	"2"	"641"	"0"	"641"	"0"
"206"	"117"	"410"	"26"	"77"	"2"	"2"	"0"	"1"	"55"	"0"	"1"	"16"	"0"	"2"	"3"	"7"	"28"	"10"	"1"	"1"	"0"	"642"	"0"	"642"	"0"
"207"	"118"	"264"	"47"	"7"	"4"	"4"	"2"	"9"	"81"	"5"	"8"	"18"	"2"	"7"	"0"	"6"	"16"	"5"	"1"	"3"	"0"	"489"	"0"	"489"	"0"
"208"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"215"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"216"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"217"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"219"	"119"	"392"	"73"	"3"	"4"	"1"	"4"	"3"	"65"	"2"	"2"	"10"	"6"	"4"	"3"	"10"	"46"	"16"	"5"	"3"	"3"	"655"	"0"	"655"	"0"
"220"	"120"	"105"	"185"	"3"	"3"	"2"	"1"	"8"	"105"	"6"	"4"	"10"	"2"	"7"	"0"	"7"	"12"	"4"	"1"	"2"	"3"	"470"	"0"	"470"	"0"
"221"	"121"	"77"	"63"	"6"	"2"	"1"	"1"	"3"	"129"	"17"	"2"	"3"	"3"	"8"	"4"	"8"	"20"	"15"	"4"	"4"	"6"	"376"	"0"	"376"	"0"
"222"	"122"	"312"	"9"	"10"	"1"	"0"	"0"	"7"	"129"	"7"	"11"	"8"	"3"	"9"	"1"	"2"	"16"	"3"	"0"	"2"	"2"	"532"	"0"	"532"	"0"
"223"	"123"	"265"	"76"	"5"	"0"	"1"	"0"	"5"	"135"	"8"	"1"	"5"	"0"	"7"	"7"	"13"	"29"	"12"	"4"	"2"	"6"	"581"	"0"	"581"	"0"
"224"	"124"	"230"	"138"	"13"	"3"	"3"	"2"	"3"	"129"	"3"	"6"	"6"	"0"	"1"	"3"	"2"	"3"	"1"	"1"	"5"	"1"	"553"	"0"	"553"	"0"
"225"	"125"	"35"	"575"	"1"	"1"	"0"	"0"	"2"	"48"	"0"	"1"	"4"	"1"	"4"	"1"	"7"	"6"	"0"	"0"	"0"	"0"	"686"	"0"	"686"	"0"
"226"	"126"	"339"	"137"	"12"	"0"	"1"	"3"	"1"	"173"	"0"	"1"	"11"	"1"	"13"	"1"	"2"	"5"	"3"	"0"	"1"	"1"	"705"	"0"	"705"	"0"
"227"	"127"	"58"	"391"	"3"	"2"	"0"	"0"	"2"	"29"	"1"	"0"	"1"	"0"	"1"	"5"	"0"	"1"	"0"	"4"	"1"	"0"	"499"	"0"	"499"	"0"
"228"	"128"	"290"	"13"	"1"	"6"	"5"	"3"	"1"	"174"	"13"	"2"	"14"	"4"	"15"	"5"	"12"	"7"	"14"	"5"	"7"	"9"	"600"	"0"	"600"	"0"
"229"	"129"	"313"	"136"	"12"	"2"	"1"	"0"	"3"	"177"	"6"	"1"	"6"	"2"	"4"	"2"	"11"	"7"	"3"	"1"	"3"	"2"	"692"	"0"	"692"	"0"
"230"	"130"	"204"	"29"	"23"	"0"	"0"	"1"	"1"	"44"	"4"	"1"	"6"	"5"	"1"	"3"	"4"	"21"	"8"	"2"	"1"	"8"	"366"	"0"	"366"	"0"
"231"	"131"	"156"	"173"	"7"	"5"	"2"	"1"	"3"	"78"	"6"	"5"	"5"	"1"	"10"	"1"	"6"	"13"	"7"	"1"	"3"	"3"	"486"	"0"	"486"	"0"
"232"	"132"	"411"	"3"	"17"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"434"	"0"	"434"	"0"
"233"	"133"	"600"	"17"	"2"	"2"	"0"	"0"	"1"	"109"	"4"	"4"	"7"	"2"	"2"	"0"	"1"	"11"	"21"	"2"	"8"	"6"	"799"	"0"	"799"	"0"
"234"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"241"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"242"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"243"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"244"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"245"	"134"	"352"	"124"	"6"	"1"	"1"	"0"	"0"	"55"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"5"	"4"	"4"	"1"	"2"	"562"	"0"	"562"	"0"
"246"	"135"	"318"	"99"	"6"	"2"	"0"	"1"	"2"	"76"	"2"	"1"	"10"	"0"	"6"	"1"	"7"	"23"	"3"	"0"	"1"	"2"	"560"	"0"	"560"	"0"
"247"	"136"	"357"	"52"	"6"	"5"	"0"	"0"	"2"	"82"	"5"	"1"	"8"	"3"	"12"	"1"	"3"	"7"	"13"	"2"	"9"	"12"	"580"	"0"	"580"	"0"
"248"	"137"	"232"	"99"	"8"	"7"	"2"	"6"	"4"	"104"	"4"	"2"	"6"	"2"	"13"	"2"	"9"	"13"	"30"	"15"	"12"	"12"	"582"	"0"	"582"	"0"
"249"	"138"	"344"	"87"	"4"	"2"	"1"	"1"	"1"	"67"	"1"	"0"	"8"	"3"	"6"	"2"	"5"	"20"	"10"	"0"	"1"	"4"	"567"	"0"	"567"	"0"
"250"	"139"	"307"	"114"	"6"	"5"	"3"	"19"	"2"	"125"	"7"	"2"	"9"	"3"	"11"	"4"	"10"	"19"	"23"	"2"	"4"	"5"	"680"	"0"	"680"	"0"
"251"	"140"	"141"	"223"	"79"	"7"	"4"	"6"	"1"	"58"	"3"	"1"	"3"	"1"	"3"	"3"	"11"	"4"	"20"	"12"	"9"	"13"	"602"	"0"	"602"	"0"
"252"	"141"	"338"	"63"	"4"	"0"	"3"	"0"	"0"	"20"	"0"	"0"	"2"	"0"	"1"	"1"	"4"	"6"	"3"	"2"	"0"	"0"	"447"	"0"	"447"	"0"
"253"	"142"	"346"	"131"	"9"	"0"	"4"	"1"	"3"	"163"	"8"	"1"	"11"	"3"	"4"	"4"	"12"	"18"	"6"	"1"	"2"	"2"	"729"	"0"	"729"	"0"
"254"	"143"	"364"	"88"	"18"	"2"	"3"	"1"	"4"	"57"	"2"	"2"	"7"	"3"	"5"	"2"	"12"	"19"	"18"	"13"	"5"	"5"	"630"	"0"	"630"	"0"
"255"	"144"	"264"	"43"	"16"	"3"	"2"	"0"	"1"	"74"	"7"	"6"	"8"	"1"	"3"	"13"	"6"	"27"	"18"	"1"	"3"	"1"	"497"	"0"	"497"	"0"
"256"	"145"	"164"	"99"	"26"	"2"	"0"	"0"	"5"	"60"	"1"	"2"	"1"	"1"	"2"	"0"	"5"	"2"	"13"	"0"	"2"	"2"	"387"	"0"	"387"	"0"
"257"	"146"	"661"	"5"	"17"	"0"	"1"	"0"	"0"	"14"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"702"	"0"	"702"	"0"
"258"	"147"	"108"	"103"	"8"	"2"	"1"	"12"	"0"	"57"	"5"	"1"	"5"	"1"	"5"	"2"	"6"	"10"	"3"	"1"	"1"	"0"	"331"	"0"	"331"	"0"
