"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-1,92,069"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"151"	"128"	"96"	"10"	"97"	"18"	"202"	""	"9"	"6"	"4"	"5"	"7"	"30"	"7"	"2"	"8"	"501"	"&"	"501"	"&"	""
"152"	"129"	"21"	"5"	"174"	"11"	"181"	""	"4"	"12"	"11"	"3"	"4"	"227"	"7"	"2"	"10"	"672"	"&"	"672"	"&"	""
"153"	"130"	"36"	"6"	"422"	"15"	"20"	""	"2"	"56"	"20"	"8"	"4"	"74"	"7"	"2"	"4"	"676"	"&"	"676"	"&"	""
"154"	"131"	"216"	"33"	"85"	"20"	"11"	""	"8"	"6"	"6"	"4"	"4"	"224"	"4"	"8"	"16"	"645"	"&"	"645"	"&"	""
"155"	"132"	"16"	"5"	"180"	"5"	"31"	""	"2"	"11"	"0"	"2"	"2"	"76"	"4"	"2"	"1"	"337"	"&"	"337"	"&"	""
"156"	"133"	"91"	"18"	"114"	"14"	"19"	""	"4"	"0"	"0"	"1"	"3"	"13"	"5"	"3"	"7"	"292"	"&"	"292"	"&"	""
"157"	"134"	"14"	"9"	"184"	"14"	"9"	""	"3"	"3"	"3"	"0"	"3"	"86"	"0"	"6"	"9"	"343"	"&"	"343"	"&"	""
"158"	"135"	"8"	"2"	"70"	"3"	"19"	""	"1"	"12"	"3"	"0"	"3"	"93"	"2"	"9"	"12"	"237"	"&"	"237"	"&"	""
"159"	"136"	"55"	"6"	"498"	"14"	"19"	""	"3"	"7"	"4"	"1"	"2"	"57"	"8"	"3"	"13"	"690"	"&"	"690"	"&"	""
"160"	"137"	"38"	"5"	"117"	"5"	"160"	""	"8"	"4"	"0"	"0"	"1"	"21"	"1"	"1"	"4"	"365"	"&"	"365"	"&"	""
"161"	"138"	"8"	"3"	"61"	"11"	"10"	""	"4"	"6"	"20"	"8"	"3"	"36"	"189"	"6"	"28"	"393"	"&"	"393"	"&"	""
"162"	"139"	"76"	"19"	"95"	"7"	"8"	""	"6"	"8"	"10"	"6"	"15"	"294"	"38"	"12"	"20"	"614"	"&"	"614"	"&"	""
"163"	"140"	"100"	"23"	"145"	"11"	"54"	""	"3"	"5"	"11"	"12"	"7"	"108"	"57"	"13"	"12"	"561"	"&"	"561"	"&"	""
"164"	"141"	"81"	"41"	"6"	"2"	"3"	""	"0"	"1"	"3"	"2"	"3"	"68"	"4"	"7"	"34"	"255"	"&"	"255"	"&"	""
"165"	"142"	"13"	"5"	"175"	"14"	"47"	""	"3"	"9"	"4"	"2"	"2"	"49"	"5"	"6"	"6"	"340"	"&"	"340"	"&"	""
"166"	"143"	"54"	"9"	"43"	"4"	"8"	""	"10"	"9"	"7"	"3"	"10"	"280"	"12"	"5"	"21"	"475"	"&"	"475"	"&"	""
"167"	"144"	"13"	"7"	"38"	"10"	"8"	""	"5"	"5"	"6"	"7"	"7"	"191"	"23"	"18"	"29"	"367"	"&"	"367"	"&"	""
"168"	"145"	"1"	"3"	"87"	"1"	"30"	""	"0"	"2"	"2"	"0"	"2"	"32"	"19"	"1"	"2"	"182"	"&"	"182"	"&"	""
"169"	"146"	"11"	"3"	"65"	"8"	"18"	""	"5"	"4"	"1"	"0"	"2"	"6"	"3"	"1"	"3"	"130"	"&"	"130"	"&"	""
"170"	"147"	"52"	"9"	"94"	"12"	"42"	""	"4"	"5"	"5"	"0"	"3"	"37"	"7"	"4"	"3"	"277"	"&"	"277"	"&"	""
"171"	"148"	"95"	"10"	"170"	"16"	"19"	""	"1"	"4"	"2"	"2"	"2"	"13"	"3"	"1"	"3"	"341"	"&"	"341"	"&"	""
"172"	"149"	"25"	"10"	"138"	"10"	"400"	""	"56"	"7"	"1"	"4"	"1"	"11"	"7"	"1"	"19"	"690"	"&"	"690"	"&"	""
"173"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"175"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"176"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"177"	"150"	"5"	"1"	"14"	"1"	"519"	""	"3"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"550"	"&"	"550"	"&"	""
"178"	"151"	"60"	"15"	"266"	"8"	"67"	""	"4"	"7"	"6"	"2"	"8"	"57"	"15"	"1"	"36"	"552"	"&"	"552"	"&"	""
"179"	"152"	"8"	"5"	"71"	"6"	"26"	""	"4"	"2"	"7"	"3"	"2"	"35"	"2"	"2"	"7"	"180"	"&"	"180"	"&"	""
"180"	"153"	"59"	"31"	"112"	"8"	"202"	""	"13"	"7"	"10"	"2"	"4"	"78"	"11"	"6"	"17"	"560"	"&"	"560"	"&"	""
"181"	"154"	"29"	"22"	"60"	"4"	"49"	""	"4"	"5"	"0"	"2"	"3"	"16"	"2"	"3"	"5"	"204"	"&"	"204"	"&"	""
"182"	"155"	"7"	"3"	"46"	"2"	"4"	""	"3"	"6"	"3"	"1"	"8"	"271"	"7"	"6"	"29"	"396"	"&"	"396"	"&"	""
"183"	"156"	"90"	"24"	"271"	"13"	"73"	""	"2"	"11"	"4"	"3"	"6"	"142"	"6"	"6"	"15"	"666"	"&"	"666"	"&"	""
"184"	"157"	"60"	"6"	"413"	"12"	"100"	""	"4"	"3"	"3"	"2"	"3"	"66"	"4"	"4"	"13"	"693"	"&"	"693"	"&"	""
"185"	"158"	"24"	"7"	"70"	"10"	"127"	""	"5"	"18"	"3"	"1"	"4"	"49"	"1"	"6"	"4"	"329"	"&"	"329"	"&"	""
"186"	"159"	"50"	"15"	"172"	"24"	"31"	""	"8"	"8"	"3"	"2"	"4"	"29"	"6"	"9"	"16"	"377"	"&"	"377"	"&"	""
"187"	"160"	"1"	"2"	"199"	"2"	"380"	""	"2"	"11"	"2"	"0"	"0"	"88"	"1"	"0"	"0"	"688"	"&"	"688"	"&"	""
"188"	"161"	"58"	"16"	"145"	"18"	"370"	""	"16"	"34"	"8"	"8"	"16"	"12"	"11"	"4"	"11"	"727"	"&"	"727"	"&"	""
"189"	"162"	"209"	"43"	"101"	"11"	"66"	""	"13"	"90"	"48"	"12"	"14"	"17"	"5"	"11"	"27"	"667"	"&"	"667"	"&"	""
"190"	"163"	"118"	"17"	"215"	"10"	"64"	""	"5"	"78"	"21"	"8"	"7"	"87"	"15"	"4"	"9"	"658"	"&"	"658"	"&"	""
"191"	"164"	"3"	"0"	"8"	"6"	"759"	""	"1"	"16"	"4"	"1"	"1"	"1"	"1"	"0"	"0"	"801"	"&"	"801"	"&"	""
"192"	"165"	"214"	"8"	"144"	"22"	"15"	""	"1"	"8"	"4"	"1"	"13"	"131"	"5"	"6"	"1"	"573"	"&"	"573"	"&"	""
"193"	"166"	"245"	"23"	"58"	"18"	"186"	""	"15"	"16"	"6"	"6"	"14"	"57"	"10"	"8"	"49"	"711"	"&"	"711"	"&"	""
"194"	"167"	"248"	"28"	"26"	"12"	"54"	""	"4"	"23"	"5"	"4"	"6"	"5"	"2"	"3"	"22"	"442"	"&"	"442"	"&"	""
"195"	"168"	"8"	"15"	"10"	"12"	"402"	""	"15"	"10"	"7"	"4"	"12"	"47"	"11"	"5"	"8"	"566"	"&"	"566"	"&"	""
"196"	"169"	"107"	"13"	"79"	"4"	"89"	""	"4"	"70"	"6"	"0"	"2"	"2"	"1"	"1"	"6"	"384"	"&"	"384"	"&"	""
"197"	"170"	"126"	"28"	"89"	"24"	"274"	""	"14"	"14"	"7"	"2"	"8"	"6"	"6"	"4"	"11"	"613"	"&"	"613"	"&"	""
"198"	"171"	"112"	"13"	"109"	"9"	"346"	""	"20"	"12"	"4"	"2"	"11"	"8"	"3"	"2"	"4"	"655"	"&"	"655"	"&"	""
"199"	"172"	"41"	"6"	"89"	"10"	"541"	""	"13"	"10"	"5"	"4"	"5"	"6"	"9"	"3"	"5"	"747"	"&"	"747"	"&"	""
"200"	"173"	"175"	"50"	"56"	"6"	"107"	""	"8"	"6"	"4"	"0"	"2"	"3"	"3"	"6"	"11"	"437"	"&"	"437"	"&"	""
"201"	"174"	"47"	"47"	"41"	"3"	"46"	""	"3"	"15"	"1"	"0"	"2"	"42"	"1"	"0"	"0"	"248"	"&"	"248"	"&"	""
"202"	"175"	"21"	"43"	"27"	"2"	"40"	""	"0"	"17"	"1"	"3"	"3"	"42"	"2"	"2"	"3"	"206"	"&"	"206"	"&"	""
"203"	"176"	"171"	"24"	"45"	"8"	"110"	""	"4"	"12"	"5"	"4"	"5"	"3"	"7"	"6"	"32"	"436"	"&"	"436"	"&"	""
"204"	"177"	"108"	"69"	"72"	"7"	"37"	""	"4"	"7"	"4"	"3"	"11"	"6"	"4"	"11"	"19"	"362"	"&"	"362"	"&"	""
"205"	"178"	"157"	"17"	"27"	"5"	"101"	""	"3"	"2"	"3"	"1"	"4"	"1"	"5"	"8"	"17"	"351"	"&"	"351"	"&"	""
"206"	"179"	"15"	"8"	"20"	"4"	"258"	""	"9"	"14"	"9"	"4"	"8"	"7"	"6"	"5"	"19"	"386"	"&"	"386"	"&"	""
"207"	"180"	"150"	"22"	"48"	"9"	"71"	""	"2"	"62"	"21"	"2"	"6"	"2"	"4"	"5"	"21"	"425"	"&"	"425"	"&"	""
"208"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"210"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"211"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"212"	"181"	"82"	"28"	"39"	"9"	"380"	""	"16"	"1"	"0"	"4"	"15"	"7"	"5"	"4"	"10"	"600"	"&"	"600"	"&"	""
"213"	"182"	"18"	"2"	"23"	"8"	"482"	""	"3"	"1"	"1"	"1"	"6"	"3"	"3"	"1"	"6"	"558"	"&"	"558"	"&"	""
"214"	"183"	"169"	"18"	"64"	"2"	"143"	""	"9"	"7"	"1"	"2"	"4"	"5"	"4"	"3"	"22"	"453"	"&"	"453"	"&"	""
"215"	"184"	"79"	"29"	"60"	"13"	"124"	""	"5"	"18"	"7"	"1"	"8"	"3"	"3"	"3"	"17"	"370"	"&"	"370"	"&"	""
"216"	"185"	"10"	"46"	"25"	"3"	"453"	""	"4"	"1"	"1"	"0"	"1"	"3"	"0"	"1"	"2"	"550"	"&"	"550"	"&"	""
"217"	"186"	"122"	"18"	"65"	"15"	"91"	""	"8"	"10"	"5"	"6"	"7"	"3"	"8"	"5"	"25"	"388"	"&"	"388"	"&"	""
"218"	"187"	"141"	"22"	"12"	"8"	"166"	""	"5"	"4"	"1"	"1"	"8"	"6"	"5"	"11"	"34"	"424"	"&"	"424"	"&"	""
"219"	"188"	"159"	"21"	"18"	"7"	"101"	""	"4"	"4"	"2"	"0"	"6"	"1"	"1"	"3"	"10"	"337"	"&"	"337"	"&"	""
"220"	"189"	"188"	"27"	"37"	"0"	"177"	""	"2"	"5"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"444"	"&"	"444"	"&"	""
"221"	"190"	"32"	"11"	"21"	"1"	"117"	""	"2"	"1"	"11"	"1"	"3"	"0"	"0"	"0"	"7"	"207"	"&"	"207"	"&"	""
"222"	"191"	"13"	"158"	"23"	"7"	"254"	""	"4"	"3"	"4"	"3"	"10"	"7"	"8"	"6"	"21"	"521"	"&"	"521"	"&"	""
"223"	"Total"	"26184"	"3032"	"19332"	"1565"	"21254"	""	"2154"	"6676"	"1858"	"574"	"971"	"5557"	"1182"	"678"	"2204"	"93221"	"&"	"93221"	"&"	""
"224"	"Total no. of votes recorded at polling Stations"	""	""	""	""	""	"93221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"No. of votes recorded on postal ballot papers"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Grand Total"	""	""	""	""	""	"93221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Place ………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Date ………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"232"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"233"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
