"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly :- 90 - KEOTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"194"	"172"	"172"	"53"	"99"	"9"	"1"	"8"	"93"	"7"	"3"	"8"	"11"	"292"	"-"	"292"	""
"195"	"173"	"173"	"274"	"174"	"16"	"9"	"10"	"93"	"12"	"17"	"11"	"26"	"642"	"-"	"642"	""
"196"	"174"	"174"	"577"	"13"	"1"	"1"	"4"	"95"	"7"	"1"	"3"	"5"	"707"	"-"	"707"	""
"197"	"175"	"175"	"12"	"386"	"4"	"5"	"3"	"177"	"5"	"3"	"4"	"12"	"611"	"-"	"611"	""
"198"	"176"	"176"	"13"	"468"	"4"	"0"	"4"	"14"	"1"	"1"	"3"	"10"	"518"	"-"	"518"	""
"199"	"177"	"177"	"210"	"180"	"18"	"7"	"9"	"84"	"16"	"11"	"7"	"36"	"578"	"-"	"578"	""
"200"	"178"	"178"	"158"	"219"	"5"	"7"	"3"	"38"	"1"	"3"	"1"	"6"	"441"	"-"	"441"	""
"201"	"179"	"179"	"41"	"259"	"9"	"1"	"3"	"17"	"6"	"2"	"1"	"13"	"352"	"-"	"352"	""
"202"	"180"	"180"	"173"	"74"	"4"	"2"	"1"	"52"	"2"	"4"	"4"	"5"	"321"	"-"	"321"	""
"203"	"181"	"181"	"53"	"462"	"2"	"1"	"0"	"44"	"1"	"1"	"1"	"2"	"567"	"-"	"567"	""
"204"	"182"	"182"	"225"	"63"	"5"	"6"	"9"	"225"	"6"	"9"	"10"	"22"	"580"	"-"	"580"	""
"205"	"183"	"183"	"389"	"125"	"3"	"1"	"0"	"12"	"0"	"2"	"0"	"2"	"534"	"-"	"534"	""
"206"	"184"	"184"	"291"	"95"	"15"	"3"	"10"	"98"	"6"	"18"	"13"	"26"	"575"	"-"	"575"	""
"207"	"185"	"185"	"211"	"24"	"4"	"0"	"1"	"79"	"1"	"3"	"2"	"1"	"326"	"-"	"326"	""
"208"	"186"	"186"	"181"	"143"	"9"	"3"	"4"	"108"	"7"	"3"	"3"	"17"	"478"	"-"	"478"	""
"209"	"187"	"187"	"177"	"81"	"4"	"2"	"2"	"63"	"1"	"1"	"0"	"4"	"335"	"-"	"335"	""
"210"	"188"	"188"	"5"	"806"	"2"	"0"	"0"	"10"	"2"	"0"	"1"	"0"	"826"	"-"	"826"	""
"211"	"189"	"189"	"138"	"76"	"5"	"1"	"3"	"63"	"5"	"4"	"21"	"53"	"369"	"-"	"369"	""
"212"	"190"	"190"	"183"	"118"	"3"	"0"	"2"	"27"	"1"	"5"	"3"	"11"	"353"	"-"	"353"	""
"213"	"191"	"191"	"201"	"83"	"9"	"1"	"6"	"75"	"2"	"3"	"5"	"12"	"397"	"-"	"397"	""
"214"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"215"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"216"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"217"	"192"	"192"	"24"	"656"	"4"	"1"	"2"	"55"	"0"	"5"	"2"	"3"	"752"	"-"	"752"	""
"218"	"193"	"193"	"54"	"195"	"6"	"0"	"6"	"146"	"4"	"4"	"5"	"12"	"432"	"-"	"432"	""
"219"	"194"	"194"	"432"	"83"	"7"	"2"	"2"	"39"	"3"	"6"	"7"	"6"	"587"	"-"	"587"	""
"220"	"195"	"195"	"135"	"140"	"8"	"6"	"1"	"173"	"12"	"5"	"5"	"7"	"492"	"-"	"492"	""
"221"	"196"	"196"	"373"	"212"	"4"	"0"	"2"	"46"	"5"	"3"	"2"	"3"	"650"	"-"	"650"	""
"222"	"197"	"197"	"83"	"80"	"5"	"3"	"4"	"35"	"2"	"3"	"4"	"11"	"230"	"-"	"230"	""
"223"	"198"	"198"	"577"	"45"	"2"	"0"	"0"	"44"	"3"	"0"	"13"	"6"	"690"	"-"	"690"	""
"224"	"199"	"199"	"3"	"493"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"502"	"-"	"502"	""
"225"	"200"	"200"	"1"	"453"	"2"	"0"	"0"	"5"	"0"	"0"	"1"	"0"	"462"	"-"	"462"	""
"226"	"201"	"201"	"286"	"74"	"3"	"1"	"1"	"12"	"18"	"1"	"1"	"0"	"397"	"-"	"397"	""
"227"	"202"	"202"	"277"	"64"	"9"	"3"	"6"	"51"	"3"	"7"	"49"	"11"	"480"	"-"	"480"	""
"228"	"Total No. of votes recording at polling Stations"	""	"39099"	"34333"	"1594"	"1263"	"1190"	"13607"	"1194"	"1297"	"1343"	"3379"	"98299"	"-"	"98299"	""
"229"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"1"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"1"	"Nil"	"1"	""
"230"	"Total Votes polled"	""	"39100"	"34333"	"1594"	"1263"	"1190"	"13607"	"1194"	"1297"	"1343"	"3379"	"98300"	"-"	"98300"	""
"231"	"Place :   DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Date  :   27.02.2005                                                                                                                                                                        90 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
