"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"224"	"114"	"289"	"12"	"214"	"2"	"0"	"2"	"1"	"0"	"3"	"2"	"2"	"527"	""
"225"	"115"	"10"	"1"	"383"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"397"	""
"226"	"116"	"63"	"21"	"154"	"7"	"31"	"4"	"7"	"4"	"4"	"108"	"5"	"408"	""
"227"	"117"	"145"	"6"	"39"	"1"	"19"	"2"	"4"	"1"	"2"	"36"	"5"	"260"	""
"228"	"118"	"170"	"26"	"182"	"12"	"25"	"8"	"8"	"7"	"11"	"73"	"13"	"535"	""
"229"	"119"	"237"	"12"	"173"	"6"	"21"	"7"	"6"	"9"	"12"	"16"	"16"	"515"	""
"230"	"120"	"145"	"23"	"417"	"4"	"2"	"2"	"3"	"3"	"9"	"10"	"8"	"626"	""
"231"	"121"	"126"	"12"	"394"	"3"	"16"	"6"	"2"	"2"	"8"	"43"	"6"	"618"	""
"232"	"122"	"110"	"31"	"348"	"9"	"34"	"5"	"5"	"11"	"16"	"37"	"17"	"623"	""
"233"	"123"	"86"	"13"	"230"	"4"	"2"	"0"	"2"	"1"	"4"	"11"	"4"	"357"	""
"234"	"124"	"193"	"25"	"333"	"8"	"36"	"4"	"3"	"7"	"23"	"16"	"18"	"666"	""
"235"	"125"	"111"	"33"	"222"	"6"	"4"	"3"	"6"	"6"	"9"	"5"	"10"	"415"	""
"236"	"126"	"270"	"19"	"107"	"6"	"45"	"3"	"2"	"6"	"10"	"13"	"9"	"490"	""
"237"	";ksx"	"2001"	"254"	"3337"	"71"	"249"	"50"	"55"	"64"	"122"	"501"	"140"	"6844"	""
"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"242"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"250"	"127"	"121"	"33"	"192"	"13"	"52"	"12"	"4"	"14"	"9"	"271"	"17"	"738"	""
"251"	"128"	"111"	"25"	"172"	"11"	"126"	"10"	"4"	"28"	"11"	"34"	"33"	"565"	""
"252"	"129"	"99"	"17"	"346"	"12"	"15"	"7"	"1"	"5"	"7"	"6"	"4"	"519"	""
"253"	"130"	"97"	"19"	"387"	"12"	"40"	"1"	"1"	"5"	"9"	"20"	"20"	"611"	""
"254"	"131"	"290"	"29"	"262"	"11"	"28"	"5"	"4"	"7"	"15"	"11"	"9"	"671"	""
"255"	"132"	"439"	"13"	"144"	"4"	"98"	"5"	"6"	"12"	"4"	"3"	"7"	"735"	""
"256"	"133"	"151"	"18"	"344"	"8"	"200"	"7"	"4"	"10"	"14"	"5"	"0"	"761"	""
"257"	"134"	"112"	"14"	"201"	"7"	"22"	"2"	"5"	"4"	"11"	"26"	"5"	"409"	""
"258"	"135"	"84"	"19"	"243"	"16"	"30"	"1"	"8"	"5"	"6"	"5"	"7"	"424"	""
"259"	"136"	"171"	"14"	"230"	"10"	"49"	"3"	"9"	"3"	"10"	"5"	"21"	"525"	""
"260"	"137"	"220"	"42"	"470"	"37"	"11"	"3"	"3"	"2"	"25"	"0"	"12"	"825"	""
"261"	"138"	"89"	"26"	"220"	"6"	"25"	"10"	"8"	"2"	"8"	"2"	"4"	"400"	""
"262"	"139"	"65"	"11"	"173"	"3"	"33"	"2"	"5"	"0"	"5"	"25"	"6"	"328"	""
"263"	"140"	"117"	"20"	"450"	"7"	"9"	"0"	"5"	"0"	"5"	"25"	"6"	"644"	""
"264"	";ksx"	"2166"	"300"	"3834"	"157"	"738"	"68"	"67"	"100"	"140"	"413"	"149"	"8132"	""
"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"269"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"270"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"276"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"277"	"141"	"231"	"21"	"242"	"14"	"25"	"6"	"5"	"3"	"22"	"22"	"25"	"616"	""
"278"	"142"	"192"	"27"	"486"	"10"	"2"	"1"	"7"	"1"	"4"	"7"	"26"	"763"	""
"279"	"143"	"197"	"22"	"262"	"7"	"37"	"7"	"3"	"5"	"9"	"85"	"12"	"646"	""
"280"	"144"	"251"	"25"	"122"	"4"	"20"	"2"	"4"	"5"	"10"	"13"	"4"	"460"	""
"281"	"145"	"243"	"11"	"188"	"7"	"52"	"0"	"3"	"8"	"8"	"12"	"3"	"535"	""
"282"	"146"	"103"	"25"	"287"	"9"	"8"	"3"	"12"	"9"	"10"	"3"	"11"	"480"	""
"283"	"147"	"175"	"17"	"211"	"2"	"1"	"4"	"3"	"1"	"6"	"5"	"16"	"441"	""
"284"	"148"	"230"	"27"	"224"	"4"	"18"	"2"	"5"	"5"	"10"	"2"	"11"	"538"	""
"285"	"149"	"196"	"19"	"148"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"369"	""
"286"	"150"	"166"	"13"	"195"	"1"	"38"	"2"	"0"	"5"	"3"	"3"	"5"	"431"	""
"287"	"151"	"219"	"24"	"237"	"3"	"15"	"3"	"3"	"6"	"7"	"7"	"14"	"538"	""
"288"	"152"	"274"	"46"	"161"	"6"	"9"	"2"	"3"	"4"	"8"	"4"	"10"	"527"	""
"289"	"153"	"175"	"33"	"264"	"4"	"107"	"8"	"3"	"5"	"7"	"6"	"26"	"638"	""
"290"	"154"	"100"	"45"	"421"	"6"	"19"	"1"	"13"	"6"	"8"	"5"	"21"	"645"	""
"291"	";ksx"	"2752"	"355"	"3448"	"78"	"352"	"42"	"65"	"63"	"114"	"174"	"184"	"7627"	""
"292"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"296"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"303"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"304"	"155"	"470"	"26"	"126"	"2"	"3"	"2"	"3"	"4"	"7"	"9"	"19"	"671"	""
"305"	"156"	"78"	"50"	"304"	"12"	"20"	"7"	"6"	"7"	"20"	"38"	"18"	"560"	""
"306"	"157"	"288"	"23"	"217"	"7"	"2"	"1"	"6"	"2"	"14"	"10"	"22"	"592"	""
"307"	"158"	"280"	"7"	"121"	"1"	"26"	"2"	"9"	"4"	"1"	"0"	"5"	"456"	""
"308"	"159"	"213"	"25"	"166"	"5"	"7"	"2"	"3"	"4"	"15"	"7"	"58"	"505"	""
"309"	"160"	"274"	"33"	"214"	"5"	"7"	"6"	"3"	"7"	"14"	"11"	"33"	"607"	""
"310"	"161"	"131"	"70"	"342"	"7"	"7"	"4"	"7"	"9"	"10"	"12"	"7"	"606"	""
"311"	"162"	"409"	"33"	"142"	"5"	"10"	"4"	"13"	"0"	"4"	"7"	"18"	"645"	""
"312"	"163"	"66"	"19"	"148"	"6"	"9"	"3"	"2"	"2"	"6"	"27"	"8"	"296"	""
"313"	"164"	"233"	"38"	"165"	"6"	"10"	"2"	"6"	"6"	"7"	"6"	"12"	"491"	""
"314"	"165"	"182"	"36"	"321"	"10"	"18"	"5"	"5"	"13"	"13"	"67"	"23"	"693"	""
"315"	"166"	"241"	"13"	"141"	"1"	"40"	"3"	"5"	"4"	"2"	"5"	"4"	"459"	""
"316"	"167"	"67"	"25"	"264"	"11"	"12"	"2"	"6"	"1"	"9"	"12"	"5"	"414"	""
"317"	"168"	"195"	"36"	"250"	"4"	"16"	"6"	"2"	"8"	"14"	"62"	"35"	"628"	""
"318"	";ksx"	"3127"	"434"	"2921"	"82"	"187"	"49"	"76"	"71"	"136"	"273"	"267"	"7623"	""
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"323"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"324"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"330"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"331"	"169"	"570"	"9"	"66"	"9"	"7"	"4"	"0"	"3"	"7"	"20"	"15"	"710"	""
"332"	"170"	"403"	"24"	"119"	"1"	"18"	"5"	"1"	"2"	"18"	"3"	"10"	"604"	""
"333"	"171"	"297"	"40"	"120"	"3"	"32"	"1"	"4"	"7"	"7"	"20"	"5"	"536"	""
"334"	"172"	"74"	"14"	"452"	"9"	"5"	"2"	"2"	"2"	"10"	"21"	"9"	"600"	""
"335"	"173"	"170"	"31"	"228"	"8"	"17"	"4"	"4"	"11"	"16"	"10"	"20"	"519"	""
"336"	"174"	"200"	"18"	"493"	"9"	"1"	"2"	"1"	"0"	"8"	"7"	"5"	"744"	""
"337"	"175"	"403"	"24"	"174"	"4"	"6"	"3"	"0"	"3"	"2"	"6"	"13"	"638"	""
"338"	"176"	"275"	"19"	"244"	"9"	"39"	"4"	"3"	"8"	"22"	"10"	"13"	"646"	""
"339"	"177"	"162"	"20"	"149"	"25"	"50"	"0"	"10"	"1"	"2"	"64"	"3"	"486"	""
"340"	"178"	"83"	"17"	"251"	"7"	"24"	"5"	"4"	"11"	"24"	"47"	"17"	"490"	""
"341"	"179"	"222"	"13"	"124"	"6"	"13"	"1"	"4"	"0"	"9"	"62"	"8"	"462"	""
"342"	"180"	"197"	"13"	"160"	"2"	"31"	"3"	"5"	"3"	"9"	"46"	"9"	"478"	""
"343"	"181"	"5"	"16"	"85"	"4"	"69"	"4"	"4"	"9"	"4"	"52"	"6"	"258"	""
"344"	"182"	"384"	"10"	"58"	"0"	"22"	"0"	"1"	"1"	"2"	"2"	"0"	"480"	""
"345"	";ksx"	"3445"	"268"	"2723"	"96"	"334"	"38"	"43"	"61"	"140"	"370"	"133"	"7651"	""
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"350"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"358"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"359"	"183"	"270"	"19"	"163"	"2"	"2"	"1"	"2"	"5"	"15"	"11"	"11"	"501"	""
"360"	"184"	"124"	"27"	"386"	"20"	"30"	"4"	"4"	"4"	"31"	"65"	"20"	"715"	""
"361"	"185"	"21"	"7"	"120"	"2"	"21"	"0"	"2"	"2"	"5"	"108"	"1"	"289"	""
"362"	"186"	"14"	"12"	"186"	"6"	"68"	"4"	"4"	"12"	"23"	"28"	"13"	"370"	""
"363"	"187"	"35"	"12"	"82"	"1"	"49"	"0"	"3"	"12"	"13"	"151"	"25"	"383"	""
"364"	"188"	"121"	"9"	"522"	"5"	"10"	"5"	"3"	"3"	"17"	"136"	"1"	"832"	""
"365"	"189"	"34"	"25"	"248"	"19"	"25"	"2"	"3"	"0"	"7"	"242"	"3"	"608"	""
"366"	"190"	"35"	"10"	"150"	"1"	"5"	"0"	"2"	"1"	"11"	"14"	"2"	"231"	""
"367"	"191"	"119"	"36"	"117"	"5"	"3"	"3"	"13"	"9"	"9"	"6"	"10"	"330"	""
"368"	"192"	"274"	"66"	"141"	"6"	"21"	"3"	"6"	"3"	"18"	"1"	"4"	"543"	""
"369"	"193"	"149"	"53"	"242"	"11"	"83"	"13"	"45"	"13"	"11"	"15"	"28"	"663"	""
"370"	"194"	"200"	"9"	"151"	"1"	"3"	"1"	"1"	"2"	"8"	"8"	"14"	"398"	""
"371"	"195"	"111"	"18"	"35"	"3"	"82"	"4"	"6"	"7"	"5"	"122"	"5"	"398"	""
"372"	"196"	"111"	"10"	"15"	"3"	"40"	"4"	"17"	"8"	"16"	"200"	"14"	"438"	""
"373"	";ksx"	"1618"	"313"	"2558"	"85"	"442"	"44"	"111"	"81"	"189"	"1107"	"151"	"6699"	""
"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"378"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"385"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"386"	"197"	"76"	"14"	"37"	"4"	"52"	"4"	"10"	"7"	"11"	"123"	"17"	"355"	""
"387"	"198"	"127"	"34"	"360"	"6"	"32"	"3"	"3"	"2"	"15"	"4"	"15"	"601"	""
"388"	"199"	"279"	"30"	"204"	"6"	"56"	"4"	"8"	"3"	"7"	"15"	"10"	"622"	""
"389"	"200"	"212"	"23"	"178"	"7"	"9"	"7"	"6"	"3"	"8"	"49"	"8"	"510"	""
"390"	"201"	"364"	"26"	"188"	"8"	"4"	"3"	"9"	"0"	"13"	"9"	"3"	"627"	""
"391"	"202"	"151"	"31"	"123"	"0"	"10"	"6"	"13"	"2"	"5"	"17"	"5"	"363"	""
"392"	"203"	"16"	"6"	"52"	"1"	"12"	"1"	"1"	"0"	"4"	"399"	"8"	"500"	""
"393"	"204"	"193"	"31"	"254"	"2"	"16"	"8"	"3"	"2"	"19"	"7"	"24"	"559"	""
"394"	"205"	"291"	"31"	"195"	"5"	"10"	"49"	"5"	"7"	"8"	"12"	"11"	"624"	""
"395"	"206"	"76"	"22"	"91"	"6"	"6"	"4"	"8"	"4"	"169"	"5"	"5"	"396"	""
"396"	"207"	"82"	"17"	"87"	"3"	"5"	"4"	"3"	"1"	"41"	"9"	"17"	"269"	""
"397"	"208"	"105"	"13"	"293"	"4"	"3"	"6"	"6"	"11"	"141"	"18"	"0"	"600"	""
"398"	"209"	"139"	"14"	"22"	"2"	"6"	"4"	"7"	"2"	"18"	"43"	"19"	"276"	""
"399"	"210"	"61"	"12"	"76"	"2"	"2"	"4"	"3"	"12"	"510"	"2"	"4"	"688"	""
"400"	";ksx"	"2172"	"304"	"2160"	"56"	"223"	"107"	"85"	"56"	"969"	"712"	"146"	"6990"	""
"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"405"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"412"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"413"	"211"	"200"	"13"	"40"	"4"	"3"	"4"	"0"	"1"	"48"	"14"	"9"	"336"	""
"414"	"212"	"82"	"22"	"89"	"3"	"1"	"4"	"6"	"12"	"407"	"5"	"6"	"637"	""
"415"	";ksx"	"282"	"35"	"129"	"7"	"4"	"8"	"6"	"13"	"455"	"19"	"15"	"973"	""
"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"420"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
