"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"210"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.11"	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"215"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"216"	"141"	"147"	"22"	"28"	"6"	"11"	"4"	"4"	"9"	"231"	"0"	"231"	"0"
"217"	"142"	"251"	"37"	"120"	"8"	"11"	"6"	"9"	"15"	"457"	"0"	"457"	"0"
"218"	"143"	"328"	"36"	"172"	"16"	"16"	"11"	"6"	"26"	"611"	"0"	"611"	"0"
"219"	"144"	"407"	"33"	"89"	"8"	"23"	"10"	"5"	"18"	"593"	"0"	"593"	"0"
"220"	"145"	"450"	"23"	"6"	"5"	"25"	"10"	"3"	"7"	"529"	"0"	"529"	"0"
"221"	"146"	"59"	"7"	"168"	"8"	"4"	"14"	"4"	"11"	"275"	"0"	"275"	"0"
"222"	"147"	"308"	"8"	"28"	"4"	"16"	"4"	"2"	"9"	"379"	"0"	"379"	"0"
"223"	"148"	"636"	"6"	"50"	"0"	"4"	"4"	"0"	"1"	"701"	"0"	"701"	"0"
"224"	"149"	"146"	"23"	"128"	"11"	"12"	"22"	"18"	"24"	"384"	"0"	"384"	"0"
"225"	"150"	"142"	"24"	"253"	"12"	"20"	"40"	"10"	"22"	"523"	"0"	"523"	"0"
"226"	"151"	"90"	"7"	"94"	"2"	"10"	"7"	"2"	"3"	"215"	"0"	"215"	"0"
"227"	"152"	"89"	"3"	"203"	"7"	"4"	"12"	"0"	"10"	"328"	"0"	"328"	"0"
"228"	"153"	"288"	"51"	"126"	"15"	"10"	"26"	"34"	"42"	"592"	"0"	"592"	"0"
"229"	"154"	"109"	"20"	"135"	"20"	"6"	"16"	"7"	"16"	"329"	"0"	"329"	"0"
"230"	"Round
Total"	"3450"	"300"	"1600"	"122"	"172"	"186"	"104"	"213"	"6147"	"0"	"6147"	"0"
"231"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.12"	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"236"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"237"	"155"	"330"	"8"	"4"	"4"	"5"	"0"	"2"	"8"	"361"	"0"	"361"	"0"
"238"	"156"	"71"	"4"	"220"	"10"	"5"	"16"	"11"	"23"	"360"	"0"	"360"	"0"
"239"	"157"	"98"	"4"	"202"	"8"	"15"	"25"	"10"	"33"	"395"	"0"	"395"	"0"
"240"	"158"	"143"	"19"	"196"	"13"	"41"	"9"	"9"	"13"	"443"	"0"	"443"	"0"
"241"	"159"	"334"	"15"	"180"	"12"	"19"	"9"	"7"	"40"	"616"	"0"	"616"	"0"
"242"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Round
Total"	"976"	"50"	"802"	"47"	"85"	"59"	"39"	"117"	"2175"	""	"2175"	""
