"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"143"	"89"	"176"	"72"	"495"	"41"	"3"	"0"	"1"	"0"	"1"	"1"	"2"	"5"	"4"	"3"	"3"	"807"	"0"	"807"	"0"	""
"144"	"90"	"161"	"50"	"165"	"58"	"5"	"8"	"4"	"5"	"11"	"2"	"14"	"3"	"2"	"2"	"4"	"494"	"0"	"494"	"0"	""
"145"	"91"	"232"	"69"	"117"	"55"	"3"	"1"	"1"	"4"	"7"	"0"	"4"	"3"	"2"	"2"	"6"	"506"	"0"	"506"	"0"	""
"146"	"92"	"151"	"22"	"47"	"142"	"4"	"9"	"8"	"10"	"95"	"11"	"14"	"21"	"11"	"13"	"43"	"601"	"0"	"601"	"0"	""
"147"	"93"	"47"	"91"	"27"	"157"	"5"	"3"	"2"	"9"	"70"	"3"	"16"	"38"	"10"	"3"	"15"	"496"	"0"	"496"	"0"	""
"148"	"94"	"70"	"28"	"137"	"48"	"6"	"2"	"2"	"3"	"2"	"0"	"22"	"2"	"1"	"2"	"0"	"325"	"0"	"325"	"0"	""
"149"	"95"	"125"	"5"	"30"	"85"	"4"	"4"	"3"	"6"	"68"	"6"	"35"	"13"	"3"	"3"	"4"	"394"	"0"	"394"	"0"	""
"150"	"96"	"114"	"2"	"137"	"25"	"2"	"2"	"6"	"3"	"2"	"1"	"90"	"4"	"2"	"2"	"4"	"396"	"0"	"396"	"0"	""
"151"	"97"	"95"	"75"	"105"	"307"	"5"	"4"	"4"	"5"	"29"	"7"	"53"	"27"	"7"	"7"	"13"	"743"	"0"	"743"	"0"	""
"152"	"98"	"88"	"42"	"199"	"370"	"14"	"11"	"6"	"6"	"10"	"3"	"9"	"23"	"7"	"3"	"3"	"794"	"0"	"794"	"0"	""
"153"	";ksx"	"2096"	"529"	"1753"	"1431"	"66"	"60"	"48"	"68"	"444"	"45"	"292"	"149"	"60"	"50"	"113"	"7204"	"0"	"7204"	"0"	""
"154"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"161"	"99"	"30"	"28"	"23"	"432"	"8"	"2"	"0"	"9"	"32"	"2"	"20"	"17"	"9"	"1"	"2"	"615"	"0"	"615"	"0"	""
"162"	"100"	"182"	"19"	"38"	"182"	"5"	"4"	"4"	"5"	"29"	"13"	"94"	"29"	"6"	"4"	"11"	"625"	"0"	"625"	"0"	""
"163"	"101"	"103"	"254"	"97"	"118"	"5"	"3"	"3"	"6"	"1"	"13"	"14"	"23"	"3"	"10"	"20"	"673"	"0"	"673"	"0"	""
"164"	"102"	"59"	"25"	"57"	"130"	"2"	"1"	"1"	"5"	"13"	"4"	"292"	"8"	"1"	"0"	"2"	"600"	"0"	"600"	"0"	""
"165"	"103"	"66"	"121"	"28"	"232"	"4"	"4"	"6"	"4"	"4"	"6"	"135"	"7"	"4"	"1"	"4"	"626"	"0"	"626"	"0"	""
"166"	"104"	"6"	"6"	"39"	"323"	"5"	"5"	"3"	"7"	"108"	"1"	"6"	"10"	"1"	"0"	"1"	"521"	"0"	"521"	"0"	""
"167"	"105"	"130"	"110"	"36"	"160"	"4"	"1"	"2"	"2"	"42"	"4"	"8"	"10"	"1"	"1"	"11"	"522"	"0"	"522"	"0"	""
"168"	"106"	"10"	"23"	"40"	"244"	"2"	"8"	"6"	"14"	"216"	"5"	"34"	"10"	"11"	"1"	"4"	"628"	"0"	"628"	"0"	""
"169"	"107"	"21"	"7"	"16"	"11"	"3"	"5"	"20"	"18"	"288"	"7"	"39"	"4"	"1"	"7"	"14"	"461"	"0"	"461"	"0"	""
"170"	"108"	"26"	"5"	"95"	"31"	"2"	"4"	"2"	"3"	"143"	"6"	"152"	"2"	"1"	"1"	"2"	"475"	"0"	"475"	"0"	""
"171"	"109"	"84"	"86"	"18"	"111"	"5"	"8"	"15"	"26"	"248"	"20"	"152"	"20"	"5"	"13"	"15"	"826"	"0"	"826"	"0"	""
"172"	"110"	"53"	"6"	"93"	"50"	"7"	"4"	"10"	"20"	"226"	"8"	"100"	"5"	"8"	"2"	"2"	"594"	"0"	"594"	"0"	""
"173"	"111"	"79"	"55"	"19"	"18"	"0"	"4"	"15"	"13"	"150"	"5"	"12"	"6"	"6"	"2"	"6"	"390"	"0"	"390"	"0"	""
"174"	"112"	"53"	"44"	"86"	"29"	"6"	"2"	"6"	"10"	"197"	"5"	"19"	"5"	"10"	"3"	"13"	"488"	"0"	"488"	"0"	""
"175"	";ksx"	"902"	"789"	"685"	"2071"	"58"	"55"	"93"	"142"	"1697"	"99"	"1077"	"156"	"67"	"46"	"107"	"8044"	"0"	"8044"	"0"	""
"176"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"183"	"113"	"20"	"1"	"19"	"260"	"4"	"1"	"3"	"6"	"27"	"2"	"202"	"14"	"1"	"1"	"1"	"562"	"0"	"562"	"0"	""
"184"	"114"	"87"	"13"	"35"	"69"	"3"	"7"	"2"	"14"	"190"	"5"	"174"	"8"	"6"	"10"	"18"	"641"	"0"	"641"	"0"	""
"185"	"115"	"13"	"3"	"12"	"158"	"1"	"3"	"1"	"3"	"91"	"9"	"335"	"8"	"2"	"1"	"0"	"640"	"0"	"640"	"0"	""
"186"	"116"	"159"	"36"	"60"	"311"	"13"	"4"	"2"	"7"	"8"	"2"	"9"	"8"	"3"	"4"	"17"	"643"	"0"	"643"	"0"	""
"187"	"117"	"69"	"9"	"29"	"378"	"5"	"1"	"3"	"13"	"5"	"2"	"15"	"26"	"3"	"2"	"3"	"563"	"0"	"563"	"0"	""
"188"	"118"	"41"	"192"	"51"	"289"	"7"	"8"	"4"	"7"	"4"	"5"	"28"	"31"	"11"	"8"	"24"	"710"	"0"	"710"	"0"	""
"189"	"119"	"174"	"80"	"18"	"501"	"5"	"2"	"1"	"3"	"3"	"7"	"18"	"22"	"3"	"2"	"7"	"846"	"0"	"846"	"0"	""
"190"	"120"	"24"	"412"	"16"	"113"	"5"	"3"	"0"	"4"	"12"	"12"	"108"	"4"	"2"	"2"	"13"	"730"	"0"	"730"	"0"	""
"191"	"121"	"40"	"120"	"6"	"276"	"4"	"4"	"3"	"7"	"34"	"7"	"31"	"26"	"9"	"3"	"13"	"583"	"0"	"583"	"0"	""
"192"	"122"	"6"	"85"	"15"	"212"	"9"	"2"	"2"	"6"	"12"	"7"	"52"	"23"	"4"	"5"	"13"	"453"	"0"	"453"	"0"	""
"193"	"123"	"37"	"127"	"72"	"327"	"2"	"8"	"5"	"6"	"20"	"5"	"10"	"10"	"3"	"0"	"4"	"636"	"0"	"636"	"0"	""
"194"	"124"	"9"	"15"	"12"	"105"	"4"	"8"	"7"	"17"	"450"	"10"	"18"	"8"	"4"	"4"	"7"	"678"	"0"	"678"	"0"	""
"195"	"125"	"3"	"13"	"5"	"468"	"19"	"3"	"5"	"7"	"181"	"4"	"10"	"13"	"3"	"1"	"1"	"736"	"0"	"736"	"0"	""
"196"	"126"	"29"	"543"	"55"	"122"	"0"	"3"	"2"	"3"	"6"	"1"	"75"	"7"	"2"	"8"	"14"	"870"	"0"	"870"	"0"	""
"197"	";ksx"	"711"	"1649"	"405"	"3589"	"81"	"57"	"40"	"103"	"1043"	"78"	"1085"	"208"	"56"	"51"	"135"	"9291"	"0"	"9291"	"0"	""
"198"	"9                                                                                                                     fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"206"	"127"	"10"	"183"	"18"	"87"	"4"	"5"	"2"	"7"	"45"	"1"	"13"	"19"	"9"	"12"	"21"	"436"	"0"	"436"	"0"	""
"207"	"128"	"8"	"111"	"53"	"25"	"2"	"5"	"4"	"3"	"42"	"5"	"100"	"7"	"7"	"16"	"15"	"403"	"0"	"403"	"0"	""
"208"	"129"	"27"	"57"	"100"	"87"	"3"	"3"	"0"	"4"	"47"	"5"	"62"	"16"	"5"	"11"	"33"	"460"	"0"	"460"	"0"	""
"209"	"130"	"30"	"12"	"145"	"158"	"2"	"1"	"2"	"5"	"1"	"0"	"38"	"9"	"9"	"2"	"6"	"420"	"0"	"420"	"0"	""
"210"	"131"	"103"	"31"	"201"	"150"	"4"	"7"	"2"	"7"	"7"	"4"	"2"	"9"	"55"	"2"	"8"	"592"	"0"	"592"	"0"	""
"211"	"132"	"26"	"96"	"41"	"60"	"2"	"3"	"2"	"0"	"9"	"137"	"71"	"5"	"4"	"2"	"6"	"464"	"0"	"464"	"0"	""
"212"	"133"	"37"	"88"	"154"	"107"	"4"	"2"	"2"	"3"	"80"	"2"	"25"	"8"	"9"	"5"	"2"	"528"	"0"	"528"	"0"	""
"213"	"134"	"23"	"182"	"29"	"255"	"2"	"3"	"1"	"1"	"14"	"1"	"6"	"8"	"36"	"1"	"4"	"566"	"0"	"566"	"0"	""
"214"	"135"	"50"	"219"	"47"	"70"	"9"	"9"	"2"	"10"	"39"	"11"	"176"	"17"	"17"	"11"	"20"	"707"	"0"	"707"	"0"	""
"215"	"136"	"44"	"213"	"235"	"141"	"5"	"6"	"3"	"6"	"43"	"7"	"43"	"7"	"22"	"0"	"13"	"788"	"0"	"788"	"0"	""
"216"	"137"	"51"	"92"	"61"	"301"	"1"	"2"	"2"	"2"	"149"	"0"	"11"	"11"	"1"	"0"	"0"	"684"	"0"	"684"	"0"	""
"217"	"138"	"20"	"125"	"33"	"220"	"12"	"3"	"4"	"3"	"109"	"12"	"44"	"21"	"7"	"5"	"11"	"629"	"0"	"629"	"0"	""
"218"	"139"	"95"	"84"	"26"	"319"	"5"	"3"	"4"	"8"	"7"	"2"	"18"	"24"	"5"	"1"	"7"	"608"	"0"	"608"	"0"	""
"219"	"140"	"36"	"57"	"17"	"141"	"7"	"5"	"6"	"13"	"98"	"10"	"67"	"20"	"11"	"6"	"24"	"518"	"0"	"518"	"0"	""
"220"	";ksx"	"560"	"1550"	"1160"	"2121"	"62"	"57"	"36"	"72"	"690"	"197"	"676"	"181"	"197"	"74"	"170"	"7803"	"0"	"7803"	"0"	""
"221"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"228"	"141"	"60"	"58"	"23"	"253"	"7"	"4"	"5"	"7"	"36"	"23"	"219"	"28"	"10"	"6"	"37"	"776"	"0"	"776"	"0"	""
"229"	"142"	"21"	"199"	"16"	"372"	"7"	"3"	"3"	"4"	"22"	"3"	"10"	"19"	"8"	"7"	"12"	"706"	"0"	"706"	"0"	""
"230"	"143"	"19"	"111"	"76"	"61"	"7"	"4"	"0"	"8"	"7"	"7"	"174"	"11"	"9"	"5"	"4"	"503"	"0"	"503"	"0"	""
"231"	"144"	"16"	"114"	"95"	"353"	"4"	"9"	"2"	"6"	"77"	"6"	"62"	"21"	"12"	"8"	"16"	"801"	"0"	"801"	"0"	""
"232"	"145"	"110"	"18"	"34"	"204"	"4"	"3"	"1"	"5"	"10"	"2"	"40"	"9"	"2"	"0"	"3"	"445"	"0"	"445"	"0"	""
"233"	"146"	"138"	"106"	"120"	"385"	"6"	"9"	"3"	"6"	"3"	"7"	"40"	"32"	"10"	"9"	"19"	"893"	"0"	"893"	"0"	""
"234"	"147"	"34"	"64"	"310"	"69"	"18"	"5"	"2"	"6"	"47"	"4"	"25"	"11"	"8"	"5"	"3"	"611"	"0"	"611"	"0"	""
"235"	"148"	"77"	"70"	"70"	"260"	"8"	"6"	"8"	"12"	"10"	"7"	"38"	"32"	"84"	"5"	"17"	"704"	"0"	"704"	"0"	""
"236"	"149"	"70"	"22"	"17"	"131"	"7"	"6"	"3"	"15"	"29"	"18"	"166"	"27"	"12"	"10"	"24"	"557"	"0"	"557"	"0"	""
"237"	"150"	"263"	"40"	"72"	"38"	"3"	"7"	"2"	"6"	"5"	"4"	"100"	"19"	"7"	"7"	"22"	"595"	"0"	"595"	"0"	""
"238"	"151"	"87"	"138"	"60"	"357"	"6"	"6"	"1"	"4"	"7"	"3"	"35"	"15"	"15"	"2"	"9"	"745"	"0"	"745"	"0"	""
"239"	"152"	"178"	"234"	"62"	"146"	"5"	"11"	"1"	"5"	"12"	"7"	"21"	"19"	"11"	"22"	"33"	"767"	"0"	"767"	"0"	""
"240"	"153"	"73"	"90"	"75"	"72"	"7"	"5"	"0"	"5"	"52"	"3"	"4"	"8"	"2"	"6"	"12"	"414"	"0"	"414"	"0"	""
"241"	"154"	"96"	"42"	"74"	"121"	"8"	"2"	"1"	"3"	"56"	"4"	"19"	"19"	"33"	"3"	"12"	"493"	"0"	"493"	"0"	""
"242"	";ksx"	"1242"	"1306"	"1104"	"2822"	"97"	"80"	"32"	"92"	"373"	"98"	"953"	"270"	"223"	"95"	"223"	"9010"	"0"	"9010"	"0"	""
"243"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"250"	"155"	"38"	"90"	"64"	"250"	"7"	"6"	"0"	"10"	"10"	"1"	"179"	"11"	"87"	"4"	"4"	"761"	"0"	"761"	"0"	""
"251"	"156"	"8"	"99"	"155"	"139"	"24"	"7"	"1"	"4"	"6"	"3"	"259"	"15"	"14"	"5"	"3"	"742"	"0"	"742"	"0"	""
"252"	"157"	"248"	"9"	"45"	"111"	"3"	"5"	"3"	"3"	"37"	"5"	"33"	"7"	"48"	"3"	"2"	"562"	"0"	"562"	"0"	""
"253"	"158"	"134"	"123"	"53"	"47"	"3"	"3"	"3"	"4"	"12"	"5"	"1"	"4"	"6"	"1"	"5"	"404"	"0"	"404"	"0"	""
"254"	"159"	"14"	"28"	"5"	"108"	"3"	"3"	"4"	"9"	"13"	"7"	"15"	"33"	"385"	"9"	"13"	"649"	"0"	"649"	"0"	""
"255"	"160"	"91"	"9"	"14"	"136"	"2"	"4"	"2"	"11"	"26"	"1"	"7"	"7"	"145"	"2"	"1"	"458"	"0"	"458"	"0"	""
"256"	"161"	"153"	"44"	"41"	"197"	"7"	"5"	"5"	"8"	"10"	"6"	"59"	"41"	"21"	"3"	"7"	"607"	"0"	"607"	"0"	""
"257"	"162"	"92"	"86"	"39"	"141"	"9"	"3"	"0"	"7"	"41"	"2"	"36"	"13"	"19"	"4"	"9"	"501"	"0"	"501"	"0"	""
"258"	"163"	"132"	"22"	"24"	"191"	"1"	"2"	"0"	"4"	"1"	"6"	"19"	"1"	"3"	"0"	"2"	"408"	"0"	"408"	"0"	""
"259"	"164"	"130"	"32"	"156"	"47"	"4"	"10"	"4"	"5"	"24"	"5"	"10"	"8"	"12"	"7"	"15"	"469"	"0"	"469"	"0"	""
"260"	"165"	"36"	"12"	"178"	"56"	"6"	"6"	"2"	"6"	"4"	"4"	"15"	"7"	"7"	"9"	"11"	"359"	"0"	"359"	"0"	""
"261"	"166"	"63"	"52"	"84"	"127"	"6"	"6"	"4"	"5"	"137"	"7"	"63"	"25"	"6"	"1"	"19"	"605"	"0"	"605"	"0"	""
"262"	"167"	"9"	"14"	"40"	"281"	"11"	"0"	"1"	"1"	"29"	"0"	"33"	"5"	"2"	"1"	"1"	"428"	"0"	"428"	"0"	""
"263"	"168"	"16"	"12"	"46"	"211"	"4"	"3"	"2"	"9"	"26"	"8"	"84"	"27"	"7"	"5"	"19"	"479"	"0"	"479"	"0"	""
"264"	";ksx"	"1164"	"632"	"944"	"2042"	"90"	"63"	"31"	"86"	"376"	"60"	"813"	"204"	"762"	"54"	"111"	"7432"	"0"	"7432"	"0"	""
"265"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"272"	"169"	"91"	"40"	"63"	"166"	"5"	"4"	"3"	"5"	"100"	"0"	"4"	"7"	"3"	"2"	"4"	"497"	"0"	"497"	"0"	""
"273"	"170"	"54"	"64"	"42"	"102"	"2"	"4"	"5"	"10"	"112"	"5"	"37"	"13"	"14"	"7"	"8"	"479"	"0"	"479"	"0"	""
"274"	"171"	"23"	"28"	"52"	"324"	"6"	"5"	"2"	"14"	"2"	"2"	"15"	"39"	"7"	"3"	"7"	"529"	"0"	"529"	"0"	""
"275"	"172"	"121"	"109"	"108"	"239"	"6"	"3"	"2"	"9"	"36"	"2"	"14"	"12"	"6"	"2"	"8"	"677"	"0"	"677"	"0"	""
"276"	"173"	"77"	"28"	"18"	"66"	"0"	"1"	"0"	"1"	"18"	"1"	"4"	"9"	"1"	"5"	"6"	"235"	"0"	"235"	"0"	""
"277"	"174"	"237"	"76"	"50"	"102"	"4"	"5"	"2"	"10"	"33"	"6"	"23"	"19"	"8"	"10"	"23"	"608"	"0"	"608"	"0"	""
"278"	"175"	"234"	"12"	"41"	"16"	"1"	"3"	"2"	"1"	"8"	"9"	"40"	"2"	"7"	"3"	"11"	"390"	"0"	"390"	"0"	""
"279"	"176"	"308"	"79"	"49"	"35"	"3"	"8"	"1"	"5"	"23"	"1"	"29"	"4"	"6"	"1"	"7"	"559"	"0"	"559"	"0"	""
"280"	"177"	"80"	"7"	"48"	"116"	"2"	"5"	"3"	"6"	"4"	"2"	"23"	"5"	"0"	"0"	"3"	"304"	"0"	"304"	"0"	""
"281"	"178"	"154"	"113"	"32"	"105"	"2"	"1"	"3"	"5"	"55"	"5"	"56"	"10"	"8"	"5"	"23"	"577"	"0"	"577"	"0"	""
"282"	"179"	"124"	"37"	"17"	"83"	"4"	"6"	"3"	"12"	"34"	"12"	"49"	"19"	"7"	"3"	"29"	"439"	"0"	"439"	"0"	""
"283"	"180"	"109"	"11"	"8"	"13"	"4"	"3"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"3"	"156"	"0"	"156"	"0"	""
"284"	"181"	"130"	"13"	"7"	"43"	"3"	"1"	"0"	"1"	"2"	"2"	"2"	"4"	"3"	"3"	"5"	"219"	"0"	"219"	"0"	""
"285"	"182"	"78"	"20"	"39"	"120"	"1"	"0"	"0"	"5"	"7"	"0"	"10"	"2"	"1"	"0"	"2"	"285"	"0"	"285"	"0"	""
"286"	";ksx"	"1820"	"637"	"574"	"1530"	"43"	"49"	"26"	"84"	"438"	"48"	"306"	"145"	"71"	"44"	"139"	"5954"	"0"	"5954"	"0"	""
"287"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
