"Election.to.the.Bihar.Legislative.Assembly.from.the.234.Gurua..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"103"	"Total"	"807"	""	""	"370"	""	""	"3272"	""	""	"63"	""	""	"1997"	""	""	"54"	""	""	"47"	""	"14"	""	"20"	""	"18"	""	"74"	""	"6736"	""	""	"0"	""	""	"6736"	""	""	""	""	""	""	""
"104"	"Place         Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"106"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"108"	"70"	"18"	""	""	"3"	""	""	"156"	""	""	"10"	""	""	"150"	""	""	"5"	""	""	"4"	""	"7"	""	"2"	""	"2"	""	"14"	""	"371"	""	""	"0"	""	""	"371"	""	""	""	""	""	""	""
"109"	"71"	"195"	""	""	"17"	""	""	"169"	""	""	"6"	""	""	"31"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"2"	""	"3"	""	"425"	""	""	"0"	""	""	"425"	""	""	""	""	""	""	""
"110"	"72"	"266"	""	""	"13"	""	""	"126"	""	""	"5"	""	""	"72"	""	""	"4"	""	""	"3"	""	"4"	""	"2"	""	"0"	""	"5"	""	"500"	""	""	"0"	""	""	"500"	""	""	""	""	""	""	""
"111"	"73"	"37"	""	""	"8"	""	""	"212"	""	""	"12"	""	""	"131"	""	""	"9"	""	""	"14"	""	"12"	""	"8"	""	"9"	""	"27"	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	""	""	""
"112"	"74"	"96"	""	""	"41"	""	""	"111"	""	""	"8"	""	""	"42"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"3"	""	"303"	""	""	"0"	""	""	"303"	""	""	""	""	""	""	""
"113"	"75"	"60"	""	""	"2"	""	""	"156"	""	""	"1"	""	""	"41"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"262"	""	""	"0"	""	""	"262"	""	""	""	""	""	""	""
"114"	"76"	"6"	""	""	"3"	""	""	"136"	""	""	"18"	""	""	"45"	""	""	"5"	""	""	"6"	""	"5"	""	"8"	""	"4"	""	"11"	""	"247"	""	""	"0"	""	""	"247"	""	""	""	""	""	""	""
"115"	"77"	"95"	""	""	"13"	""	""	"250"	""	""	"9"	""	""	"276"	""	""	"8"	""	""	"8"	""	"9"	""	"5"	""	"4"	""	"5"	""	"682"	""	""	"0"	""	""	"682"	""	""	""	""	""	""	""
"116"	"78"	"55"	""	""	"34"	""	""	"247"	""	""	"2"	""	""	"376"	""	""	"2"	""	""	"1"	""	"1"	""	"1"	""	"0"	""	"6"	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""
"117"	"79"	"164"	""	""	"58"	""	""	"104"	""	""	"9"	""	""	"96"	""	""	"4"	""	""	"3"	""	"3"	""	"1"	""	"3"	""	"16"	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""
"118"	"80"	"3"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"135"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"143"	""	""	"0"	""	""	"143"	""	""	""	""	""	""	""
"119"	"81"	"425"	""	""	"10"	""	""	"33"	""	""	"0"	""	""	"107"	""	""	"5"	""	""	"4"	""	"5"	""	"7"	""	"1"	""	"18"	""	"615"	""	""	"0"	""	""	"615"	""	""	""	""	""	""	""
"120"	"82"	"9"	""	""	"3"	""	""	"40"	""	""	"2"	""	""	"199"	""	""	"2"	""	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"257"	""	""	"0"	""	""	"257"	""	""	""	""	""	""	""
"121"	"83"	"15"	""	""	"6"	""	""	"172"	""	""	"2"	""	""	"159"	""	""	"4"	""	""	"6"	""	"3"	""	"1"	""	"0"	""	"8"	""	"376"	""	""	"0"	""	""	"376"	""	""	""	""	""	""	""
"122"	"Total"	"1444"	""	""	"214"	""	""	"1912"	""	""	"84"	""	""	"1860"	""	""	"53"	""	""	"51"	""	"49"	""	"38"	""	"25"	""	"116"	""	"5846"	""	""	"0"	""	""	"5846"	""	""	""	""	""	""	""
"123"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"124"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"126"	"84"	"36"	""	""	"64"	""	""	"235"	""	""	"9"	""	""	"7"	""	""	"2"	""	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	"358"	""	""	"0"	""	""	"358"	""	""	""	""	""	""	""
"127"	"85"	"128"	""	""	"4"	""	""	"195"	""	""	"3"	""	""	"376"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"2"	""	"710"	""	""	"0"	""	""	"710"	""	""	""	""	""	""	""
"128"	"86"	"15"	""	""	"9"	""	""	"172"	""	""	"9"	""	""	"367"	""	""	"2"	""	""	"2"	""	"6"	""	"3"	""	"0"	""	"5"	""	"590"	""	""	"0"	""	""	"590"	""	""	""	""	""	""	""
"129"	"87"	"22"	""	""	"11"	""	""	"152"	""	""	"8"	""	""	"316"	""	""	"0"	""	""	"1"	""	"2"	""	"1"	""	"5"	""	"16"	""	"534"	""	""	"0"	""	""	"534"	""	""	""	""	""	""	""
"130"	"88"	"26"	""	""	"2"	""	""	"259"	""	""	"7"	""	""	"14"	""	""	"3"	""	""	"3"	""	"3"	""	"6"	""	"7"	""	"10"	""	"340"	""	""	"0"	""	""	"340"	""	""	""	""	""	""	""
"131"	"89"	"1"	""	""	"4"	""	""	"28"	""	""	"3"	""	""	"441"	""	""	"0"	""	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	""	""	""
"132"	"90"	"47"	""	""	"55"	""	""	"209"	""	""	"14"	""	""	"170"	""	""	"13"	""	""	"7"	""	"16"	""	"2"	""	"1"	""	"13"	""	"547"	""	""	"0"	""	""	"547"	""	""	""	""	""	""	""
"133"	"91"	"30"	""	""	"10"	""	""	"126"	""	""	"5"	""	""	"44"	""	""	"4"	""	""	"0"	""	"3"	""	"2"	""	"0"	""	"0"	""	"224"	""	""	"0"	""	""	"224"	""	""	""	""	""	""	""
"134"	"92"	"6"	""	""	"3"	""	""	"51"	""	""	"6"	""	""	"205"	""	""	"7"	""	""	"2"	""	"3"	""	"4"	""	"1"	""	"9"	""	"297"	""	""	"0"	""	""	"297"	""	""	""	""	""	""	""
"135"	"93"	"91"	""	""	"1"	""	""	"77"	""	""	"5"	""	""	"12"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"4"	""	"191"	""	""	"0"	""	""	"191"	""	""	""	""	""	""	""
"136"	"94"	"7"	""	""	"35"	""	""	"53"	""	""	"7"	""	""	"259"	""	""	"1"	""	""	"1"	""	"3"	""	"2"	""	"3"	""	"9"	""	"380"	""	""	"0"	""	""	"380"	""	""	""	""	""	""	""
"137"	"95"	"46"	""	""	"33"	""	""	"61"	""	""	"2"	""	""	"202"	""	""	"3"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	"4"	""	"353"	""	""	"0"	""	""	"353"	""	""	""	""	""	""	""
"138"	"96"	"102"	""	""	"44"	""	""	"138"	""	""	"12"	""	""	"444"	""	""	"7"	""	""	"9"	""	"5"	""	"6"	""	"0"	""	"13"	""	"780"	""	""	"0"	""	""	"780"	""	""	""	""	""	""	""
"139"	"97"	"42"	""	""	"2"	""	""	"505"	""	""	"3"	""	""	"203"	""	""	"1"	""	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	""	"759"	""	""	"0"	""	""	"759"	""	""	""	""	""	""	""
"140"	"Total"	"599"	""	""	"277"	""	""	"2261"	""	""	"93"	""	""	"3060"	""	""	"44"	""	""	"29"	""	"43"	""	"32"	""	"18"	""	"86"	""	"6542"	""	""	"0"	""	""	"6542"	""	""	""	""	""	""	""
"141"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"142"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"144"	"98"	"10"	""	""	"17"	""	""	"207"	""	""	"11"	""	""	"129"	""	""	"7"	""	""	"8"	""	"6"	""	"2"	""	"1"	""	"11"	""	"409"	""	""	"0"	""	""	"409"	""	""	""	""	""	""	""
"145"	"99"	"31"	""	""	"42"	""	""	"205"	""	""	"7"	""	""	"161"	""	""	"9"	""	""	"8"	""	"5"	""	"2"	""	"1"	""	"22"	""	"493"	""	""	"0"	""	""	"493"	""	""	""	""	""	""	""
"146"	"100"	"20"	""	""	"19"	""	""	"25"	""	""	"1"	""	""	"300"	""	""	"6"	""	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"374"	""	""	"0"	""	""	"374"	""	""	""	""	""	""	""
"147"	"101"	"48"	""	""	"37"	""	""	"32"	""	""	"2"	""	""	"222"	""	""	"3"	""	""	"3"	""	"1"	""	"0"	""	"0"	""	"5"	""	"353"	""	""	"0"	""	""	"353"	""	""	""	""	""	""	""
"148"	"102"	"22"	""	""	"87"	""	""	"39"	""	""	"4"	""	""	"71"	""	""	"5"	""	""	"5"	""	"2"	""	"3"	""	"1"	""	"18"	""	"257"	""	""	"0"	""	""	"257"	""	""	""	""	""	""	""
"149"	"103"	"9"	""	""	"1"	""	""	"176"	""	""	"2"	""	""	"10"	""	""	"1"	""	""	"1"	""	"0"	""	"17"	""	"0"	""	"1"	""	"218"	""	""	"0"	""	""	"218"	""	""	""	""	""	""	""
"150"	"104"	"164"	""	""	"5"	""	""	"151"	""	""	"20"	""	""	"9"	""	""	"6"	""	""	"2"	""	"4"	""	"9"	""	"2"	""	"7"	""	"379"	""	""	"0"	""	""	"379"	""	""	""	""	""	""	""
"151"	"105"	"185"	""	""	"7"	""	""	"56"	""	""	"3"	""	""	"335"	""	""	"5"	""	""	"1"	""	"4"	""	"2"	""	"0"	""	"8"	""	"606"	""	""	"0"	""	""	"606"	""	""	""	""	""	""	""
"152"	"106"	"135"	""	""	"43"	""	""	"79"	""	""	"8"	""	""	"175"	""	""	"15"	""	""	"5"	""	"10"	""	"9"	""	"6"	""	"46"	""	"531"	""	""	"0"	""	""	"531"	""	""	""	""	""	""	""
"153"	"107"	"281"	""	""	"100"	""	""	"64"	""	""	"5"	""	""	"125"	""	""	"3"	""	""	"4"	""	"2"	""	"5"	""	"1"	""	"14"	""	"604"	""	""	"0"	""	""	"604"	""	""	""	""	""	""	""
"154"	"108"	"97"	""	""	"12"	""	""	"75"	""	""	"14"	""	""	"310"	""	""	"13"	""	""	"5"	""	"6"	""	"27"	""	"2"	""	"27"	""	"588"	""	""	"0"	""	""	"588"	""	""	""	""	""	""	""
"155"	"109"	"18"	""	""	"10"	""	""	"278"	""	""	"1"	""	""	"251"	""	""	"1"	""	""	"5"	""	"1"	""	"0"	""	"0"	""	"10"	""	"575"	""	""	"0"	""	""	"575"	""	""	""	""	""	""	""
"156"	"110"	"7"	""	""	"53"	""	""	"250"	""	""	"1"	""	""	"139"	""	""	"4"	""	""	"4"	""	"4"	""	"0"	""	"4"	""	"9"	""	"475"	""	""	"0"	""	""	"475"	""	""	""	""	""	""	""
"157"	"111"	"144"	""	""	"39"	""	""	"94"	""	""	"5"	""	""	"115"	""	""	"4"	""	""	"6"	""	"6"	""	"5"	""	"5"	""	"20"	""	"443"	""	""	"0"	""	""	"443"	""	""	""	""	""	""	""
"158"	"Total"	"1171"	""	""	"472"	""	""	"1731"	""	""	"84"	""	""	"2352"	""	""	"82"	""	""	"57"	""	"51"	""	"83"	""	"23"	""	"199"	""	"6305"	""	""	"0"	""	""	"6305"	""	""	""	""	""	""	""
"159"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"160"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"162"	"112"	"143"	""	""	"6"	""	""	"42"	""	""	"5"	""	""	"319"	""	""	"8"	""	""	"4"	""	"4"	""	"6"	""	"5"	""	"15"	""	"557"	""	""	"0"	""	""	"557"	""	""	""	""	""	""	""
"163"	"113"	"258"	""	""	"12"	""	""	"111"	""	""	"2"	""	""	"357"	""	""	"6"	""	""	"3"	""	"3"	""	"1"	""	"1"	""	"11"	""	"765"	""	""	"0"	""	""	"765"	""	""	""	""	""	""	""
"164"	"114"	"7"	""	""	"8"	""	""	"616"	""	""	"8"	""	""	"65"	""	""	"9"	""	""	"0"	""	"5"	""	"2"	""	"0"	""	"7"	""	"727"	""	""	"0"	""	""	"727"	""	""	""	""	""	""	""
"165"	"115"	"6"	""	""	"1"	""	""	"384"	""	""	"3"	""	""	"31"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"428"	""	""	"0"	""	""	"428"	""	""	""	""	""	""	""
"166"	"116"	"37"	""	""	"8"	""	""	"244"	""	""	"14"	""	""	"97"	""	""	"5"	""	""	"4"	""	"3"	""	"2"	""	"1"	""	"8"	""	"423"	""	""	"0"	""	""	"423"	""	""	""	""	""	""	""
"167"	"117"	"2"	""	""	"0"	""	""	"173"	""	""	"3"	""	""	"113"	""	""	"2"	""	""	"1"	""	"0"	""	"1"	""	"1"	""	"5"	""	"301"	""	""	"0"	""	""	"301"	""	""	""	""	""	""	""
"168"	"118"	"15"	""	""	"4"	""	""	"97"	""	""	"2"	""	""	"86"	""	""	"3"	""	""	"1"	""	"1"	""	"1"	""	"2"	""	"2"	""	"214"	""	""	"0"	""	""	"214"	""	""	""	""	""	""	""
"169"	"119"	"97"	""	""	"2"	""	""	"38"	""	""	"0"	""	""	"42"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	"182"	""	""	"0"	""	""	"182"	""	""	""	""	""	""	""
"170"	"120"	"80"	""	""	"15"	""	""	"126"	""	""	"14"	""	""	"135"	""	""	"6"	""	""	"0"	""	"7"	""	"5"	""	"5"	""	"24"	""	"417"	""	""	"0"	""	""	"417"	""	""	""	""	""	""	""
"171"	"121"	"4"	""	""	"19"	""	""	"443"	""	""	"5"	""	""	"64"	""	""	"3"	""	""	"1"	""	"5"	""	"0"	""	"0"	""	"5"	""	"549"	""	""	"0"	""	""	"549"	""	""	""	""	""	""	""
"172"	"122"	"57"	""	""	"4"	""	""	"44"	""	""	"3"	""	""	"166"	""	""	"7"	""	""	"2"	""	"1"	""	"1"	""	"0"	""	"5"	""	"290"	""	""	"0"	""	""	"290"	""	""	""	""	""	""	""
"173"	"123"	"74"	""	""	"45"	""	""	"21"	""	""	"2"	""	""	"194"	""	""	"4"	""	""	"2"	""	"2"	""	"5"	""	"3"	""	"19"	""	"371"	""	""	"0"	""	""	"371"	""	""	""	""	""	""	""
"174"	"124"	"39"	""	""	"68"	""	""	"232"	""	""	"6"	""	""	"85"	""	""	"5"	""	""	"3"	""	"6"	""	"5"	""	"4"	""	"16"	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	""	""	""
"175"	"125"	"5"	""	""	"1"	""	""	"773"	""	""	"4"	""	""	"37"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"821"	""	""	"0"	""	""	"821"	""	""	""	""	""	""	""
"176"	"Total"	"824"	""	""	"193"	""	""	"3344"	""	""	"71"	""	""	"1791"	""	""	"62"	""	""	"21"	""	"37"	""	"30"	""	"22"	""	"119"	""	"6514"	""	""	"0"	""	""	"6514"	""	""	""	""	""	""	""
"177"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	"Total No. of tendered votes"	""	""	""	""	""
"178"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	"16"	""	""	""	""	""
"180"	"126"	"94"	""	""	"48"	""	""	"83"	""	""	"9"	""	""	"68"	""	""	"4"	""	""	"4"	""	"5"	""	"4"	""	"4"	""	"20"	""	"343"	""	""	"0"	""	""	"343"	""	""	""	""	""	""	""
"181"	"127"	"270"	""	""	"59"	""	""	"154"	""	""	"6"	""	""	"39"	""	""	"2"	""	""	"1"	""	"1"	""	"2"	""	"2"	""	"8"	""	"544"	""	""	"0"	""	""	"544"	""	""	""	""	""	""	""
"182"	"128"	"23"	""	""	"1"	""	""	"496"	""	""	"1"	""	""	"9"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"531"	""	""	"0"	""	""	"531"	""	""	""	""	""	""	""
"183"	"129"	"340"	""	""	"2"	""	""	"42"	""	""	"2"	""	""	"31"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"418"	""	""	"0"	""	""	"418"	""	""	""	""	""	""	""
"184"	"130"	"5"	""	""	"2"	""	""	"277"	""	""	"4"	""	""	"21"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"315"	""	""	"0"	""	""	"315"	""	""	""	""	""	""	""
"185"	"131"	"81"	""	""	"30"	""	""	"111"	""	""	"12"	""	""	"73"	""	""	"7"	""	""	"3"	""	"6"	""	"3"	""	"1"	""	"8"	""	"335"	""	""	"0"	""	""	"335"	""	""	""	""	""	""	""
"186"	"132"	"32"	""	""	"2"	""	""	"271"	""	""	"4"	""	""	"230"	""	""	"2"	""	""	"1"	""	"1"	""	"0"	""	"0"	""	"2"	""	"545"	""	""	"0"	""	""	"545"	""	""	""	""	""	""	""
"187"	"133"	"77"	""	""	"3"	""	""	"118"	""	""	"6"	""	""	"15"	""	""	"2"	""	""	"1"	""	"1"	""	"4"	""	"0"	""	"3"	""	"230"	""	""	"0"	""	""	"230"	""	""	""	""	""	""	""
"188"	"134"	"3"	""	""	"8"	""	""	"797"	""	""	"2"	""	""	"5"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"816"	""	""	"0"	""	""	"816"	""	""	""	""	""	""	""
"189"	"135"	"12"	""	""	"7"	""	""	"232"	""	""	"7"	""	""	"102"	""	""	"8"	""	""	"3"	""	"2"	""	"4"	""	"0"	""	"4"	""	"381"	""	""	"0"	""	""	"381"	""	""	""	""	""	""	""
"190"	"136"	"117"	""	""	"12"	""	""	"71"	""	""	"5"	""	""	"9"	""	""	"3"	""	""	"5"	""	"3"	""	"3"	""	"6"	""	"9"	""	"243"	""	""	"0"	""	""	"243"	""	""	""	""	""	""	""
"191"	"137"	"145"	""	""	"8"	""	""	"109"	""	""	"4"	""	""	"48"	""	""	"6"	""	""	"2"	""	"4"	""	"3"	""	"5"	""	"21"	""	"355"	""	""	"0"	""	""	"355"	""	""	""	""	""	""	""
"192"	"138"	"374"	""	""	"2"	""	""	"278"	""	""	"1"	""	""	"8"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"665"	""	""	"0"	""	""	"665"	""	""	""	""	""	""	""
"193"	"139"	"12"	""	""	"1"	""	""	"16"	""	""	"2"	""	""	"349"	""	""	"4"	""	""	"3"	""	"1"	""	"0"	""	"0"	""	"7"	""	"395"	""	""	"0"	""	""	"395"	""	""	""	""	""	""	""
"194"	"Total"	"1585"	""	""	"185"	""	""	"3055"	""	""	"65"	""	""	"1007"	""	""	"40"	""	""	"24"	""	"25"	""	"24"	""	"21"	""	"85"	""	"6116"	""	""	"0"	""	""	"6116"	""	""	""	""	""	""	""
"195"	"Place         Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Date          27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"199"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"201"	"140"	"66"	""	""	"18"	""	""	"235"	""	""	"6"	""	""	"19"	""	""	"2"	""	""	"3"	""	"2"	""	"0"	""	"0"	""	"3"	""	"354"	""	""	"0"	""	""	"354"	""	""	""	""	""	""	""
"202"	"141"	"57"	""	""	"30"	""	""	"129"	""	""	"9"	""	""	"223"	""	""	"6"	""	""	"6"	""	"7"	""	"5"	""	"3"	""	"21"	""	"496"	""	""	"0"	""	""	"496"	""	""	""	""	""	""	""
"203"	"142"	"22"	""	""	"23"	""	""	"182"	""	""	"6"	""	""	"151"	""	""	"7"	""	""	"1"	""	"6"	""	"0"	""	"2"	""	"6"	""	"406"	""	""	"0"	""	""	"406"	""	""	""	""	""	""	""
"204"	"143"	"18"	""	""	"3"	""	""	"814"	""	""	"3"	""	""	"46"	""	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"1"	""	"3"	""	"891"	""	""	"0"	""	""	"891"	""	""	""	""	""	""	""
