"Sl.No..of.Polling.Station"	"No.of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"152"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"153"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"154"	"Total..."	"2663"	"9794"	"1706"	"619"	"1638"	"3950"	"1947"	"1252"	"10692"	"19747"	"1947"	"1252"	"10692"	"2552"	"60874"	"NIL"	"60874"	"0"
"155"	"113"	"16"	"39"	"7"	"9"	"8"	"2"	"34"	"14"	"8"	"390"	"34"	"14"	"8"	"17"	"754"	"NIL"	"754"	"0"
"156"	"114"	"14"	"35"	"2"	"6"	"12"	"2"	"10"	"9"	"11"	"300"	"10"	"9"	"11"	"18"	"434"	"NIL"	"434"	"0"
"157"	"115"	"8"	"66"	"12"	"3"	"3"	"5"	"33"	"9"	"21"	"397"	"33"	"9"	"21"	"35"	"628"	"NIL"	"628"	"0"
"158"	"116"	"11"	"121"	"20"	"10"	"22"	"2"	"41"	"13"	"9"	"324"	"41"	"13"	"9"	"28"	"629"	"NIL"	"629"	"0"
"159"	"117"	"4"	"82"	"9"	"9"	"6"	"4"	"30"	"19"	"23"	"357"	"30"	"19"	"23"	"32"	"634"	"NIL"	"634"	"0"
"160"	"118"	"4"	"27"	"1"	"4"	"5"	"2"	"8"	"9"	"8"	"333"	"8"	"9"	"8"	"34"	"464"	"NIL"	"464"	"0"
"161"	"119"	"8"	"76"	"25"	"6"	"7"	"2"	"80"	"16"	"16"	"329"	"80"	"16"	"16"	"15"	"597"	"NIL"	"597"	"0"
"162"	"120"	"5"	"80"	"7"	"5"	"10"	"0"	"200"	"14"	"3"	"144"	"200"	"14"	"3"	"28"	"520"	"NIL"	"520"	"0"
"163"	"121"	"14"	"22"	"2"	"7"	"5"	"10"	"285"	"18"	"11"	"159"	"285"	"18"	"11"	"9"	"552"	"NIL"	"552"	"0"
"164"	"122"	"3"	"7"	"5"	"2"	"1"	"7"	"479"	"5"	"7"	"66"	"479"	"5"	"7"	"1"	"584"	"NIL"	"584"	"0"
"165"	"123"	"5"	"22"	"6"	"1"	"3"	"5"	"268"	"11"	"5"	"111"	"268"	"11"	"5"	"6"	"460"	"NIL"	"460"	"0"
"166"	"124"	"7"	"90"	"6"	"9"	"9"	"2"	"19"	"5"	"9"	"164"	"19"	"5"	"9"	"14"	"379"	"NIL"	"379"	"0"
"167"	"125"	"6"	"39"	"1"	"3"	"8"	"2"	"41"	"4"	"7"	"250"	"41"	"4"	"7"	"2"	"367"	"NIL"	"367"	"0"
"168"	"126"	"3"	"23"	"8"	"7"	"9"	"6"	"80"	"9"	"47"	"202"	"80"	"9"	"47"	"11"	"434"	"NIL"	"434"	"0"
"169"	"Total..."	"2771"	"10523"	"1817"	"700"	"1746"	"4001"	"3555"	"1407"	"10877"	"23273"	"3555"	"1407"	"10877"	"2802"	"68310"	"NIL"	"68310"	"0"
"170"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"171"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"173"	"Total..."	"2771"	"10523"	"1817"	"700"	"1746"	"4001"	"3555"	"1407"	"10877"	"23273"	"3555"	"1407"	"10877"	"2802"	"68310"	"NIL"	"68310"	"0"
"174"	"127"	"8"	"38"	"20"	"12"	"3"	"5"	"65"	"10"	"18"	"308"	"65"	"10"	"18"	"6"	"561"	"NIL"	"561"	"0"
"175"	"128"	"7"	"27"	"10"	"0"	"9"	"5"	"119"	"10"	"12"	"237"	"119"	"10"	"12"	"18"	"477"	"NIL"	"477"	"0"
"176"	"129"	"8"	"21"	"6"	"13"	"5"	"1"	"217"	"19"	"7"	"304"	"217"	"19"	"7"	"7"	"622"	"NIL"	"622"	"0"
"177"	"130"	"6"	"114"	"6"	"11"	"8"	"2"	"18"	"16"	"9"	"297"	"18"	"16"	"9"	"31"	"559"	"NIL"	"559"	"0"
"178"	"131"	"25"	"64"	"18"	"24"	"9"	"3"	"13"	"17"	"17"	"207"	"13"	"17"	"17"	"45"	"592"	"NIL"	"592"	"0"
"179"	"132"	"9"	"30"	"3"	"3"	"6"	"6"	"1"	"11"	"4"	"340"	"1"	"11"	"4"	"19"	"480"	"NIL"	"480"	"0"
"180"	"133"	"5"	"4"	"8"	"7"	"0"	"0"	"8"	"3"	"1"	"30"	"8"	"3"	"1"	"6"	"131"	"NIL"	"131"	"0"
"181"	"134"	"12"	"33"	"0"	"5"	"1"	"0"	"6"	"5"	"1"	"289"	"6"	"5"	"1"	"7"	"369"	"NIL"	"369"	"0"
"182"	"135"	"10"	"23"	"3"	"7"	"3"	"1"	"2"	"14"	"4"	"170"	"2"	"14"	"4"	"8"	"263"	"NIL"	"263"	"0"
"183"	"136"	"8"	"62"	"23"	"2"	"4"	"0"	"8"	"12"	"132"	"391"	"8"	"12"	"132"	"29"	"692"	"NIL"	"692"	"0"
"184"	"137"	"25"	"22"	"4"	"1"	"1"	"1"	"4"	"4"	"157"	"87"	"4"	"4"	"157"	"4"	"324"	"NIL"	"324"	"0"
"185"	"138"	"12"	"37"	"6"	"13"	"4"	"1"	"2"	"4"	"5"	"372"	"2"	"4"	"5"	"12"	"486"	"NIL"	"486"	"0"
"186"	"139"	"10"	"52"	"3"	"3"	"5"	"4"	"7"	"15"	"83"	"261"	"7"	"15"	"83"	"18"	"486"	"NIL"	"486"	"0"
"187"	"140"	"9"	"54"	"9"	"3"	"5"	"1"	"5"	"23"	"20"	"311"	"5"	"23"	"20"	"9"	"471"	"NIL"	"471"	"0"
"188"	"Total..."	"2925"	"11104"	"1936"	"804"	"1809"	"4031"	"4030"	"1570"	"11347"	"26877"	"4030"	"1570"	"11347"	"3021"	"74823"	"NIL"	"74823"	"0"
"189"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"190"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"192"	"Total..."	"2925"	"11104"	"1936"	"804"	"1809"	"4031"	"4030"	"1570"	"11347"	"26877"	"4030"	"1570"	"11347"	"3021"	"74823"	"NIL"	"74823"	"0"
"193"	"141"	"15"	"30"	"1"	"2"	"7"	"2"	"3"	"7"	"21"	"287"	"3"	"7"	"21"	"18"	"403"	"NIL"	"403"	"0"
"194"	"142"	"13"	"33"	"4"	"1"	"4"	"1"	"4"	"9"	"119"	"121"	"4"	"9"	"119"	"8"	"332"	"NIL"	"332"	"0"
"195"	"143"	"3"	"59"	"5"	"0"	"4"	"6"	"2"	"8"	"21"	"418"	"2"	"8"	"21"	"12"	"555"	"NIL"	"555"	"0"
"196"	"144"	"18"	"29"	"8"	"2"	"6"	"10"	"6"	"8"	"29"	"331"	"6"	"8"	"29"	"24"	"493"	"NIL"	"493"	"0"
"197"	"145"	"5"	"6"	"2"	"0"	"0"	"22"	"2"	"5"	"18"	"375"	"2"	"5"	"18"	"27"	"481"	"NIL"	"481"	"0"
"198"	"146"	"5"	"38"	"2"	"4"	"4"	"0"	"6"	"11"	"10"	"402"	"6"	"11"	"10"	"8"	"511"	"NIL"	"511"	"0"
"199"	"147"	"12"	"31"	"5"	"10"	"3"	"4"	"11"	"9"	"11"	"517"	"11"	"9"	"11"	"45"	"689"	"NIL"	"689"	"0"
"200"	"148"	"15"	"110"	"4"	"36"	"5"	"4"	"17"	"11"	"28"	"315"	"17"	"11"	"28"	"14"	"573"	"NIL"	"573"	"0"
"201"	"149"	"21"	"80"	"9"	"69"	"5"	"2"	"4"	"15"	"73"	"352"	"4"	"15"	"73"	"12"	"658"	"NIL"	"658"	"0"
"202"	"150"	"15"	"86"	"26"	"35"	"7"	"0"	"10"	"14"	"43"	"397"	"10"	"14"	"43"	"27"	"691"	"NIL"	"691"	"0"
"203"	"151"	"6"	"2"	"4"	"0"	"2"	"0"	"4"	"11"	"109"	"217"	"4"	"11"	"109"	"5"	"372"	"NIL"	"372"	"0"
"204"	"152"	"6"	"23"	"1"	"3"	"0"	"7"	"3"	"14"	"22"	"604"	"3"	"14"	"22"	"42"	"774"	"NIL"	"774"	"0"
"205"	"153"	"27"	"43"	"8"	"4"	"5"	"3"	"8"	"11"	"14"	"345"	"8"	"11"	"14"	"15"	"502"	"NIL"	"502"	"0"
"206"	"154"	"14"	"19"	"3"	"2"	"7"	"0"	"2"	"9"	"5"	"340"	"2"	"9"	"5"	"13"	"430"	"NIL"	"430"	"0"
"207"	"Total..."	"3100"	"11693"	"2018"	"972"	"1868"	"4092"	"4112"	"1712"	"11870"	"31898"	"4112"	"1712"	"11870"	"3291"	"82287"	"NIL"	"82287"	"0"
"208"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"209"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"211"	"Total..."	"3100"	"11693"	"2018"	"972"	"1868"	"4092"	"4112"	"1712"	"11870"	"31898"	"4112"	"1712"	"11870"	"3291"	"82287"	"NIL"	"82287"	"0"
"212"	"155"	"9"	"9"	"5"	"4"	"0"	"1"	"10"	"13"	"70"	"254"	"10"	"13"	"70"	"18"	"411"	"NIL"	"411"	"0"
"213"	"156"	"4"	"52"	"14"	"3"	"4"	"2"	"6"	"8"	"19"	"310"	"6"	"8"	"19"	"9"	"446"	"NIL"	"446"	"0"
"214"	"157"	"11"	"78"	"5"	"3"	"6"	"3"	"16"	"17"	"91"	"283"	"16"	"17"	"91"	"18"	"556"	"NIL"	"556"	"0"
"215"	"158"	"22"	"63"	"5"	"1"	"6"	"0"	"4"	"10"	"15"	"387"	"4"	"10"	"15"	"13"	"553"	"NIL"	"553"	"0"
"216"	"159"	"8"	"21"	"5"	"10"	"10"	"5"	"5"	"17"	"53"	"511"	"5"	"17"	"53"	"20"	"702"	"NIL"	"702"	"0"
"217"	"160"	"2"	"30"	"2"	"2"	"1"	"1"	"1"	"7"	"65"	"148"	"1"	"7"	"65"	"9"	"271"	"NIL"	"271"	"0"
"218"	"161"	"12"	"153"	"4"	"16"	"5"	"3"	"2"	"4"	"14"	"261"	"2"	"4"	"14"	"15"	"504"	"NIL"	"504"	"0"
"219"	"162"	"15"	"70"	"2"	"2"	"1"	"1"	"4"	"9"	"67"	"256"	"4"	"9"	"67"	"29"	"474"	"NIL"	"474"	"0"
"220"	"163"	"8"	"27"	"5"	"0"	"2"	"1"	"5"	"3"	"19"	"279"	"5"	"3"	"19"	"8"	"368"	"NIL"	"368"	"0"
"221"	"164"	"64"	"159"	"15"	"5"	"5"	"3"	"8"	"15"	"19"	"296"	"8"	"15"	"19"	"21"	"634"	"NIL"	"634"	"0"
"222"	"165"	"8"	"133"	"4"	"10"	"4"	"1"	"4"	"6"	"9"	"333"	"4"	"6"	"9"	"42"	"580"	"NIL"	"580"	"0"
"223"	"166"	"15"	"145"	"4"	"37"	"5"	"0"	"5"	"6"	"7"	"185"	"5"	"6"	"7"	"11"	"427"	"NIL"	"427"	"0"
"224"	"167"	"19"	"95"	"6"	"1"	"10"	"3"	"2"	"18"	"119"	"314"	"2"	"18"	"119"	"24"	"640"	"NIL"	"640"	"0"
"225"	"168"	"5"	"21"	"6"	"5"	"4"	"1"	"3"	"4"	"154"	"187"	"3"	"4"	"154"	"20"	"421"	"NIL"	"421"	"0"
"226"	"Total..."	"3302"	"12749"	"2100"	"1071"	"1931"	"4117"	"4187"	"1849"	"12591"	"35902"	"4187"	"1849"	"12591"	"3548"	"89274"	"NIL"	"89274"	"0"
"227"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"228"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"229"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"230"	"Total..."	"3302"	"12749"	"2100"	"1071"	"1931"	"4117"	"4187"	"1849"	"12591"	"35902"	"4187"	"1849"	"12591"	"3548"	"89274"	"NIL"	"89274"	"0"
"231"	"169"	"36"	"183"	"2"	"7"	"5"	"1"	"4"	"2"	"25"	"283"	"4"	"2"	"25"	"20"	"582"	"NIL"	"582"	"0"
"232"	"170"	"8"	"161"	"4"	"4"	"1"	"1"	"9"	"9"	"54"	"319"	"9"	"9"	"54"	"28"	"639"	"NIL"	"639"	"0"
"233"	"171"	"15"	"101"	"2"	"13"	"3"	"2"	"1"	"5"	"3"	"164"	"1"	"5"	"3"	"11"	"327"	"NIL"	"327"	"0"
"234"	"172"	"31"	"164"	"11"	"95"	"5"	"2"	"9"	"10"	"22"	"360"	"9"	"10"	"22"	"25"	"758"	"NIL"	"758"	"0"
"235"	"173"	"9"	"112"	"15"	"24"	"4"	"4"	"10"	"10"	"30"	"205"	"10"	"10"	"30"	"21"	"470"	"NIL"	"470"	"0"
"236"	"174"	"14"	"50"	"3"	"4"	"0"	"15"	"2"	"5"	"7"	"150"	"2"	"5"	"7"	"15"	"269"	"NIL"	"269"	"0"
"237"	"175"	"14"	"104"	"9"	"3"	"5"	"2"	"7"	"6"	"39"	"108"	"7"	"6"	"39"	"15"	"332"	"NIL"	"332"	"0"
"238"	"176"	"9"	"24"	"4"	"2"	"4"	"0"	"13"	"7"	"4"	"177"	"13"	"7"	"4"	"11"	"263"	"NIL"	"263"	"0"
"239"	"177"	"4"	"43"	"3"	"1"	"6"	"2"	"3"	"4"	"5"	"281"	"3"	"4"	"5"	"21"	"402"	"NIL"	"402"	"0"
"240"	"178"	"10"	"86"	"2"	"9"	"3"	"4"	"1"	"13"	"6"	"287"	"1"	"13"	"6"	"14"	"455"	"NIL"	"455"	"0"
"241"	"179"	"39"	"50"	"13"	"7"	"4"	"1"	"7"	"5"	"25"	"295"	"7"	"5"	"25"	"9"	"471"	"NIL"	"471"	"0"
"242"	"180"	"16"	"164"	"11"	"6"	"16"	"1"	"11"	"7"	"10"	"214"	"11"	"7"	"10"	"30"	"502"	"NIL"	"502"	"0"
"243"	"181"	"11"	"128"	"4"	"4"	"3"	"2"	"2"	"1"	"6"	"184"	"2"	"1"	"6"	"25"	"383"	"NIL"	"383"	"0"
"244"	"182"	"10"	"160"	"8"	"25"	"10"	"4"	"6"	"8"	"15"	"290"	"6"	"8"	"15"	"20"	"584"	"NIL"	"584"	"0"
"245"	"Total..."	"3528"	"14279"	"2191"	"1275"	"2000"	"4158"	"4272"	"1941"	"12842"	"39219"	"4272"	"1941"	"12842"	"3813"	"95711"	"NIL"	"95711"	"0"
"246"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"247"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"248"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"249"	"Total..."	"3528"	"14279"	"2191"	"1275"	"2000"	"4158"	"4272"	"1941"	"12842"	"39219"	"4272"	"1941"	"12842"	"3813"	"95711"	"NIL"	"95711"	"0"
"250"	"183"	"33"	"111"	"6"	"11"	"3"	"0"	"3"	"6"	"5"	"290"	"3"	"6"	"5"	"10"	"490"	"NIL"	"490"	"0"
"251"	"184"	"30"	"60"	"11"	"5"	"6"	"49"	"4"	"13"	"106"	"201"	"4"	"13"	"106"	"9"	"509"	"NIL"	"509"	"0"
"252"	"185"	"34"	"45"	"13"	"6"	"7"	"1"	"3"	"5"	"32"	"236"	"3"	"5"	"32"	"11"	"402"	"NIL"	"402"	"0"
"253"	"186"	"2"	"52"	"1"	"2"	"1"	"2"	"9"	"4"	"174"	"199"	"9"	"4"	"174"	"29"	"507"	"NIL"	"507"	"0"
"254"	"187"	"14"	"42"	"4"	"5"	"10"	"1"	"11"	"4"	"110"	"139"	"11"	"4"	"110"	"25"	"485"	"NIL"	"485"	"0"
"255"	"188"	"2"	"31"	"1"	"26"	"1"	"1"	"15"	"5"	"8"	"534"	"15"	"5"	"8"	"8"	"639"	"NIL"	"639"	"0"
"256"	"189"	"15"	"83"	"15"	"8"	"1"	"1"	"13"	"16"	"50"	"293"	"13"	"16"	"50"	"46"	"623"	"NIL"	"623"	"0"
"257"	"190"	"3"	"42"	"7"	"9"	"1"	"1"	"9"	"15"	"13"	"310"	"9"	"15"	"13"	"27"	"461"	"NIL"	"461"	"0"
"258"	"191"	"8"	"29"	"3"	"17"	"5"	"0"	"14"	"9"	"2"	"199"	"14"	"9"	"2"	"10"	"305"	"NIL"	"305"	"0"
"259"	"192"	"1"	"126"	"29"	"24"	"3"	"1"	"13"	"3"	"45"	"152"	"13"	"3"	"45"	"11"	"466"	"NIL"	"466"	"0"
"260"	"193"	"12"	"67"	"13"	"2"	"4"	"1"	"9"	"6"	"9"	"151"	"9"	"6"	"9"	"8"	"510"	"NIL"	"510"	"0"
"261"	"194"	"1"	"50"	"11"	"3"	"2"	"1"	"7"	"4"	"25"	"102"	"7"	"4"	"25"	"18"	"400"	"NIL"	"400"	"0"
"262"	"195"	"12"	"123"	"28"	"42"	"5"	"0"	"6"	"6"	"86"	"119"	"6"	"6"	"86"	"28"	"604"	"NIL"	"604"	"0"
"263"	"196"	"10"	"18"	"16"	"502"	"12"	"0"	"8"	"6"	"1"	"148"	"8"	"6"	"1"	"19"	"760"	"NIL"	"760"	"0"
"264"	"Total..."	"3705"	"15158"	"2349"	"1937"	"2061"	"4217"	"4396"	"2043"	"13508"	"42292"	"4396"	"2043"	"13508"	"4072"	"102872"	"NIL"	"102872"	"0"
"265"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"266"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"267"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"268"	"Total..."	"3705"	"15158"	"2349"	"1937"	"2061"	"4217"	"4396"	"2043"	"13508"	"42292"	"4396"	"2043"	"13508"	"4072"	"102872"	"NIL"	"102872"	"0"
"269"	"197"	"9"	"42"	"15"	"10"	"3"	"1"	"2"	"13"	"14"	"333"	"2"	"13"	"14"	"21"	"494"	"NIL"	"494"	"0"
"270"	"198"	"26"	"70"	"12"	"39"	"3"	"2"	"7"	"20"	"14"	"334"	"7"	"20"	"14"	"16"	"582"	"NIL"	"582"	"0"
"271"	"199"	"11"	"29"	"26"	"9"	"1"	"2"	"6"	"7"	"5"	"305"	"6"	"7"	"5"	"11"	"426"	"NIL"	"426"	"0"
"272"	"200"	"5"	"56"	"155"	"15"	"6"	"1"	"6"	"9"	"4"	"141"	"6"	"9"	"4"	"12"	"457"	"NIL"	"457"	"0"
"273"	"201"	"25"	"101"	"57"	"6"	"7"	"2"	"13"	"4"	"17"	"119"	"13"	"4"	"17"	"18"	"611"	"NIL"	"611"	"0"
"274"	"Total No. of Votes recorded at polling stations"	"3781"	"15456"	"2614"	"2016"	"2081"	"4225"	"4430"	"2096"	"13562"	"43524"	"4430"	"2096"	"13562"	"4150"	"105442"	"NIL"	"105442"	"0"
"275"	"No. of votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"NIL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Total Votes polled"	"3781"	"15456"	"2614"	"2016"	"2081"	"4225"	"4430"	"2096"	"13562"	"43524"	"4430"	"2096"	"13562"	"4150"	"105442"	"NIL"	"105442"	"0"
"278"	"Place :         KISHANGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Date :         27.02.2005                                                                                                                                                                                                                                     Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
