"Total.No..of.Electors.in.Assembly.Constituency...Segment...........237798"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"139"	"116"	"PRIMARY SCHOOL BANKAT"	"128"	"193"	"11"	"4"	"135"	"9"	"9"	"1"	"7"	"6"	"4"	"1"	"508"	"0"	"508"	"0"
"140"	"117"	"PRIMARY SCHOOL KARKHIYA"	"56"	"173"	"3"	"2"	"80"	"6"	"4"	"0"	"4"	"3"	"7"	"3"	"341"	"0"	"341"	"0"
"141"	"118"	"PRIMARY SCHOOL YOGIBIR"	"176"	"91"	"2"	"3"	"100"	"4"	"1"	"3"	"48"	"1"	"2"	"1"	"432"	"0"	"432"	"0"
"142"	"119"	"PRIMARY SCHOOL KAMRIYAWAN (NORTH PART)"	"364"	"9"	"3"	"1"	"85"	"24"	"2"	"0"	"1"	"0"	"0"	"1"	"490"	"0"	"490"	"0"
"143"	"120"	"PRIMARY SCHOOL KAMRIYAWA (SOUTH PART)"	"81"	"48"	"4"	"5"	"154"	"51"	"8"	"7"	"38"	"2"	"16"	"11"	"425"	"0"	"425"	"0"
"144"	"121"	"HIGH SCHOOL JADOPUR (EAST PART)"	"108"	"47"	"0"	"0"	"180"	"11"	"0"	"1"	"9"	"2"	"0"	"0"	"358"	"0"	"358"	"0"
"145"	"122"	"HIGH SCHOOL JADOPUR (WEST PART)"	"154"	"252"	"10"	"0"	"244"	"2"	"1"	"1"	"71"	"6"	"4"	"1"	"746"	"0"	"746"	"0"
"146"	"123"	"MIDDLE SCHOOL TIYAR"	"143"	"23"	"9"	"0"	"75"	"85"	"8"	"1"	"35"	"4"	"15"	"5"	"403"	"0"	"403"	"0"
"147"	"124"	"PRIMARY SCHOOL TIYAR"	"112"	"92"	"3"	"1"	"23"	"66"	"3"	"1"	"74"	"2"	"0"	"3"	"380"	"0"	"380"	"0"
"148"	"125"	"MIDDLE SCHOOL SEKARYIA   (NORTH PART)"	"105"	"237"	"5"	"1"	"179"	"12"	"4"	"0"	"1"	"0"	"3"	"0"	"547"	"0"	"547"	"0"
"149"	"126"	"MIDDLE SCHOOL SIKARYIA (SOUTH PART)"	"222"	"154"	"3"	"3"	"36"	"2"	"4"	"2"	"7"	"4"	"7"	"4"	"448"	"0"	"448"	"0"
"150"	"127"	"PRIMARY SCHOOL MANIYARA"	"309"	"148"	"3"	"1"	"140"	"33"	"6"	"5"	"44"	"4"	"4"	"3"	"700"	"0"	"700"	"0"
"151"	"128"	"PRIMARY SCHOOL BIKRAMPUR"	"96"	"25"	"3"	"2"	"545"	"11"	"3"	"1"	"14"	"2"	"2"	"0"	"704"	"0"	"704"	"0"
"152"	"129"	"URDU MIDDLE SCHOOL BAGAHI(NORTH PART)"	"223"	"5"	"0"	"1"	"141"	"8"	"3"	"6"	"3"	"1"	"5"	"6"	"402"	"0"	"402"	"0"
"153"	"130"	"URDU MIDDLE SCHOOL BAGAHI (SOUTH PART)"	"246"	"43"	"5"	"2"	"241"	"13"	"9"	"2"	"6"	"1"	"5"	"4"	"577"	"0"	"577"	"0"
"154"	"131"	"PRIMARY SCHOOL CHAKAWATH"	"28"	"178"	"5"	"4"	"475"	"2"	"6"	"3"	"40"	"3"	"4"	"3"	"751"	"0"	"751"	"0"
"155"	"132"	"PRIMARY SCHOOL CHAKAWATH (TOLA CHKRAHI)"	"103"	"3"	"1"	"0"	"19"	"60"	"1"	"1"	"350"	"8"	"2"	"4"	"552"	"0"	"552"	"0"
"156"	"133"	"PANCHAYAT BHAWAN CHAKRAHI"	"84"	"106"	"2"	"0"	"65"	"30"	"5"	"4"	"224"	"2"	"7"	"7"	"536"	"0"	"536"	"0"
"157"	"134"	"MIDDLE SCHOOL MAHUAON (EAST PART)"	"421"	"40"	"0"	"1"	"1"	"62"	"2"	"0"	"96"	"0"	"1"	"1"	"625"	"0"	"625"	"0"
"158"	"135"	"MIDDLE SCHOOL MAHUAON (WEST PART)"	"432"	"30"	"0"	"1"	"14"	"48"	"2"	"1"	"19"	"2"	"4"	"0"	"553"	"0"	"553"	"0"
"159"	"136"	"PRIMARY SCHOOL BHRASARAA YADAV"	"60"	"4"	"55"	"0"	"8"	"92"	"2"	"9"	"237"	"7"	"8"	"3"	"485"	"0"	"485"	"0"
"160"	"137"	"PRIMARY SCHOOL BARSARAA MANGEET (NORTH PART)"	"46"	"10"	"4"	"2"	"100"	"7"	"0"	"5"	"357"	"2"	"2"	"4"	"539"	"0"	"539"	"0"
"161"	"138"	"PRIMARY SCHOOL BARSARAA MANGEET (SOUTH PART)"	"16"	"26"	"4"	"1"	"251"	"4"	"10"	"8"	"136"	"6"	"12"	"6"	"480"	"0"	"480"	"0"
"162"	"139"	"PRIMARY SCHOOL MAJHAULI(NORTH PART)"	"96"	"55"	"0"	"5"	"17"	"54"	"3"	"5"	"145"	"2"	"6"	"6"	"394"	"0"	"394"	"0"
"163"	"140"	"PRIMARY SCHOOL MAJHAULI(WEST PART)"	"47"	"148"	"17"	"5"	"61"	"10"	"6"	"10"	"210"	"25"	"9"	"19"	"567"	"0"	"567"	"0"
"164"	"141"	"PRIMARY SCHOOL OSSAIE TOLA GUNJ"	"16"	"20"	"14"	"1"	"106"	"3"	"2"	"3"	"127"	"3"	"2"	"5"	"302"	"0"	"302"	"0"
"165"	"142"	"MIDDLE SCHOOL OSSAIE (NORTH PART)"	"221"	"140"	"52"	"3"	"55"	"26"	"9"	"3"	"11"	"3"	"5"	"4"	"532"	"0"	"532"	"0"
"166"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"167"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"168"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"169"	"143"	"MIDDLE SCHOOL OSSAIE (EAST PART)"	"84"	"152"	"15"	"2"	"155"	"4"	"4"	"9"	"55"	"3"	"5"	"10"	"498"	"0"	"498"	"0"
"170"	"144"	"PRIMARY SCHOOL AANER"	"285"	"3"	"43"	"3"	"210"	"3"	"8"	"13"	"87"	"8"	"2"	"6"	"671"	"0"	"671"	"0"
"171"	"145"	"PRIMARY SCHOOL BARUNA"	"1"	"24"	"0"	"0"	"517"	"0"	"1"	"1"	"24"	"1"	"0"	"0"	"569"	"0"	"569"	"0"
"172"	"146"	"PANCHAYAT BHAWAN FINANGI"	"386"	"15"	"3"	"3"	"91"	"10"	"15"	"18"	"28"	"9"	"12"	"26"	"616"	"0"	"616"	"0"
"173"	"147"	"PRIMARY SCHOOL JAMUAN (EAST PART)"	"79"	"108"	"1"	"2"	"44"	"22"	"5"	"1"	"29"	"7"	"4"	"3"	"305"	"0"	"305"	"0"
"174"	"148"	"PRIMARY SCHOOL JAMUAN (WEST PART)"	"329"	"121"	"26"	"3"	"55"	"4"	"8"	"7"	"25"	"2"	"26"	"12"	"618"	"0"	"618"	"0"
"175"	"149"	"PRIMARY SCHOOL NARAYANPUR"	"128"	"19"	"5"	"5"	"343"	"3"	"6"	"4"	"16"	"2"	"3"	"3"	"537"	"0"	"537"	"0"
"176"	"150"	"PRIMARY SCHOOL KHARAUNI"	"12"	"1"	"3"	"2"	"438"	"8"	"10"	"10"	"3"	"3"	"5"	"23"	"518"	"0"	"518"	"0"
"177"	"151"	"PRIMARY SCHOOL BILONA"	"113"	"120"	"2"	"1"	"54"	"3"	"2"	"3"	"94"	"5"	"3"	"7"	"407"	"0"	"407"	"0"
"178"	"152"	"PRIMARY SCHOOL DHOGARA"	"98"	"208"	"3"	"0"	"107"	"24"	"3"	"5"	"103"	"3"	"11"	"14"	"579"	"0"	"579"	"0"
"179"	"153"	"HARIZAN SCHOOL DHOGRA CHAMAR TOLI"	"64"	"34"	"180"	"2"	"52"	"13"	"3"	"4"	"47"	"2"	"4"	"1"	"406"	"0"	"406"	"0"
"180"	"154"	"MIDDLE SCHOOL THEGRA (NORTH PART)"	"385"	"59"	"1"	"1"	"20"	"0"	"1"	"2"	"15"	"3"	"0"	"3"	"490"	"0"	"490"	"0"
"181"	"155"	"MIDDLE SCHOOL TEGHRA(SOUTH PART)"	"432"	"65"	"3"	"1"	"34"	"0"	"1"	"0"	"14"	"4"	"4"	"3"	"561"	"0"	"561"	"0"
"182"	"156"	"SAMUDIYAK BAHWAN BHOGACHAK"	"52"	"2"	"0"	"0"	"4"	"6"	"0"	"1"	"24"	"0"	"0"	"0"	"89"	"0"	"89"	"0"
"183"	"157"	"SENIOR BASIC SCHOOL AMARIE NAWADA (NORTH PART"	"60"	"23"	"3"	"2"	"480"	"4"	"10"	"24"	"7"	"7"	"9"	"12"	"641"	"0"	"641"	"0"
"184"	"158"	"SENIOR BASIC SCHOOL AMARIE NAWADA (SOUTH PART"	"15"	"3"	"0"	"0"	"661"	"5"	"1"	"90"	"0"	"0"	"2"	"2"	"779"	"0"	"779"	"0"
"185"	"159"	"P.S BIHYA GOON"	"190"	"216"	"37"	"6"	"150"	"21"	"12"	"9"	"33"	"10"	"9"	"19"	"712"	"0"	"712"	"0"
"186"	"160"	"KASTORBA HIGH SCHOOL BIHYA (EAST PART)"	"171"	"156"	"2"	"1"	"103"	"6"	"7"	"0"	"29"	"5"	"2"	"2"	"484"	"0"	"484"	"0"
"187"	"161"	"KASTORBA HIHG SCHOOL BIHYA (WEST PART)"	"103"	"180"	"0"	"1"	"151"	"2"	"3"	"2"	"101"	"2"	"2"	"5"	"552"	"0"	"552"	"0"
"188"	"162"	"BYAPAR MANDEL KARYALAY BIHIYA  (NORTH PART)"	"33"	"154"	"11"	"3"	"70"	"6"	"3"	"4"	"63"	"5"	"10"	"9"	"371"	"0"	"371"	"0"
"189"	"163"	"PRIMARY SCHOOL SHIV MANDIR POKHRA"	"55"	"224"	"7"	"3"	"72"	"6"	"6"	"8"	"89"	"9"	"9"	"11"	"499"	"0"	"499"	"0"
"190"	"164"	"BYAPAR MANDAL KARYALAY BIHIYAYA (SOUTH PART)"	"78"	"244"	"3"	"0"	"162"	"11"	"5"	"6"	"40"	"3"	"21"	"5"	"578"	"0"	"578"	"0"
"191"	"165"	"KANYA MEDDLI SCHOOL BIHYA (EAST PART)"	"106"	"141"	"3"	"1"	"148"	"4"	"4"	"5"	"41"	"3"	"2"	"4"	"462"	"0"	"462"	"0"
"192"	"166"	"KANYA MEDDLI SCHOOL BIHYA (WEST PART)"	"134"	"164"	"1"	"2"	"114"	"3"	"4"	"5"	"12"	"4"	"4"	"6"	"453"	"0"	"453"	"0"
"193"	"167"	"HIGH SCHOOL , BIHYA (NORTH PART)"	"86"	"150"	"1"	"2"	"97"	"7"	"9"	"1"	"34"	"5"	"4"	"5"	"401"	"0"	"401"	"0"
"194"	"168"	"HIGH SCHOOL , BIHYA (SOUTH PART)"	"215"	"167"	"8"	"1"	"110"	"9"	"2"	"4"	"72"	"7"	"15"	"6"	"616"	"0"	"616"	"0"
"195"	"169"	"PRIMART SCHOOL , BIHYA (EAST PART)"	"132"	"88"	"0"	"2"	"99"	"3"	"4"	"1"	"77"	"7"	"8"	"6"	"427"	"0"	"427"	"0"
"196"	"170"	"PRIMARY SCHOOL , BIHYA (WEST PART)"	"92"	"199"	"15"	"3"	"156"	"3"	"5"	"2"	"45"	"1"	"5"	"3"	"529"	"0"	"529"	"0"
"197"	"171"	"MIDDLE SCHOOL KATYA(NORTH PART)"	"244"	"126"	"2"	"5"	"102"	"10"	"10"	"4"	"12"	"7"	"14"	"10"	"546"	"0"	"546"	"0"
"198"	"172"	"MIDDLE SCHOOL , KATYA (SOUTH PART)"	"365"	"144"	"3"	"3"	"22"	"4"	"1"	"1"	"6"	"7"	"9"	"1"	"566"	"0"	"566"	"0"
"199"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"200"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"202"	"173"	"MIDDLE SCHOOL , KATYA (MIDDLE PART )"	"200"	"67"	"12"	"2"	"117"	"25"	"19"	"6"	"138"	"9"	"4"	"11"	"610"	"0"	"610"	"0"
"203"	"174"	"PRIMARY SCHOOL , NIRANPUR"	"196"	"186"	"39"	"4"	"8"	"4"	"4"	"2"	"4"	"6"	"8"	"25"	"486"	"0"	"486"	"0"
"204"	"175"	"PRIMARY SCHOOL , SAMARDAAH"	"92"	"29"	"12"	"0"	"164"	"100"	"9"	"1"	"19"	"1"	"2"	"2"	"431"	"0"	"431"	"0"
"205"	"176"	"PRIMARY SCHOOL , KUNWARDAAH"	"32"	"4"	"4"	"3"	"116"	"42"	"9"	"5"	"24"	"4"	"10"	"9"	"262"	"0"	"262"	"0"
"206"	"177"	"PRIMAY SCHOOL , NOSAYTAR"	"284"	"20"	"22"	"1"	"84"	"11"	"6"	"2"	"36"	"1"	"6"	"19"	"492"	"0"	"492"	"0"
"207"	"178"	"HIGH SCHOOL , KALYANPUR (EAST PART)"	"395"	"58"	"3"	"4"	"56"	"3"	"3"	"3"	"5"	"8"	"2"	"4"	"544"	"0"	"544"	"0"
"208"	"179"	"HIGH SCHOOL KALYANPUR (WEST PART)"	"384"	"14"	"3"	"0"	"18"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"426"	"0"	"426"	"0"
"209"	"180"	"MIDDLE SCHOOL , KALYANPUR"	"321"	"34"	"7"	"4"	"56"	"8"	"6"	"1"	"4"	"3"	"8"	"6"	"458"	"0"	"458"	"0"
"210"	"181"	"PRIMARY SCHOOL , NARAYANPUR"	"35"	"9"	"0"	"3"	"721"	"3"	"3"	"1"	"0"	"1"	"1"	"3"	"780"	"0"	"780"	"0"
"211"	"182"	"PRIMARY SCHOOL , BANDHA (EAST PART)"	"128"	"88"	"7"	"1"	"127"	"7"	"7"	"3"	"44"	"2"	"3"	"10"	"427"	"0"	"427"	"0"
"212"	"183"	"PRIMARY SCHOOL , BANDHA (WEST PART)"	"82"	"114"	"3"	"6"	"136"	"5"	"7"	"1"	"4"	"2"	"5"	"16"	"381"	"0"	"381"	"0"
"213"	"184"	"MIDDLE SCHOOL , KORYIA"	"155"	"42"	"5"	"0"	"84"	"2"	"4"	"0"	"5"	"0"	"4"	"1"	"302"	"0"	"302"	"0"
"214"	"185"	"PRIMARY SCHOOL , GHAGHA"	"105"	"22"	"11"	"5"	"103"	"48"	"14"	"7"	"25"	"6"	"14"	"9"	"369"	"0"	"369"	"0"
"215"	"186"	"MIDDLE SCHOOL , PIPRA ,JAGDISHPUR (EAST PART)"	"119"	"55"	"5"	"3"	"148"	"8"	"7"	"3"	"97"	"3"	"5"	"3"	"456"	"0"	"456"	"0"
"216"	"187"	"MIDDLE SCHOOL , PIPRA JAGDISHPUR (WEST PART)"	"21"	"86"	"3"	"1"	"60"	"0"	"2"	"3"	"63"	"2"	"7"	"2"	"250"	"0"	"250"	"0"
"217"	"188"	"PRIMARY SCHOOL , BARRA"	"300"	"136"	"15"	"1"	"49"	"0"	"14"	"3"	"41"	"4"	"3"	"5"	"571"	"0"	"571"	"0"
"218"	"189"	"PRIMARY SCHOOL , SANDAUR"	"53"	"313"	"5"	"5"	"29"	"5"	"6"	"6"	"155"	"8"	"12"	"13"	"610"	"0"	"610"	"0"
"219"	"190"	"PRIMARY SCHOOL , MISSROLY (EAST PART)"	"27"	"144"	"13"	"4"	"197"	"3"	"7"	"5"	"64"	"1"	"6"	"3"	"474"	"0"	"474"	"0"
"220"	"191"	"PRIMARY SCHOOL , KAWALPATI"	"49"	"94"	"3"	"5"	"9"	"0"	"2"	"1"	"89"	"5"	"1"	"2"	"260"	"0"	"260"	"0"
"221"	"192"	"MIDDLE SCHOOL , DUMARIYA"	"62"	"23"	"0"	"1"	"381"	"1"	"3"	"0"	"0"	"2"	"3"	"3"	"479"	"0"	"479"	"0"
"222"	"193"	"PRIMARY SCHOOL , DUMARYA"	"148"	"11"	"27"	"0"	"405"	"2"	"2"	"1"	"3"	"5"	"6"	"5"	"615"	"0"	"615"	"0"
"223"	"194"	"PRIMARY SCHOOL , KHARAUNI(EAST PART)"	"46"	"118"	"3"	"1"	"59"	"1"	"2"	"2"	"15"	"2"	"3"	"6"	"258"	"0"	"258"	"0"
"224"	"195"	"PRIMARY SCHOOL , KHARAUNI(WEST PART)"	"81"	"38"	"66"	"9"	"112"	"11"	"9"	"15"	"72"	"21"	"25"	"63"	"522"	"0"	"522"	"0"
"225"	"196"	"PRIMARY SCHOOL , DHABARI (EAST PARRT)"	"45"	"200"	"5"	"7"	"84"	"4"	"11"	"15"	"34"	"11"	"11"	"27"	"454"	"0"	"454"	"0"
"226"	"197"	"PRIMARY SCHOOL , DHABRI (WEST PART)"	"278"	"104"	"2"	"1"	"7"	"2"	"1"	"0"	"38"	"1"	"2"	"1"	"437"	"0"	"437"	"0"
"227"	"198"	"PRIMARY SCHOOL , PAKRI"	"61"	"33"	"2"	"2"	"531"	"1"	"6"	"2"	"0"	"0"	"5"	"4"	"647"	"0"	"647"	"0"
"228"	"199"	"PANCHYAT BAWAN , KARJA"	"247"	"74"	"4"	"4"	"20"	"0"	"4"	"9"	"95"	"2"	"5"	"8"	"472"	"0"	"472"	"0"
"229"	"200"	"MIDDLE SCHOOL ,KARJA (NORTH PART)"	"125"	"177"	"9"	"3"	"100"	"1"	"5"	"2"	"12"	"8"	"5"	"8"	"455"	"0"	"455"	"0"
"230"	"201"	"MIDDLE SCHOOL , KARJA UMRAVGANJ (SOUTH PART)"	"129"	"49"	"8"	"5"	"53"	"7"	"5"	"8"	"92"	"10"	"9"	"12"	"387"	"0"	"387"	"0"
"231"	"202"	"PRIMARY SCHOOL , CHAR GHAT"	"217"	"110"	"123"	"4"	"113"	"5"	"7"	"2"	"7"	"8"	"2"	"12"	"610"	"0"	"610"	"0"
"232"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"233"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"235"	"203"	"PRIMARY SCHOOL , RAJPUR"	"206"	"26"	"9"	"5"	"153"	"15"	"11"	"7"	"23"	"2"	"10"	"20"	"487"	"0"	"487"	"0"
"236"	"204"	"PRIMARY SCHOOL GAURA (NORTHERN PART)"	"56"	"108"	"16"	"2"	"154"	"12"	"10"	"2"	"71"	"13"	"14"	"34"	"492"	"0"	"492"	"0"
"237"	"205"	"PRIMARY SCHOOL GAURA(SOUTHERN PART)"	"226"	"71"	"5"	"2"	"56"	"5"	"6"	"6"	"143"	"7"	"11"	"17"	"555"	"0"	"555"	"0"
"238"	"206"	"PANCHAYAT BHAWAN GAURA"	"27"	"86"	"2"	"1"	"27"	"1"	"12"	"1"	"41"	"0"	"3"	"1"	"202"	"0"	"202"	"0"
"239"	"207"	"HIGH SCHOOL PAHARPUR(NORTHERN PART)"	"176"	"86"	"5"	"1"	"27"	"4"	"7"	"3"	"63"	"14"	"4"	"12"	"402"	"0"	"402"	"0"
"240"	"208"	"HIGH SCHOOL PAHARPUR(SOUTHERN PART)"	"81"	"114"	"2"	"1"	"23"	"1"	"0"	"0"	"26"	"0"	"2"	"0"	"250"	"0"	"250"	"0"
"241"	"209"	"PRIMARY SCHOOL CHANAUR"	"139"	"187"	"0"	"4"	"27"	"2"	"3"	"0"	"3"	"1"	"2"	"2"	"370"	"0"	"370"	"0"
"242"	"210"	"PRIMARY SCHOOL RAMDIHRA"	"630"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"634"	"0"	"634"	"0"
"243"	"211"	"RAJKIYA BUNIYADI MIDDLE SCHOOL BENWALIYA(NORTH"	"254"	"126"	"0"	"0"	"160"	"4"	"3"	"2"	"5"	"0"	"3"	"4"	"561"	"0"	"561"	"0"
"244"	"212"	"RAJKIYA BUNIYADI MIDDLE SCHOOL BENWALIYA(SOUTH"	"48"	"24"	"53"	"5"	"311"	"1"	"6"	"1"	"5"	"0"	"4"	"1"	"459"	"0"	"459"	"0"
"245"	"213"	"HIGH SCHOOL JHAUWANTOLA BENWALIYA(SOUTHERN P"	"386"	"32"	"4"	"3"	"35"	"6"	"2"	"9"	"17"	"6"	"4"	"25"	"529"	"0"	"529"	"0"
"246"	"214"	"HIGH SCHOOL BENWALIYA(NORTHERN PART)"	"426"	"22"	"2"	"0"	"30"	"0"	"2"	"1"	"3"	"0"	"1"	"3"	"490"	"0"	"490"	"0"
"247"	"215"	"PANCHAYAT BHAWAN JHAUWANTOLA BENWALIYA"	"608"	"29"	"2"	"4"	"60"	"5"	"2"	"0"	"25"	"4"	"2"	"7"	"748"	"0"	"748"	"0"
"248"	"216"	"MIDDLE SCHOOL SUNDERPUR BARJA(SOUTHERN PART)"	"136"	"216"	"1"	"2"	"5"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"370"	"0"	"370"	"0"
"249"	"217"	"MIDDLE SCHOOL SUNDERPUR BARJA (NORTHERN PART"	"124"	"132"	"1"	"3"	"91"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"360"	"0"	"360"	"0"
"250"	"218"	"PRIMARY SCHOOL SUNDERPUR BARJA"	"142"	"257"	"19"	"1"	"41"	"1"	"4"	"1"	"0"	"0"	"3"	"2"	"471"	"0"	"471"	"0"
"251"	"Total"	""	"36082"	"21212"	"2604"	"510"	"26103"	"4047"	"1609"	"774"	"7408"	"819"	"1962"	"1550"	"104680"	"0"	"104680"	"0"
"252"	"Postal Votes"	""	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"6"	"0"
"253"	"Grand Total"	""	"36085"	"21213"	"2604"	"510"	"26103"	"4047"	"1609"	"774"	"7408"	"819"	"1962"	"1550"	"104684"	"2"	"104686"	"0"
"254"	"Place   :     Arrah                                                                                                                                                                                                                                                                                                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Date    :      27-02-2005                                                                                                                                                                                                                                                                                                                  199 - Shahpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
