"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"42"	"24"	"154"	""	"6"	""	""	"31"	""	""	""	"27"	""	""	""	""	"25"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"5"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"25"	"71"	""	"27"	""	""	"106"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Total"	"2361"	""	"299"	""	""	"1451"	""	""	""	"256"	""	""	""	""	"270"	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"112"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	""	"101"	""	""	""	""	""	"110"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	"131"	""	""	""	""	""	""	"41"	""	""	""	""	""	"114"	""	""	""	""	""	""	""	"5607"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
"47"	"of"	""	"PREM KUMAR"	""	"DR. BHIM SINGH YADAV"	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"48"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"49"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""
"51"	"25(Ka)"	""	"27"	""	"13"	""	""	"100"	""	""	""	"7"	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"166"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"26"	""	"115"	""	"12"	""	""	"194"	""	""	""	"10"	""	""	""	"13"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"27"	""	"25"	""	"24"	""	""	"376"	""	""	""	"17"	""	""	""	"14"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"28"	""	"55"	""	"21"	""	""	"336"	""	""	""	"11"	""	""	""	"16"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"29"	""	"267"	""	"28"	""	""	"116"	""	""	""	"47"	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"30"	""	"148"	""	"14"	""	""	"44"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"168"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"31"	""	"270"	""	"32"	""	""	"47"	""	""	""	"10"	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"287"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"695"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"695"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"32"	""	"285"	""	"351"	""	""	"49"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"69"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"808"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"808"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"33"	""	"307"	""	"193"	""	""	"53"	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"617"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"617"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"34"	""	"174"	""	"22"	""	""	"27"	""	""	""	"15"	""	""	""	"17"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"138"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"440"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"440"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"35"	""	"198"	""	"24"	""	""	"21"	""	""	""	"6"	""	""	""	"19"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"129"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"36"	""	"219"	""	"16"	""	""	"57"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"26"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"69"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"37"	""	"136"	""	"24"	""	""	"75"	""	""	""	"7"	""	""	""	"15"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"79"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"38"	""	"303"	""	"42"	""	""	"47"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"176"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Total"	""	"2529"	""	"816"	""	""	"1542"	""	""	""	"148"	""	""	""	"120"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	"82"	""	""	""	""	""	"45"	""	""	""	""	""	""	""	"1174"	""	""	""	""	""	""	""	"104"	""	""	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"68"	""	""	""	""	""	""	"6732"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6732"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"67"	"of"	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"68"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"69"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"71"	"39"	"279"	""	""	"33"	""	""	"28"	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"39"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"51"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"40"	"159"	""	""	"48"	""	""	"48"	""	""	""	"92"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"60"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"41"	"80"	""	""	"148"	""	""	"101"	""	""	""	"30"	""	""	""	""	""	"97"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"41"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"550"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"550"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"42"	"364"	""	""	"13"	""	""	"57"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"28"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"48"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"43"	"248"	""	""	"11"	""	""	"21"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"69"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"43(Ka)"	"109"	""	""	"5"	""	""	"10"	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"173"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"173"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"44"	"302"	""	""	"17"	""	""	"39"	""	""	""	"41"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"124"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"45"	"426"	""	""	"27"	""	""	"18"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"239"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"743"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"743"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"46"	"148"	""	""	"21"	""	""	"238"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"47"	"313"	""	""	"25"	""	""	"31"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"48"	"265"	""	""	"53"	""	""	"41"	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"49"	"223"	""	""	"29"	""	""	"149"	""	""	""	"12"	""	""	""	""	""	"16"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"50"	"328"	""	""	"18"	""	""	"82"	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"51"	"242"	""	""	"39"	""	""	"165"	""	""	""	"37"	""	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
