"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"121"	"97"	"MIDDLE SCCHOOL HARDEYA ( EAST PART)"	"5"	"11"	"12"	"109"	"196"	"3"	"9"	"3"	"3"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"358"	"0"	"358"	"0"
"122"	"98"	"MIDDLE SCHOOL ,HARDIYAN ( MIDDLE PART)"	"5"	"143"	"41"	"137"	"171"	"1"	"12"	"1"	"2"	"3"	"1"	"1"	"4"	"2"	"3"	"3"	"530"	"0"	"530"	"0"
"123"	"99"	"MIDDLE SCHOOL , HARDIYAN (WEST PART)"	"11"	"183"	"162"	"12"	"103"	"3"	"32"	"0"	"0"	"3"	"1"	"0"	"5"	"2"	"7"	"3"	"527"	"0"	"527"	"0"
"124"	"100"	"HIGH SCHOOL , HARDHYA"	"4"	"353"	"43"	"1"	"77"	"3"	"20"	"4"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"508"	"0"	"508"	"0"
"125"	"101"	"PRIMARY SCHOOL , NARYANPUR"	"7"	"41"	"114"	"25"	"515"	"7"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"4"	"0"	"1"	"720"	"0"	"720"	"0"
"126"	"102"	"SENIOR BASIC SCHOOL BIMWHA (NORTH BAWEN)"	"1"	"157"	"260"	"79"	"43"	"6"	"49"	"15"	"10"	"8"	"1"	"5"	"17"	"6"	"8"	"10"	"675"	"0"	"675"	"0"
"127"	"103"	"SENIOR BASIC SCHOOL BIMWHA ( EAST BAWAN)"	"12"	"183"	"113"	"137"	"25"	"9"	"175"	"8"	"12"	"8"	"4"	"5"	"15"	"8"	"9"	"13"	"736"	"0"	"736"	"0"
"128"	"104"	"PRIMARY SCHOOL , HARNAHI"	"6"	"262"	"207"	"19"	"137"	"1"	"24"	"2"	"2"	"2"	"2"	"0"	"1"	"2"	"3"	"1"	"671"	"0"	"671"	"0"
"129"	"105"	"PRIMARY SCHOOL ESADHI"	"3"	"110"	"259"	"63"	"47"	"1"	"16"	"2"	"4"	"0"	"0"	"0"	"2"	"2"	"0"	"3"	"512"	"0"	"512"	"0"
"130"	"106"	"PRIMARY SCHOOL HARIGAON"	"20"	"257"	"22"	"176"	"7"	"10"	"337"	"18"	"5"	"13"	"9"	"4"	"10"	"7"	"13"	"2"	"910"	"0"	"910"	"0"
"131"	"107"	"PRIMARYT SCHOOL , SANYA"	"2"	"110"	"256"	"45"	"64"	"2"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"1"	"487"	"0"	"487"	"0"
"132"	"108"	"MIDDLE SCHOOL DHULHINGANJ"	"5"	"839"	"35"	"2"	"5"	"1"	"20"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"910"	"0"	"910"	"0"
"133"	"109"	"PRIMARY SCHOOL , BANKAT"	"0"	"53"	"285"	"18"	"88"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"134"	"110"	"PRIMARY SCHOOL SUNDARA"	"99"	"120"	"128"	"24"	"2"	"0"	"5"	"1"	"2"	"0"	"1"	"1"	"3"	"2"	"0"	"1"	"389"	"0"	"389"	"0"
"135"	"111"	"PRIMARY SCHOOL MEADAPUR"	"1"	"14"	"281"	"3"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"2"	"0"	"328"	"0"	"328"	"0"
"136"	"112"	"PRIMARY SCHOOL TULSHI"	"1"	"107"	"36"	"153"	"88"	"0"	"21"	"4"	"7"	"1"	"2"	"0"	"3"	"0"	"2"	"0"	"425"	"0"	"425"	"0"
"137"	"113"	"PRIMARY SCHOOL MATURAPUR"	"0"	"29"	"191"	"59"	"12"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"296"	"0"	"296"	"0"
"138"	"114"	"PRIMARY SCHOOL MATHURAPUR ( NEW BHAWAN)"	"7"	"82"	"135"	"145"	"11"	"0"	"139"	"4"	"4"	"4"	"0"	"1"	"5"	"2"	"0"	"0"	"539"	"0"	"539"	"0"
"139"	"115"	"MIDDLE SCHOOL KAURA"	"0"	"18"	"0"	"804"	"4"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"1"	"0"	"0"	"1"	"835"	"0"	"835"	"0"
"140"	"116"	"HIGH SCHOOL KAURA (EAST PART)"	"3"	"33"	"4"	"627"	"6"	"1"	"0"	"2"	"0"	"0"	"6"	"1"	"4"	"2"	"1"	"1"	"691"	"0"	"691"	"0"
"141"	"117"	"HIGH SCHOOL , KOORA (WEST PART )"	"8"	"144"	"23"	"482"	"3"	"1"	"7"	"3"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"4"	"682"	"0"	"682"	"0"
"142"	"118"	"PRIMARY SCHOOL GAYANPUR"	"4"	"199"	"345"	"14"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"0"	"576"	"0"	"576"	"0"
"143"	"119"	"PRIMARY SCHOOL , MATIYA ( SOUTH PART)"	"0"	"139"	"245"	"30"	"61"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"484"	"0"	"484"	"0"
"144"	"120"	"PRIMARY SCHOOL SHULTAN PUR"	"6"	"56"	"210"	"111"	"25"	"0"	"57"	"1"	"5"	"3"	"0"	"0"	"3"	"2"	"0"	"1"	"480"	"0"	"480"	"0"
"145"	"121"	"PRIMARY SCHOOL , ASUDHAN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"146"	"122"	"HIGH SCHOOL BARNOW (SOUTH PART)"	"28"	"17"	"174"	"270"	"8"	"1"	"3"	"1"	"2"	"0"	"1"	"0"	"5"	"10"	"2"	"7"	"529"	"0"	"529"	"0"
"147"	"123"	"HIGH SCHOOL , BARNOW (SOUTH PART)"	"5"	"3"	"722"	"65"	"14"	"0"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"821"	"0"	"821"	"0"
"148"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"149"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"150"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"151"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"152"	"124"	"MIDDLE SCHOOL ,BARNOW"	"0"	"65"	"537"	"89"	"28"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"721"	"0"	"721"	"0"
"153"	"125"	"PRIMARY SCHOOL , DULARPUR"	"7"	"335"	"21"	"22"	"3"	"0"	"43"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"439"	"0"	"439"	"0"
"154"	"126"	"PRIMARY SCHOOL , KAHEN"	"0"	"107"	"94"	"204"	"127"	"1"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"574"	"0"	"574"	"0"
"155"	"127"	"HIGH SCHOOL , MASUDHI"	"8"	"170"	"62"	"160"	"34"	"1"	"42"	"3"	"4"	"8"	"2"	"0"	"4"	"10"	"1"	"6"	"515"	"0"	"515"	"0"
"156"	"128"	"SAMUDAYK BAWAN , KAHTU"	"10"	"188"	"70"	"114"	"24"	"2"	"14"	"7"	"1"	"3"	"1"	"2"	"6"	"3"	"5"	"2"	"452"	"0"	"452"	"0"
"157"	"129"	"PRIMARY SCHOOL , KAHTU"	"7"	"148"	"78"	"21"	"16"	"0"	"39"	"2"	"3"	"1"	"0"	"0"	"1"	"2"	"3"	"3"	"324"	"0"	"324"	"0"
"158"	"130"	"MIDDLE SCHOOL LAKCHMI PUR"	"2"	"196"	"26"	"38"	"43"	"6"	"182"	"9"	"3"	"9"	"1"	"3"	"4"	"6"	"7"	"2"	"537"	"0"	"537"	"0"
"159"	"131"	"PRIMARY SCHOOL , SHRIPUR"	"14"	"368"	"29"	"5"	"5"	"7"	"292"	"12"	"2"	"7"	"2"	"3"	"2"	"2"	"1"	"11"	"762"	"0"	"762"	"0"
"160"	"132"	"PRIMARY SCHOOL , KUSUMHA"	"0"	"5"	"124"	"3"	"68"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"208"	"0"	"208"	"0"
"161"	"133"	"PRIMARY SCHOOL , BAVNIAWO (EAST PART)"	"19"	"25"	"229"	"120"	"98"	"6"	"66"	"7"	"8"	"1"	"18"	"3"	"9"	"18"	"2"	"7"	"636"	"0"	"636"	"0"
"162"	"134"	"PRIMARY SCHOOL ,BAVNIAON(WEST PART)"	"6"	"38"	"6"	"121"	"18"	"3"	"202"	"11"	"9"	"15"	"4"	"7"	"7"	"6"	"7"	"10"	"470"	"0"	"470"	"0"
"163"	"135"	"PRIMARY SCHOOL,PILAPUR"	"3"	"370"	"51"	"30"	"222"	"3"	"10"	"1"	"2"	"1"	"0"	"2"	"5"	"1"	"1"	"0"	"702"	"0"	"702"	"0"
"164"	"136"	"PRIMARY SCHOOL , DAVTOLA"	"0"	"45"	"277"	"28"	"225"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"581"	"0"	"581"	"0"
"165"	"137"	"PRIMARY SCHOOL , TIKTHI"	"8"	"73"	"78"	"44"	"51"	"4"	"133"	"12"	"4"	"4"	"2"	"1"	"9"	"8"	"3"	"6"	"440"	"0"	"440"	"0"
"166"	"138"	"MIDDLE SCHOOL , HATPOKHR (EAST PART)"	"3"	"441"	"40"	"107"	"5"	"3"	"130"	"8"	"1"	"4"	"5"	"1"	"0"	"2"	"2"	"2"	"754"	"0"	"754"	"0"
"167"	"139"	"MIDDLE SCHOOL HATPOKHAR (WEST PART)"	"1"	"338"	"0"	"31"	"12"	"1"	"34"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"419"	"0"	"419"	"0"
"168"	"140"	"PRIMARY SCHOOL ,MAGHUPUR"	"7"	"207"	"31"	"5"	"26"	"1"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"376"	"0"	"376"	"0"
"169"	"141"	"HIGH SCHOOL , PARASIYA"	"3"	"233"	"7"	"159"	"11"	"1"	"247"	"12"	"6"	"6"	"7"	"0"	"3"	"0"	"1"	"0"	"696"	"0"	"696"	"0"
"170"	"142"	"PRIMARY SCHOOL , DILYEA"	"7"	"234"	"45"	"67"	"7"	"2"	"117"	"5"	"2"	"4"	"3"	"1"	"2"	"7"	"6"	"12"	"521"	"0"	"521"	"0"
"171"	"143"	"PANCHYAT BAWAN , VARDPARWA"	"9"	"135"	"28"	"125"	"174"	"4"	"27"	"13"	"3"	"1"	"3"	"11"	"8"	"8"	"6"	"4"	"559"	"0"	"559"	"0"
"172"	"144"	"PRIMARY SCHOOL , DULLWOR (WARDPALWA)"	"3"	"156"	"158"	"88"	"114"	"9"	"189"	"12"	"6"	"8"	"2"	"1"	"10"	"14"	"6"	"5"	"781"	"0"	"781"	"0"
"173"	"145"	"PRIMARY SCHOOL , BUDHWAL (NORTH PART)"	"6"	"288"	"125"	"77"	"26"	"1"	"25"	"3"	"4"	"1"	"0"	"1"	"1"	"2"	"0"	"3"	"563"	"0"	"563"	"0"
"174"	"146"	"PRIMARY SCHOOL , BUDHWEL (SOUTH PART)"	"0"	"184"	"202"	"5"	"117"	"2"	"20"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"538"	"0"	"538"	"0"
"175"	"147"	"MIDDLE SCHOOL , TINMURTYA"	"4"	"277"	"159"	"14"	"76"	"1"	"94"	"2"	"3"	"1"	"0"	"2"	"4"	"1"	"5"	"5"	"648"	"0"	"648"	"0"
"176"	"148"	"PACHYAT BAWAMN ,TINMURTYA"	"10"	"355"	"19"	"1"	"8"	"3"	"118"	"8"	"2"	"1"	"0"	"1"	"2"	"1"	"5"	"0"	"534"	"0"	"534"	"0"
"177"	"149"	"PRIMARY SCHOOL , SONBARSA"	"7"	"25"	"131"	"22"	"101"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"295"	"0"	"295"	"0"
"178"	"150"	"PRIMARY SCHOOL , DEHRI"	"8"	"284"	"148"	"109"	"31"	"2"	"6"	"11"	"11"	"4"	"7"	"1"	"10"	"4"	"2"	"0"	"638"	"0"	"638"	"0"
"179"	"151"	"PRIMARY SCHOOL , SHIVPUR ( SOUTH PART)"	"2"	"125"	"276"	"4"	"51"	"1"	"19"	"2"	"1"	"4"	"2"	"1"	"2"	"3"	"5"	"0"	"498"	"0"	"498"	"0"
"180"	"152"	"PRIMARY SCHOOL , SHIVPUR (NORTH PART)"	"4"	"307"	"79"	"5"	"37"	"2"	"10"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"448"	"0"	"448"	"0"
"181"	"153"	"PRIMARY SCHOOL , DAVRADH ( NORTH PART)"	"5"	"166"	"89"	"17"	"69"	"1"	"73"	"6"	"1"	"1"	"1"	"3"	"3"	"4"	"0"	"1"	"440"	"0"	"440"	"0"
"182"	"154"	"PRIMARY SCHOOL ,DAVRADH (SOUTH PART)"	"6"	"211"	"56"	"16"	"44"	"6"	"193"	"7"	"3"	"5"	"3"	"1"	"3"	"1"	"3"	"4"	"562"	"0"	"562"	"0"
"183"	"155"	"PRIMARY  SCHOOL , KUNAYI"	"53"	"79"	"7"	"11"	"5"	"13"	"275"	"10"	"6"	"4"	"1"	"2"	"3"	"5"	"4"	"9"	"487"	"0"	"487"	"0"
"184"	"156"	"MIDDLE SCHOOL ,MAHURAHI ( NORTH PART)"	"0"	"101"	"101"	"16"	"40"	"1"	"218"	"3"	"2"	"1"	"8"	"0"	"5"	"0"	"1"	"0"	"497"	"0"	"497"	"0"
"185"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"186"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"187"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"188"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"189"	"157"	"PRIMARY SCHOOL,KESARY( NORTH PART)"	"3"	"120"	"110"	"34"	"98"	"8"	"126"	"7"	"5"	"5"	"65"	"1"	"5"	"5"	"6"	"7"	"605"	"0"	"605"	"0"
"190"	"158"	"PRIMARY SCHOOL,KESARY(SOUTH PART)"	"3"	"173"	"6"	"17"	"51"	"7"	"85"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"352"	"0"	"352"	"0"
"191"	"159"	"PRIMARY SCHOOL ,DHANGAI"	"15"	"241"	"19"	"94"	"6"	"1"	"5"	"4"	"1"	"2"	"140"	"0"	"8"	"3"	"0"	"6"	"545"	"0"	"545"	"0"
"192"	"160"	"PRIMARY SCHOOL , BASUNAI"	"3"	"144"	"54"	"45"	"23"	"0"	"29"	"11"	"6"	"1"	"114"	"1"	"4"	"5"	"0"	"4"	"444"	"0"	"444"	"0"
"193"	"161"	"PRIMARY SCHOOL , MITHYA ( EAST PART)"	"4"	"37"	"160"	"19"	"231"	"5"	"78"	"8"	"4"	"2"	"4"	"2"	"1"	"7"	"0"	"0"	"562"	"0"	"562"	"0"
"194"	"162"	"PRIMARY SCHOOL , MITHYA (WEST PART)"	"4"	"16"	"25"	"113"	"48"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"210"	"0"	"210"	"0"
"195"	"163"	"MIDDLE SCHOOL , MAHRUHI (SOUTH PART)"	"1"	"43"	"54"	"28"	"30"	"2"	"110"	"7"	"4"	"5"	"125"	"5"	"3"	"0"	"3"	"2"	"422"	"0"	"422"	"0"
"196"	"164"	"MIDDLE SCHOOL , DALIPPUR DIEH ( EAST PART)"	"0"	"196"	"4"	"15"	"4"	"0"	"5"	"1"	"0"	"3"	"289"	"1"	"1"	"1"	"0"	"2"	"522"	"0"	"522"	"0"
"197"	"165"	"MIDDEL SCHOOL , DILEPPUR DIEH (WEST PART)"	"8"	"154"	"7"	"29"	"3"	"2"	"84"	"5"	"2"	"1"	"52"	"2"	"4"	"0"	"1"	"2"	"356"	"0"	"356"	"0"
"198"	"166"	"HIGH SCHOOL , DILIPPUR(WEST PART)"	"4"	"198"	"10"	"86"	"10"	"2"	"34"	"9"	"3"	"2"	"42"	"4"	"11"	"3"	"7"	"8"	"433"	"0"	"433"	"0"
"199"	"167"	"HIGH SCHOOL , DILIPPUR (EAST PART)"	"6"	"183"	"93"	"69"	"12"	"1"	"4"	"12"	"2"	"2"	"4"	"2"	"8"	"17"	"5"	"5"	"425"	"0"	"425"	"0"
"200"	"168"	"HIGH SCHOOL , DALIPPUR (MIDDEL PART)"	"15"	"116"	"201"	"140"	"20"	"1"	"112"	"2"	"1"	"3"	"14"	"1"	"5"	"3"	"1"	"1"	"636"	"0"	"636"	"0"
"201"	"169"	"KANYA MIDDLE SCHOOL ,DALIPPUR"	"0"	"195"	"40"	"158"	"77"	"2"	"2"	"1"	"0"	"0"	"1"	"1"	"5"	"4"	"2"	"2"	"490"	"0"	"490"	"0"
"202"	"170"	"MIDDLE SCHOOL , TENDUNI"	"10"	"377"	"63"	"42"	"190"	"5"	"16"	"10"	"4"	"4"	"4"	"2"	"9"	"17"	"15"	"9"	"777"	"0"	"777"	"0"
"203"	"171"	"PANCHYAT BAWAN ,TENDUNI"	"60"	"521"	"53"	"55"	"10"	"1"	"15"	"6"	"3"	"0"	"4"	"1"	"9"	"3"	"2"	"7"	"750"	"0"	"750"	"0"
"204"	"172"	"PRIMARY SCHOOL KODHVA"	"6"	"223"	"82"	"17"	"63"	"1"	"13"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"412"	"0"	"412"	"0"
"205"	"173"	"MIDDLE SCHOOL ,SANGAM TOLA (WEST PART)"	"9"	"474"	"14"	"92"	"2"	"0"	"35"	"1"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"634"	"0"	"634"	"0"
"206"	"174"	"MIDDEL SCHOOL ,SANGAMTOLA (EAST PART)"	"6"	"286"	"31"	"20"	"4"	"1"	"42"	"2"	"1"	"0"	"4"	"0"	"1"	"1"	"2"	"0"	"401"	"0"	"401"	"0"
"207"	"175"	"PRIMARY SCHOOL ,BHARASRAA"	"13"	"153"	"130"	"278"	"57"	"3"	"37"	"6"	"7"	"1"	"5"	"4"	"7"	"19"	"3"	"7"	"730"	"0"	"730"	"0"
"208"	"176"	"MIDDEL SCHOOL SEARUYA (NORTH PART)"	"5"	"26"	"31"	"178"	"21"	"3"	"123"	"9"	"5"	"16"	"7"	"2"	"9"	"4"	"4"	"18"	"461"	"0"	"461"	"0"
"209"	"177"	"MIDDLE SCHOOL SEARUYA (SOUTH PART)"	"4"	"23"	"21"	"294"	"94"	"7"	"36"	"10"	"7"	"1"	"2"	"6"	"13"	"6"	"4"	"13"	"541"	"0"	"541"	"0"
"210"	"178"	"PRIMARY SCHOOL ,BAHUARA"	"3"	"90"	"5"	"203"	"22"	"3"	"104"	"2"	"3"	"7"	"0"	"2"	"1"	"5"	"1"	"3"	"454"	"0"	"454"	"0"
"211"	"179"	"PRIMARY SCHOOL , BAARHI"	"13"	"357"	"222"	"2"	"8"	"0"	"13"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"621"	"0"	"621"	"0"
"212"	"180"	"PRIMARY SCHOOL , MANGURA"	"12"	"523"	"96"	"0"	"5"	"0"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"672"	"0"	"672"	"0"
"213"	"181"	"PRIMARY SCHOOL , ANSHUDHR"	"2"	"5"	"422"	"6"	"90"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"526"	"0"	"526"	"0"
"214"	"182"	"PRIMARY SCHOOL , NAWER POKHAR"	"10"	"56"	"115"	"32"	"74"	"3"	"19"	"11"	"10"	"4"	"0"	"3"	"8"	"5"	"3"	"3"	"356"	"0"	"356"	"0"
"215"	"183"	"MIDDLE SCHOOL , KAKILA"	"2"	"129"	"65"	"53"	"11"	"0"	"98"	"3"	"2"	"3"	"42"	"0"	"2"	"2"	"3"	"1"	"416"	"0"	"416"	"0"
"216"	"184"	"TAHSIL KACHARI , KAKILA"	"20"	"28"	"126"	"81"	"33"	"2"	"150"	"10"	"10"	"4"	"5"	"2"	"7"	"5"	"2"	"9"	"494"	"0"	"494"	"0"
"217"	"185"	"PRIMARY SCHOOL , PALIYA"	"5"	"18"	"90"	"64"	"7"	"1"	"114"	"4"	"3"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"311"	"0"	"311"	"0"
"218"	"186"	"PRIMARY SCHOOL  , DIULE"	"8"	"278"	"37"	"69"	"4"	"3"	"138"	"15"	"8"	"12"	"3"	"2"	"7"	"10"	"5"	"16"	"615"	"0"	"615"	"0"
"219"	"187"	"PRIMARY SCHOOL , UGANA (NORTH PART)"	"44"	"21"	"24"	"64"	"4"	"2"	"177"	"4"	"2"	"1"	"5"	"1"	"4"	"18"	"5"	"9"	"385"	"0"	"385"	"0"
"220"	"188"	"PRIMARY SCHOOL , UGANA ( SOUTH PART)"	"2"	"11"	"263"	"18"	"24"	"2"	"97"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"421"	"0"	"421"	"0"
"221"	"189"	"MIDDLE SCHOOL , IYEAR ( EAST PART)"	"9"	"32"	"22"	"22"	"88"	"3"	"118"	"0"	"5"	"5"	"97"	"1"	"1"	"1"	"1"	"3"	"408"	"0"	"408"	"0"
"222"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"223"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"224"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"225"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"226"	"190"	"MIDDLE SCHOOL , IYEAR (WEST PART)"	"9"	"14"	"22"	"35"	"31"	"2"	"115"	"3"	"3"	"4"	"79"	"2"	"1"	"2"	"1"	"3"	"326"	"0"	"326"	"0"
"227"	"191"	"URDU PRIMARY SCHOOL , IYEAR"	"1"	"66"	"70"	"141"	"53"	"4"	"84"	"7"	"5"	"5"	"19"	"3"	"7"	"6"	"5"	"2"	"478"	"0"	"478"	"0"
"228"	"192"	"HIGH SCHOOL , IYEAR (SOUTH PART)"	"14"	"20"	"117"	"134"	"163"	"4"	"103"	"6"	"3"	"1"	"2"	"0"	"3"	"2"	"0"	"8"	"580"	"0"	"580"	"0"
"229"	"193"	"HIGH SCHOOL IYEAR (NORTH PART)"	"2"	"6"	"225"	"0"	"8"	"0"	"73"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"0"	"315"	"0"
"230"	"194"	"HIGH SCHOOL , BALIGAON (NORTH PART)"	"4"	"137"	"88"	"255"	"9"	"3"	"34"	"5"	"2"	"2"	"2"	"0"	"1"	"2"	"4"	"2"	"550"	"0"	"550"	"0"
"231"	"195"	"HIGH SCHOOL , BALIGAON (SOUTH PART)"	"1"	"21"	"17"	"523"	"10"	"0"	"54"	"2"	"1"	"0"	"0"	"1"	"7"	"9"	"2"	"4"	"652"	"0"	"652"	"0"
"232"	"196"	"MIDDLE SCHOOL , BALIGAON (NORTH PART)"	"0"	"8"	"13"	"714"	"4"	"1"	"15"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"761"	"0"	"761"	"0"
"233"	"197"	"MIDDLE SCHOOL , BALIGAON (SOUTH PART)"	"5"	"10"	"14"	"596"	"11"	"1"	"88"	"4"	"2"	"10"	"0"	"1"	"3"	"0"	"2"	"5"	"752"	"0"	"752"	"0"
"234"	"198"	"PRIMARY SCHOOL , SHRINAGAR"	"9"	"79"	"118"	"20"	"129"	"6"	"61"	"2"	"1"	"2"	"0"	"0"	"4"	"5"	"2"	"5"	"443"	"0"	"443"	"0"
"235"	"199"	"PRIMARY SCHOOL , LALIT KA BATHAN"	"4"	"70"	"126"	"2"	"56"	"0"	"39"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"302"	"0"	"302"	"0"
"236"	"200"	"MIDDLE SCHOOL , LALGANJ"	"10"	"133"	"131"	"56"	"25"	"6"	"67"	"6"	"7"	"3"	"4"	"4"	"7"	"6"	"4"	"2"	"471"	"0"	"471"	"0"
"237"	"201"	"PRIMARY SCHOOL ,MAHTHIN TOLA"	"10"	"514"	"39"	"9"	"71"	"5"	"70"	"15"	"3"	"2"	"1"	"1"	"5"	"1"	"1"	"3"	"750"	"0"	"750"	"0"
"238"	"202"	"PRIMARY SCHOOL , VIDERAI"	"2"	"338"	"57"	"10"	"7"	"0"	"18"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"434"	"0"	"434"	"0"
