"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of"	"No.of.Rejecte"	"Total"	"No.of"
"184"	"142"	"421"	"11"	"143"	"12"	"6"	"86"	"4"	"3"	"2"	"6"	"26"	"720"	"0"	"720"	"0"
"185"	"143"	"111"	"9"	"60"	"4"	"3"	"161"	"8"	"4"	"6"	"3"	"1"	"370"	"0"	"370"	"0"
"186"	"144"	"218"	"7"	"81"	"14"	"3"	"59"	"7"	"6"	"14"	"8"	"35"	"452"	"0"	"452"	"0"
"187"	"145"	"421"	"10"	"96"	"12"	"5"	"22"	"5"	"6"	"6"	"17"	"60"	"660"	"0"	"660"	"0"
"188"	"146"	"288"	"1"	"8"	"18"	"0"	"1"	"1"	"0"	"3"	"1"	"9"	"330"	"0"	"330"	"0"
"189"	"147"	"45"	"7"	"172"	"11"	"5"	"278"	"9"	"12"	"7"	"1"	"3"	"550"	"0"	"550"	"0"
"190"	"148"	"97"	"4"	"367"	"10"	"14"	"27"	"0"	"3"	"7"	"4"	"10"	"543"	"0"	"543"	"0"
"191"	"149"	"96"	"7"	"135"	"20"	"7"	"161"	"16"	"9"	"11"	"6"	"29"	"497"	"0"	"497"	"0"
"192"	"150"	"58"	"14"	"283"	"21"	"4"	"11"	"4"	"4"	"5"	"6"	"22"	"432"	"0"	"432"	"0"
"193"	"151"	"63"	"4"	"142"	"12"	"4"	"219"	"5"	"9"	"20"	"7"	"18"	"503"	"0"	"503"	"0"
"194"	"152"	"71"	"4"	"52"	"6"	"2"	"205"	"11"	"6"	"10"	"5"	"9"	"381"	"0"	"381"	"0"
"195"	"153"	"21"	"5"	"143"	"8"	"7"	"166"	"7"	"7"	"8"	"3"	"13"	"388"	"0"	"388"	"0"
"196"	"154"	"70"	"8"	"396"	"5"	"0"	"44"	"5"	"2"	"6"	"2"	"7"	"545"	"0"	"545"	"0"
"197"	"Total"	"2091"	"94"	"2143"	"156"	"60"	"1488"	"83"	"73"	"110"	"74"	"248"	"6620"	"0"	"6620"	"0"
"198"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"199"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"201"	"155"	"96"	"12"	"474"	"20"	"10"	"92"	"9"	"11"	"18"	"12"	"29"	"783"	"0"	"783"	"0"
"202"	"156"	"106"	"3"	"281"	"14"	"4"	"65"	"3"	"3"	"6"	"2"	"7"	"494"	"0"	"494"	"0"
"203"	"157"	"298"	"11"	"213"	"16"	"20"	"9"	"5"	"5"	"8"	"2"	"20"	"607"	"0"	"607"	"0"
"204"	"158"	"124"	"6"	"158"	"7"	"5"	"103"	"5"	"6"	"8"	"2"	"10"	"434"	"0"	"434"	"0"
"205"	"159"	"284"	"3"	"136"	"10"	"8"	"43"	"5"	"2"	"4"	"1"	"22"	"518"	"0"	"518"	"0"
"206"	"160"	"59"	"7"	"328"	"13"	"2"	"8"	"4"	"17"	"2"	"1"	"10"	"451"	"0"	"451"	"0"
"207"	"161"	"80"	"4"	"295"	"8"	"11"	"11"	"4"	"10"	"12"	"3"	"18"	"456"	"0"	"456"	"0"
"208"	"162"	"299"	"8"	"117"	"13"	"18"	"7"	"2"	"1"	"2"	"5"	"12"	"484"	"0"	"484"	"0"
"209"	"163"	"347"	"2"	"93"	"8"	"5"	"4"	"1"	"3"	"4"	"6"	"28"	"501"	"0"	"501"	"0"
"210"	"164"	"337"	"5"	"29"	"6"	"3"	"2"	"1"	"2"	"1"	"7"	"19"	"412"	"0"	"412"	"0"
"211"	"165"	"362"	"13"	"172"	"18"	"4"	"21"	"5"	"5"	"6"	"9"	"50"	"665"	"0"	"665"	"0"
"212"	"166"	"182"	"5"	"203"	"4"	"3"	"31"	"3"	"2"	"4"	"5"	"8"	"450"	"0"	"450"	"0"
"213"	"167"	"23"	"11"	"576"	"28"	"5"	"7"	"7"	"5"	"13"	"8"	"18"	"701"	"0"	"701"	"0"
"214"	"168"	"34"	"9"	"433"	"13"	"8"	"7"	"3"	"10"	"14"	"7"	"21"	"559"	"0"	"559"	"0"
"215"	"Total"	"2631"	"99"	"3508"	"178"	"106"	"410"	"57"	"82"	"102"	"70"	"272"	"7515"	"0"	"7515"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"217"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"219"	"Total No. of Votes recorded on Polling Stations"	"23338"	"1814"	"28249"	"1658"	"2546"	"27435"	"1685"	"1265"	"1792"	"838"	"2702"	"93322"	"0"	"93322"	"0"
"220"	"No. of Votes recorded on Postal Ballot
papers"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"2"	"8"	"0"
"221"	"Total Votes Polled"	"23340"	"1814"	"28252"	"1658"	"2546"	"27436"	"1685"	"1265"	"1792"	"838"	"2702"	"93328"	"2"	"93330"	"0"
"222"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Date :            02/27/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Assistant Returning Officer                                Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"103- Balia A.C.                                              103- Balia A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
