"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"171"	"91"	"13"	"12"	"199"	"148"	"3"	"0"	"31"	"9"	"10"	"2"	"9"	"2"	"12"	"143"	"593"	""	"593"	""
"172"	"92"	"44"	"3"	"108"	"157"	"8"	"2"	"13"	"6"	"1"	"4"	"13"	"0"	"3"	"51"	"413"	""	"413"	""
"173"	"93"	"100"	"2"	"85"	"47"	"15"	"1"	"13"	"13"	"16"	"1"	"8"	"4"	"5"	"51"	"361"	""	"361"	""
"174"	"94"	"111"	"15"	"172"	"57"	"7"	"3"	"6"	"10"	"3"	"3"	"4"	"14"	"3"	"77"	"485"	""	"485"	""
"175"	"95"	"33"	"2"	"103"	"53"	"5"	"2"	"10"	"11"	"1"	"4"	"8"	"4"	"9"	"178"	"423"	""	"423"	""
"176"	"96"	"47"	"9"	"193"	"66"	"7"	"3"	"9"	"6"	"9"	"6"	"6"	"8"	"3"	"66"	"438"	""	"438"	""
"177"	"97"	"263"	"9"	"89"	"7"	"2"	"2"	"2"	"8"	"6"	"3"	"6"	"1"	"9"	"155"	"562"	""	"562"	""
"178"	"98"	"202"	"9"	"11"	"3"	"3"	"3"	"1"	"12"	"8"	"3"	"2"	"4"	"4"	"265"	"530"	""	"530"	""
"179"	"Current Round Total"	"1024"	"113"	"1883"	"1066"	"79"	"39"	"168"	"136"	"89"	"60"	"123"	"73"	"103"	"2072"	"7028"	"0"	"7028"	"0"
"180"	"Previous Round Total"	"15174"	"838"	"7647"	"4629"	"1073"	"227"	"655"	"990"	"1242"	"383"	"630"	"373"	"535"	"7858"	"42254"	"0"	"42254"	"0"
"181"	"TOTAL"	"16198"	"951"	"9530"	"5695"	"1152"	"266"	"823"	"1126"	"1331"	"443"	"753"	"446"	"638"	"9930"	"49282"	"0"	"49282"	"0"
"182"	"(Statutory Rules and Order)                                                       ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"188"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"189"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"190"	"99"	"22"	"2"	"358"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"6"	"391"	""	"391"	""
"191"	"100"	"218"	"6"	"27"	"22"	"7"	"4"	"4"	"6"	"1"	"2"	"5"	"4"	"6"	"256"	"568"	""	"568"	""
"192"	"101"	"473"	"11"	"120"	"18"	"7"	"6"	"7"	"18"	"3"	"0"	"5"	"2"	"3"	"61"	"734"	""	"734"	""
"193"	"102"	"300"	"14"	"64"	"20"	"6"	"3"	"6"	"11"	"14"	"9"	"6"	"2"	"9"	"173"	"637"	""	"637"	""
"194"	"103"	"48"	"1"	"68"	"39"	"12"	"3"	"7"	"8"	"10"	"4"	"10"	"6"	"10"	"435"	"661"	""	"661"	""
"195"	"104"	"120"	"3"	"17"	"20"	"107"	"5"	"6"	"5"	"9"	"6"	"5"	"7"	"7"	"95"	"412"	""	"412"	""
"196"	"105"	"100"	"8"	"120"	"46"	"105"	"5"	"8"	"8"	"14"	"3"	"13"	"8"	"8"	"155"	"601"	""	"601"	""
"197"	"106"	"163"	"21"	"41"	"126"	"56"	"8"	"31"	"14"	"8"	"6"	"6"	"5"	"1"	"22"	"508"	""	"508"	""
"198"	"107"	"37"	"6"	"269"	"27"	"6"	"4"	"5"	"9"	"11"	"4"	"5"	"5"	"0"	"13"	"401"	""	"401"	""
"199"	"108"	"37"	"10"	"192"	"29"	"10"	"2"	"10"	"3"	"3"	"0"	"5"	"3"	"13"	"15"	"332"	""	"332"	""
"200"	"109"	"290"	"16"	"21"	"46"	"16"	"6"	"14"	"15"	"8"	"4"	"4"	"5"	"1"	"9"	"455"	""	"455"	""
"201"	"110"	"176"	"10"	"74"	"11"	"5"	"5"	"13"	"31"	"254"	"14"	"17"	"13"	"10"	"36"	"669"	""	"669"	""
"202"	"111"	"272"	"14"	"59"	"35"	"9"	"4"	"5"	"14"	"38"	"5"	"9"	"7"	"11"	"73"	"555"	""	"555"	""
"203"	"112"	"280"	"11"	"25"	"28"	"12"	"5"	"8"	"20"	"120"	"8"	"11"	"3"	"2"	"28"	"561"	""	"561"	""
"204"	"Current Round Total"	"2536"	"133"	"1455"	"468"	"359"	"60"	"124"	"162"	"494"	"65"	"101"	"70"	"81"	"1377"	"7485"	"0"	"7485"	"0"
"205"	"Previous Round Total"	"16198"	"951"	"9530"	"5695"	"1152"	"266"	"823"	"1126"	"1331"	"443"	"753"	"446"	"638"	"9930"	"49282"	"0"	"49282"	"0"
"206"	"TOTAL"	"18734"	"1084"	"10985"	"6163"	"1511"	"326"	"947"	"1288"	"1825"	"508"	"854"	"516"	"719"	"11307"	"56767"	"0"	"56767"	"0"
"207"	"(Statutory Rules and Order)                                                       ROUND : NINTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"213"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"214"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"215"	"113"	"258"	"2"	"36"	"19"	"4"	"2"	"2"	"2"	"34"	"1"	"4"	"1"	"1"	"29"	"395"	""	"395"	""
"216"	"114"	"152"	"6"	"49"	"189"	"9"	"2"	"16"	"9"	"5"	"5"	"9"	"8"	"8"	"75"	"542"	""	"542"	""
"217"	"115"	"469"	"12"	"43"	"74"	"6"	"4"	"10"	"9"	"22"	"3"	"2"	"3"	"3"	"31"	"691"	""	"691"	""
"218"	"116"	"227"	"0"	"101"	"8"	"12"	"7"	"8"	"26"	"24"	"2"	"6"	"8"	"5"	"55"	"489"	""	"489"	""
"219"	"117"	"138"	"12"	"54"	"10"	"24"	"3"	"3"	"8"	"4"	"7"	"7"	"6"	"9"	"124"	"409"	""	"409"	""
"220"	"118"	"311"	"12"	"30"	"185"	"5"	"4"	"11"	"17"	"14"	"6"	"14"	"4"	"5"	"77"	"695"	""	"695"	""
"221"	"119"	"450"	"4"	"24"	"30"	"4"	"1"	"8"	"4"	"10"	"0"	"2"	"20"	"2"	"49"	"608"	""	"608"	""
"222"	"120"	"78"	"7"	"194"	"29"	"12"	"2"	"17"	"15"	"23"	"3"	"19"	"12"	"8"	"198"	"617"	""	"617"	""
"223"	"121"	"27"	"6"	"97"	"53"	"8"	"0"	"6"	"3"	"6"	"1"	"4"	"16"	"3"	"138"	"368"	""	"368"	""
"224"	"122"	"187"	"6"	"44"	"201"	"18"	"5"	"38"	"14"	"10"	"17"	"22"	"7"	"14"	"95"	"678"	""	"678"	""
"225"	"123"	"109"	"9"	"37"	"40"	"18"	"1"	"4"	"2"	"2"	"3"	"3"	"6"	"3"	"15"	"252"	""	"252"	""
"226"	"124"	"316"	"13"	"47"	"15"	"12"	"5"	"5"	"18"	"9"	"6"	"3"	"2"	"5"	"97"	"553"	""	"553"	""
"227"	"125"	"167"	"3"	"9"	"26"	"1"	"1"	"3"	"1"	"1"	"1"	"4"	"2"	"2"	"24"	"245"	""	"245"	""
"228"	"126"	"82"	"9"	"38"	"264"	"13"	"1"	"27"	"18"	"2"	"6"	"14"	"4"	"6"	"23"	"507"	""	"507"	""
"229"	"Current Round Total"	"2971"	"101"	"803"	"1143"	"146"	"38"	"158"	"146"	"166"	"61"	"113"	"99"	"74"	"1030"	"7049"	"0"	"7049"	"0"
"230"	"Previous Round Total"	"18734"	"1084"	"10985"	"6163"	"1511"	"326"	"947"	"1288"	"1825"	"508"	"854"	"516"	"719"	"11307"	"56767"	"0"	"56767"	"0"
"231"	"TOTAL"	"21705"	"1185"	"11788"	"7306"	"1657"	"364"	"1105"	"1434"	"1991"	"569"	"967"	"615"	"793"	"12337"	"63816"	"0"	"63816"	"0"
"232"	"(Statutory Rules and Order)                                                       ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"238"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"239"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"240"	"127"	"164"	"9"	"25"	"102"	"4"	"1"	"14"	"14"	"9"	"3"	"12"	"2"	"1"	"38"	"398"	""	"398"	""
"241"	"128"	"145"	"2"	"32"	"75"	"8"	"3"	"4"	"12"	"11"	"8"	"11"	"8"	"3"	"88"	"410"	""	"410"	""
"242"	"129"	"25"	"9"	"7"	"227"	"25"	"3"	"37"	"10"	"3"	"9"	"34"	"8"	"8"	"100"	"505"	""	"505"	""
"243"	"130"	"13"	"5"	"4"	"339"	"21"	"4"	"34"	"3"	"2"	"5"	"24"	"3"	"8"	"20"	"485"	""	"485"	""
"244"	"131"	"42"	"10"	"17"	"316"	"49"	"6"	"36"	"16"	"4"	"12"	"22"	"8"	"5"	"60"	"603"	""	"603"	""
"245"	"132"	"24"	"6"	"15"	"254"	"10"	"1"	"22"	"8"	"3"	"3"	"26"	"5"	"6"	"18"	"401"	""	"401"	""
"246"	"133"	"64"	"5"	"44"	"164"	"6"	"2"	"10"	"5"	"1"	"2"	"9"	"2"	"3"	"68"	"385"	""	"385"	""
"247"	"134"	"106"	"18"	"263"	"166"	"21"	"5"	"9"	"15"	"8"	"6"	"9"	"4"	"9"	"12"	"651"	""	"651"	""
"248"	"135"	"203"	"6"	"159"	"25"	"10"	"4"	"2"	"12"	"4"	"2"	"7"	"2"	"3"	"74"	"513"	""	"513"	""
"249"	"136"	"71"	"6"	"39"	"183"	"13"	"4"	"21"	"6"	"7"	"7"	"10"	"2"	"7"	"80"	"456"	""	"456"	""
"250"	"137"	"462"	"6"	"25"	"105"	"6"	"3"	"9"	"13"	"0"	"5"	"12"	"3"	"4"	"80"	"733"	""	"733"	""
"251"	"138"	"10"	"6"	"31"	"275"	"12"	"5"	"47"	"9"	"5"	"5"	"26"	"6"	"6"	"59"	"502"	""	"502"	""
"252"	"139"	"52"	"2"	"10"	"245"	"4"	"2"	"16"	"1"	"2"	"3"	"6"	"1"	"2"	"7"	"353"	""	"353"	""
"253"	"140"	"26"	"5"	"19"	"346"	"14"	"8"	"45"	"9"	"3"	"6"	"17"	"1"	"1"	"24"	"524"	""	"524"	""
"254"	"Current Round Total"	"1407"	"95"	"690"	"2822"	"203"	"51"	"306"	"133"	"62"	"76"	"225"	"55"	"66"	"728"	"6919"	"0"	"6919"	"0"
"255"	"Previous Round Total"	"21705"	"1185"	"11788"	"7306"	"1657"	"364"	"1105"	"1434"	"1991"	"569"	"967"	"615"	"793"	"12337"	"63816"	"0"	"63816"	"0"
"256"	"TOTAL"	"23112"	"1280"	"12478"	"10128"	"1860"	"415"	"1411"	"1567"	"2053"	"645"	"1192"	"670"	"859"	"13065"	"70735"	"0"	"70735"	"0"
"257"	"(Statutory Rules and Order)                                                       ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"263"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"264"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"265"	"141"	"16"	"3"	"6"	"111"	"4"	"0"	"14"	"2"	"1"	"1"	"3"	"0"	"2"	"81"	"244"	""	"244"	""
"266"	"142"	"15"	"6"	"92"	"327"	"8"	"5"	"21"	"8"	"6"	"6"	"30"	"10"	"13"	"157"	"704"	""	"704"	""
"267"	"143"	"77"	"8"	"110"	"363"	"7"	"7"	"45"	"16"	"5"	"12"	"34"	"6"	"6"	"63"	"759"	""	"759"	""
"268"	"144"	"39"	"9"	"16"	"331"	"12"	"6"	"28"	"13"	"4"	"3"	"13"	"3"	"4"	"45"	"526"	""	"526"	""
"269"	"145"	"135"	"11"	"15"	"148"	"9"	"3"	"39"	"6"	"2"	"10"	"9"	"2"	"3"	"9"	"401"	""	"401"	""
"270"	"146"	"51"	"7"	"19"	"515"	"16"	"4"	"17"	"6"	"2"	"13"	"34"	"6"	"15"	"46"	"751"	""	"751"	""
"271"	"147"	"167"	"14"	"43"	"105"	"3"	"2"	"15"	"8"	"6"	"1"	"5"	"1"	"0"	"32"	"402"	""	"402"	""
"272"	"148"	"89"	"9"	"24"	"135"	"3"	"1"	"8"	"2"	"0"	"1"	"5"	"1"	"0"	"8"	"286"	""	"286"	""
"273"	"149"	"150"	"8"	"9"	"68"	"8"	"3"	"13"	"17"	"12"	"6"	"23"	"9"	"6"	"153"	"485"	""	"485"	""
"274"	"150"	"287"	"8"	"14"	"127"	"10"	"5"	"25"	"26"	"2"	"9"	"14"	"4"	"8"	"18"	"557"	""	"557"	""
"275"	"151"	"197"	"4"	"3"	"43"	"12"	"1"	"11"	"11"	"1"	"0"	"1"	"0"	"0"	"6"	"290"	""	"290"	""
"276"	"152"	"123"	"12"	"56"	"141"	"24"	"5"	"8"	"7"	"1"	"4"	"1"	"1"	"1"	"1"	"385"	""	"385"	""
"277"	"153"	"33"	"6"	"61"	"322"	"17"	"0"	"7"	"1"	"2"	"2"	"13"	"0"	"2"	"10"	"476"	""	"476"	""
"278"	"154"	"62"	"7"	"17"	"340"	"22"	"5"	"21"	"9"	"36"	"10"	"31"	"6"	"7"	"33"	"606"	""	"606"	""
"279"	"Current Round Total"	"1441"	"112"	"485"	"3076"	"155"	"47"	"272"	"132"	"80"	"78"	"216"	"49"	"67"	"662"	"6872"	"0"	"6872"	"0"
"280"	"Previous Round Total"	"23112"	"1280"	"12478"	"10128"	"1860"	"415"	"1411"	"1567"	"2053"	"645"	"1192"	"670"	"859"	"13065"	"70735"	"0"	"70735"	"0"
"281"	"TOTAL"	"24553"	"1392"	"12963"	"13204"	"2015"	"462"	"1683"	"1699"	"2133"	"723"	"1408"	"719"	"926"	"13727"	"77607"	"0"	"77607"	"0"
"282"	"(Statutory Rules and Order)                                                       ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"288"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"290"	"155"	"5"	"4"	"23"	"406"	"11"	"1"	"39"	"2"	"28"	"2"	"10"	"1"	"1"	"4"	"537"	""	"537"	""
"291"	"156"	"6"	"0"	"5"	"492"	"47"	"1"	"15"	"0"	"1"	"1"	"9"	"1"	"0"	"7"	"585"	""	"585"	""
"292"	"157"	"10"	"4"	"32"	"393"	"48"	"3"	"17"	"4"	"7"	"3"	"8"	"1"	"0"	"6"	"536"	""	"536"	""
"293"	"158"	"114"	"9"	"9"	"421"	"52"	"2"	"12"	"7"	"2"	"2"	"17"	"5"	"2"	"7"	"661"	""	"661"	""
"294"	"159"	"20"	"6"	"12"	"760"	"0"	"3"	"25"	"6"	"1"	"1"	"9"	"4"	"4"	"24"	"875"	""	"875"	""
"295"	"160"	"54"	"6"	"5"	"639"	"14"	"3"	"18"	"15"	"3"	"5"	"14"	"2"	"3"	"11"	"792"	""	"792"	""
"296"	"161"	"16"	"2"	"29"	"609"	"15"	"6"	"23"	"12"	"8"	"10"	"32"	"1"	"14"	"29"	"806"	""	"806"	""
"297"	"162"	"9"	"1"	"70"	"193"	"8"	"1"	"9"	"4"	"2"	"3"	"7"	"0"	"3"	"55"	"365"	""	"365"	""
"298"	"163"	"221"	"10"	"53"	"33"	"14"	"2"	"13"	"18"	"8"	"7"	"7"	"9"	"5"	"289"	"689"	""	"689"	""
"299"	"164"	"106"	"7"	"64"	"11"	"11"	"4"	"11"	"21"	"31"	"7"	"14"	"10"	"9"	"238"	"544"	""	"544"	""
"300"	"165"	"282"	"13"	"20"	"16"	"11"	"8"	"7"	"16"	"39"	"9"	"7"	"3"	"17"	"113"	"561"	""	"561"	""
"301"	"166"	"245"	"11"	"10"	"40"	"6"	"7"	"15"	"20"	"11"	"9"	"5"	"5"	"9"	"74"	"467"	""	"467"	""
"302"	"167"	"113"	"9"	"38"	"56"	"6"	"6"	"9"	"4"	"10"	"7"	"12"	"14"	"9"	"87"	"380"	""	"380"	""
"303"	"168"	"8"	"0"	"3"	"4"	"0"	"1"	"4"	"4"	"34"	"3"	"7"	"7"	"6"	"149"	"230"	""	"230"	""
"304"	"Current Round Total"	"1209"	"82"	"373"	"4073"	"243"	"48"	"217"	"133"	"185"	"69"	"158"	"63"	"82"	"1093"	"8028"	"0"	"8028"	"0"
"305"	"Previous Round Total"	"24553"	"1392"	"12963"	"13204"	"2015"	"462"	"1683"	"1699"	"2133"	"723"	"1408"	"719"	"926"	"13727"	"77607"	"0"	"77607"	"0"
"306"	"TOTAL"	"25762"	"1474"	"13336"	"17277"	"2258"	"510"	"1900"	"1832"	"2318"	"792"	"1566"	"782"	"1008"	"14820"	"85635"	"0"	"85635"	"0"
"307"	"(Statutory Rules and Order)                                                       ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"313"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"314"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"315"	"169"	"34"	"3"	"75"	"6"	"3"	"2"	"2"	"6"	"2"	"1"	"3"	"11"	"10"	"305"	"463"	""	"463"	""
"316"	"170"	"60"	"12"	"76"	"32"	"27"	"2"	"10"	"19"	"25"	"7"	"17"	"6"	"19"	"447"	"759"	""	"759"	""
"317"	"171"	"98"	"6"	"5"	"11"	"3"	"2"	"4"	"7"	"14"	"2"	"8"	"4"	"11"	"341"	"516"	""	"516"	""
"318"	"172"	"44"	"2"	"10"	"3"	"3"	"0"	"4"	"1"	"9"	"3"	"8"	"3"	"6"	"424"	"520"	""	"520"	""
"319"	"173"	"89"	"7"	"54"	"211"	"13"	"3"	"14"	"11"	"16"	"8"	"18"	"13"	"10"	"30"	"497"	""	"497"	""
"320"	"174"	"327"	"8"	"16"	"38"	"5"	"4"	"6"	"15"	"69"	"6"	"4"	"2"	"7"	"24"	"531"	""	"531"	""
"321"	"175"	"214"	"13"	"102"	"16"	"2"	"3"	"6"	"22"	"18"	"2"	"9"	"6"	"4"	"48"	"465"	""	"465"	""
"322"	"176"	"147"	"6"	"59"	"54"	"6"	"0"	"9"	"8"	"38"	"3"	"1"	"1"	"1"	"12"	"345"	""	"345"	""
"323"	"177"	"216"	"6"	"47"	"9"	"3"	"3"	"3"	"10"	"7"	"2"	"2"	"2"	"8"	"30"	"348"	""	"348"	""
"324"	"178"	"13"	"3"	"79"	"9"	"3"	"0"	"4"	"14"	"19"	"12"	"25"	"16"	"23"	"256"	"476"	""	"476"	""
"325"	"179"	"89"	"10"	"185"	"12"	"2"	"1"	"2"	"12"	"12"	"4"	"9"	"7"	"4"	"84"	"433"	""	"433"	""
"326"	"180"	"83"	"7"	"132"	"61"	"12"	"2"	"5"	"6"	"19"	"4"	"8"	"9"	"3"	"101"	"452"	""	"452"	""
"327"	"181"	"118"	"12"	"58"	"226"	"22"	"12"	"33"	"12"	"15"	"12"	"22"	"6"	"15"	"82"	"645"	""	"645"	""
"328"	"182"	"128"	"7"	"83"	"66"	"7"	"4"	"8"	"2"	"1"	"0"	"5"	"1"	"0"	"13"	"325"	""	"325"	""
"329"	"Current Round Total"	"1660"	"102"	"981"	"754"	"111"	"38"	"110"	"145"	"264"	"66"	"139"	"87"	"121"	"2197"	"6775"	"0"	"6775"	"0"
"330"	"Previous Round Total"	"25762"	"1474"	"13336"	"17277"	"2258"	"510"	"1900"	"1832"	"2318"	"792"	"1566"	"782"	"1008"	"14820"	"85635"	"0"	"85635"	"0"
"331"	"TOTAL"	"27422"	"1576"	"14317"	"18031"	"2369"	"548"	"2010"	"1977"	"2582"	"858"	"1705"	"869"	"1129"	"17017"	"92410"	"0"	"92410"	"0"
"332"	"(Statutory Rules and Order)                                                       ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
