"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"189"	"155"	"9"	"6"	"18"	"156"	"5"	"4"	"5"	"16"	"5"	"6"	"13"	"243"	""	"243"	""
"190"	"156"	"9"	"1"	"26"	"175"	"3"	"4"	"1"	"7"	"7"	"1"	"5"	"239"	""	"239"	""
"191"	"157"	"5"	"117"	"78"	"88"	"2"	"3"	"4"	"5"	"6"	"40"	"13"	"361"	""	"361"	""
"192"	"158"	"5"	"19"	"120"	"113"	"4"	"11"	"5"	"8"	"9"	"13"	"10"	"317"	""	"317"	""
"193"	"159"	"7"	"45"	"23"	"237"	"2"	"5"	"2"	"10"	"4"	"2"	"4"	"341"	""	"341"	""
"194"	"160"	"0"	"69"	"101"	"280"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"455"	""	"455"	""
"195"	"161"	"0"	"465"	"44"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"510"	""	"510"	""
"196"	"162"	"9"	"176"	"100"	"190"	"2"	"7"	"3"	"9"	"9"	"6"	"9"	"520"	""	"520"	""
"197"	"163"	"4"	"20"	"402"	"33"	"1"	"1"	"4"	"3"	"1"	"0"	"0"	"469"	""	"469"	""
"198"	"164"	"1"	"11"	"349"	"14"	"0"	"1"	"3"	"8"	"10"	"2"	"12"	"411"	""	"411"	""
"199"	"165"	"0"	"0"	"10"	"412"	"2"	"11"	"4"	"8"	"9"	"1"	"3"	"460"	""	"460"	""
"200"	"166"	"1"	"151"	"45"	"389"	"5"	"0"	"4"	"3"	"0"	"2"	"0"	"600"	""	"600"	""
"201"	"167"	"5"	"146"	"183"	"43"	"4"	"2"	"2"	"4"	"4"	"2"	"9"	"404"	""	"404"	""
"202"	"168"	"9"	"52"	"68"	"129"	"10"	"4"	"6"	"13"	"5"	"7"	"11"	"314"	""	"314"	""
"203"	"Grand
Total"	"64"	"1278"	"1567"	"2260"	"41"	"55"	"43"	"96"	"69"	"82"	"89"	"5644"	"0"	"5644"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"206"	"169"	"14"	"159"	"153"	"101"	"8"	"9"	"8"	"15"	"13"	"15"	"13"	"508"	""	"508"	""
"207"	"170"	"20"	"73"	"259"	"171"	"5"	"9"	"8"	"25"	"12"	"9"	"7"	"598"	""	"598"	""
"208"	"171"	"3"	"224"	"79"	"25"	"4"	"5"	"2"	"2"	"2"	"4"	"12"	"362"	""	"362"	""
"209"	"172"	"12"	"113"	"50"	"6"	"1"	"1"	"3"	"1"	"1"	"1"	"2"	"191"	""	"191"	""
"210"	"173"	"22"	"246"	"214"	"30"	"2"	"4"	"8"	"5"	"6"	"7"	"5"	"549"	""	"549"	""
"211"	"174"	"25"	"254"	"286"	"106"	"12"	"13"	"13"	"12"	"9"	"10"	"6"	"746"	""	"746"	""
"212"	"175"	"0"	"2"	"28"	"207"	"4"	"2"	"0"	"6"	"0"	"2"	"0"	"251"	""	"251"	""
"213"	"176"	"3"	"4"	"37"	"264"	"4"	"5"	"1"	"10"	"4"	"3"	"4"	"339"	""	"339"	""
"214"	"177"	"42"	"295"	"58"	"67"	"4"	"0"	"5"	"7"	"4"	"7"	"11"	"500"	""	"500"	""
"215"	"178"	"7"	"226"	"119"	"24"	"3"	"3"	"5"	"3"	"5"	"6"	"13"	"414"	""	"414"	""
"216"	"179"	"3"	"51"	"126"	"172"	"5"	"7"	"1"	"5"	"7"	"2"	"4"	"383"	""	"383"	""
"217"	"180"	"11"	"57"	"241"	"234"	"9"	"6"	"3"	"17"	"13"	"11"	"3"	"605"	""	"605"	""
"218"	"181"	"9"	"8"	"80"	"178"	"7"	"5"	"4"	"8"	"3"	"5"	"8"	"315"	""	"315"	""
"219"	"182"	"5"	"18"	"70"	"212"	"4"	"2"	"3"	"22"	"8"	"5"	"11"	"360"	""	"360"	""
"220"	"Grand
Total"	"176"	"1730"	"1800"	"1797"	"72"	"71"	"64"	"138"	"87"	"87"	"99"	"6121"	"0"	"6121"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"223"	"183"	"16"	"38"	"85"	"305"	"9"	"7"	"13"	"27"	"24"	"16"	"23"	"563"	""	"563"	""
"224"	"184"	"24"	"265"	"201"	"43"	"7"	"4"	"7"	"3"	"1"	"2"	"5"	"562"	""	"562"	""
"225"	"185"	"15"	"49"	"50"	"69"	"0"	"2"	"7"	"7"	"4"	"5"	"4"	"212"	""	"212"	""
"226"	"186"	"6"	"69"	"129"	"284"	"12"	"7"	"5"	"23"	"13"	"10"	"5"	"563"	""	"563"	""
"227"	"187"	"1"	"6"	"126"	"316"	"6"	"3"	"2"	"15"	"12"	"4"	"10"	"501"	""	"501"	""
"228"	"188"	"2"	"81"	"158"	"166"	"6"	"2"	"0"	"7"	"7"	"4"	"6"	"439"	""	"439"	""
"229"	"189"	"12"	"83"	"128"	"165"	"4"	"1"	"4"	"15"	"7"	"5"	"7"	"431"	""	"431"	""
"230"	"190"	"11"	"142"	"128"	"204"	"13"	"5"	"9"	"18"	"10"	"12"	"12"	"564"	""	"564"	""
"231"	"191"	"9"	"132"	"245"	"160"	"4"	"6"	"3"	"8"	"3"	"5"	"2"	"577"	""	"577"	""
"232"	"192"	"16"	"110"	"236"	"178"	"11"	"8"	"8"	"11"	"9"	"15"	"12"	"614"	""	"614"	""
"233"	"193"	"20"	"133"	"252"	"178"	"6"	"4"	"7"	"8"	"5"	"9"	"2"	"624"	""	"624"	""
"234"	"194"	"28"	"75"	"199"	"252"	"5"	"6"	"3"	"9"	"9"	"3"	"4"	"593"	""	"593"	""
"235"	"195"	"5"	"98"	"114"	"323"	"6"	"12"	"12"	"20"	"12"	"23"	"12"	"637"	""	"637"	""
"236"	"Grand
Total"	"165"	"1281"	"2051"	"2643"	"89"	"67"	"80"	"171"	"116"	"113"	"104"	"6880"	"0"	"6880"	"0"
